TimeStamp (hh:mm:ss),Time (s),TC_Helmet (mV),HF_Helmet (mV),TC_Helmet ©,HF_Helmet (kW/m2)
9:11:39,30,-0.26,0.01,12,0
9:11:40,31,-0.26,0.01,12,0
9:11:41,32,-0.26,0,12,0
9:11:42,33,-0.25,0.01,12,0
9:11:43,34,-0.25,0,12,0
9:11:44,35,-0.24,0.01,13,0
9:11:45,36,-0.24,0.02,13,0
9:11:46,37,-0.25,0.02,12,0
9:11:47,38,-0.27,0.02,12,0
9:11:48,39,-0.27,0,12,0
9:11:49,40,-0.27,0,12,0
9:11:50,41,-0.28,0,12,0
9:11:51,42,-0.26,0.02,12,0
9:11:52,43,-0.08,0.01,17,0
9:11:53,44,-0.05,0.02,17,0
9:11:54,45,-0.12,0.02,16,0
9:11:55,46,-0.15,0.01,15,0
9:11:56,47,-0.16,0.01,15,0
9:11:57,48,-0.19,0.01,14,0
9:11:58,49,-0.21,0.02,13,0
9:11:59,50,-0.24,0.01,13,0
9:12:00,51,-0.25,0.01,12,0
9:12:01,52,-0.26,0.01,12,0
9:12:02,53,-0.25,0.01,12,0
9:12:03,54,-0.27,0.01,12,0
9:12:04,55,-0.28,0.01,12,0
9:12:05,56,-0.28,0.02,12,0
9:12:06,57,-0.28,0.01,12,0
9:12:07,58,-0.27,0.02,12,0
9:12:08,59,-0.27,0.01,12,0
9:12:09,60,-0.27,0.02,12,0
9:12:10,61,-0.26,0.02,12,0
9:12:11,62,-0.26,0.02,12,0
9:12:12,63,-0.25,0.01,12,0
9:12:13,64,-0.24,0.01,13,0
9:12:14,65,-0.25,0.02,12,0
9:12:15,66,-0.24,0.01,13,0
9:12:16,67,-0.25,0.01,12,0
9:12:17,68,-0.24,0.01,13,0
9:12:18,69,-0.25,0.02,12,0
9:12:19,70,-0.26,0.02,12,0
9:12:20,71,-0.26,0.02,12,0
9:12:21,72,-0.27,0.02,12,0
9:12:22,73,-0.25,0.02,12,0
9:12:23,74,-0.26,0.02,12,0
9:12:24,75,-0.26,0.02,12,0
9:12:25,76,-0.26,0.01,12,0
9:12:26,77,-0.27,0.02,12,0
9:12:27,78,-0.26,0.02,12,0
9:12:28,79,-0.27,0.01,12,0
9:12:29,80,-0.27,0.01,12,0
9:12:30,81,-0.27,0.01,12,0
9:12:31,82,-0.26,0,12,0
9:12:32,83,-0.25,0,12,0
9:12:33,84,-0.27,0,12,0
9:12:34,85,-0.27,0.01,12,0
9:12:35,86,-0.27,0.02,12,0
9:12:36,87,-0.27,0.02,12,0
9:12:37,88,-0.27,0.02,12,0
9:12:38,89,-0.27,0.02,12,0
9:12:39,90,-0.27,0.02,12,0
9:12:40,91,-0.27,0.02,12,0
9:12:41,92,-0.27,0.02,12,0
9:12:42,93,-0.26,0.01,12,0
9:12:43,94,-0.27,0.01,12,0
9:12:44,95,-0.27,0.02,12,0
9:12:45,96,-0.27,0.02,12,0
9:12:46,97,-0.27,0.02,12,0
9:12:47,98,-0.27,0.02,12,0
9:12:48,99,-0.26,0.02,12,0
9:12:49,100,-0.26,0.02,12,0
9:12:50,101,-0.26,0.02,12,0
9:12:51,102,-0.27,0.02,12,0
9:12:52,103,-0.28,0.02,12,0
9:12:53,104,-0.28,0.03,12,0.1
9:12:54,105,-0.29,0.02,11,0
9:12:55,106,-0.29,0.02,11,0
9:12:56,107,-0.29,0.02,11,0
9:12:57,108,-0.28,0.01,12,0
9:12:58,109,-0.27,0.02,12,0
9:12:59,110,-0.27,0.02,12,0
9:13:00,111,-0.27,0.02,12,0
9:13:01,112,-0.27,0.02,12,0
9:13:02,113,-0.28,0.03,12,0.1
9:13:03,114,-0.28,0.03,12,0.1
9:13:04,115,-0.27,0.04,12,0.1
9:13:05,116,-0.26,0.03,12,0.1
9:13:06,117,-0.27,0.03,12,0.1
9:13:07,118,-0.27,0.03,12,0.1
9:13:08,119,-0.28,0.04,12,0.1
9:13:09,120,-0.28,0.03,12,0.1
9:13:10,121,-0.27,0.03,12,0.1
9:13:11,122,-0.27,0.04,12,0.1
9:13:12,123,-0.27,0.05,12,0.1
9:13:13,124,-0.27,0.04,12,0.1
9:13:14,125,-0.29,0.05,11,0.1
9:13:15,126,-0.29,0.04,11,0.1
9:13:16,127,-0.29,0.04,11,0.1
9:13:17,128,-0.29,0.05,11,0.1
9:13:18,129,-0.28,0.05,12,0.1
9:13:19,130,-0.28,0.04,12,0.1
9:13:20,131,-0.27,0.04,12,0.1
9:13:21,132,-0.26,0.04,12,0.1
9:13:22,133,-0.23,0.05,13,0.1
9:13:23,134,-0.23,0.05,13,0.1
9:13:24,135,-0.23,0.05,13,0.1
9:13:25,136,-0.22,0.04,13,0.1
9:13:26,137,-0.21,0.04,13,0.1
9:13:27,138,-0.22,0.04,13,0.1
9:13:28,139,-0.23,0.03,13,0.1
9:13:29,140,-0.23,0.03,13,0.1
9:13:30,141,-0.23,0.04,13,0.1
9:13:31,142,-0.23,0.05,13,0.1
9:13:32,143,-0.23,0.04,13,0.1
9:13:33,144,-0.23,0.05,13,0.1
9:13:34,145,-0.23,0.05,13,0.1
9:13:35,146,-0.23,0.05,13,0.1
9:13:36,147,-0.23,0.03,13,0.1
9:13:37,148,-0.23,0.01,13,0
9:13:38,149,-0.25,0.01,12,0
9:13:39,150,-0.27,0.01,12,0
9:13:40,151,-0.27,0.02,12,0
9:13:41,152,-0.27,0.05,12,0.1
9:13:42,153,-0.25,0.05,12,0.1
9:13:43,154,-0.26,0.05,12,0.1
9:13:44,155,-0.25,0.05,12,0.1
9:13:45,156,-0.25,0.05,12,0.1
9:13:46,157,-0.26,0.05,12,0.1
9:13:47,158,-0.25,0.05,12,0.1
