Cases/Boxes/Bags,Quantity inside case,Device/Label,Manufacturer,Model Number,Description,Notes
1,1,Laptop (Simula),Dell,Latitude E6430,For Arduino data logging and NTP server (Windows 7 64-bit),Property Number 855830
1,1,Laptop,Dell,Latitude,For data logging (Windows 7 32-bit),
1,1,Laptop,Dell,Latitude,For data logging (Windows 7 32-bit),Property Number 850853
1,1,Toughbook Laptop,Panasonic,,For FLIR IR camera,"SCSI drive, dongle, backpack"
1,1,Infrared Camera,FLIR,,,
2,1,"Gas Analyzer (CO2, CO, O2)",California Analytical Instruments,NDIR/O2 602P,Gas Analyzer,"2 pumps, traps, dryers"
1,1,Gas Sample Dryer,Universal Analyzers,570,Dryer for gas analyzers,
1,1,Large Data Acquisition System,National Instruments,SXCI-1001/SCXI-1600/SCXI-1102 (x10)/TC-2095(x10),320 channel data system,Note: This only works with 32-bit operating systems
1,1,Small Data Acquisition System,National Instruments,SXCI-1000/SCXI-1600/SCXI-1102 (x3)/TC-2095(x3),96 channel data system,Note: This only works with 32-bit operating systems
1,3,BDP/Pressure Box,Setra,Model # 264 Part # 2641001WB2DT1C,"Tackle box with 3 pressure sensors, power, and TC passthrough",
3,4,BDP/Pressure Box,Setra,Model # 264 Part # 2641001WB2DT1C,"Tackle box with 4 pressure sensors, power, and TC passthrough",
2,6,BDP/Pressure Box,Setra,Model # 264 Part # 2641001WB2DT1C,"Tackle box with 6 pressure sensors, power, and TC passthrough",
,,,,,,
Pelican Cases,,,,,,
1,10,Arduino Data Loggers,Arduino,Yun,,"Batteries, 8 GB microSD cards, power adaptors"
1,,Electronic Components and Accessories,,,,
1,3,Wireless Routers,"Asus, Linksys","RT-AC68U, E1200","Primary router and repeater, extra router",
1,6,Data External Hard Drives,Western Digital,Passport,2 TB external drives,
1,2,ISG XRHR thermal imaging camera,ISG,XRHR,100K resolution,"Records video internally, can retrieve video via USB cable"
1,1,Bullard MX thermal imaging camera,Bullard,MX,,
1,1,ISG K90 Talisman thermal imaging camera,ISG,K90 Talisman,,
1,1,ISG K80 FireCam thermal imaging camera,ISG,K80 FireCam,,
1,1,GigaPan w/ Fujifilm FinePix X100 camera,GigaPan,EPIC 100,Manual shutter trigger w/ Fujifilm FinePix X100 camera,
1,1,Canon EOS 40D,Canon,EOS 40D,Still camera,
1,1,Canon EOS 20D,Canon,EOS 20D,Still camera,
2,1,Olympus SP-560UZ,Olympus,SP-560UZ,Still camera,
1,9,GoPro Cameras,GoPro,HERO3+ Black Edition,,"64 GB Class 10 microSD cards, mounts, batteries, accessories"
1,7,GoPro Cameras,GoPro,,,Accessories
2,1,Samsung Digital Video Recorders,Samsung,SRD-1680D(2T),2 TB HD,
4,,12 V batteries,,,,Chargers
2,,12 V camera power supplies,"Everfocus, Bolide","Everfocus DCR16-12-2UL, Bolide BP0050/18-10","Everfocus is 16 channel, Bolide is 18 channel","Everfocus has auto-reset, Bolide has fuses"
1,,UPS Power Supplies,,,,
1,,"Video Cables, Adapters, and Accessories",,,,
1,,Bullet cameras,Marshall,,,
1,,Bullet camera BNC extensions,,,,
2,,Tripods,,,,
3,1,46 in TV screens,"2 Samsung, 1 Visio",,,
1,2,Weather Stations,Davis Instruments,,Weather display console,
1,2,Weather Consoles,Davis Instruments,,"Weather stations w/ wind, temperature, humidity",w/ Envoy8X weather data receiver/logger
1,1,Drager Four Gas Meter,Drager,X-am 2500,"CH4, O2, H2S, CO",w/ pump and accessories
1,,TFT Sho-Flow Meters and Hose Couplings w/ Pressure Gauges,Task Force Tips,"SF-NJNJ-500, SF-NF-NF-200","1.5 inch couplings, 50-200 GPM; 2.5 inch couplings, 125-500 GPM",
2,1,Akron Brass Flow Meter,Akron Brass,,Display box and 2.5 in coupler,
1,,Smart FF Water Flow Meter,Omega,"FPB151, FP-5320BR",Paddle wheel flow meter and 2 in brass tee coupling,
1,1,DJI Phantom Vision 2+,DJI,Phantom Vision 2+,,w/ mounted HD video and still camera
2,1,Portable Printer,,,,
,,,,,,
Extras,,,,,,These items are stored on the top and bottom shelves of the mobile lab
2,1,Sony TRV-950,Sony,TRV-950,Video camera,
1,3,Sony TRV-950 / Canon,Sony,TRV-950,"Video cameras (2 Sony, 1 Canon)",
1,3,Sony Handycams,Sony,Handycam,Video cameras,64 GB SD cards
1,1,Sony Vixia HFG20,Sony,,Video camera,
1,1,GigaPan Pro,GigaPan,EPIC Pro,Automatic shutter trigger,
1,,Sony Cassette (Walkman) Recorders,Sony,,,
1,,Sony Cassette Recorder Power Supplies,Sony,,,
1,,Video Camera and Tape Deck Batteries,,,,
1,1,Sage Helmet TIC,Sage,,,
1,1,Bullard T3 TIC,Bullard,,,
1,1,Jay's Video Box,,,Misc. power and video connectors,
