Time,FSE_Test_1_092812,FSW_Test_2_092812,FSW_Test_3_092812,FSE_Test_4_092912,FSE_Test_5_093912,FSW_Test_6_093012,FSW_Test_7_093012,FSE_Test_8_093912
0,,,,,,,,
60,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition,Ignition
64,,,,,,,,
90,,,,,,,,
120,,,,,,,,
128,,,,,,,,
130,,,,,,,,
140,,,,,,,,
150,,,,,,,,
157,,,,,,,,
170,,,,,,,,
180,,,,,,,,Window Vented
190,,,,,,,,
191,,,,,,,,
195,,,,,,,,
197,,,,,,,,
202,,,,,,,,
210,,,,,,,,
214,,,,,Window Vented,,,
215,,,,,,,,
216,,,,,,Window Vented,,
220,,,,,,,Window Vented,
225,,,,,,,,
230,Hallway Nozzle On,Hallway Nozzle On,,Hallway Nozzle On,Hallway Nozzle On,,,
231,,,Hallway Nozzle On,,,,,
239,,,,,,Hallway Nozzle On,,
240,,,,,,,,Hallway Nozzle On
244,,,,,,,,
248,Hallway Nozzle Off,,,Hallway Nozzle Off,Hallway Nozzle Off,,,
250,,Hallway Nozzle Off,,,,,,
254,,,Hallway Nozzle Off,,,Hallway Nozzle Off,,
258,,,,,,,,
260,,,,,,,,Hallway Nozzle Off
268,,,,,,Room Nozzle On,,
269,Room Nozzle On,,,Room Nozzle On,Room Nozzle On,,,
270,,,,,,,Hallway Nozzle On,
272,,Room Nozzle On,,,,,,
273,,,Room Nozzle On,,,,,
275,,,,,,,,Room Nozzle On
280,,,,,,,,
283,,,,,,Room Nozzle Off,,
284,Room Nozzle Off,,,Room Nozzle Off,Room Nozzle Off,,,
285,,,,,,,,
287,,Room Nozzle Off,,,,,,
290,,,,,,,,Room Nozzle Off
291,,,,,,,Hallway Nozzle Off,
300,,,Room Nozzle Off,,,,,
308,,,,,,,Room Nozzle On,
315,,,,,,,,
320,,,,,,,,
323,,,,,,,Room Nozzle Off,
330,,,,,,,,
335,,,,,,,,
344,,,,,,,,
345,,,,,,,,
355,,,,,,,,
356,,,,,,,,
360,,,,,,,,
371,,,,,,,,
380,,,,,,,,
385,,,,,,,,
390,,,,,,,,
405,,,,,,,,
408,,,,,,,,
418,,,,,,,,
420,,,,,,,,
426,,,,,,,,
