Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,4.4,0.556
2,4.3,0.448
3,4.2,0.372
4,4.4,0.541
5,5,1.161
6,5.6,1.751
7,5.2,1.351
8,4.8,0.919
9,4.4,0.536
10,4.2,0.357
11,4.2,0.342
12,4.4,0.553
13,4.6,0.752
14,5.1,1.244
15,5.7,1.81
16,4.7,0.843
17,4.4,0.552
18,4.4,0.53
19,4.4,0.575
20,4.7,0.87
21,5,1.128
22,7.4,3.501
23,5.7,1.839
24,5,1.151
25,4.8,0.95
26,4.7,0.928
27,5.1,1.267
28,4.8,0.927
29,8.4,4.543
30,7.3,3.431
31,5.8,1.94
32,5.2,1.312
33,5.3,1.407
34,5.1,1.238
35,4.9,1.062
36,7.4,3.512
37,6.5,2.67
38,6.1,2.221
39,5.3,1.412
40,5,1.08
41,4.9,0.99
42,5.5,1.63
43,6.4,2.522
44,5.6,1.716
45,5.7,1.838
46,5.1,1.27
47,4.7,0.896
48,5.2,1.262
49,6,2.146
50,5.9,2.028
51,5.7,1.828
52,5.4,1.5
53,5.3,1.452
54,5,1.171
55,5.5,1.6
56,5.9,2
57,5.8,1.86
58,6.1,2.2
59,5.8,1.9
60,5.4,1.52
61,5.2,1.34
62,5.4,1.5
63,5.5,1.4
64,5,1.084
65,5.6,1.7
66,5.7,1.86
67,5.6,1.7
68,5.5,1.62
69,5.3,1.38
70,4.8,0.9
