Time,FSE1_0-03mBC,FSE1_0-3mBC,FSE1_0-61mBC,FSE1_0-91mBC,FSE1_1-22mBC,FSE1_1-52mBC,FSE1_1-83mBC,FSE1_2-13mBC,FSE2_0-03mBC,FSE2_0-3mBC,FSE2_0-61mBC,FSE2_0-91mBC,FSE2_1-22mBC,FSE2_1-52mBC,FSE2_1-83mBC,FSE2_2-13mBC,FSE3_0-3mBC,FSE3_0-61mBC,FSE3_0-91mBC,FSE3_1-22mBC,FSE3_1-52mBC,FSE3_1-83mBC,FSE3_2-13mBC,FSE4_0-3mBS,FSE4_0-61mBS,FSE4_0-91mBS,FSE4_1-22mBS,FSE4_1-52mBS,FSE4_1-83mBS,FSE4_2-13mBS,FSE3_bdp_0-3mBC,FSE3_bdp_0-61mBC,FSE3_bdp_0-91mBC,FSE3_bdp_1-22mBC,FSE3_bdp_1-52mBC,FSE3_bdp_1-83mBC,FSE3_bdp_2-13mBC,FSE4_bdp_0-3mBC,FSE4_bdp_0-61mBC,FSE4_bdp_0-91mBC,FSE4_bdp_1-22mBC,FSE4_bdp_1-52mBC,FSE4_bdp_1-83mBC,FSE4_bdp_2-13mBS,FSE1_HF_0-15mAF,FSE1_RAD_0-15mAF,FSE2_HF_0-15mAF,FSE2_RAD_0-15mAF,FSE3_HF_1-52mBC,FSE3_HF2_1-52mBC,FSE5_HF_1-52mBC,FSE5_HF2_1-52mBC,FSE_bdp_0-3mBS_RW,FSE_bdp_0-6mBS_RW,FSE_bdp_0-9mBS_RW,FSE_bdp_1-2mBS_RW,FSE_TC_0-3mBS_RW,FSE_TC_0-6mBS_RW,FSE_TC_0-9mBS_RW,FSE_TC_1-2mBS_RW,Untitled,Comment
0,21.713845,21.340476,21.551267,21.385566,21.220824,20.981102,20.815461,20.239112,22.387996,22.468165,22.036111,22.176488,21.725023,22.287404,21.114515,20.196931,21.735517,21.572619,21.385389,21.048556,21.081975,21.858845,22.453103,24.051568,23.888294,23.811947,23.12412,23.479988,23.401721,22.404431,2.529738,2.543446,2.506515,2.508781,2.528108,2.511106,2.531673,2.531864,2.461486,2.44398,2.592795,2.517492,2.536827,2.526236,-0.000328,0.000178,-1.00E-05,-0.000268,0.000118,4.88E-05,-0.000363,0.000422,2.494519,2.533422,2.504953,2.502957,27.100525,28.126109,27.975387,27.971978,0,
1,21.800549,21.465246,21.600141,21.586071,21.307603,21.105829,20.902299,20.212108,22.436824,22.516965,22.122814,22.187432,21.773874,22.222585,21.201306,20.283798,21.822302,21.545645,21.396339,21.05951,21.130848,21.869792,22.426155,24.024652,23.82354,23.822875,23.059319,23.528763,23.450493,22.453245,2.529891,2.543752,2.506515,2.508476,2.527803,2.510953,2.531673,2.532169,2.461486,2.444286,2.592642,2.517645,2.537132,2.526083,-2.30E-05,2.49E-05,0.000143,-0.000116,-3.49E-05,-0.000104,-0.000211,0.000269,2.49513,2.533575,2.504953,2.503415,27.245963,28.082978,27.932257,27.928833,0,
2,22.590214,21.611512,21.746352,21.618503,21.491672,21.289949,21.010635,20.206627,22.620771,22.473636,22.117342,22.219833,21.768401,22.217114,21.233747,20.240365,21.816829,21.578093,21.466685,21.091967,21.125371,21.826417,22.382795,24.13271,23.969433,23.817411,23.09172,23.598982,23.445027,22.409902,2.529433,2.543294,2.506973,2.508323,2.527803,2.511259,2.531368,2.532169,2.462097,2.444438,2.5931,2.517187,2.536979,2.52593,-0.000176,-0.00028,-1.00E-05,-0.000116,-3.49E-05,-0.000104,-0.000211,0.000727,2.494824,2.533727,2.505259,2.502957,27.208243,28.196042,27.932257,27.928833,0,
3,27.731274,22.678605,21.941403,21.851393,21.572956,21.409167,21.129914,20.363964,28.9716,22.971179,22.236442,22.338915,21.811776,22.336225,21.27714,20.321748,21.784384,21.583568,21.358427,21.097444,21.092928,21.83189,22.501931,24.062493,23.89922,23.860724,23.210784,23.566606,23.450493,22.491116,2.529585,2.543599,2.506821,2.508628,2.528108,2.510801,2.531826,2.532017,2.461944,2.444133,2.592642,2.517645,2.536827,2.526083,-0.000176,0.000178,-1.00E-05,-0.000116,-0.000188,-0.000104,-0.000211,0.000422,2.494824,2.53388,2.504953,2.502805,27.030523,28.131551,27.980829,27.977421,0,
4,38.925088,24.750076,22.309522,22.10571,21.713612,21.701477,21.27068,20.390965,30.277955,22.922399,22.301245,22.441574,21.914529,22.438912,21.304103,20.386686,21.811356,21.534696,21.347476,21.048556,21.157813,21.858845,22.415214,24.127248,23.926133,23.774096,23.199851,23.631358,23.51524,22.404431,2.529585,2.543599,2.506668,2.508476,2.528108,2.511106,2.531673,2.532169,2.462402,2.444286,2.592947,2.517187,2.537132,2.526083,-0.000328,2.49E-05,-1.00E-05,-0.000268,-3.49E-05,-0.000256,-0.000211,0.000422,2.494519,2.533727,2.504953,2.50311,27.21369,28.126109,28.013073,27.934275,0,
5,46.58006,25.128271,22.612681,22.333029,21.865196,21.92887,21.460302,20.542799,32.532245,22.846706,22.376986,22.479438,22.028217,22.514658,21.342017,20.424633,21.811356,21.572619,21.347476,21.01062,21.081975,21.820944,22.415214,24.127248,23.850454,23.887645,23.12412,23.593518,23.51524,22.366558,2.52928,2.543446,2.506668,2.508323,2.527803,2.510801,2.531673,2.532322,2.462402,2.444133,2.593253,2.517187,2.537132,2.52532,-2.30E-05,0.000178,0.000143,-0.000268,-0.000188,-0.000104,-0.000211,0.00088,2.494672,2.533575,2.504953,2.503721,27.208243,28.120667,27.894568,27.891128,0,
6,61.045643,25.290425,22.850935,22.609116,22.027705,22.167161,21.698755,20.70557,41.773933,23.841238,22.425796,22.603962,22.039161,22.677074,21.39088,20.473539,21.860219,21.583568,21.43425,21.097444,21.055008,21.83189,22.426155,24.138172,23.937059,23.898572,23.210784,23.604447,23.52617,22.415373,2.529433,2.543446,2.506973,2.508628,2.527955,2.510953,2.531673,2.532169,2.462249,2.444133,2.592947,2.517645,2.536979,2.526541,-0.000176,-0.000128,-0.000163,-0.000116,0.000118,-0.000104,-0.000516,0.000269,2.494824,2.533575,2.504801,2.502957,27.17597,28.163797,27.975387,27.971978,0,
7,67.499259,25.247161,23.072735,23.020179,22.28742,22.426869,21.844925,20.700091,41.731339,23.79796,22.458193,22.636351,22.147365,22.671605,21.499135,20.468059,21.778911,21.540171,21.352952,21.054033,21.04953,21.864318,22.344903,24.13271,23.818076,23.85526,23.243181,23.636823,23.482867,22.447774,2.529433,2.543752,2.507278,2.508476,2.527955,2.511106,2.531673,2.53278,2.462555,2.44398,2.592947,2.517187,2.536827,2.526236,-0.000328,2.49E-05,-0.000163,3.69E-05,-3.49E-05,-0.000256,-0.000211,0.000422,2.494672,2.533727,2.504953,2.50311,27.170523,28.196042,28.00763,28.004237,0,
8,75.995884,25.39293,23.332358,23.355396,22.319828,22.762254,22.066881,20.846407,51.403719,23.679044,22.528454,22.706596,22.217671,22.704001,21.531567,20.57641,21.811356,21.61054,21.385389,21.124423,21.044053,21.783041,22.415214,24.013727,23.96397,23.887645,23.275577,23.631358,23.51524,22.480175,2.529433,2.543752,2.506973,2.508323,2.52826,2.510953,2.531673,2.532474,2.462555,2.444286,2.593253,2.51734,2.537437,2.526083,-0.000176,-0.000433,-1.00E-05,-0.000116,-0.000188,-0.000104,-5.79E-05,0.000727,2.494977,2.533575,2.504648,2.50311,27.245963,28.120667,28.045315,27.966535,0,
9,87.397184,25.544134,23.597385,23.65814,22.547076,23.103005,22.332157,20.960239,71.558093,23.830311,22.60418,22.820159,22.293444,22.855453,21.569474,20.614351,21.773437,21.496772,21.347476,21.01062,21.119895,21.858845,22.453103,24.051568,23.926133,23.925492,23.199851,23.669197,23.553078,22.518045,2.529585,2.544057,2.506973,2.508628,2.527955,2.511106,2.531826,2.532322,2.462707,2.444133,2.592795,2.51734,2.537132,2.526083,-0.000481,-0.000128,-1.00E-05,-0.000116,-0.000188,-0.000104,-0.000211,0.000575,2.494977,2.533422,2.504953,2.50311,27.251409,28.201483,28.088441,28.009679,0,
