Time,FSW1_0-03mBC,FSW1_0-3mBC,FSW1_0-61mBC,FSW1_0-91mBC,FSW1_1-22mBC,FSW1_1-52mBC,FSW1_1-83mBC,FSW1_2-13mBC,FSW2_0-03mBC,FSW2_0-3mBC,FSW2_0-61mBC,FSW2_0-91mBC,FSW2_1-22mBC,FSW2_1-52mBC,FSW2_1-83mBC,FSW2_2-13mBC,FSW3_0-3mBC,FSW3_0-61mBC,FSW3_0-91mBC,FSW3_1-22mBC,FSW3_1-52mBC,FSW3_1-83mBC,FSW3_2-13mBC,FSW4_0-3mBS,FSW4_0-61mBS,FSW4_0-91mBS,FSW4_1-22mBS,FSW4_1-52mBS,FSW4_1-83mBS,FSW4_2-13mBS,FSW3_bdp_0-3mBC,FSW3_bdp_0-61mBC,FSW3_bdp_0-91mBC,FSW3_bdp_1-22mBC,FSW3_bdp_1-52mBC,FSW3_bdp_1-83mBC,FSW3_bdp_2-13mBC,FSW4_bdp_0-3mBS,FSW4_bdp_0-61mBS,FSW4_bdp_0-91mBS,FSW4_bdp_1-22mBS,FSW4_bdp_1-52mBS,FSW4_bdp_1-83mBS,FSW4_bdp_2-13mBS,FSW1_HF_0-15mAF,FSW1_RAD_0-15mAF,FSW2_HF_0-15mAF,FSW2_RAD_0-15mAF,FSW3_HF_1-52mBC,FSW3_HF2_1-52mBC,FSW5_HF_1-52mBC,FSW5_HF2_1-52mBC,FSW6_bdp_0-3mBS,FSW6_bdp_0-6mBS,FSW6_bdp_0-9mBS,FSW6_bdp_1-2mBS,FSW6_TC_0-3mBS,FSW6_TC_0-6mBS,FSW6_TC_0-9mBS,FSW6_TC_1-2mBS,Untitled,Comment
0,25.522588,25.719156,26.019997,25.64574,31.035946,29.942801,29.903934,27.923759,31.475027,31.112615,30.967486,24.700257,24.437977,24.131489,22.943313,21.566491,27.299144,26.925807,25.945516,26.0613,24.766968,24.063039,23.951483,26.661918,26.331311,27.03177,28.85143,26.622048,25.94138,24.408907,2.497851,2.524965,2.520671,2.508005,2.527472,2.520285,2.520518,2.522635,2.520943,2.52606,2.556438,2.558817,2.507089,2.534959,-0.000341,1.10E-05,-0.000821,-0.000669,-0.000141,3.39E-05,-0.000493,-0.000224,2.545091,2.54966,2.528546,2.550237,27.099958,28.702286,29.046068,28.191125,0,
1,25.592626,25.713638,26.090026,25.715791,31.030456,30.012569,29.860791,27.842831,31.3944,31.069524,30.961996,24.694734,24.432453,24.125963,22.937782,21.523029,27.406747,26.882557,25.94,26.018012,24.761446,24.019672,23.945956,26.580939,26.325797,27.063993,28.883604,26.692031,25.822507,24.365556,2.497545,2.524965,2.520823,2.508158,2.528998,2.520896,2.523264,2.522025,2.520027,2.526975,2.553843,2.559427,2.506326,2.533432,-0.000494,0.000164,-0.000516,-0.000364,-0.000141,3.39E-05,-0.000187,-7.18E-05,2.544175,2.554238,2.52702,2.557563,27.099958,28.702286,29.083717,28.228821,0,
2,26.617625,26.662575,26.171081,25.796871,31.148704,30.130949,29.979226,27.886049,31.512594,31.225411,30.967486,24.813678,24.400143,24.131489,22.943313,21.642333,27.412255,26.925807,25.983282,26.0613,24.804777,24.025197,23.87578,26.661918,26.369074,27.03177,28.889105,26.697543,25.828024,24.446732,2.497545,2.524507,2.520976,2.508158,2.528541,2.520132,2.523875,2.522025,2.518196,2.528349,2.559185,2.558817,2.505868,2.53328,-0.000188,1.10E-05,-0.000516,-0.000364,-0.000293,0.000187,-0.000187,-0.000224,2.543412,2.553932,2.52702,2.552068,27.132191,28.734451,29.040569,28.110226,0,
3,29.594961,33.617926,26.246614,25.947981,31.261451,30.281444,30.054513,27.848337,31.813083,32.164911,31.04266,24.775872,24.513641,24.282835,23.132578,21.71817,27.374553,26.850328,25.945516,26.023528,24.804777,23.987355,23.837926,26.661918,26.331311,27.069503,28.85143,26.697543,25.86581,24.446732,2.497393,2.524507,2.520976,2.508463,2.528083,2.520743,2.522654,2.517751,2.520485,2.529112,2.55888,2.558817,2.506173,2.53328,-0.000341,-0.000294,-0.000668,-0.000517,-0.000141,-0.000119,-0.000187,-0.000224,2.543717,2.551796,2.529004,2.552526,27.088941,28.728951,28.959768,28.180119,0,
4,32.976674,35.564763,26.246614,25.985755,31.29903,30.319064,30.092154,27.961468,33.501748,33.516328,31.080244,24.813678,24.47581,24.245,23.132578,21.756087,27.412255,26.850328,25.907748,25.985755,24.766968,23.949511,23.800071,26.624186,26.406836,27.03177,28.813754,26.697543,25.86581,24.333252,2.497545,2.524812,2.521129,2.508158,2.527014,2.520743,2.521433,2.520804,2.521248,2.528959,2.557964,2.558359,2.506173,2.533738,-0.000188,-0.000142,-0.000516,-0.000822,-0.000141,0.000187,-0.000187,-7.18E-05,2.543565,2.551644,2.530224,2.5481,27.056706,28.734451,29.002919,28.072525,0,
5,35.011478,35.014476,26.370933,26.223402,31.497883,30.480518,30.065503,28.161003,34.974034,36.299811,31.279126,24.97593,24.676,24.369549,22.954376,21.918815,27.423273,26.861351,25.918781,26.03456,24.740202,23.960564,23.811126,26.672944,26.380102,27.005057,28.749401,26.670821,25.839057,24.344301,2.497545,2.52466,2.520976,2.508158,2.528388,2.52059,2.523417,2.521719,2.520638,2.529417,2.55888,2.559122,2.505868,2.532669,-0.000188,-0.000142,-0.000821,-0.000364,-0.000141,-0.000119,-0.000187,-7.18E-05,2.541733,2.552712,2.526867,2.551,27.099958,28.739951,28.970766,28.115729,0,
6,35.636893,34.404574,26.473183,26.363424,31.674751,30.695193,30.167433,28.263092,36.235472,38.979758,32.582545,25.002687,24.854065,24.434161,22.829739,21.907742,27.299144,26.812587,25.907748,26.023528,24.729157,23.987355,23.837926,26.624186,26.406836,26.956298,28.738398,26.584299,25.752446,24.295422,2.498156,2.524812,2.521129,2.508463,2.52793,2.52059,2.522349,2.522483,2.521096,2.52957,2.55949,2.560343,2.505258,2.532975,-0.000494,-0.000447,-0.000668,-0.000364,-0.000293,3.39E-05,-0.000187,-0.000377,2.545549,2.55027,2.529004,2.552984,26.992234,28.783114,28.976265,28.045831,0,
7,35.904276,37.849558,26.893947,26.708724,32.018271,30.926296,30.323468,28.457066,37.773291,43.26996,34.650215,25.310552,25.048665,24.553165,22.759548,21.951189,27.342358,26.931318,25.913265,25.991271,24.696868,23.992881,23.767743,26.742892,26.525626,26.999546,28.593171,26.552061,25.720173,24.300947,2.497698,2.52527,2.521434,2.508921,2.529304,2.521048,2.523264,2.523093,2.521401,2.529722,2.55949,2.559275,2.505258,2.532975,-0.000188,1.10E-05,-0.000363,-0.000364,1.20E-05,0.000187,-0.000187,-7.18E-05,2.544175,2.538826,2.531445,2.544742,27.062215,28.739951,28.970766,28.078029,0,
8,41.118779,42.718091,30.424851,27.037381,32.307688,31.065698,30.575877,28.747545,39.628269,47.009872,39.013118,26.206046,25.340081,24.844677,22.597022,21.902205,27.33134,26.769332,25.902232,25.980239,24.723635,23.90614,23.680972,26.694138,26.325797,26.988524,28.619851,26.578786,25.709138,24.289898,2.498156,2.525118,2.521434,2.508921,2.528998,2.520896,2.523875,2.524619,2.522927,2.531401,2.561169,2.560495,2.5048,2.534196,-0.000188,1.10E-05,-0.000821,-0.000211,-0.000141,3.39E-05,-0.00034,-0.000224,2.544938,2.551186,2.528241,2.556189,26.986724,28.66462,29.008417,28.115729,0,
9,59.402509,51.877631,32.652888,27.387972,32.806595,31.452536,31.113452,29.323597,50.035016,55.74632,44.012705,29.346216,25.880214,25.158192,22.645955,21.989098,27.380062,26.818098,25.875496,25.991271,24.73468,23.917193,23.692027,26.818348,26.41235,26.924072,28.442422,26.514309,25.682381,24.300947,2.498003,2.525423,2.521434,2.508615,2.528083,2.521201,2.522044,2.526909,2.524606,2.531401,2.561475,2.560343,2.505715,2.535264,-0.000188,1.10E-05,-0.000668,-0.000364,-0.000141,3.39E-05,-0.000187,8.08E-05,2.543412,2.55439,2.527478,2.551305,27.062215,28.66462,29.046068,28.115729,0,
10,76.909995,50.252282,32.089671,27.840564,33.369326,31.677988,31.714948,29.925982,64.033956,61.490942,46.796024,32.466125,27.16407,25.38499,23.213805,22.216525,27.266947,26.742612,25.875496,25.953497,24.73468,23.955038,23.616306,26.78062,26.374588,26.886333,28.404731,26.476556,25.644588,24.187451,2.498003,2.525423,2.521739,2.509226,2.528388,2.521201,2.522654,2.525077,2.523385,2.531401,2.561475,2.562021,2.506478,2.53618,-0.000494,-0.000294,-0.000668,-0.000364,-0.000293,3.39E-05,-0.000187,-7.18E-05,2.542649,2.55439,2.527325,2.550847,27.099958,28.702286,28.970766,28.078029,0,
11,111.944233,57.879795,32.234408,28.551269,34.151175,32.123262,32.235492,30.635376,92.617941,68.46607,50.344893,33.436079,28.176999,25.568434,23.813666,22.514158,27.261437,26.774844,25.907748,25.985755,24.729157,23.949511,23.648639,26.73738,26.369074,26.918561,28.286147,26.320016,25.56348,24.21976,2.498614,2.525423,2.521892,2.509531,2.528998,2.521811,2.52357,2.524619,2.523232,2.531401,2.561932,2.562937,2.509683,2.538621,-0.000188,-0.000142,-0.000363,-0.000211,1.20E-05,3.39E-05,-3.49E-05,8.08E-05,2.543565,2.553475,2.526562,2.551763,27.02447,28.702286,28.895458,28.078029,0,
12,151.069023,60.748177,35.683655,29.643501,35.462102,32.57383,32.798807,31.124232,121.067182,75.69448,57.613465,33.023504,28.2524,25.795146,24.305301,22.817244,27.223729,26.7371,25.83221,25.947981,24.653531,23.987355,23.610778,26.73738,26.369074,26.843082,28.286147,26.320016,25.56348,24.181926,2.498461,2.525575,2.522655,2.509836,2.528998,2.521201,2.523264,2.524925,2.523385,2.531706,2.561475,2.562326,2.511056,2.536485,-0.000494,1.10E-05,-0.000516,-0.000364,-0.000141,3.39E-05,-0.000187,-7.18E-05,2.544328,2.554085,2.527783,2.552068,27.062215,28.739951,28.933113,28.040328,0,
13,171.314699,90.171564,41.438613,31.529496,36.253357,33.06721,33.517387,31.618348,148.724697,92.264078,70.476827,33.104008,29.049286,25.914001,24.57546,23.050035,27.266947,26.780356,25.913265,25.991271,24.73468,23.992881,23.578444,26.705162,26.45011,26.924072,28.291651,26.32553,25.568998,24.149617,2.499987,2.526949,2.523265,2.509378,2.528541,2.520743,2.522959,2.524467,2.523232,2.531401,2.561475,2.562174,2.510598,2.536332,-0.000188,-0.000142,-0.000516,-0.000211,-0.000293,0.000187,0.00027,8.08E-05,2.54448,2.555458,2.529309,2.552984,27.02447,28.739951,28.970766,28.040328,0,
