Test Number,Test Type,Old Test Key,New Test Key,Start of Test,End of Test,Test Description,Excluded Groups,Excluded Channels,Y Scale BDP,Y Scale HF,Y Scale TC
1,FIRE,FSE_Test_1_092812,FSE_Test_1_092812,60,350,,None,TC 3 1.83 m BC,5,75,900
2,FIRE,FSW_Test_2_092812,FSW_Test_2_092812,60,350,,None,None,5,75,900
3,FIRE,FSW_Test_3_092812,FSW_Test_3_092812,60,350,,None,None,5,75,900
4,FIRE,FSE_Test_4_092912,FSE_Test_4_092912,60,350,,None,TC 3 1.83 m BC,5,75,900
5,FIRE,FSE_Test_5_093912,FSE_Test_5_093912,60,350,,None,None,5,80,900
6,FIRE,FSW_Test_6_093012,FSW_Test_6_093012,60,350,,None,None,5,75,900
7,FIRE,FSW_Test_7_093012,FSW_Test_7_093012,60,350,,None,None,5,150,900
8,FIRE,FSE_Test_8_093912,FSE_Test_8_093912,60,350,,None,None,5,150,1000
11,FIRE,FSE_Test_11_051613,FSE_Test_11_051613,0,1000,,None,None,5,75,1000
12,FIRE,FSW_Test_12_051613,FSW_Test_12_051613,0,1200,,None,None,5,60,1000
13,FIRE,FSE_Test_13_052013,FSE_Test_13_052013,0,600,,None,TC 1 2.13 m BC|FSW1_2-13mBC|FSW1_2-13mBC,5,75,1000
14,FIRE,FSW_Test_14_052013,FSW_Test_14_052013,0,1000,,None,TC 1 2.13 m BC|FSW1_2-13mBC|FSW1_2-13mBC|Heat Flux 3 Vertical|Heat Flux 2,5,60,1000
