Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,15.1,11.256
2,13.9,10.048
3,15,11.172
4,13.4,9.541
5,23.6,19.761
6,23.9,20.051
7,19.1,15.251
8,8.3,4.419
9,4.9,1.036
10,4.5,0.657
11,0,0
12,19.1,15.253
13,4.6,0.752
14,4.3,0.444
15,4.4,0.51
16,4.6,0.743
17,4.6,0.752
18,4.4,0.53
19,4.1,0.275
20,3.9,0.07
21,4.6,0.728
22,0,0
23,20.1,16.239
24,7.5,3.651
25,4.2,0.35
26,4.1,0.328
27,4.5,0.667
28,4.6,0.727
29,4.4,0.543
30,4.2,0.331
31,4.3,0.44
32,4.3,0.412
33,0,0
34,8.5,4.638
35,7.9,4.062
36,4.6,0.712
37,4.2,0.37
38,4.8,0.921
39,4.6,0.712
40,4.3,0.38
41,0,0
42,0,0
43,0,0
44,0,0
45,5.1,1.238
46,6.3,2.47
47,5.5,1.696
48,4.8,0.862
49,4.7,0.846
50,5.1,1.228
51,4.6,0.728
52,0,0
53,0,0
54,0,0
55,0,0
56,5,1.1
57,5.5,1.56
58,7.2,3.3
59,5.5,1.6
60,4.6,0.72
61,4.5,0.64
62,4.5,0.6
63,,0
64,,0
65,,0
66,,0
67,4.2,0.3
68,4.1,0.22
69,4.3,0.38
70,4.4,0.5
71,4.3,0.462
72,4.2,0.364
73,4.2,0.368
74,,0
75,,0
76,,0
77,,0
78,,0
79,,0
80,,0
81,,0
82,,0
83,,0
84,,0
85,,0
86,,0
87,,0
88,,0
