Test No: 7,Date: 9/23/12,"Nozzle: 7/8""  ""slug"""
"Flowrate: 120, 125 gpm",Fluid: Water,Pattern: Solid Stream
Flow time: 15.2 s,,Nozzle Height: 
,,Nozzle Location: 
Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,24.4,20.556
2,13.7,9.848
3,10.3,6.472
4,8,4.141
5,6.1,2.261
6,5.1,1.251
7,4.2,0.351
8,0,0
9,0,0
10,0,0
11,0,0
12,19.7,15.853
13,7.1,3.252
14,6.8,2.944
15,5.9,2.01
16,4.7,0.843
17,4.2,0.352
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,15.3,11.439
24,6,2.151
25,5.1,1.25
26,4.6,0.828
27,4.2,0.367
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,13.4,9.538
35,4.8,0.962
36,4.5,0.612
37,4.1,0.27
38,4,0.121
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,7.8,3.938
46,4.7,0.87
47,4.3,0.496
48,4.1,0.162
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
