Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,0,0
2,0,0
3,0,0
4,4.4,0.541
5,7.2,3.361
6,10.1,6.251
7,11.2,7.351
8,7.4,3.519
9,7.6,3.736
10,15,11.157
11,19,15.142
12,0,0
13,0,0
14,0,0
15,7,3.11
16,4.1,0.243
17,5.9,2.052
18,5.5,1.63
19,5.4,1.575
20,5.3,1.47
21,7.5,3.628
22,5.9,2.001
23,0,0
24,0,0
25,0,0
26,4,0.228
27,6.6,2.767
28,5.7,1.827
29,4.7,0.843
30,5.5,1.631
31,5.4,1.54
32,5.6,1.712
33,5,1.107
34,0,0
35,0,0
36,0,0
37,4.1,0.27
38,5.9,2.021
39,5,1.112
40,4.5,0.58
41,4.7,0.79
42,4.9,1.03
43,4.9,1.022
44,5.4,1.516
45,0,0
46,0,0
47,0,0
48,0,0
49,5.2,1.346
50,4.9,1.028
51,4.4,0.528
52,4.3,0.4
53,4.5,0.652
54,4.6,0.771
55,5.9,2
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,4.9,1
63,4.6,0.5
64,4.5,0.584
65,5.3,1.4
66,6.4,2.56
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,4.7,0.868
74,4.5,0.652
75,4.5,0.518
76,6.3,2.432
77,4.4,0.516
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,4.2,0.36
85,5.1,1.22
86,4.5,0.6
87,0,0
88,0,0
