Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,39.3,35.456
2,11.6,7.748
3,11.8,7.972
4,10.6,6.741
5,12.8,8.961
6,4.3,0.451
7,7.5,3.651
8,5.1,1.219
9,4.2,0.336
10,0,0
11,0,0
12,29.4,25.553
13,7.4,3.552
14,6.7,2.844
15,6,2.11
16,5.7,1.843
17,5.4,1.552
18,5.6,1.73
19,5.3,1.475
20,4.3,0.47
21,0,0
22,0,0
23,18.1,14.239
24,6.9,3.051
25,7.2,3.35
26,6.3,2.528
27,5.3,1.467
28,5.1,1.227
29,4.7,0.843
30,4.7,0.831
31,0,0
32,0,0
33,0,0
34,12.3,8.438
35,6.9,3.062
36,6.3,2.412
37,5.5,1.67
38,4.8,0.921
39,4.4,0.512
40,4.4,0.48
41,4.1,0.19
42,0,0
43,0,0
44,0,0
45,6,2.138
46,4.7,0.87
47,4.4,0.596
48,0,0
49,0,0
50,0,0
51,0,0
52,4.3,0.4
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
