Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,13.2,9.356
2,11.7,7.848
3,12,8.172
4,12.1,8.241
5,19,15.161
6,22.6,18.751
7,11.8,7.951
8,7.6,3.719
9,4.8,0.936
10,4.3,0.457
11,4.2,0.342
12,12.8,8.953
13,4.4,0.552
14,4.3,0.444
15,4.3,0.41
16,4.4,0.543
17,4.5,0.652
18,4.4,0.53
19,4.1,0.275
20,4,0.17
21,4,0.128
22,4.2,0.301
23,21.8,17.939
24,5.6,1.751
25,4.1,0.25
26,4.1,0.328
27,4.3,0.467
28,4.5,0.627
29,4.3,0.443
30,4.2,0.331
31,4,0.14
32,4,0.112
33,4.2,0.307
34,12.1,8.238
35,7.4,3.562
36,4.4,0.512
37,4.1,0.27
38,4.4,0.521
39,4.5,0.612
40,4.3,0.38
41,4.4,0.49
42,4.2,0.33
43,4.1,0.222
44,4.1,0.216
45,6.7,2.838
46,7.3,3.47
47,5,1.196
48,4.3,0.362
49,4.3,0.446
50,4.5,0.628
51,4.3,0.428
52,4.2,0.3
53,4.1,0.252
54,4.1,0.271
55,4.1,0.2
56,4.4,0.5
57,4.9,0.96
58,5,1.1
59,4.2,0.3
60,4.1,0.22
61,4.2,0.34
62,4.3,0.4
63,4.6,0.5
64,4.2,0.284
65,4.1,0.2
66,4.1,0.26
67,4,0.1
68,4,0.12
69,4.1,0.18
70,4.2,0.3
71,4,0.162
72,4,0.164
73,4.1,0.268
74,4.5,0.652
75,4.4,0.418
76,4.6,0.732
77,3.9,0.016
78,4.1,0
79,3.9,0.028
80,3.9,0.036
81,4.1,0.26
82,4.1,0.2
83,4.2,0.3
84,4.2,0.36
85,4.2,0.32
86,0,0
87,0,0
88,0,0
