Time,GC_1_0mBC,GC_1_0-3mBC,GC_1_0-61mBC,GC_1_0-91mBC,GC_1_1-22mBC,GC_1_1-52mBC,GC_1_1-83mBC,GC_1_2-13mBC,GC_1_2-44mBC,GC_1_2-74mBC,GC_1_3-05mBC,GC_2_0mBC,GC_2_0-3mBC,GC_2_0-61mBC,GC_2_0-91mBC,GC_2_1-22mBC,GC_2_1-52mBC,GC_2_1-83mBC,GC_2_2-13mBC,GC_2_2-44mBC,GC_2_2-74mBC,GC_2_3-05mBC,GC_3_0mBC,GC_3_0-3mBC,GC_3_0-61mBC,GC_3_0-91mBC,GC_3_1-22mBC,GC_3_1-52mBC,GC_3_1-83mBC,GC_3_2-13mBC,GC_3_2-44mBC,GC_3_2-74mBC,GC_3_3-05mBC,GC_4_0mBC,GC_4_0-3mBC,GC_4_0-61mBC,GC_4_0-91mBC,GC_4_1-22mBC,GC_4_1-52mBC,GC_4_1-83mBC,GC_4_2-13mBC,GC_4_2-44mBC,GC_4_2-74mBC,GC_4_3-05mBC,GC_5_0-15mBS,GC_5_0-3mBS,GC_5_0-61mBS,GC_5_0-91mBS,GC_5_1-22mBS,GC_5_1-52mBS,GC_8_0-15mAF,BDP5_SED_0-15mBS,BDP5_SED_0-3mBS,BDP5_SED_0-61mBS,BDP5_SED_0-91mBS,BDP5_SED_1-22mBS,BDP5_SED_1-52mBS,HF_0-15mAF,RAD_0-15mAF,EVENT,Untitled,Comment
0,20.153641,20.528916,20.81756,20.996269,20.870246,20.933282,20.917586,20.909797,21.087781,20.945649,20.853111,20.273542,20.804668,20.913633,20.763483,20.566113,20.953053,20.54628,20.535761,20.693079,20.353828,20.617343,20.065625,20.773105,20.855508,20.769462,20.918527,21.027633,21.120846,21.119623,20.348551,20.770114,22.70246,23.30827,23.690612,23.537027,23.605066,23.450457,23.607395,23.540555,23.799327,23.879741,23.394376,23.400636,28.754652,27.837248,27.618981,28.368325,28.565668,29.08816,1259.80066,2.504437,2.484116,2.463486,2.515635,2.471686,2.485736,-0.000668,-0.000975,5.000926,0,
1,20.229499,20.490947,20.81756,20.996269,20.794391,20.971209,21.031397,20.909797,21.163641,20.98356,20.928948,20.273542,20.728797,20.913633,20.801415,20.604054,20.953053,20.50832,20.497805,20.693079,20.391785,20.579406,20.065625,20.773105,20.77961,20.845348,20.880579,20.951757,21.120846,20.930017,20.42443,20.770114,22.708067,23.465314,23.734059,23.618346,23.648534,23.418198,23.612997,23.508295,23.880577,23.885342,23.43785,23.368386,28.760228,27.95595,27.737658,28.373903,28.684211,29.169025,1259.807007,2.506879,2.488694,2.46318,2.51533,2.473364,2.486652,-0.000668,-0.000669,1.903414,0,
2,20.235107,20.572489,20.861113,21.077723,20.837924,20.938886,21.037001,20.953345,21.093384,21.027072,20.896635,20.279149,20.772338,20.881312,20.731155,20.571718,20.920747,20.551886,20.541367,20.736618,20.359435,20.547075,20.109192,20.70282,20.89906,20.775067,20.848234,21.071173,21.088525,21.049388,20.354158,20.813656,22.74034,23.535423,23.841986,23.688455,23.794384,23.412595,23.607395,23.502692,23.837152,23.917583,23.470115,23.400636,28.754652,27.912664,27.732077,28.443651,28.678635,29.276379,1259.80066,2.505047,2.491899,2.46608,2.518382,2.467413,2.483447,-0.000668,-0.000975,0.001749,0,
3,20.229499,20.490947,20.81756,20.958341,20.908172,21.009135,21.069332,20.985683,21.125711,21.021469,20.928948,20.311478,20.766733,20.951558,20.687616,20.566113,20.877231,20.50832,20.497805,20.693079,20.42974,20.579406,20.103584,20.735161,20.893456,20.807406,20.84263,20.989696,21.044996,21.043784,20.386491,20.770114,22.713674,23.81158,23.966705,23.813216,23.957016,23.575241,23.732157,23.589622,23.848355,23.890944,23.481321,23.449696,28.80348,27.923824,27.780934,28.530126,28.80274,29.287525,1259.813353,2.506421,2.489304,2.46547,2.518688,2.470465,2.486804,-0.000516,-0.000975,0.000528,0,
4,20.273034,20.534522,20.861113,21.001872,20.837924,20.938886,21.074935,20.915402,21.093384,20.989163,20.934553,20.241213,20.772338,20.881312,20.769088,20.60966,20.958657,20.551886,20.617277,20.77455,20.359435,20.585012,20.109192,20.77871,20.823164,20.699178,20.848234,20.9953,21.088525,21.049388,20.392098,20.775719,22.751554,24.03863,24.23153,23.964607,24.108425,23.726659,23.845704,23.66534,23.924,24.004463,23.594918,23.525398,28.87883,28.036937,27.818628,28.605441,28.840388,29.325164,1259.813353,2.505047,2.484116,2.45967,2.513957,2.469092,2.486041,-0.000516,-0.000975,0.000222,0,
5,20.153641,20.528916,20.893456,20.958341,20.832319,21.009135,21.031397,20.985683,21.125711,21.097283,20.891031,20.235605,20.766733,20.837781,20.763483,20.604054,20.915143,20.584239,20.573717,20.768945,20.42974,20.541469,20.027665,20.773105,20.855508,20.731518,20.804679,21.065569,21.082922,21.005863,20.348551,20.732176,22.692616,24.509384,24.664347,24.132778,24.238767,23.857015,23.938199,23.682148,23.902983,24.021266,23.535999,23.542208,28.933229,28.053677,27.873064,28.697481,28.894762,29.379521,1259.832396,2.501384,2.4832,2.46028,2.506632,2.468023,2.483294,-0.000821,-0.000975,0.000222,0,
6,20.267427,20.528916,20.81756,20.958341,20.794391,20.971209,21.031397,20.985683,21.163641,21.059376,20.853111,20.197667,20.804668,20.875708,20.72555,20.566113,20.915143,20.54628,20.535761,20.731013,20.391785,20.541469,20.065625,20.735161,20.81756,20.693572,20.880579,20.913818,21.082922,21.005863,20.348551,20.694236,22.637911,24.908552,25.176809,24.607783,24.486855,24.067275,24.186271,23.892462,23.924,24.004463,23.632781,23.601094,28.991844,27.999234,27.894012,28.68075,28.915681,29.400439,1259.813353,2.500621,2.480758,2.45387,2.513194,2.466497,2.479326,-0.000363,-0.000975,6.98E-05,0,
7,20.229499,20.566883,20.855508,21.034195,20.794391,20.971209,21.031397,20.909797,21.163641,21.059376,20.853111,20.197667,20.728797,20.837781,20.763483,20.566113,20.915143,20.50832,20.535761,20.731013,20.353828,20.655278,20.065625,20.697215,20.77961,20.731518,20.804679,20.913818,21.082922,21.043784,20.348551,20.770114,22.745947,25.432136,25.624658,24.98035,24.89738,24.440014,24.445486,24.000405,23.99404,23.998862,23.702901,23.633337,28.948599,28.069059,27.926122,28.675174,28.910106,29.470135,1259.807007,2.496653,2.477248,2.452802,2.512278,2.464208,2.476274,-0.000668,-0.001127,0.000222,0,
8,20.229499,20.528916,20.741658,20.996269,20.832319,20.971209,21.031397,20.985683,21.125711,21.059376,21.004781,20.197667,20.728797,20.875708,20.72555,20.604054,20.915143,20.50832,20.535761,20.768945,20.391785,20.541469,20.065625,20.659268,20.81756,20.731518,20.804679,20.875877,21.044996,20.96794,20.348551,20.808052,22.637911,25.740001,25.932439,25.326179,25.09207,24.748188,24.602378,24.043851,24.150907,24.0423,23.708503,23.676785,28.954174,28.112338,27.931702,28.756054,28.915681,29.550971,1259.813353,2.507336,2.487931,2.459212,2.513652,2.466803,2.476426,-0.000363,-0.000822,6.98E-05,0,
9,20.191571,20.566883,20.741658,20.920412,20.756462,20.971209,20.993461,21.023624,21.125711,21.097283,21.004781,20.159728,20.69086,20.837781,20.72555,20.604054,20.915143,20.50832,20.611671,20.731013,20.391785,20.655278,20.027665,20.697215,20.77961,20.769462,20.804679,20.989696,21.007069,21.005863,20.272667,20.732176,22.632303,25.961058,26.379975,25.622927,25.426762,25.120695,24.861493,24.113938,24.220932,24.188035,23.702901,23.746869,29.023938,28.106759,28.039185,28.750478,28.985393,29.507768,1259.807007,2.494516,2.477248,2.452497,2.512431,2.464514,2.475205,-0.000516,-0.000822,6.98E-05,0,
