Time,TC_A1_1,TC_A1_2,TC_A1_3,TC_A1_4,TC_A1_5,TC_A1_6,TC_A1_7,TC_A1_8,TC_A1_9,TC_A1_10,TC_A1_11,TC_A2_1,TC_A2_2,TC_A2_3,TC_A2_4,TC_A2_5,TC_A2_6,TC_A2_7,TC_A2_8,TC_A2_9,TC_A2_10,TC_A2_11,TC_A3_1,TC_A3_2,TC_A3_3,TC_A3_4,TC_A3_5,TC_A3_6,TC_A3_7,TC_A3_8,TC_A3_9,TC_A3_10,TC_A3_11,TC_A4_1,TC_A4_2,TC_A4_3,TC_A4_4,TC_A4_5,TC_A4_6,TC_A4_7,TC_A4_8,TC_A4_9,TC_A4_10,TC_A4_11,TC_A5_1,TC_A5_2,TC_A5_3,TC_A5_4,TC_A5_5,TC_A5_6,TC_A8_1,BDP_A5_1,BDP_A5_2,BDP_A5_3,BDP_A5_4,BDP_A5_5,BDP_A5_6,HF_0p15mAF,RAD_0p15mAF,EVENT,Untitled,Comment
0,270.375914,263.165826,257.14849,260.66099,256.844296,251.797713,231.206447,185.810386,67.172716,66.199366,66.116577,244.271143,271.436195,254.267194,244.074325,239.946018,235.464536,226.79312,210.770482,67.953902,66.979394,67.952618,218.300847,247.349365,245.179804,241.476907,241.635382,230.263523,224.396754,64.327147,181.219491,63.116234,61.089389,258.450548,239.584072,761.001217,754.795287,741.554563,712.770474,674.784356,650.009403,603.556407,425.528802,216.108682,208.051465,194.222023,149.309495,82.895034,53.829306,38.475194,1261.620918,2.538166,2.524711,2.479511,2.515635,2.465734,2.484668,0.000858,-0.000669,-8.28E-05,0,
1,269.191629,262.088425,255.544344,257.938442,253.405925,248.088669,227.805943,183.90617,67.031398,66.42494,66.268814,242.885168,269.358691,251.912349,241.633747,238.481574,234.526719,225.661787,209.557576,67.775958,67.094981,68.104825,216.900819,245.287498,243.303887,238.99522,239.077888,227.354175,221.557997,64.626333,179.507532,63.084983,61.793434,258.79271,239.702808,759.751752,753.436623,740.383934,712.045268,674.354495,650.014815,599.14699,416.994493,213.566562,205.732207,191.325128,148.633302,81.946985,54.092985,39.711642,1261.627348,2.593721,2.549739,2.504236,2.53578,2.479621,2.480242,0.0004,-0.000975,0.000222,0,
2,268.144476,261.074111,253.852946,255.201509,250.363893,245.189796,224.958593,181.952441,66.915816,66.272731,65.933124,241.261268,266.97028,248.868358,239.36788,236.32579,232.859746,223.456663,207.189877,67.293547,66.759171,68.136028,215.983024,244.002896,242.243956,237.594075,237.714219,225.795116,219.502698,65.428405,178.395009,63.336644,62.523033,259.235777,271.74462,758.602267,752.21474,739.643494,711.236174,673.587378,649.106993,598.675115,412.083443,211.69641,203.781815,188.874697,148.438252,81.428101,54.013703,40.227835,1261.620918,2.602421,2.555386,2.513699,2.543563,2.482673,2.480547,0.0004,-0.000822,6.98E-05,0,
3,267.256881,260.444333,252.359016,252.772367,248.042631,242.524455,222.612996,180.201248,66.774489,65.801312,65.498285,239.873552,264.814321,246.169848,236.847099,233.537248,230.257978,220.767654,204.717962,66.932123,66.434297,68.178188,215.646593,243.782739,242.023594,237.373334,236.776331,224.92898,218.559015,67.011803,178.744196,64.113442,63.210201,259.486259,262.120454,758.000898,751.945727,739.522255,710.020045,672.77867,648.157801,599.705038,411.423057,211.608884,202.2065,187.029583,148.919299,81.417107,54.297642,40.179403,1261.608058,2.603184,2.54806,2.482716,2.54341,2.47367,2.481463,9.47E-05,-0.001127,-0.000235,0,
4,266.36339,260.444333,251.796444,251.235294,246.202016,240.151951,220.867316,178.864616,66.55427,65.434426,65.20471,238.856285,263.135912,244.402981,235.186565,230.815666,227.685856,218.488636,202.315448,66.56519,66.177336,68.288231,215.152379,244.008514,241.985928,237.07147,236.323313,225.042707,217.98927,68.185701,178.820527,65.141581,64.501417,259.903019,252.698362,756.567854,750.808966,738.976649,708.893637,671.76883,646.972397,599.961627,410.887096,210.091893,201.14395,185.812834,148.924977,81.752633,54.192552,39.737745,1261.614488,2.620736,2.574462,2.524993,2.53929,2.475196,2.477952,0.000247,-0.000822,-8.28E-05,0,
5,266.25168,261.789586,251.721424,250.372587,245.074396,238.493584,219.120653,177.795415,66.517565,64.95742,64.947812,238.554791,263.210533,244.591009,234.469177,229.567333,226.20958,216.398134,200.293508,66.308317,65.846935,68.214869,214.734145,244.046141,241.75992,236.882787,236.096774,225.383862,217.837322,68.845901,178.935025,66.206134,65.718718,260.282335,253.153787,754.98779,749.525153,738.100511,707.876986,670.795419,645.101813,599.069843,409.737425,210.402183,200.348348,185.321928,149.347382,81.318095,53.829306,39.072142,1261.620918,2.617836,2.562559,2.528961,2.568896,2.475653,2.474595,9.47E-05,-0.000822,-0.000235,0,
6,266.772948,264.738956,252.996432,250.672695,244.848808,237.437676,217.145021,176.802683,66.627677,64.700545,64.360548,238.554791,263.620909,245.493332,235.11106,229.756512,226.323167,215.979878,198.690767,66.27162,65.810222,67.994779,214.46797,243.970886,241.684579,236.845048,236.247803,225.421766,217.267452,68.882577,178.591534,66.793353,65.718718,260.618629,256.225136,753.623889,748.30983,737.476115,706.818581,670.179198,643.190292,596.95283,408.582124,210.744813,199.775916,185.283725,149.688396,79.448233,53.349782,38.36323,1261.620918,2.58319,2.546382,2.533387,2.56096,2.47489,2.477342,-0.00021,-0.000822,-8.28E-05,0,
7,266.959088,266.678297,254.345676,251.722769,245.600686,236.569985,214.940065,175.61918,66.701084,64.517051,63.809895,239.195421,265.149859,246.996437,235.94149,230.626563,227.11815,216.512195,199.034243,66.418407,65.589937,67.921414,214.049655,244.008514,241.646907,236.845048,236.398822,224.92898,216.089416,67.965616,177.675608,66.683256,64.868672,261.136059,255.246124,752.844444,747.494279,736.479098,705.64548,668.579152,641.273915,594.579736,407.348961,209.406495,199.464882,185.201598,150.023777,76.840155,52.975292,37.424167,1261.614488,2.572659,2.537988,2.501794,2.524792,2.473975,2.472763,-5.79E-05,-0.000975,-8.28E-05,0,
8,266.990751,267.71634,255.538754,252.654335,246.346712,235.507621,213.336834,174.506487,66.769009,64.73176,63.877837,239.604229,266.746765,248.417888,237.294147,231.71753,228.096446,217.570905,199.562808,66.37623,65.584455,67.732516,213.853817,243.92764,241.528266,236.990364,236.20441,224.127102,214.563098,66.529341,176.14355,66.200653,63.662084,261.477825,254.689971,752.370934,747.131642,735.823705,704.629489,667.497595,639.188683,590.819243,408.546018,209.64068,199.203437,184.863502,149.991559,74.353286,52.279577,36.57028,1261.620918,2.562739,2.529136,2.490195,2.537611,2.473517,2.473221,-0.00021,-0.000975,-0.000235,0,
9,267.28854,268.610496,256.549649,253.778434,246.760012,235.054601,212.423636,173.933968,67.062618,65.245487,64.134814,240.47055,268.310928,249.806557,238.613998,232.473549,228.928745,218.748934,200.707514,66.302837,65.143846,67.549091,213.77775,244.191026,241.603612,237.103571,236.166653,223.747874,212.813566,65.905515,174.884504,65.429798,62.344781,261.856886,253.609123,751.897473,746.437749,735.131696,704.306672,666.92338,637.824703,585.661759,409.670633,211.740172,198.903813,184.257996,150.489962,72.159523,50.881696,35.753138,1261.627348,2.54824,2.515401,2.48409,2.540053,2.472754,2.458875,-0.00021,-0.000975,-0.000235,0,
10,267.362982,269.318133,257.447852,254.452632,247.210801,234.903577,212.08113,173.590479,67.429602,65.942575,64.465184,240.847115,269.390347,250.931897,239.593999,233.153779,229.609526,219.736629,200.097029,66.045948,64.886799,67.549091,213.663648,244.492002,241.904972,237.405431,236.317678,224.013338,212.090694,65.868816,174.121545,64.915808,61.488318,262.107086,253.298088,751.260152,745.764227,734.716923,704.040427,666.188056,636.805054,582.855246,408.323964,211.652647,198.510682,183.749931,150.895594,70.352187,49.096012,34.955985,1261.614488,2.551445,2.520285,2.48699,2.538832,2.467871,2.449261,-0.00021,-0.000975,0.000222,0,
11,267.182436,270.180023,258.500899,255.2071,247.667113,234.984729,211.668153,173.367193,67.802038,66.461621,64.654193,241.266893,270.512034,251.98732,240.428549,233.952794,230.22017,220.122099,199.33954,65.94133,64.671942,67.481198,213.707362,245.099456,242.400222,237.675161,236.587584,224.511941,211.753917,66.277964,173.669506,64.59083,61.11514,262.51219,254.30416,750.260128,744.801945,734.160881,703.67025,665.20474,635.25064,580.592117,406.260027,210.923742,198.199593,183.171194,151.458653,69.686711,47.350694,34.08892,1261.608058,2.560755,2.539667,2.503778,2.53578,2.479926,2.469101,-0.00021,-0.000975,6.98E-05,0,
12,267.815142,270.961627,259.248795,255.581447,248.117727,234.531615,210.868772,173.023732,67.802038,65.691249,62.965376,241.153949,271.627648,253.224001,241.219528,234.708157,230.976219,220.387932,198.538106,65.867928,64.194491,67.261075,214.125716,246.265078,243.379177,238.278704,237.153782,225.270149,212.096376,66.498129,173.59322,64.55411,61.309999,262.896675,253.491085,749.387337,743.929968,733.401223,703.644708,663.948194,633.460682,580.531186,406.740399,209.64068,197.94382,182.877037,153.328801,69.807705,46.398428,33.387999,1261.620918,2.596011,2.54806,2.49691,2.542647,2.46314,2.466354,-0.000516,-0.000975,-8.28E-05,0,
13,268.559288,271.370938,259.80956,256.404798,248.305458,233.662922,210.069231,172.413179,66.737787,64.11333,61.459327,241.417476,272.965711,254.871881,242.23612,235.538798,231.61869,220.122099,197.583905,65.684418,63.716971,67.114321,214.658097,247.392549,244.432986,239.259146,237.983973,226.06605,212.781205,66.865045,173.745794,64.664268,61.819177,263.338962,253.185651,748.682247,743.335887,732.771956,703.456898,662.89285,631.942997,580.23914,407.023925,208.682899,197.976275,183.062316,155.259146,70.498841,45.985079,32.857328,1261.614488,2.602116,2.539972,2.493247,2.540206,2.459783,2.477342,-0.00021,-0.000975,6.98E-05,0,
14,268.73417,271.769076,260.359032,257.403702,248.594582,233.424973,209.410498,171.753141,65.368603,62.670573,60.235543,242.083739,274.700442,257.105927,243.542044,237.074808,232.400825,220.262669,196.999932,65.196287,63.26515,67.066672,214.87488,248.921336,245.775966,240.00181,238.840341,226.81253,213.416513,67.220972,173.35297,64.873609,62.480775,263.71213,251.085828,747.909158,742.269292,731.74475,702.362963,661.010701,629.783129,579.594135,407.204503,207.387744,198.319827,183.902736,156.170688,71.305392,45.280408,32.444605,1261.614488,2.625467,2.557675,2.498894,2.544173,2.471381,2.47841,9.47E-05,-0.000822,-8.28E-05,0,
15,269.451957,272.598458,260.89332,258.05062,249.206354,233.889566,209.612281,171.84084,64.865522,61.469491,59.106679,243.148505,275.973701,258.874335,244.681698,238.368455,233.809459,220.843593,197.011329,65.684418,62.577976,67.15101,215.266435,250.283905,247.027867,240.955133,239.341863,227.846536,214.302598,67.121868,173.402507,65.141581,63.037496,264.090828,247.036436,747.693814,741.907065,730.906635,701.566356,660.400933,628.852777,579.133682,407.571052,206.936251,198.783589,185.01631,156.670256,71.750795,44.618033,32.187506,1261.620918,2.611426,2.555386,2.505762,2.54219,2.468023,2.471848,-5.79E-05,-0.000975,-8.28E-05,0,
16,270.598944,274.451622,261.971002,258.867511,249.68859,234.337154,209.796997,172.369325,65.594369,60.65566,58.181536,243.782297,278.156896,260.998088,246.705877,239.832966,235.577727,222.204506,197.99807,66.779873,62.278484,67.182219,216.021034,251.591371,248.187143,242.117165,240.165687,228.711768,215.323501,66.786184,173.129821,65.025955,62.701274,264.53289,254.422155,748.130027,741.828014,730.094351,700.503816,660.540257,629.279251,578.913323,410.81491,207.46394,199.464882,185.812834,157.006523,71.965246,44.278366,31.956635,1261.614488,2.611731,2.558285,2.502405,2.555619,2.483741,2.475053,-0.00021,-0.000975,6.98E-05,0,
17,270.939004,276.648657,263.507221,260.479812,250.932098,235.400012,209.878841,172.794768,66.774489,59.96283,57.635056,245.06622,280.423389,263.131051,248.701986,241.684432,237.657623,223.196761,198.194608,67.775958,61.585585,67.297763,216.672812,253.059226,249.43215,243.478059,241.301926,229.815094,216.0134,66.461435,172.754124,65.031437,62.076484,264.943163,253.22313,748.203653,741.607391,729.617676,699.847808,660.214586,628.88337,580.274974,412.330631,207.46394,200.26631,186.57688,157.576546,72.441783,44.723816,31.731342,1261.614488,2.602421,2.552181,2.492026,2.53288,2.479163,2.471543,-5.79E-05,-0.000975,6.98E-05,0,
18,271.30507,278.68432,264.844809,261.781213,252.12626,236.526617,210.253927,173.13252,68.163488,59.222041,56.746087,246.601173,282.787902,265.586363,250.572655,243.786608,239.950502,224.632447,198.60874,68.247365,60.771209,67.182219,217.275122,254.702249,251.265653,245.052619,242.652338,231.284918,217.413753,66.492648,173.77824,64.732222,61.567355,265.284375,262.430307,748.172355,741.02462,729.10988,698.723673,659.785806,629.176677,580.172841,411.650401,207.317256,201.035198,187.537654,158.114363,72.630557,45.063363,31.54919,1261.620918,2.587311,2.543329,2.49691,2.529981,2.467871,2.459181,-0.00021,-0.000822,-8.28E-05,0,
19,272.016543,280.062112,266.267324,262.981097,253.18114,237.098181,210.411911,173.519848,68.902749,58.234509,55.867724,247.808475,284.865483,267.752404,252.527973,245.672607,242.026691,226.53352,200.560594,68.913077,60.40894,67.224387,218.458451,256.916642,253.48375,247.313794,244.577689,232.387175,218.445074,66.828355,174.661307,64.51739,61.230955,265.651648,270.772045,747.98278,740.577955,728.224593,697.297467,659.780386,628.739419,580.812498,412.150208,207.387744,201.678106,188.601569,159.55345,72.625062,44.57535,31.205471,1261.614488,2.579527,2.532189,2.492484,2.518382,2.445438,2.414006,-0.000363,-0.000975,-8.28E-05,0,
20,272.896842,281.051966,267.374243,263.939885,253.731871,237.577282,210.324393,173.928271,69.625486,57.37724,55.082995,248.810709,286.62923,269.899812,254.127812,247.352448,243.482588,228.226991,202.037049,69.342236,60.030141,67.250116,219.396522,258.813083,255.458265,249.180559,246.447043,234.681043,220.21835,66.890775,174.764358,64.286093,60.795213,265.955479,270.591613,747.730623,740.289378,728.120121,697.011537,660.473305,628.420933,582.573899,412.588619,206.783841,202.446818,189.600497,161.575321,72.154027,43.875465,30.98565,1261.620918,2.529772,2.514943,2.488516,2.547378,2.471991,2.444682,-0.00021,-0.000975,-8.28E-05,0,
21,273.576275,282.434034,268.391157,264.88327,254.454629,238.041108,210.297687,174.168668,70.186655,56.799321,54.28309,250.285011,288.450859,271.547133,255.823757,249.091046,245.072807,229.449939,203.955375,68.693007,59.489298,67.224387,220.736564,260.692926,257.041806,250.880654,248.03679,236.240509,221.595941,67.562103,175.195408,64.039991,60.458713,266.359921,300.879439,747.357031,739.879539,727.85806,696.678289,661.517375,629.351231,584.324754,412.944028,206.054112,203.051428,190.664335,164.04386,72.111875,43.349832,30.754516,1261.614488,2.516646,2.507618,2.471269,2.529676,2.471381,2.454297,-0.000363,-0.000975,-8.28E-05,0,
22,274.175745,283.365515,269.290395,265.820712,255.47102,238.80082,210.531815,174.403377,70.522241,56.178909,53.698608,251.452923,289.859703,273.039191,257.251072,250.897765,246.881675,230.818032,205.486127,66.864219,58.979635,67.266555,221.197656,261.931008,258.207256,252.123988,249.094153,237.378357,222.587965,68.447933,176.307573,63.935297,60.028348,266.669245,264.26439,747.000011,739.48625,727.539186,697.162686,662.650295,631.305764,585.518373,414.902861,204.693416,203.673113,191.286932,165.654873,73.259184,43.323817,30.80337,1261.627348,2.532367,2.511586,2.48119,2.533338,2.445743,2.448497,-0.00021,-0.000975,6.98E-05,0,
