Time,GC_1_0mBC,GC_1_0-3mBC,GC_1_0-61mBC,GC_1_0-91mBC,GC_1_1-22mBC,GC_1_1-52mBC,GC_1_1-83mBC,GC_1_2-13mBC,GC_1_2-44mBC,GC_1_2-74mBC,GC_1_3-05mBC,GC_2_0mBC,GC_2_0-3mBC,GC_2_0-61mBC,GC_2_0-91mBC,GC_2_1-22mBC,GC_2_1-52mBC,GC_2_1-83mBC,GC_2_2-13mBC,GC_2_2-44mBC,GC_2_2-74mBC,GC_2_3-05mBC,GC_3_0mBC,GC_3_0-3mBC,GC_3_0-61mBC,GC_3_0-91mBC,GC_3_1-22mBC,GC_3_1-52mBC,GC_3_1-83mBC,GC_3_2-13mBC,GC_3_2-44mBC,GC_3_2-74mBC,GC_3_3-05mBC,GC_4_0mBC,GC_4_0-3mBC,GC_4_0-61mBC,GC_4_0-91mBC,GC_4_1-22mBC,GC_4_1-52mBC,GC_4_1-83mBC,GC_4_2-13mBC,GC_4_2-44mBC,GC_4_2-74mBC,GC_4_3-05mBC,GC_5_0-15mBS,GC_5_0-3mBS,GC_5_0-61mBS,GC_5_0-91mBS,GC_5_1-22mBS,GC_5_1-52mBS,GC_8_0-15mAF,BDP5_SED_0-15mBS,BDP5_SED_0-3mBS,BDP5_SED_0-61mBS,BDP5_SED_0-91mBS,BDP5_SED_1-22mBS,BDP5_SED_1-52mBS,HF_GC8_0-15mAF,RAD_GC8_0-15mAF,EVENT,Untitled,Comment
0,300.123614,325.062585,316.33307,305.007435,292.077469,267.445689,230.857188,145.024655,79.046955,67.109195,63.062589,310.444183,335.43662,321.86604,312.032675,308.23562,302.292892,277.44946,164.282553,77.845374,67.851606,62.475292,267.84572,307.3585,307.233218,303.38612,297.959232,283.801406,253.86293,90.364128,152.309472,77.45146,81.906648,641.432868,345.911659,632.352772,621.906366,594.401959,541.90495,507.63176,467.40613,383.040754,199.011038,1265.230198,111.393572,84.77435,61.757777,49.844628,39.870061,35.946557,1263.866564,2.511457,2.498614,2.468064,2.518535,2.451848,2.478105,-0.00021,-0.000975,6.98E-05,0,
1,300.123614,324.806442,316.113155,304.676732,291.708579,267.110497,229.570756,143.436431,78.86359,67.182545,63.025867,309.710608,334.779654,321.317225,311.299171,307.464597,301.373928,275.630523,162.721046,77.62541,67.741516,62.401817,267.585039,306.954466,306.792354,302.94486,297.590833,283.209171,252.888748,90.143624,151.323619,77.304798,81.75989,641.180376,345.765888,631.884413,621.366557,593.110533,541.224517,506.770044,466.222365,382.968259,201.758908,1265.230198,111.02221,84.260341,61.574013,49.881602,39.795528,35.871744,1263.866564,2.505963,2.498156,2.463791,2.520672,2.472601,2.476274,-0.000516,-0.000975,6.98E-05,0,
2,300.055663,324.446061,315.715518,304.278085,291.234564,266.818174,228.705927,142.195118,78.722475,67.151449,62.774384,308.945783,334.237675,320.773909,310.571109,306.698997,300.349983,273.77875,160.519019,77.484345,67.710398,62.407404,267.292745,306.482499,306.28353,302.472354,297.043755,282.511351,251.169892,89.965471,150.306023,77.383704,81.50307,641.072168,345.693002,631.344037,620.826784,591.604041,540.508259,505.800506,465.397304,383.5482,203.780851,1265.230198,110.576678,83.856516,61.64752,49.881602,39.75826,35.759516,1263.866564,2.509931,2.491136,2.454481,2.501901,2.462987,2.452313,-5.79E-05,-0.000822,6.98E-05,0,
3,299.982115,324.080093,315.312272,303.72678,290.75486,266.371122,227.835067,141.213116,78.759147,67.078098,62.627478,308.322007,333.544063,320.115166,309.837329,305.890915,298.989028,271.510805,158.883123,77.301045,67.526908,62.297186,266.9575,305.931399,305.8058,302.030975,296.527835,281.585478,249.293922,89.744995,149.169456,77.273707,82.064609,641.011038,345.594794,630.886735,620.334006,590.395575,539.83873,504.841809,464.870169,383.160559,203.029579,1265.243317,110.068357,83.427218,61.658741,50.003808,39.844175,35.845757,1263.879675,2.508863,2.486863,2.469133,2.514109,2.46253,2.461165,-0.000363,-0.00128,-0.000235,0,
4,299.914161,323.939259,314.987887,303.291263,290.28069,266.041445,226.893926,140.086363,78.654706,67.047002,62.486151,307.593602,332.892431,319.4985,309.03559,304.978005,297.669904,269.544238,156.721706,77.123323,67.385691,62.266034,266.702387,305.275556,305.296837,301.558342,295.980572,280.701966,247.49728,89.530123,148.039191,77.242617,81.754291,640.850253,345.43233,630.510041,619.957734,589.410885,539.42838,504.286621,464.172152,380.316085,201.06623,1265.22364,109.717391,82.969954,62.156405,50.097781,39.938899,35.828626,1263.860009,2.503826,2.485184,2.467301,2.513346,2.467108,2.479631,-0.00021,-0.000669,-8.28E-05,0,
5,299.835014,323.750697,314.65233,302.697442,289.721381,265.58858,225.069221,138.7602,78.355756,66.931393,62.296911,306.964014,332.156583,318.834003,308.222515,304.090436,296.559947,267.378441,154.626294,76.861133,67.270012,62.186965,266.398654,304.571658,304.739863,301.074455,295.385136,279.84395,245.612639,89.340829,147.200702,77.347038,81.466382,640.711487,345.29211,630.11933,619.531475,588.842597,539.075698,503.681472,463.209047,378.072946,199.163727,1265.230198,109.277843,83.048962,62.676412,50.436098,40.168142,35.946557,1263.866564,2.509015,2.485031,2.465164,2.504037,2.451695,2.457654,-0.000363,-0.001127,6.98E-05,0,
6,299.761461,323.640894,314.17564,302.145884,289.056805,264.880341,222.642172,137.176863,77.989048,66.711326,62.149981,306.376617,331.645318,318.065127,307.341412,303.134704,295.234201,264.880665,153.031638,76.677839,67.159909,62.003253,265.951481,303.726148,304.078085,300.522492,294.647686,279.102521,243.807457,89.120397,146.254787,77.237042,81.184085,640.686428,345.193896,629.770152,619.254633,588.710105,538.656848,503.009909,461.390415,375.943448,197.228356,1265.243317,109.066598,83.133572,63.238668,50.595215,40.403028,35.995381,1263.879675,2.50581,2.473738,2.45967,2.502969,2.450627,2.459333,-5.79E-05,-0.000975,-0.000388,0,
7,299.608754,323.34251,313.729995,301.551863,288.349522,264.128926,220.245351,135.739723,77.726783,66.485668,61.923982,305.673373,331.091928,317.363792,306.454513,302.173114,293.312614,261.7397,151.35632,76.52563,67.117628,61.997665,265.573106,302.94839,303.337038,299.964842,294.088876,278.466499,242.334011,89.078072,145.379148,77.158137,81.282947,640.531153,345.036984,629.651114,619.135727,588.555727,537.714705,501.957078,458.437625,372.266424,195.574737,1265.230198,108.721485,83.48943,63.851847,50.916497,40.466147,36.058766,1263.866564,2.505963,2.489457,2.472033,2.506479,2.453374,2.452465,-5.79E-05,-0.001127,6.98E-05,0,
8,299.430451,322.945413,313.258772,300.895351,287.764128,263.612436,219.187843,134.65378,77.622349,66.344523,61.92957,305.017895,330.366948,316.673484,305.688772,301.296006,291.659173,259.316369,149.428314,76.384571,66.976398,61.89302,265.131446,302.255203,302.680583,299.271034,293.504285,277.804503,240.645091,89.083659,144.477557,77.090381,81.099516,640.422956,344.854746,629.579083,618.955848,588.591585,536.64019,500.555709,456.751352,368.598513,194.35262,1265.230198,108.610233,84.260341,63.815121,51.101225,40.503392,36.133566,1263.866564,2.507489,2.488847,2.468827,2.499306,2.455205,2.457807,-0.000363,-0.000975,6.98E-05,0,
9,299.314511,322.683595,312.849709,300.521864,287.315168,263.196411,218.87821,133.669872,77.396759,66.375624,61.923982,304.387855,329.776894,315.971922,305.021915,300.554651,290.473222,257.664988,147.831209,76.08573,66.860708,61.850687,264.790225,301.661054,301.939234,298.602704,292.760768,276.90841,238.491104,88.894392,143.602634,77.121472,80.921689,640.320263,344.82386,629.404504,618.92536,588.52534,535.320361,499.376556,454.998706,365.879109,192.677817,1265.236757,108.541727,84.81667,63.343256,51.217691,40.509079,36.027074,1263.873119,2.508863,2.48671,2.469896,2.509531,2.458104,2.453229,-0.000363,-0.001127,-0.000235,0,
