X_Value,GC1_0mBC,GC1_0-3mBC,GC1_0-61mBC,GC1_0-91mBC,GC1_1-22mBC,GC1_1-52mBC,GC1_1-83mBC,GC1_2-13mBC,GC1_2-44mBC,GC1_2-74mBC,GC1_3-05mBC,GC2_0mBC,GC2_0-3mBC,GC2_0-61mBC,GC2_0-91mBC,GC2_1-22mBC,GC2_1-52mBC,GC2_1-83mBC,GC2_2-13mBC,GC2_2-44mBC,GC2_2-74mBC,GC2_3-05mBC,GC3_0mBC,GC3_0-3mBC,GC3_0-61mBC,GC3_0-91mBC,GC3_1-22mBC,GC3_1-52mBC,GC3_1-83mBC,GC3_2-13mBC,GC3_2-44mBC,GC3_2-74mBC,GC3_3-05mBC,GC4_0mBC,GC4_0-3mBC,GC4_0-61mBC,GC4_0-91mBC,GC4_1-22mBC,GC4_1-52mBC,GC4_1-83mBC,GC4_2-13mBC,GC4_2-44mBC,GC4_2-74mBC,GC4_3-05mBC,GC5_0-3mBS,GC5_0-61mBS,GC5_0-91mBS,GC5_1-22mBS,GC5_1-52mBS,GC5_1-83mBS,GC6_0-3mBS,GC6_0-61mBS,GC6_0-91mBS,GC6_1-22mBS,GC6_1-52mBS,GC6_1-83mBS,GC8_0-15mAF,BDP5_SED_0-3mBS,BDP5_SED_0-61mBS,BDP5_SED_0-91mBS,BDP5_SED_1-22mBS,BDP5_SED_1-52mBS,BDP5_SED_1-83mBS,HF_GC8_0-15mAF,RAD_GC8_0-15mAF,EVENT,Untitled,Comment
0,195.470673,234.752766,229.654283,226.067664,218.747498,209.513392,190.51646,140.596112,52.918563,46.103191,44.087468,216.010866,245.773602,239.146858,231.76368,227.34912,224.784274,208.573678,132.728048,54.186758,46.952428,46.088531,192.490103,227.639466,225.52538,223.504727,221.004333,210.810598,187.742885,56.073492,136.765832,49.613022,62.965613,1259.710878,97.6713,381.343853,376.525384,368.61887,355.049845,341.105604,320.497736,255.679594,1260.633471,1260.281611,168.372844,107.780167,40.854942,30.088525,28.239762,198.251395,1259.447448,1259.842563,1260.50142,1259.184075,1259.184116,1259.403545,1258.92095,2.550044,2.490958,2.526623,2.468329,2.486194,2.587464,-0.000516,-0.000822,0.000222,0,
1,195.546956,234.714979,229.616432,225.95401,218.78547,209.47532,190.44008,140.558364,52.992393,46.103191,44.124597,215.896885,245.660826,239.033788,231.650271,227.34912,224.822156,208.42128,132.38974,54.223637,46.952428,46.12561,192.375569,227.677337,225.563288,223.353014,220.89043,210.734455,187.7047,56.073492,136.916453,49.57603,63.380603,1259.723506,97.645289,381.100689,376.281979,368.338924,354.623763,341.006906,320.654893,255.728063,1260.646104,1260.294242,168.879828,106.865098,40.940377,30.137208,28.250862,198.109947,1259.460075,1259.855192,1260.514053,1259.196701,1259.196742,1259.416172,1258.933574,2.547145,2.498284,2.541121,2.455357,2.486499,2.577238,-0.000363,-0.000822,-8.28E-05,0,
2,195.650162,234.477146,229.453899,225.829215,218.62242,209.502202,190.505238,140.396288,52.83388,46.166421,44.113681,215.885714,245.612184,238.947325,231.525745,227.262253,224.773134,208.257683,132.378697,54.175918,46.978604,46.188867,192.440705,227.590465,225.476335,223.379798,220.879276,210.799412,187.922587,56.099502,136.867727,49.380182,63.669099,1259.717192,97.7136,380.914026,376.058834,367.933916,354.436393,340.855611,320.466533,256.022059,1260.639787,1260.287926,169.484441,107.118871,41.344357,30.169269,28.245312,197.989808,1259.453761,1259.848878,1260.507737,1259.190388,1259.190429,1259.409858,1258.927261,2.537835,2.498131,2.526471,2.481605,2.48192,2.574338,-0.000363,-0.000822,0.000222,0,
3,195.884612,234.444904,229.383751,225.796895,218.665973,209.431653,190.549038,140.439578,52.728546,46.097742,44.08201,215.891299,245.692895,238.839785,231.455688,227.154208,224.778704,208.187076,132.196297,54.181337,46.98405,46.231392,192.331781,227.444533,225.519812,223.271582,220.808915,210.805005,188.080937,56.031238,136.684991,49.570594,63.999713,1259.717192,97.67673,380.732698,375.986232,367.643241,354.217976,340.636718,320.429939,256.433821,1260.639787,1260.287926,169.980304,108.044982,42.05128,30.206868,28.320664,198.027981,1259.453761,1259.848878,1260.507737,1259.190388,1259.190429,1259.409858,1258.927261,2.546687,2.51263,2.53288,2.470312,2.490009,2.580901,-0.00021,-0.000669,-0.000235,0,
4,195.808332,234.369321,229.308039,225.759007,218.665973,209.393581,190.625417,140.250858,52.802386,46.208933,44.119139,215.815309,245.46733,238.764396,231.455688,227.154208,224.740821,208.26328,132.008395,54.218217,46.98405,46.231392,192.255424,227.368783,225.557719,223.157789,220.695005,210.728861,188.004567,55.920715,136.308507,49.496607,64.025627,1259.704564,97.702741,380.576952,375.685129,367.450863,354.170852,340.297622,320.089791,256.273073,1260.627154,1260.275295,170.350536,107.95996,42.67248,30.270985,28.309564,197.978567,1259.441134,1259.836249,1260.495104,1259.177763,1259.177804,1259.397232,1258.914638,2.54455,2.506983,2.524182,2.468786,2.485125,2.577085,-0.000516,-0.000822,6.98E-05,0,
5,195.661379,234.299285,229.20003,225.726687,218.747498,209.437248,190.669217,140.067699,52.770891,46.140256,44.013207,215.7829,245.397662,238.543754,231.310014,226.970415,224.708508,208.192673,131.56303,54.149878,46.91536,46.12561,192.299213,227.298595,225.373744,223.049565,220.510723,210.467941,187.742885,55.999813,136.389332,49.428052,63.889512,1259.717192,97.67673,380.442563,375.586907,367.388891,353.963147,340.162425,319.990782,256.47125,1260.639787,1260.287926,170.476214,108.304377,43.129461,30.282064,28.39601,198.027981,1259.453761,1259.848878,1260.507737,1259.190388,1259.190429,1259.409858,1258.927261,2.553402,2.504083,2.528149,2.468023,2.484973,2.577696,-0.000363,-0.000975,-8.28E-05,0,
6,195.497598,234.439355,229.188908,225.75344,218.812279,209.426058,190.734374,139.981136,52.723122,46.203484,44.076552,215.695736,245.273818,238.457274,231.034225,226.883536,224.545831,208.105274,131.476856,54.139038,46.904467,46.188867,192.287993,227.135953,225.324697,222.962551,220.42362,210.304452,187.617107,55.915301,136.491207,49.343184,63.369782,1259.710878,97.70817,380.255882,375.436349,367.347204,354.030596,340.157054,320.058586,256.690302,1260.633471,1260.281611,170.890247,108.373037,43.532702,30.238927,28.428131,197.984188,1259.447448,1259.842563,1260.50142,1259.184075,1259.184116,1259.403545,1258.92095,2.54806,2.50561,2.51823,2.471075,2.49413,2.572049,-5.79E-05,-0.000975,-8.28E-05,0,
7,195.514424,234.644953,229.092016,225.694366,218.866992,209.480916,190.789396,139.922294,52.776316,45.960372,43.981533,215.712494,245.252794,238.360795,230.899642,226.67298,224.524657,208.083962,132.132175,54.192178,46.883737,46.168138,192.190288,227.07689,225.151845,223.017205,220.40238,210.245082,187.404831,55.968387,136.281929,49.396491,63.558887,1259.717192,97.639859,380.043606,375.223864,367.170869,353.926742,340.016482,320.063978,256.546107,1260.639787,1260.287926,171.391856,108.712071,43.835337,30.319659,28.39601,198.142499,1259.453761,1259.848878,1260.507737,1259.190388,1259.190429,1259.409858,1258.927261,2.543024,2.501031,2.527844,2.475196,2.48833,2.56976,-0.00021,-0.000975,6.98E-05,0,
8,195.541347,234.482695,228.967313,225.721119,218.85583,209.583939,190.778174,139.98668,52.728546,46.023609,43.896347,215.549332,245.279343,238.425115,230.699446,226.586092,224.399857,208.187076,132.985696,54.218217,46.872844,46.120161,192.064531,226.989998,225.178619,222.968124,220.277298,210.005426,187.355423,55.883873,135.631025,49.34862,63.637773,1259.723506,97.68216,379.577421,374.938761,366.885514,353.640857,339.985367,320.179161,256.327042,1260.646104,1260.294242,171.244857,108.643398,44.137898,30.250006,28.43923,198.186292,1259.460075,1259.855192,1260.514053,1259.196701,1259.196742,1259.416172,1258.933574,2.537988,2.498284,2.522961,2.476874,2.491688,2.569149,-0.000363,-0.000975,-8.28E-05,0,
9,195.39439,234.412663,228.859289,225.688798,218.93735,209.589534,190.745596,140.143178,52.660129,45.991991,43.901806,215.478921,245.209669,238.355254,230.629368,226.440142,224.178096,208.15457,132.953621,54.186758,46.841219,46.162688,191.993783,226.995563,225.108363,222.935763,220.206924,209.896783,187.284664,55.889288,135.33553,49.428052,63.558887,1259.717192,97.7136,379.390715,374.679264,366.553104,353.30783,339.870534,320.503128,256.171799,1260.639787,1260.287926,171.048473,108.786207,44.243817,30.206868,28.509019,198.37153,1259.453761,1259.848878,1260.507737,1259.190388,1259.190429,1259.409858,1258.927261,2.544245,2.498894,2.520519,2.476874,2.494588,2.562586,-0.000363,-0.000822,-8.28E-05,0,
10,195.323715,234.342628,228.864851,225.694366,218.942931,209.595129,190.713017,140.148723,52.702475,45.960372,43.870129,215.408509,245.06479,238.323094,230.597108,226.369947,224.107886,208.083962,132.545613,54.192178,46.846666,46.13106,191.923036,227.07689,225.113932,222.789595,220.174525,209.597728,187.328461,56.005227,135.378686,49.285496,62.419797,1259.717192,97.750472,379.064245,374.49772,366.262372,353.016558,339.870534,320.722687,256.134365,1260.639787,1260.287926,170.972168,108.563808,44.503689,30.244467,28.47135,198.447872,1259.453761,1259.848878,1260.507737,1259.190388,1259.190429,1259.409858,1258.927261,2.547603,2.49401,2.52174,2.47718,2.492604,2.567318,-0.000363,-0.000975,-0.000388,0,
