Time,TC_A1_1,TC_A1_2,TC_A1_3,TC_A1_4,TC_A1_5,TC_A1_6,TC_A1_7,TC_A1_8,TC_A1_9,TC_A1_10,TC_A1_11,TC_A2_1,TC_A2_2,TC_A2_3,TC_A2_4,TC_A2_5,TC_A2_6,TC_A2_7,TC_A2_8,TC_A2_9,TC_A2_10,TC_A2_11,TC_A3_1,TC_A3_2,TC_A3_3,TC_A3_4,TC_A3_5,TC_A3_6,TC_A3_7,TC_A3_8,TC_A3_9,TC_A3_10,TC_A3_11,TC_A4_1,TC_A4_2,TC_A4_3,TC_A4_4,TC_A4_5,TC_A4_6,TC_A4_7,TC_A4_8,TC_A4_9,TC_A4_10,TC_A4_11,TC_A5_1,TC_A5_2,TC_A5_3,TC_A5_4,TC_A5_5,TC_A5_6,TC_A8_1,TC_A6_1,TC_A6_2,TC_A6_3,TC_A6_4,TC_A6_5,TC_A8_2,BDP_A5_1,BDP_A5_2,BDP_A5_3,BDP_A5_4,BDP_A5_5,BDP_A5_6,HF_0p15mAF,RAD_0p15mAF,EVENT,Untitled,Comment
0,287.964364,344.572213,332.618544,326.702038,315.78515,301.852134,271.669916,222.467898,92.636921,61.677484,58.689996,306.298228,369.146518,356.733451,338.836248,330.499318,324.135104,303.859231,254.866458,93.045416,63.816373,56.002786,271.829408,333.102784,327.940817,324.51043,319.30161,306.404785,282.091103,92.682113,211.22934,67.846352,74.040994,1259.830887,166.779269,724.007018,709.872184,686.396898,645.059202,616.720176,578.172201,511.638584,1260.753528,1260.40165,252.738893,154.802629,63.710439,37.313793,32.931435,277.1536,1259.567443,1259.962579,1260.621471,1259.304057,1259.304098,1259.523538,1259.040917,2.523642,2.494316,2.520366,2.478858,2.491841,2.57968,9.47E-05,-0.000669,-0.000235,0,
1,287.879662,344.379171,332.534753,326.545077,315.701108,301.767772,271.287098,222.153171,92.405362,61.629947,58.679181,306.654575,369.244782,356.75913,338.679638,330.378995,324.27057,303.885199,254.555774,92.813877,63.842312,55.991956,271.892834,333.128572,328.003197,324.572838,319.510611,306.651154,282.15427,92.413841,210.875693,67.872259,73.925576,1259.824569,166.849876,723.928376,709.976385,686.500593,644.837331,618.189331,577.844615,511.597419,1260.747207,1260.39533,251.833305,154.759064,63.301103,37.308287,32.925906,276.739853,1259.561125,1259.956261,1260.615151,1259.29774,1259.297781,1259.51722,1259.034601,2.560575,2.492026,2.517467,2.473059,2.493061,2.597537,0.000247,-0.000822,-0.000235,0,
2,288.175024,344.597968,332.498223,326.471967,315.517922,301.620663,270.803554,221.47001,92.000705,61.593212,58.679181,306.801422,369.353717,356.75913,338.643165,330.342466,324.416782,304.216133,254.256055,92.629954,63.879046,56.028798,271.93001,333.055534,327.856953,324.645995,319.437358,306.467467,282.339384,92.046083,210.2668,67.835568,72.935427,1259.824569,166.849876,724.331245,710.04944,686.755052,644.512515,617.829685,576.949347,511.669176,1260.747207,1260.39533,251.645748,154.455337,62.823671,37.19623,32.925906,276.517127,1259.561125,1259.956261,1260.615151,1259.29774,1259.297781,1259.51722,1259.034601,2.535851,2.49981,2.524639,2.473517,2.487415,2.573117,9.47E-05,-0.000975,-8.28E-05,0,
3,288.027347,344.561502,332.534753,326.435411,315.517922,301.399987,270.580348,220.596859,91.706447,61.666682,58.789534,307.058389,369.353717,356.686388,338.460798,330.415524,324.709191,304.436738,253.544069,92.482824,63.952511,55.991956,271.781305,332.799893,327.63758,324.53626,319.510611,305.953092,282.413426,91.788681,210.076503,67.908949,72.752061,1259.824569,166.964214,723.928376,709.866804,686.827757,644.115538,617.074478,576.627062,511.597419,1260.747207,1260.39533,251.383142,154.113685,62.897127,37.158876,32.925906,276.331507,1259.561125,1259.956261,1260.615151,1259.29774,1259.297781,1259.51722,1259.034601,2.570189,2.511867,2.526318,2.470618,2.484515,2.601963,9.47E-05,-0.000975,-0.000235,0,
4,288.132676,344.774939,332.565916,326.466594,315.585813,301.431362,270.38886,220.021702,91.553925,61.771482,58.894475,306.979575,369.275758,356.681042,338.23659,330.592797,324.886564,304.578399,253.763426,92.330297,64.05731,56.060224,271.738664,332.831048,327.522519,324.347988,319.322097,305.690478,282.185853,91.489133,210.337323,67.793486,72.867485,1259.830887,167.046057,723.128135,709.214748,686.542299,643.796074,616.504424,576.847198,511.638584,1260.753528,1260.40165,251.351152,154.081321,63.049448,37.08967,32.893924,276.114215,1259.567443,1259.962579,1260.621471,1259.304057,1259.304098,1259.523538,1259.040917,2.557065,2.519041,2.524945,2.473822,2.484668,2.587311,-5.79E-05,-0.000669,-8.28E-05,0,
5,288.185882,344.827469,332.801186,326.555821,315.601967,301.521138,270.665684,219.658664,91.312699,61.750952,59.094596,307.362837,369.291767,356.551593,338.252672,330.608901,324.829588,304.521071,254.341997,92.162621,64.183691,56.186985,271.829408,332.628017,327.611759,324.364112,319.191725,305.890401,281.720826,91.137705,210.316047,67.736279,71.699294,1259.837206,167.127902,722.071758,708.708848,686.002421,643.620964,615.826542,577.604495,513.401769,1260.75985,1260.40797,251.694314,155.87155,63.165037,37.02046,32.824428,275.934035,1259.573761,1259.968898,1260.627792,1259.310374,1259.310415,1259.529856,1259.047234,2.537988,2.51492,2.536085,2.465429,2.486499,2.598758,9.47E-05,-0.000822,6.98E-05,0,
6,288.291205,344.749184,332.832347,326.623558,315.706493,301.662846,270.995009,219.083336,91.123424,61.819016,58.978851,307.430851,368.959617,356.473503,338.283786,330.713115,324.860763,304.51567,254.036746,91.936562,64.288482,56.218408,271.74959,332.659173,327.679514,324.322157,319.076457,305.591035,281.419124,90.9485,210.005976,67.730887,71.583859,1259.830887,167.23663,721.114631,708.155728,685.451887,643.687817,615.461698,578.960086,515.584449,1260.753528,1260.40165,251.91385,157.347667,63.343239,36.902866,32.856412,275.854301,1259.567443,1259.962579,1260.621471,1259.304057,1259.304098,1259.523538,1259.040917,2.592166,2.510646,2.537611,2.467871,2.49123,2.620888,-5.79E-05,-0.000822,-8.28E-05,0,
7,288.328121,345.040896,332.722763,326.550449,315.706493,301.773177,271.218177,218.855408,90.755718,61.89248,59.015631,307.724476,368.923303,356.618991,338.247311,330.676588,324.531812,304.442138,253.924331,91.715925,64.361938,56.255245,271.823945,332.695695,327.679514,324.139251,319.003197,305.627782,281.530226,90.727953,210.272395,67.620812,71.217081,1259.830887,167.312862,720.968228,708.082701,685.524575,643.904333,615.066215,579.748005,517.449238,1260.753528,1260.40165,252.438911,157.765721,63.563564,36.790768,32.743867,275.705767,1259.567443,1259.962579,1260.621471,1259.304057,1259.304098,1259.523538,1259.040917,2.571868,2.504541,2.527844,2.475653,2.486346,2.613868,-5.79E-05,-0.000822,6.98E-05,0,
8,288.9502,345.691846,332.753926,326.545077,315.664472,301.620663,271.361481,218.773848,90.603246,61.960541,58.899882,307.902585,368.990593,356.686388,338.424324,330.7808,324.453334,304.363204,253.881353,91.600209,64.356542,56.323503,271.892834,332.507718,327.52789,323.950964,318.851292,305.438643,281.746972,90.759307,210.495146,67.542036,71.57305,1259.818251,167.377861,721.286857,708.473608,685.840969,644.471108,615.235385,579.988154,518.550222,1260.740887,1260.38901,253.402664,157.374467,64.103485,36.705011,32.732807,275.583419,1259.554808,1259.949942,1260.60883,1259.291423,1259.291464,1259.510903,1259.028285,2.556912,2.490195,2.527997,2.472144,2.484362,2.585785,-5.79E-05,-0.000975,6.98E-05,0,
9,289.166214,346.014619,332.858143,326.722476,315.768996,301.541701,271.356016,218.730277,90.34049,62.0286,58.931256,308.264171,369.130509,356.608299,338.418964,330.848485,324.484511,304.210732,253.61352,91.190367,64.53478,56.354925,271.701485,332.429305,327.303131,324.018755,318.919174,305.065735,281.482308,90.753905,210.299265,67.499951,71.615131,1259.824569,167.497829,721.731504,709.026763,686.282494,645.811877,615.492356,580.387413,518.698923,1260.747207,1260.39533,254.307638,157.532083,64.769673,36.635776,32.775853,275.588889,1259.561125,1259.956261,1260.615151,1259.29774,1259.297781,1259.51722,1259.034601,2.557675,2.494621,2.51823,2.473364,2.493061,2.598148,9.47E-05,-0.001127,-8.28E-05,0,
