Time (s),TC1_0-3mBC,TC1_0-61mBC,TC1_0-91mBC,TC1_1-22mBC,TC1_1-52mBC,TC1_1-83mBC,TC2_0-3mBC,TC2_0-61mBC,TC2_0-91mBC,TC2_1-22mBC,TC2_1-52mBC,TC2_1-83mBC,TC3_0-3mBC,TC3_0-61mBC,TC3_0-91mBC,TC3_1-22mBC,TC3_1-52mBC,TC3_1-83mBC,TC4_0-3mBC,TC4_0-61mBC,TC4_0-91mBC,TC4_1-22mBC,TC4_1-52mBC,TC4_1-83mBC,Event,Comment
0,28.346599,28.335352,28.267358,28.066503,28.114991,27.698649,28.834473,28.461032,28.120064,28.003836,27.926207,27.962791,28.523,28.460199,28.309045,24.94824,28.464439,27.669585,28.460269,28.303489,28.867537,22.017513,21.99376,27.992924,0.000435,
1,28.329744,28.318497,28.175136,27.936557,28.060442,27.681784,28.855291,28.368832,28.065522,27.986976,27.909345,27.983633,28.506147,28.481034,28.254502,24.893537,28.485254,27.690418,28.443416,28.286633,28.888366,22.038473,21.938888,27.976064,0.000435,
2,28.367427,28.318497,28.175136,27.974254,27.985055,27.681784,28.817626,28.444179,28.17857,28.062366,27.909345,28.059036,28.468488,28.518721,28.329876,24.931332,28.447586,27.65272,28.481105,28.248948,28.926039,21.962646,21.976807,27.976064,0.000588,
3,28.454024,28.329733,28.261739,27.985494,28.033989,27.730735,28.866521,28.380067,28.114445,28.035911,27.920586,28.070275,28.479723,28.416892,28.341113,24.980397,28.496489,27.663963,28.49234,28.335554,28.974941,22.049775,21.95019,27.987304,0.000435,
4,28.448406,28.361791,28.180755,27.90448,28.028369,27.687406,28.860906,28.412124,28.184189,28.067986,27.952655,27.989253,28.474106,28.524338,28.222432,24.899173,28.490871,27.620642,28.449033,28.329936,28.893981,22.006211,21.982458,27.943987,0.000588,
5,28.448406,28.399465,28.293801,27.979874,27.990675,27.76282,28.823242,28.336774,28.108825,28.030291,27.990343,28.026955,28.511765,28.562023,28.335495,24.936968,28.453203,27.733737,28.411343,28.329936,28.969326,21.930381,21.982458,27.943987,0.000282,
6,28.480467,28.356173,28.250502,27.898859,28.060442,27.719492,28.817626,28.406506,28.140888,28.024672,27.909345,28.096736,28.543805,28.556406,28.29219,24.893537,28.485254,27.61502,28.55648,28.324318,28.963711,21.886813,21.938888,27.86297,0.000282,
7,28.555821,28.393847,28.21282,27.898859,27.94736,27.681784,28.779961,28.406506,28.103206,28.024672,27.909345,28.059036,28.468488,28.59409,28.29219,24.931332,28.447586,27.690418,28.481105,28.362001,28.850691,21.92473,21.976807,27.900669,0.000435,
8,28.561438,28.324115,28.180755,27.82908,27.95298,27.725114,28.823242,28.374449,28.184189,27.992595,27.914966,27.989253,28.474106,28.486651,28.335495,24.936968,28.490871,27.69604,28.486722,28.329936,28.931654,21.968297,21.944539,27.981684,0.000435,
9,28.587879,28.350555,28.169518,27.742433,27.904043,27.713871,28.774345,28.325538,28.097587,27.981356,27.941415,28.053417,28.500531,28.55079,28.286572,24.925696,28.517304,27.609398,28.437798,28.356383,28.882751,21.881161,21.819472,27.932747,0.00013,
