Time (s),TC1_0-3mBC,TC1_0-61mBC,TC1_0-91mBC,TC1_1-22mBC,TC1_1-52mBC,TC1_1-83mBC,TC2_0-3mBC,TC2_0-61mBC,TC2_0-91mBC,TC2_1-22mBC,TC2_1-52mBC,TC2_1-83mBC,TC3_0-3mBC,TC3_0-61mBC,TC3_0-91mBC,TC3_1-22mBC,TC3_1-52mBC,TC3_1-83mBC,TC4_0-3mBC,TC4_0-61mBC,TC4_0-91mBC,TC4_1-22mBC,TC4_1-52mBC,TC4_1-83mBC,Event,Comment
0,19.929434,19.811694,19.948604,20.165449,19.811607,19.684845,20.200584,19.926995,20.067207,19.887182,19.946319,20.125375,20.201456,20.120716,19.666762,19.469177,19.818712,19.487171,19.818532,19.748161,19.484553,19.634404,19.424062,19.372417,0.00028,
1,19.891496,19.849684,19.948604,20.013624,19.811607,19.684845,20.200584,20.040917,20.067207,19.925126,19.984267,20.239192,20.277361,20.006859,19.704729,19.545129,19.856657,19.411182,19.818532,19.93797,19.484553,19.596436,19.386082,19.334428,0.000433,
2,19.929434,19.811694,19.948604,20.089539,19.811607,19.646877,20.200584,20.002944,20.067207,20.001011,19.946319,20.163315,20.277361,20.044812,19.780659,19.545129,19.894601,19.411182,19.780552,19.86205,19.446568,19.520497,19.424062,19.296437,0.000433,
3,19.897078,19.817277,19.954186,20.095121,19.817189,19.614491,20.206165,20.008526,20.072788,20.006593,19.913952,20.168896,20.24499,20.050394,19.710312,19.550713,19.86224,19.378771,19.824114,19.867633,19.452152,19.60202,19.429647,19.340013,0.00028,
4,19.929434,19.849684,19.948604,20.089539,19.811607,19.646877,20.238545,19.926995,20.10517,19.963069,19.984267,20.125375,20.239409,20.006859,19.742694,19.469177,19.818712,19.449177,19.85651,19.824088,19.408581,19.596436,19.3481,19.334428,0.000433,
5,19.891496,19.849684,19.948604,20.089539,19.811607,19.570936,20.162621,19.889019,20.067207,20.001011,19.984267,20.163315,20.201456,20.044812,19.742694,19.507153,19.856657,19.411182,19.818532,19.824088,19.484553,19.558467,19.386082,19.334428,0.00028,
6,19.891496,19.811694,20.024556,20.089539,19.849566,19.646877,20.238545,19.96497,20.067207,19.925126,19.984267,20.125375,20.315312,20.082765,19.628794,19.507153,19.780765,19.449177,19.742571,19.86205,19.408581,19.520497,19.386082,19.334428,0.000128,
7,19.935016,19.779285,19.992163,20.057164,19.855149,19.690429,20.282086,20.008526,20.072788,20.006593,19.951901,20.093015,20.24499,20.012441,19.710312,19.512738,19.824295,19.378771,19.824114,19.867633,19.414166,19.60202,19.353685,19.340013,0.000128,
8,19.885913,19.882092,19.943022,20.083958,19.843984,19.679262,20.195003,19.959388,20.061625,19.919544,19.940737,20.195673,20.309732,20.001277,19.699146,19.501569,19.813129,19.481586,19.774969,19.818506,19.440983,19.514913,19.380497,19.290852,0.000128,
9,19.897078,19.817277,19.992163,20.095121,19.893107,19.652461,20.244126,19.970552,20.034824,19.968651,19.913952,20.130956,20.282942,19.974486,19.748278,19.512738,19.748401,19.530747,19.786135,19.905593,19.490138,19.60202,19.353685,19.302023,0.000433,
