Device Name,Calibration,Test Specific Name
TC_A1_1,1,TC A1 0 m BC
TC_A1_2,1,TC A1 0.3 m BC
TC_A1_3,1,TC A1 0.61 m BC
TC_A1_4,1,TC A1 0.91 m BC
TC_A1_5,1,TC A1 1.22 m BC
TC_A1_6,1,TC A1 1.52 m BC
TC_A1_7,1,TC A1 1.83 m BC
TC_A1_8,1,TC A1 2.13 m BC
TC_A1_9,1,TC A1 2.44 m BC
TC_A1_10,1,TC A1 2.74 m BC
TC_A1_11,1,TC A1 3.05 m BC
TC_A2_1,1,TC A2 0 m BC
TC_A2_2,1,TC A2 0.3 m BC
TC_A2_3,1,TC A2 0.61 m BC
TC_A2_4,1,TC A2 0.91 m BC
TC_A2_5,1,TC A2 1.22 m BC
TC_A2_6,1,TC A2 1.52 m BC
TC_A2_7,1,TC A2 1.83 m BC
TC_A2_8,1,TC A2 2.13 m BC
TC_A2_9,1,TC A2 2.44 m BC
TC_A2_10,1,TC A2 2.74 m BC
TC_A2_11,1,TC A2 3.05 m BC
TC_A3_1,1,TC A3 0 m BC
TC_A3_2,1,TC A3 0.3 m BC
TC_A3_3,1,TC A3 0.61 m BC
TC_A3_4,1,TC A3 0.91 m BC
TC_A3_5,1,TC A3 1.22 m BC
TC_A3_6,1,TC A3 1.52 m BC
TC_A3_7,1,TC A3 1.83 m BC
TC_A3_8,1,TC A3 2.13 m BC
TC_A3_9,1,TC A3 2.44 m BC
TC_A3_10,1,TC A3 2.74 m BC
TC_A3_11,1,TC A3 3.05 m BC
TC_A4_1,1,TC A4 0 m BC
TC_A4_2,1,TC A4 0.3 m BC
TC_A4_3,1,TC A4 0.61 m BC
TC_A4_4,1,TC A4 0.91 m BC
TC_A4_5,1,TC A4 1.22 m BC
TC_A4_6,1,TC A4 1.52 m BC
TC_A4_7,1,TC A4 1.83 m BC
TC_A4_8,1,TC A4 2.13 m BC
TC_A4_9,1,TC A4 2.44 m BC
TC_A4_10,1,TC A4 2.74 m BC
TC_A4_11,1,TC A4 3.05 m BC
TC_A5_1,1,TC A5 0.15 m BS
TC_A5_2,1,TC A5 0.3 m BS
TC_A5_3,1,TC A5 0.61 m BS
TC_A5_4,1,TC A5 0.91 m BS
TC_A5_5,1,TC A5 1.22 m BS
TC_A5_6,1,TC A5 1.52 m BS
TC_A8_1,1,TC A8 0.15 m AF
TC_A8_2,1,TC A8 0.15 m AF
TC_A6_1,1,TC A6 0.61 m BS
TC_A6_2,1,TC A6 0.91 m BS
TC_A6_3,1,TC A6 1.22 m BS
TC_A6_4,1,TC A6 1.52 m BS
TC_A6_5,1,TC A6 1.83 m BS
BDP_A5_1,2.488877743,BDP5 SED 0.15 m BS
BDP_A5_2,2.4773178,BDP5 SED 0.3 m BS
BDP_A5_3,2.450765514,BDP5 SED 0.61 m BS
BDP_A5_4,2.508964314,BDP5 SED 0.91 m BS
BDP_A5_5,2.446746314,BDP5 SED 1.22 m BS
BDP_A5_6,2.467517743,BDP5 SED 1.52 m BS
HF_0p15mAF,-0.000598543,Heat Flux 0.15 m AF
RAD_0p15mAF,-0.000965971,Radiometer 0.15 m AF
EVENT,1,EVENT
Untitled,1,Untitled
Comment,1,Comment
