Time,Test_16_West_063014_custom,Test_17_West_063014,Test_17b_West_063014,Test_18_West_063014,Test_19_West_063014,HOSE_DSXOXF,HOSE_DNXOXF,HOSE_DSXAXF,HOSE_DNXAXX,HOSE_IXXAXX,HOSE_IXAOXX
0,,,,,,,,,,,Rear door is closed
60,"Monitor on, near target",,,"Hose on, fixed","Hose on, fixed",,,,,,Fixed straight stream at Door AB
64,,,,,,,,,,,
90,,,,,,,,,,,Fixed narrow fog at Door AB
120,Stairwell door opened,"Monitor on, near target","Monitor on, near target",Stairwell door opened,Stairwell door opened,,,,,,Fixed wide fog at Door AB
128,,,,,,,,,,,
130,,,,,,,,,,,
140,,,,,,,,,,,
150,,,,,,Fixed straight stream at Room C ceiling,Narrow fog at Room C ceiling,,,Fixed straight stream at Room B ceiling,Water flow stopped
157,,,,,,,,,,,
170,,,,,,,,,,,
180,"2nd level, W double door opened",Stairwell door opened,Stairwell door opened,"2nd level, W double door opened","2nd level, W double door opened",Rear door opened,Rear door opened,,,Straight stream rotated right at Room B ceiling,
190,,,,,,,,,,,
191,,,,,,,,,,,
195,,,,,,,,,,,
197,,,,,,,,,,,
202,,,,,,,,,,,
210,,,,,,,Rear door closed,Fixed straight stream at Room C ceiling,Fixed narrow fog stream at Room C ceiling,Fixed straight stream at Room A,
215,,,,,,Rear door closed,,,,,
225,,,,,,,,,,,
229,,,,,,Water flow stopped,,,,,
244,,,,,,,,,,,
240,Stair and 2nd level doors closed,"2nd level, W double door opened","2nd level, W double door opened",Stair and 2nd level doors closed,Stair and 2nd level doors closed,,Water flow stopped,Hose rotated right,Hose rotated right,Straight stream rotated right at Room A,
270,,,,,,Fixed straight stream at Door BC,,Hose fixed,Hose fixed,Fixed narrow fog at Room B Ceiling,
275,,,,,,,,,,,
280,,,,,,,,,,,
285,,,,,,,,,,,
300,"Monitor on, far target",Stair and 2nd level doors closed,Stair and 2nd level doors closed,"Hose on, sweeping","Hose on, sweeping",Rear door opened,Narrow fog at Door BC,Hose rotated left,Hose rotated left,Narrow fog rotated right at Room B Ceiling,
315,,,,,,,,,,,
320,,,,,,,,,,,
330,,,,,,Rear door closed,Rear door opened,Rear door opened,Hose fixed,Fixed narrow fog at Room A,
335,,,,,,,,,,,
344,,,,,,Water flow stopped,,,,,
355,,,,,,,,,,,
360,Stairwell door opened,"Monitor on, far target","Monitor on, far target",Stairwell door opened,Stairwell door opened,,Rear door closed,Hose rotated right,Rear door opened,Narrow fog rotated right at Room A,
371,,,,,,,,,,,
380,,,,,,,,,,,
390,,,,,,,Water flow stopped,Hose fixed,Hose rotated right,Fixed wide fog at Room B ceiling,
405,,,,,,,,,,,
420,"2nd level, W double door opened",Stairwell door opened,Stairwell door opened,"2nd level, W double door opened","2nd level, W double door opened",Fixed straight stream at Room C ceiling,,Hose rotated left,Hose fixed,Wide fog rotated right at Room B ceiling,
426,,,,,,,,,,,
450,,,,,,Rear door opened,Narrow fog at Room C ceiling,,Hose rotated left,Fixed wide fog at Room A,Fixed straight stream at Door AB
455,,,,,,,,"Hose fixed, rear door closed",,,
465,,,,,,,,,,,
480,Stair and 2nd level doors closed,"2nd level, W double door opened","2nd level, W double door opened",Stair and 2nd level doors closed,Stair and 2nd level doors closed,Rear door closed,Rear door opened,,Hose fixed,Wide fog rotated right at Room A,Fixed narrow fog at Door AB
