Test Name,Included Groups,Excluded Channels
Test_18_West_063014,BDP_A10_,BDP_A4_5|BDP_A4_6|BDP_A4_7|BDP_A4_8|BDP_A5_4|BDP_A5_5|BDP_A5_8|BDP_A6_8
Test_19_West_063014,BDP_A10_,BDP_A5_4|BDP_A5_5|BDP_A5_8|BDP_A6_8
Test_17b_West_063014,BDP_A10_,BDP_A4_8|BDP_A5_4|BDP_A5_5|BDP_A5_8
Test_17_West_063014,BDP_A10_,BDP_A4_6|BDP_A4_7|BDP_A4_8|BDP_A6_8
Test_16_West_063014,BDP_A10_,BDP_A6_8
HOSE_DSXOXF,BDP_A7_|BDP_A8_|BDP_A9_,BDP_A7_1p15_BS|BDP_A7_1p68_BS|BDP_A7_1p95_BS|BDP_A9_0p34_BS|BDP_A9_0p88_BS|BDP_A9_1p42_BS|BDP_A9_1p68_BS|BDP_A9_1p95_BS
HOSE_DNXOXF,BDP_A7_|BDP_A8_|BDP_A9_,BDP_A7_1p15_BS|BDP_A7_1p68_BS|BDP_A7_1p95_BS|BDP_A9_0p34_BS|BDP_A9_0p88_BS|BDP_A9_1p42_BS|BDP_A9_1p68_BS|BDP_A9_1p95_BS
HOSE_DSXAXF,BDP_A7_|BDP_A8_|BDP_A9_,BDP_A7_1p15_BS|BDP_A7_1p68_BS|BDP_A7_1p95_BS|BDP_A9_0p34_BS|BDP_A9_0p88_BS|BDP_A9_1p42_BS|BDP_A9_1p68_BS|BDP_A9_1p95_BS
HOSE_DNXAXX,BDP_A7_|BDP_A8_|BDP_A9_,BDP_A7_1p15_BS|BDP_A7_1p68_BS|BDP_A7_1p95_BS|BDP_A9_0p34_BS|BDP_A9_0p88_BS|BDP_A9_1p42_BS|BDP_A9_1p68_BS|BDP_A9_1p95_BS
HOSE_IXAOXX,BDP_A6_,BDP_A7_0p88_BS|BDP_A7_1p15_BS|BDP_A7_1p68_BS|BDP_A7_1p95_BS|BDP_A9_0p34_BS|BDP_A9_0p88_BS|BDP_A9_1p68_BS|BDP_A9_1p95_BS
HOSE_IXXAXX,BDP_A6_,BDP_A7_1p15_BS|BDP_A7_1p68_BS|BDP_A7_1p95_BS|BDP_A9_0p34_BS|BDP_A9_0p88_BS|BDP_A9_1p68_BS|BDP_A9_1p95_BS
