TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/18/2014 10:40:23.435 AM,0,3304.1693102086,3308.3622597006,3308.748609689,3306.7114517775,3305.6384345599,3307.2948988933,3307.392201956,3307.3922872551,3308.167878593,3304.4635517574,3306.1268337088,3305.3453593453,3306.7114518488,3305.9315193332,3306.2242411361,3306.1266332909,3304.7579225563,3308.5553608984,3307.6835157331,3306.5166785631,3307.6833941392,3306.4192455145,3307.8771175535,3307.7803837454,3308.748609689,3307.5863672964,3308.1682878774,3307.2950817801,3307.3920527339,3306.8087763415,3305.9315680023,3307.1006138838,3307.6685091948,3307.8625233406,3307.765483224,3308.3469694426,3308.7342023183,3307.6686157123,3307.8625780401,3308.7338755208,12.1316290968,12.1614162217,12.0671384184,12.2174826193,12.1154311549,11.8950910287,13.1606266605,13.2871793356,12.7836372773,13.1506948168,13.4048767627,12.9415128546,12.8602998139,12.9297023613,10.6206094392,10.5627414727,10.2699534342,10.0390084934,9.0968997572,8.6109210793,9.0342857327,9.2955538254,12.3810483072,12.3562904938,11.4976210456,11.0717905909,10.6954585172,10.4961433404,10.1519041748,10.3354078984,3308.8379667465,3309.3202777899,3308.1609554672,3309.8984176491,3307.8701589571,3307.9670950519,2.4908802184,2.4959379932,2.5293513463,2.4926289668,2.5007473015,2.4856823119,2.5183545562,2.5364586182,2.4669247802,2.5031764318,2.2588635254,2.4957289075,2.8829569804,2.3779936369,2.5137121477,2.4978254599,2.4864903182,2.531603571,2.5408739558,2.4803149342,2.5129926207,2.5523396787,2.5286700456,3.4499313608,2.4978692155,2.324577063,2.4832473796,2.5695247136,2.7365408525,2.7286622757,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0341092105,0.0276799011
4/18/2014 10:40:24.435 AM,1,3304.1703251657,3308.3632582267,3308.7496066739,3306.7124568363,3305.6394438203,3307.2959016528,3307.393204331,3307.3932896298,3308.1688778926,3304.4645655787,3306.127841061,3305.3463697473,3306.7124569076,3305.9325274494,3306.225248107,3306.127640644,3304.7589352388,3308.5563586548,3307.6845169553,3306.5176843871,3307.6843953619,3306.4202517209,3307.8781180081,3307.7813845837,3308.7496066739,3307.5873689033,3308.1692871754,3307.2960845389,3307.3930551095,3306.8097810174,3305.9325761183,3307.1016174101,3307.6696068073,3307.86362011,3307.7665804152,3308.3480641011,3308.7352952838,3307.6697133243,3307.8636748092,3308.7349684877,12.1365596154,12.164286811,12.0703916919,12.2265382541,12.1232672273,11.8938377756,13.1532699683,13.2911932462,12.7797880809,13.1513503566,13.3954570698,12.9372831111,12.8580552282,12.9308156368,10.6298223653,10.5786069439,10.302791785,10.0596146759,9.098933515,8.6157861481,9.0471849674,9.3117366073,12.3870665878,12.3600176467,11.5055536836,11.0733043392,10.6770191189,10.4884061442,10.1203138179,10.3343994136,3308.8393631761,3309.3216715126,3308.1623556789,3309.8998081137,3307.8715607872,3307.9684963429,2.4909061589,2.4958668756,2.529352567,2.4926117255,2.5007282275,2.4857378526,2.5183605072,2.5364689946,2.4669041798,2.5029797322,2.2678396606,2.4955712953,2.8786048703,2.3751605108,2.5147242292,2.4983489767,2.4875718607,2.5324123437,2.5412281289,2.481237066,2.5133467025,2.5523967506,2.5284608329,3.4488679539,2.4978170256,2.3295992144,2.4824149931,2.5690386028,2.7362200826,2.7285957412,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0343422012,0.0278614807
4/18/2014 10:40:25.435 AM,2,3304.1705451899,3308.3634746888,3308.749822802,3306.7126747146,3305.6396626094,3307.2961190327,3307.3934216276,3307.3935069262,3308.1690945225,3304.4647853566,3306.1280594366,3305.346588784,3306.7126747859,3305.9327459905,3306.2254663998,3306.1278590197,3304.7591547698,3308.5565749501,3307.6847340019,3306.5179024314,3307.6846124086,3306.420469848,3307.8783348884,3307.7816015471,3308.749822802,3307.5875860333,3308.1695038049,3307.2963019186,3307.3932724062,3306.8099988128,3305.9327946594,3307.1018349562,3307.6700122873,3307.8640252785,3307.7669857395,3308.3484684898,3308.7356990471,3307.6701188041,3307.8640799776,3308.7353722515,12.1387186394,12.1676687052,12.067127661,12.2212905837,12.1161080512,11.8794261736,13.1479498702,13.2879322925,12.7799621843,13.1499977562,13.3973864372,12.9375333275,12.8584582045,12.9258779062,10.6474153225,10.6027793639,10.3427151711,10.0768342071,9.1151727655,8.637614398,9.0517206824,9.3057923015,12.3849387062,12.3518568092,11.4974635652,11.0751488754,10.6466782196,10.473660001,10.0953997328,10.3141524055,3308.8395646563,3309.3218726024,3308.1625577048,3309.9000087334,3307.8717630466,3307.9686985246,2.4908423757,2.495922732,2.5293333418,2.4926773337,2.5007213609,2.4857377,2.5182744456,2.5366527191,2.4670106912,2.5030084208,2.274937439,2.4956619261,2.8773707604,2.3729123225,2.5158194808,2.4984307619,2.4875735394,2.531938525,2.5409700906,2.4807608169,2.5141972006,2.553448155,2.5282096556,3.4468453748,2.4976775472,2.3339176511,2.4813669949,2.5678896967,2.7360729741,2.7275818522,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0345309436,0.0280426025
4/18/2014 10:40:26.435 AM,3,3304.1715743458,3308.3644871838,3308.7508337343,3306.7136938337,3305.6406859889,3307.2971358203,3307.3944380254,3307.3945233237,3308.1701078019,3304.4658133608,3306.1290808813,3305.347613321,3306.713693905,3305.9337682098,3306.2264874578,3306.1288804652,3304.7601816191,3308.5575866646,3307.6857492308,3306.5189223264,3307.685627638,3306.4214901308,3307.8793493389,3307.7826163866,3308.7508337343,3307.5886016523,3308.1705170826,3307.2973187056,3307.3942888046,3306.8110175437,3305.9338168785,3307.1028525214,3307.6716621779,3307.8656739018,3307.768634997,3308.3501139402,3308.7373419525,3307.6717686941,3307.8657286006,3308.737015159,12.1405066708,12.1699150773,12.0717431068,12.2213224318,12.1148408458,11.8772436402,13.1522549534,13.285673431,12.784422034,13.1515559715,13.3964257757,12.9382522245,12.8638326767,12.9345319095,10.6531010183,10.6242110689,10.3649142523,10.0696812247,9.1380010828,8.6582284009,9.0768491335,9.3255566924,12.348497035,12.3209904321,11.4911839372,11.0567947279,10.6137905293,10.4471919768,10.0819303739,10.3039725921,3308.8405859056,3309.3228918721,3308.1635817202,3309.9010256202,3307.8727882456,3307.9697233293,2.4909218759,2.4959834719,2.5292936708,2.4926135565,2.5007303638,2.4857027582,2.5182604072,2.5365205718,2.4669780358,2.5029374624,2.2780337524,2.4956306478,2.8804835734,2.3728999614,2.5161506353,2.4987983375,2.4883109478,2.5325965302,2.5421671988,2.4811876253,2.5139058192,2.5534362524,2.5281255738,3.4443527478,2.4986020113,2.340109608,2.4812566713,2.5677243031,2.7347621213,2.724460069,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0344413787,0.0279762268
4/18/2014 10:40:27.435 AM,4,3304.1717731009,3308.3646827215,3308.7510289702,3306.7138906506,3305.6408836285,3307.2973321869,3307.3946343167,3307.394719615,3308.170303491,3304.4660118935,3306.1292781472,3305.3478111841,3306.7138907219,3305.9339656254,3306.226684649,3306.1290777312,3304.7603799288,3308.5577820516,3307.6859452964,3306.5191192931,3307.6858237037,3306.4216871724,3307.8795452542,3307.7828123771,3308.7510289702,3307.5887977933,3308.1707127715,3307.297515072,3307.3944850961,3306.8112142856,3305.934014294,3307.1030490382,3307.6721515563,3307.8661629042,3307.7691241876,3308.3506020015,3308.737829259,3307.6722580723,3307.8662176029,3308.7375024662,12.1373896561,12.1742810328,12.0748880086,12.219731468,12.1136312791,11.8651142286,13.140745597,13.2920218555,12.78107515,13.1524844582,13.3938432077,12.9444478111,12.8693404855,12.9311875796,10.6737407608,10.6545647426,10.3973368199,10.1105103054,9.1636407609,8.6841025861,9.0806875107,9.3482081723,12.3172262165,12.3241633198,11.4692925887,11.0368903772,10.590743138,10.431406296,10.0633930674,10.2917833638,3308.8413917936,3309.323696198,3308.1643897909,3309.9018280658,3307.8735972503,3307.9705320229,2.4909578874,2.4957887378,2.529289246,2.4925571029,2.5007068647,2.4855942707,2.5182434696,2.5362990038,2.4669716268,2.5030081156,2.2801066589,2.4957218889,2.8844586918,2.3727858123,2.5156317757,2.4984838612,2.4909040859,2.5365050387,2.5453294258,2.4818631635,2.5133564661,2.5534820319,2.5273847075,3.4421363503,2.4966659472,2.3443972161,2.4804047531,2.5681008635,2.735199937,2.7247170511,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0340327675,0.0275839233
4/18/2014 10:40:28.435 AM,5,3304.1721705462,3308.3650737323,3308.7514193775,3306.7142842197,3305.6412788429,3307.2977248556,3307.3950268348,3307.3951121329,3308.1706948048,3304.466408894,3306.1296726144,3305.3482068456,3306.714284291,3305.9343603917,3306.2270789669,3306.1294721988,3304.7607764833,3308.558172761,3307.686337363,3306.5195131619,3307.6862157706,3306.4220811909,3307.8799370203,3307.7832042934,3308.7514193775,3307.5891900106,3308.1711040846,3307.2979077404,3307.3948776144,3306.8116077047,3305.9344090603,3307.1034420071,3307.6735287717,3307.8675390617,3307.7705008744,3308.3519755104,3308.7392006435,3307.6736352871,3307.8675937601,3308.7388738525,12.1491107923,12.1774532777,12.0729421553,12.2219107147,12.1194011125,11.8769157745,13.1258307601,13.2974824599,12.7857732908,13.1597762606,13.402050683,12.9415880816,12.8665578986,12.9293978603,10.6832552125,10.6544526775,10.4318509687,10.1214050202,9.1899203452,8.7081685584,9.1016167285,9.3560504094,12.2788682756,12.2984843409,11.4682040433,11.0355726304,10.5688583984,10.4204538864,10.054658393,10.273188876,3308.8417460818,3309.3240497993,3308.1647450387,3309.9021808405,3307.8739529088,3307.9708875446,2.4910318943,2.4957527211,2.5293402079,2.4925799895,2.5006833656,2.4855829795,2.5182333985,2.5364422905,2.4669072317,2.5029875147,2.2813531494,2.4956308004,2.8883875827,2.3716606499,2.5151989857,2.4986596383,2.4886990334,2.5329406401,2.5438230076,2.4847816963,2.5140004037,2.5552495818,2.5246803547,3.4400612723,2.4949249087,2.3516405481,2.4816991866,2.5719718987,2.7359142678,2.7256633373,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0333391355,0.026950531
4/18/2014 10:40:29.435 AM,6,3304.1727170585,3308.3656113971,3308.7519562125,3306.7148254021,3305.6418222878,3307.2982648,3307.3955665722,3307.3956518701,3308.1712328862,3304.4669547947,3306.1302150318,3305.3487509051,3306.7148254734,3305.9349032205,3306.2276211789,3306.1300146166,3304.7613217707,3308.5587100113,3307.6868764796,3306.5200547564,3307.6867548874,3306.4226229913,3307.8804757235,3307.7837432033,3308.7519562125,3307.5897293343,3308.1716421651,3307.2984476844,3307.395417352,3306.812148681,3305.934951889,3307.1039823644,3307.6747941129,3307.8688034308,3307.7717657299,3308.353237446,3308.7404606273,3307.6749006277,3307.868858129,3308.7401338379,12.1480695881,12.1825976218,12.0741149713,12.2272069077,12.1138517915,11.8900016391,13.1451636939,13.2981965464,12.7889307728,13.1593454384,13.4042912077,12.9441341556,12.8673484855,12.9281285473,10.7058959076,10.6728988405,10.4597009383,10.1338910683,9.2099895497,8.7312258483,9.1256689675,9.3794810681,12.246223701,12.2851635184,11.4783355669,11.033400492,10.5394669537,10.4169805896,10.0561551944,10.2688757091,3308.8426492051,3309.324951172,3308.1656506082,3309.9030801059,3307.8748595249,3307.9717938121,2.4909600237,2.4958775585,2.5294381648,2.4926356802,2.5006993877,2.4856344004,2.5181760241,2.5364288621,2.4669627763,2.5029739335,2.2788037109,2.4956060829,2.8933545356,2.3708599274,2.5141620295,2.4981339854,2.486907247,2.5311105249,2.5424279837,2.48194175,2.5147798109,2.5530307978,2.5256846062,3.4384924114,2.4980456237,2.3591677468,2.4832846119,2.5757550494,2.7363313296,2.7248472208,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0328170042,0.0264385986
4/18/2014 10:40:30.435 AM,7,3304.1734906863,3308.3663725004,3308.7527161411,3306.7155914849,3305.6425915733,3307.2990291302,3307.3963306093,3307.396415907,3308.1719945792,3304.4677275567,3306.1309828629,3305.3495210607,3306.7155915562,3305.9356716338,3306.2283887192,3306.1307824482,3304.7620936646,3308.559470528,3307.6876396381,3306.5208214225,3307.6875180462,3306.4233899489,3307.8812382969,3307.7845060691,3308.7527161411,3307.5904927861,3308.1724038569,3307.2992120141,3307.3961813897,3306.8129144721,3305.9357203021,3307.1047472791,3307.6746123448,3307.8686218024,3307.7715840316,3308.3530561671,3308.7402796288,3307.6747188598,3307.8686765006,3308.7399528392,12.1426557632,12.1774103126,12.0695371649,12.2233949413,12.1227954072,11.8759566551,13.174165707,13.2904162966,12.7868755178,13.1595044226,13.4052134085,12.9429192133,12.8566697931,12.9327126134,10.713923572,10.6930045603,10.4689557164,10.154304993,9.2285079222,8.7582405406,9.1412840754,9.400749006,12.223362526,12.2637543665,11.4783107182,11.0232878434,10.5153581778,10.41382077,10.0372451378,10.2624293176,3308.842524181,3309.3248263903,3308.1655252454,3309.9029556159,3307.8747340172,3307.9716683526,2.4909356091,2.4958563453,2.5295083519,2.4926311028,2.500702287,2.4856215833,2.518193267,2.5364325244,2.4669818507,2.5029841576,2.2720484924,2.49564499,2.8982484092,2.3723991093,2.5138551393,2.4978309529,2.4867550954,2.5310195761,2.5415163809,2.4805909786,2.5138966658,2.5512429524,2.526665968,3.4376339636,2.4975118212,2.3708401624,2.4849557936,2.5799622121,2.7375448223,2.7248218888,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0327896922,0.0263749695
4/18/2014 10:40:31.435 AM,8,3304.1739733104,3308.3668473112,3308.753190219,3306.7160694021,3305.6430714884,3307.299505954,3307.3968072503,3307.3968925479,3308.1724697578,3304.4682096407,3306.1314618707,3305.3500015187,3306.7160694734,3305.9361510049,3306.2288675456,3306.1312614564,3304.762575207,3308.5599449727,3307.6881157309,3306.5212997036,3307.6879941393,3306.4238684118,3307.8817140247,3307.7849819794,3308.753190219,3307.5909690618,3308.1728790347,3307.2996888376,3307.396658031,3306.8133922072,3305.9361996731,3307.1052244676,3307.6749898763,3307.8689990439,3307.7719614181,3308.3534326826,3308.7406555619,3307.675096391,3307.869053742,3308.7403287728,12.1451738916,12.1769508212,12.0699178148,12.224310298,12.1164540824,11.8670971887,13.1730964636,13.298659601,12.7874851287,13.1530158289,13.4023118499,12.9452842213,12.8517076491,12.9406462586,10.7135407716,10.69025226,10.4811841113,10.1536923227,9.2470951134,8.7738476257,9.1441137639,9.4174204662,12.2053261099,12.2622918279,11.4817381671,11.0225122739,10.4924859392,10.4062395852,10.0246182043,10.2435360216,3308.8431702414,3309.3254711984,3308.1661730558,3309.9035989165,3307.8753825764,3307.9723166624,2.4910224336,2.4958491725,2.5295001125,2.4926391894,2.50064064,2.4855964069,2.5183141194,2.5363847622,2.4669089103,2.5029968233,2.2661473083,2.4956146272,2.9022276469,2.3732302003,2.5137597607,2.4975242585,2.4864558285,2.5308202823,2.5415258418,2.4805522195,2.5130627963,2.550840855,2.527675713,3.4373237015,2.4979116389,2.3783478262,2.4838466063,2.5831136934,2.739804403,2.7249905142,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0335123146,0.0270475769
4/18/2014 10:40:32.435 AM,9,3304.1744985179,3308.3673640159,3308.7537061263,3306.7165894874,3305.643593748,3307.3000248495,3307.3973259469,3307.3974112442,3308.1729868628,3304.4687342604,3306.1319831428,3305.350524369,3306.7165895587,3305.9366726724,3306.2293886204,3306.131782729,3304.7630992374,3308.5604612792,3307.6886338309,3306.521820185,3307.6885122395,3306.424389091,3307.8822317275,3307.7854998806,3308.7537061263,3307.5914873609,3308.1733961389,3307.3002077327,3307.3971767278,3306.8139120944,3305.9367213405,3307.1057437599,3307.6752974685,3307.8693063998,3307.7722688923,3308.353739447,3308.7409618518,3307.6754039832,3307.8693610978,3308.7406350631,12.1474066548,12.1852181128,12.0749028386,12.2262381032,12.1167783787,11.8727671621,13.1819664676,13.299518032,12.7894891227,13.1576138937,13.4045441165,12.9447687291,12.8521083005,12.9370794382,10.7237964988,10.7103706055,10.5000823304,10.1712143357,9.2552225304,8.7877913217,9.1469635648,9.4207278923,12.2009756934,12.2620658948,11.4853329372,11.0034095025,10.4556358621,10.3835335641,10.0106293369,10.2469027665,3308.8437399036,3309.3260397563,3308.1667442609,3309.9041661452,3307.8759544418,3307.9728883078,2.4909798606,2.4957582152,2.5294845493,2.4926167606,2.500633163,2.4856141067,2.5182961136,2.5363380681,2.4669484324,2.5031451491,2.2629275513,2.4957519466,2.9024047766,2.3712774568,2.5140625305,2.4977624426,2.4867486859,2.5310421607,2.5412562063,2.4801028271,2.5125254951,2.5515528802,2.5287365786,3.436618935,2.498083469,2.3828577966,2.4834465114,2.5862888242,2.7412762512,2.7267422349,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0344866952,0.0279989624
