TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 4:22:14.272 PM,0,3311.6662921498,3315.7342873724,3316.1089182743,3314.1331577051,3313.0920927034,3314.6991196676,3314.7934989885,3314.7935817236,3315.545789024,3311.9518954424,3313.5659810423,3312.8076989817,3314.1331577743,3313.3764761759,3313.6604878818,3313.5657865902,3312.2376048304,3315.9215356934,3315.076046216,3313.944204058,3315.0759282855,3313.8496789015,3315.2638109572,3315.1699947647,3316.1089182743,3314.981823487,3315.5461859311,3314.6992970611,3314.7933542519,3314.2275710586,3313.3765233985,3314.5106658988,3315.0972698979,3315.2854060422,3315.1913070364,3315.7551361461,3316.1305659584,3315.0973731907,3315.2854590832,3316.1302491369,13.90614497,13.8322787162,13.5558968419,13.5871825734,13.4770991836,13.3164577269,15.3580127911,15.4152879055,14.5928893647,14.8722431133,15.0383908267,14.4125593549,14.320848479,14.357867055,12.3898794633,12.5346121575,12.3556320679,12.573364713,12.4795460172,12.4257824118,12.3882712541,12.5505290575,13.4452902046,13.3772812616,13.0988252436,13.0788423787,13.0823367141,12.963231632,12.8344940845,12.9767245768,3316.3105673768,3316.7779516836,3315.6544135472,3317.3381242502,3315.372542136,3315.4665053243,2.4916817814,2.4960635937,2.5289631809,2.4905307256,2.4985266378,2.4857853063,2.5156852736,2.5357398955,2.4619239354,2.4935634818,2.5349255371,2.4827528301,2.4989524483,2.641330466,2.5139847016,2.5034513962,2.4926145315,2.5332552985,2.5429910594,2.4840057505,2.5119177132,2.5478918867,2.5289021481,2.6739971743,2.5032835415,2.5173836,2.4872313902,3.0134671927,2.9031549833,2.6972782605,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1367490525,5.0000817871
4/17/2014 4:22:15.272 PM,1,3311.6663056121,3315.7343006036,3316.1089314838,3314.1331710282,3313.0921060856,3314.6991329583,3314.7935122739,3314.7935950089,3315.5458022661,3311.9519088887,3313.5659943976,3312.80771238,3314.1331710974,3313.376489542,3313.6605012318,3313.5657999456,3312.2376182606,3315.9215489138,3315.0760594852,3313.9442173918,3315.0759415546,3313.8496922407,3315.2638242155,3315.1700080284,3316.1089314838,3314.9818367615,3315.5461991732,3314.6993103519,3314.7933675373,3314.2275843764,3313.3765367646,3314.5106792004,3315.0977739587,3315.285909692,3315.1918108919,3315.7556387671,3316.1310677543,3315.0978772513,3315.2859627329,3316.1307509335,13.9073261826,13.8329262699,13.5627274478,13.5821076532,13.4740070521,13.3200046736,15.3546975969,15.430875183,14.5881983892,14.8765494447,15.0371316254,14.4119102848,14.3112781257,14.3560749069,12.3865588979,12.545948434,12.3572727606,12.5540897054,12.4788194393,12.4339147476,12.3924331925,12.5366696589,13.4444799737,13.3847137487,13.0989307485,13.0750551972,13.0832057127,12.961733666,12.83963836,12.9727847086,3316.3114249531,3316.778807494,3315.6552735909,3317.3389779351,3315.3734032357,3315.4673660722,2.4916749147,2.4961031204,2.5289312916,2.4903459547,2.4985422022,2.4858474081,2.5156124875,2.5349256484,2.4619530811,2.4931339166,2.5423883057,2.4828201167,2.4873004919,2.6511611773,2.5139265588,2.5033741885,2.4926355916,2.5332330191,2.5428245782,2.4840260457,2.5119076445,2.5477873566,2.5288913136,2.6735390303,2.5032687391,2.5054085458,2.487224371,3.0049207356,2.9004878021,2.6994722222,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1377385386,5.0000817871
4/17/2014 4:22:16.272 PM,2,3311.666117166,3315.7341153923,3316.1087465758,3314.1329845309,3313.0919187611,3314.6989469136,3314.7933263049,3314.79340904,3315.5456169025,3311.9517206663,3313.5658074488,3312.8075248307,3314.1329846,3313.3763024428,3313.6603143581,3313.5656129966,3312.2374302625,3315.921363854,3315.0758737431,3313.9440307438,3315.0757558124,3313.8495055174,3315.2636386245,3315.1698223619,3316.1087465758,3314.9816509437,3315.5460138099,3314.6991243073,3314.7931815682,3314.2273979544,3313.3763496654,3314.5104930047,3315.0960627986,3315.284199927,3315.1901004289,3315.7539324946,3316.129364283,3315.096166092,3315.2842529683,3316.1290474599,13.8959920413,13.8318868,13.5554284907,13.5890030022,13.4677008477,13.3147682784,15.3503826925,15.4225954527,14.5848716136,14.8626263796,15.0088746074,14.4083544634,14.2827121223,14.3577035987,12.3951349978,12.543992175,12.3406553935,12.5651863622,12.4634983669,12.4315760597,12.3796293075,12.5605973223,13.4516091392,13.3885612244,13.1023216604,13.0802772088,13.0758315327,12.9612307403,12.8465402822,12.97182394,3316.311279829,3316.7786626688,3315.6551280493,3317.3388334696,3315.3732575153,3315.4672204114,2.4913668326,2.4962067446,2.5287620795,2.4904051546,2.4985341148,2.4858110931,2.5155415325,2.534758099,2.4619080655,2.4931841216,2.5432435608,2.4828002816,2.4802928104,2.6644065955,2.5139293057,2.5033921934,2.4924738257,2.5332952793,2.542621932,2.4839762997,2.5117741582,2.5476516965,2.5288833785,2.6727457483,2.5031974738,2.4940873008,2.4872843394,2.9939522685,2.8973293944,2.7008435056,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1378525164,5.0000817871
4/17/2014 4:22:17.272 PM,3,3311.6658546669,3315.7338573984,3316.1084890045,3314.1327247459,3313.0916578241,3314.698687759,3314.7930672557,3314.7931499909,3315.5453586965,3311.9514584786,3313.565547035,3312.8072635807,3314.132724815,3313.3760418195,3313.6600540488,3313.5653525825,3312.2371683871,3315.9211060711,3315.07561501,3313.943770749,3315.0754970792,3313.8492454178,3315.2633801019,3315.1695637341,3316.1084890045,3314.9813921051,3315.5457556044,3314.698865153,3314.7929225188,3314.2271382744,3313.3760890421,3314.5102336399,3315.0957908773,3315.2839282273,3315.1898286182,3315.75366135,3316.1290935835,3315.0958941707,3315.2839812686,3316.12877676,13.8887510134,13.8319662383,13.5539812783,13.5820629233,13.4644219316,13.3116429741,15.3442141526,15.424275399,14.5814430513,14.8667464855,15.0054468094,14.4098065775,14.2773776121,14.3536664272,12.38918459,12.5256721172,12.3511956639,12.5577850281,12.4547954026,12.4396743548,12.3788686248,12.5608295785,13.4531147832,13.387166736,13.102988369,13.0772030864,13.0792466274,12.9647989031,12.8345340234,12.9666888759,3316.3095184752,3316.7769049417,3315.6533616277,3317.337080108,3315.3714889251,3315.4654525436,2.4914625074,2.4963324977,2.528819755,2.4904704576,2.4985791293,2.4857424301,2.5155986017,2.5347678651,2.4620002329,2.493186258,2.5495281982,2.4827711394,2.4748768545,2.6789775474,2.513916792,2.5034390368,2.492643222,2.5331646549,2.5423033135,2.4840150588,2.5117785823,2.5474626268,2.5288232547,2.6721255294,2.5032382186,2.4841579183,2.4872136896,2.9809220262,2.8940423431,2.7013565542,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1379208726,5.0000817871
4/17/2014 4:22:18.272 PM,4,3311.6656056347,3315.7336126405,3316.1082446474,3314.1324782887,3313.0914102739,3314.6984419,3314.7928214967,3314.7929042319,3315.5451137374,3311.951209742,3313.5652999812,3312.8070157336,3314.1324783579,3313.375794567,3313.6598070942,3313.5651055286,3312.2369199467,3315.9208615134,3315.0753695508,3313.9435240928,3315.0752516199,3313.8489986621,3315.2631348423,3315.1693183747,3316.1082446474,3314.9811465459,3315.5455106457,3314.6986192941,3314.7926767596,3314.2268919168,3313.3758417897,3314.5099875814,3315.0962883106,3315.2844252551,3315.1903258489,3315.7541573625,3316.1295887818,3315.0963916038,3315.2844782963,3316.1292719589,13.8911465296,13.8253601214,13.5500435217,13.5882747497,13.4681173075,13.3097671597,15.3480554351,15.4149309201,14.5800256776,14.8582392088,15.0013612943,14.4030509971,14.273596601,14.3562137278,12.365708805,12.4972263463,12.3352688066,12.5302604941,12.4530705007,12.4356583905,12.3623241403,12.5455137773,13.458586107,13.3747791823,13.1125081888,13.0766451971,13.0786122355,12.9611102799,12.8398542968,12.9649094893,3316.3093073809,3316.7766942821,3315.653149926,3317.3368699716,3315.3712769635,3315.4652406685,2.491484328,2.4962659584,2.5287944266,2.4904065278,2.4986126994,2.4859345338,2.5155868521,2.534701944,2.4619868046,2.4932689664,2.5544033813,2.4827145333,2.4743042726,2.6914353672,2.5138839818,2.5032887413,2.4925753109,2.5331364241,2.5422892748,2.4839909488,2.5117622589,2.5474592696,2.5288626251,2.6715042422,2.5031883177,2.4863571221,2.4872155207,2.9841082951,2.8928949272,2.6986275691,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1383822768,5.0000817871
4/17/2014 4:22:19.272 PM,5,3311.6653902588,3315.7334009613,3316.1080333148,3314.1322651398,3313.0911961797,3314.6982292684,3314.7926089515,3314.7926916869,3315.5449018841,3311.9509946216,3313.5650863163,3312.8068013825,3314.132265209,3313.3755807302,3313.6595935152,3313.5648918635,3312.2367050826,3315.9206500073,3315.075157265,3313.9433107717,3315.075039334,3313.848785255,3315.2629227293,3315.1691061753,3316.1080333148,3314.9809341735,3315.5452987928,3314.6984066626,3314.7924642144,3314.226678854,3313.375627953,3314.5097747772,3315.095830667,3315.2839679846,3315.1898683918,3315.7537010261,3316.1291331945,3315.0959339605,3315.2840210259,3316.128816371,13.8855813076,13.8208599695,13.5532511628,13.5840797652,13.4652947002,13.3048090405,15.3488947595,15.4169144712,14.5884156936,14.8623577581,15.0012866513,14.4030523777,14.2776394049,14.3555290253,12.4121147994,12.5481508225,12.3391644795,12.5961369445,12.4620834198,12.4362707647,12.3831029931,12.5639169631,13.454916465,13.3838549802,13.1027292189,13.0738143294,13.0831104207,12.9645397877,12.8448098987,12.9691776192,3316.3085685318,3316.7759569543,3315.6524089511,3317.336134475,3315.3705350789,3315.4644990869,2.4915395661,2.4961247915,2.5287341572,2.4903786062,2.4985298423,2.4857888157,2.515499875,2.5347129309,2.4620103042,2.4932428721,2.5596981812,2.4828304919,2.4753083124,2.7025192772,2.513815767,2.5033410777,2.4925835518,2.5331464957,2.5423092647,2.4839476118,2.5117660728,2.547483075,2.5288154721,2.6713598703,2.5032691969,2.493031042,2.4872611455,2.9858998562,2.8933942415,2.6965692707,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1396709737,5.0000817871
4/17/2014 4:22:20.272 PM,6,3311.6654373743,3315.7334472681,3316.1080795459,3314.1323117682,3313.0912430149,3314.6982757836,3314.7926554478,3314.7927381832,3315.5449482291,3311.9510416812,3313.5651330575,3312.8068482739,3314.1323118373,3313.375627509,3313.6596402376,3313.5649386048,3312.2367520862,3315.9206962763,3315.0752037046,3313.9433574377,3315.0750857736,3313.8488319398,3315.262969131,3315.169152596,3316.1080795459,3314.980980632,3315.5453451377,3314.6984531778,3314.7925107107,3314.2267254635,3313.3756747318,3314.5098213302,3315.0955189421,3315.2836565138,3315.1895567938,3315.7533901915,3316.1288228702,3315.0956222357,3315.2837095552,3316.1285060463,13.8831109049,13.8218982353,13.5506258572,13.579548156,13.4677072692,13.3003534331,15.3525221689,15.4217631833,14.58564024,14.8562283629,14.9982070051,14.4068354473,14.2760843059,14.3538979913,12.3955224037,12.5358290785,12.3504352704,12.5680167699,12.4630462951,12.445023164,12.3805521411,12.5823644793,13.4490894629,13.3899336712,13.1032370312,13.077451617,13.08682472,12.9615352938,12.8426456222,12.9690744235,3316.3086279021,3316.7760162023,3315.6524684922,3317.3361935759,3315.3705946932,3315.4645586768,2.491549332,2.4961890415,2.5288733109,2.4904814432,2.4985458644,2.4857555524,2.5154801907,2.5347208658,2.4619887883,2.4932062484,2.5696618652,2.482799061,2.4674558705,2.7114450363,2.5138388105,2.5033679325,2.4925666122,2.5331255896,2.5424234058,2.4840248249,2.5117785823,2.5475056596,2.5287449716,2.6716234328,2.5033662519,2.4937871041,2.4873429346,2.9845977627,2.8933556332,2.6969779393,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1405875262,5.0000817871
4/17/2014 4:22:21.272 PM,7,3311.6655854414,3315.7335927937,3316.1082248331,3314.1324583042,3313.0913902008,3314.6984219639,3314.7928015687,3314.792884304,3315.5450938743,3311.9511895726,3313.5652799483,3312.8069956363,3314.1324583733,3313.3757745179,3313.6597870694,3313.5650854956,3312.2368998014,3315.9208416829,3315.0753496472,3313.9435040921,3315.0752317163,3313.8489786533,3315.2631149549,3315.1692984792,3316.1082248331,3314.9811266341,3315.5454907826,3314.698599358,3314.7926568317,3314.2268719403,3313.3758217407,3314.5099676292,3315.0957311799,3315.2838685786,3315.1897689452,3315.7536018231,3316.1290341543,3315.0958344734,3315.2839216199,3316.1287173307,13.8828296859,13.8229898995,13.5551531701,13.5877357005,13.4645251258,13.3044975242,15.3603936207,15.4186614506,14.5854352685,14.8587680334,14.9996791988,14.4059440325,14.270617758,14.3504152174,12.3830291215,12.5173005612,12.3560329932,12.555292717,12.4598625341,12.4425266643,12.3805759069,12.5770434718,13.4589456185,13.3900973391,13.101492086,13.0796762247,13.0872172944,12.9652112009,12.8404427631,12.9691617594,3316.3086410927,3316.7760293657,3315.6524817207,3317.3362067066,3315.3706079379,3315.4645719162,2.4914921102,2.49610251,2.5288299779,2.4904587092,2.4986485584,2.4857483809,2.5154783596,2.5347471122,2.4619529285,2.4931604688,2.5694200134,2.4828176754,2.4591344393,2.7233882694,2.5139087039,2.5033363476,2.4925663069,2.5331065148,2.5423985328,2.4839854554,2.5117610384,2.5474694937,2.5287521437,2.6720183951,2.5034289714,2.4940451786,2.487176915,2.9864392164,2.893189602,2.6971847153,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1405467871,5.0000817871
4/17/2014 4:22:22.272 PM,8,3311.665471025,3315.7334803412,3316.1081125648,3314.1323450708,3313.0912764653,3314.6983090054,3314.7926886562,3314.7927713915,3315.5449813293,3311.951075292,3313.5651664409,3312.8068817644,3314.13234514,3313.3756609192,3313.6596736075,3313.5649719881,3312.2367856569,3315.9207293223,3315.0752368724,3313.9433907673,3315.0751189414,3313.8488652829,3315.2630022719,3315.1691857503,3316.1081125648,3314.9810138134,3315.5453782378,3314.6984863996,3314.792543919,3314.2267587527,3313.3757081419,3314.509854579,3315.0956383239,3315.2837757983,3315.189676127,3315.7535092323,3316.1289417156,3315.0957416175,3315.2838288397,3316.1286248918,13.8856502862,13.8230654132,13.5472134498,13.5783501486,13.4574259522,13.2912966253,15.3626788369,15.4178219637,14.5899338165,14.8610543215,14.9952564457,14.4037315174,14.2747344526,14.3514817376,12.3981404078,12.5355466554,12.3543522872,12.5757491831,12.4665820534,12.44550439,12.3850055254,12.5734540823,13.4602816034,13.3919675794,13.1029049047,13.0860505039,13.0827515528,12.9601342081,12.8386490763,12.9784363381,3316.3086872683,3316.7760754463,3315.6525280293,3317.3362526727,3315.3706543033,3315.4646182626,2.4914979086,2.4960826703,2.5289410567,2.4904774762,2.4986935729,2.4858242153,2.5154759181,2.5347110997,2.4620023693,2.4931815274,2.571783905,2.4828631434,2.4533677332,2.7397859124,2.5139402933,2.5033650334,2.4925661543,2.5331797622,2.5423817474,2.4842021403,2.5118586741,2.5474476721,2.5287886148,2.6723484969,2.503417984,2.4925649511,2.4872489382,2.9892048301,2.8926686181,2.6974650456,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1405205432,5.0000817871
4/17/2014 4:22:23.272 PM,9,3311.6651008469,3315.7331165167,3316.1077493362,3314.1319787204,3313.0909084901,3314.6979435441,3314.7923233435,3314.792406079,3315.5446172057,3311.9507055531,3313.5647992036,3312.8065133478,3314.1319787896,3313.3752933865,3313.6593065178,3313.5646047505,3312.2364163584,3315.9203657954,3315.0748720055,3313.943024121,3315.0747540743,3313.8484984887,3315.2626377017,3315.1688210318,3316.1077493362,3314.9806487977,3315.5450141149,3314.6981209386,3314.7921786061,3314.2263925504,3313.3753406093,3314.5094888212,3315.0952735396,3315.2834113114,3315.1893114913,3315.7531454899,3316.1285785703,3315.0953768333,3315.2834643528,3316.1282617461,13.8817633764,13.8240596093,13.5323308443,13.5756056917,13.4526959337,13.2980895315,15.3696144083,15.420492289,14.5885633243,14.8602180364,14.990988972,14.4115886393,14.2771005244,14.3500353234,12.3853965622,12.5326476842,12.3655788793,12.5547598697,12.4639114789,12.4502415051,12.3792788654,12.5829239215,13.4579248855,13.3905267913,13.1033724385,13.0862887206,13.0901666679,12.9580821724,12.8455290809,12.9557752878,3316.3078758531,3316.7752657018,3315.6517142794,3317.3354449392,3315.3698395545,3315.4638038466,2.4914763932,2.4961344061,2.5289965961,2.4904855628,2.4986743464,2.4857228993,2.5155738819,2.5347336838,2.4619829897,2.4931702351,2.5719862366,2.4827897538,2.447804093,2.7586360828,2.5140266682,2.5032467806,2.4925283072,2.5331265052,2.5424635383,2.4840333702,2.5118097037,2.5476597842,2.5287963973,2.6723205687,2.5032546997,2.49205918,2.4872155207,2.9975660586,2.8924136198,2.6968119081,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.140864155,5.0000817871
