TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 12:01:45.116 PM,0,3308.540118203,3312.6611092245,3313.0407102857,3311.0389103087,3309.9842936644,3311.6122880264,3311.7079073509,3311.7079911733,3312.4701159402,3308.8293852664,3310.4643363844,3309.6962178942,3311.0389103788,3310.2723675714,3310.5600734275,3310.4641394021,3309.1187682308,3312.8508398012,3311.9941725956,3310.8474884692,3311.9940531114,3310.7517300163,3312.184412916,3312.0893593266,3313.0407102857,3311.8987090344,3312.4705180967,3311.6124677498,3311.7077607119,3311.134558361,3310.2724154075,3311.4213611345,3311.8689237452,3312.0596574111,3311.9642587129,3312.5358905665,3312.9165361634,3311.869028463,3312.0597111849,3312.9162149335,12.957434114,13.0387366608,12.8575756881,13.0418931826,12.4679337183,12.7625781306,13.7506608955,13.8199723597,13.6024736296,14.0959827265,14.2201756782,14.0257620306,14.0894875748,14.0627782308,11.877309042,11.9573663987,11.8314763415,12.113622332,12.0656665806,12.0548198085,11.948126893,12.0383193503,12.7060311607,12.5933363408,12.4266336388,12.4743027311,12.4394021219,12.3427833325,12.1933699682,12.2486235287,3312.994756635,3313.4688758975,3312.3291918335,3314.0371552634,3312.0432933526,3312.1385979398,2.4985342064,2.493609883,2.5297701805,2.4842251692,2.4925247577,2.4777332794,2.5185314097,2.5373218483,2.4651116459,2.5005599759,2.2456445313,2.4901978328,2.7423181884,2.4150469293,2.5142769416,2.5019206703,2.4909416278,2.5320650292,2.5422116039,2.4831223778,2.5129816367,2.5495755073,2.5289206126,3.0490158236,2.5016903745,2.3545277471,2.4863666543,3.031005785,2.3576901802,3.078188452,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0118290659,5.0000817871
4/17/2014 12:01:46.116 PM,1,3308.5406389234,3312.661621226,3313.0412214696,3311.0394257766,3309.9848113618,3311.6128022743,3311.7084213947,3311.708505217,3312.4706283523,3308.8299053841,3310.4648530693,3309.6967361974,3311.0394258467,3310.2728846617,3310.56058991,3310.4646560874,3309.1192877441,3312.8513513944,3311.9946860278,3310.8480043432,3311.9945665438,3310.7522460932,3312.1849259409,3312.089872555,3313.0412214696,3311.8992226707,3312.4710305079,3311.6129819972,3311.708274756,3311.1350736257,3310.2729324977,3311.4218757893,3311.8686467432,3312.059380629,3311.9639818208,3312.5356143352,3312.9162603739,3311.8687514612,3312.059434403,3312.9159391436,12.9496532813,13.041410416,12.8529193927,13.0367049463,12.4632769224,12.7597559658,13.7585193159,13.8321079909,13.5982022184,14.0747790559,14.1937832705,14.0254587575,14.0653909044,14.0559183444,11.9013600294,11.9592777492,11.8322420415,12.1143113174,12.0588702468,12.0541342603,11.9332299536,12.0177753903,12.7158311988,12.5880943586,12.430326467,12.4702058727,12.4344644206,12.3430391057,12.1887378982,12.2485738878,3312.9951598278,3313.4692782824,3312.3295961551,3314.0375566757,3312.0436981573,3312.1390025835,2.4986068399,2.4935895855,2.5295332226,2.4841902291,2.4926527819,2.4784463059,2.5185100469,2.5372753069,2.4651333144,2.5005177061,2.2483451843,2.4902791564,2.7406198188,2.4195373542,2.5142677853,2.5020171036,2.4909362865,2.5320680812,2.5420620608,2.4831008619,2.5128856791,2.5493386742,2.5288437029,3.0486866376,2.5016699258,2.3540163292,2.4863184354,3.0311612611,2.357678735,3.0743454709,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0120818922,5.0000817871
4/17/2014 12:01:47.116 PM,2,3308.5409609427,3312.6619378533,3313.0415375912,3311.0397445475,3309.9851315116,3311.6131202907,3311.708739285,3311.7088231072,3312.4709452334,3308.8302270306,3310.4651725929,3309.6970567218,3311.0397446176,3310.273204436,3310.5609093084,3310.4649756113,3309.1196090168,3312.8516677691,3311.9950035398,3310.8483233653,3311.994884056,3310.7525652407,3312.185243201,3312.0901899411,3313.0415375912,3311.8995403089,3312.4713473885,3311.6133000135,3311.7085926465,3311.1353922711,3310.2732522719,3311.4221940574,3311.8690183429,3312.0597519336,3311.9643532731,3312.5359849011,3312.9166303472,3311.8691230607,3312.0598057075,3312.9163091174,12.9484319643,13.0468293721,12.8576533283,13.0462448142,12.4723644571,12.7658613485,13.7692734477,13.8398906191,13.6013301848,14.0908732265,14.2077425876,14.0293483287,14.0643984871,14.0569850669,11.8740272395,11.946599191,11.8206314946,12.1017124591,12.055890296,12.0455781223,11.9336872657,12.0175457016,12.7090367968,12.5945094135,12.4375070681,12.4753994981,12.4393534817,12.341818091,12.1984382261,12.2461314118,3312.9952539095,3313.4693721756,3312.3296905003,3314.0376503421,3312.0437926152,3312.1390970039,2.4985364952,2.493646968,2.5295291029,2.4843786619,2.4919047785,2.4778036208,2.5185617754,2.5372916345,2.4652280759,2.5005322029,2.2469111633,2.4902849543,2.7397413413,2.4257391003,2.5142163571,2.5020850036,2.4909312503,2.5320868508,2.5417991395,2.4831232934,2.5129039858,2.5492878589,2.5288197449,3.0484346736,2.5015774489,2.3573659563,2.4862961571,3.0376100875,2.3571901028,3.0749712925,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0113949737,5.0000817871
4/17/2014 12:01:48.116 PM,3,3308.5415364784,3312.6625037525,3313.0421025865,3311.0403142779,3309.9857037062,3311.6136886726,3311.7093074414,3311.7093912634,3312.4715115862,3308.8308019002,3310.4657436684,3309.6976295859,3311.040314348,3310.2737759595,3310.5614801602,3310.4655466872,3309.1201832185,3312.8522332169,3311.9955710201,3310.8488935445,3311.9954515366,3310.7531356442,3312.1858102312,3312.0907571963,3313.0421025865,3311.9001080149,3312.4719137403,3311.6138683949,3311.7091608033,3311.135961777,3310.2738237953,3311.422762889,3311.8695047878,3312.0602379922,3311.964839525,3312.5364699925,3312.917114663,3311.8696095054,3312.060291766,3312.9167934338,12.9492883976,13.0501288476,12.8508734841,13.0344313586,12.4722285585,12.7632068743,13.7766129685,13.83777089,13.5935635726,14.0953904452,14.2157695004,14.0321112777,14.067161125,14.0642451111,11.8775565728,11.9507405194,11.8323347076,12.1018823013,12.0552962192,12.0474283409,11.9280502684,12.027491815,12.7219340933,12.5830491765,12.4316957758,12.4683679343,12.4375903243,12.3392144839,12.1986609547,12.2519285009,3312.9960804448,3313.4701970547,3312.3305193498,3314.0384732276,3312.044622455,3312.1399265138,2.4984824779,2.4935840914,2.5295440558,2.4842225754,2.4918989801,2.4778518375,2.5185384289,2.5372603525,2.4651470479,2.5005271672,2.2409436035,2.4903414079,2.7416208072,2.43924639,2.514219104,2.5020402964,2.4909968724,2.5321152342,2.5417559551,2.4832641386,2.5128393022,2.5492841965,2.5288289008,3.0484322318,2.5015745495,2.3686134876,2.4862972252,3.0498878192,2.3558267548,3.0817915425,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0105164138,5.0000817871
4/17/2014 12:01:49.116 PM,4,3308.542509378,3312.6634603614,3313.0430576676,3311.0412773635,3309.9866709574,3311.6146494786,3311.7102678662,3311.7103516879,3312.4724689621,3308.8317736735,3310.4667090278,3309.698597969,3311.0412774336,3310.2747420764,3310.5624451415,3310.4665120474,3309.1211538626,3312.8531890627,3311.996530302,3310.8498573887,3311.996410819,3310.7540998676,3312.1867687521,3312.0917160975,3313.0430576676,3311.9010676782,3312.4728711146,3311.6148292002,3311.7101212287,3311.136924483,3310.274789912,3311.4237244552,3311.8698358454,3312.060568787,3311.9651704513,3312.5368001291,3312.9174442716,3311.8699405629,3312.0606225607,3312.9171230429,12.9491020708,13.0397897279,12.8529775768,13.0319549885,12.4691396504,12.7617990291,13.7713161334,13.8271297967,13.5958190011,14.0903985826,14.2179476802,14.0192623869,14.0704827827,14.0629915,11.8962273924,11.9523103444,11.8379528238,12.0882568922,12.0616021262,12.0483108562,11.9317599579,12.0347135671,12.7004011434,12.5773978558,12.4306254812,12.4734829684,12.4311735623,12.3385259973,12.2007981855,12.2365019464,3312.9959863684,3313.4701031668,3312.33042501,3314.0383795666,3312.0445280025,3312.1398320989,2.4987472241,2.4932278929,2.529914827,2.4844927896,2.4924675359,2.4778242197,2.5185001284,2.5372666089,2.4651322462,2.5005129755,2.2492272949,2.4902355193,2.737466118,2.4487345014,2.5142635123,2.5020383128,2.4908752427,2.5321037893,2.5420660282,2.4832644438,2.5128205379,2.5497058265,2.5288444659,3.048642685,2.5016830496,2.3681315247,2.4863132473,3.0549181356,2.3563924511,3.0814400996,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0100058786,5.0000817871
4/17/2014 12:01:50.116 PM,5,3308.5431945165,3312.6641340276,3313.0437302579,3311.0419555908,3309.9873521183,3311.6153261005,3311.7109442197,3311.7110280412,3312.4731431684,3308.8324580189,3310.4673888564,3309.6992799269,3311.0419556608,3310.2754224384,3310.5631247038,3310.4671918766,3309.1218374128,3312.8538621916,3311.9972058506,3310.8505361503,3311.9970863679,3310.7547788961,3312.1874437648,3312.0923913781,3313.0437302579,3311.9017434955,3312.4735453198,3311.6155058217,3311.7107975826,3311.137602443,3310.2754702738,3311.4244016125,3311.8709168277,3312.0616489108,3311.9662510046,3312.5378781037,3312.9185205225,3311.8710215446,3312.0617026842,3312.9181992953,12.9436549624,13.051896565,12.8504270843,13.0374968049,12.472851529,12.7719968342,13.7635824279,13.8371724822,13.6006725154,14.0897583092,14.2245541598,14.0343356427,14.0786131212,14.0605222336,11.8790199557,11.9551824759,11.8307430523,12.0974663516,12.0614956272,12.0504959345,11.9388353914,12.0056597507,12.7128160598,12.5797339689,12.4189084117,12.471772181,12.431906404,12.3406337745,12.2097026685,12.2444894456,3312.9965978733,3313.4707134463,3312.331038227,3314.0389883712,3312.0451419522,3312.1404458045,2.4986477344,2.4934760415,2.5299068928,2.4841060065,2.4928448946,2.4778336799,2.5184578606,2.5372296809,2.4651867226,2.5005842391,2.2506459045,2.4903238615,2.7378656895,2.4558376897,2.5141627925,2.5019977254,2.4907740627,2.5320403083,2.5423100277,2.4831477086,2.5127262584,2.5496151829,2.5288713232,3.0487612653,2.5016346747,2.3701768911,2.4863538367,3.0560305757,2.3564455567,3.0811506132,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0101107016,5.0000817871
4/17/2014 12:01:51.116 PM,6,3308.5434685707,3312.6644034929,3313.0439992928,3311.0422268804,3309.9876245814,3311.6155967481,3311.7112147599,3311.7112985812,3312.4734128497,3308.8327317559,3310.4676607866,3309.6995527089,3311.0422269505,3310.2756945819,3310.5633965275,3310.467463807,3309.1221108316,3312.8541314419,3311.9974760688,3310.8508076537,3311.9973565863,3310.7550505063,3312.1877137687,3312.0926614891,3313.0439992928,3311.9020138211,3312.4738150006,3311.615776469,3311.7110681229,3311.1378736257,3310.2757424173,3311.4246724742,3311.8712343745,3312.0619662054,3311.9665684254,3312.5381947671,3312.9188366795,3311.8713390913,3312.0620199788,3312.9185154527,12.9422366932,13.059637562,12.8399196745,13.0230263353,12.4605867451,12.7555417634,13.7671225253,13.840179618,13.5992537891,14.0981799423,14.2312982933,14.0249083961,14.076432763,14.0563601389,11.8917247057,11.9529225592,11.8230600664,12.084440985,12.0603809462,12.0483120276,11.9335946768,12.0356314551,12.7050258109,12.5784337618,12.4192879509,12.4768863427,12.433431773,12.3340627784,12.2077149706,12.2360874696,3312.9973370529,3313.4714511448,3312.3317794763,3314.0397242868,3312.045884087,3312.1411876443,2.4985990577,2.4934038556,2.5297868118,2.4840263612,2.4924530397,2.4780137294,2.5184761716,2.537247382,2.4652340271,2.500524573,2.2512612915,2.4902855646,2.735726403,2.4613659865,2.5142503882,2.5020976681,2.4908140464,2.5321188965,2.542251889,2.4831657148,2.512790942,2.5494720454,2.5287675562,3.049055503,2.5016467303,2.369149782,2.4863762676,3.0569973046,2.3567513715,3.0796020061,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0101914168,5.0000817871
4/17/2014 12:01:52.116 PM,7,3308.5438111388,3312.6647403249,3313.0443355868,3311.042565993,3309.9879651607,3311.6159350579,3311.7115529355,3311.7116367568,3312.4737499518,3308.8330739275,3310.4680006998,3309.6998936867,3311.042566063,3310.2760347618,3310.5637363075,3310.4678037205,3309.1224526056,3312.8544680053,3311.9978138421,3310.8511470334,3311.9976943597,3310.7553900195,3312.1880512739,3312.0929991283,3313.0443355868,3311.9023517286,3312.4741521021,3311.6161147786,3311.7114062988,3311.1382126046,3310.2760825972,3311.4250110517,3311.8719099839,3312.0626412783,3311.9672437667,3312.5388684967,3312.9195093317,3311.8720147004,3312.0626950515,3312.9191881058,12.9320318245,13.0517945592,12.8385641654,13.0252590644,12.452052268,12.7512107072,13.7749220745,13.8411147693,13.6028597771,14.0875968526,14.228266168,14.0238597353,14.0818669182,14.061488084,11.8992262931,11.9767697203,11.8176564148,12.1136275302,12.0654417564,12.0476437043,11.9459150486,12.032060975,12.7141253059,12.5774545526,12.4176210296,12.4705615962,12.429168002,12.3372077165,12.2084919776,12.2353370918,3312.9975386446,3313.4716523325,3312.3319816324,3314.0399249883,3312.0460864847,3312.1413899616,2.4985404626,2.4936973302,2.5297393591,2.484128893,2.4916844365,2.4783098956,2.5185051639,2.537295602,2.4652495918,2.5005221314,2.2492086792,2.4902738162,2.7364552128,2.4683486163,2.5142545086,2.5020924803,2.4908093155,2.5320555681,2.5418653658,2.4832961836,2.5128299963,2.5493142584,2.5287339845,3.0492627514,2.5016004918,2.3730700422,2.4863211821,3.0533931269,2.3563327836,3.0822917725,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0095292164,5.0000817871
4/17/2014 12:01:53.116 PM,8,3308.5442770401,3312.6651984251,3313.0447929554,3311.0430271946,3309.9884283573,3311.616395168,3311.7120128631,3311.7120966841,3312.4742084192,3308.8335392895,3310.4684629904,3309.7003574252,3311.0430272647,3310.2764974151,3310.564198417,3310.4682660114,3309.1229174268,3312.8549257401,3311.9982732223,3310.8516085984,3311.9981537401,3310.755851766,3312.1885102897,3312.0934583263,3313.0447929554,3311.9028112915,3312.4746105688,3311.6165748883,3311.7118662266,3311.1386736245,3310.2765452503,3311.4254715258,3311.8715451577,3312.0622767418,3311.9668790853,3312.5385046856,3312.9191461024,3311.8716498744,3312.0623305151,3312.918824876,12.9441699961,13.0383660946,12.852851309,13.0338138972,12.4698536365,12.7563307973,13.7730213738,13.8384501758,13.6030949914,14.0888237356,14.2161434459,14.0256204468,14.080805473,14.0524214736,11.9058745122,11.9479842487,11.8369102029,12.1036314492,12.0549833005,12.0432960691,11.9417192128,12.024506035,12.7048465975,12.5705424035,12.4184214391,12.4729654493,12.4285933903,12.3351820011,12.2081468166,12.2241482894,3312.9978611819,3313.4719742236,3312.3323050729,3314.0402461014,3312.0464103117,3312.1417136598,2.4986166058,2.493758528,2.5298199218,2.4841291982,2.491495223,2.4782320776,2.5185182868,2.5372898034,2.4652132742,2.5004960371,2.2534184265,2.4902658822,2.7361473338,2.4713190877,2.5142043013,2.5019702602,2.4908877567,2.5320450388,2.5419627214,2.4833439458,2.5128307591,2.5494218405,2.5287725919,3.0494786987,2.5016120896,2.3683552605,2.4863207243,3.0451370241,2.3572589264,3.0786769316,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.010304174,5.0000817871
4/17/2014 12:01:54.116 PM,9,3308.5448388531,3312.6657508308,3313.0453444788,3311.0435833404,3309.9889869085,3311.6169499973,3311.7125674723,3311.7126512931,3312.4747612678,3308.8341004521,3310.4690204492,3309.7009166301,3311.0435834104,3310.2770553112,3310.5647556574,3310.4688234707,3309.1234779374,3312.8554777051,3311.9988271715,3310.8521651823,3311.9987076896,3310.7564085688,3312.1890637995,3312.0940120557,3313.0453444788,3311.903365461,3312.4751634164,3311.6171297172,3311.7124208361,3311.1392295511,3310.2771031464,3311.4260267942,3311.8728896271,3312.0636201435,3311.9682230212,3312.5398454142,3312.9204846871,3311.8729943432,3312.0636739165,3312.9201634626,12.9461112039,13.0375595899,12.851967678,13.0309466754,12.4594234851,12.758577744,13.76626641,13.8358884779,13.600991438,14.0861869875,14.2104551691,14.024585834,14.0737463854,14.0519214261,11.8769730949,11.9393875753,11.8416793643,12.1050394378,12.0519608302,12.0491346707,11.9296800396,12.0321768832,12.7063904471,12.5768968093,12.4231735822,12.4700040983,12.4270825722,12.3391704332,12.2029703524,12.2263031999,3312.9983450141,3313.4724570863,3312.3327902597,3314.0407277971,3312.0468960782,3312.1421992332,2.4986678765,2.4936616188,2.5297732321,2.4839738746,2.4915484775,2.4777372466,2.5185172187,2.537251502,2.4651467427,2.5004752837,2.2495840454,2.4902913626,2.7395326304,2.4747330315,2.5141733223,2.5019803308,2.4908688331,2.5320316101,2.5419743186,2.4833239559,2.5127834668,2.5492132381,2.528810589,3.0497189114,2.5017666756,2.3688885025,2.4863875594,3.0368125666,2.3573549132,3.0778887413,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0113383662,5.0000817871
