TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 11:18:40.710 AM,0,3307.1063199762,3311.2511846266,3311.6330247282,3309.6194942265,3308.5587728266,3310.1962126409,3310.2923905728,3310.2924748852,3311.0590673868,3307.397237453,3309.0415879655,3308.2690383808,3309.619494297,3308.8485091941,3309.1378791917,3309.0413898434,3307.688275255,3311.4420334497,3310.5803307469,3309.4269605064,3310.5802105628,3309.3306464747,3310.7716862948,3310.6760752682,3311.6330247282,3310.4843082024,3311.0594719081,3310.1963934138,3310.2922430768,3309.7156984917,3308.8485573066,3310.0041716376,3310.4732383464,3310.6650741735,3310.569123999,3311.1440666703,3311.5269254167,3310.4733436689,3310.6651282584,3311.5266023162,12.6099829906,12.6214557261,12.2935020814,12.3951686424,11.72478367,11.9934957138,13.8783835354,13.9145962057,13.6711265601,14.2930170581,14.5043525396,14.3839123692,13.9936245045,13.5837386613,11.0736043025,11.2040979598,11.0538688813,11.392516327,11.2514049704,11.2034886345,11.0871683441,11.2096389317,11.993254967,11.9521512781,11.7814300726,11.7934117119,11.6894336684,11.446664689,10.8649791274,11.292030665,3311.6103356033,3312.087213442,3310.9409161885,3312.6588133058,3310.653368284,3310.7492222859,2.4975235931,2.493782183,2.5296574233,2.4848521088,2.4925157548,2.4791091322,2.5192827701,2.5373053681,2.4661299126,2.5032202276,2.2342253113,2.4929486464,2.7769239177,2.309858974,2.5141537888,2.5016048208,2.4902023881,2.5317221401,2.5424789504,2.4828286323,2.5128725594,2.5496379201,2.528629607,2.6631666926,2.5010827126,2.445880325,2.4858165621,2.9938576707,2.2780875331,3.2057010166,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9019628474,5.0000817871
4/17/2014 11:18:41.710 AM,1,3307.1065968704,3311.2514569361,3311.6332966077,3309.6197683587,3308.5590481312,3310.1964861316,3310.2926639562,3310.2927482685,3311.0593399121,3307.3975140302,3309.0418627376,3308.2693140038,3309.6197684292,3308.8487841795,3309.1381538574,3309.0416646157,3307.6885515143,3311.4423055445,3310.5806038086,3309.4272348522,3310.5804836246,3309.3309209271,3310.7719591424,3310.6763482228,3311.6332966077,3310.4845813715,3311.0597444329,3310.1966669043,3310.2925164604,3309.7159725171,3308.8488322919,3310.0044453422,3310.4727674471,3310.6646036441,3310.5686532845,3311.1435970667,3311.5264565557,3310.4728727698,3310.664657729,3311.5261334546,12.5958623622,12.6204611013,12.2857079747,12.3922650092,11.7188984769,11.9849412644,13.8676274862,13.9089478048,13.6724218368,14.2891254608,14.5006133139,14.3860455108,13.9785213476,13.5862530878,11.0642071873,11.2137990792,11.0482886836,11.4051176136,11.2356601843,11.1914881298,11.0805159952,11.2129227164,11.9919841071,11.9437001478,11.7834444964,11.7896200786,11.6898435901,11.4398146302,10.8671468878,11.2831955976,3311.6103695321,3312.0872473036,3310.9409502113,3312.6588470865,3310.653402347,3310.7492563355,2.4976008044,2.4935724929,2.5297193711,2.484738744,2.492465247,2.4789820295,2.5193416704,2.5373578608,2.4660691798,2.5033517677,2.2357229614,2.4929533763,2.7775787328,2.30779376,2.5141956028,2.5015756772,2.4901570631,2.5317018445,2.5425511279,2.4827457732,2.5128659995,2.5493815544,2.5285758923,2.664805145,2.5011318505,2.442720095,2.4857778039,2.9924219196,2.2782378463,3.2010851054,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9030670742,5.0000817871
4/17/2014 11:18:42.710 AM,2,3307.1076282469,3311.2524712348,3311.6343093047,3309.6207894471,3308.5600735866,3310.1975048303,3310.2936822553,3310.2937665672,3311.0603550149,3307.3985442261,3309.0428862098,3308.2703406458,3309.6207895176,3308.8498084457,3309.1391769332,3309.0426880888,3307.6895805266,3311.4433190433,3310.5816209096,3309.428256736,3310.5815007261,3309.3319432084,3310.7729754456,3310.6773649247,3311.6343093047,3310.4855988723,3311.060759534,3310.1976856022,3310.2935347601,3309.7169932077,3308.8498565579,3310.0054648379,3310.4734704011,3310.665306046,3310.5693559627,3311.1442980866,3311.5271564671,3310.4735757235,3310.6653601309,3311.5268333669,12.5990299224,12.6185143302,12.2868922845,12.3973429862,11.716109838,11.9897905994,13.8684286408,13.9110463585,13.6775726124,14.292290883,14.5049989804,14.3913459842,13.9856530155,13.5910202522,11.0806678251,11.2261383971,11.044048136,11.3708598545,11.2424237346,11.1953478457,11.0874341718,11.1976020111,11.9957193152,11.9486575358,11.7835130092,11.7878551438,11.6889188279,11.4349922608,10.8672154682,11.2859384728,3311.6112924797,3312.0881684223,3310.9418757143,3312.6597660039,3310.6543289434,3310.7501825677,2.4974973473,2.4938104164,2.5297291362,2.4848528717,2.492400243,2.4790821248,2.5193876004,2.537338176,2.4659883044,2.5033012575,2.2349807739,2.4929768732,2.7800191855,2.305936853,2.5142833511,2.5016170275,2.4902390143,2.5316997081,2.5425386151,2.4828724271,2.5128458621,2.5495471239,2.5286093114,2.666105865,2.5011594715,2.440123783,2.4857443863,2.9911874177,2.2784501159,3.1958760294,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9036094988,5.0000817871
4/17/2014 11:18:43.710 AM,3,3307.1081474028,3311.2529817945,3311.6348190582,3309.6213034244,3308.560589762,3310.1980176046,3310.2941948285,3310.2942791403,3311.0608659793,3307.3990627877,3309.043401387,3308.2708574185,3309.6213034949,3308.8503240225,3309.1396919108,3309.0432032663,3307.6900984923,3311.4438292003,3310.5821328797,3309.4287711136,3310.5820126965,3309.332457786,3310.7734870141,3310.677876694,3311.6348190582,3310.4861110438,3311.0612704975,3310.1981983762,3310.2940473337,3309.7175069847,3308.8503721346,3310.0059780134,3310.4741528744,3310.6659879834,3310.5700381682,3311.1449786822,3311.5278359864,3310.4742581965,3310.666042068,3311.5275128872,12.599891448,12.6241099515,12.2868374269,12.4030149659,11.7172012289,11.9950049887,13.8698234398,13.9017585387,13.6759156863,14.2963549715,14.5057071309,14.385343148,13.9725568828,13.5894408268,11.0586921242,11.2159222789,11.0518640496,11.3813465946,11.236866797,11.1977386389,11.0801173307,11.2103084484,11.9942554269,11.9453604366,11.7869387896,11.7913565759,11.6896702739,11.4357438281,10.8723235451,11.2840920635,3311.6111839004,3312.0880600582,3310.9417668343,3312.6596578987,3310.6542199348,3310.750073602,2.4975406833,2.4938735982,2.5296847352,2.4848637047,2.492572824,2.4790905169,2.5194016388,2.5373595393,2.4660688746,2.5033194167,2.2325646973,2.4929613103,2.7818989566,2.3059188455,2.5142567977,2.5015718626,2.4901801071,2.5317523547,2.5425235082,2.4828998942,2.5128306065,2.549688888,2.5286192303,2.6670000242,2.5011028561,2.4379853205,2.4857715476,2.9895472132,2.2787130495,3.1905247281,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9043699612,5.0000817871
4/17/2014 11:18:44.710 AM,4,3307.1086319521,3311.2534583207,3311.6352948319,3309.6217831404,3308.5610715296,3310.1984961979,3310.2946732341,3310.2947575457,3311.0613428832,3307.3995467824,3309.0438822229,3308.2713397435,3309.6217832109,3308.8508052314,3309.1401725605,3309.0436841026,3307.6905819309,3311.4443053507,3310.5826107224,3309.4292512033,3310.5824905394,3309.3329380624,3310.773964482,3310.6783543492,3311.6352948319,3310.4865890743,3311.0617474006,3310.1986769692,3310.2945257395,3309.7179865138,3308.8508533434,3310.0064569811,3310.4740027321,3310.665837959,3310.5698880849,3311.144828953,3311.5276864941,3310.4741080543,3310.6658920437,3311.5273633946,12.6004559383,12.6223077828,12.2852635956,12.4046487035,11.7208990643,11.9954172028,13.8744299884,13.9062910367,13.6757933638,14.2995123675,14.5113813845,14.3946774507,13.9798324455,13.5895472414,11.0804145625,11.2221414557,11.0475388911,11.3730507927,11.2346808841,11.1916551096,11.0863395642,11.2065181346,11.9946029553,11.9450969199,11.7822434234,11.7891833066,11.6932270863,11.4289845414,10.8745056291,11.2878016436,3311.6117946668,3312.0886696144,3310.9423792919,3312.6602659981,3310.654833116,3310.7506865421,2.4976073658,2.4937745524,2.5297477511,2.4848818613,2.4925743499,2.4791188976,2.5193639487,2.5373017058,2.4659747234,2.5032356401,2.2302284241,2.492933999,2.7820850876,2.3045653849,2.5142105581,2.5016057363,2.490249697,2.5318355209,2.5425434981,2.4828304635,2.5128624907,2.5497844148,2.5287353579,2.6679506501,2.5011587085,2.4361696419,2.4858003874,2.9877757924,2.2789588917,3.1858435032,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.905032009,5.0000817871
4/17/2014 11:18:45.710 AM,5,3307.1089019075,3311.253723806,3311.6355598979,3309.6220504029,3308.5613399351,3310.1987628349,3310.2949397665,3310.295024078,3311.0616085789,3307.3998164287,3309.0441501093,3308.2716084596,3309.6220504734,3308.8510733256,3309.1404403431,3309.0439519892,3307.6908512673,3311.4445706266,3310.5828769412,3309.4295186739,3310.5827567583,3309.3332056371,3310.774230492,3310.6786204635,3311.6355598979,3310.4868553977,3311.0620130959,3310.1989436059,3310.294792272,3309.7182536721,3308.8511214376,3310.0067238267,3310.4740573215,3310.6658925055,3310.5699426528,3311.1448833921,3311.5277408471,3310.4741626436,3310.6659465902,3311.5274177477,12.6003478064,12.6299112608,12.2865304021,12.3978977062,11.718193044,11.9979814512,13.876228639,13.9210624873,13.6785848945,14.3039040548,14.5142477309,14.3997550626,13.9713351279,13.5838718084,11.0680092822,11.2108783122,11.0458259317,11.3672902091,11.2351839652,11.1923874561,11.0749177688,11.1891404763,11.9989044838,11.9521482055,11.7849414959,11.7937904592,11.6963837458,11.4374907465,10.866886798,11.2866030997,3311.6122900506,3312.0891640165,3310.9428760473,3312.6607592187,3310.6553304584,3310.751183689,2.497596837,2.493769974,2.5297253217,2.4849450283,2.4925740447,2.479208312,2.5193142039,2.5372975857,2.4660545306,2.503247848,2.2315916443,2.4930107453,2.7805339447,2.3018393879,2.5142467257,2.5016574624,2.4901859063,2.531780738,2.5425242712,2.4828293953,2.5128913237,2.5497308527,2.5287072797,2.6688722796,2.5011069763,2.4345999811,2.4857533892,2.9863617072,2.2791769602,3.1817497966,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.906155461,5.0000817871
4/17/2014 11:18:46.710 AM,6,3307.1096148817,3311.2544249748,3311.6362599595,3309.6227562652,3308.5620488163,3310.1994670453,3310.2956437006,3310.2957280119,3311.0623103035,3307.4005285869,3309.0448576195,3308.2723181609,3309.6227563357,3308.8517813847,3309.1411475793,3309.0446595,3307.6915626072,3311.4452712424,3310.5835800471,3309.4302250861,3310.5834598645,3309.333912324,3310.7749330464,3310.6793232936,3311.6362599595,3310.48755878,3311.0627148194,3310.1996478158,3310.2954962066,3309.7189592594,3308.8518294965,3310.007428588,3310.4746442476,3310.6664789707,3310.5705293486,3311.1454687034,3311.5283252328,3310.4747495694,3310.6665330552,3311.5280021342,12.5985367369,12.6303896373,12.2880019881,12.407844183,11.7222626814,11.9963218942,13.8796812264,13.9185645982,13.6763158984,14.2983567299,14.5134289072,14.4001566129,13.9696013674,13.5885445821,11.0755913298,11.2222062881,11.047603757,11.3967946977,11.2382608881,11.1851474884,11.0779957184,11.2021511051,11.9971368309,11.9388464122,11.7804226347,11.7963771431,11.6969077065,11.4369451117,10.8755123537,11.2862103995,3311.613022971,3312.0898954846,3310.943610997,3312.6614889386,3310.6560662765,3310.7519192178,2.497560215,2.4938507062,2.5296352991,2.4849225994,2.4925400168,2.4791237803,2.5192295156,2.5374251552,2.4660501054,2.5032121399,2.2375735474,2.4930467535,2.7787123014,2.2979741889,2.5142438262,2.5015990226,2.4902458817,2.5318146149,2.5424772719,2.4829542181,2.5128801871,2.549736804,2.5286822535,2.6700835684,2.5010193827,2.4331873628,2.4858096955,2.9853377619,2.2792677585,3.1781822624,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9079972631,5.0000817871
4/17/2014 11:18:47.710 AM,7,3307.1103139865,3311.2551125033,3311.6369464023,3309.6234483961,3308.5627439073,3310.2001575563,3310.2963339408,3310.2964182518,3311.062998377,3307.4012268913,3309.0455513662,3308.2730140563,3309.6234484666,3308.8524756696,3309.1418410573,3309.0453532473,3307.6922601092,3311.4459582286,3310.584269475,3309.4309177562,3310.5841492928,3309.3346052634,3310.7756219335,3310.6800124511,3311.6369464023,3310.488248479,3311.0634028917,3310.2003383263,3310.2961864472,3309.7196511206,3308.8525237813,3310.0081196392,3310.4752516508,3310.6670858969,3310.5711365135,3311.1460744354,3311.528930007,3310.4753569724,3310.6671399813,3311.5286069092,12.6010923215,12.6282886139,12.2806286902,12.4049796122,11.7085464036,11.9914719583,13.8781165081,13.9215010407,13.6745977876,14.3015967619,14.5143809699,14.3937876306,13.9692569396,13.5859887936,11.0867035449,11.2184994836,11.040534314,11.3850688317,11.2318021652,11.1913748327,11.0784147064,11.2069257445,11.9904651731,11.9388967715,11.7836821052,11.7993305389,11.6923735075,11.433862287,10.8715886878,11.2896992014,3311.6138305188,3312.0907014322,3310.9444207809,3312.66229296,3310.6568770172,3310.7527296398,2.4976220146,2.493905189,2.5296092078,2.4848685871,2.4926222636,2.4791141675,2.5191858745,2.5375135077,2.4659562594,2.5031959645,2.2437187195,2.4930612484,2.7768474819,2.2941839193,2.5142357381,2.5015845271,2.4901811754,2.531800881,2.5424955833,2.4829284295,2.5128533373,2.5497186448,2.5287352053,2.6712164142,2.5011443639,2.4319577316,2.4857582722,2.9843507402,2.2792590602,3.1748672849,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9095821192,5.0000817871
4/17/2014 11:18:48.710 AM,8,3307.1113038137,3311.2560859404,3311.6379183022,3309.6244283495,3308.5637280519,3310.2011352162,3310.2973112171,3310.2973955278,3311.0639725858,3307.4022155855,3309.0465336074,3308.2739993396,3309.62442842,3308.8534586729,3309.142822918,3309.0463354892,3307.6932476673,3311.446930898,3310.5852456015,3309.4318984729,3310.5851254198,3309.3355863616,3310.7765972944,3310.6809881946,3311.6379183022,3310.4892249893,3311.0643770988,3310.2013159855,3310.2971637241,3309.7206306922,3308.8535067844,3310.009098064,3310.4758795212,3310.6677132742,3310.5717641375,3311.1467005782,3311.5295551597,3310.4759848425,3310.6677673585,3311.5292320627,12.5953460197,12.6371227924,12.2795362579,12.3988485793,11.7034043896,11.9898458076,13.8783226828,13.928345731,13.6767878771,14.3035571493,14.5080277505,14.3981881601,13.9688529255,13.5840595489,11.081028998,11.2116004366,11.0503690662,11.3713735384,11.2319322151,11.1848559031,11.0730407276,11.2000255685,11.9930529432,11.9488176789,11.784971406,11.7929042504,11.6880850113,11.4311780622,10.8616437434,11.2966424567,3311.6142852022,3312.0911552146,3310.9448767232,3312.6627456579,3310.6573334981,3310.7531859413,2.4976288812,2.4939483785,2.5295924239,2.4849895808,2.4925510034,2.4791637574,2.5192423333,2.5375682893,2.4659242145,2.5031301945,2.2485240173,2.4930429391,2.7764392141,2.2914241964,2.5141678285,2.5015837642,2.4901349347,2.5317686827,2.5424009744,2.4828860081,2.5128659995,2.5496977388,2.5287036173,2.6718830274,2.5011605397,2.4310212767,2.4857668173,2.9834978339,2.2792883598,3.1720473489,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9110583378,5.0000817871
4/17/2014 11:18:49.710 AM,9,3307.1119959902,3311.2567666552,3311.6385979421,3309.6251136213,3308.5644162545,3310.201818884,3310.2979946168,3310.2980789272,3311.0646538403,3307.4029069697,3309.047220479,3308.2746883385,3309.6251136917,3308.8541460773,3309.1435095235,3309.0470223613,3307.693938257,3311.447611076,3310.585928197,3309.4325842784,3310.5858080156,3309.3362724339,3310.7772793545,3310.6816705224,3311.6385979421,3310.4899078532,3311.0650583522,3310.2019996528,3310.2978471242,3309.7213156968,3308.8541941887,3310.0097822667,3310.4764050255,3310.6682383659,3310.5722894356,3311.1472246367,3311.5300783895,3310.4765103466,3310.66829245,3311.5297552933,12.5898216005,12.6281597169,12.2775201127,12.4022547832,11.7033745038,11.9783620121,13.8776066509,13.9092392675,13.6816417449,14.3066543192,14.4983119275,14.3944977701,13.9671453788,13.5905889179,11.0651123473,11.2075978496,11.0565285584,11.3776837337,11.2222730957,11.182915491,11.0772151388,11.1981621184,11.9881242454,11.9459513092,11.7895923389,11.7926350988,11.6844537017,11.433812724,10.8620624527,11.2862116253,3311.6148891754,3312.091757991,3310.9454823687,3312.6633469938,3310.6579398593,3310.7537920641,2.4975402256,2.4938757347,2.5295942549,2.4850686158,2.4925308613,2.4791282052,2.5193279371,2.5375490624,2.4658814879,2.5031884871,2.2548074341,2.4930366835,2.7765000881,2.2896211592,2.5142139154,2.501641441,2.4902280265,2.5317938615,2.5423603841,2.4828739531,2.5128672199,2.5497766322,2.5287248286,2.672456089,2.5011999111,2.4303711304,2.4857994719,2.9821871961,2.2793208641,3.1693853562,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9121244195,5.0000817871
