TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 3:27:34.745 PM,0,3311.7112470838,3315.7784705643,3316.1530290908,3314.1776477103,3313.1367800523,3314.7435016829,3314.8378629468,3314.837945666,3315.5900085472,3311.9967970223,3313.6105787687,3312.8524399502,3314.1776477795,3313.4211097832,3313.7050676936,3313.6103843535,3312.2824529135,3315.9656827387,3315.120356032,3313.9887300057,3315.120238124,3313.8942228088,3315.3080847235,3315.21428655,3316.1530290908,3315.0261513721,3315.5904053779,3314.7436790426,3314.8377182378,3314.2720430839,3313.4211569968,3314.5550839283,3315.1078283894,3315.2959559253,3315.2018612268,3315.7656644779,3316.141077005,3315.1079316775,3315.2960089639,3316.1407601981,13.8868509164,13.8551613673,13.5977946296,13.6329560674,13.5257867533,13.3700920554,16.0417520686,15.9706444562,15.3238782053,15.5922013484,15.7917518199,15.2629826113,14.8990877593,14.7684419095,13.0179818607,12.9826213064,12.7191206602,12.9081971267,12.7722302143,12.7416883002,12.5960198421,12.632144733,14.3222757095,14.2186554366,13.9230393669,13.8986073219,13.7594827067,13.5150299321,13.2157874799,13.1599926644,3316.2731997957,3316.7406610328,3315.616938468,3317.3009261993,3315.3350210569,3315.4289995676,2.4919459172,2.4961002208,2.529067241,2.4900613983,2.4980513154,2.4849621139,2.5162410118,2.5353857224,2.4633416959,2.4963215492,2.5668748474,2.4859836515,2.5471196555,2.5726821319,2.5138859656,2.5021802162,2.4912781314,2.5324695682,2.5423533647,2.4830527945,2.5119268665,2.5482308082,2.5286784386,2.651558648,2.5020689806,2.4483006701,2.4865747891,3.2442738706,3.0913102876,2.6718474095,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1561326044,5.0000817871
4/17/2014 3:27:35.745 PM,1,3311.7112336283,3315.7784573399,3316.1530158881,3314.1776343941,3313.1367666769,3314.743488399,3314.8378496683,3314.8379323875,3315.589995312,3311.9967835828,3313.6105654202,3312.8524265588,3314.1776344632,3313.4210964239,3313.7050543504,3313.6103710049,3312.28243949,3315.9656695251,3315.1203427697,3313.9887166786,3315.1202248617,3313.8942094764,3315.308071472,3315.2142732932,3316.1530158881,3315.0261381044,3315.5903921427,3314.7436657587,3314.8377049593,3314.272029773,3313.4211436376,3314.5550706336,3315.1076559562,3315.2957836327,3315.2016888639,3315.7654925373,3316.1409053467,3315.1077592443,3315.2958366713,3316.1405885396,13.8824374712,13.8492198062,13.5969644629,13.635712296,13.5269411096,13.3667443944,16.0403144021,15.9692823985,15.329680347,15.585809872,15.7922185365,15.2625347034,14.8971916519,14.7640313202,13.0194405463,12.9937739359,12.7156184404,12.9012617099,12.7736139905,12.740017852,12.5938142925,12.6207777862,14.3059320009,14.1997938096,13.9240109236,13.8962218571,13.7552649838,13.5124145158,13.2200411873,13.1717255041,3316.2733581453,3316.7408190565,3315.6170972731,3317.3010838307,3315.3351800569,3315.4291585027,2.4920283166,2.496057947,2.5288875009,2.4899793118,2.4982319837,2.4849706586,2.5161689886,2.5353658851,2.4633366603,2.4963572573,2.5665074158,2.4860474288,2.5316224147,2.5921804191,2.5137841776,2.5022377405,2.4912448626,2.5323625965,2.5422009223,2.4830694273,2.5118742348,2.5481102553,2.5286193829,2.6513196562,2.5021049947,2.4509450563,2.4865566307,3.248576394,3.0915936699,2.6699334728,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1583819496,5.0000817871
4/17/2014 3:27:36.745 PM,2,3311.7113076473,3315.778530088,3316.1530885169,3314.1777076474,3313.1368402552,3314.7435614745,3314.837922714,3314.8380054332,3315.5900681199,3311.9968575139,3313.6106388509,3312.8525002254,3314.1777077166,3313.4211699138,3313.7051277517,3313.6104444357,3312.2825133331,3315.9657422137,3315.1204157263,3313.9887899912,3315.1202978184,3313.8942828185,3315.3081443692,3315.2143462201,3316.1530885169,3315.0262110907,3315.5904649505,3314.7437388341,3314.8377780051,3314.2721029967,3313.4212171274,3314.5551437684,3315.1072779257,3315.2954059104,3315.2013109874,3315.7651155866,3316.1405290149,3315.107381214,3315.2954589491,3316.1402122073,13.8905117752,13.8608078612,13.6001617282,13.6335669765,13.5287641725,13.3711606119,16.0398488222,15.9754456249,15.3293667806,15.5842009831,15.7848182031,15.2589436903,14.892533375,14.7633367045,13.0172954135,12.9826217876,12.7343893152,12.8957578303,12.7750560128,12.7424525662,12.5847168705,12.6262662837,14.3110930293,14.2138034926,13.925892646,13.90252842,13.7469970661,13.5149835388,13.222152412,13.1657466721,3316.2735098924,3316.7409704912,3315.6172494567,3317.3012348894,3315.3353324273,3315.4293108108,2.4919744518,2.4960877065,2.5288638509,2.4899664953,2.4980862589,2.4849879007,2.5161406066,2.5353819076,2.4632890507,2.4962537954,2.5666970825,2.4859490165,2.5122632596,2.6117795787,2.5137795994,2.5022005099,2.491294308,2.5323680901,2.5419616532,2.483129092,2.5118232812,2.54799367,2.5286756918,2.6513338492,2.5020747795,2.454987715,2.4865496115,3.2538787556,3.0923638532,2.6690454806,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1588259596,5.0000817871
4/17/2014 3:27:37.745 PM,3,3311.7112336347,3315.7784573464,3316.1530158945,3314.1776344005,3313.1367666833,3314.7434884054,3314.8378496747,3314.8379323939,3315.5899953184,3311.9967835892,3313.6105654266,3312.8524265652,3314.1776344696,3313.4210964303,3313.7050543568,3313.6103710113,3312.2824394964,3315.9656695316,3315.1203427761,3313.9887166851,3315.1202248682,3313.8942094828,3315.3080714784,3315.2142732996,3316.1530158945,3315.0261381108,3315.5903921491,3314.7436657651,3314.8377049658,3314.2720297794,3313.421143644,3314.55507064,3315.1076161615,3315.2957438705,3315.2016490854,3315.7654528562,3316.1408657308,3315.1077194497,3315.2957969091,3316.1405489236,13.8860646745,13.8587999386,13.6026563732,13.6407909829,13.5340823604,13.3797580385,16.0459930917,15.9766404812,15.3341444236,15.5807479166,15.7818221308,15.2605200438,14.8863354066,14.7628551909,13.0220015224,12.9880168223,12.7302426252,12.9084787059,12.7678544332,12.7384576071,12.5856852816,12.610513341,14.2927935225,14.2046569651,13.9247551846,13.8994074286,13.7454778725,13.5198754893,13.2207093763,13.1601059593,3316.2737012382,3316.7411614431,3315.6174413528,3317.3014253672,3315.3355245589,3315.429502864,2.4919398135,2.4961630973,2.5291505501,2.490096491,2.4981611813,2.4850078892,2.5162684782,2.5354336373,2.4633322351,2.4962550162,2.5652740479,2.4859680887,2.5021773977,2.6345874272,2.5137844828,2.5021852515,2.4912840832,2.5324155483,2.5422965994,2.4831623577,2.5118894904,2.5482755196,2.528628081,2.6508586125,2.5020721852,2.4618473691,2.4866083592,3.2649497545,3.094145026,2.6675963701,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1586474401,5.0000817871
4/17/2014 3:27:38.745 PM,4,3311.7112807243,3315.778503627,3316.1530620993,3314.1776810027,3313.1368134924,3314.7435348945,3314.8378961448,3314.837978864,3315.5900416371,3311.9968306229,3313.6106121418,3312.8524734305,3314.1776810719,3313.4211431831,3313.7051010532,3313.6104177266,3312.282486474,3315.9657157744,3315.1203891895,3313.988763325,3315.1202712816,3313.8942561416,3315.308117854,3315.2143196941,3316.1530620993,3315.0261845431,3315.5904384678,3314.7437122541,3314.8377514359,3314.2720763628,3313.4211903967,3314.5551171668,3315.1076559611,3315.2957836377,3315.2016888688,3315.7654925422,3316.1409053517,3315.1077592493,3315.2958366763,3316.1405885445,13.8896817031,13.8533398207,13.6028420027,13.6399085119,13.5263304783,13.3658287005,16.039552908,15.9731684391,15.3258692954,15.5791043276,15.7730919727,15.245081388,14.8880453217,14.7651744081,13.0085303535,12.9699605094,12.7224889282,12.8969114194,12.7680400873,12.7437593123,12.5821287854,12.6339101219,14.2931126788,14.2007045057,13.9249981143,13.9016339284,13.7448053334,13.5256140852,13.2181284356,13.1648520147,3316.2734439204,3316.740904655,3315.6171832949,3317.3011692167,3315.3352661843,3315.4292445948,2.4919874221,2.4960515373,2.5289306812,2.4901422642,2.4981480584,2.4849059629,2.5162616116,2.5354507279,2.4633136185,2.49621824,2.5754208374,2.485947033,2.4779818866,2.6554353599,2.5137875349,2.5021875403,2.4912009111,2.5323876227,2.542670915,2.4830004544,2.5118199249,2.5482678897,2.5285955775,2.6508212224,2.5020773737,2.4561816339,2.4865409138,3.2566614579,3.0948128133,2.6711486441,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1590934336,5.0000817871
4/17/2014 3:27:39.745 PM,5,3311.7111999783,3315.7784242675,3316.1529828698,3314.177601092,3313.1367332272,3314.7434551778,3314.8378164606,3314.8378991798,3315.5899622124,3311.9967499727,3313.6105320375,3312.8523930689,3314.1776011612,3313.4210630144,3313.7050209812,3313.6103376222,3312.28240592,3315.9656364798,3315.1203096025,3313.9886833497,3315.1201916945,3313.894176134,3315.3080383318,3315.2142401395,3316.1529828698,3315.0261049237,3315.5903590432,3314.7436325375,3314.8376717516,3314.2719964844,3313.4211102281,3314.5550373854,3315.1078549169,3315.2959824312,3315.2018877436,3315.7656909296,3316.1411034134,3315.107958205,3315.2960354698,3316.1407866065,13.8875593323,13.8548020358,13.5987325874,13.6448041277,13.5277932371,13.3668332989,16.0322546579,15.9721905245,15.3331991897,15.5820125727,15.7711235261,15.2511149727,14.8860761055,14.7589383175,13.0234971347,12.9934813903,12.7259370837,12.9218797003,12.7796586412,12.7440774441,12.5917647586,12.6103301225,14.3090272655,14.2119665502,13.9268019342,13.9011488681,13.7499670063,13.5311583087,13.2158876205,13.1647483871,3316.2740509271,3316.7415104122,3315.6177920476,3317.3017734699,3315.3358756841,3315.4298538458,2.492009853,2.4960478746,2.528854696,2.4902010064,2.4979707471,2.4848891786,2.5163353133,2.5354417248,2.4633607703,2.4961709344,2.5725003052,2.4859397093,2.4600890475,2.6749106035,2.5137867719,2.5021574812,2.4911198755,2.5324263828,2.5423210146,2.4831785328,2.5117616487,2.5481744993,2.5285951197,2.6511638384,2.5020358659,2.4602213928,2.4865522056,3.2690467565,3.0954299365,2.6696812213,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1599982374,5.0000817871
4/17/2014 3:27:40.745 PM,6,3311.711502794,3315.7787218841,3316.1532799988,3314.1779007755,3313.1370342402,3314.7437541338,3314.8381152949,3314.838198014,3315.5902600737,3311.997052429,3313.6108324468,3312.8526944432,3314.1779008447,3313.4213636654,3313.7053212697,3313.6106380317,3312.2827080159,3315.9659338528,3315.1206080721,3313.9889832754,3315.1204901643,3313.8944761807,3315.3083365585,3315.2145384876,3316.1532799988,3315.026403515,3315.590656904,3314.7439314933,3314.8379705862,3314.2722960468,3313.421410879,3314.555336584,3315.112683,3315.3008065777,3315.2067138597,3315.7705052207,3316.1459097999,3315.1127862859,3315.3008596152,3316.1455929997,13.8972878663,13.8645335259,13.6063303873,13.6495007314,13.5256214341,13.3728276494,16.0601707568,15.9810705848,15.333164845,15.5764162101,15.7672025854,15.2509287072,14.8961041482,14.769956174,13.0180481068,12.9929900021,12.7299493444,12.9093309821,12.773744854,12.7430501374,12.593715199,12.6441962285,14.3003500178,14.2070268201,13.9304828001,13.8995652164,13.751282609,13.5340005784,13.2185011489,13.1501894097,3316.2761754412,3316.7436305531,3315.6199226726,3317.3038883468,3315.3380089241,3315.4319862148,2.4919483587,2.4961493622,2.5290034622,2.4902443383,2.4980508576,2.4850147555,2.5162989965,2.5354276861,2.463340933,2.4962328894,2.5766590881,2.4859770907,2.4276006353,2.6981697074,2.5137209988,2.5021437486,2.4912038106,2.53240273,2.5431843973,2.4832388078,2.5119236628,2.5484587906,2.5286363214,2.649024663,2.5020935495,2.4522828926,2.4866843498,3.2422717531,3.0957291895,2.6764938412,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.161143661,5.0000817871
4/17/2014 3:27:41.745 PM,7,3311.7113749412,3315.7785962265,3316.1531545471,3314.1777742453,3313.1369071486,3314.7436279107,3314.8379891232,3314.8380718424,3315.5901343128,3311.996924728,3313.6107056101,3312.852567199,3314.1777743144,3313.4212367266,3313.705194484,3313.6105111949,3312.282580467,3315.9658082981,3315.1204820544,3313.9888566429,3315.1203641465,3313.8943494971,3315.3082106434,3315.2144125212,3316.1531545471,3315.0262774459,3315.5905311433,3314.7438052703,3314.8378444144,3314.2721695677,3313.4212839402,3314.5552102585,3315.1132865068,3315.3014095925,3315.2073171207,3315.7711070035,3316.1465105947,3315.1133897924,3315.3014626298,3316.1461937953,13.8910022337,13.859846706,13.6027860295,13.6496967213,13.5232224724,13.3632576713,16.0443739175,15.9811898816,15.3412113107,15.5859844717,15.7679318545,15.2454846533,14.8914221453,14.7634461108,13.027170703,12.9934913125,12.7248780736,12.9148693378,12.7786747872,12.7447734722,12.595209746,12.6313362118,14.3085522766,14.2253746586,13.9309817275,13.9153221444,13.7504840318,13.5338886717,13.2093831951,13.1678605962,3316.275858752,3316.7433145158,3315.6196050724,3317.3035730942,3315.337690934,3315.4316683546,2.4919311158,2.4961125824,2.5289639438,2.4901576745,2.4980612339,2.4850933364,2.5163240215,2.5353722941,2.4633911367,2.4962052691,2.567877655,2.485945965,2.3815577631,2.722496136,2.5138232447,2.5022632221,2.4911874814,2.5323241417,2.5424504152,2.4831521338,2.5118299936,2.5483460202,2.5286666885,2.648199027,2.5021164399,2.4326037572,2.4866141577,3.2225017198,3.0932910642,2.6801392025,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.164562385,5.0000817871
4/17/2014 3:27:42.745 PM,8,3311.7118056023,3315.7790194931,3316.1535771203,3314.1782004516,3313.1373352457,3314.7440530823,3314.8384141218,3314.8384968408,3315.5905579275,3311.9973548778,3313.6111328485,3312.85299581,3314.1782005208,3313.4216643089,3313.7056215508,3313.6109384338,3312.2830101043,3315.9662312184,3315.1209065342,3313.9892831936,3315.1207886266,3313.8947762199,3315.3086347778,3315.2148368283,3316.1535771203,3315.0267020989,3315.5909547573,3314.7442304416,3314.8382694132,3314.2725956017,3313.4217115224,3314.5556357752,3315.1133395641,3315.3014626065,3315.2073701564,3315.7711599093,3316.1465634136,3315.1134428497,3315.3015156438,3316.1462466143,13.8863185604,13.8784302038,13.6045856805,13.6459261484,13.5237244725,13.3645989038,16.0093855358,15.9829104367,15.3419413786,15.5845807448,15.7743003829,15.2489585349,14.891465972,14.7705773012,13.0316398885,12.9974279476,12.7319454819,12.9104870323,12.7839872983,12.7454283802,12.5915877362,12.6194694337,14.3043596992,14.2117231171,13.9237347012,13.911433786,13.753386447,13.5259533499,13.2144994036,13.1602309708,3316.2761358587,3316.7435910521,3315.6198829762,3317.3038489438,3315.3379691789,3315.4319464858,2.4920425076,2.4961131929,2.5289959858,2.4901566064,2.4980998395,2.485471593,2.5162820589,2.5352946232,2.4632795898,2.4962347206,2.5553015137,2.4858843238,2.3516342978,2.7539062195,2.5137921131,2.5021864722,2.4912360112,2.5323842655,2.5421389687,2.4830930796,2.5118478426,2.548277656,2.5286912569,2.647371865,2.5020619609,2.4341525096,2.4865683803,3.2334468426,3.0933504264,2.6770574011,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.165672715,5.0000817871
4/17/2014 3:27:43.745 PM,9,3311.71198055,3315.7791914367,3316.1537487821,3314.1783735895,3313.1375091518,3314.7442257999,3314.838586769,3314.838669488,3315.5907300125,3311.9975296178,3313.6113064057,3312.8531699248,3314.1783736586,3313.4218380058,3313.7057950383,3313.6111119911,3312.283184636,3315.9664030212,3315.1210789707,3313.9894564714,3315.1209610631,3313.8949495676,3315.3088070739,3315.2150091946,3316.1537487821,3315.0268746057,3315.591126842,3314.744403159,3314.8384420606,3314.2727686696,3313.4218852192,3314.5558086329,3315.1094797591,3315.2976059486,3315.2035119238,3315.7673111303,3316.1427209538,3315.1095830464,3315.2976589868,3316.1424041492,13.8824268386,13.8659170245,13.5954260145,13.6496631859,13.5228080491,13.3626896019,16.0294894505,15.9586029168,15.3313457863,15.574978326,15.7733091674,15.236229128,14.8878819929,14.7624967974,13.0125633113,12.9871224419,12.71125593,12.9206351519,12.7791762864,12.746572961,12.5874633522,12.6322955816,14.2963796423,14.2066413365,13.9139200572,13.903299506,13.7486839031,13.5200290356,13.2072013017,13.1556807455,3316.2757135878,3316.7431696504,3315.6194594907,3317.3034285884,3315.3375451737,3315.4315226537,2.4920325891,2.4960497059,2.5290200935,2.4902138229,2.4981096054,2.4852562965,2.516261459,2.535274328,2.4632864565,2.4962635617,2.5471382141,2.485992501,2.331935835,2.7858772818,2.5138542236,2.5022764969,2.4912512722,2.5324897112,2.5423120115,2.4830988782,2.5118655391,2.5483977511,2.5286894257,2.6462081914,2.5021120144,2.4430025881,2.4865436604,3.245781333,3.0949486292,2.6723163561,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1655440895,5.0000817871
