TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in,Marker_Button
4/21/2014 2:20:29.072 PM,0,3319.7100181538,3323.6353055859,3323.9965538833,3322.0909088724,3321.0863360474,3322.6369021173,3322.7279424699,3322.7280222767,3323.4535251491,3319.9857548933,3321.5436515503,3320.8118576774,3322.0909089391,3321.3607816915,3321.6348456692,3321.5434639116,3320.2615714274,3323.815870185,3323.0004782294,3321.9086015248,3323.0003644823,3321.8173973822,3323.1815770616,3323.0910927602,3323.9965538833,3322.909596665,3323.4539079218,3322.6370732375,3322.7278028557,3322.1819974711,3321.360827262,3322.4551077848,3322.9902739219,3323.171756546,3323.0809866808,3323.6248293694,3323.9868993922,3322.9903735645,3323.1718077098,3323.9865938624,19.8784546986,19.8459725186,19.4671991016,19.5892959196,19.048368276,18.5519441744,22.0349609722,22.3978339562,21.9885156809,30.1517060239,31.4965196917,22.6569145743,22.0835424972,22.0244090615,19.2095720751,19.2393892621,18.8243044451,18.948372469,18.4964489397,18.10339669,17.6521925667,16.8632388028,20.2817403146,20.2477045567,19.6495439722,19.3938943175,19.2724034585,18.6615735834,18.2866307353,17.4792765363,3323.9333955072,3324.3845643764,3323.2999005092,3324.9252189569,3323.0277252585,3323.1184586879,2.4924462646,2.4941150318,2.5290290958,2.4815280627,2.4904809476,2.4783091326,2.5576760039,2.5472730289,2.5364675297,2.5179331762,2.5227282715,2.457224077,2.50472602,2.5012119645,2.5108652869,2.5036589108,2.4940673725,2.5344156584,2.5422451748,2.4841900853,2.5095515741,2.5420957333,2.5268904405,2.5063892623,2.5041416236,2.5039338125,2.4879003512,2.5433017344,2.5328643786,2.5014972717,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.7668487891,5.0000817871,-0.0033408071
4/21/2014 2:20:30.072 PM,1,3319.7104613306,3323.6357406326,3323.9969881676,3322.091347151,3321.086776405,3322.6373392584,3322.7283794207,3322.7284592274,3323.4539605785,3319.986197508,3321.5440909637,3320.8122985999,3322.0913472178,3321.361221483,3321.6352848939,3321.5439033255,3320.2620134784,3323.8163048509,3323.0009146099,3321.9090401821,3323.000800863,3321.8178362288,3323.1820130623,3323.0915289508,3323.9969881676,3322.9100332359,3323.4543433504,3322.6375103782,3322.7282398069,3322.1824355603,3321.3612670533,3322.4555453052,3322.9912718231,3323.1727535771,3323.0819841473,3323.6258242222,3323.987892498,3322.9913714652,3323.1728047406,3323.9875869697,19.879917146,19.8393085052,19.4615183736,19.5843026772,19.0492999556,18.5420067002,22.046045363,22.3973227753,21.998921827,30.1543588322,31.5528272627,22.6537520429,22.072725014,22.0126848436,19.2267570767,19.2405487036,18.8082869285,18.9316754023,18.4973810601,18.0993847167,17.6478738006,16.8547319611,20.2961345476,20.2529877505,19.65467849,19.4091344279,19.2792874553,18.6578914679,18.28165573,17.4811469635,3323.934681907,3324.3858479481,3323.3011908608,3324.9264991247,3323.0290173012,3323.1197501673,2.4925173722,2.4939557039,2.5290301639,2.4815314194,2.4904237258,2.4783250014,2.5582956778,2.5455924997,2.5359929591,2.517225729,2.5225645447,2.4571776936,2.5045273785,2.5013255032,2.5113951342,2.5040147374,2.4939561203,2.5345369743,2.5423123166,2.4840924245,2.5092914666,2.5418961343,2.5273029146,2.5064275682,2.5041060673,2.5038945901,2.4879644396,2.5435066455,2.533350264,2.5016829886,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.7709204061,5.0000817871,-0.0033388234
4/21/2014 2:20:31.072 PM,2,3319.7118834643,3323.6371366775,3323.9983817662,3322.0927535672,3321.0881894924,3322.6387420241,3322.729781576,3322.7298613822,3323.4553578515,3319.9876178379,3321.5455010214,3320.8137135,3322.0927536339,3321.3626327536,3321.6366943459,3321.5453133844,3320.2634319997,3323.817699674,3323.002314935,3321.9104478133,3323.0022011889,3321.819244467,3323.1834121689,3323.0929286664,3323.9983817662,3322.9114341718,3323.4557406208,3322.6389131427,3322.7296419631,3322.1838413686,3321.3626783236,3322.4569492883,3322.9919240473,3323.1734052326,3323.0826360873,3323.6264744539,3323.9885415879,3322.9920236891,3323.173456396,3323.9882360605,19.8823739,19.8435131424,19.4504495878,19.5736196071,19.0391413383,18.5426423373,22.0594866691,22.4131157818,21.997660098,30.1829753684,31.6026767104,22.6427183041,22.0579742245,21.9963466685,19.2427340353,19.2470341887,18.8280758408,18.9753941328,18.5030352992,18.0959129274,17.6395291373,16.866026667,20.3026560679,20.2585221533,19.6763244057,19.4161162291,19.283307267,18.6551456721,18.2741188867,17.4708666369,3323.9352016644,3324.3863665629,3323.3017122149,3324.9270163641,3323.0295393386,3323.1202719771,2.4924531312,2.493810569,2.5288493557,2.4816095389,2.4904611107,2.4781344236,2.557180692,2.5451565357,2.5358077088,2.516765339,2.522671814,2.4571229184,2.5046465329,2.5013384747,2.5117536052,2.5036116097,2.4937862661,2.5345655102,2.5421342382,2.4841722317,2.5091065691,2.5416539603,2.5273146647,2.5061595799,2.5040670012,2.5039214506,2.4878940949,2.5436120763,2.5334996616,2.501977816,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.7736181861,5.0000817871,-0.0034236642
4/21/2014 2:20:32.072 PM,3,3319.712214193,3323.6374613391,3323.9987058589,3322.0930806406,3321.0885181174,3322.6390682486,3322.7301076586,3322.7301874646,3323.4556827987,3319.9879481471,3321.5458289417,3320.8140425465,3322.0930807074,3321.362960956,3321.6370221254,3321.545641305,3320.2637618884,3323.8180240515,3323.002640592,3321.9107751693,3323.002526846,3321.8195719642,3323.1837375425,3323.0932541816,3323.9987058589,3322.9117599708,3323.4560655674,3322.639239367,3322.7299680459,3322.1841683008,3321.363006526,3322.4572757959,3322.9927784598,3323.1742589002,3323.0834901276,3323.6273262564,3323.9893918945,3322.9928781013,3323.1743100633,3323.9890863684,19.8799175152,19.8408272722,19.4513341129,19.5737442798,19.0336405256,18.5400307168,22.0719638614,22.4309767877,22.0074887031,30.2178566452,31.6681740416,22.6266295291,22.0459726445,22.0009417129,19.2566816611,19.250121763,18.8319247276,18.972099782,18.5046808473,18.0999931983,17.6319666826,16.8512297325,20.3171512693,20.2669432625,19.690905322,19.4228713946,19.2948525845,18.6593969338,18.2647582162,17.4648485727,3323.9359877975,3324.3871509678,3323.3025007631,3324.9277986888,3323.0303289201,3323.1210612144,2.4924351254,2.4938821445,2.528632691,2.4815187555,2.4903881719,2.478049129,2.5593441338,2.5455529776,2.5360745975,2.5165590256,2.5224874878,2.4572083616,2.5047159506,2.5011991457,2.5114464097,2.5034851173,2.4937153027,2.5343335603,2.5421032614,2.484020247,2.5089744558,2.5417435357,2.5277410252,2.5061986488,2.5040883655,2.5038956584,2.4875918112,2.5431686871,2.5333269159,2.5018618384,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.7772280938,5.0000817871,-0.003362475
4/21/2014 2:20:33.072 PM,4,3319.7131600788,3323.6383898722,3323.9996327647,3322.094016072,3321.089457986,3322.6400012519,3322.7310402558,3322.7311200616,3323.4566121486,3319.9888928331,3321.5467667952,3320.8149836208,3322.0940161387,3321.3638996163,3321.6379595761,3321.5465791593,3320.2647053714,3323.8189517719,3323.0035719719,3321.9117114088,3323.0034582265,3321.8205086076,3323.1846681119,3323.0941851562,3323.9996327647,3322.912691757,3323.4569949156,3322.6401723695,3322.7309006438,3322.1851033279,3321.3639451861,3322.458209609,3322.9937763629,3323.1752559331,3323.0844875959,3323.628321111,3323.9903850019,3322.9938760038,3323.175307096,3323.9900794773,19.8847202651,19.8460876622,19.4425371876,19.5715613359,19.0309998104,18.5320692524,22.0956277878,22.4414561932,22.0172880244,30.261961694,31.7385230317,22.6164971972,22.0419758527,21.9879295756,19.275232947,19.2666287964,18.8488940109,18.949932184,18.5122285292,18.1027511822,17.6313012024,16.8454636434,20.3319691176,20.2793317118,19.6991232016,19.4344324739,19.2944846167,18.6670890734,18.2551886484,17.4765789447,3323.9368843808,3324.38804558,3323.3034001008,3324.9286909284,3323.0312294366,3323.1219613382,2.4925182878,2.4939515834,2.5286990637,2.4814378896,2.4904551596,2.4781473933,2.5587012659,2.5464973883,2.5365099512,2.5167657968,2.522789917,2.457017335,2.5046942862,2.501096442,2.5113473686,2.5036146614,2.4936356407,2.5342067509,2.542110586,2.4838664312,2.5088874991,2.5417662729,2.527791688,2.5062854856,2.5041031679,2.5038559781,2.4876337739,2.5432774746,2.5334296172,2.5016936707,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.7797113453,5.0000817871,-0.0033441641
4/21/2014 2:20:34.072 PM,5,3319.7139935156,3323.6392080196,3324.0004494784,3322.0948402974,3321.0902861211,3322.6408233379,3322.7318619842,3322.7319417896,3323.4574310157,3319.9897252127,3321.5475931547,3320.8158128183,3322.0948403642,3321.3647266866,3321.6387855807,3321.5474055195,3320.265536691,3323.8197692033,3323.0043926277,3321.9125363463,3323.0042788827,3321.8213339009,3323.1854880535,3323.0950054548,3324.0004494784,3322.9135127707,3323.4578137812,3322.6409944549,3322.7317223727,3322.1859271971,3321.3647722563,3322.4590324085,3322.9945590315,3323.1760379193,3323.0852699236,3323.6291013887,3323.9911639094,3322.9946586721,3323.176089082,3323.9908583859,19.8834930785,19.8577712798,19.4439683277,19.5585594179,19.0316710231,18.5312965636,22.1138025635,22.4566781826,22.0369106397,30.2969297518,31.8126667309,22.6239850882,22.0380223033,21.9842802828,19.2995235241,19.26608439,18.849185248,18.984720213,18.5186032243,18.1002280196,17.6332669268,16.8535207324,20.3477311672,20.2876533854,19.7042594063,19.4343262097,19.2952142795,18.6655381569,18.2443595622,17.4787555529,3323.9378199455,3324.3889790879,3323.3043385396,3324.9296219606,3323.0321691053,3323.1229005973,2.4924447387,2.4939373904,2.5287344624,2.4814056958,2.4905291665,2.4780768993,2.5590357464,2.5461856366,2.5357370573,2.5176783365,2.5223840332,2.456984836,2.504868517,2.5010625635,2.5115163032,2.5030314841,2.4936887487,2.534145864,2.5420707587,2.4839059534,2.5087598099,2.5416521291,2.5277466714,2.5062999838,2.5041452861,2.503750978,2.4876009667,2.5433835158,2.5333714757,2.5016997748,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.7825250867,5.0000817871,-0.0033623225
4/21/2014 2:20:35.072 PM,6,3319.7141390366,3323.6393508709,3324.0005920794,3322.0949842101,3321.0904307165,3322.640966877,3322.7320054608,3322.7320852662,3323.4575739927,3319.9898705492,3321.54773744,3320.8159575991,3322.0949842768,3321.364871096,3321.638929804,3321.547549805,3320.2656818424,3323.8199119296,3323.004535917,3321.9126803833,3323.0044221721,3321.821478,3323.1856312182,3323.0951486818,3324.0005920794,3322.9136561226,3323.4579567579,3322.6411379938,3322.7318658494,3322.1860710475,3321.3649166656,3322.4591760721,3322.9950481998,3323.1765266611,3323.0857588788,3323.6295890626,3323.9916507269,3322.9951478402,3323.1765778236,3323.9913452042,19.8902889364,19.8473295338,19.440511557,19.5582950893,19.0216004399,18.5209222232,22.1341508828,22.4763481703,22.0577978441,30.3273598679,31.8767146973,22.6153874177,22.0389714902,21.9784852274,19.3080692563,19.2947662633,18.8398001008,18.9774654116,18.5200875525,18.1038427389,17.6351327848,16.8519615878,20.3582799131,20.2900020761,19.6992396554,19.4307504116,19.2973374094,18.6592977689,18.233859924,17.4707611543,3323.9382552435,3324.3894134288,3323.3047751749,3324.9300551497,3323.0326063129,3323.1233376142,2.4925143204,2.4939621137,2.5287410234,2.481288364,2.4903483456,2.4781046697,2.5590891535,2.5454887351,2.5364692083,2.5171192152,2.5221754456,2.4567600899,2.5045844383,2.5012488951,2.5109357908,2.5035005283,2.4937206441,2.5341911858,2.5415839805,2.4838671942,2.5087321974,2.541841504,2.5275542445,2.5063439363,2.5040293084,2.5037453312,2.4875974571,2.5431555655,2.5332146007,2.501797135,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.7854589092,5.0000817871,-0.0033929933
4/21/2014 2:20:36.072 PM,7,3319.7148269538,3323.6400261678,3324.0012661929,3322.0956645239,3321.0911142575,3322.641645425,3322.7326837135,3322.7327635186,3323.4582498836,3319.9905575937,3321.5484195154,3320.816642017,3322.0956645906,3321.3655537582,3321.6396115864,3321.5482318809,3320.2663680121,3323.8205866354,3323.0052132844,3321.9133612849,3323.0050995399,3321.8221591953,3323.1863079961,3323.0958257543,3324.0012661929,3322.9143337854,3323.4586326476,3322.6418165413,3322.7325441025,3322.1867510673,3321.3655993276,3322.459855209,3322.9958308693,3323.1773086481,3323.0865412073,3323.6303693411,3323.9924296351,3322.9959305093,3323.1773598105,3323.9921241135,19.8888338796,19.8483799987,19.4401185381,19.5542562149,19.0102610322,18.5155888276,22.1410341518,22.4967234453,22.0820438435,30.3626270298,31.9528767796,22.6214358377,22.0435816725,21.9705170452,19.3097274313,19.2876122946,18.8492877372,18.9643077372,18.5203026452,18.0919632554,17.6388492557,16.859257222,20.362177746,20.2983038167,19.7131691393,19.4342712962,19.2965270566,18.6537725561,18.2178392,17.4646236063,3323.939255778,3324.3904117637,3323.3057787831,3324.931050837,3323.0336112364,3323.1243420996,2.4925159989,2.4940739789,2.528849966,2.4815515596,2.4903855779,2.4780927681,2.5585491323,2.5446265731,2.5365970829,2.5168367551,2.5222480774,2.4569608814,2.504442399,2.5012244782,2.5110107203,2.5035708697,2.4937537603,2.5341396075,2.541907482,2.4838301136,2.5086960417,2.5420259957,2.5274489515,2.506455649,2.5041945766,2.5037908109,2.4876743632,2.5431532768,2.533224062,2.5016842094,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.7890128197,5.0000817871,-0.0034123725
4/21/2014 2:20:37.072 PM,8,3319.7159315898,3323.6411105387,3324.0023486635,3322.0967569508,3321.0922118665,3322.6427350163,3322.7337728307,3322.7338526354,3323.4593352084,3319.9916608286,3321.5495147709,3320.817741034,3322.0967570176,3321.366649956,3321.6407063716,3321.5493271375,3320.267469842,3323.8216700572,3323.00630098,3321.9144546556,3323.0061872361,3321.8232530376,3323.1873947451,3323.0969129764,3324.0023486635,3322.9154219554,3323.4597179704,3322.6429061317,3322.7336332205,3322.1878430222,3321.3666955252,3322.460945746,3322.9968026849,3323.1782796163,3323.0875125995,3323.6313381878,3323.9933967803,3322.9969023244,3323.1783307784,3323.9930912602,19.8876932384,19.8472381857,19.4369994475,19.5424038241,19.0051651038,18.5150543326,22.1593697797,22.5214287031,22.0979609539,30.3858679479,32.0212317068,22.6274182534,22.0494149067,21.9771069682,19.3236231365,19.2917883435,18.8486772653,18.9556432122,18.517866711,18.090895469,17.6342035872,16.8566660151,20.3684469715,20.316113759,19.7247611482,19.4400130689,19.2929983659,18.6501660534,18.210429788,17.459949834,3323.9401003864,3324.3912545152,3323.3066259863,3324.9318913534,3323.03445955,3323.1251900433,2.4927467172,2.4941391447,2.5289183222,2.4814784751,2.4903785587,2.4781580742,2.5587630655,2.5452908193,2.5361817192,2.5169821816,2.5223362732,2.4567970135,2.5044471285,2.5011437498,2.5116431186,2.503731541,2.493761696,2.5341389971,2.542060077,2.4838934406,2.5087750655,2.5418984233,2.5263970892,2.5064260421,2.5041173599,2.503925266,2.4875619033,2.543407623,2.5333556051,2.5017820274,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.7919663251,5.0000817871,-0.0033263109
4/21/2014 2:20:38.072 PM,9,3319.7169171633,3323.6420780313,3324.0033144606,3322.0977316312,3321.0931911703,3322.6437071667,3322.7347445581,3322.7348243624,3323.4603035521,3319.9926451519,3321.550491975,3320.8187215942,3322.0977316979,3321.3676280007,3321.6416831559,3321.5503043424,3320.2684529119,3323.822636703,3323.0072714389,3321.915430178,3323.0071576955,3321.8242289808,3323.1883643595,3323.097883013,3324.0033144606,3322.9163928377,3323.4606863123,3322.6438782813,3322.7346049485,3322.1888172813,3321.3676735697,3322.4619187401,3322.9977288447,3323.1792049685,3323.0884383558,3323.6322615182,3323.9943184892,3322.9978284838,3323.1792561304,3323.9940129704,19.8906123377,19.8521330194,19.4377174124,19.5436536753,18.9891595817,18.500341996,22.1747112762,22.5426839426,22.1239963721,30.4108746185,32.0954769795,22.6471505303,22.0602866063,21.9659274968,19.3399856604,19.314994612,18.8486356239,18.9665432811,18.526721511,18.0930595573,17.6386521565,16.8480215106,20.3876557832,20.3152031156,19.725825352,19.443128844,19.2885910752,18.6548812532,18.2023689628,17.4586568833,3323.9405421813,3324.3916953388,3323.3070691385,3324.9323310079,3323.0349032829,3323.1256335828,2.492901445,2.4942432267,2.5289357164,2.4813884546,2.4904084666,2.4781480036,2.5577971615,2.5450867997,2.5364760751,2.5174288378,2.5223239136,2.4570597514,2.5046625523,2.5012095228,2.5121911259,2.5035127351,2.4937317845,2.5340327884,2.5420545836,2.4837713645,2.5088502755,2.5419474074,2.5261575094,2.506465111,2.5042142623,2.5038832965,2.4876584937,2.5436300805,2.533570469,2.5016504843,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.7941531122,5.0000817871,-0.0033629328
