TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 2:38:52.752 PM,0,3311.374773673,3315.4477666597,3315.8228662623,3313.8446500817,3312.8023070923,3314.4113113816,3314.5058076399,3314.5058904775,3315.2590330309,3311.6607224834,3313.2767758217,3312.5175661329,3313.8446501509,3313.0870385925,3313.3713986756,3313.276581131,3311.9467783129,3315.635249065,3314.7887054907,3313.6554636726,3314.7885874136,3313.5608222104,3314.9767036879,3314.8827708044,3315.8228662623,3314.6943657465,3315.2594304331,3314.4114889949,3314.5056627239,3313.9391798729,3313.0870858729,3314.2226243872,3314.7742036898,3314.9626028671,3314.8683722506,3315.4329914879,3315.8089494628,3314.7743071269,3314.9626559823,3315.8086321949,13.9702305055,13.9426137087,13.7461306393,13.8156611498,13.6661263874,13.5043122095,9.4548014156,15.6899758838,15.1548390221,15.4874267305,15.8465094894,15.4219527426,15.3216083517,15.066544374,12.9998498308,13.1273048976,12.9168915384,13.1405755611,12.9762060754,12.9245199453,12.8626513101,12.8367647738,13.651813744,13.4919158888,13.2944115982,13.2949195959,13.2720300777,13.17355156,13.019061082,13.0677458151,3315.8959920297,3316.3642285056,3315.2386474299,3316.9254268146,3314.9562664714,3315.0503993878,2.4924256648,2.4960773288,2.5292082256,2.4902719548,2.4980418547,2.4837890457,2.5168393229,2.5347982315,2.4640912428,2.4961446874,2.4176327515,2.4879593732,2.7334723865,2.4131195184,2.5136390495,2.5003644629,2.4891928772,2.531205136,2.5414492391,2.4817059906,2.5123332749,2.5493253981,2.528214081,3.4794325082,2.500165726,2.6566985094,2.4854623973,3.3711793153,2.886087801,2.6668113844,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0190391161,5.0000817871
4/17/2014 2:38:53.752 PM,1,3311.3747736717,3315.4477666584,3315.822866261,3313.8446500803,3312.802307091,3314.4113113803,3314.5058076386,3314.5058904762,3315.2590330295,3311.660722482,3313.2767758204,3312.5175661316,3313.8446501496,3313.0870385912,3313.3713986742,3313.2765811297,3311.9467783116,3315.6352490636,3314.7887054893,3313.6554636712,3314.7885874122,3313.560822209,3314.9767036865,3314.8827708031,3315.822866261,3314.6943657451,3315.2594304317,3314.4114889936,3314.5056627225,3313.9391798715,3313.0870858716,3314.2226243859,3314.7709352654,3314.9593370998,3314.8651051538,3315.4297323732,3315.8056956837,3314.7710387039,3314.9593902158,3315.8053784113,13.9410613748,13.9433367181,13.7231178876,13.8038726393,13.6515868462,13.4988549577,10.8512462209,15.691003714,15.1622698446,15.4905872744,15.8591184067,15.4255707063,15.3221769209,15.0559889564,13.013312719,13.1622942598,12.8937229461,13.1245867687,12.9676158817,12.9231060933,12.8534484284,12.8362668586,13.6961357197,13.5354017682,13.3292061737,13.3242907897,13.3124733094,13.1869726786,13.0504211626,13.0616281536,3315.9100761397,3316.3782837126,3315.2527719272,3316.9394472316,3314.970408251,3315.0645354107,2.4923920946,2.4960101792,2.5291194236,2.4900847426,2.4978947566,2.4837174837,2.5167909514,2.5345690338,2.4640605712,2.4961042488,2.4142823792,2.4879584578,2.7302352318,2.4147948246,2.5136097492,2.5002855768,2.4891699858,2.5311096093,2.541476401,2.4818869683,2.5121875842,2.5491982835,2.5281609767,3.4782209142,2.5001693884,2.6581721744,2.4853790824,3.373486282,2.8872043912,2.666169387,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0226137776,5.0000817871
4/17/2014 2:38:54.752 PM,2,3311.3751376365,3315.448124391,3315.8232234091,3313.8450102906,3312.8026688949,3314.4116707185,3314.5061668309,3314.5062496684,3315.2593910555,3311.661086016,3313.2771369005,3312.5179283685,3313.8450103599,3313.0873999611,3313.3717596097,3313.2769422101,3311.9471414135,3315.6356065043,3314.7890642445,3313.6558241718,3314.7889461676,3313.5611828546,3314.9770621506,3314.8831294126,3315.8232234091,3314.6947246462,3315.2597884571,3314.4118483315,3314.5060219151,3313.9395399366,3313.0874472415,3314.2229840149,3314.7577024221,3314.9461150153,3314.851877686,3315.4165372234,3315.792522137,3314.7578058666,3314.9461681343,3315.7922048463,13.9445010682,13.9331275823,13.7080989687,13.8108272983,13.6430548422,13.495356302,12.4597411307,15.6446048091,15.1309528115,15.4758926753,15.8313210158,15.4114091728,15.3015383331,15.042586939,12.9886006478,13.1383425489,12.8829726153,13.11872168,12.9726693725,12.9093782956,12.8307848802,12.8216225494,13.6949749953,13.5368357027,13.3224741238,13.332898621,13.3116953545,13.1710789735,13.0271231908,13.0647403147,3315.8988865378,3316.3671170726,3315.2415502398,3316.9283082304,3314.9591728337,3315.0533045668,2.4923620341,2.4960568787,2.5289935445,2.4901602683,2.4978157142,2.4836393605,2.5167856107,2.5346654738,2.4639880886,2.4960485503,2.4104963684,2.487912532,2.7287951572,2.4176676283,2.5136018137,2.5002422429,2.4891985238,2.5311488271,2.5413886588,2.4817172826,2.5122685913,2.5493040343,2.5281327459,3.4774493032,2.500138868,2.6606778322,2.4853159095,3.3784119305,2.889177385,2.665376466,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0239711359,5.0000817871
4/17/2014 2:38:55.752 PM,3,3311.3754072208,3315.4483893586,3315.8234879437,3313.8452770936,3312.8029368785,3314.4119368755,3314.5064328799,3314.5065157173,3315.2596562405,3311.6613552811,3313.277404348,3312.5181966729,3313.8452771629,3313.0876676232,3313.37202695,3313.2772096578,3311.9474103586,3315.6358712557,3314.7893299696,3313.6560911898,3314.7892118928,3313.5614499801,3314.97732766,3314.8833950298,3315.8234879437,3314.6949904794,3315.2600536416,3314.4121144883,3314.5062879643,3313.9398066321,3313.0877149035,3314.2232503873,3314.7440571543,3314.9324808406,3314.8382379608,3315.4029308211,3315.7789380095,3314.7441606048,3314.9325339627,3315.7786207,13.950725537,13.9171601162,13.7036528995,13.7997416028,13.6289152412,13.4955593794,15.1884948378,15.6581507981,15.0902990455,15.4515595011,15.7730069869,15.3950770412,15.248325121,15.0383674973,12.9669802106,13.1393104366,12.8563085429,13.0952690261,12.9569971107,12.8901935854,12.8066336219,12.7910624466,13.6753412985,13.4935423738,13.2947438229,13.3042541678,13.2868658823,13.1462472012,12.9688558184,13.0373890735,3315.8737698907,3316.3420519624,3315.216361578,3316.9033051545,3314.9339533558,3315.0280953536,2.492446875,2.4960846543,2.5290466426,2.4902405239,2.4977920625,2.4841357173,2.516765316,2.5347657288,2.4639824425,2.4960491607,2.4078831482,2.4879911093,2.7290258377,2.4207087562,2.5136071549,2.5002695554,2.4892415596,2.5312264998,2.5415595653,2.4817076692,2.5122888812,2.5494001714,2.5281678436,3.4757719345,2.5001733561,2.6634545369,2.4853638232,3.3834405686,2.890831135,2.6634248365,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.025435911,5.0000817871
4/17/2014 2:38:56.752 PM,4,3311.3757981335,3315.4487735773,3315.8238715346,3313.8456639736,3312.8033254702,3314.4123228188,3314.5068186666,3314.5069015038,3315.2600407743,3311.6617457311,3313.2777921623,3312.5185857297,3313.8456640428,3313.0880557488,3313.3724146089,3313.2775974724,3311.9478003445,3315.6362551608,3314.7897152866,3313.6564783815,3314.78959721,3313.5618373276,3314.9777126643,3314.8837801905,3315.8238715346,3314.6953759531,3315.2604381747,3314.4125004313,3314.5066737512,3313.9401933561,3313.088103029,3314.223636643,3314.7435323044,3314.9319564174,3314.8377133241,3315.4024074661,3315.7784155112,3314.7436357552,3314.9320095397,3315.7780982009,13.9550179253,13.9293129113,13.69650111,13.8038073799,13.6297011747,13.5009221205,15.183947532,15.6607649905,15.0852140154,15.4522681062,15.7682289186,15.395251932,15.2411085079,15.0369421945,12.9570075087,13.1480330041,12.8514457034,13.1163524816,12.9521336668,12.8879256572,12.8024562853,12.8036817913,13.6756589127,13.5028651956,13.2939931813,13.3112879743,13.291764145,13.1386254601,12.9645934305,13.04289712,3315.8733270054,3316.3416099858,3315.2159174231,3316.9028642716,3314.9335086576,3315.0276508363,2.4924378721,2.4960544369,2.5290728865,2.4902298435,2.497844554,2.4842872335,2.5167434955,2.5347100316,2.4640089941,2.496076018,2.4087760925,2.487960899,2.7251739929,2.4234219342,2.5136008981,2.5002152354,2.4891931824,2.5311624084,2.5415612438,2.4816917993,2.512289644,2.5494039864,2.5281586877,3.4738720562,2.5000343355,2.6664142288,2.4852971408,3.3849684763,2.8929338407,2.6623496014,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0268395012,5.0000817871
4/17/2014 2:38:57.752 PM,5,3311.3756498594,3315.4486278423,3315.8237260378,3313.8455172292,3312.8031780765,3314.4121764297,3314.5066723369,3314.5067551742,3315.2598949198,3311.6615976325,3313.2776450635,3312.5184381595,3313.8455172984,3313.0879085319,3313.3722675691,3313.2774503735,3311.947652422,3315.6361095448,3314.789569135,3313.6563315189,3314.7894510584,3313.5616904058,3314.9775666314,3314.8836340982,3315.8237260378,3314.6952297421,3315.2602923205,3314.4123540423,3314.5065274214,3313.9400466708,3313.0879558121,3314.2234901354,3314.7416122797,3314.9300379535,3314.8357940792,3315.4004929096,3315.7765040886,3314.7417157314,3314.9300910762,3315.7761867757,13.9491558102,13.9140650418,13.7003281475,13.7979432745,13.6303984495,13.4978040776,15.4323494773,15.6477426353,15.0820222898,15.4532687662,15.758713825,15.4019683994,15.218714661,15.0590467525,12.9709794498,13.0904225793,12.8455780511,13.1134624655,12.940692216,12.8945021359,12.7919283383,12.7948363023,13.6380668513,13.4751913056,13.2603562026,13.2952128034,13.2502650206,13.1450672116,12.953858736,13.0560537734,3315.8716215621,3316.3399080414,3315.2142070907,3316.9011665387,3314.9317962331,3315.0259391088,2.4924125419,2.4960289506,2.529166571,2.4901331095,2.4978798026,2.4840833809,2.5168539717,2.5346901942,2.4640150979,2.4960079591,2.4133735657,2.4879920247,2.7187321802,2.4251245568,2.5136689602,2.5003283004,2.4892371339,2.5311776683,2.5415304196,2.4818393587,2.5123593619,2.549339132,2.528185545,3.4721408151,2.5001638948,2.6675730459,2.4853595507,3.3809773629,2.8947607942,2.6620279159,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0274806454,5.0000817871
4/17/2014 2:38:58.752 PM,6,3311.376229495,3315.4491975523,3315.824294817,3313.8460908852,3312.8037542706,3314.4127486968,3314.5072443718,3314.5073272088,3315.2604650971,3311.6621765819,3313.2782201049,3312.5190150432,3313.8460909544,3313.0884840348,3313.3728423801,3313.2780254154,3311.9482306833,3315.6366787899,3314.7901404736,3313.6569056371,3314.7900223972,3313.5622647551,3314.9781375063,3314.8842052049,3315.824294817,3314.6958013131,3315.2608624968,3314.412926309,3314.5070994566,3313.9406200956,3313.0885313149,3314.2240628657,3314.740748589,3314.9291749648,3314.8349307392,3315.3996316785,3315.7756442673,3314.740852041,3314.9292280877,3315.7753269532,13.9446272811,13.9112889733,13.694498058,13.7961592242,13.6299112779,13.4915185776,15.543636949,15.6397106069,15.086109706,15.4449328017,15.7516739025,15.4010244114,15.2105314746,15.070902655,12.9799528013,13.0955829191,12.8471514637,13.1006894256,12.9417316925,12.8937090811,12.8032778983,12.7845767173,13.6193787268,13.4680255403,13.2479968556,13.274766108,13.2334785513,13.1446170184,12.9483703481,13.0462153899,3315.8712646106,3316.3395518222,3315.2138491159,3316.900811201,3314.9314378204,3315.0255808419,2.4924133049,2.4960120105,2.5291650452,2.4900722312,2.4977702419,2.483736099,2.5167927825,2.5346692887,2.4639613844,2.4960331378,2.4193252563,2.4879866845,2.7102264489,2.4254793653,2.5135996772,2.5003125842,2.4890924603,2.5311178496,2.5417620589,2.4818086871,2.5123093237,2.5493092227,2.5282249155,3.4711627188,2.5001568751,2.6664186547,2.4853853386,3.3776885622,2.8957250875,2.6623952294,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0293637969,5.0000817871
4/17/2014 2:38:59.752 PM,7,3311.3765867154,3315.4495486558,3315.8246453468,3313.8464444205,3312.8041093701,3314.4131013762,3314.507596908,3314.507679745,3315.2608164886,3311.6625333794,3313.2785744941,3312.5193705677,3313.8464444898,3313.0888387083,3313.3731966272,3313.2783798048,3311.9485870568,3315.637029607,3314.7904925807,3313.6572594574,3314.7903745045,3313.5626187177,3314.9784893277,3314.8845571691,3315.8246453468,3314.6961535634,3315.2612138877,3314.4132789881,3314.5074519931,3313.9409734884,3313.0888859884,3314.2244158306,3314.740396469,3314.928823131,3314.8345787623,3315.3992805613,3315.7752937248,3314.7404999212,3314.928876254,3315.7749764103,13.9447164662,13.9078691325,13.7016098167,13.7955620602,13.6354194286,13.4837500947,15.5375554476,15.6337792188,15.0775083352,15.4472322446,15.7547354373,15.4054574225,15.2109257758,15.0771632368,12.959365576,13.084148069,12.8501417635,13.1147430376,12.9401417067,12.8894468903,12.792141467,12.7758865695,13.6181655004,13.4601725824,13.2357901088,13.2730945107,13.2244781583,13.1498161441,12.9496756318,13.0454596885,3315.8702664552,3316.3385557145,3315.2128480991,3316.8998175582,3314.9304355791,3315.0245790085,2.4924557253,2.4959981227,2.529147651,2.4899906025,2.4977391133,2.4836367666,2.5168858633,2.5347141516,2.4639774069,2.4960242871,2.4228166199,2.4880158268,2.7038458154,2.4255495639,2.5136373708,2.5002591797,2.4892055438,2.5311779735,2.5416790472,2.4817381882,2.5123892629,2.5492545924,2.5281934802,3.4697368562,2.5001919736,2.665184445,2.4853706898,3.3717819951,2.8961209376,2.6626880731,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0303758649,5.0000817871
4/17/2014 2:39:00.752 PM,8,3311.3767552172,3315.4497142723,3315.8248106927,3313.8466111841,3312.8042768715,3314.413267736,3314.5077632004,3314.5078460373,3315.2609822409,3311.6627016817,3313.2787416604,3312.5195382696,3313.8466112534,3313.0890060088,3313.3733637266,3313.2785469713,3311.9487551591,3315.6371950883,3314.7906586706,3313.6574263553,3314.7905405945,3313.5627856828,3314.9786552828,3314.8847231916,3315.8248106927,3314.6963197209,3315.2613796397,3314.4134453478,3314.5076182856,3313.9411401848,3313.0890532888,3314.2245823251,3314.7402768819,3314.9287036411,3314.8344592237,3315.3991613148,3315.7751746735,3314.7403803341,3314.9287567641,3315.7748573588,13.9451511161,13.9234099288,13.7042583973,13.7925637884,13.6378385827,13.4899831274,15.5357802944,15.6339849373,15.0833556071,15.443018018,15.7559318914,15.4081782979,15.2142557827,15.0797307615,12.963462771,13.0895440039,12.8395085195,13.101519141,12.9417985054,12.8869045755,12.799908044,12.8028892421,13.6268665354,13.4650584104,13.244876178,13.2788202921,13.223487317,13.1447025963,12.9500586414,13.0446216693,3315.8698103498,3316.3381005449,3315.2123906861,3316.8993635149,3314.9299776067,3315.0241212224,2.4924174248,2.4959798092,2.5290811258,2.4899759551,2.4977777189,2.4836712506,2.5168599227,2.5346764607,2.4640143349,2.4959963616,2.420476532,2.4879393856,2.7007079815,2.4277364047,2.513631877,2.5002585694,2.4891823472,2.5310972488,2.541453054,2.4817590937,2.5122986448,2.5492193421,2.52823575,3.4692430008,2.5002079968,2.6662637489,2.4853445967,3.3722945018,2.8967771271,2.6623604361,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0312557981,5.0000817871
4/17/2014 2:39:01.752 PM,9,3311.3771191531,3315.4500719757,3315.8251678116,3313.8469713653,3312.8046386464,3314.4136270451,3314.5081223636,3314.5082052004,3315.2613402377,3311.6630651867,3313.2791027115,3312.5199004776,3313.8469714346,3313.0893673497,3313.373724633,3313.2789080227,3311.9491182321,3315.6375524998,3314.7910173966,3313.6577868268,3314.7908993207,3313.5631462993,3314.9790137177,3314.885081772,3315.8251678116,3314.6966785928,3315.2617376359,3314.4138046566,3314.507977449,3313.9415002207,3313.0894146297,3314.224941925,3314.740130715,3314.928557593,3314.8343131162,3315.3990155642,3315.7750291614,3314.7402341673,3314.928610716,3315.7747118465,13.9456400403,13.9126076854,13.7061979318,13.7959519549,13.6345121498,13.4897093021,15.5308597211,15.6280714762,15.0790415481,15.4456404929,15.7541344368,15.4038657993,15.2080384097,15.0778573677,12.9454876278,13.0630920973,12.8412955266,13.1178041764,12.9362565432,12.89357831,12.7890953715,12.8079594264,13.6284429272,13.4648031408,13.2469114501,13.2750544321,13.2197968593,13.1485701225,12.9564447742,13.0361994484,3315.8693211831,3316.3376123817,3315.2119001172,3316.8988765597,3314.9294864377,3315.0236302533,2.4924079642,2.4959892712,2.5291217123,2.4900137942,2.4978088476,2.4838879204,2.5168118564,2.5346845482,2.464071558,2.4960134526,2.4169024658,2.488026202,2.6979436302,2.4305470978,2.5136492741,2.5002207285,2.4892800172,2.531166376,2.5413532568,2.481909705,2.5122817111,2.5492126277,2.528192412,3.4688759667,2.5002849083,2.6656140604,2.48535421,3.3728349301,2.8979129452,2.6625412697,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0322397913,5.0000817871
