TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 4:10:13.542 PM,0,3311.6951572694,3315.762656996,3316.1372414294,3314.1617243178,3313.1207860204,3314.7276169456,3314.821984673,3314.8220673979,3315.5741819741,3311.9807263061,3313.5946168173,3312.8364267251,3314.161724387,3313.4051349882,3313.6891121547,3313.5944223889,3312.2664013466,3315.9498821092,3315.1044971385,3313.9727937475,3315.1043792224,3313.878280122,3315.292238734,3315.1984341106,3316.1372414294,3315.0102860107,3315.5745788322,3314.7277943174,3314.8218399541,3314.2561261274,3313.405182205,3314.5391862996,3315.1464964597,3315.3345924633,3315.2405135423,3315.8042220732,3316.1795712844,3315.1465997305,3315.334645493,3316.1792545311,13.9187349971,13.8049523744,13.5522841763,13.5338419954,13.4766989902,13.3539197019,15.1025907948,15.122674185,14.5802166754,14.9548732513,15.0522506251,14.4127798537,14.3991541809,14.2248564146,12.2441807107,12.4625343993,12.247500885,12.5464960359,12.3566501032,12.3089927911,12.2836716615,12.3372460177,13.8406769129,13.7504699865,13.4344365324,13.4085146166,13.3726006929,13.2458068911,13.0233791017,13.1010142335,3316.3479748581,3316.8152821283,3315.6919286748,3317.3753619675,3315.410103327,3315.5040511718,2.4916942939,2.4962561912,2.5290132274,2.4903689938,2.4985223653,2.4856624759,2.5164642531,2.5357202108,2.4631469847,2.4949872269,2.2649177551,2.4849728278,2.6885484365,2.3742537272,2.514044523,2.5033004903,2.4924440668,2.5331542782,2.5421858154,2.4838064614,2.5117495968,2.5476010337,2.5287194876,2.7550637885,2.5030998084,2.366418557,2.4870122688,3.1391704819,2.8585908689,2.6919828116,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0864822438,5.0000817871
4/17/2014 4:10:14.542 PM,1,3311.6947535028,3315.7622601614,3316.1368452449,3314.1613247273,3313.1203846573,3314.7272183251,3314.8215862147,3314.8216689397,3315.5737848132,3311.9803230187,3313.5942162592,3312.8360248804,3314.1613247965,3313.4047341078,3313.6887117576,3313.5940218304,3312.2659985397,3315.9494855992,3315.1040991665,3313.9723938342,3315.1039812503,3313.8778800473,3315.2918410858,3315.1980363006,3316.1368452449,3315.0098878764,3315.5741816719,3314.7273956972,3314.8214414956,3314.2557266984,3313.4047813247,3314.5387873556,3315.1469871477,3315.3350827511,3315.2410040303,3315.804711359,3316.1800597667,3315.1470904183,3315.3351357807,3316.179743014,13.9185326577,13.8090221347,13.553683968,13.537988227,13.4762671877,13.3540221339,15.1068087266,15.1267410262,14.5872587926,14.9546706334,15.0640175232,14.4105944603,14.4190806431,14.2311339228,12.2762652909,12.4859230204,12.2507341978,12.5859098931,12.368819466,12.3111572009,12.3021079558,12.3554469172,13.8309601404,13.7454840919,13.4210515721,13.4198594072,13.3763143669,13.2482993978,13.0182384756,13.1077809384,3316.3499535665,3316.8172567611,3315.6939130782,3317.3773316945,3315.4120901674,3315.5060372004,2.4916796451,2.496161266,2.5289084044,2.4903094887,2.4985296897,2.4856601872,2.5163961973,2.535712581,2.4630308598,2.4949586909,2.2559518433,2.4847403002,2.6931742509,2.3765476972,2.5139206072,2.5032563934,2.4924501712,2.5331086512,2.5422193863,2.4838832167,2.5117247302,2.547530228,2.5287135363,2.7548015995,2.5030453294,2.3717140445,2.4870583515,3.1423302024,2.8595589772,2.6898201333,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0901318224,5.0000817871
4/17/2014 4:10:15.542 PM,2,3311.6950563274,3315.762557787,3316.1371423829,3314.1616244198,3313.1206856792,3314.7275172901,3314.821885058,3314.8219677829,3315.5740826835,3311.9806254839,3313.5945166774,3312.8363262636,3314.161624489,3313.4050347677,3313.6890120551,3313.5943222489,3312.2663006445,3315.9497829813,3315.1043976451,3313.9726937688,3315.104279729,3313.878180103,3315.2921393216,3315.1983346577,3316.1371423829,3315.0101864768,3315.5744795417,3314.7276946619,3314.8217403391,3314.2560262697,3313.4050819846,3314.5390865633,3315.1468744233,3315.3349701187,3315.2408913519,3315.8045989568,3316.1799475491,3315.146977694,3315.3350231483,3316.1796307962,13.9176765822,13.8061056429,13.5536667434,13.5369790132,13.4771656337,13.3688828264,15.1281291207,15.1229878617,14.5965451304,14.95831241,15.0683459983,14.4015784098,14.4199020816,14.2369103655,12.2451821389,12.4817831017,12.2493424119,12.588869589,12.3731553928,12.3075503882,12.2991879447,12.3274036465,13.8367309399,13.7458373307,13.4365185651,13.4153287887,13.3782707061,13.2515535932,13.0156151146,13.1008836842,3316.3511078055,3316.8184086227,3315.6950706393,3317.3784806944,3315.4132491501,3315.5071957095,2.4917364091,2.4962273474,2.5289206109,2.4903490062,2.4985666168,2.4856325694,2.516376513,2.5356895392,2.4629727211,2.4949875321,2.239717865,2.4849055413,2.6973144463,2.3806537082,2.5139735614,2.503276382,2.4924088141,2.533149395,2.5424202013,2.4839100734,2.5117744633,2.5476730603,2.5288142513,2.7544863012,2.5029511739,2.3833557842,2.4870105903,3.1571025707,2.8620631793,2.6860928246,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0930891423,5.0000817871
4/17/2014 4:10:16.542 PM,3,3311.6947602285,3315.7622667716,3316.1368518442,3314.1613313834,3313.1203913429,3314.727224965,3314.8215928519,3314.8216755769,3315.5737914288,3311.9803297364,3313.5942229314,3312.836031574,3314.1613314526,3313.4047407854,3313.6887184271,3313.5940285027,3312.2660052494,3315.949492204,3315.1041057956,3313.9724004957,3315.1039878794,3313.8778867115,3315.2918477095,3315.198042927,3316.1368518442,3315.0098945082,3315.5741882875,3314.7274023371,3314.8214481328,3314.2557333517,3313.4047880023,3314.5387940009,3315.1464168955,3315.3345129641,3315.2404340106,3315.8041427364,3316.179492078,3315.1465201664,3315.3345659938,3316.1791753245,13.920880527,13.8098454955,13.5539736294,13.5335467943,13.4747248798,13.3650692951,15.1455814582,15.1378567548,14.5881580181,14.9621256111,15.0744467312,14.4117986084,14.4139562982,14.2388172105,12.2646474977,12.4828534464,12.2566745324,12.5581845814,12.3740734,12.3156475785,12.2998769257,12.3364925865,13.8418383742,13.7441539728,13.4392617797,13.4238715411,13.3755180395,13.2521596348,13.0168317925,13.0940858798,3316.351193548,3316.8184941885,3315.6951566285,3317.3785660477,3315.4133352449,3315.5072817692,2.4916150989,2.4961978931,2.5289601293,2.4903285609,2.498545254,2.4856510321,2.5164769182,2.5357150225,2.4631221117,2.4951271598,2.2281304932,2.4848545805,2.6953652575,2.3880375386,2.5139608951,2.5032238929,2.4923988945,2.5330296051,2.5427136416,2.4838342337,2.5117166447,2.5476962553,2.5286654677,2.7540513544,2.5029861198,2.3915109999,2.4870908534,3.173443127,2.8647631699,2.6852928839,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0952329017,5.0000817871
4/17/2014 4:10:17.542 PM,4,3311.6943295288,3315.7618434659,3316.1364292319,3314.1609051382,3313.1199632069,3314.7267997544,3314.8211678143,3314.8212505395,3315.573367775,3311.9798995479,3313.5937956541,3312.8356029243,3314.1609052074,3313.4043131643,3313.6882913214,3313.593601225,3312.2655755734,3315.9490692446,3315.1036812768,3313.9719739061,3315.1035633603,3313.8774599498,3315.2914235361,3315.1976185809,3316.1364292319,3315.0094698163,3315.5737646345,3314.7269771268,3314.821023095,3314.2553072788,3313.4043603813,3314.5383684453,3315.1461052425,3315.3342015652,3315.2401224845,3315.8038319738,3316.1791818258,3315.1462085134,3315.3342545949,3316.1788650719,13.9110135747,13.8056192793,13.548600404,13.5363399008,13.4742370464,13.3587829159,15.1453224911,15.140647858,14.5856114785,14.9586652612,15.0590161928,14.4004821887,14.4035565831,14.2454194716,12.269273424,12.4864117579,12.2518336124,12.5802153531,12.3696901058,12.3149301838,12.2990066673,12.3572334473,13.8328332121,13.7417870894,13.4311690281,13.4229540672,13.377577363,13.2487229183,13.0181277527,13.109349385,3316.3510088713,3316.8183098923,3315.6949714203,3317.3783822093,3315.4131498093,3315.5070964093,2.491646075,2.496145089,2.5289171015,2.4903154392,2.4985788241,2.4856434029,2.5167572287,2.5357237204,2.4630235353,2.4951079324,2.2281506348,2.4848681599,2.6862884699,2.3934202494,2.5139456345,2.5032364049,2.4924610065,2.533045628,2.5426721358,2.483942271,2.5117198484,2.5477254016,2.5286590585,2.753655629,2.5029806261,2.3910542187,2.4870366835,3.1743648457,2.8658022383,2.686580999,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0977094396,5.0000817871
4/17/2014 4:10:18.542 PM,5,3311.6945045064,3315.7620154398,3316.1366009241,3314.1610783062,3313.120137143,3314.7269725021,3314.8213404917,3314.8214232168,3315.5735398903,3311.9800743179,3313.5939692414,3312.8357770692,3314.1610783754,3313.4044868912,3313.688464839,3313.5937748124,3312.2657501352,3315.9492410778,3315.1038537435,3313.972147214,3315.1037358271,3313.8776333276,3315.2915958624,3315.1977909774,3316.1366009241,3315.0096423533,3315.5739367494,3314.7271498744,3314.8211957725,3314.2554803768,3313.4045341082,3314.5385413332,3315.1456079157,3315.333704644,3315.2396253604,3315.8033360681,3316.1786867345,3315.1457111869,3315.3337576739,3316.1783699799,13.8903168605,13.810775828,13.5323861006,13.5371475712,13.4657334006,13.3603534223,15.099339072,15.1422937461,14.5792503491,14.9484944501,15.031538159,14.4068564323,14.3506096753,14.2452352195,12.2623720133,12.4766074313,12.245998588,12.5875878313,12.3419352131,12.311461643,12.2675023499,12.3619364798,13.834691808,13.7425772352,13.4351659878,13.4136706001,13.3827954248,13.2435593237,13.0205975111,13.1011332967,3316.3491225077,3316.816427414,3315.6930796274,3317.3765044078,3315.4112556931,3315.505203067,2.4916173878,2.49614982,2.5289946126,2.4903401567,2.4985011551,2.4856278393,2.5167808804,2.5356695492,2.4629994253,2.4951619523,2.2323455811,2.4849035578,2.6772421957,2.39668525,2.5139813442,2.5032829431,2.4924124767,2.5330131245,2.5426895316,2.4838388115,2.5117805656,2.5477687396,2.5287080427,2.7533316318,2.5029766585,2.3898857867,2.4870485856,3.1725510084,2.8661324695,2.6869272534,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.100070474,5.0000817871
4/17/2014 4:10:19.542 PM,6,3311.6943968323,3315.7619096141,3316.1364952718,3314.1609717457,3313.1200301098,3314.7268662002,3314.8212342331,3314.8213169583,3315.5734339776,3311.9799667715,3313.5938624229,3312.8356699075,3314.1609718149,3313.4043799868,3313.6883580634,3313.5936679938,3312.265642717,3315.9491353387,3315.1037476145,3313.9720405674,3315.1036296981,3313.877526638,3315.2914898199,3315.1976848917,3316.1364952718,3315.0095361811,3315.573830837,3314.7270435726,3314.8210895138,3314.2553738594,3313.4044272038,3314.5384349451,3315.1452763808,3315.3333733795,3315.2392939606,3315.8030054806,3316.17835669,3315.1453796522,3315.3334264095,3316.1780399349,13.8918716784,13.7982929416,13.5373776713,13.5329807607,13.4631680523,13.3512275132,15.098073222,15.1456020015,14.5865249189,14.9511162166,15.0309579643,14.394227008,14.3442347053,14.2458747022,12.2675158276,12.4585424818,12.2436612338,12.5678475378,12.3434924887,12.3207329862,12.2668446257,12.347686264,13.8414257577,13.7332115612,13.4335827376,13.4101797084,13.3755635737,13.241288748,13.0172584952,13.0985578854,3316.3488718709,3316.8161772935,3315.6928282693,3317.3762549087,3315.4110040263,3315.504951503,2.4916913946,2.4961837001,2.5289320545,2.4903462598,2.4984529362,2.4857058099,2.5167604331,2.5356228551,2.4630410837,2.4951361631,2.2407218933,2.4849694711,2.6696591861,2.3976513971,2.5139070252,2.5032890464,2.4924329264,2.5331620607,2.5424111982,2.4838816907,2.511851504,2.5476439139,2.5287109421,2.752847391,2.5029862724,2.3861642332,2.4869848024,3.1638090998,2.8656182,2.6882300184,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1025421294,5.0000817871
4/17/2014 4:10:20.542 PM,7,3311.6943631827,3315.7618765422,3316.136462254,3314.1609384441,3313.1199966605,3314.7268329794,3314.8212010259,3314.821283751,3315.5734008784,3311.9799331619,3313.5938290406,3312.8356364181,3314.1609385132,3313.4043465777,3313.6883246945,3313.5936346116,3312.2656091473,3315.9491022938,3315.1037144478,3313.9720072388,3315.1035965313,3313.877493296,3315.2914566801,3315.1976517384,3316.136462254,3315.0095030008,3315.5737977379,3314.7270103518,3314.8210563065,3314.2553405712,3313.4043937947,3314.5384016973,3315.1452299658,3315.3333270023,3315.2392475645,3315.8029591982,3316.1783104836,3315.1453332371,3315.3333800323,3316.1779937285,13.8908418824,13.8097754502,13.5398582016,13.5327134663,13.4648086181,13.3595054099,15.0992539401,15.1506717673,14.5803855283,14.9481807619,15.0374000214,14.4029584322,14.3399261804,14.2505624448,12.2621338165,12.4671312067,12.2478223914,12.5667404008,12.3393296719,12.3180976246,12.2615350546,12.3607822891,13.8373550511,13.736999941,13.4295865895,13.4145027506,13.3835518187,13.2443919817,13.0174606252,13.0971571346,3316.3482914511,3316.8155980693,3315.692246179,3317.3756771235,3315.4104212212,3315.504368936,2.4917074167,2.4961621816,2.5290083448,2.4906038101,2.4985046647,2.4857143546,2.5164398384,2.5356468125,2.4629183973,2.4950598638,2.249100647,2.484858395,2.6657327363,2.3979973544,2.5139360203,2.5033024739,2.4925043475,2.5330582936,2.542161095,2.4838885575,2.5117142038,2.5474998608,2.5287164356,2.7526297649,2.5029658237,2.3827300566,2.4870160836,3.1585456455,2.8649578903,2.6885806982,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1049509215,5.0000817871
4/17/2014 4:10:21.542 PM,8,3311.6943228016,3315.7618368543,3316.1364226311,3314.1608984806,3313.1199565198,3314.726793113,3314.8211611756,3314.8212439008,3315.5733611579,3311.9798928287,3313.5937889804,3312.8355962292,3314.1608985498,3313.4043064852,3313.6882846504,3313.5935945513,3312.2655688622,3315.9490626384,3315.1036746462,3313.9719672431,3315.1035567297,3313.8774532842,3315.2914169109,3315.197611953,3316.1364226311,3315.0094631829,3315.5737580174,3314.7269704854,3314.8210164562,3314.2553006239,3313.4043537022,3314.5383617985,3315.1451901793,3315.3332872483,3315.2392077942,3315.8029195254,3316.1782708759,3315.1452934507,3315.3333402783,3316.1779541208,13.8892838274,13.804248876,13.5354740206,13.5287126736,13.466454794,13.3551995961,15.1080610154,15.1460642647,14.5853094466,14.9545513444,15.0414077376,14.3958330925,14.3434004374,14.2486236871,12.2756876201,12.4832079494,12.2309898931,12.5591501486,12.3445664802,12.3220360355,12.2676133458,12.3578474422,13.8367745047,13.7323752807,13.4298454382,13.4063668315,13.3758719964,13.2364061523,13.0213071959,13.0918443191,3316.3479616648,3316.8152689622,3315.6919154435,3317.3753488341,3315.4100900795,3315.5040379297,2.4917611289,2.4962276526,2.5288824657,2.4906445482,2.4985122942,2.4856736146,2.5165448214,2.5355828752,2.462921144,2.4950063017,2.2520098877,2.4848889104,2.666505943,2.3986306684,2.5140008778,2.5032296911,2.4923995049,2.5331089564,2.5421498029,2.4838766551,2.511832282,2.5474595748,2.5286531072,2.7530125182,2.5028091012,2.3838705597,2.4870214243,3.1616684423,2.8652415778,2.6873839918,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1078279839,5.0000817871
4/17/2014 4:10:22.542 PM,9,3311.6940132406,3315.7615326078,3316.1361188831,3314.1605921213,3313.1196488015,3314.7264874973,3314.8208556843,3314.8209384096,3315.5730566613,3311.9795836352,3313.5934818793,3312.8352881417,3314.1605921905,3313.403999137,3313.6879776727,3313.5932874499,3312.2652600371,3315.9487586408,3315.1033695277,3313.9716606363,3315.1032516111,3313.8771465537,3315.2911120407,3315.1973069587,3316.1361188831,3315.0091579401,3315.5734535213,3314.72666487,3314.8207109648,3314.2549943884,3313.4040463541,3314.5380559349,3315.1448055888,3315.3329029714,3315.2388233604,3315.8025360338,3316.1778880142,3315.1449088603,3315.3329560015,3316.1775712585,13.8869053576,13.8074389754,13.5288952389,13.5255700325,13.4553732479,13.3560245899,15.1038553287,15.1540555069,14.5889556483,14.9514878172,15.03010985,14.3956664002,14.343309885,14.2531069878,12.2807107991,12.4838042702,12.2435751114,12.5760818684,12.3455451371,12.318279477,12.270654777,12.3621857669,13.8361215303,13.7319512255,13.4361384616,13.4152532853,13.3888823569,13.2413257849,13.0246231587,13.0866115439,3316.3474537941,3316.8147621376,3315.6914061111,3317.3748432685,3315.4095801216,3315.5035281801,2.4917885954,2.4961334904,2.528882008,2.4906114389,2.4985841648,2.4856824645,2.5165237637,2.535760801,2.4630116329,2.4950381948,2.2538224792,2.4849732856,2.6668955977,2.3988141005,2.5139373938,2.503283706,2.4923978262,2.5331033102,2.5423837311,2.4839021385,2.5117971941,2.5475106953,2.5287219292,2.7535002691,2.5029911557,2.3837802107,2.4870388198,3.1564857012,2.8658953256,2.6879185573,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1113216251,5.0000817871
