TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 11:38:53.608 AM,0,3307.8325679746,3311.96537349,3312.3460825934,3310.3384774772,3309.2808397331,3310.9135084238,3311.0094041892,3311.0094882541,3311.7738239894,3308.1226517923,3309.7622544589,3308.9919431221,3310.3384775474,3309.5697363535,3309.8582657541,3309.7620569125,3308.4128536999,3312.1556574576,3311.2964983144,3310.1465053947,3311.2963784838,3310.0504719991,3311.4872905325,3311.3919610816,3312.3460825934,3311.2007581264,3311.7742273161,3310.9136886666,3311.0092571261,3310.4344007858,3309.5697843263,3310.7220301857,3311.157582253,3311.3488791968,3311.2531986575,3311.8265225586,3312.2082992204,3311.1576872799,3311.3489331296,3312.2079770345,12.6904793651,12.7638603295,12.4783508488,12.6721644299,11.9501656715,12.3744315699,14.0080694219,13.9600566165,13.7549783691,14.2879529917,14.4338363713,14.218479783,13.9399470291,13.5453200451,11.6113973219,11.7236661717,11.5504848287,11.8592700422,11.7489469762,11.7300760759,11.619056144,11.736152282,12.4053343997,12.3581357203,12.1873498876,12.208831707,12.1570265043,12.0055403483,11.5389398077,11.9110646479,3312.2885536826,3312.7640839629,3311.6210172354,3313.3340617688,3311.3342750687,3311.4298606834,2.4979687024,2.4943413568,2.5297114369,2.4845612967,2.4919958756,2.4787121078,2.5187934092,2.5377118813,2.4655759926,2.5023211166,2.510867157,2.492024334,2.7067949246,2.4136286113,2.5141385282,2.5017439777,2.4905170686,2.53182255,2.542503213,2.4831676985,2.5129190888,2.5498909286,2.5288690342,2.9392182995,2.5014249993,2.7289407535,2.4860057755,3.2321906748,2.297459619,3.2141628085,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0172308818,5.0000817871
4/17/2014 11:38:54.608 AM,1,3307.8331601078,3311.9659557634,3312.346663942,3310.3390636705,3309.2814284477,3310.9140932374,3311.0099887721,3311.0100728368,3311.7744067269,3308.1232432439,3309.7628420284,3308.9925325217,3310.3390637407,3309.5703243814,3309.8588530948,3309.7626444825,3308.4134444679,3312.1562392691,3311.2970822055,3310.1470920473,3311.2969623752,3310.0510588811,3311.4878739631,3311.3925447424,3312.346663942,3311.2013422484,3311.7748100526,3310.9142734797,3311.0098417093,3310.4349867494,3309.5703723542,3310.7226154595,3311.1575550936,3311.3488520588,3311.2531715088,3311.8264954742,3312.2082721792,3311.1576601204,3311.3489059916,3312.2079499933,12.6829785373,12.7522331655,12.4781759541,12.6718370078,11.9470111761,12.3647136161,14.0302398251,13.9662914068,13.7491571877,14.2860242046,14.4218394622,14.2082374,13.9146795107,13.5419421247,11.6164910686,11.7248661724,11.5397676132,11.8561170819,11.7436531992,11.7276090953,11.6000819401,11.738039711,12.4087948631,12.3650327686,12.1864571148,12.2184784487,12.1586546757,12.0060991461,11.5421724269,11.9053601037,3312.2883038435,3312.7638346216,3311.6207667007,3313.3338130266,3311.3340242364,3311.4296099502,2.498011428,2.494299083,2.529793983,2.4846363647,2.4920523345,2.4789258784,2.5187340511,2.5377492671,2.4656077323,2.5023891756,2.5092045593,2.4921074885,2.6979736858,2.4155259589,2.5140599362,2.5017007963,2.4904789162,2.5318594789,2.5425308327,2.4832017272,2.5129869761,2.5497946389,2.5289364828,2.9388721734,2.5013399999,2.7278852578,2.4859992141,3.232671598,2.2977317087,3.2100427018,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0188966057,5.0000817871
4/17/2014 11:38:55.608 AM,2,3307.8330912476,3311.9658880496,3312.3465963358,3310.3389955009,3309.281359985,3310.9140252283,3311.0099207898,3311.0100048545,3311.7743389592,3308.1231744629,3309.7627736988,3308.9924639793,3310.3389955712,3309.5702559985,3309.8587847918,3309.7625761529,3308.4133757664,3312.156171609,3311.2970143036,3310.1470238243,3311.2968944733,3310.0509906315,3311.4878061148,3311.3924768673,3312.3465963358,3311.2012743197,3311.774742285,3310.9142054706,3311.009773727,3310.4349186065,3309.5703039713,3310.7225473968,3311.157670527,3311.3489674011,3311.2532868967,3311.8266105884,3312.2083871103,3311.1577755538,3311.3490213339,3312.2080649245,12.6774257867,12.7634742122,12.4797217204,12.6763590348,11.9476401977,12.3707628346,14.0241568046,13.9704297109,13.7448259426,14.292143522,14.4204083654,14.2050520617,13.9180535391,13.5362400001,11.6170437499,11.7120517967,11.5528484871,11.8423130117,11.7380175254,11.7282383051,11.5963551224,11.7516553102,12.4096609743,12.3646006029,12.189844195,12.2156024159,12.1584513632,12.0096391563,11.5392189319,11.9014144667,3312.2886144689,3312.7641446281,3311.6210781908,3313.3341222882,3311.3343360965,3311.4299216871,2.4978818778,2.4945864531,2.5295510745,2.4845170493,2.4921953127,2.4787897732,2.5186531777,2.5375098454,2.4656544264,2.5022637395,2.4974459839,2.4921039793,2.6923644282,2.4172505567,2.5141328818,2.5017751049,2.4905294299,2.5319133462,2.5425598258,2.4831930293,2.5129517358,2.5497627458,2.5288115046,2.9385605378,2.5013348114,2.7267876399,2.4860565885,3.2317198217,2.2978495176,3.2059602878,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0203850308,5.0000817871
4/17/2014 11:38:56.608 AM,3,3307.834495806,3311.9672692195,3312.3479753121,3310.3403859694,3309.2827564342,3310.9154124239,3311.0113074382,3311.0113915024,3311.7757212301,3308.1245774044,3309.764167432,3308.9938620535,3310.3403860397,3309.5716508191,3309.860177982,3309.7639698871,3308.4147770867,3312.1575516834,3311.2983993111,3310.1484153821,3311.2982794815,3310.0523827335,3311.4891900297,3311.3938613284,3312.3479753121,3311.2026598749,3311.7761245537,3310.9155926653,3311.0111603762,3310.4363085301,3309.5716987915,3310.723935684,3311.1584106287,3311.3497069184,3311.2540267063,3311.8273486425,3312.209123991,3311.1585156552,3311.349760851,3312.2088018062,12.6839831373,12.7607963389,12.4813959022,12.6754371803,11.9499260644,12.3671689787,14.028421672,13.9769857628,13.7468801665,14.2856548212,14.4169698862,14.209241221,13.9143105043,13.5386751472,11.6184890397,11.727246027,11.55169688,11.8436817523,11.7364836529,11.7200573623,11.6013928015,11.7297253301,12.4140805119,12.357030364,12.1848690303,12.2153633675,12.1550804457,12.0059623333,11.5388270802,11.903008551,3312.2886954932,3312.7642254909,3311.6211594407,3313.3342029567,3311.334417443,3311.4300030014,2.4979333012,2.4947294515,2.5295448187,2.4847837542,2.492158233,2.4787981654,2.518721386,2.5374897029,2.4656768579,2.5023302725,2.487532196,2.492021435,2.6900408414,2.4206109359,2.5141221994,2.5016934723,2.4905388917,2.5319098364,2.5424667428,2.4830895699,2.5129442605,2.5498254638,2.528897265,2.9384796529,2.5014095865,2.7276593854,2.4860762728,3.2311734429,2.2978316632,3.2031136464,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0210508931,5.0000817871
4/17/2014 11:38:57.608 AM,4,3307.8351774338,3311.967939497,3312.3486445251,3310.3410607595,3309.2834341267,3310.9160856257,3311.0119803744,3311.0120644384,3311.776392042,3308.1252582476,3309.7648438063,3308.9945405346,3310.3410608298,3309.5723277212,3309.860854093,3309.7646462621,3308.4154571432,3312.1582214292,3311.2990714511,3310.1490907008,3311.2989516217,3310.0530583164,3311.4898616394,3311.3945332031,3312.3486445251,3311.2033322805,3311.7767953644,3310.9162658666,3311.0118333129,3310.4369830557,3309.5723756935,3310.7246094155,3311.1584310092,3311.3497272828,3311.2540470788,3311.8273689667,3312.2091442829,3311.1585360357,3311.3497812154,3312.2088220981,12.6869760347,12.7552396045,12.4886691108,12.6752247878,11.9538390214,12.3716898446,14.0344631729,13.9797492718,13.7474308535,14.2888747048,14.4227833507,14.2051391201,13.9155475637,13.5364799237,11.5931548233,11.7110699291,11.5446855553,11.858131454,11.7347430683,11.7178584252,11.5965185912,11.73295042,12.4135752174,12.3547686894,12.1854329875,12.2124143779,12.1561791734,12.0018661899,11.5383981929,11.9020451338,3312.2896611296,3312.7651892035,3311.6221277654,3313.3351643535,3311.3353869179,3311.4309720932,2.4979085814,2.494740287,2.5295725884,2.4848153377,2.492042416,2.4788654551,2.51879051,2.5375849222,2.4656612932,2.5024070296,2.4766751099,2.4920615628,2.6886175491,2.4238029908,2.5141566883,2.5017036954,2.4905242412,2.531956379,2.5424914632,2.483196539,2.5129459386,2.5497699179,2.5288514854,2.9380758391,2.5014173692,2.7268860775,2.486007454,3.2293478571,2.2980601087,3.1996221081,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0211731103,5.0000817871
4/17/2014 11:38:58.608 AM,5,3307.8355354657,3311.9682915671,3312.348996036,3310.3414151998,3309.2837900915,3310.9164392318,3311.012333841,3311.0124179049,3311.7767443928,3308.1256158673,3309.7651990788,3308.9948969136,3310.3414152701,3309.5726832708,3309.861209227,3309.7650015348,3308.4158143496,3312.1585732201,3311.2994244994,3310.1494454188,3311.2993046702,3310.0534131731,3311.4902144092,3311.3948861121,3312.348996036,3311.2036854684,3311.7771477146,3310.9166194724,3311.0121867796,3310.4373373572,3309.5727312431,3310.7249632997,3311.159327288,3311.3506228539,3311.254943004,3311.828262766,3312.2100366611,3311.1594323141,3311.3506767863,3312.2097144775,12.6926687217,12.7566591242,12.4958178287,12.6803851486,11.9606070719,12.3755527346,14.0427450061,13.9749111137,13.7467132938,14.2935724278,14.4280914504,14.2052608036,13.9146777936,13.5360680526,11.5964838072,11.7150872277,11.5423628151,11.8642861457,11.7295167566,11.7227169775,11.5887688511,11.7334543114,12.4172753319,12.3592326206,12.1869953149,12.2076374281,12.1537691344,12.0041163043,11.5404191652,11.8955876029,3312.2897961781,3312.7653239829,3311.6222631899,3313.335298809,3311.3355225033,3311.431107625,2.4979459663,2.4946357471,2.5296438436,2.4848110655,2.4920373805,2.4787208051,2.5188825226,2.537559744,2.4656792994,2.5026136481,2.467376709,2.4919539959,2.6908039787,2.4285633753,2.514211779,2.5017172754,2.4906072607,2.5319569894,2.5424025003,2.4831435885,2.5128655418,2.5496875146,2.5287996019,2.9378069351,2.5014552146,2.7280919005,2.486022408,3.2311230924,2.2981884471,3.1971029511,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0219762953,5.0000817871
4/17/2014 11:38:59.608 AM,6,3307.8356731591,3311.9684269674,3312.3491312214,3310.3415515118,3309.2839269898,3310.9165752229,3311.0124697785,3311.0125538423,3311.7768799011,3308.1257534022,3309.7653357109,3308.9950339713,3310.3415515821,3309.5728200095,3309.8613458059,3309.765138167,3308.4159517255,3312.158708513,3311.299560276,3310.1495818376,3311.2994404469,3310.0535496453,3311.4903500787,3311.3950218351,3312.3491312214,3311.2038212987,3311.7772832227,3310.9167554634,3311.0123227172,3310.4374736157,3309.5728679818,3310.7250993979,3311.159592087,3311.3508874437,3311.2552076985,3311.8285268324,3312.2103003076,3311.1596971129,3311.3509413761,3312.2099781244,12.7058582053,12.7474084646,12.508408472,12.6902968669,11.9685394079,12.3729444009,14.0448676472,13.9877172381,13.7536440873,14.2909668047,14.4338756978,14.2068498375,13.9161905964,13.5369706757,11.6037255698,11.7066724812,11.5317316746,11.8407529829,11.733171291,11.718731414,11.5915073343,11.738636109,12.4100746453,12.3548574782,12.172076873,12.2127321914,12.1506151361,11.9991284451,11.5391744494,11.8903715006,3312.2897691663,3312.7652970249,3311.6222361029,3313.3352719159,3311.3354953842,3311.4310805166,2.4980012044,2.4944753509,2.5297500398,2.484903985,2.4920604218,2.4788913944,2.5188231646,2.5376068959,2.4657639897,2.502666905,2.4701307678,2.4919549114,2.6937958065,2.4342764777,2.5142036909,2.5016994231,2.4906634209,2.5319998696,2.5423402415,2.4831544228,2.5129291575,2.549694229,2.5288087578,2.9377083472,2.501483446,2.7295759434,2.4859747995,3.2314605931,2.2981267958,3.1957629512,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0240843508,5.0000817871
4/17/2014 11:39:00.608 AM,7,3307.8367747725,3311.9695102369,3312.3502127704,3310.3426420743,3309.2850222431,3310.9176632186,3311.0135573449,3311.0136414083,3311.7779640342,3308.1268537475,3309.7664288339,3308.9961304991,3310.3426421446,3309.5739139854,3309.8624385031,3309.7662312909,3308.4170507993,3312.1597909233,3311.3006465554,3310.1506732545,3311.3005267269,3310.054641489,3311.4914355012,3311.396107686,3312.3502127704,3311.2049080077,3311.778367354,3310.9178434583,3311.0134102843,3310.4385637509,3309.5739619575,3310.7261882496,3311.1600741793,3311.3513691554,3311.2556896006,3311.829007591,3312.2107803019,3311.160179205,3311.3514230877,3312.2104581193,12.7063285333,12.7537575368,12.5161352249,12.6942789563,11.9712254929,12.380743829,14.0428210408,13.9850587981,13.7439658606,14.2954788282,14.4328200133,14.2081587132,13.9116266905,13.5417117011,11.5865571888,11.6873601194,11.5493905568,11.869784117,11.7259254758,11.7237098425,11.5874691539,11.7407110364,12.4179273569,12.3524766667,12.1783275425,12.2091295066,12.148233601,11.9949132353,11.5377862038,11.8903584039,3312.2904039172,3312.7659305112,3311.6228726208,3313.3359038798,3311.3361326583,3311.4317175388,2.4977974948,2.4946136182,2.5296107336,2.4847559852,2.4921631159,2.4787009692,2.5188159928,2.5374379732,2.4657200423,2.5023795618,2.4772344971,2.4919953443,2.694031064,2.4378440955,2.5142041487,2.5016882844,2.4906644892,2.5319276905,2.5422628758,2.4832581874,2.5128586768,2.5496211342,2.5287625204,2.9375500876,2.5013773874,2.7281373803,2.4859972304,3.2310529069,2.2983695859,3.1931371252,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0257024695,5.0000817871
4/17/2014 11:39:01.608 AM,8,3307.8370226268,3311.9697539639,3312.3504561103,3310.3428874422,3309.2852686664,3310.9179080089,3311.0138020386,3311.013886102,3311.7782079555,3308.1271013165,3309.7666747779,3308.9963772091,3310.3428875125,3309.5741601213,3309.8626843513,3309.7664772351,3308.4172980822,3312.1600344569,3311.3008909596,3310.1509188146,3311.3007711312,3310.0548871452,3311.4916797126,3311.3963519937,3312.3504561103,3311.2051525085,3311.7786112748,3310.9180882484,3311.0136549782,3310.4388090226,3309.5742080933,3310.7264332325,3311.1600470175,3311.3513420151,3311.2556624495,3311.8289805044,3312.2107532583,3311.1601520433,3311.3513959473,3312.2104310757,12.6999725297,12.7573237696,12.5093913409,12.6938749728,11.9631817167,12.3848442071,14.051645064,13.981526709,13.7513450109,14.2961431712,14.4345519976,14.205162053,13.9141215228,13.5391727531,11.6053955495,11.7158285548,11.539590364,11.8584599578,11.7300288896,11.7131442839,11.5970759155,11.7118128299,12.4192084866,12.3593328114,12.1844217205,12.2126254444,12.1515012684,12.0015425392,11.5370049885,11.8957641814,3312.2907550284,3312.7662809228,3311.6232247097,3313.3362534494,3311.3364851654,3311.4320699066,2.49789378,2.4945563884,2.5297683495,2.4846110369,2.492008083,2.4786243718,2.5188089736,2.5374253078,2.4656916596,2.5022675545,2.4793017578,2.4918893032,2.6933750283,2.4392093068,2.5141560779,2.5016768406,2.4905889476,2.5319560738,2.5423179627,2.4832388078,2.5129389211,2.5496894984,2.5287761017,2.9374054105,2.5013897482,2.7267829088,2.4860256124,3.2317340114,2.2984205551,3.1908537385,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0262319247,5.0000817871
4/17/2014 11:39:02.608 AM,9,3307.8375321031,3311.970254956,3312.3509563067,3310.3433918074,3309.2857752011,3310.9184111868,3311.014305018,3311.0143890812,3311.778709347,3308.1276102062,3309.7671803273,3308.9968843332,3310.3433918776,3309.5746660651,3309.8631897037,3309.7669827849,3308.4178063838,3312.1605350516,3311.3013933438,3310.1514235749,3311.3012735156,3310.0553921029,3311.4921817005,3311.3968541797,3312.3509563067,3311.2056550913,3311.7791126655,3310.918591426,3311.0141579579,3310.4393131901,3309.574714037,3310.7269368064,3311.1609297027,3311.3522240033,3311.2565447865,3311.8298607477,3312.211632102,3311.1610347281,3311.3522779354,3312.2113099206,12.6975651145,12.7624732402,12.5131682194,12.6910083678,11.9643618882,12.3815194884,14.0606022161,13.9868257763,13.7506161282,14.2986942338,14.4509083966,14.2147300203,13.9104187192,13.5318857967,11.6085609042,11.7239592611,11.5290825318,11.8464285842,11.7315147232,11.7168456612,11.5970336365,11.7188750375,12.4101565314,12.3541756026,12.1843046283,12.2219785766,12.1535995963,11.9997449563,11.5465143708,11.8918284372,3312.2909846354,3312.7665100723,3311.6234549558,3313.3364820483,3311.336715685,3311.4323003351,2.4978637195,2.494478098,2.5298653908,2.4845294081,2.4919735973,2.4786901357,2.5188031751,2.5372695082,2.4656806728,2.5022832721,2.48472229,2.4919431629,2.6926176885,2.4399379993,2.5141183842,2.5017960089,2.4906197747,2.5319260119,2.5423298651,2.483288859,2.5129168005,2.5497433657,2.5287786959,2.937441885,2.5014019564,2.7242448963,2.4860745943,3.2313261726,2.2986059667,3.1873577748,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0256190078,5.0000817871
