TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 4:55:37.367 PM,0,3311.2545114339,3315.3295627908,3315.7048554321,3313.7256278858,3312.6827585469,3314.292577214,3314.3871216339,3314.3872045137,3315.1407322595,3311.5406025482,3313.1574663147,3312.3978745749,3313.7256279551,3312.967633385,3313.25213695,3313.1572715257,3311.8268010622,3315.5171416058,3314.6701638919,3313.5363456118,3314.6700457545,3313.4416562481,3314.8582582401,3314.7642772964,3315.7048554321,3314.575775954,3315.1411298655,3314.2927549177,3314.386976644,3313.8202056328,3312.9676806893,3314.1037941635,3314.7255072753,3314.9139460396,3314.8196956154,3315.3844337685,3315.760471233,3314.7256107341,3314.913999166,3315.7601538979,13.8031950096,13.7144712939,13.4261427062,13.4847460956,13.3478451198,13.1762763445,15.2884250002,15.2614308696,14.5688751836,14.759232643,14.8666363002,14.197918698,14.0592758985,14.0315587122,11.5635401849,11.7090639077,11.5421289633,11.7949580763,11.746670313,11.7502609795,11.7333750015,11.8750261012,12.6859666579,12.701778947,12.5168440199,12.575268629,12.5632906262,12.4699631019,12.3193990195,12.4561922077,3316.0041882144,3316.4722025737,3315.3471539868,3317.0331335245,3315.0649058408,3315.1589945179,2.4912130204,2.4964570298,2.5289291554,2.4910635251,2.4992563302,2.4863182833,2.5148242,2.5340032113,2.4617428051,2.4922721922,2.4007493591,2.4817050827,2.5427521362,2.5546812126,2.5140809958,2.5036146614,2.4928849553,2.533259266,2.5425026027,2.484275386,2.5122097048,2.5477536323,2.5289392296,2.3117493275,2.5036387994,2.4000326477,2.4875315376,2.1754673377,2.5137941399,2.70583375,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.067433454,5.0000817871
4/17/2014 4:55:38.367 PM,1,3311.2549160603,3315.3299604948,3315.705252487,3313.7260283419,3312.6831607731,3314.2929767014,3314.3875209594,3314.3876038391,3315.1411302894,3311.5410066961,3313.157867737,3312.3982772821,3313.7260284112,3312.9680351292,3313.2525382117,3313.1576729484,3311.8272047302,3315.5175389856,3314.6705627318,3313.5367463903,3314.6704445945,3313.4420571877,3314.8586567566,3314.7646759746,3315.705252487,3314.576174956,3315.1415278948,3314.2931544049,3314.3873759697,3313.8206059277,3312.9680824334,3314.104193974,3314.7244707761,3314.9129103828,3314.8186595371,3315.3834002209,3315.759439377,3314.7245742354,3314.9129635095,3315.7591220404,13.7942520209,13.7052950363,13.4162750474,13.4732039634,13.346527604,13.1705331403,15.348751298,15.2483742903,14.5625254205,14.7476997079,14.8496885535,14.2019409054,14.0235639805,14.0309282608,11.5600833872,11.6839899933,11.5265248029,11.8129602273,11.7231952858,11.7471850243,11.7223514945,11.882873712,12.6737385808,12.6836723079,12.5120977426,12.5644912473,12.5651889774,12.46452939,12.320151454,12.4499964006,3316.003534212,3316.4715499146,3315.3464981075,3317.0324824822,3315.0642491583,3315.158338103,2.4912104263,2.4963585945,2.5290542716,2.4911088405,2.4992509895,2.4863579552,2.5147866625,2.5339995491,2.4617733241,2.4922105424,2.3983312988,2.4816918085,2.546302052,2.5517453828,2.514095646,2.5036570798,2.4928066667,2.5333169483,2.5425245763,2.4842862202,2.512118629,2.5477635512,2.528917408,2.3114988897,2.5037260878,2.399663621,2.4875477123,2.1730355629,2.5134800846,2.7061467371,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0692142238,5.0000817871
4/17/2014 4:55:39.367 PM,2,3311.2545856092,3315.3296356969,3315.7049282192,3313.7257012965,3312.6828322822,3314.2926504471,3314.3871948373,3314.3872777171,3315.1408052254,3311.5406766358,3313.1575399025,3312.3979483984,3313.7257013658,3312.9677070319,3313.2522105084,3313.1573451136,3311.8268750618,3315.5172144525,3314.6702370063,3313.5364190816,3314.6701188689,3313.4417297475,3314.8583312952,3314.7643503812,3315.7049282192,3314.5758490981,3315.1412028313,3314.2928281508,3314.3870498474,3313.820279014,3312.9677543361,3314.1038674558,3314.7241784316,3314.912618276,3314.8183673114,3315.3831087089,3315.7591483421,3314.7242818911,3314.9126714027,3315.7588310052,13.7934758313,13.7081047365,13.416414436,13.4797527544,13.3449111758,13.1738769479,15.3428707832,15.2338758669,14.5566398374,14.7495161155,14.8480737594,14.1924698794,14.0244656341,14.0264925361,11.5751888348,11.6906216964,11.5170386583,11.8031716837,11.7252445873,11.7487760177,11.7171416147,11.8869849238,12.6754634005,12.6807392831,12.5126772479,12.5732407642,12.5591242577,12.461901084,12.3192036171,12.4527899575,3316.0036795443,3316.4716949484,3315.3466438569,3317.0326271566,3315.0643950862,3315.1584839713,2.4911567141,2.4963935428,2.5289489909,2.491126692,2.499210858,2.4863134006,2.5147988698,2.5340219805,2.461738685,2.4922488446,2.3965052795,2.4817034044,2.5510940112,2.5492133478,2.5140462017,2.5036752373,2.4928701522,2.5332311879,2.54238602,2.4842351009,2.5121367832,2.5478137562,2.5290014899,2.3111188835,2.5036651996,2.4010125983,2.4875168888,2.1734685769,2.5136499308,2.7057020543,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0694087643,5.0000817871
4/17/2014 4:55:40.367 PM,3,3311.2549497727,3315.3299936302,3315.7052855683,3313.7260617067,3312.6831942855,3314.2930099855,3314.3875542299,3314.3876371096,3315.141163452,3311.5410403686,3313.1579011824,3312.3983108345,3313.726061776,3312.9680686014,3313.2525716436,3313.1577063938,3311.8272383627,3315.517572094,3314.6705959619,3313.536779782,3314.6704778247,3313.4420905928,3314.8586899598,3314.7647091912,3315.7052855683,3314.5762081996,3315.1415610573,3314.293187689,3314.3874092403,3313.820639279,3312.9681159055,3314.104227285,3314.7249624481,3314.9134016551,3314.8191510094,3315.3838904927,3315.7599288464,3314.7250659071,3314.9134547817,3315.7596115105,13.7992352644,13.7160798283,13.4192784242,13.4788767119,13.3433477532,13.1697200248,15.3259954317,15.2490866862,14.5666696817,14.7577139448,14.8535272166,14.1984585838,14.0386142793,14.0248552642,11.5857664949,11.7022716369,11.5380861914,11.7977132448,11.7408698902,11.7453012625,11.7254338687,11.8694559723,12.6756461196,12.6810747414,12.5100340587,12.5683075617,12.5585432084,12.462236423,12.3147279942,12.4485441164,3316.0039900249,3316.4720047912,3315.3469552285,3317.0329362319,3315.0647068392,3315.1587955973,2.4911962353,2.4964590138,2.5289793545,2.4911704817,2.4993112632,2.486319504,2.5148452576,2.5340512788,2.4617983497,2.4923013386,2.3936373901,2.4817200353,2.5550305304,2.5482273618,2.5140259051,2.5036515868,2.4928461925,2.5332053987,2.5424467529,2.4842538701,2.5121041362,2.5478125354,2.5289416712,2.3107736731,2.5036883951,2.4031129067,2.487527265,2.1752575441,2.514079506,2.7055392278,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0703410326,5.0000817871
4/17/2014 4:55:41.367 PM,4,3311.2541202745,3315.3291783227,3315.7044715917,3313.7252407576,3312.6823697076,3314.292191022,3314.3867355985,3314.3868184785,3315.1403474764,3311.5402118514,3313.1570782524,3312.3974852707,3313.7252408269,3312.9672450117,3313.2517490431,3313.1568834631,3311.8264108293,3315.5167574512,3314.669778326,3313.5359581719,3314.6696601884,3313.4412686525,3314.8578729868,3314.7638918869,3315.7044715917,3314.5753902314,3315.1407450832,3314.2923687261,3314.3865906084,3313.8198186605,3312.967292316,3314.1034076593,3314.7257398278,3314.914178403,3314.8199280734,3315.3846656588,3315.7607027437,3314.7258432865,3314.9142315294,3315.760385409,13.8095647967,13.7194710729,13.41938873,13.4849389331,13.3423132639,13.180894858,15.2904465145,15.2465284477,14.5715845211,14.7514198258,14.8577549736,14.1986453662,14.0645021022,14.0317515984,11.5773253019,11.7507321193,11.5408706206,11.8212684407,11.7672619886,11.7462520565,11.7498443548,11.8856839524,12.6816247971,12.6971319087,12.51234814,12.5806239528,12.5655922191,12.4693623223,12.3072672375,12.4516214588,3316.0047497337,3316.4727629398,3315.3477171176,3317.0336925024,3315.0654696612,3315.1595581086,2.491215767,2.4964272703,2.5289486858,2.4913493021,2.4993799293,2.4863005835,2.5148487672,2.534025185,2.4617167113,2.4923149198,2.3943630981,2.4817246126,2.5585279634,2.5477420755,2.5140117128,2.5036499084,2.492845582,2.5332934481,2.5424382076,2.4842207569,2.512125494,2.5479671178,2.5289845514,2.3102120575,2.5036952622,2.403641265,2.4874958312,2.1790487815,2.5142232573,2.7060992779,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0714884398,5.0000817871
4/17/2014 4:55:42.367 PM,5,3311.2543225975,3315.3293771847,3315.704670129,3313.7254409955,3312.6825708306,3314.2923907757,3314.3869352712,3314.3870181511,3315.1405465013,3311.5404139352,3313.1572789735,3312.3976866342,3313.7254410648,3312.9674458936,3313.2519496838,3313.1570841844,3311.8266126731,3315.5169561511,3314.6699777559,3313.536158571,3314.6698596183,3313.4414691322,3314.858072255,3314.7640912358,3315.704670129,3314.5755897423,3315.1409441077,3314.2925684796,3314.3867902812,3313.8200188178,3312.9674931979,3314.1036075745,3314.7253611067,3314.9137999897,3314.8195495061,3315.3842880161,3315.7603257192,3314.7254645655,3314.9138531162,3315.7600083839,13.8058953985,13.7167155318,13.4193800287,13.478749456,13.3356635948,13.1763077081,15.3240397874,15.2456048704,14.5714995616,14.7546130833,14.8616351135,14.1924585138,14.0690690359,14.0287691099,11.5704436891,11.7275795815,11.5536956199,11.8072841823,11.762974833,11.7431872939,11.748383729,11.8562664496,12.6877499369,12.7017297252,12.5106845065,12.583618553,12.5637758277,12.4662475317,12.3178987389,12.4491183842,3316.0054103407,3316.47342219,3315.3483796205,3317.0343501194,3315.0661329754,3315.1602211525,2.4913118996,2.4963831652,2.52901811,2.4913987371,2.499124186,2.4862465687,2.5148550235,2.5340488373,2.4617299871,2.4922937086,2.3928799438,2.4817217137,2.5633632514,2.54703078,2.5139616581,2.5036862234,2.4928379516,2.5332997047,2.5422795087,2.4843229956,2.5120931522,2.5478691495,2.5288655245,2.309289665,2.5036514654,2.4039345939,2.4874805721,2.1814755213,2.5140846945,2.7064789521,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0728181809,5.0000817871
4/17/2014 4:55:43.367 PM,6,3311.2542281866,3315.329284389,3315.7045774848,3313.7253475576,3312.6824769797,3314.2922975638,3314.3868420971,3314.386924977,3315.1404536296,3311.5403196359,3313.1571853102,3312.397592671,3313.7253476269,3312.9673521552,3313.251856058,3313.156990521,3311.8265184858,3315.516863431,3314.6698846951,3313.5360650579,3314.6697665575,3313.4413755815,3314.8579792697,3314.7639982128,3315.7045774848,3314.5754966438,3315.1408512361,3314.2924752678,3314.386697107,3313.8199254176,3312.9673994595,3314.1035142872,3314.7243511708,3314.9127908747,3314.8185399803,3315.3832809561,3315.7593203073,3314.7244546301,3314.9128440014,3315.7590029707,13.7969744643,13.710689689,13.4126642652,13.4639482938,13.331161997,13.177835505,15.3350898484,15.2427862016,14.5639515713,14.7549963212,14.8471495166,14.1973417667,14.0307860679,14.0308290415,11.551737173,11.6954246794,11.5452942693,11.8148465397,11.7362368689,11.7504474278,11.719271927,11.8862116379,12.6894864112,12.6866683209,12.508831791,12.5613027116,12.5642144321,12.4537786582,12.3159698897,12.4434483922,3316.0050205826,3316.4730332324,3315.3479887439,3317.0339621254,3315.0657416201,3315.1598299567,2.4912145463,2.4964625239,2.5289663851,2.4911355415,2.4993481903,2.4864214303,2.5149282674,2.534001838,2.4617475355,2.4923031698,2.3920550537,2.4817055405,2.5687433542,2.5477109439,2.5140471173,2.5036644039,2.4928220802,2.5332946689,2.5423304755,2.4842045819,2.512109018,2.5480284625,2.5288696446,2.3087939782,2.503642767,2.4089614764,2.4874599722,2.1830337918,2.5147933791,2.7057119735,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0746305349,5.0000817871
4/17/2014 4:55:44.367 PM,7,3311.2547002583,3315.3297483847,3315.7050407231,3313.7258147641,3312.6829462512,3314.2927636402,3314.3873079845,3314.3873908643,3315.1409180055,3311.5407911493,3313.1576536438,3312.3980625037,3313.7258148334,3312.9678208644,3313.2523242042,3313.157458855,3311.8269894394,3315.5173270484,3314.6703500159,3313.5365326405,3314.6702318786,3313.441843352,3314.8584442132,3314.764463345,3315.7050407231,3314.5759621536,3315.1413156112,3314.2929413438,3314.3871629947,3313.8203924358,3312.9678681686,3314.1039807405,3314.7247298991,3314.9131692952,3314.8189185548,3315.3836586059,3315.7596973391,3314.7248333582,3314.9132224217,3315.759380003,13.794848173,13.6992530096,13.4090849012,13.4668566162,13.3339186164,13.1653302711,15.3341843384,15.2411939104,14.5653332579,14.7577500446,14.8487594168,14.191020334,14.0276683059,14.0380812052,11.5601457482,11.6929892135,11.5460671652,11.8025605425,11.7340301423,11.7562624649,11.722719345,11.8905742963,12.6913998836,12.6817864319,12.5047886146,12.5611547052,12.5680376932,12.4585949523,12.313988978,12.4460489996,3316.0049347022,3316.4729475284,3315.3479026169,3317.0338766337,3315.0656553877,3315.1597437594,2.4912247699,2.4963924745,2.5289184748,2.4913224485,2.499368485,2.486315079,2.5148414428,2.5340184708,2.4617225099,2.4922538804,2.3918283081,2.4817412435,2.5690811363,2.5473178314,2.5140196483,2.5036671504,2.4928599273,2.53325774,2.5425210667,2.4843223852,2.5122325881,2.5478570942,2.5288549952,2.3088205328,2.5036317797,2.4120737848,2.4875727373,2.180281605,2.5148013144,2.7067083132,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0767213488,5.0000817871
4/17/2014 4:55:45.367 PM,8,3311.2545653713,3315.329615805,3315.7049083598,3313.7256812671,3312.6828121642,3314.2926304661,3314.3871748644,3314.3872577442,3315.1407853172,3311.5406564218,3313.1575198248,3312.3979282564,3313.7256813364,3312.9676869381,3313.2521904387,3313.1573250359,3311.8268548718,3315.5171945768,3314.6702170577,3313.5363990361,3314.6700989203,3313.4417096939,3314.8583113628,3314.7643304406,3315.7049083598,3314.5758291414,3315.1411829232,3314.2928081698,3314.3870298745,3313.8202589926,3312.9677342423,3314.1038474587,3314.7242980174,3314.9127377645,3314.8184868486,3315.3832279541,3315.7592673921,3314.7244014768,3314.9127908912,3315.7589500553,13.7953290208,13.7078223229,13.418269374,13.4644383196,13.3315758646,13.1671084629,15.3404554531,15.244190583,14.5636025616,14.7628817395,14.8531292883,14.1975265882,14.0270052957,14.0375707204,11.5806333976,11.7022549968,11.5401319058,11.794565251,11.7406240618,11.7636203133,11.7301551827,11.872341608,12.6954711863,12.7001355888,12.5106176033,12.5682037059,12.566152709,12.4589248741,12.3151587784,12.4566102919,3316.0045977918,3316.4726113099,3315.3475647396,3317.0335412481,3315.0653170966,3315.1594056062,2.4912217181,2.4963642412,2.5289459393,2.4911645312,2.4992279482,2.4862647262,2.5148649419,2.5340399867,2.4617357857,2.4922341952,2.3903642273,2.4817496353,2.5683976387,2.5453692083,2.513991111,2.5036785942,2.4928704574,2.5331872395,2.5426535192,2.4843315409,2.5121157305,2.5478090256,2.5289338887,2.3090848584,2.5036011066,2.4119283413,2.4874889646,2.1768718105,2.5139076759,2.7078387903,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.078878993,5.0000817871
4/17/2014 4:55:46.367 PM,9,3311.2540326089,3315.329092157,3315.7043855666,3313.7251539956,3312.682282562,3314.2921044699,3314.3866490815,3314.3867319615,3315.1402612401,3311.5401242895,3313.1569912811,3312.3973980209,3313.7251540649,3312.9671579706,3313.2516621065,3313.1567964917,3311.8263233713,3315.5166713557,3314.6696919142,3313.53587134,3314.6695737765,3313.4411817857,3314.8577866451,3314.7638055101,3315.7043855666,3314.5753037845,3315.140658847,3314.2922821741,3314.3865040913,3313.8197319334,3312.9672052749,3314.1033210372,3314.7242980146,3314.9127377617,3314.8184868457,3315.3832279513,3315.7592673892,3314.724401474,3314.9127908884,3315.7589500525,13.7968542069,13.7108745571,13.4208649474,13.4651251296,13.3309652283,13.1682531795,15.3319978859,15.2445718492,14.5629924408,14.7550287086,14.8615168083,14.1995095726,14.0319624196,14.0368844439,11.5625360959,11.6959151901,11.5397500254,11.8227442861,11.738102759,11.7572026045,11.7232777346,11.891438097,12.7026460197,12.6928795648,12.5141284702,12.5652234713,12.5669141283,12.4589988161,12.3121781218,12.450957676,3316.0043203464,3316.4723344345,3315.347286498,3317.0332650586,3315.0650385143,3315.1591271373,2.4912070693,2.4963708035,2.5288208231,2.4910684075,2.4994954411,2.4864176157,2.5148245052,2.5340172501,2.4616977895,2.4922953872,2.3894381714,2.4817597054,2.5664804888,2.5437018376,2.5139390724,2.5036886648,2.4928271163,2.5332223372,2.5425390729,2.484242578,2.5121660739,2.5479910758,2.5289132878,2.3094935558,2.503737533,2.4123700135,2.4876276702,2.1675290531,2.5134451387,2.7081966425,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0812349922,5.0000817871
