Day of the Week ,Date Time ,Outside Temperature TX1 (°F),Outside Humidity TX1 (%),Wind Speed TX1 (mph),High Wind Speed TX1 (mph),Dominant Wind Dir TX1,Rain Amount TX1 (in),Outside Temperature TX2 (°F),Outside Humidity TX2 (%),Wind Speed TX2 (mph),High Wind Speed TX2 (mph),Dominant Wind Dir TX2,Rain Amount TX2 (in),Inside Temperature (°F),Inside Humidity (%),Barometric Pressure (in)
Mon, 06-30-2014 00:00:00,69.1,75,0.1,1.0,WSW,0.00,68.9,75,0.1,1.0,WSW,0.00,78.8,53,30.10
Mon, 06-30-2014 00:01:00,69.0,75,0.1,1.0,WSW,0.00,68.8,75,0.1,1.0,WSW,0.00,78.7,53,30.10
Mon, 06-30-2014 00:02:00,69.0,75,0.0,0.0,,0.00,68.8,75,0.0,0.0,,0.00,78.7,53,30.10
Mon, 06-30-2014 00:03:00,68.9,75,0.0,0.0,,0.00,68.8,75,0.0,0.0,,0.00,78.7,53,30.10
Mon, 06-30-2014 00:04:00,68.9,75,0.0,0.0,,0.00,68.7,76,0.0,0.0,,0.00,78.6,53,30.10
Mon, 06-30-2014 00:05:00,68.8,75,0.0,0.0,,0.00,68.7,77,0.0,0.0,,0.00,78.6,53,30.10
Mon, 06-30-2014 00:06:00,68.8,75,0.0,0.0,,0.00,68.7,76,0.0,0.0,,0.00,78.6,53,30.10
Mon, 06-30-2014 00:07:00,68.7,75,0.0,0.0,,0.00,68.7,77,0.0,0.0,,0.00,78.6,53,30.10
Mon, 06-30-2014 00:08:00,68.7,76,0.0,0.0,,0.00,68.6,77,0.0,0.0,,0.00,78.5,53,30.10
Mon, 06-30-2014 00:09:00,68.6,76,0.0,0.0,,0.00,68.6,77,0.1,1.0,WSW,0.00,78.5,53,30.10
Mon, 06-30-2014 00:10:00,68.6,77,0.0,0.0,,0.00,68.6,78,0.4,1.0,WSW,0.00,78.5,53,30.10
Mon, 06-30-2014 00:11:00,68.5,77,0.4,1.0,SW,0.00,68.5,77,0.9,3.0,SW,0.00,78.4,53,30.10
Mon, 06-30-2014 00:12:00,68.5,76,0.5,1.0,SW,0.00,68.5,76,0.8,2.0,SW,0.00,78.4,53,30.10
Mon, 06-30-2014 00:13:00,68.5,77,0.1,1.0,SW,0.00,68.4,77,0.3,1.0,SW,0.00,78.4,53,30.10
Mon, 06-30-2014 00:14:00,68.4,77,0.0,0.0,,0.00,68.3,77,0.1,1.0,SW,0.00,78.4,53,30.10
Mon, 06-30-2014 00:15:00,68.4,78,0.1,1.0,SW,0.00,68.3,77,0.0,0.0,,0.00,78.4,53,30.10
Mon, 06-30-2014 00:16:00,68.4,77,0.1,1.0,SW,0.00,68.2,77,0.0,0.0,,0.00,78.3,53,30.10
Mon, 06-30-2014 00:17:00,68.4,77,0.1,1.0,,0.00,68.2,77,0.0,0.0,,0.00,78.3,53,30.10
Mon, 06-30-2014 00:18:00,68.3,77,0.1,1.0,SW,0.00,68.1,77,0.1,1.0,SW,0.00,78.3,53,30.10
Mon, 06-30-2014 00:19:00,68.3,77,0.6,1.0,SW,0.00,68.1,77,0.1,1.0,SW,0.00,78.2,53,30.10
Mon, 06-30-2014 00:20:00,68.3,78,0.1,1.0,SW,0.00,68.1,78,0.0,0.0,,0.00,78.2,53,30.10
Mon, 06-30-2014 00:21:00,68.3,78,0.6,3.0,SSW,0.00,68.1,77,0.9,2.0,SSW,0.00,78.2,53,30.09
Mon, 06-30-2014 00:22:00,68.3,77,1.4,2.0,SSW,0.00,68.2,78,1.3,2.0,SW,0.00,78.1,53,30.10
Mon, 06-30-2014 00:23:00,68.3,78,0.2,3.0,S,0.00,68.2,78,0.8,2.0,WSW,0.00,78.1,53,30.09
Mon, 06-30-2014 00:24:00,68.3,78,0.2,1.0,WSW,0.00,68.3,77,0.3,1.0,WSW,0.00,78.1,53,30.10
Mon, 06-30-2014 00:25:00,68.4,78,0.2,2.0,SSW,0.00,68.3,78,0.6,2.0,SSW,0.00,78.1,53,30.09
Mon, 06-30-2014 00:26:00,68.4,78,0.4,2.0,SSW,0.00,68.3,77,0.6,2.0,SW,0.00,78.0,53,30.09
Mon, 06-30-2014 00:27:00,68.4,78,0.1,1.0,SSW,0.00,68.4,78,0.4,1.0,S,0.00,78.0,53,30.09
Mon, 06-30-2014 00:28:00,68.4,78,0.7,2.0,SSW,0.00,68.4,77,0.5,1.0,S,0.00,78.0,53,30.09
Mon, 06-30-2014 00:29:00,68.5,78,1.1,2.0,SSW,0.00,68.5,77,1.1,2.0,S,0.00,77.9,53,30.09
Mon, 06-30-2014 00:30:00,68.5,78,0.2,1.0,SSW,0.00,68.5,77,0.4,1.0,S,0.00,77.9,53,30.10
Mon, 06-30-2014 00:31:00,68.5,78,0.0,0.0,,0.00,68.5,78,1.1,2.0,WSW,0.00,77.9,53,30.10
Mon, 06-30-2014 00:32:00,68.5,78,0.4,2.0,WNW,0.00,68.5,78,1.3,3.0,WSW,0.00,77.9,53,30.10
Mon, 06-30-2014 00:33:00,68.5,78,0.3,1.0,W,0.00,68.6,78,1.3,3.0,WSW,0.00,77.8,53,30.10
Mon, 06-30-2014 00:34:00,68.5,78,0.1,1.0,SSW,0.00,68.6,78,0.9,2.0,WSW,0.00,77.8,53,30.10
Mon, 06-30-2014 00:35:00,68.5,78,0.3,1.0,SSW,0.00,68.6,78,0.5,2.0,WSW,0.00,77.8,53,30.09
Mon, 06-30-2014 00:36:00,68.5,78,0.0,0.0,,0.00,68.6,78,1.0,2.0,WSW,0.00,77.8,53,30.10
Mon, 06-30-2014 00:37:00,68.5,78,0.1,1.0,SW,0.00,68.6,78,0.9,2.0,WSW,0.00,77.7,53,30.10
Mon, 06-30-2014 00:38:00,68.6,78,0.3,1.0,SW,0.00,68.6,78,0.6,1.0,WSW,0.00,77.7,53,30.10
Mon, 06-30-2014 00:39:00,68.6,78,0.7,2.0,SW,0.00,68.6,78,0.7,2.0,WSW,0.00,77.7,53,30.10
Mon, 06-30-2014 00:40:00,68.6,78,0.1,1.0,SW,0.00,68.6,78,1.0,2.0,WSW,0.00,77.7,53,30.10
Mon, 06-30-2014 00:41:00,68.6,78,0.2,1.0,SW,0.00,68.7,79,0.3,1.0,WSW,0.00,77.7,53,30.10
Mon, 06-30-2014 00:42:00,68.6,78,0.3,1.0,WSW,0.00,68.7,78,1.0,2.0,WSW,0.00,77.6,53,30.10
Mon, 06-30-2014 00:43:00,68.7,78,0.4,2.0,W,0.00,68.7,78,0.9,1.0,WSW,0.00,77.6,53,30.10
Mon, 06-30-2014 00:44:00,68.7,78,1.1,2.0,W,0.00,68.7,78,0.6,2.0,WSW,0.00,77.6,53,30.10
Mon, 06-30-2014 00:45:00,68.7,78,0.4,1.0,W,0.00,68.7,79,0.8,2.0,WSW,0.00,77.6,53,30.10
Mon, 06-30-2014 00:46:00,68.8,78,0.3,1.0,W,0.00,68.8,78,0.3,1.0,WSW,0.00,77.5,53,30.10
Mon, 06-30-2014 00:47:00,68.8,78,0.3,1.0,WSW,0.00,68.7,79,0.4,2.0,WSW,0.00,77.5,53,30.10
Mon, 06-30-2014 00:48:00,68.8,78,0.4,2.0,W,0.00,68.7,78,0.1,1.0,WSW,0.00,77.5,53,30.10
Mon, 06-30-2014 00:49:00,68.8,78,0.0,0.0,,0.00,68.7,78,0.1,1.0,WSW,0.00,77.5,53,30.10
Mon, 06-30-2014 00:50:00,68.9,78,0.0,0.0,,0.00,68.7,78,0.1,1.0,WSW,0.00,77.5,53,30.10
Mon, 06-30-2014 00:51:00,68.9,78,0.5,1.0,W,0.00,68.7,79,0.4,1.0,WSW,0.00,77.5,53,30.10
Mon, 06-30-2014 00:52:00,68.9,79,0.1,1.0,W,0.00,68.7,79,0.4,1.0,WSW,0.00,77.4,53,30.09
Mon, 06-30-2014 00:53:00,68.9,78,0.1,1.0,W,0.00,68.7,79,0.3,1.0,WSW,0.00,77.4,54,30.09
Mon, 06-30-2014 00:54:00,68.9,78,0.2,1.0,W,0.00,68.7,79,0.1,1.0,WSW,0.00,77.4,54,30.09
Mon, 06-30-2014 00:55:00,68.9,79,0.3,1.0,W,0.00,68.7,79,0.1,1.0,WSW,0.00,77.3,54,30.09
Mon, 06-30-2014 00:56:00,68.9,79,0.4,1.0,W,0.00,68.7,79,0.1,1.0,WSW,0.00,77.3,54,30.09
Mon, 06-30-2014 00:57:00,68.9,79,0.0,0.0,,0.00,68.7,79,0.0,0.0,,0.00,77.3,54,30.09
Mon, 06-30-2014 00:58:00,68.9,79,0.1,1.0,W,0.00,68.7,80,0.1,1.0,WSW,0.00,77.3,54,30.09
Mon, 06-30-2014 00:59:00,68.9,79,0.0,0.0,,0.00,68.7,79,0.0,0.0,,0.00,77.3,54,30.09
Mon, 06-30-2014 01:00:00,68.9,79,0.0,0.0,,0.00,68.7,79,0.0,0.0,,0.00,77.2,54,30.09
Mon, 06-30-2014 01:01:00,68.9,79,0.0,0.0,,0.00,68.6,80,0.0,0.0,,0.00,77.2,54,30.09
Mon, 06-30-2014 01:02:00,68.9,80,0.0,0.0,,0.00,68.6,80,0.0,0.0,,0.00,77.2,54,30.09
Mon, 06-30-2014 01:03:00,68.8,80,0.0,0.0,,0.00,68.6,80,0.0,0.0,,0.00,77.2,54,30.09
Mon, 06-30-2014 01:04:00,68.8,80,0.0,0.0,,0.00,68.6,81,0.0,0.0,,0.00,77.1,54,30.09
Mon, 06-30-2014 01:05:00,68.8,80,0.0,0.0,,0.00,68.5,81,0.0,0.0,,0.00,77.1,54,30.09
Mon, 06-30-2014 01:06:00,68.7,80,0.0,0.0,,0.00,68.5,81,0.1,1.0,WSW,0.00,77.1,54,30.09
Mon, 06-30-2014 01:07:00,68.7,80,0.1,1.0,,0.00,68.5,81,0.4,1.0,WSW,0.00,77.1,54,30.09
Mon, 06-30-2014 01:08:00,68.7,80,0.4,2.0,W,0.00,68.4,81,0.3,1.0,WSW,0.00,77.1,54,30.09
Mon, 06-30-2014 01:09:00,68.7,80,0.3,1.0,W,0.00,68.4,81,0.9,1.0,WSW,0.00,77.0,54,30.09
Mon, 06-30-2014 01:10:00,68.7,80,0.1,1.0,W,0.00,68.4,81,0.6,1.0,WSW,0.00,77.0,54,30.09
Mon, 06-30-2014 01:11:00,68.7,81,0.2,1.0,W,0.00,68.4,81,0.8,1.0,WSW,0.00,77.0,54,30.09
Mon, 06-30-2014 01:12:00,68.7,81,0.3,1.0,W,0.00,68.4,81,0.3,1.0,WSW,0.00,77.0,54,30.09
Mon, 06-30-2014 01:13:00,68.7,81,0.7,2.0,W,0.00,68.4,81,1.3,2.0,WSW,0.00,76.9,54,30.09
Mon, 06-30-2014 01:14:00,68.7,81,0.4,1.0,W,0.00,68.4,81,0.7,1.0,WSW,0.00,76.9,54,30.09
Mon, 06-30-2014 01:15:00,68.7,81,0.2,1.0,W,0.00,68.3,82,0.8,2.0,WSW,0.00,76.9,54,30.09
Mon, 06-30-2014 01:16:00,68.7,81,0.1,1.0,W,0.00,68.3,81,0.6,1.0,WSW,0.00,76.9,54,30.09
Mon, 06-30-2014 01:17:00,68.7,81,0.0,0.0,,0.00,68.3,82,0.1,1.0,WSW,0.00,76.9,54,30.09
Mon, 06-30-2014 01:18:00,68.7,81,0.0,0.0,,0.00,68.3,83,0.4,1.0,WSW,0.00,76.8,54,30.09
Mon, 06-30-2014 01:19:00,68.7,81,0.1,1.0,W,0.00,68.3,83,0.9,2.0,WSW,0.00,76.8,54,30.09
Mon, 06-30-2014 01:20:00,68.7,81,0.1,1.0,,0.00,68.2,82,0.9,2.0,WSW,0.00,76.8,54,30.09
Mon, 06-30-2014 01:21:00,68.7,81,0.3,1.0,W,0.00,68.2,82,0.5,1.0,WSW,0.00,76.8,54,30.09
Mon, 06-30-2014 01:22:00,68.7,81,0.9,2.0,W,0.00,68.1,82,0.3,1.0,WSW,0.00,76.8,54,30.09
Mon, 06-30-2014 01:23:00,68.7,82,0.0,0.0,,0.00,68.1,83,0.1,1.0,WSW,0.00,76.7,54,30.09
Mon, 06-30-2014 01:24:00,68.7,82,0.0,0.0,,0.00,68.1,83,0.0,0.0,,0.00,76.7,54,30.09
Mon, 06-30-2014 01:25:00,68.7,82,0.0,0.0,,0.00,68.1,83,0.0,0.0,,0.00,76.7,54,30.09
Mon, 06-30-2014 01:26:00,68.6,82,0.1,1.0,W,0.00,68.1,83,0.1,1.0,WSW,0.00,76.7,54,30.09
Mon, 06-30-2014 01:27:00,68.6,82,0.1,1.0,W,0.00,68.1,84,0.1,1.0,WSW,0.00,76.6,54,30.09
Mon, 06-30-2014 01:28:00,68.6,82,0.1,1.0,W,0.00,68.1,83,0.0,0.0,,0.00,76.6,54,30.09
Mon, 06-30-2014 01:29:00,68.6,82,0.0,0.0,,0.00,68.1,83,0.0,0.0,,0.00,76.6,54,30.09
Mon, 06-30-2014 01:30:00,68.5,83,0.0,0.0,,0.00,68.1,84,0.4,1.0,WSW,0.00,76.6,54,30.09
Mon, 06-30-2014 01:31:00,68.5,83,0.1,1.0,W,0.00,68.0,83,0.0,0.0,,0.00,76.6,54,30.09
Mon, 06-30-2014 01:32:00,68.5,83,0.1,1.0,W,0.00,68.1,84,0.1,1.0,WSW,0.00,76.6,54,30.08
Mon, 06-30-2014 01:33:00,68.5,83,0.0,0.0,,0.00,68.0,84,0.0,0.0,,0.00,76.6,54,30.09
Mon, 06-30-2014 01:34:00,68.5,83,0.5,1.0,W,0.00,68.0,84,0.2,1.0,WSW,0.00,76.5,54,30.08
Mon, 06-30-2014 01:35:00,68.5,83,0.2,1.0,W,0.00,68.0,84,0.1,1.0,WSW,0.00,76.5,55,30.08
Mon, 06-30-2014 01:36:00,68.4,83,0.0,0.0,,0.00,68.0,84,0.3,1.0,WSW,0.00,76.5,55,30.08
Mon, 06-30-2014 01:37:00,68.4,83,0.0,0.0,,0.00,68.0,84,0.0,0.0,,0.00,76.5,55,30.09
Mon, 06-30-2014 01:38:00,68.4,83,0.1,1.0,W,0.00,68.0,84,0.2,1.0,WSW,0.00,76.4,55,30.08
Mon, 06-30-2014 01:39:00,68.3,83,0.1,1.0,W,0.00,68.0,84,0.3,1.0,WSW,0.00,76.5,55,30.08
Mon, 06-30-2014 01:40:00,68.3,84,0.1,1.0,W,0.00,68.0,85,0.3,2.0,WSW,0.00,76.4,55,30.08
Mon, 06-30-2014 01:41:00,68.3,84,0.0,0.0,,0.00,68.0,84,0.2,1.0,WSW,0.00,76.4,55,30.08
Mon, 06-30-2014 01:42:00,68.3,84,0.2,1.0,W,0.00,68.0,84,0.3,1.0,WSW,0.00,76.4,55,30.08
Mon, 06-30-2014 01:43:00,68.3,84,0.0,0.0,,0.00,68.0,84,0.1,1.0,WSW,0.00,76.4,55,30.08
Mon, 06-30-2014 01:44:00,68.3,84,0.1,1.0,W,0.00,68.0,84,0.3,1.0,WSW,0.00,76.4,55,30.08
Mon, 06-30-2014 01:45:00,68.3,84,0.4,1.0,W,0.00,68.1,84,0.5,1.0,WSW,0.00,76.3,55,30.08
Mon, 06-30-2014 01:46:00,68.3,84,0.1,1.0,WNW,0.00,68.0,84,0.1,1.0,WSW,0.00,76.3,55,30.08
Mon, 06-30-2014 01:47:00,68.2,84,0.3,1.0,WSW,0.00,68.0,84,0.4,2.0,SW,0.00,76.3,55,30.08
Mon, 06-30-2014 01:48:00,68.2,84,0.4,1.0,SW,0.00,68.0,84,0.1,1.0,,0.00,76.3,55,30.08
Mon, 06-30-2014 01:49:00,68.2,84,0.7,2.0,SSW,0.00,68.1,84,0.5,2.0,SW,0.00,76.3,55,30.08
Mon, 06-30-2014 01:50:00,68.2,84,0.9,2.0,SSW,0.00,68.0,84,1.8,3.0,SW,0.00,76.2,55,30.08
Mon, 06-30-2014 01:51:00,68.2,84,0.3,1.0,SSW,0.00,68.0,84,1.1,2.0,SW,0.00,76.2,55,30.08
Mon, 06-30-2014 01:52:00,68.2,84,0.9,2.0,SSW,0.00,68.0,84,0.3,1.0,SW,0.00,76.2,55,30.08
Mon, 06-30-2014 01:53:00,68.1,84,0.9,2.0,SSW,0.00,68.0,84,0.6,1.0,SW,0.00,76.2,55,30.08
Mon, 06-30-2014 01:54:00,68.1,84,0.5,1.0,SSW,0.00,68.0,84,0.9,2.0,SW,0.00,76.2,55,30.08
Mon, 06-30-2014 01:55:00,68.1,84,0.9,2.0,SSW,0.00,68.0,84,0.1,1.0,SW,0.00,76.2,55,30.08
Mon, 06-30-2014 01:56:00,68.1,84,0.3,1.0,SSW,0.00,68.0,85,0.4,1.0,SW,0.00,76.1,55,30.08
Mon, 06-30-2014 01:57:00,68.1,84,0.8,2.0,SSW,0.00,68.0,84,0.3,2.0,SW,0.00,76.1,55,30.08
Mon, 06-30-2014 01:58:00,68.1,84,0.7,1.0,SSW,0.00,68.0,85,0.3,1.0,SW,0.00,76.1,55,30.08
Mon, 06-30-2014 01:59:00,68.1,84,0.1,1.0,SSW,0.00,68.0,85,0.0,0.0,,0.00,76.1,55,30.08
Mon, 06-30-2014 02:00:00,68.1,84,0.4,1.0,SSW,0.00,68.0,84,0.3,1.0,SW,0.00,76.1,55,30.08
Mon, 06-30-2014 02:01:00,68.1,84,0.3,1.0,SSW,0.00,68.0,84,0.1,1.0,SW,0.00,76.1,55,30.08
Mon, 06-30-2014 02:02:00,68.1,84,0.1,1.0,SSW,0.00,68.0,85,0.0,0.0,,0.00,76.0,55,30.08
Mon, 06-30-2014 02:03:00,68.0,85,0.3,2.0,SSW,0.00,68.0,85,0.1,1.0,SW,0.00,76.0,55,30.08
Mon, 06-30-2014 02:04:00,68.0,84,0.9,2.0,SSW,0.00,68.0,84,0.2,1.0,SW,0.00,76.0,55,30.08
Mon, 06-30-2014 02:05:00,68.0,84,0.0,0.0,,0.00,68.0,84,0.1,1.0,SW,0.00,76.0,55,30.08
Mon, 06-30-2014 02:06:00,68.0,84,0.6,1.0,SSW,0.00,68.0,84,0.0,0.0,,0.00,76.0,55,30.08
