Time,PPV_NOOYC,HOSE_DSXOXF,HOSE_DNXOXF,HOSE_DSXAXF,HOSE_DNXAXX,HOSE_IXXAXX,HOSE_IXAOXX,FIRE_FA2S1C1NCX1_1,FIRE_FA2S1C1NCX1_2,FIRE_FA2S1C1NCX1_3,Test_1_East_062514,Test_2_East_062514,Test_3_East_062514,Test_4_East_062514,Test_5_East_062614,Test_6_East_062614,Test_7_East_062714,Test_8_East_062714,Test_9_East_062714,Test_10_East_062714,Test_11_East_062714,Test_12_East_062914,Test_13_East_062914,Test_14_West_063014,Test_15_West_063014,Test_16_West_063014,Test_17_West_063014,Test_17b_West_063014,Test_18_West_063014,Test_19_West_063014,Test_20_West_063014,Test_21_East_070114,Test_22_West_070214,Test_23_West_070214,Test_24_West_070214,Test_25_West_070214,Test_26_East_070714,Test_27_West_070814,Test_28_East_070814,Test_29_West_071014
0,No PPV fan,All doors open,Rear door is closed,Rear door is closed,Rear door is closed,Rear door is closed,Rear door is closed,Rear door is closed,,,All vents closed,All vents closed,All vents closed,All vents closed,All vents closed,All vents closed,C doors opened,C doors opened,C doors opened,C doors opened,C doors opened,All vents closed,All vents closed,"All vents closed, fan on","All vents closed, fan on",,,,,,Note: Data lost,All vents closed,All exterior vents closed,All exterior vents closed,All vents closed,All vents closed,All vents closed,,,
60,,,Rear door opened,,,Fixed straight stream at Door AB,,,,,,,,,,,Fan at 1200 rpm,Fan at 1200 rpm,,,,,,,,,,,,,,,,,,,,,,
64,,Rear door opened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,Rear door opened,,Fixed narrow fog at Door AB,,Ignition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Electric PPV fan, 1600 rpm,,Rear door closed,,Rear door opened,Fixed wide fog at Door AB,,,,A door open,,,,,,Fan at 1400 rpm,,,Pilot lit,,,,Basement BC door opened,Basement BC door opened,,,,,,,,,,,Gas on,,,,
128,,Rear door closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All burners ignited,,,,
140,,,,,,,,,,,,,,,,,,,,Fan at 1200 rpm,,,,,,,,,,,,,,,,,,,,
150,,Fixed straight stream at Room C ceiling,Narrow fog at Room C ceiling,Rear door closed,,Water flow stopped,Fixed straight stream at Room B ceiling,,,,,,,,,,,,,,,,Ignition,,,,,,,,,,,,Gas on,,,,,
157,,,,,,,,,,,,,,,,,,,Pilot lit,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,Smoke out of C Doors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,Rear door opened,Rear door opened,,Rear door closed,,Straight stream rotated right at Room B ceiling,,,,BC door open,,,,,,Fan at 1600 rpm,,,Main gas value on,,Gas on,,,Basement CD door opened,,,,,,,,,,All burners ignited,,Ignition,,,
190,,,,,,,,Flames at ceiling,,,,,,,,,,,,All burners ignited (50%),,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,All burners ignited,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,Left burner ignited,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,Left burner ignited (50%),,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,Fan at 1200 rpm,,,,,,,,,,,,,,,,,,,,,
210,,,Rear door closed,Fixed straight stream at Room C ceiling,Fixed narrow fog stream at Room C ceiling,,Fixed straight stream at Room A,,,,,,,,,Center burner ignited,,,,,All burners ignited,,,,,,,,,,,,,,,,,,,
215,,Rear door closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,Right burner ignited,,,,,,,,,,,,,,,,,,Gas on,,,,,,
229,,Water flow stopped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All burners ignited,,,,,,
240,Electric PPV fan, 1800 rpm,,Water flow stopped,Hose rotated right,Hose rotated right,,Straight stream rotated right at Room A,,,CD door open,,Left burner ignited,Left burner ignited,,,Fan at 1800 rpm,,,,,,,,,,,,,,,,,,,Stairwell door opened,,,,
270,,Fixed straight stream at Door BC,,Hose fixed,Hose fixed,,Fixed narrow fog at Room B ceiling,,,,,,,,,,,,,,,,,Stairwell door opened,Stairewell door opened,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,Center burner ignited (50%),,,,,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,All burners ignited (50%),,,,,,,,,,,,,,,,,,,,,
285,,,,,,,,Second couch has ignited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,,Rear door opened,Narrow fog at Door BC,Hose rotated left,Hose rotated left,,Narrow fog rotated right at Room B Ceiling,,,,,,,,,,Fan at 2000 rpm,,,,,,,,,,,,,,,,,,Stairwell door opened,,,,,
315,,,,,,,,,,,,,,,,BC door opened,,,,,,,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,Smoke out of C Doors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,,Rear door closed,Rear door opened,Hose fixed, Rear door opened,Hose fixed,,Fixed narrow fog at Room A,,,BC door closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,Right burner ignited (50%),,,,,,,,,,,,,,,,,,,,,,
344,,Water flow stopped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC door opened,,,
360,Electric PPV fan, 2000 rpm,,Rear door closed,Hose rotated right,Rear door opened,,Narrow fog rotated right at Room A,,,,,,,,,Fan at 2200 rpm,,,,,,,,,,,,,,,,,1st floor BC door opened,,,,,,
371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basement BC door opened,,,,
380,,,,,,,,,,,,,,,,,,,,Fan at 2200 rpm,,,,,,,,,,,,,,,,,,,,
390,,,Water flow stopped,Hose fixed,Hose rotated right,,Fixed wide fog at Room B ceiling,"Fire is in decay stage, steady state",,,CD door closed,,,,,,,,,,,,,1st floor A door opened,1st floor A door opened,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,Roof vent opened,,,,,,,,,,,,,,,,,,,,,,,,
420,,Fixed straight stream at Room C ceiling,,Hose rotated left,Hose fixed,,Wide fog rotated right at Room B ceiling,,,,,,Center burner ignited,Center burnger ignited,,,Fan at 1200 rpm,,,,,,,,,,,,,,,,,,Basement BC door opened,,,,,
426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A side window opened,,,
450,,Rear door opened,Narrow fog at Room C ceiling,,Hose rotated left,Fixed straight stream at Door AB,Fixed wide fog at Room A,,,,,,,,,,,,,,,BC door opened,,,,,,,,,,,,,,,,,,
455,,,,Hose fixed, Rear door closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,,,,,,,,,,,,,,,,,,,Fan at 2200 rpm,,,,,,,,,,,,,,,,,,Roof vent opened,,,
480,Electric PPV fan, 2200 rpm,Rear door closed,Rear door opened,,Hose fixed,Fixed narrow fog at Door AB,Wide fog rotated right at Room A,,Ignition,,,,,,,Fan off,,,,,,BC door opened,,,,,,,,,Ignition,Gas on,,,1st floor BC door opened,,,,
482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basement BC door opened,,,,,,
495,,,,,,,,,,,,,,,,Right burner off,,,,,,,,,,,,,,,,,,,,,,,,
499,,Water flow stopped,,,Rear door closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,,,Rear door closed,,,Fixed wide fog at Door AB,Water flow stopped,,,,,,,,,Center burner off,,,,,,Roof vent opened,,Fan off,,,,,,,,,,,,,,,,
