TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in,Marker_Button
4/22/2014 4:49:14.356 PM,0,28.0903979673,27.8532169818,27.8085908307,27.0784990507,26.3592769442,26.202532608,26.0386776,25.2282484488,28.7155896339,28.464847968,27.6039849532,26.8823258576,26.4294881689,26.2384292009,26.0345334221,25.332054113,27.3372334216,27.5807060047,26.6773978466,26.7294055935,25.8742243652,25.948747469,25.6250375943,24.2901867337,25.6105288476,25.1480473913,25.0695668565,24.6868818185,24.5465284747,24.3990618125,23.896755798,23.6996143037,26.9358383554,26.4936714399,26.1630685359,25.9789564799,25.7944165832,25.3616397252,25.4474562009,25.1967427966,20.7222313092,20.7278224005,19.6691355797,19.103597593,18.4611097293,13.1202060281,23.5141231526,23.4075062089,22.9146812298,23.222777894,23.6241669376,22.9508452709,22.8870906558,23.0071139032,21.5341493065,21.9211045493,21.656827197,21.9964314997,21.801508179,21.6742553757,21.652009663,21.4023334823,22.9819200739,23.1756226339,22.8665931755,22.8696493924,23.0315626011,22.7975274376,22.8628639681,22.5571863746,3328.9750045843,3329.4148344076,3328.3573547162,3329.9418408538,3328.091960045,27.2092199988,2.4932386721,2.493646968,2.5287137114,2.4838235861,2.4919574226,2.4771836707,2.5554922674,2.5449223023,2.5425511889,2.5154070587,2.5234739685,2.4627987888,2.5127092113,2.5128548695,2.5142735843,2.5129212365,2.5032797886,2.5396235441,2.5459613219,2.4893300968,2.5075120568,2.539160804,2.5292018518,2.5165548095,2.5108935078,2.5068133808,2.4863542944,2.5384882301,2.5233387969,2.4955816475,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,-8.27973082814894E-006,-3.00084115087796E-006,-1.9139574834318E-005,-1.64901331976817E-005,-1.90013489278905E-005,-2.56504396224499E-005,4.44710599312393E-006,-2.84157797503673E-005,1.87338007633051E-005,-2.89088005521884E-005,-0.0368901876,0.0238913602,1.0183531727,-0.6191673718,0.0235262229,0.994381269,5.0000583482,4.999542671,-4.1786228526,5.0000817871,-0.0035794601
4/22/2014 4:49:15.356 PM,1,28.0911140763,27.8417898093,27.7305690366,27.1720750189,26.391393031,26.2072519502,26.0266313939,25.2200474713,28.7658748096,28.3970355115,27.4644180082,26.865997475,26.4299042584,26.2451105653,26.0440100212,25.3155442278,27.4801245361,27.5815005756,26.7075626649,26.7513307552,25.9079564429,25.9564140499,25.6126119493,24.2236581859,25.5838898368,25.117697765,25.04586248,24.6724754006,24.5594217329,24.443183154,23.9154030904,23.7060856784,26.9569047416,26.4880193508,26.1630036831,26.0025385508,25.8078052791,25.4011837563,25.4476935214,25.2292656031,20.7226971021,20.7361815246,19.6875345325,19.1061921016,18.4643907654,13.3238381612,23.5181452186,23.4167561444,22.9184796119,23.2264989214,23.6329600513,22.9546431144,22.8879344055,23.0072759897,21.542194905,21.9153542397,21.6714721717,22.0055369788,21.8102394707,21.6803335822,21.6588472091,21.3998412256,22.9814160178,23.1893567191,22.8629067406,22.877326418,23.0319675589,22.7955835022,22.8704663126,22.5632739768,3328.9746040998,3329.4144348446,3328.3569529437,3329.9414424001,3328.0915577214,27.2032853247,2.4932485905,2.493541665,2.5286885356,2.4837436357,2.4919616951,2.4771710062,2.5578775772,2.5442630917,2.5418210216,2.5169943895,2.5234405518,2.4631625328,2.5126768672,2.5115999922,2.5134151768,2.5125771588,2.5030917739,2.5397059473,2.5465031869,2.4896877796,2.5077630109,2.5393533835,2.5274246883,2.5149363494,2.510073271,2.5063358437,2.4881310695,2.5397312762,2.5256870395,2.4933267975,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,-9.1360967932285E-006,-3.13814450806099E-006,-1.96768689041546E-005,-1.65877711405674E-005,-1.93966380341012E-005,-2.60943455356306E-005,-1.69887384747617E-005,-2.07176450589302E-005,2.3157461951936E-005,-2.53026370512981E-005,-0.0376412076,0.0239180668,1.0183623297,-0.6191547079,0.0235344634,0.9940246294,5.0000583482,4.999542671,-4.1802370043,5.0000817871,-0.0035519937
4/22/2014 4:49:16.356 PM,2,28.0757251019,27.848178462,27.6963027711,27.2368438826,26.4205780951,26.2015659068,25.9990390579,25.2012000964,28.8260395256,28.3386470112,27.3708361158,26.856168778,26.4481478808,26.2688648874,26.0443639034,25.2648167643,27.4052440835,27.5258789907,26.6087906704,26.6849029181,25.855355102,25.9135002449,25.588715776,24.1001572478,25.5738905002,25.0683855197,25.0133237931,24.6677632263,24.5748236484,24.4923060895,23.9219599877,23.7350469177,26.9501551641,26.4944795153,26.177999297,26.0228278028,25.8151790676,25.4420431512,25.4255147798,25.2509315037,20.7250156819,20.7322018662,19.6800547839,19.1060069035,18.4631407428,13.0360017186,23.5169765571,23.4192221645,22.9225371119,23.2261630215,23.6295198225,22.9526406815,22.8925208159,23.005804658,21.5399636639,21.9066794115,21.6511179964,21.9986827636,21.8194577623,21.6884909947,21.6647308671,21.4026902631,22.9853284684,23.1864521483,22.866214045,22.870633815,23.0258806091,22.7954054183,22.8561982329,22.5649141512,3328.9742298694,3329.4140614755,3328.3565775098,3329.9410700677,3328.0911817725,27.2032589656,2.4932049494,2.4935502114,2.5286004965,2.4837263945,2.4919575752,2.4771720743,2.5527378388,2.5444262158,2.542334504,2.5151799919,2.5246488953,2.463386516,2.5126397936,2.5168296395,2.5145310302,2.5129392414,2.504082056,2.5406062792,2.5466515093,2.4891303499,2.5078162529,2.5401960331,2.5283460788,2.51562967,2.5107923326,2.5076037817,2.4910556375,2.5414120662,2.524095246,2.4902185959,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,-0.000010774,-3.31053650096857E-006,-2.14719195465629E-005,-1.80935312910079E-005,-1.97064592254556E-005,-2.59097661009404E-005,-0.0001003453,-5.451280744912E-005,2.44743366003625E-005,-2.20396997719391E-005,-0.035147217,0.023894565,1.0182329109,-0.6191507409,0.0235295802,0.9938680558,5.0000583482,4.999542671,-4.1807696636,5.0000817871,-0.0035623699
4/22/2014 4:49:17.356 PM,3,28.0989108365,27.8571431942,27.6677037816,27.2702453411,26.4506040879,26.2001196407,25.974630187,25.1992226128,28.9102397084,28.3133293291,27.2979172789,26.8156529025,26.4508534291,26.2855346645,26.0469189842,25.2168940296,27.562996831,27.520434588,26.6512862637,26.7593684275,25.8866192604,25.98023934,25.5782779144,24.1380528658,25.5521878896,25.0741192765,25.0094555128,24.6696421454,24.5868343181,24.5164130986,23.9836712196,23.7407106763,26.9438772027,26.5090375907,26.2354533148,26.0270441574,25.825065806,25.4815593113,25.3819631542,25.2668700291,20.7255321165,20.7370447195,19.6899948581,19.1066762858,18.4660923097,13.7105077328,23.5200652628,23.4295070886,22.9221441267,23.2274358719,23.6411646872,22.9566407092,22.8894772834,23.0049571737,21.543815005,21.9225081762,21.6677092247,22.012840637,21.8209602245,21.6935578483,21.6669924219,21.4030553162,22.9875645811,23.1895211394,22.8663291991,22.8609766718,23.0260714187,22.7905956521,22.8970669677,22.5728334185,3328.9735864583,3329.4134195452,3328.3559320296,3329.9404299196,3328.0905354067,27.2070704305,2.4931864858,2.4935236567,2.5285597575,2.4837167821,2.4919636788,2.4770539741,2.5531046687,2.5447437661,2.5428568368,2.514841223,2.5239979553,2.4635606066,2.5125564923,2.5162628616,2.5161501775,2.51510838,2.5056461492,2.5413569118,2.5458717486,2.4897187563,2.5083116013,2.5397608218,2.529186592,2.5180209619,2.511240983,2.5081425179,2.4896421828,2.548529028,2.5322342842,2.4931415384,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,-1.28928109466346E-005,-4.0275651440355E-006,-2.29097917448185E-005,-1.8702242841186E-005,-1.95431544595693E-005,-2.57831537614421E-005,-0.0001412742,-8.71905725372808E-005,9.13877435622988E-006,-7.95598381509888E-005,-0.0335162433,0.0238896815,1.0181927727,-0.6191827821,0.0235095893,0.9934171058,5.0000583482,4.999542671,-4.1808514469,5.0000817871,-0.0035646587
4/22/2014 4:49:18.356 PM,4,28.1363726198,27.8822918677,27.6422386605,27.2797026818,26.4992363039,26.201130548,25.9458809857,25.185795948,28.9639718122,28.3171247006,27.245016386,26.7904142984,26.4677911215,26.30194395,26.0474771965,25.1758883248,27.4617292235,27.3956027153,26.5029578854,26.648852126,25.7892741497,25.905891944,25.5103132079,24.0233750532,25.5307532561,25.0451954158,24.9905809539,24.6890322934,24.5899641933,24.5030601302,24.0079050344,23.7508056415,26.9092682454,26.5164683679,26.2977080052,26.0175570499,25.8322022654,25.5021492837,25.3510040686,25.266523834,20.7298877131,20.7350274744,19.6717144031,19.1043526426,18.4660482898,13.1276573701,23.51706969,23.4173461854,22.9197519391,23.2270135222,23.6315059961,22.9547789077,22.8838290652,23.0022636243,21.5405113995,21.8910048669,21.6709257347,21.9981695354,21.8197028781,21.6974576184,21.6529908963,21.4017980065,22.9854961477,23.1770017853,22.8708524308,22.8573172935,23.0220334961,22.7922392833,22.8565181329,22.5672035109,3328.9735601975,3329.4133933448,3328.3559056843,3329.9404037919,3328.0905090253,27.2042558059,2.4931816029,2.4935405967,2.5285679968,2.4837468398,2.4919607796,2.4771340808,2.5557663217,2.5449479382,2.5414167974,2.5137351882,2.5229196167,2.4637021982,2.5124275737,2.5084709634,2.5156584817,2.5157678494,2.5051910681,2.543167647,2.5488215634,2.4902441411,2.5083570629,2.5396642269,2.5305798174,2.5165541991,2.5111356875,2.5071987375,2.4909282237,2.5563896508,2.54033624,2.4950689042,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,-1.42422361037296E-005,-3.79414943682435E-006,-2.28731580582388E-005,-1.90653339412923E-005,-1.94225836511112E-005,-2.57999337100503E-005,-0.0001305242,-0.0001030265,-8.6367445076409E-007,-8.42933091083758E-005,-0.0330655092,0.0238892237,1.0174901263,-0.6191666089,0.0244563333,0.9931794986,5.0000583482,4.999542671,-4.181628388,5.0000817871,-0.0035948719
4/22/2014 4:49:19.356 PM,5,28.1522876004,27.9047186809,27.6861618533,27.2918695099,26.5765370585,26.2054574556,25.9221110876,25.1683565551,29.0015781526,28.3790542907,27.1985164749,26.7320543774,26.4866100851,26.3115541889,26.0375344531,25.1614781292,27.6559642606,27.3720104362,26.5611927166,26.7016216556,25.8295623461,25.9285689421,25.5072393458,24.0728848645,25.5082544665,25.0762899879,24.9751783455,24.6562338052,24.6002716356,24.4853915735,24.033721285,23.7449265996,26.8897333232,26.5565712442,26.3353236519,26.0189288276,25.8443823788,25.506620374,25.3379388287,25.2616214091,20.7207203759,20.7370884182,19.6904947432,19.0991970648,18.469330282,13.4769327132,23.5207141769,23.4219021768,22.921051507,23.2246020521,23.6365145527,22.9525944572,22.8902023244,23.0054546432,21.5528786018,21.9160324047,21.667070537,21.9912084875,21.8301792626,21.7013373008,21.6530787993,21.3945281423,22.9884522183,23.1796541293,22.8663080781,22.8614097432,23.0195351146,22.8022431714,22.8775779107,22.5776608519,3328.9733041484,3329.4131378849,3328.3556488117,3329.9401490413,3328.0902518004,27.2154991447,2.4932229552,2.4935494483,2.5285507552,2.4837843738,2.4919723765,2.4771023433,2.5556082369,2.5448798808,2.5421458965,2.5136976489,2.522441864,2.4630622896,2.5130328047,2.5107653912,2.517743687,2.516121845,2.5054338696,2.5416231964,2.5483566063,2.4908291905,2.5078209821,2.5386048873,2.5300100141,2.5162109726,2.5100749497,2.5048435595,2.4837394871,2.5510039821,2.5348054786,2.495751799,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,-0.00001521,-3.58056643676186E-006,-2.26365654990778E-005,-0.000019314,-1.97308786297003E-005,-2.55802689282702E-005,-9.43613626152524E-005,-9.89201912104918E-005,1.57780809556548E-006,-5.5009247887313E-005,-0.0340422014,0.023851987,1.01723953,-0.5215378228,0.0243119716,0.9925597665,5.0000583482,4.999542671,-4.1842941261,5.0000817871,-0.0035374975
4/22/2014 4:49:20.356 PM,6,28.1402890902,27.9089201465,27.7360703772,27.2993886188,26.6307703425,26.2036225807,25.875329291,25.1364303584,28.9810691408,28.4392013329,27.161921112,26.6676089772,26.4914929453,26.3248156048,26.0166713906,25.1407473748,28.0468269154,27.4645622157,26.7810070054,26.9066743157,25.9906619892,26.0627193629,25.5465781268,24.2952954713,25.4534343027,25.0674220881,24.994135811,24.652655926,24.6062975213,24.5106213796,24.0478416394,23.7630652678,26.9075847815,26.5974560845,26.3606586806,26.0117165488,25.8472947089,25.5059048203,25.3078938416,25.2303608163,20.7256157816,20.7343968991,19.7450915563,19.1042529818,18.4696750834,14.9526254558,23.5255227169,23.4215637007,22.9248794414,23.2300187662,23.6588883262,22.9578606278,22.8885007509,23.0028453867,21.5583009665,21.91296481,21.6754514928,21.9935979498,21.833783775,21.6918977952,21.6503124861,21.3806121896,22.9874229716,23.1862746305,22.8633084705,22.8668951402,23.0084300794,22.8002286189,22.991227842,22.5744343216,3328.9729955773,3329.412830024,3328.3553392483,3329.9398420351,3328.0899418123,27.1967440182,2.4932406558,2.493562573,2.5286444398,2.483840217,2.492008083,2.4770645024,2.5583045281,2.5441294184,2.5425057156,2.5144145572,2.5221612549,2.4641767132,2.5137666493,2.5115372712,2.5172095668,2.5156929305,2.5051712289,2.542133944,2.5461627474,2.4898141283,2.5074279986,2.5392129928,2.5263919008,2.5125290331,2.5084274563,2.5025210415,2.4854668225,2.5449375142,2.5291508042,2.496977042,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,-6.3822925133648E-006,4.65763499421983E-006,-2.25434548790209E-005,-1.9300275241361E-005,-1.44456038234926E-005,-2.60379038903121E-005,-5.66983122362869E-005,-8.54213601424016E-005,0.000008478,-0.000028294,-0.0377199411,0.0238797619,1.0183180709,-0.4116291689,0.0231042778,0.993290443,5.0000583482,4.999542671,-4.186454059,5.0000817871,-0.0035626751
4/22/2014 4:49:21.356 PM,7,28.128058586,27.9159807409,27.7751092268,27.3035826542,26.6502845067,26.2228440963,25.8283879185,25.1201460488,28.9561853399,28.5000919154,27.143718191,26.6546041425,26.4920672805,26.3170867386,25.9987464057,25.121596813,28.3712056012,27.6077936337,26.9997183784,27.1163621956,26.1333815649,26.2044735421,25.5997339891,24.5406520241,25.4274789323,25.0653507474,24.9897959427,24.6896083364,24.6095191357,24.533198156,24.0680060279,23.7945165267,26.9078902721,26.6316593165,26.4013595625,26.0231279286,25.829235397,25.5146003696,25.2914180708,25.2194770541,20.722509175,20.730605675,19.8010925389,19.0980256299,18.4732533577,16.7908522163,23.5164441884,23.4216434744,22.9221562918,23.2316883027,23.6967446384,22.957637118,22.885929581,23.0071638761,21.549738879,21.9060702396,21.6805355159,22.016868968,21.8281762279,21.6822701942,21.6413652609,21.391310776,22.9890277408,23.182652834,22.8688536309,22.8648636063,23.0123077286,22.7978180039,23.1609678326,22.5821004531,3328.9726673081,3329.4125025102,3328.3550099234,3329.9395154306,3328.0896120357,27.2143368321,2.4931971672,2.4935770712,2.5286563411,2.4837860522,2.4919488775,2.4770905943,2.5584130207,2.5448749978,2.5415086596,2.5198351654,2.5214337158,2.4630268917,2.5129372981,2.5105435024,2.5160175631,2.5136212933,2.5040025465,2.5395245076,2.5452688456,2.4870079054,2.5072453894,2.5383079303,2.5237478246,2.5116727219,2.508762113,2.5074926768,2.4912308125,2.546233352,2.5300360495,2.4981459749,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,1.23814337660612E-005,3.85974992970068E-006,-0.000003007,1.03862361744673E-005,-8.28886152830307E-006,-2.38214252241557E-005,-2.62705842709798E-005,-6.96526249921843E-005,1.58360661661302E-005,-1.16895223804243E-005,-0.0362186641,0.0239151673,1.0183466102,0.0844350422,0.0222059087,0.9925000977,5.0000583482,4.999542671,-4.1894841599,5.0000817871,-0.0035957874
4/22/2014 4:49:22.356 PM,8,28.1125674302,27.9230197054,27.8281524251,27.2755494291,26.6566468888,26.2449878901,25.7897328324,25.1411119481,28.8946728492,28.5221786835,27.1291881566,26.6460281553,26.4927704763,26.2959759057,25.9838952438,25.1037845026,28.184140433,27.563233434,26.8548247475,27.0298629818,26.0182999766,26.1481783438,25.5758848625,24.5022525589,25.4417886325,25.0698355255,24.9971548588,24.6925062824,24.6151381856,24.5506113169,24.0827027815,23.7888652452,26.9708747495,26.6588815152,26.4370411923,26.0512001338,25.8218729959,25.508069467,25.260696122,25.2056097521,20.7269537485,20.7286773981,19.7787991938,19.1016418918,18.4750471622,16.782508164,23.5202731638,23.4214608812,22.9300790582,23.2262053419,23.7036783089,22.9623778698,22.8902909227,23.0104639743,21.5456903955,21.9205938643,21.6722396001,22.0009982589,21.8260976033,21.6755648884,21.6401205322,21.3994713363,22.9911341202,23.1793062646,22.864141519,22.8661373002,23.0185054,22.8078810209,23.1666333574,22.5940568625,3328.9730809243,3329.4129151745,3328.3554248697,3329.9399269493,3328.0900275512,27.2111537343,2.4932441654,2.4935972161,2.5286136185,2.4837752192,2.4919552863,2.4771151604,2.5588695743,2.5451060267,2.542007035,2.5201446354,2.5221739197,2.4629191722,2.5131002391,2.5035305041,2.5125088511,2.51228969,2.5028964339,2.5384779862,2.5449337469,2.4878554183,2.5079183126,2.5392458015,2.5270209124,2.519482536,2.512226488,2.5101942942,2.4926366377,2.5501500078,2.5335103437,2.4983396271,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,5.24963022087098E-006,-2.96880370086859E-006,5.6583781729657E-006,1.23573021464725E-006,-1.56467332697778E-005,-2.41554987464463E-005,-5.91523089545241E-006,-5.23665497897583E-005,2.07495497906184E-005,-3.68853779405792E-006,-0.0349749493,0.0237335621,1.0183669082,0.8090192572,0.0209486192,0.9901995656,5.0000583482,4.999542671,-4.19224816,5.0000817871,-0.0035599284
4/22/2014 4:49:23.356 PM,9,28.1067765622,27.9198611816,27.8648892386,27.2536103394,26.6967228802,26.2733068477,25.7959369319,25.1776361159,28.8210141772,28.5208321038,27.1132100032,26.6586352194,26.4883262715,26.2890402948,25.9509814629,25.0429516509,27.8440321173,27.4345389693,26.635317384,26.8483615844,25.8560608079,26.0316167564,25.4909756734,24.3708745506,25.463339536,25.0470141142,25.0256724848,24.69289354,24.6187011368,24.5509228527,24.0884598244,23.7830473887,27.0397089651,26.6813141812,26.447245632,26.0412398831,25.8141000714,25.5011279044,25.2611613068,25.1247919889,20.7306823441,20.73855536,19.7361099696,19.0992220455,18.4730057498,15.8901143794,23.5138514341,23.425637711,22.9268335333,23.2278829067,23.6913505733,22.9571633722,22.8877279061,23.0124434154,21.5527511438,21.9015782919,21.6686116172,22.0058604776,21.8165546965,21.6743635049,21.6466561418,21.3938701959,22.9974510638,23.1859247731,22.8616708726,22.8774536432,23.0223229042,22.8118506957,23.082902246,22.5893131445,3328.9721683374,3329.4120046878,3328.354509348,3329.9390189904,3328.0891107736,27.1907369765,2.4932276855,2.4936239234,2.5285815765,2.4838370129,2.4919688669,2.4771285878,2.5565912311,2.5449631977,2.5416893321,2.5199309973,2.5232640076,2.4631933533,2.5135017939,2.505393668,2.5118581401,2.5104231261,2.5017376711,2.5387128355,2.5454264763,2.4883690532,2.5079997774,2.5396350805,2.5279775531,2.5168434006,2.5122972954,2.509966743,2.493283473,2.5443725209,2.5278898522,2.498569446,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,-7.81720161706318E-006,-8.79809400971693E-006,-1.51907687017412E-005,-1.71034215264325E-005,-1.82061920771731E-005,-2.48053403925458E-005,8.00906391623691E-006,-4.01102889455091E-005,2.3398558353386E-005,-1.24476709675404E-006,-0.0358486471,0.0238905972,1.0183624823,-0.5618078184,0.0234146707,0.9926140942,5.0000583482,4.999542671,-4.1947312589,5.0000817871,-0.0035800705
