TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/18/2014 10:40:23.435 AM,0,3304.1603667048771,3308.35346097656383,3308.73982454412225,3306.70259549139064,3305.6295412520617,3307.28606286689137,3307.38336931735284,3307.38345461938342,3308.15907305247674,3304.45461826205337,3306.11795721390444,3305.33645597882514,3306.7025955627032,3305.92263610711324,3306.21536800206013,3306.11775678913136,3304.74899909620535,3308.54656895622429,3307.67469325217416,3306.50781553401611,3307.67457165407358,3306.41037911613784,3307.86830183604752,3307.77156464726613,3308.73982454412225,3307.57754142543808,3308.15948235119412,3307.28624576011725,3307.38322009004878,3306.79992342848936,3305.92268477790594,3307.09177110083828,3307.65990968438427,3307.85393043558087,3307.75688701387252,3308.33839307487096,3308.72563921456549,3307.66001620551605,3307.85398513692189,3308.72531240580929,12.134010067334934,12.1709049449154722,12.0770146099704672,12.2140636005324463,12.1220198096264351,11.8751758356441606,13.1464498003513146,13.2889544928883865,12.8068654404543221,13.179639417262317,13.4177942319436347,12.9519114276369702,12.8795488940531637,12.9525292796068641,10.5877723837188462,10.5011558340688502,10.2095804090201465,10.053241482674844,9.04910549024902977,8.52202734394922956,8.97959585444571573,9.22910605936193384,12.5194139314811075,12.3145823419763865,11.4909629940688553,11.0246275974361367,10.6522542049761117,10.4981215972760857,10.1905784552980201,10.4208570680653061,3308.82956001721095,3309.31188735513569,3308.15252596938717,3309.89004682844461,3307.86171971656767,3307.95865905660639,2.4908802183840244,2.49593799324498544,2.52935134632360992,2.49262896676210266,2.50074730145042467,2.48568231188917465,2.51835455616147241,2.53645861817741469,2.46692478016547634,2.50317643183895777,2.25886352539062463,2.49572890748892639,2.88295698041486359,2.37799363694964283,2.5137121476637887,2.49782545990133053,2.48649031821857802,2.53160357100303956,2.54087395576159825,2.48031493419613413,2.51299262069719686,2.55233967866881306,2.52867004564774111,3.44993136080919527,2.49786921552215846,2.32457706303330358,2.48324737957725583,2.56952471359435686,2.73654085246273082,2.72866227571139497,-5.00253208083902478,5.00029275891706071,-5.00091408392384196,-5.00065637306995114,4.99991771110885352,0.049990657825835505,-0.0500093732425170232,-0.0500609584544687222,-0.0499906267574829685,0.0499875338941330877,-0.0499890655753069471,-0.0500078137208938914,-0.0500547097258261242,-0.0500296884277633622,-0.0499953138179886902,-5.00063279766880519,-5.00154709255989171,5.00055064035444196,4.99935526994195722,4.99961300082820248,5.00076156385513926,5.00005834824183814,4.99954267101613503,0.0341092104569317087,0.0276799011230468746
4/18/2014 10:40:24.435 AM,1,3304.16101974268895,3308.35410344310184,3308.74046601915688,3306.70324216089602,3305.63019062475405,3307.28670805710589,3307.38401426020982,3307.38409956202303,3308.15971601672708,3304.45527056909395,3306.11860535897767,3305.33710608596766,3306.70324223220814,3305.92328474367468,3306.21601590174123,3306.11840493470936,3304.74965067051061,3308.54721092757563,3307.67533745334776,3306.50846269586736,3307.67521585555687,3306.41102652400104,3307.86894554337914,3307.77220860144098,3308.74046601915688,3307.57818587413794,3308.16012531439719,3307.28689094986748,3307.38386503328456,3306.80056985169994,3305.92333341434505,3307.09241678439411,3307.66083260027608,3307.85485264259341,3307.75780957557935,3308.33931350713692,3308.72655822336901,3307.66093912101905,3307.85490734373388,3308.72623141581652,12.132005935503674,12.1701213072838179,12.0688195192442222,12.2150366745542609,12.1139791326708241,11.860646812623143,13.1457434066315226,13.2954996444917643,12.7966151773512848,13.1737427628371648,13.4146450692750125,12.9515864941922931,12.876095035368273,12.9395395629072478,10.5718620650524091,10.491123655047426,10.2051267569548774,10.0501645691889649,9.04740248826592363,8.53187820679306518,8.97391340997394948,9.21837810016881498,12.4969473474603596,12.3087627056251456,11.471995164074789,11.017428444167054,10.6390890036504864,10.4930598316813448,10.1751197030858123,10.4180898884465911,3308.83048409040566,3309.31280963726294,3308.15345254524254,3309.89096695463877,3307.86264736332168,3307.95958634665021,2.49090615893341249,2.49586687562021892,2.52935256696951738,2.49261172554273536,2.50072822751705104,2.4857378525796272,2.51836050722868521,2.53646899464037379,2.46690417983460186,2.50297973221749981,2.26783966064453102,2.49557129528001953,2.87860487026238498,2.37516051075321322,2.51472422915771387,2.49834897668414024,2.4875718606913475,2.53241234369018153,2.54122812885760263,2.48123706604411165,2.51334670250220693,2.5523967505527736,2.52846083293942581,3.44886795392212786,2.49781702557075658,2.32959921440348205,2.48241499312483871,2.5690386027544938,2.7362200826444667,2.72859574115346781,-5.00253208083902478,5.00029275891706071,-5.00091408392384196,-5.00065637306995114,4.99991771110885352,0.049990657825835505,-0.0500093732425170232,-0.0500609584544687222,-0.0499906267574829685,0.0499875338941330877,-0.0499890655753069471,-0.0500078137208938914,-0.0500547097258261242,-0.0500296884277633622,-0.0499953138179886902,-5.00063279766880519,-5.00154709255989171,5.00055064035444196,4.99935526994195722,4.99961300082820248,5.00076156385513926,5.00005834824183814,4.99954267101613503,0.0343422012444729169,0.0278614807128906225
4/18/2014 10:40:25.435 AM,2,3304.16212705562475,3308.35519283087251,3308.74155372568611,3306.70433867542169,3305.63129172293565,3307.28780206327564,3307.38510784694654,3307.38519314839231,3308.16080624844289,3304.4563766428987,3306.11970437554873,3305.33820842951809,3306.70433874673426,3305.92438459363666,3306.21711450221255,3306.11950395213625,3304.75075550185374,3308.54829947568396,3307.67642978245066,3306.50956004523959,3307.67630818518546,3306.41212429052348,3307.87003703510026,3307.77330051172066,3308.74155372568611,3307.57927862295855,3308.16121554433766,3307.28798495524915,3307.38495862066474,3306.80166594859656,3305.9244332640992,3307.09351162709617,3307.66193028885072,3307.85594948803373,3307.75890684289015,3308.34040824171234,3308.72765126489321,3307.66203680913122,3307.85600418893636,3308.72732445877136,12.1324328361374025,12.1676455179828942,12.06909315686495,12.2118741864292435,12.1111209007093645,11.8323596536042928,13.1527320482423367,13.2892081534249637,12.7965832145361418,13.169360767027678,13.4126288280497139,12.9456772906510054,12.8764451575778533,12.941492102776099,10.6020085470055587,10.5079069596461281,10.2031841779739167,10.0560951472644309,9.04660568707437562,8.53597843810706002,8.97518227034831284,9.20037197536859885,12.4870937033766971,12.3121203836919797,11.4662607263895371,11.0040518127864111,10.6357222480230291,10.4890811903008654,10.167165943382658,10.3926329398964903,3308.83170692158546,3309.31403009830955,3308.15467868821224,3309.89218456272146,3307.86387492342055,3307.96081343471132,2.49084237570021161,2.49592273195211733,2.52933334179647851,2.49267733372262867,2.50072136090103658,2.48573769999531269,2.5182744456413042,2.53665271907276901,2.46701069117497695,2.50300842075810026,2.27493743896484357,2.49566192611457005,2.87737076036182415,2.37291232248896389,2.51581948079853124,2.49843076187667501,2.48757353939421177,2.53193852497441263,2.54097009063901424,2.48076081691329264,2.51419720059050045,2.55344815504605815,2.52820965561055111,3.44684537477828412,2.49767754716262491,2.33391765106348092,2.48136699492956847,2.56788969672054312,2.73607297412648087,2.72758185215606152,-5.00253208083902478,5.00029275891706071,-5.00091408392384196,-5.00065637306995114,4.99991771110885352,0.049990657825835505,-0.0500093732425170232,-0.0500609584544687222,-0.0499906267574829685,0.0499875338941330877,-0.0499890655753069471,-0.0500078137208938914,-0.0500547097258261242,-0.0500296884277633622,-0.0499953138179886902,-5.00063279766880519,-5.00154709255989171,5.00055064035444196,4.99935526994195722,4.99961300082820248,5.00076156385513926,5.00005834824183814,4.99954267101613503,0.0345309436178772855,0.0280426025390624993
4/18/2014 10:40:26.435 AM,3,3304.1628652750569,3308.35591910016046,3308.74227887414281,3306.70506969589359,3305.63202579918652,3307.28853141150511,3307.38583691555277,3307.38592221675344,3308.16153308036291,3304.45711403624136,3306.12043706405484,3305.33894333601756,3306.70506976720571,3305.92511783773852,3306.21784691331868,3306.12023664121306,3304.75149206688638,3308.5490251851952,3307.67715801263239,3306.51029162227678,3307.67703641571734,3306.41285614566186,3307.8707647070255,3307.77402846268614,3308.74227887414281,3307.58000713295314,3308.16194237507352,3307.28871430295294,3307.38568768970071,3306.80239669064803,3305.92516650806328,3307.09424153301552,3307.66306991340525,3307.85708823723371,3307.76004603008232,3308.34154479938251,3308.72878606481344,3307.66317643320553,3307.85714293788987,3308.72845926017726,12.1396110163575148,12.1496232062675276,12.0679489499184811,12.2175273108518496,12.1155535373517864,11.8325147067604082,13.1496824195998467,13.2979124766436119,12.7958220802077758,13.1660045799744854,13.4055328953288839,12.94766416311443,12.868815516891944,12.9423340392795865,10.5988021863259014,10.5168516056164059,10.2073143509733377,10.0373706682886095,9.04668414155792888,8.55625759893480797,8.98750363958099463,9.22859774185170245,12.4720256396560654,12.3091941493874124,11.461421907052145,10.9951624535214769,10.6233127154957998,10.4856163837604708,10.1742518845184175,10.380913521897952,3308.83205432072418,3309.31437682411387,3308.15502702820185,3309.89253047802321,3307.86422366600481,3307.96116204319378,2.49092187585451219,2.49598347189773317,2.52929367080449374,2.49261355646868576,2.50073036379758884,2.48570275818730835,2.51826040722634126,2.53652057176508272,2.46697803583566433,2.50293746239970005,2.27803375244140582,2.49563064779624888,2.880483573354919,2.37289996142126025,2.51615063532835892,2.49879833749013702,2.48831094777976602,2.5325965302247817,2.54216719875541042,2.48118762525001157,2.51390581918267264,2.55343625235368154,2.52812557377081237,3.4443527478140945,2.49860201127254111,2.34010960795383527,2.48125667129893657,2.56772430307634636,2.73476212125355511,2.72446006901037618,-5.00253208083902478,5.00029275891706071,-5.00091408392384196,-5.00065637306995114,4.99991771110885352,0.049990657825835505,-0.0500093732425170232,-0.0500609584544687222,-0.0499906267574829685,0.0499875338941330877,-0.0499890655753069471,-0.0500078137208938914,-0.0500547097258261242,-0.0500296884277633622,-0.0499953138179886902,-5.00063279766880519,-5.00154709255989171,5.00055064035444196,4.99935526994195722,4.99961300082820248,5.00076156385513926,5.00005834824183814,4.99954267101613503,0.0344413787244347916,0.0279762268066406222
4/18/2014 10:40:27.435 AM,4,3304.16388740065986,3308.35692467948683,3308.74328290155699,3306.70608185375158,3305.63304218810344,3307.28954125396148,3307.38684637084134,3307.38693167170231,3308.1625394387147,3304.45813501803286,3306.12145153148867,3305.33996087450395,3306.70608192506324,3305.92613307445481,3306.21886099666107,3306.12125110943679,3304.75251190179233,3308.55002998945065,3307.67816630703009,3306.51130455076054,3307.67804471060026,3306.41386945920612,3307.87177222845639,3307.77503637047857,3308.74328290155699,3307.58101581478195,3308.1629487317864,3307.28972414468216,3307.38669714558273,3306.80340846300305,3305.92618174458812,3307.09525214765426,3307.66359427972065,3307.85761220077893,3307.76057019515747,3308.3420677545555,3308.72930821120599,3307.66370079929993,3307.8576669013214,3308.72898140725328,12.1347663483958126,12.1434777009760832,12.0692885102431582,12.218942662097243,12.1154413221785084,11.8382067673340572,13.1516309239140625,13.2834492348896287,12.7949464733503557,13.1646715492455968,13.4040470838100969,12.9398428649282344,12.8714513391669509,12.9406202443456859,10.5889878913359201,10.5052749425278442,10.2023864709140923,10.0448260142383798,9.05200369703480944,8.55767577525954514,8.98356544823800007,9.21823642784531749,12.4551060871377182,12.3105261151408278,11.4570994552184313,11.0019214397294736,10.6223524570829646,10.4849619215548273,10.1870533611022243,10.3675699445177578,3308.8327560523021,3309.31507719556066,3308.1557306602931,3309.89322921226039,3307.86492811133302,3307.96186621763718,2.49095788744072122,2.49578873780073307,2.52928924596308002,2.49255710291854493,2.50070686471167303,2.48559427073974826,2.51824346957350542,2.53629900376189532,2.46697162684383642,2.50300811556085989,2.28010665893554654,2.49572188893944968,2.88445869184411574,2.37278581230222318,2.51563177569637064,2.49848386121809662,2.49090408587731105,2.53650503868436106,2.54532942584222699,2.48186316350766445,2.5133564660677048,2.55348203193974621,2.52738470746966604,3.44213635025082265,2.49666594719817514,2.34439721607957763,2.4804047531387452,2.56810086351350319,2.7351999369569806,2.72471705111026052,-5.00253208083902478,5.00029275891706071,-5.00091408392384196,-5.00065637306995114,4.99991771110885352,0.049990657825835505,-0.0500093732425170232,-0.0500609584544687222,-0.0499906267574829685,0.0499875338941330877,-0.0499890655753069471,-0.0500078137208938914,-0.0500547097258261242,-0.0500296884277633622,-0.0499953138179886902,-5.00063279766880519,-5.00154709255989171,5.00055064035444196,4.99935526994195722,4.99961300082820248,5.00076156385513926,5.00005834824183814,4.99954267101613503,0.0340327675069918637,0.0275839233398437501
4/18/2014 10:40:28.435 AM,5,3304.16462559769752,3308.35765092645124,3308.74400802769696,3306.70681285187129,3305.63377624198437,3307.29027057984876,3307.3875754171072,3307.38766071772306,3308.16326624830708,3304.45887238898558,3306.12218419763303,3305.34069575862804,3306.70681292318295,3305.92686629619174,3306.21959338540682,3306.12198377615141,3304.75324844444003,3308.55075567664152,3307.67889451487644,3306.51203610544234,3307.67877291879676,3306.41460129198731,3307.87249987804989,3307.7757642991105,3308.74400802769696,3307.58174430243934,3308.16367554019507,3307.29045347004375,3307.38742619227787,3306.80413918270414,3305.92691496618636,3307.09598203122823,3307.66403474670914,3307.85805232944039,3307.76101049310409,3308.34250703618408,3308.72974681345931,3307.66414126610288,3307.85810702988737,3308.72942001008095,12.1300069147153184,12.1481861986343897,12.0714771877119347,12.2191449717742646,12.119692110809078,11.885068981965766,13.1487809628952643,13.2885369815046204,12.7977445300911299,13.1683847038271207,13.4123397307112153,12.9443197379267794,12.8669979379908454,12.938838722922835,10.5884265195933249,10.4894269432408578,10.1942563165367108,10.0418944652785775,9.05144139389605761,8.56445890827118994,8.98346194174279055,9.23090649063471424,12.4402142539648821,12.3202248704446919,11.458856761455241,11.00704164805102,10.62441633467194,10.4838146540466628,10.2135055335138016,10.3570210181718192,3308.83407609572714,3309.31639468033745,3308.15705427892089,3309.89454361715479,3307.86625325980549,3307.96319085652749,2.49103189430221006,2.49575272114956359,2.52934020792970671,2.49257998949292636,2.50068336562575677,2.48558297950048068,2.51823339853668449,2.53644229050775838,2.4669072317354721,2.50298751474713077,2.2813531494140622,2.49563080037341134,2.88838758270321394,2.37166064992967929,2.51519898572098288,2.49865963834831994,2.48869903336016041,2.53294064011336761,2.54382300757262047,2.48478169630998336,2.51400040372343358,2.55524958175770189,2.5246803547222072,3.44006127225951141,2.49492490873167805,2.35164054808128098,2.48169918655320032,2.5719718987043878,2.7359142678415167,2.7256633373343595,-5.00253208083902478,5.00029275891706071,-5.00091408392384196,-5.00065637306995114,4.99991771110885352,0.049990657825835505,-0.0500093732425170232,-0.0500609584544687222,-0.0499906267574829685,0.0499875338941330877,-0.0499890655753069471,-0.0500078137208938914,-0.0500547097258261242,-0.0500296884277633622,-0.0499953138179886902,-5.00063279766880519,-5.00154709255989171,5.00055064035444196,4.99935526994195722,4.99961300082820248,5.00076156385513926,5.00005834824183814,4.99954267101613503,0.0333391354702123333,0.0269505310058593718
4/18/2014 10:40:29.435 AM,6,3304.16519344245398,3308.35820957884107,3308.74456581791446,3306.70737515899736,3305.63434089969632,3307.29083160064146,3307.38813622280713,3307.38822152323473,3308.1638253334886,3304.45943959829219,3306.12274778785558,3305.34126105498944,3306.70737523030902,3305.92743031379313,3306.22015676224555,3306.12254736681279,3304.75381501658876,3308.55131389843654,3307.67945467563777,3306.5125988406935,3307.67933307982775,3306.41516424116116,3307.87305960938556,3307.77632424509101,3308.74456581791446,3307.58230467843986,3308.16423462446573,3307.29101449043264,3307.38798699830795,3306.80470127566195,3305.92747898368134,3307.09654348101094,3307.66488769505667,3307.85890462261841,3307.76186311410265,3308.3433576890834,3308.73059615074817,3307.66499421409116,3307.85895932288031,3308.73026934848167,12.1357327137044599,12.1530743336479183,12.0752972943743462,12.2164725545966846,12.1190047557385849,11.9124842897208776,13.1534359043691253,13.2831170300361006,12.7962178376666173,13.1641108436802057,13.4137898362031009,12.9423351161710425,12.8674562919379269,12.9394497531063397,10.5706259346562188,10.4925609043366084,10.2015189674655318,10.0431179836476971,9.05595495500195468,8.57402359336259856,8.99119026100127172,9.23029469627464038,12.4277412660865014,12.3216506875875016,11.4640280323986197,11.0118311976619321,10.6393756331477416,10.4855478452026514,10.2213550118009273,10.3608945946864495,3308.83527111279954,3309.31758738115058,3308.15825253250568,3309.8957335298528,3307.86745289830787,3307.96439003372188,2.49096002372125902,2.49587755852522663,2.52943816476376115,2.49263568015725445,2.5006993877297905,2.4856344004144435,2.518176024145097,2.5364288621439286,2.46696277633131267,2.50297393346993191,2.27880371093749989,2.49560608287307906,2.8933545355926511,2.3708599274329023,2.51416202948587752,2.49813398538510833,2.48690724696637044,2.53111052486112342,2.54242798368478207,2.48194174995507621,2.51477981085044577,2.55303079781976905,2.52568460624184521,3.43849241135264405,2.49804562366198413,2.35916774678455354,2.48328461189520055,2.57575504944964795,2.73633132964613868,2.72484722078437036,-5.00253208083902478,5.00029275891706071,-5.00091408392384196,-5.00065637306995114,4.99991771110885352,0.049990657825835505,-0.0500093732425170232,-0.0500609584544687222,-0.0499906267574829685,0.0499875338941330877,-0.0499890655753069471,-0.0500078137208938914,-0.0500547097258261242,-0.0500296884277633622,-0.0499953138179886902,-5.00063279766880519,-5.00154709255989171,5.00055064035444196,4.99935526994195722,4.99961300082820248,5.00076156385513926,5.00005834824183814,4.99954267101613503,0.032817004183397655,0.0264385986328124975
4/18/2014 10:40:30.435 AM,7,3304.16571867329912,3308.35872630682797,3308.74508174839911,3306.70789526758289,3305.63486318255309,3307.2913505193801,3307.38865494258652,3307.3887402428395,3308.16434246180324,3304.45996424135137,3306.1232690832935,3305.34178392859075,3306.7078953388941,3305.92795200455293,3306.22067786030584,3306.1230686626568,3304.75433907028218,3308.55183022812707,3307.67997279885457,3306.51311934529076,3307.67985120329376,3306.41568494363491,3307.87357733538738,3307.7768421696378,3308.74508174839911,3307.58282300075097,3308.16475175193818,3307.29153340879747,3307.38850571839248,3306.80522118614362,3305.92800067434245,3307.09706279656165,3307.66513240141057,3307.85914914101249,3307.76210772654394,3308.34360173690311,3308.73083982113621,3307.66523892034183,3307.85920384122164,3308.73051301918894,12.1334873081410155,12.1517440474820511,12.0708340310644235,12.2165934523763155,12.1174451077713261,11.917263451684617,13.1499703736623257,13.2830850734286407,12.790154337413604,13.1662924233557277,13.4195585360463685,12.9409294131292594,12.8676533922426106,12.9388838821728829,10.5474448511070538,10.4631026495746049,10.2027866405091085,10.0314675812217846,9.06219621421795551,8.5814137349192201,8.9950606638932058,9.24448919541291758,12.415971118711683,12.3342421628921066,11.4705143308336961,11.0142671468308872,10.6438767010751221,10.4860734876618142,10.2304430723492175,10.3546167534097773,3308.8348820446904,3309.31719906716989,3308.15786241065143,3309.89534612362786,3307.86706232555161,3307.96399961115821,2.4909356090865411,2.49585634532813971,2.52950835190342671,2.49263110284237843,2.50070228696766339,2.4856215833320312,2.51819326698086687,2.53643252442497324,2.46698185071175224,2.50298415757748627,2.2720484924316402,2.49564499004952767,2.89824840915925907,2.37239910927061759,2.51385513927413395,2.49783095293665003,2.48675509544310946,2.53101957608347483,2.5415163808948078,2.48059097862985789,2.51389666584001814,2.55124295238532417,2.52666596796845111,3.43763396362879847,2.49751182117659498,2.37084016241326534,2.48495579364164776,2.57996221212961574,2.73754482231732687,2.72482188881965515,-5.00253208083902478,5.00029275891706071,-5.00091408392384196,-5.00065637306995114,4.99991771110885352,0.049990657825835505,-0.0500093732425170232,-0.0500609584544687222,-0.0499906267574829685,0.0499875338941330877,-0.0499890655753069471,-0.0500078137208938914,-0.0500547097258261242,-0.0500296884277633622,-0.0499953138179886902,-5.00063279766880519,-5.00154709255989171,5.00055064035444196,4.99935526994195722,4.99961300082820248,5.00076156385513926,5.00005834824183814,4.99954267101613503,0.0327896922312235356,0.0263749694824218749
4/18/2014 10:40:31.435 AM,8,3304.16679756965777,3308.35978773771739,3308.74614154116307,3306.70896364245982,3305.63593602353648,3307.2924164502283,3307.38972046475828,3307.38980576465292,3308.16540471499502,3304.46104193035716,3306.1243398960496,3305.34285798300561,3306.70896371377102,3305.92902362932773,3306.22174826763375,3306.12413947624691,3304.75541554868959,3308.55289084088735,3307.68103709564502,3306.51418853360382,3307.68091550059625,3306.41675453840025,3307.87464081627058,3307.77790605834616,3308.74614154116307,3307.58388770649571,3308.1658140034001,3307.29259933887806,3307.38957124119133,3306.8062891541017,3305.92907229891534,3307.098129542489,3307.66569171206174,3307.85970802204383,3307.76266682253981,3308.34415954234191,3308.73139676387927,3307.66579823075744,3307.85976272213156,3308.73106996266142,12.1359228491245279,12.158839623130925,12.067235500687298,12.2112407336174034,12.1249236634214714,11.9364997269071367,13.1529391120098058,13.2844517787286609,12.7880855747512818,13.1616293028891249,13.4200853813060839,12.9366474071573005,12.8638300134785783,12.9364353389332614,10.5674546902862563,10.478075963208596,10.1916947136071556,10.0282498565507687,9.06218880650018832,8.58928751356235764,9.00270500474756119,9.24731174753827822,12.40124391151857,12.3282971361571647,11.4746527617717042,11.0280350816335968,10.6547446561730297,10.4887611784779633,10.2267852715205603,10.3462965706428651,3308.836028394418,3309.31834319491463,3308.15901186515884,3309.89648757673967,3307.8682131086075,3307.96514995168217,2.49102243363125675,2.49584917252049188,2.52950011254355278,2.49263918943199325,2.5006406400150003,2.48559640692015016,2.51831411942272076,2.53638476217635222,2.46690891028095072,2.50299682326296402,2.26614730834960909,2.4956146271941817,2.90222764694222723,2.37323020031644338,2.51375976066531237,2.49752425846464554,2.48645582850518076,2.53082028228547351,2.54152584178750551,2.48055221948880433,2.51306279632421292,2.55084085502105662,2.52767571303841709,3.43732370154478461,2.49791163893294676,2.37834782620374163,2.48384660626811549,2.58311369342194696,2.73980440304950479,2.72499051424742955,-5.00253208083902478,5.00029275891706071,-5.00091408392384196,-5.00065637306995114,4.99991771110885352,0.049990657825835505,-0.0500093732425170232,-0.0500609584544687222,-0.0499906267574829685,0.0499875338941330877,-0.0499890655753069471,-0.0500078137208938914,-0.0500547097258261242,-0.0500296884277633622,-0.0499953138179886902,-5.00063279766880519,-5.00154709255989171,5.00055064035444196,4.99935526994195722,4.99961300082820248,5.00076156385513926,5.00005834824183814,4.99954267101613503,0.0335123146082996135,0.0270475769042968738
4/18/2014 10:40:32.435 AM,9,3304.1674718694071,3308.36045112158171,3308.74680390120192,3306.70963136630325,3305.63660653868782,3307.2930826465581,3307.39038640566605,3307.39047170533649,3308.16606861279615,3304.46171547551239,3306.12500914356269,3305.34352925654911,3306.70963143761355,3305.92969338435068,3306.2224172617548,3306.12480872428113,3304.75608833722344,3308.55355371342238,3307.6817022706914,3306.51485676584297,3307.68158067596277,3306.41742302467128,3307.87530548137692,3307.77857097834203,3308.74680390120192,3307.58455313713784,3308.16647790011984,3307.29326553472765,3307.39023718249063,3306.80695662362131,3305.92974205381187,3307.09879624824179,3307.6669012215616,3307.86091660249076,3307.76387586784721,3308.3453657968198,3308.73260115277844,3307.66700773974707,3307.86097130231655,3308.73227435313674,12.1397987044817484,12.1529408320313816,12.0700442235758292,12.2169501329657049,12.1257458053881546,11.9249512811539304,13.1550580564737576,13.2823726201509391,12.7911216175957811,13.1671067402752779,13.4201437629206417,12.9386906902540009,12.8580121074972045,12.9355787278379779,10.5809599743393132,10.4745424286576725,10.218967672879474,10.0296848971971979,9.06729628263052944,8.59332480158986022,9.01003244339324282,9.2654974839190185,12.3935867216105873,12.3295751069536532,11.4737918206982758,11.0338230644206696,10.6681799403882795,10.492640320960426,10.2182790303500344,10.353003142714682,3308.8367578858797,3309.31907127238855,3308.15974333238818,3309.89721395217611,3307.86894542127584,3307.96588198273957,2.4909798606119673,2.49575821521499641,2.52948454930823585,2.4926167605890992,2.50063316303311778,2.48561410670062432,2.51829611362961625,2.53633806809303586,2.46694843239722195,2.50314514912181352,2.26292755126953082,2.49575194664047073,2.90240477657438811,2.37127745683087854,2.51406253052115502,2.49776244257947066,2.48674868585035424,2.53104216067926657,2.54125620634561011,2.48010282708564489,2.51252549511040657,2.55155288018298165,2.52873657864615486,3.43661893504012372,2.49808346900686029,2.38285779657904628,2.48344651144167416,2.58628882417447192,2.74127625124035079,2.72674223486772194,-5.00253208083902478,5.00029275891706071,-5.00091408392384196,-5.00065637306995114,4.99991771110885352,0.049990657825835505,-0.0500093732425170232,-0.0500609584544687222,-0.0499906267574829685,0.0499875338941330877,-0.0499890655753069471,-0.0500078137208938914,-0.0500547097258261242,-0.0500296884277633622,-0.0499953138179886902,-5.00063279766880519,-5.00154709255989171,5.00055064035444196,4.99935526994195722,4.99961300082820248,5.00076156385513926,5.00005834824183814,4.99954267101613503,0.0344866952037404528,0.0279989624023437474
