TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/18/2014 1:53:30.667 PM,0,3309.1583039856,3313.2689189711,3313.6475469079,3311.6508452413,3310.598881868,3312.2227710213,3312.3181475636,3312.3182311732,3313.0784141777,3309.4468537316,3311.0777196269,3310.3115270007,3311.6508453112,3310.8862332285,3311.1732158089,3311.07752314,3309.735517457,3313.4581635389,3312.6036848511,3311.45990665,3312.6035656711,3311.3643896643,3312.7934404725,3312.6986291558,3313.6475469079,3312.5084642348,3313.0788153064,3312.2229502885,3312.3180012971,3311.7462515512,3310.8862809445,3312.0323283453,3312.4372918887,3312.6275731702,3312.5324008266,3313.1026737507,3313.4824109603,3312.4373963584,3312.6276268164,3313.4820904982,14.1466015435,14.1991424067,13.8210567552,13.9984841156,13.7557004506,13.5114600346,15.2296980896,15.2563735616,14.4875632795,14.7613278018,14.8199965403,14.2645550359,13.5653203568,13.3634550981,13.1903013708,13.7437501275,13.2777919648,13.3294139191,13.2425639212,13.1090537464,13.0242998769,13.203087972,14.5667905584,14.3323045525,13.6047754152,13.3255444404,13.2114304322,12.6167809685,12.0424315046,12.4319649093,3313.4819433405,3313.9550844696,3312.817745309,3314.5221864602,3312.5324316831,3312.6275414579,2.4959361841,2.4953197583,2.5305652787,2.4881282456,2.4951467368,2.4806015594,2.5160411169,2.5349753944,2.4631140241,2.4961797851,2.4192202759,2.4869987474,2.6455935091,2.59427005,2.5140436074,2.5041239878,2.4933299641,2.5342345238,2.5422317465,2.4849507716,2.5109105404,2.5471079876,2.5294191523,2.8711805562,2.5025716522,2.6663432621,2.4870879542,2.5424851414,2.5026883624,2.6395077993,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0337439322,0.03139328
4/18/2014 1:53:31.667 PM,1,3309.158542833,3313.2691537999,3313.6477813598,3311.6510816677,3310.599119322,3312.2230068854,3312.3183833337,3312.3184669432,3313.0786491957,3309.4470923012,3311.0779566143,3310.3117647339,3311.6510817376,3310.8864704028,3311.173452703,3311.0777601276,3309.735755748,3313.4583981795,3312.6039203393,3311.4601432636,3312.6038011594,3311.3646263714,3312.7936757729,3312.69886455,3313.6477813598,3312.5086998171,3313.079050324,3312.2231861525,3312.3182370673,3311.746487884,3310.8865181187,3312.032564397,3312.4375409356,3312.6278220184,3312.5326497742,3313.1029221015,3313.4826589122,3312.4376454052,3312.6278756646,3313.4823384504,14.1417740405,14.2013301475,13.8251535115,14.0037227682,13.7573549157,13.4579546687,15.2335600629,15.2507078416,14.4955465693,14.7579488063,14.8211159799,14.2530143935,13.5635415761,13.3553453604,13.2013385624,13.7395298223,13.2799806912,13.3348065418,13.2484932709,13.1179608317,13.027787889,13.1997816371,14.5631341948,14.31941839,13.5947048199,13.3241749185,13.213266659,12.6183124133,12.0185290751,12.4331907917,3313.4823184622,3313.9554588367,3312.8181214852,3314.5225599189,3312.5328083105,3312.627917935,2.4961525588,2.4954155992,2.5306728481,2.4883415485,2.4955083786,2.4808836878,2.5160020535,2.5348780387,2.4631688058,2.4961553693,2.4211582947,2.4871009741,2.6453973086,2.5924577038,2.5139416667,2.5041046096,2.4935269828,2.5343920056,2.5422418177,2.4836250259,2.5105711039,2.5469749216,2.5295981505,2.8730019915,2.5029554468,2.6655644601,2.4871839342,2.5422550551,2.5038571426,2.6377345618,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0340587062,0.0316993713
4/18/2014 1:53:32.667 PM,2,3309.1592457124,3313.2698448531,3313.6484713038,3311.6517774226,3310.5998181011,3312.2237009854,3312.319077157,3312.3191607663,3313.0793408056,3309.447794363,3311.0786540199,3310.3124643346,3311.6517774925,3310.8871683582,3311.1741498341,3311.0784575338,3309.7364569901,3313.4590886787,3312.6046133329,3311.4608395693,3312.6044941533,3311.3653229523,3312.7943682141,3312.6995572673,3313.6484713038,3312.5093930876,3313.0797419327,3312.223880252,3312.3189308911,3311.7471833634,3310.887216074,3312.0332590489,3312.4383553856,3312.6286358186,3312.5334638995,3313.103734275,3313.4834697811,3312.4384598547,3312.6286894646,3313.4831493204,14.141146339,14.1900993132,13.8188009411,13.9976788909,13.7573367942,13.3583718911,15.2323232249,15.2495460865,14.496215115,14.7567108611,14.8175903446,14.2466662346,13.5612350327,13.3594468395,13.1889626619,13.713955086,13.2818705837,13.3393670462,13.2494674775,13.1207671847,13.0253263605,13.2068616988,14.5577190721,14.3109517627,13.5990548066,13.3196717169,13.2222745022,12.6233523519,11.9948514034,12.4284564431,3313.4827806704,3313.9559201151,3312.8185849927,3314.5230200781,3312.5332723739,3312.6283818132,2.4960968629,2.4955350951,2.5307222843,2.4883569588,2.4956791285,2.4811623067,2.516011972,2.5348365329,2.4630612263,2.496165746,2.4193432617,2.4869731144,2.6467481319,2.5916946749,2.5139497549,2.5039985635,2.4937113349,2.5346799592,2.5426625223,2.4839364724,2.5103074876,2.5465073594,2.5296906252,2.8757746632,2.5029670445,2.6646315154,2.4873168414,2.5421375706,2.5052323936,2.6352314279,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0341534589,0.0317855835
4/18/2014 1:53:33.667 PM,3,3309.1594163086,3313.2700125788,3313.6486387603,3311.6519462896,3310.599987702,3312.2238694507,3312.3192455551,3312.3193291643,3313.0795086665,3309.4479647608,3311.0788232875,3310.312634135,3311.6519463595,3310.8873377593,3311.1743190351,3311.0786268015,3309.7366271889,3313.45925627,3312.6047815296,3311.4610085699,3312.6046623501,3311.3654920198,3312.7945362767,3312.699725397,3313.6486387603,3312.5095613515,3313.0799097933,3312.2240487171,3312.3190992893,3311.7473521635,3310.8873854751,3312.0334276481,3312.4387524979,3312.6290326141,3312.5338608536,3313.1041302774,3313.4838651473,3312.4388569669,3312.62908626,3313.4835446871,14.1425397876,14.1960699214,13.8265300373,13.9958692094,13.7503369309,13.2544720764,15.2314297326,15.2539887164,14.4966935705,14.7549019455,14.8066307493,14.2531699353,13.5557633313,13.3505434765,13.1977565281,13.7056602256,13.2844099729,13.3355729754,13.2549842622,13.1217805064,13.0302338854,13.2239791455,14.5413839466,14.300868922,13.5965215818,13.3289683611,13.2355431317,12.6279199476,11.9746726175,12.4323361267,3313.4829481289,3313.9560872367,3312.818752922,3314.5231867942,3312.5334405047,3312.6285498768,2.4959665498,2.4954239929,2.5307544788,2.4884218041,2.4954236904,2.4811008153,2.5160374547,2.534906574,2.4630606159,2.4961352263,2.4189494324,2.4871258442,2.6461831783,2.590772936,2.5139621159,2.5041612184,2.4938328119,2.534637842,2.5425833254,2.4842035137,2.5106060392,2.5466268441,2.5295702249,2.8784104411,2.5029198904,2.6633258812,2.4873816928,2.5421850221,2.5068756141,2.632929729,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0341932824,0.0317993164
4/18/2014 1:53:34.667 PM,4,3309.1599895249,3313.2705761503,3313.6492014273,3311.6525136955,3310.6005575742,3312.224435507,3312.3198113858,3312.3198949948,3313.080072692,3309.4485373103,3311.0793920397,3310.3132046773,3311.6525137654,3310.8879069599,3311.1748875634,3311.0791955541,3309.7371990698,3313.4598193897,3312.6053466836,3311.461576425,3312.6052275044,3311.3660600993,3312.7951009802,3312.7002903257,3313.6492014273,3312.5101267313,3313.0804738179,3312.224614773,3312.3196651203,3311.7479193447,3310.8879546755,3312.0339941545,3312.4389207834,3312.6292007653,3312.534029072,3313.1042980926,3313.4840326929,3312.4390252523,3312.6292544112,3313.4837122329,14.1361972667,14.1964368068,13.8287288045,14.0024147809,13.7546722679,13.1194720575,15.223185738,15.2487138934,14.4953064802,14.7503890479,14.8025750115,14.237520463,13.5557487439,13.3516732032,13.2058286144,13.7015260604,13.28805843,13.3025217977,13.2580993103,13.1271097913,13.0378550158,13.2290784815,14.5378307193,14.2984592671,13.5980791313,13.321367564,13.2353451961,12.6307764153,11.930784484,12.4310693344,3313.4842811536,3313.9574175797,3312.8200896938,3314.5245139093,3312.5347788799,3312.629887718,2.4959157368,2.4953031235,2.5306984817,2.4883883897,2.4954325407,2.4808701078,2.5159704671,2.534876055,2.4630813688,2.4960877681,2.4185282898,2.4869522114,2.646430336,2.5899082717,2.5138195821,2.5042367476,2.4937430776,2.5345848902,2.5425752379,2.4841436964,2.5103369309,2.5469473012,2.5295445883,2.8812893314,2.5029278258,2.6615404207,2.4874128214,2.5416355918,2.508690512,2.6309762683,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0342646902,0.0318991089
4/18/2014 1:53:35.667 PM,5,3309.1604330753,3313.2710122375,3313.6496368145,3311.6529527498,3310.600998537,3312.224873517,3312.3202492211,3312.32033283,3313.0805091306,3309.4489803447,3311.0798321357,3310.3136461586,3311.6529528197,3310.8883474029,3311.1753274862,3311.0796356505,3309.7376415869,3313.4602551273,3312.6057839954,3311.4620158269,3312.6056648164,3311.3664996749,3312.7955379433,3312.700727463,3313.6496368145,3312.5105642178,3313.0809102557,3312.2250527827,3312.3201029559,3311.7483582251,3310.8883951185,3312.0344325128,3312.4395534882,3312.6298329654,3312.5346615246,3313.1049290289,3313.4846626157,3312.4396579568,3312.6298866111,3313.4843421566,14.1344294629,14.199931044,13.8396278255,14.0070533601,13.7614492498,13.3328012748,15.2358965634,15.2573902189,14.4950630086,14.7548728759,14.8043903783,14.24353106,13.5519199502,13.3460907843,13.1997874028,13.6850328569,13.2927752278,13.3248626576,13.2664047301,13.1347287243,13.0528060584,13.236619797,14.5363385358,14.282169425,13.6097898186,13.3226980988,13.2431649747,12.6326426133,12.0620370996,12.4508020853,3313.4843213364,3313.9574576816,3312.8201299895,3314.5245539139,3312.534819224,3312.629928046,2.4959061235,2.4952964085,2.5306110529,2.4882925712,2.4953367132,2.480823417,2.516035471,2.5348815484,2.4631135664,2.4961379731,2.4173780823,2.4870648133,2.6466215017,2.5887336651,2.513647748,2.5041955499,2.4937938966,2.5343836127,2.5421632313,2.4843571769,2.5106159553,2.5470463377,2.5292689952,2.8847139655,2.5026249104,2.6591715073,2.4867855179,2.5412572004,2.5107868084,2.6290608055,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0341478134,0.0317739868
4/18/2014 1:53:36.667 PM,6,3309.1610199393,3313.2715892271,3313.650212878,3311.6535336652,3310.6015819773,3312.2254530506,3312.3208285237,3312.3209121323,3313.081086585,3309.4495665261,3311.0804144294,3310.314230285,3311.6535337351,3310.8889301557,3311.1759095506,3311.0802179447,3309.7382270838,3313.4608316544,3312.6063626052,3311.4625972022,3312.6062434265,3311.3670812799,3312.7961160918,3312.7013058421,3313.650212878,3312.5111430588,3313.0814877092,3312.2256323158,3312.3206822588,3311.7489389104,3310.8889778711,3312.0350125072,3312.4399304151,3312.6302095916,3312.5350383013,3313.1053049023,3313.4850378853,3312.4400348836,3312.6302632373,3313.4847174267,14.1376359666,14.1903242964,13.8445164671,14.0112528523,13.7641243972,13.3624126945,15.2396347296,15.2471787151,14.4902626957,14.7491589157,14.8022595464,14.2408661005,13.5495595869,13.3474683796,13.179957604,13.6693209883,13.2903376587,13.3357008927,13.2659511939,13.1445042626,13.0552535656,13.2403638701,14.5291432703,14.2877114618,13.6116714877,13.3219850418,13.250543418,12.6316998484,12.0428409498,12.4566552414,3313.4853998012,3313.9585339769,3312.821211486,3314.5256275976,3312.5359020178,3312.6310104076,2.495786797,2.4952964085,2.5304790706,2.488331631,2.4952039586,2.4806622879,2.5160122771,2.534777326,2.4631729258,2.4961921456,2.4149111938,2.487109671,2.6468695747,2.5874142356,2.5136082231,2.5042393416,2.4937522342,2.5346390628,2.5425944649,2.4841163819,2.5102948255,2.5469598143,2.5291293675,2.8863710367,2.5025136634,2.6569382699,2.4869042341,2.5418937523,2.5129955726,2.6271616712,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0339680733,0.0316174316
4/18/2014 1:53:37.667 PM,7,3309.1618115239,3313.2723674928,3313.6509898946,3311.654317226,3310.602368944,3312.2262347478,3312.3216099092,3312.3216935176,3313.0818654778,3309.45035719,3311.0811998494,3310.315018177,3311.6543172959,3310.8897161949,3311.1766946614,3311.0810033653,3309.7390168245,3313.4616092962,3312.6071430562,3311.4633813834,3312.6070238779,3311.3678657711,3312.7968959207,3312.702085982,3313.6509898946,3312.5119238218,3313.0822666006,3312.2264140124,3312.3214636448,3311.749722161,3310.8897639102,3312.0357948259,3312.4405496533,3312.6308283358,3312.5356572926,3313.1059224097,3313.4856544007,3312.4406541215,3312.6308819813,3313.4853339429,14.1325785848,14.1912140573,13.8489934959,14.0139733367,13.7726456781,13.4223554118,15.2378568064,15.2606469978,14.4943552144,14.753784406,14.8052840026,14.2478571356,13.5541875226,13.3400440503,13.1907648957,13.6724236054,13.2926778336,13.3093533491,13.2689023371,13.1466158302,13.0561441209,13.2449176899,14.5208839747,14.2701452626,13.6153886641,13.3224963077,13.2542613272,12.6293096873,12.0657310862,12.4439575438,3313.4848170266,3313.9579523746,3312.8206270731,3314.5250474065,3312.5353169039,3312.6304255272,2.4957672653,2.4952544399,2.5304383315,2.4882036187,2.4951867158,2.4806050688,2.5160582072,2.5348533183,2.4630555802,2.4960659465,2.4117584229,2.4871154689,2.6471242081,2.5859783678,2.5136532418,2.5043006805,2.493775736,2.5350544362,2.5425151155,2.4837593095,2.5103062672,2.5469189179,2.5292099396,2.8885932336,2.502543726,2.654921748,2.4870151681,2.5418264658,2.5152795697,2.6251184803,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.03394778,0.0315783691
4/18/2014 1:53:38.667 PM,8,3309.1622550729,3313.2728035785,3313.6514252804,3311.6547562789,3310.6028099053,3312.2266727563,3312.3220477431,3312.3221313513,3313.0823019148,3309.450800223,3311.0816399439,3310.3154596569,3311.6547563488,3310.8901566364,3311.1771345827,3311.0814434602,3309.7394593401,3313.4620450324,3312.6075803665,3311.4638207838,3312.6074611884,3311.3683053452,3312.7973328824,3312.7025231179,3313.6514252804,3312.5123613068,3313.0827030369,3312.2268520206,3312.3219014789,3311.75016104,3310.8902043516,3312.0362331827,3312.4411823503,3312.631460528,3312.5362897374,3313.1065533382,3313.4862843156,3312.4412868182,3312.6315141734,3313.4859638588,14.132259406,14.1931826547,13.8514972223,14.013729807,13.7721729312,13.4163138843,15.2258789783,15.25804018,14.4995266761,14.7565145453,14.8042017757,14.2418938422,13.5716429601,13.3298848101,13.17953633,13.6880487553,13.2913658693,13.3324564274,13.2876648408,13.146219499,13.0640703697,13.2395606325,14.5060585258,14.2674458838,13.6209303225,13.3301752298,13.2527046524,12.6351601949,12.0534050688,12.4582063646,3313.4860763503,3313.9592091649,3312.8218899369,3314.5263011473,3312.5365812825,3312.6316894012,2.4957993095,2.4953371561,2.5304206321,2.4880554663,2.4951423117,2.4807100468,2.5160176178,2.5347207132,2.4631173812,2.4963905238,2.4061616516,2.4870773246,2.6473164418,2.5862431388,2.5136840682,2.5042463604,2.4939164419,2.5349685232,2.542528086,2.4842605842,2.5104696544,2.5471942058,2.5290436071,2.891002076,2.5027430245,2.6537862812,2.4869605403,2.5420475501,2.5172124291,2.6241477778,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0340024039,0.0316625977
4/18/2014 1:53:39.667 PM,9,3309.163162658,3313.2736958927,3313.6523161624,3311.6556546643,3310.6037121957,3312.2275690048,3312.3229436343,3312.3230272422,3313.083194948,3309.4517067523,3311.0825404609,3310.3163630082,3311.6556547342,3310.8910578634,3311.1780347452,3311.0823439779,3309.740364811,3313.4629366313,3312.6084751864,3311.4647198804,3312.6083560087,3311.3692047972,3312.7982269889,3312.703417581,3313.6523161624,3312.5132564842,3313.0835960686,3312.2277482684,3312.3227973707,3311.7510590696,3310.8911055784,3312.0371301439,3312.4424342831,3312.6327114621,3312.5375411712,3313.1078017718,3313.4875307437,3312.4425387505,3312.6327651072,3313.4872102885,14.141140101,14.2019143789,13.8692388827,14.0198683684,13.7877001265,13.5163698875,15.1673893378,15.2734756159,14.501774319,14.7563981149,14.8117868307,14.2371250127,13.5986081995,13.324963518,13.1944487359,13.6935017054,13.3081907465,13.3595020524,13.3151791454,13.1557974849,13.0933495334,13.2538689316,14.4863431644,14.2602376131,13.6363090485,13.3336476187,13.25762827,12.6311506487,12.0872777601,12.4644291003,3313.4870476189,3313.9601784795,3312.8228639358,3314.5272681099,3312.5375564497,3312.6326641793,2.4958008354,2.4952228491,2.5305256077,2.4879941303,2.4951014172,2.4806203273,2.5163090675,2.5349454857,2.4629145824,2.4961532329,2.398924408,2.4872858976,2.6481911052,2.5856441612,2.5137351911,2.5043704115,2.4939051488,2.5345928254,2.5428174062,2.4839331153,2.5100817052,2.5470921173,2.5290776366,2.8926313717,2.5024564376,2.6534549508,2.4869754943,2.5421107171,2.5186003461,2.6236252678,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.034080983,0.031703186
