TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 12:21:00.008 PM,0,3309.1658989968,3313.2763861889,3313.6550021405,3311.6583632656,3310.6064325706,3312.2302711633,3312.3256447154,3312.3257283224,3313.0858874118,3309.4544399081,3311.0852554889,3310.319086582,3311.6583633355,3310.8937750321,3311.1807487044,3311.0850590081,3309.7430947752,3313.4656247709,3312.6111730373,3311.4674306261,3312.611053861,3311.3719166143,3312.800922689,3312.7061143562,3313.6550021405,3312.5159554131,3313.0862885278,3312.2304504249,3312.3254984535,3311.7537665982,3310.8938227465,3312.039834451,3312.4567297657,3312.6469955391,3312.5518309551,3313.1220572944,3313.5017633641,3312.4568342268,3312.647049181,3313.5014429283,13.2586034865,13.1839469977,12.9348877468,13.055415064,12.5351699983,12.7865558927,14.025562222,13.9851914234,13.7657815711,14.1909285113,14.2651658311,14.1661068263,14.1710210694,13.9271330498,12.2168449967,12.236051919,12.0277734272,12.2378707063,12.0838298251,12.0605321702,11.8907147332,11.9358613452,13.1067740074,12.9276166507,12.678061967,12.6518677963,12.5578789953,12.4101711391,12.196399491,12.2224357987,3313.5836832208,3314.0566195954,3312.9197712981,3314.6234751241,3312.6345801012,3312.7296490954,2.498948187,2.4942101097,2.5299027731,2.4847175357,2.4906162962,2.4790888385,2.5181079684,2.5368610113,2.4646096082,2.499466912,2.2980281067,2.4893080028,2.8604811982,2.3744275452,2.5141913298,2.502330054,2.4912178507,2.5322670698,2.5417446631,2.4833764486,2.5124885766,2.5494245872,2.5287938031,3.234829695,2.50190005,2.7005304278,2.4863420871,3.2291421831,2.4674644181,3.8419575651,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1331208352,5.0000817871
4/17/2014 12:21:01.008 PM,1,3309.166526773,3313.2770034017,3313.6556183626,3311.658984678,3310.6070566842,3312.2308910976,3312.3262644026,3312.3263480093,3313.0865051219,3309.4550669541,3311.0858783758,3310.3197114296,3311.658984748,3310.8943984101,3311.1813713461,3311.0856818955,3309.7437210889,3313.4662414889,3312.6117919833,3311.4680525305,3312.6116728074,3311.3725387646,3312.8015411416,3312.7067330554,3313.6556183626,3312.5165746065,3313.0869062369,3312.2310703587,3312.326118141,3311.7543877645,3310.8944461245,3312.0404548782,3312.4571874236,3312.6474528319,3312.5522884305,3313.122513673,3313.5022190094,3312.4572918845,3312.6475064737,3313.5018985742,13.2535632263,13.1847046948,12.93465284,13.0524327899,12.5411211779,12.7789178816,13.9245057934,13.9822099433,13.7584508966,14.1877954834,14.2692793637,14.1616010703,14.1676600887,13.9241537966,12.216610566,12.2241344161,12.0312808062,12.2564938891,12.0883308267,12.0638874018,11.8869650154,11.942271838,13.1067401497,12.9379651753,12.6713073822,12.6477107547,12.5544847696,12.4108243641,12.1999550375,12.2046088728,3313.5845668773,3314.0575014728,3312.9206574407,3314.62435486,3312.6354673075,3312.7305359474,2.498315085,2.4939558565,2.529995237,2.4846287358,2.4908651729,2.4773040598,2.5181110202,2.5369110625,2.4646062511,2.4994956005,2.2914834595,2.4893659821,2.8705629409,2.3702865875,2.5141437168,2.5023178473,2.4911160603,2.5322443326,2.5426437531,2.4833920132,2.5126481499,2.5491152698,2.5287950239,3.2347886421,2.5020499053,2.713831872,2.4863890853,3.2356016899,2.4663202068,3.8584421122,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1349618743,5.0000817871
4/17/2014 12:21:02.008 PM,2,3309.1674138563,3313.2778755584,3313.6564891194,3311.659862769,3310.6079385921,3312.2317670999,3312.3271400556,3312.327223662,3313.0873779813,3309.4559530054,3311.0867585503,3310.3205943746,3311.6598628389,3310.8952792786,3311.1822511741,3311.0865620707,3309.7446061056,3313.4671129464,3312.6126665891,3311.4689313167,3312.6125474136,3311.3734178981,3312.8024150501,3312.7076073125,3313.6564891194,3312.5174495618,3313.0877790948,3312.2319463603,3312.3269937946,3311.7552655078,3310.8953269928,3312.0413315771,3312.4574431579,3312.6477083622,3312.5525440629,3313.1227686924,3313.5024736191,3312.4575476187,3312.6477620039,3313.5021531843,13.251179481,13.1936924563,12.9360084242,13.0556196154,12.5380474408,12.7839365533,13.943553835,13.9994352487,13.7599581119,14.1758778444,14.2676583735,14.1673789878,14.1698527531,13.9211614605,12.2309419043,12.2296134066,12.0354623231,12.2189882458,12.0885409763,12.0570701641,11.8927531619,11.9252197645,13.1044923492,12.9422062255,12.6782229758,12.6556175198,12.552388552,12.4135399047,12.2037396222,12.2109897213,3313.5854505192,3314.0583833356,3312.9215435686,3314.6252345813,3312.6363544993,3312.7314227848,2.4987681291,2.4936252969,2.5297584317,2.4846430781,2.4919989275,2.4774734284,2.518038997,2.5368922933,2.4646161698,2.4994936167,2.3002723694,2.4892790131,2.8350450169,2.3554041672,2.5141086175,2.5022444542,2.4911848871,2.5322391443,2.5425393781,2.4833102223,2.5125639391,2.5492913686,2.5288111994,3.2350569356,2.5019209565,2.7148304418,2.4863820661,3.2487152393,2.4662745787,3.8671271611,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1338452885,5.0000817871
4/17/2014 12:21:03.008 PM,3,3309.1679324483,3313.278385424,3313.6569981667,3311.660376104,3310.6084541585,3312.2322792138,3312.3276519653,3312.3277355716,3313.0878882578,3309.4564709942,3311.0872731033,3310.3211105473,3311.6603761739,3310.8957942373,3311.1827655246,3311.0870766242,3309.7451234895,3313.4676224034,3312.6131778867,3311.4694450581,3312.6130587114,3311.3739318426,3312.80292594,3312.7081184061,3313.6569981667,3312.5179610637,3313.0882893705,3312.2324584739,3312.3275057046,3311.7557786395,3310.8958419514,3312.0418440982,3312.4584795982,3312.6487439755,3312.55358009,3313.1238022353,3313.5035055015,3312.4585840585,3312.6487976169,3313.5031850681,13.2496660496,13.1893535252,12.9367835821,13.0619662947,12.5363789561,12.7762397203,13.9492859216,13.9951739752,13.7623351365,14.1824493056,14.2666784637,14.1652550977,14.1703224229,13.9187337838,12.243701436,12.2471115179,12.02462947,12.2484705518,12.0879416261,12.065560814,11.8978840087,11.9466184162,13.105376078,12.9358374424,12.6796414049,12.6551270819,12.5518978132,12.4106812048,12.1999651594,12.2115683933,3313.5869834991,3314.059913229,3312.9230808614,3314.6267607594,3312.6378936376,3312.7329613084,2.4986297286,2.4940816096,2.5298487595,2.4847893996,2.4929855839,2.480400911,2.5181450481,2.5369034327,2.4646422635,2.4995584712,2.2970974731,2.4893447739,2.8222350812,2.3582911633,2.5140883209,2.50229557,2.4911854975,2.5322902648,2.542185205,2.4833798056,2.5125827035,2.5493566808,2.5287921245,3.2353407957,2.5017729323,2.7289396852,2.4862657914,3.2673490304,2.4655178244,3.8831941886,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1334026518,5.0000817871
4/17/2014 12:21:04.008 PM,4,3309.168130343,3313.278579989,3313.6571924193,3311.6605719928,3310.6086508987,3312.2324746366,3312.3278473102,3312.3279309164,3313.0880829795,3309.4566686587,3311.0874694569,3310.3213075188,3311.6605720627,3310.8959907457,3311.1829618008,3311.0872729778,3309.7453209231,3313.4678168124,3312.6133729979,3311.4696411019,3312.6132538228,3311.3741279639,3312.8031208957,3312.7083134396,3313.6571924193,3312.5181562529,3313.0884840918,3312.2326538965,3312.3277010497,3311.7559744506,3310.8960384597,3312.0420396764,3312.458378642,3312.6486430999,3312.5534791741,3313.1237015614,3313.5034049893,3312.4584831024,3312.6486967414,3313.5030845557,13.2533973636,13.1948424934,12.9437260123,13.0575328762,12.5415654638,12.787987167,14.0378214124,13.9891393316,13.7645414713,14.1883919832,14.2905478435,14.1612824269,14.1698581552,13.9245220017,12.2376645105,12.2431341508,12.0256157446,12.2643441942,12.0915252683,12.0687623329,11.8977245148,11.9548610908,13.0983439882,12.9372790018,12.6858179846,12.6525983681,12.5489103993,12.4133455602,12.2124810477,12.224006992,3313.5871575591,3314.0600869385,3312.923255411,3314.6269340472,3312.6380683967,3312.7331359977,2.4984728646,2.4941319718,2.5300837339,2.4850680055,2.4930531819,2.4786817435,2.5182012017,2.5368724559,2.4646411953,2.499571442,2.3150926208,2.4893347038,2.7986666182,2.3643880692,2.5140465069,2.502299232,2.4910609683,2.5322028258,2.5428190848,2.4834170388,2.5125778217,2.5497545054,2.5287992967,3.2353188194,2.5018658671,2.7257351964,2.4864064807,3.2487777959,2.4673666,3.8878685465,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1350392328,5.0000817871
4/17/2014 12:21:05.008 PM,5,3309.1688536383,3313.2792911134,3313.6579024022,3311.6612879559,3310.6093699742,3312.2331888966,3312.3285612855,3312.3286448915,3313.0887946769,3309.4573911126,3311.0881871189,3310.3220274399,3311.6612880258,3310.8967089735,3311.1836791803,3311.0879906404,3309.7460425334,3313.4685273667,3312.6140861194,3311.4703576319,3312.6139669445,3311.3748447772,3312.8038334486,3312.7090262767,3313.6579024022,3312.5188696593,3313.089195788,3312.2333681561,3312.3284150254,3311.7566901302,3310.8967566875,3312.0427545045,3312.4587488038,3312.6490129663,3312.5538491883,3313.1240706884,3313.5037735232,3312.458853264,3312.6490666077,3313.5034530902,13.2555322371,13.1902614823,12.9379210264,13.0609663955,12.5467571829,12.7811167935,14.0571149315,13.9790662028,13.7597330431,14.1921281761,14.2838338492,14.1501453623,14.1671116474,13.9258934792,12.2111767012,12.2214470212,12.0307313215,12.2473942589,12.0880866255,12.0616571701,11.895354681,11.9379794236,13.1153009358,12.9449236539,12.6851413476,12.65176893,12.5541904479,12.4195427783,12.210429323,12.2088205971,3313.586615328,3314.0595457992,3312.9227116544,3314.6263942219,3312.6375239873,3312.7325918058,2.4985984474,2.4939862265,2.5299699086,2.4845129298,2.4920451627,2.478169518,2.518174956,2.5368744397,2.4646305137,2.4995549614,2.3439985657,2.4893885635,2.7711825376,2.3560322926,2.5140686348,2.5022374354,2.4911342208,2.5322525729,2.5424852068,2.483491963,2.5125828561,2.5493495087,2.5288203553,3.2351585758,2.5018426715,2.7114180894,2.486411974,3.2371724718,2.4687993821,3.8807878046,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1355975257,5.0000817871
4/17/2014 12:21:06.008 PM,6,3309.1693108336,3313.2797406157,3313.6583511831,3311.6617405167,3310.6098245021,3312.233640381,3312.3290125898,3312.3290961956,3313.0892445414,3309.457847776,3311.0886407535,3310.3224825023,3311.6617405866,3310.8971629658,3311.1841326363,3311.0884442754,3309.7464986636,3313.4689765087,3312.614536884,3311.470810551,3312.6144177094,3311.3752978753,3312.8042838539,3312.7094768615,3313.6583511831,3312.519320604,3313.0896456518,3312.23381964,3312.32886633,3311.7571425118,3310.8972106796,3312.0432063478,3312.4592400786,3312.6495038491,3312.5543402673,3313.1245605898,3313.5042626375,3312.4593445387,3312.6495574904,3313.5039422051,13.2541813107,13.198450564,12.9312229236,13.0606829796,12.5502922055,12.7802229987,14.0559169215,13.9922121072,13.7646382518,14.1899382464,14.2841609247,14.1613793922,14.1675149563,13.9240093322,12.2223432049,12.2289521876,12.0244145282,12.2344370422,12.0858169542,12.0671025403,11.8972867081,11.944111871,13.1097044294,12.9298603542,12.6793896548,12.6569371329,12.5534791577,12.4127973482,12.2188824162,12.2197169686,3313.5874186399,3314.0603474937,3312.9235172263,3314.6271939696,3312.6383305264,3312.7333980227,2.4986121806,2.493928844,2.5297218124,2.4847021254,2.492064084,2.478449968,2.5181943351,2.5369138092,2.4646045725,2.4995282566,2.3521191406,2.4893424852,2.7530117225,2.3505024698,2.5141295245,2.5022789383,2.491166574,2.5323195637,2.5420925798,2.4833297545,2.5125015439,2.5491630332,2.5287849524,3.2346726563,2.5019052384,2.7156937934,2.4864203665,3.2363764767,2.4681187763,3.8872375364,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1367832306,5.0000817871
4/17/2014 12:21:07.008 PM,7,3309.1701023637,3313.2805188267,3313.6591281449,3311.6625240229,3310.6106114142,3312.2344220234,3312.3297939206,3312.3298775261,3313.0900233794,3309.4586383853,3311.0894261188,3310.3232703398,3311.6625240928,3310.8979489504,3311.1849176924,3311.0892296414,3309.7472883497,3313.4697540958,3312.6153172803,3311.4715946775,3312.6151981061,3311.3760823118,3312.805063628,3312.7102569467,3313.6591281449,3312.5201013122,3313.0904244884,3312.2346012819,3312.3296476612,3311.7579257077,3310.897996664,3312.0439886118,3312.4598525223,3312.6501158041,3312.5549524668,3313.1251713214,3313.5048723879,3312.4599569821,3312.6501694453,3313.5045519563,13.25407405,13.1927710414,12.9373769972,13.0666052233,12.5509481895,12.7750017268,14.0531403962,13.9845506046,13.7691852432,14.1860933804,14.2805444817,14.1512038816,14.1701528275,13.925350925,12.2234572791,12.2284627443,12.0226267569,12.2494462089,12.0885356168,12.0687517835,11.8929000578,11.943011422,13.1146070934,12.9428554467,12.6865852235,12.6514566461,12.5503648627,12.4079261524,12.2176775459,12.2198103792,3313.5869768153,3314.0599065587,3312.9230741587,3314.6267541053,3312.6378869268,3312.7329546003,2.4987110599,2.4938601682,2.5295500064,2.4844953834,2.4927818743,2.4781219117,2.5181087313,2.5369283057,2.4646057933,2.4995670167,2.3672093201,2.4893260069,2.7469815341,2.3527898777,2.5141518049,2.5022723772,2.4911120924,2.5322924012,2.5420750313,2.4833132742,2.5125862123,2.5490301198,2.5287996019,3.2341987931,2.5020114496,2.7142263857,2.4863721476,3.2283684643,2.4687249122,3.8918615356,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1380057075,5.0000817871
4/17/2014 12:21:08.008 PM,8,3309.1701842462,3313.2805993313,3313.6592085203,3311.6626050754,3310.610692819,3312.234502883,3312.329874748,3312.3299583535,3313.0901039489,3309.4587201726,3311.0895073636,3310.3233518403,3311.6626051453,3310.8980302592,3311.1849989052,3311.0893108862,3309.7473700414,3313.4698345359,3312.615398011,3311.4716757942,3312.6152788369,3311.3761634605,3312.8051442944,3312.7103376452,3313.6592085203,3312.5201820752,3313.0905050578,3312.2346821415,3312.3297284887,3311.758006728,3310.8980779728,3312.0440695357,3312.4605187866,3312.6507815368,3312.5556184655,3313.1258357232,3313.5055357222,3312.4606232461,3312.6508351778,3313.5052152915,13.258817087,13.2129344618,12.9383062766,13.0657023274,12.5447752437,12.7837159433,14.0644402519,13.9887600048,13.7785069841,14.1928185097,14.2914656686,14.1591493156,14.1711573598,13.9297865853,12.2491176457,12.2404645273,12.0269931286,12.2254866792,12.0903053527,12.0673898912,11.8960457306,11.9510446078,13.1077661698,12.9371591941,12.6851634561,12.6503406678,12.5516161572,12.4104757659,12.2073206524,12.2206033171,3313.5876596283,3314.0605879968,3312.9237588927,3314.6274338887,3312.6385724828,3312.7336398825,2.498512691,2.4938894699,2.5295966962,2.4841285879,2.4944204015,2.4789740951,2.5181168187,2.5369597403,2.4645833618,2.4994902596,2.3783602905,2.4892787079,2.7322636026,2.3498151334,2.51429617,2.5022484214,2.4911723731,2.5322792777,2.5415742144,2.4833379946,2.5126205373,2.5492481832,2.5288908559,3.2338348113,2.5019256871,2.7059045129,2.4863762676,3.2278202546,2.4694104013,3.8926782626,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1401178827,5.0000817871
4/17/2014 12:21:09.008 PM,9,3309.1710167126,3313.2814177896,3313.6600256648,3311.6634291028,3310.6115204284,3312.2353249503,3312.3306964875,3312.3307800927,3313.0909230666,3309.4595516705,3311.0903333463,3310.324180423,3311.6634291727,3310.8988568932,3311.1858245627,3311.0901368696,3309.7482005683,3313.470652338,3312.6162187677,3311.472500474,3312.616099594,3311.3769884663,3312.8059643967,3312.7111580746,3313.6600256648,3312.5210031599,3313.0913241741,3312.2355042081,3312.3305502287,3311.7588304291,3310.8989046067,3312.0448922567,3312.460599539,3312.6508622248,3312.5556991857,3313.1259162498,3313.5056161194,3312.4607039985,3312.6509158658,3313.5052956889,13.2556031614,13.2107109042,12.9285216944,13.0612656243,12.5470562316,12.7714177217,14.0641253235,13.9879108709,13.7741477774,14.1983001662,14.287107522,14.1460206184,14.16542806,13.9268792767,12.2235369115,12.2171647725,12.0218662847,12.2547176508,12.0804417972,12.0679144384,11.8991683078,11.9650125921,13.1031247742,12.9304560977,12.6833457758,12.6559295925,12.5592683683,12.4133934738,12.2104667987,12.2220695337,3313.5880478857,3314.0609754725,3312.9241482424,3314.6278204234,3312.6389623,3312.734029544,2.4984263242,2.494067264,2.5299706715,2.4841037178,2.4918892142,2.4791626893,2.5181024751,2.5370451935,2.4645241549,2.4994597398,2.3918952942,2.4892925925,2.7040090615,2.3515461407,2.5143254703,2.5022339259,2.4911977063,2.5323059825,2.5418082952,2.4834161233,2.5127605835,2.5484403261,2.5288389723,3.2335619394,2.5019586492,2.7019007714,2.486348496,3.2259012916,2.4694245933,3.8928517713,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1420016445,5.0000817871
