TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 11:05:36.648 AM,0,3306.6368571976,3310.7894810555,3311.1720488815,3309.1547057884,3308.092000273,3309.732509973,3309.82886946,3309.8289539316,3310.5969985126,3306.9283110714,3308.5757164781,3307.8017267409,3309.154705859,3308.382276958,3308.6721878203,3308.5755179856,3307.2198867093,3310.9806933266,3310.1173540099,3308.9618106934,3310.1172335983,3308.8653160918,3310.3090720231,3310.2132798211,3311.1720488815,3310.0211497879,3310.5974038024,3309.732691087,3309.8287216855,3309.2510908299,3308.3823251602,3309.5401068684,3310.0948341307,3310.286966672,3310.1908680339,3310.7667020157,3311.1501565694,3310.094939616,3310.2870208406,3311.1498329653,12.5740306698,12.6209919928,12.3583725718,12.5836334818,10.5758639794,12.3015671798,13.2033753809,13.1578115972,12.7404533887,13.1148076592,13.2237329455,12.8942333226,12.6110489557,12.7022219694,11.1553889218,11.2663883167,11.044196621,11.335965882,11.1552886796,11.1563586083,11.0560611542,11.1248801333,12.0760387548,12.005593315,11.8297526118,11.8473048357,11.7552442133,11.3051530533,10.770312554,11.1972945748,3311.2131104967,3311.690774185,3310.5425930025,3312.2633199788,3310.2545752213,3310.3505857367,2.4971004569,2.4944573426,2.5294384699,2.485488203,2.4932573493,2.4797165704,2.5195058588,2.5375359392,2.466708553,2.5039855097,2.4575650024,2.4936431777,2.8733489565,2.2248171172,2.5141415803,2.5013196407,2.4900764854,2.5315585544,2.5427095215,2.482685193,2.5131117667,2.5499869131,2.5287890726,2.7433762326,2.5007283703,2.5563282801,2.4856439812,3.0712979043,2.275190533,3.2165020476,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0078935509,5.0000817871
4/17/2014 11:05:37.648 AM,1,3306.6379965525,3310.7906016132,3311.1731676763,3309.1558338194,3308.0931331107,3309.7336353737,3309.8299944209,3309.8300788921,3310.5981199553,3306.9294491268,3308.5768471329,3307.8028608845,3309.15583389,3308.3834084867,3308.6733180387,3308.5766486413,3307.2210234618,3310.9818130039,3310.118477652,3308.9629395999,3310.1183572409,3308.8664454358,3310.3101947871,3310.214403024,3311.1731676763,3310.0222738701,3310.5985252433,3309.7338164869,3309.8298466471,3309.252218423,3308.3834566888,3309.5412331463,3310.0954433314,3310.2875753957,3310.1914769962,3310.7673095453,3311.1507631411,3310.0955488164,3310.2876295641,3311.1504395379,12.5756712775,12.6192734517,12.3577224202,12.5945886881,10.5772776583,12.3076364245,13.2093647173,13.1470082246,12.7451485986,13.1200353736,13.2275871967,12.8821337915,12.6120791774,12.707448782,11.1510734139,11.2839218829,11.0508059662,11.344253446,11.165032165,11.154409179,11.0609909796,11.1287384708,12.0684091667,12.0094974603,11.8264755743,11.8455565658,11.7546415902,11.3069194142,10.7664997358,11.2138838345,3311.213307903,3311.6909712013,3310.5427909536,3312.2635165258,3310.2547734055,3310.3507838432,2.4972136798,2.4943921769,2.5294587632,2.485430834,2.4932196592,2.4796871216,2.5196158772,2.5374675766,2.4666243205,2.5039418665,2.4517642212,2.4937573054,2.8848762662,2.2255390952,2.5141510419,2.5013068236,2.4900474896,2.5315947203,2.5427458392,2.4827912466,2.5130986469,2.5500214004,2.5288104364,2.7437333469,2.5006252112,2.5606816659,2.4856918949,3.075740341,2.2745969105,3.2177422456,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0106213893,5.0000817871
4/17/2014 11:05:38.648 AM,2,3306.637412997,3310.7900276856,3311.1725946516,3309.155256064,3308.0925528933,3309.7330589655,3309.829418238,3309.8295027094,3310.5975455744,3306.9288662369,3308.5762680337,3307.8022799983,3309.1552561346,3308.3828289398,3308.6727391629,3308.5760695415,3307.2204412393,3310.9812395272,3310.1179021446,3308.9623613961,3310.1177817332,3308.8658670079,3310.3096197294,3310.2138277416,3311.1725946516,3310.0216981372,3310.5979508633,3309.7332400791,3309.8292704638,3309.2516408919,3308.382877142,3309.5406562888,3310.09566236,3310.2877942528,3310.1916959391,3310.767527973,3311.1509812245,3310.0957678449,3310.2878484212,3311.1506576215,12.5815733145,12.6152522677,12.366532937,12.5946904888,10.5819668579,12.3012487422,13.2100006197,13.1561187379,12.7483806654,13.1196030991,13.2335665735,12.8897927211,12.606608635,12.7046509233,11.156979841,11.2881494254,11.046858054,11.3229674202,11.1633763586,11.1538998315,11.0600992127,11.1173779385,12.073683258,11.9936897328,11.8293828088,11.8424284777,11.7594588607,11.3009618615,10.7620705358,11.2150338073,3311.213872896,3311.6915350783,3310.543357506,3312.2640790595,3310.2553406251,3310.3513508406,2.4972022355,2.4944237678,2.5294676128,2.4853728546,2.493269404,2.4796831544,2.5196901893,2.5375186959,2.4666679627,2.5039560582,2.4465412903,2.4936695735,2.8917759307,2.2264242086,2.5141096857,2.5012352616,2.4900616823,2.5315851066,2.5427975689,2.4827946037,2.513053643,2.5499689065,2.5288224917,2.7440066766,2.5006777064,2.5637256021,2.4857141732,3.0786914885,2.2748195571,3.218408049,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0126940461,5.0000817871
4/17/2014 11:05:39.648 AM,3,3306.638892759,3310.7914830342,3311.1740477106,3309.1567211188,3308.0940241909,3309.7345206041,3309.8308793053,3309.8309637762,3310.5990020724,3306.9303443112,3308.5777364961,3307.803752992,3309.1567211894,3308.3842985373,3308.6742070587,3308.5775380052,3307.2219176214,3310.9826937323,3310.1193614991,3308.9638275879,3310.1192410885,3308.8673337679,3310.3110779435,3310.2152865257,3311.1740477106,3310.0231580634,3310.5994073589,3309.7347017166,3309.830731532,3309.2531053779,3308.3843467392,3309.5421190667,3310.0959156225,3310.2880473171,3310.1919491026,3310.7677805409,3311.1512333942,3310.0960211073,3310.2881014854,3311.1509097915,12.5840687695,12.6182070921,12.3684959537,12.5890180661,10.5837022541,12.3020657512,13.2091384329,13.155484752,12.7537786394,13.1198852376,13.243008785,12.890456893,12.6126924804,12.7057726964,11.1569571584,11.2654356175,11.0451540731,11.3438742521,11.1644233291,11.1588443665,11.056636238,11.1283589656,12.0746044643,11.9954512902,11.8316032729,11.8499955138,11.7596926453,11.2995145018,10.7701767795,11.2142743283,3311.2141587785,3311.6918203962,3310.5436441776,3312.2643636976,3310.2556276344,3310.3516377374,2.4972249716,2.4943114447,2.5295138448,2.4854473123,2.4931805958,2.4796912414,2.5197495474,2.5374947385,2.4666862741,2.5039253859,2.4441963196,2.4936770498,2.8972211793,2.2272003616,2.5141135008,2.5012944643,2.4900172729,2.5316333277,2.5428889733,2.4828428237,2.5130408283,2.5500314719,2.5287658776,2.744005761,2.5007643844,2.5652152918,2.4857588825,3.0819276501,2.2752859094,3.2175344014,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0147981345,5.0000817871
4/17/2014 11:05:40.648 AM,4,3306.6392887562,3310.7918724983,3311.1744365618,3309.1571131802,3308.0944179229,3309.7349117513,3309.8312702997,3309.8313547704,3310.599391844,3306.9307398568,3308.5781294695,3307.8041471779,3309.1571132508,3308.3846918144,3308.6745998804,3308.5779309788,3307.2223127141,3310.9830828903,3310.1197520351,3308.9642199536,3310.1196316246,3308.8677262856,3310.3114681743,3310.215676909,3311.1744365618,3310.0235487523,3310.5997971299,3309.7350928636,3309.8311225266,3309.2534972871,3308.3847400162,3309.5425105188,3310.0964221584,3310.2885534564,3310.1924554403,3310.7682856873,3311.1517377443,3310.096527643,3310.2886076246,3311.1514141423,12.5880680976,12.6193064932,12.3724219651,12.5944690708,10.5828152774,12.3063715942,13.219393435,13.1636076737,12.76045161,13.1273956809,13.2427339103,12.8974336933,12.6087536368,12.7051928428,11.1616467366,11.2737938671,11.0460251462,11.3202249461,11.165065137,11.1546714503,11.0560550607,11.1170033585,12.0757907643,11.9952626653,11.8310324752,11.852251243,11.7582050664,11.3059748627,10.7730452889,11.2075146112,3311.2143017253,3311.6919630605,3310.5437875188,3312.2645060221,3310.2557711445,3310.3517811913,2.4973276656,2.4940607016,2.5294666974,2.4853871969,2.4931993645,2.4797687542,2.5195800182,2.5375264783,2.4666971084,2.5039600258,2.4442066956,2.4937660023,2.9006572806,2.2278432897,2.5141836995,2.5012764593,2.4900291765,2.531598993,2.5428767657,2.4828011652,2.513072865,2.5501305084,2.5287779329,2.743842923,2.5007767452,2.5649962871,2.4857840601,3.0848527069,2.2756919838,3.215683642,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0162568063,5.0000817871
4/17/2014 11:05:41.648 AM,5,3306.6396152731,3310.7921936282,3311.1747571865,3309.1574364519,3308.0947425721,3309.7352342691,3309.8315926915,3309.8316771621,3310.5997132275,3306.9310660013,3308.5784534931,3307.8044722014,3309.1574365225,3308.3850160884,3308.6749237789,3308.5782550027,3307.2226384852,3310.9834037679,3310.1200740489,3308.9645434762,3310.1199536386,3308.8680499335,3310.3117899365,3310.215998797,3311.1747571865,3310.0238708923,3310.6001185129,3309.7354153812,3309.8314449186,3309.2538204332,3308.3850642902,3309.5428332881,3310.0969834233,3310.2891142818,3310.1930164857,3310.7688454125,3311.152296587,3310.0970889077,3310.2891684499,3311.1519729858,12.5963854725,12.6254135086,12.3737954651,12.5940095913,10.586254091,12.3088134554,13.2221391564,13.1763553888,12.7539603272,13.1276233876,13.2447933755,12.8995696439,12.6119583817,12.7090071291,11.1540842993,11.2718824178,11.0486982583,11.3556669455,11.1707190354,11.15810914,11.0580411386,11.152076953,12.0813998682,11.9964415967,11.8335105397,11.8509857692,11.7604539825,11.3051672112,10.7684926147,11.2224474825,3311.214996056,3311.6926560199,3310.5444837659,3312.2651973306,3310.2564682116,3310.3524779852,2.4974640824,2.4940665009,2.5294197025,2.485303432,2.4932066889,2.479835281,2.5195313416,2.5374707811,2.4667232021,2.5039540744,2.4415548706,2.4937862951,2.9060968843,2.2293882706,2.5142758734,2.5012714241,2.4899811045,2.5316253926,2.5429150671,2.4827445525,2.5130293866,2.5500300986,2.5288089104,2.7437682952,2.5007132627,2.5680356449,2.485729585,3.0890285913,2.2755213746,3.2159738914,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0168382915,5.0000817871
4/17/2014 11:05:42.648 AM,6,3306.6403169507,3310.7928837295,3311.1754462022,3309.1581311557,3308.0954402361,3309.7359273531,3309.8322855045,3309.8323699749,3310.6004038739,3306.9317668787,3308.5791498127,3307.8051706696,3309.1581312263,3308.3857129463,3308.6756198299,3308.5789513229,3307.2233385601,3310.984093327,3310.1207660498,3308.9652387191,3310.1206456399,3308.8687454459,3310.3124813966,3310.2166905274,3311.1754462022,3310.0245631642,3310.6008091581,3309.7361084646,3309.8321377321,3309.2545148674,3308.385761148,3309.5435269122,3310.0975241887,3310.2896546238,3310.1935570395,3310.7693846946,3311.152835019,3310.0976296728,3310.2897087918,3311.1525114185,12.5929333476,12.626540518,12.3773674751,12.5967399809,10.5850126984,12.3091008315,13.2286830985,13.1837424048,12.7593631766,13.1366878197,13.2524847967,12.9045134523,12.614154146,12.7119652419,11.1624678828,11.2729338773,11.0611353703,11.345565984,11.1696311105,11.1629821539,11.0570290978,11.1300512006,12.0802118159,11.9918160942,11.8324748397,11.8445267812,11.7608700047,11.3063475223,10.7751761179,11.2202655728,3311.2154112806,3311.6930704243,3310.5449001366,3312.2656107478,3310.2568850726,3310.3528946829,2.4971791941,2.494062533,2.5295034693,2.4852741372,2.4931552656,2.4798746477,2.5195057062,2.5374790212,2.4667807304,2.5039928345,2.4384759521,2.4937536435,2.9105898133,2.2315216993,2.5142049117,2.5012564708,2.4900456583,2.5316064704,2.5429803777,2.4827579808,2.513034421,2.5500778619,2.5287855628,2.7436326223,2.5006792324,2.5700663601,2.4857178354,3.0925412227,2.2757267771,3.2164771734,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0180462732,5.0000817871
4/17/2014 11:05:43.648 AM,7,3306.6407407287,3310.7933005159,3311.1758623327,3309.1585507217,3308.0958615899,3309.7363459407,3309.8327039286,3309.8327883988,3310.6008209894,3306.9321901732,3308.5795703546,3307.8055925092,3309.1585507923,3308.3861338133,3308.6760402095,3308.5793718651,3307.2237613701,3310.9845097858,3310.1211839833,3308.9656586108,3310.1210635736,3308.8691655002,3310.3128990035,3310.2171082976,3311.1758623327,3310.0249812615,3310.6012262729,3309.7365270519,3309.8325561564,3309.2549342705,3308.3861820148,3309.5439458261,3310.0982634175,3310.2903932738,3310.1942959791,3310.7701218955,3311.1535710576,3310.0983689013,3310.2904474416,3311.1532474581,12.593992779,12.6259968477,12.3801080175,12.6037547251,10.5915018456,12.3003119611,13.2388221376,13.1751827,12.7566815904,13.1401897137,13.255605076,12.8934357909,12.6201752918,12.7143218505,11.1663542683,11.2794952878,11.0489765391,11.3363907617,11.1733664417,11.1581581761,11.0614534209,11.1324872523,12.0819237264,11.9951321495,11.8276163169,11.8412737959,11.757386735,11.3094360591,10.7722269987,11.2238120082,3311.2160102804,3311.6936682409,3310.5455007896,3312.2662071401,3310.2574864332,3310.3534958078,2.4969376418,2.4940655852,2.5293946793,2.4853275392,2.4931570967,2.4797834023,2.5195443118,2.53775003,2.4669197445,2.5040763059,2.4310169983,2.4938242868,2.9160115667,2.232951005,2.5142209353,2.5012511303,2.4899220447,2.5316623215,2.5430444677,2.4828409925,2.5130191654,2.5501453105,2.5287863258,2.7435012226,2.5007059378,2.5705004014,2.4857088325,3.0950338758,2.2759845222,3.2152433846,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0188470169,5.0000817871
4/17/2014 11:05:44.648 AM,8,3306.6418592132,3310.7944005471,3311.1769606333,3309.1596580896,3308.0969736765,3309.7374507263,3309.8338082824,3309.8338927523,3310.6019218895,3306.9333073821,3308.5806802983,3307.8067058779,3309.1596581602,3308.3872446149,3308.6771497247,3308.5804818096,3307.2248772999,3310.9856089528,3310.1222870425,3308.9667668381,3310.1221666333,3308.870274157,3310.3140012006,3310.2182109256,3311.1769606333,3310.0260847527,3310.6023271711,3309.7376318367,3309.8336605109,3309.2560412084,3308.3872928162,3309.5450514729,3310.0984003032,3310.2905300523,3310.1944328112,3310.7702584056,3311.1537073525,3310.0985057869,3310.2905842201,3311.1533837532,12.5922725733,12.6461892775,12.3825875772,12.6021100726,10.5970412805,12.3159219215,13.2475555732,13.1907150583,12.7539681001,13.1335080175,13.2597619656,12.9093482385,12.6177676641,12.7148148067,11.1421013918,11.26837581,11.0445797363,11.3300858869,11.1662177739,11.1616323036,11.0553729278,11.1329808425,12.0859311883,11.9871474061,11.8300204923,11.8387120348,11.7516917939,11.3111529213,10.7881600654,11.2149842888,3311.2165208205,3311.6941777725,3310.5460127388,3312.266715458,3310.2579989852,3310.354008159,2.4971225827,2.4941603579,2.5294654767,2.4854218319,2.4931111667,2.4797287771,2.5196433437,2.5376186457,2.4669482798,2.504044718,2.4182473755,2.4938378661,2.9235283625,2.2352754962,2.514175764,2.5012364823,2.4899536348,2.5316771235,2.5429982314,2.48272853,2.5130190128,2.55015996,2.528807537,2.7433905782,2.500763774,2.5719936013,2.4857227184,3.0963709095,2.2760261826,3.2150486642,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0197547197,5.0000817871
4/17/2014 11:05:45.648 AM,9,3306.6419842668,3310.7945235376,3311.1770834303,3309.1597819003,3308.0970980148,3309.7375742484,3309.8339317562,3309.834016226,3310.6020449771,3306.9334322931,3308.5808043969,3307.8068303595,3309.1597819709,3308.3873688095,3308.6772737755,3308.5806059084,3307.2250020678,3310.9857318466,3310.1224103715,3308.9668907449,3310.1222899624,3308.8703981118,3310.3141244333,3310.2183342064,3311.1770834303,3310.02620813,3310.6024502585,3309.7377553587,3309.8337839847,3309.2561649711,3308.3874170108,3309.5451750912,3310.0985645924,3310.2906942129,3310.1945970362,3310.7704222442,3311.1538709328,3310.098670076,3310.2907483806,3311.1535473337,12.6010301208,12.6324266674,12.3833324735,12.610183687,10.5999273949,12.3075046781,13.2424244593,13.1851995224,12.7560105568,13.1410453077,13.2574530074,12.8972685107,12.6166801458,12.7046470119,11.1491093081,11.2521598781,11.0492983581,11.3465661141,11.1597789612,11.1603139117,11.0506907577,11.1320448922,12.0858388988,11.994464302,11.8314559209,11.8431266043,11.7484665909,11.3125888838,10.7837110587,11.224442956,3311.2168747733,3311.6945310262,3310.5463676686,3312.2670678701,3310.2583543331,3310.3543633676,2.4970885548,2.4944318563,2.529510488,2.4855210071,2.4932312562,2.4798316189,2.5196538725,2.5374341583,2.4667552471,2.5040726435,2.4095339966,2.4937325879,2.928611571,2.2368029273,2.5141795791,2.5012615061,2.4899101412,2.5316272238,2.5429437549,2.4827448577,2.5130615759,2.5500181959,2.5288011279,2.7430549824,2.5007454617,2.5737807406,2.4857945889,3.0965951979,2.275938589,3.2154703041,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0201581432,5.0000817871
