TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 3:23:17.945 PM,0,3311.7128755079,3315.7800710279,3316.1546269322,3314.1792592899,3313.1383987817,3314.74510935,3314.8394699596,3314.8395526782,3315.5916103271,3311.9984235134,3313.612194251,3312.8540606223,3314.179259359,3313.4227265655,3313.7066825269,3313.6119998371,3312.2840774664,3315.9672818927,3315.1219610832,3313.9903428874,3315.1218431761,3313.8958363413,3315.3096884686,3315.215890948,3316.1546269322,3315.027757078,3315.592007155,3314.7452867084,3314.8393252517,3314.273654012,3313.4227737788,3314.5566929001,3315.0985366808,3315.2866717923,3315.1925733033,3315.7563993106,3316.1318270492,3315.098639973,3315.286724833,3316.1315102295,13.9590489614,13.9255699614,13.6840389994,13.7178604004,13.5857666473,13.4328709093,16.2095000713,16.0887369961,15.3695239507,15.6388239835,15.8162787078,15.3304203022,15.0743706576,15.0901309412,12.8909313962,12.8921620314,12.6809390976,12.9053605228,12.782299521,12.7388536413,12.600517994,12.6667973222,14.4137399737,14.381895426,14.0829100642,14.0389910213,13.913565914,13.6850879782,13.431016926,13.3540011539,3316.2632498853,3316.7307316027,3315.6069599396,3317.2910214211,3315.3250302824,3315.4190128722,2.4919974931,2.4960956424,2.5290442013,2.4901906311,2.4980523836,2.4848159382,2.5162910618,2.5351215804,2.4636545158,2.496393118,2.3904788208,2.4860358329,2.6709199951,2.4362898057,2.5138108836,2.5021335254,2.4910545587,2.532291333,2.5417103292,2.483062408,2.5118614201,2.5479619295,2.5286212141,2.6337127026,2.5020183167,2.5734143084,2.4865219925,3.3872046472,3.0801434693,2.6849046639,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1447741891,5.0000817871
4/17/2014 3:23:18.945 PM,1,3311.7125861668,3315.779786655,3316.1543430252,3314.1789729418,3313.1381111632,3314.7448236971,3314.839184423,3314.8392671417,3315.5913257203,3311.9981345157,3313.6119072095,3312.8537726586,3314.178973011,3313.422439293,3313.7063956007,3313.6117127954,3312.2837888131,3315.9669977525,3315.1216758952,3313.990056308,3315.1215579879,3313.8955496462,3315.3094035126,3315.2156058761,3316.1543430252,3315.0274717736,3315.5917225488,3314.7450010558,3314.8390397149,3314.2733677797,3313.4224865063,3314.5564070154,3315.0988749343,3315.28700977,3315.192911419,3315.756736598,3316.1321637828,3315.0989782264,3315.2870628106,3316.1318469636,13.9638286795,13.9222649095,13.6895101429,13.7147081862,13.5888713711,13.4339147866,16.2133594163,16.0833029483,15.3688899642,15.6374282064,15.8199119393,15.32269871,15.0722125401,15.0883543862,12.8858712993,12.872673605,12.6924424154,12.9145707309,12.7821224292,12.7372258875,12.5992715668,12.6524956157,14.4182470764,14.3838854987,14.0867320995,14.0342683339,13.9168540977,13.6937953114,13.4302609878,13.3654549463,3316.263441232,3316.7309225557,3315.6071518367,3317.2912118999,3315.325222415,3315.4192049263,2.4920394558,2.4961078514,2.5291281207,2.490155691,2.4980645909,2.4847834377,2.5162999121,2.5350918244,2.4636642819,2.4963316207,2.3901016235,2.4860515484,2.6667581353,2.4340632874,2.5138668899,2.5021274221,2.4910380769,2.5323229209,2.5417445105,2.4830430284,2.511859742,2.5478972276,2.5285853534,2.6336028213,2.501989017,2.5714882881,2.4865334368,3.3870241484,3.0807662388,2.6851666819,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1477109105,5.0000817871
4/17/2014 3:23:19.945 PM,2,3311.712909159,3315.7801041013,3316.1546599515,3314.179292593,3313.1384322325,3314.7451425722,3314.8395031684,3314.839585887,3315.5916434278,3311.9984571246,3313.6122276348,3312.8540941132,3314.1792926621,3313.4227599761,3313.7067158972,3313.6120332209,3312.2841110375,3315.9673149391,3315.1219942515,3313.9903762175,3315.1218763443,3313.8958696847,3315.3097216099,3315.2159241028,3316.1546599515,3315.0277902597,3315.5920402556,3314.7453199307,3314.8393584605,3314.2736873017,3313.4228071894,3314.5567261494,3315.098629533,3315.2867645688,3315.1926661177,3315.7564918976,3316.1319194842,3315.0987328252,3315.2868176095,3316.1316026646,13.9603459756,13.9210694751,13.6854900132,13.7140466763,13.589049175,13.4325665829,16.2119377161,16.0863757538,15.3727260421,15.6363864087,15.8192512503,15.3251624521,15.0789440058,15.0858651137,12.888032935,12.8840719331,12.6911697034,12.8985693508,12.7839036273,12.7419085099,12.5970054186,12.6635915088,14.4225270241,14.375961924,14.0825442135,14.0373284492,13.9189230967,13.6957118453,13.4305747948,13.3562298936,3316.2631773013,3316.7306591681,3315.6068871469,3317.2909491663,3315.3249574004,3315.4189400199,2.4920635652,2.4960672564,2.5291343765,2.4901440951,2.4980670323,2.4848180743,2.5162989965,2.535059932,2.4636383407,2.4963398611,2.3912785339,2.486037969,2.6631827409,2.4330780646,2.5138472038,2.5021434434,2.4910327356,2.5323026253,2.5417712146,2.4829409423,2.5118864392,2.5480258683,2.5286645521,2.6334761526,2.5019603278,2.5701155026,2.4864884223,3.3868448703,3.0812513612,2.6854367878,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1498273579,5.0000817871
4/17/2014 3:23:20.945 PM,3,3311.7127140189,3315.7799123119,3316.1544684762,3314.1790994714,3313.1382382541,3314.7449499196,3314.8393105941,3314.8393933128,3315.5914514806,3311.9982622161,3313.6120340455,3312.8538999021,3314.1790995406,3313.4225662311,3313.7065223857,3313.6118396315,3312.2839163613,3315.9671233066,3315.1218019122,3313.9901829399,3315.121684005,3313.8956763291,3315.3095294272,3315.2157318418,3316.1544684762,3315.0275978421,3315.5918483088,3314.7451272781,3314.8391658861,3314.2734942582,3313.4226134444,3314.5565333403,3315.0990142134,3315.2871489356,3315.1930506414,3315.7568754793,3316.1323024362,3315.0991175055,3315.2872019762,3316.1319856171,13.9688243752,13.9339006933,13.6880991897,13.7083390093,13.5963900891,13.4405917057,16.2050988333,16.0921805824,15.3719781354,15.6403629306,15.8211703127,15.3410287417,15.0755289234,15.0840509616,12.8776704135,12.8701942238,12.6849240445,12.9047654958,12.7794893419,12.7461225092,12.5935064185,12.6661252477,14.416757833,14.3759895241,14.0834874059,14.0389579874,13.9168139749,13.703142155,13.4383862156,13.3523654541,3316.2632102956,3316.7306920946,3315.6069202361,3317.290982011,3315.3249905302,3315.4189731362,2.4920016131,2.4960124684,2.5290986726,2.4901115962,2.4980517732,2.4848009849,2.5163354659,2.5350346012,2.4636729798,2.4963577151,2.3937005615,2.4860381216,2.6607872953,2.4333356631,2.5139079409,2.5021565657,2.4910266312,2.5323041513,2.5417757925,2.4829662731,2.511832282,2.5481024728,2.5285732981,2.6331913769,2.5020241155,2.5689542436,2.4864934579,3.386615852,3.0814497441,2.6858143256,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1513304308,5.0000817871
4/17/2014 3:23:21.945 PM,4,3311.71265346,3315.7798527929,3316.1544090548,3314.179039539,3313.1381780558,3314.7448901327,3314.8392508315,3314.8393335502,3315.5913919126,3311.9982017291,3313.611973968,3312.8538396315,3314.1790396082,3313.4225061052,3313.7064623323,3313.6117795539,3312.2838559464,3315.9670638363,3315.1217422226,3313.990122959,3315.1216243154,3313.8956163241,3315.3094697861,3315.2156721765,3316.1544090548,3315.0275381281,3315.591788741,3314.7450674913,3314.8391061235,3314.27343435,3313.4225533186,3314.5564735049,3315.0986162714,3315.286751318,3315.1926528615,3315.7564786739,3316.1319062822,3315.0987195636,3315.2868043587,3316.1315894626,13.9676552434,13.9229656577,13.6902875398,13.7196812765,13.5967464912,13.43484439,16.2082715222,16.0834695234,15.3707331256,15.6465857213,15.8315844682,15.3317056603,15.0745891673,15.0930919932,12.8822229779,12.8697107492,12.6868072953,12.8932156561,12.7777079614,12.7407523824,12.5945503993,12.658006814,14.4210456016,14.3734891331,14.0847246779,14.0360756885,13.9165253842,13.6949927176,13.4406159941,13.3500164574,3316.2638701147,3316.7313505556,3315.6075819529,3317.2916388373,3315.3256530591,3315.4196353946,2.4920727207,2.4960130788,2.5290802104,2.4901167838,2.4980937358,2.484811208,2.5163292096,2.5350626787,2.4637019728,2.4964146344,2.3968609619,2.4860893875,2.6586687578,2.4338352944,2.5138377422,2.5021254385,2.4910834019,2.5323661063,2.5417793022,2.4830599664,2.5118557755,2.5481195638,2.528609464,2.6329200311,2.5019922217,2.568491663,2.4865186354,3.3862864379,3.081642328,2.6861102213,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1519447209,5.0000817871
4/17/2014 3:23:22.945 PM,5,3311.7124448526,3315.7796477671,3316.1542043648,3314.1788330893,3313.1379706902,3314.7446841841,3314.8390449668,3314.8391276856,3315.5911867182,3311.9979933693,3313.6117670183,3312.8536320171,3314.1788331585,3313.422298989,3313.7062554658,3313.6115726041,3312.2836478349,3315.9668589782,3315.1215366092,3313.9899163425,3315.1214187018,3313.8954096242,3315.30926434,3315.2154666467,3316.1542043648,3315.0273324308,3315.5915835469,3314.7448615429,3314.8389002586,3314.2732279837,3313.4223462024,3314.5562673892,3315.0990208469,3315.2871555637,3315.1930572722,3315.7568820938,3316.1323090399,3315.0991241389,3315.2872086043,3316.1319922208,13.9585359684,13.9313886609,13.6895550085,13.7149820037,13.5965482187,13.4402921407,16.2027435466,16.0851763367,15.3676390038,15.6415113508,15.8300910967,15.3421773981,15.0748486136,15.0848185109,12.8764549461,12.8858471461,12.6859983297,12.9038550552,12.7751426454,12.7442192308,12.5906858937,12.6740710549,14.4109888479,14.3684661829,14.0814547236,14.0270086754,13.9146285255,13.6973695199,13.4410850134,13.3526984309,3316.263883316,3316.7313637298,3315.6075951922,3317.2916519788,3315.3256663146,3315.4196486447,2.4920556305,2.4960071269,2.5290190255,2.4900940498,2.4980235438,2.4847652802,2.5162944188,2.5350440621,2.4636189611,2.4962953023,2.3990985107,2.4860051649,2.657971224,2.4348478337,2.5138075263,2.5020659306,2.491013049,2.5323954052,2.5417963928,2.4830530997,2.5119200015,2.5480815668,2.5286579904,2.6325070605,2.5019356063,2.5683359942,2.4865164992,3.3849765629,3.0820030796,2.6864334327,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1515866139,5.0000817871
4/17/2014 3:23:23.945 PM,6,3311.7125727096,3315.7797734289,3316.1543298208,3314.1789596238,3313.1380977861,3314.7448104115,3314.8391711428,3314.8392538615,3315.5913124834,3311.9981210745,3313.6118938593,3312.8537592655,3314.178959693,3313.422425932,3313.7063822558,3313.6116994451,3312.283775388,3315.9669845372,3315.1216626312,3313.9900429793,3315.1215447239,3313.8955363121,3315.3093902594,3315.2155926175,3316.1543298208,3315.0274585042,3315.5917093118,3314.7449877701,3314.8390264347,3314.2733544671,3313.4224731454,3314.556393719,3315.0989545156,3315.2870892865,3315.1929909679,3315.756815952,3316.1322430066,3315.0990578077,3315.2871423271,3316.1319261874,13.9564220843,13.9250776163,13.6883549659,13.7117989978,13.5960352703,13.4376430801,16.2005564634,16.0827595978,15.3740625689,15.6424469377,15.820892252,15.3345011934,15.0731169345,15.0772968086,12.8823514316,12.8779302305,12.6863249724,12.9005946524,12.7782943351,12.7393535092,12.5955951787,12.668747829,14.4070501372,14.375129311,14.0843054752,14.0264259695,13.9115276198,13.6902233208,13.4377546109,13.349139293,3316.2639163031,3316.731396649,3315.6076282742,3317.2916848162,3315.3256994372,3315.4196817537,2.4921020183,2.4960523003,2.5290297061,2.490151724,2.4980288845,2.484784811,2.5163598805,2.5350916718,2.4636006497,2.4962856885,2.3976094055,2.4859799897,2.6597423678,2.4361181242,2.5138336219,2.5020970578,2.4910525748,2.5324431686,2.5418327104,2.4829319392,2.5118257221,2.5480733264,2.5286206037,2.6325777203,2.501972536,2.5680008483,2.4865111585,3.3834515542,3.0822916504,2.6868669756,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1518521043,5.0000817871
4/17/2014 3:23:24.945 PM,7,3311.71270729,3315.7799056985,3316.1544618737,3314.1790928121,3313.1382315653,3314.7449432764,3314.8393039537,3314.8393866723,3315.5914448618,3311.9982554952,3313.6120273701,3312.8538932052,3314.1790928813,3313.4225595503,3313.706515713,3313.6118329561,3312.2839096484,3315.9671166986,3315.1217952799,3313.9901762752,3315.1216773727,3313.8956696618,3315.3095228002,3315.2157252122,3316.1544618737,3315.027591207,3315.59184169,3314.745120635,3314.8391592456,3314.2734876016,3313.4226067636,3314.5565266918,3315.0994983662,3315.2876326937,3315.193534597,3315.7573582491,3316.1327844134,3315.099601658,3315.2876857342,3316.132467595,13.963126321,13.9235456653,13.6897989077,13.7226263514,13.5976317349,13.4324489929,16.1990277768,16.0874772132,15.3770289561,15.6451839943,15.8253055548,15.3402871922,15.0729584634,15.085367052,12.8905859001,12.8905948627,12.6745622205,12.9089835374,12.7798154001,12.736522234,12.5979565786,12.6634735869,14.4099744471,14.3696637722,14.0813556308,14.0326310783,13.9134612932,13.6918519002,13.4287756931,13.359620027,3316.2637645454,3316.7312452036,3315.60747608,3317.2915337469,3315.3255470562,3315.419529435,2.4920997294,2.4959676002,2.5290474055,2.4901338724,2.4980009602,2.4847648224,2.5163051002,2.5350602372,2.4636110262,2.4962838574,2.394559021,2.485923231,2.6602963365,2.4380578962,2.5138569705,2.5020436533,2.4910380769,2.5323610706,2.5417503091,2.4830474536,2.5118550128,2.5481114761,2.5285935937,2.6327610084,2.5019966471,2.5665567909,2.4865024608,3.3812327771,3.0823214078,2.687372394,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1527723188,5.0000817871
4/17/2014 3:23:25.945 PM,8,3311.7123775616,3315.7795816315,3316.1541383376,3314.1787664944,3313.1379037999,3314.7446177509,3314.8389785606,3314.8390612794,3315.5911205282,3311.9979261582,3313.6117002622,3312.8535650465,3314.1787665636,3313.4222321791,3313.7061887365,3313.6115058479,3312.2835807039,3315.9667928968,3315.121470284,3313.9898496938,3315.1213523766,3313.8953429486,3315.3091980688,3315.2154003486,3316.1541383376,3315.0272660786,3315.591517357,3314.7447951097,3314.8388338524,3314.2731614157,3313.4222793925,3314.5562009021,3315.0986427981,3315.2867778231,3315.1926793774,3315.7565051248,3316.1319326897,3315.0987460903,3315.2868308638,3316.1316158701,13.9614246395,13.9259629822,13.6922941251,13.7170330294,13.5943263645,13.4348663838,16.1974806467,16.084329719,15.372203428,15.6507225984,15.8318350111,15.3400345785,15.0804793629,15.0811525433,12.9123073204,12.8983566122,12.6872874207,12.9067460569,12.7817003866,12.741690635,12.603890312,12.6521499173,14.4109101077,14.3741079375,14.0781715644,14.0317359604,13.9161525267,13.6969857351,13.4353589466,13.3555959397,3316.2636061852,3316.7310871693,3315.6073172643,3317.2913761049,3315.3253880456,3315.4193704893,2.4920437283,2.4960471115,2.5290428281,2.4901009158,2.4980534517,2.4848008323,2.5163672049,2.5350596268,2.4636624507,2.4963012536,2.3935411072,2.4859253671,2.6571060198,2.4379237557,2.5138496455,2.5020622686,2.4910287677,2.532331619,2.5417574811,2.4830866706,2.5118231286,2.5481110183,2.5286035126,2.6328681427,2.502039681,2.5651174647,2.4865428975,3.380382312,3.0824914067,2.6877062877,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1526131771,5.0000817871
4/17/2014 3:23:26.945 PM,9,3311.7124044817,3315.7796080895,3316.1541647523,3314.1787931361,3313.1379305597,3314.7446443279,3314.8390051268,3314.8390878456,3315.591147008,3311.9979530463,3313.6117269683,3312.8535918384,3314.1787932053,3313.4222589068,3313.7062154319,3313.6115325541,3312.28360756,3315.9668193331,3315.1214968178,3313.989876357,3315.1213789104,3313.8953696226,3315.309224581,3315.2154268716,3316.1541647523,3315.0272926232,3315.5915438367,3314.7448216867,3314.8388604186,3314.2731880466,3313.4223061202,3314.5562275007,3315.0993259285,3315.2874603965,3315.1933622295,3315.757186304,3316.1326127505,3315.0994292204,3315.2875134371,3316.1322959319,13.9628307203,13.9273695869,13.6904191206,13.721872786,13.5984807601,13.4357389222,16.1941635445,16.084362656,15.3746755471,15.6470982502,15.8316395824,15.3382388176,15.0719008711,15.0880428772,12.8782344529,12.8657970312,12.6942677941,12.8950267499,12.7699750762,12.7445489242,12.5878078348,12.6673005429,14.4078058402,14.3809951582,14.072929523,14.0334371141,13.9075525597,13.695176759,13.4316425495,13.3417299786,3316.2637249572,3316.7312056968,3315.6074363778,3317.2914943382,3315.3255073054,3315.4194897004,2.4920267907,2.4959494392,2.5290649523,2.4900765034,2.4980610813,2.4848098348,2.5163554554,2.5350806849,2.4636148411,2.4963050686,2.3955734253,2.4858741011,2.6510350961,2.4361384208,2.5138060002,2.5021117059,2.4910698196,2.5324373699,2.5417004105,2.4829812274,2.5118687428,2.5480023681,2.528567652,2.6330154141,2.5019678053,2.5642354939,2.4865451864,3.3809505093,3.082642025,2.6882376485,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1538355014,5.0000817871
