TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 11:24:43.926 AM,0,3307.3536315937,3311.494397348,3311.8758530223,3309.8643365617,3308.8046632953,3310.4404814058,3310.5365634292,3310.5366476575,3311.3024730832,3307.6442657109,3309.2870024345,3308.5152136289,3309.8643366322,3309.0941142333,3309.3831985123,3309.2868045081,3307.9350193933,3311.6850541763,3310.824216031,3309.6719937423,3310.824095967,3309.5757750987,3311.0153801028,3310.9198647839,3311.8758530223,3310.7282894596,3311.3028771984,3310.4406619985,3310.5364160804,3309.9604453299,3309.0941622983,3310.2486316864,3310.7032234907,3310.8948785451,3310.7990188219,3311.3734184637,3311.7559142158,3310.703328714,3310.894932579,3311.7555914222,12.7568326688,12.7725594806,12.4472209566,12.6023356569,11.9143890851,12.2329284893,13.9586820831,14.0045300665,13.6100806902,14.133397728,14.3343274117,14.0619275201,13.7220742054,13.3868445245,11.2407460056,11.3821449635,11.1740908176,11.4704911145,11.3475283274,11.3093960032,11.1972711176,11.297905834,12.3098866514,12.2236500199,11.9606058311,11.9624288418,11.8803848381,11.5948505514,10.9864721251,11.4069297941,3311.8372478555,3312.3136756579,3311.168457284,3312.8847338119,3310.8811784667,3310.976942837,2.4977952059,2.4943486822,2.5293908647,2.4849049005,2.4921782224,2.4792467633,2.5191252957,2.5374147787,2.465951529,2.5029412774,2.4247814941,2.4926563086,2.7336450917,2.3506678944,2.5142270395,2.5016211473,2.4904106998,2.5319232651,2.5428198478,2.4829970973,2.5129830097,2.550024605,2.5288574368,2.8360308991,2.5011664912,2.7842791935,2.485885686,3.1591078923,2.2721540545,3.7836061474,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9765005217,5.0000817871
4/17/2014 11:24:44.926 AM,1,3307.3550479862,3311.4957902428,3311.8772437133,3309.8657387986,3308.8060715408,3310.4418803545,3310.5379618281,3310.5380460559,3311.3038670842,3307.645680479,3309.2884079512,3308.516623507,3309.865738869,3309.0955208425,3309.3846034836,3309.288210026,3307.9364325327,3311.6864459704,3310.8256127814,3309.6733970735,3310.8254927181,3309.5771789767,3311.0167757556,3310.9212609853,3311.8772437133,3310.7296867602,3311.3042711971,3310.4420609462,3310.5378144802,3309.9618470193,3309.0955689072,3310.2500317318,3310.7045996794,3310.8962536512,3310.8003944697,3311.3747908591,3311.7572844371,3310.7047049021,3310.8963076847,3311.7569616453,12.7688673607,12.791318082,12.4458994556,12.6096422554,11.9104699461,12.2456564124,13.9972496868,14.0208355093,13.6200545329,14.1403164259,14.3432292251,14.0648035628,13.7567587875,13.3866700184,11.2528669296,11.3957208058,11.1837719628,11.4870435203,11.3709652759,11.3099080516,11.2212489883,11.2945211547,12.3036545349,12.2262770742,11.953683688,11.9690281479,11.8724694874,11.5908308523,10.9895595529,11.4202538408,3311.8389618637,3312.3153862635,3311.1701760467,3312.8864403219,3310.8828992638,3310.9786629565,2.4977372211,2.4943535658,2.5294238222,2.4849250407,2.4922214058,2.4790488614,2.5191559665,2.5373548089,2.4658308263,2.5028607053,2.4281108093,2.4926314385,2.7354079968,2.3491538925,2.5142409267,2.5015848322,2.4904177199,2.5319304372,2.5427615564,2.4829656627,2.5129645504,2.5499003897,2.5288945182,2.8365667231,2.5011899919,2.7887304065,2.4859218502,3.1596789886,2.2720673764,3.7919357857,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9797677331,5.0000817871
4/17/2014 11:24:45.926 AM,2,3307.355552355,3311.4962862441,3311.8777389298,3309.8662381265,3308.8065730084,3310.4423785116,3310.5384597894,3310.538544017,3311.3043634794,3307.6461842692,3309.2889084471,3308.5171255559,3309.8662381969,3309.0960217274,3309.3851037852,3309.2887105222,3307.9369357429,3311.6869415797,3310.8261101556,3309.6738967911,3310.8259900925,3309.5776788891,3311.0172727389,3310.921758164,3311.8777389298,3310.7301843303,3311.3047675915,3310.4425591029,3310.5383124417,3309.9623461523,3309.096069792,3310.2505302793,3310.7065890103,3310.8982414169,3310.8023830185,3311.3767747064,3311.7592651417,3310.7066942321,3310.89829545,3311.7589423526,12.7730847352,12.7889707362,12.4539388742,12.6133263649,11.913163174,12.2572815707,14.0196912387,14.0358095368,13.6309860615,14.146590595,14.3472149361,14.0658146753,13.7810353327,13.3837918069,11.282978375,11.4292016798,11.1748519637,11.4954651173,11.3872610352,11.3168051649,11.2418294963,11.2959922864,12.3037877043,12.2262575044,11.9527470967,11.9650368032,11.8652678528,11.5938678101,10.9870181566,11.4142754085,3311.8402423054,3312.3166641634,3311.1714600401,3312.8877151622,3310.8841847771,3310.9799479635,2.4976000414,2.4943305213,2.5294549486,2.4848444799,2.4922304087,2.4790197178,2.5190952351,2.5372765276,2.4658753841,2.5029032803,2.4290942383,2.4926575292,2.7340071318,2.3469426349,2.5141913298,2.5015724729,2.4904331334,2.5319615674,2.542578595,2.4830372298,2.5128811025,2.5497094889,2.5289648662,2.8369653481,2.5012243274,2.7902443622,2.4859908216,3.1593991621,2.2723438916,3.7977778556,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9816572929,5.0000817871
4/17/2014 11:24:46.926 AM,3,3307.3562018076,3311.4969249222,3311.8783765974,3309.8668810883,3308.8072187254,3310.4430199657,3310.5391009914,3310.5391852188,3311.3050026648,3307.6468329771,3309.2895529129,3308.5177720215,3309.8668811588,3309.0966666941,3309.3857480009,3309.2893549885,3307.9375837039,3311.6875797532,3310.8267506016,3309.6745402547,3310.8266305389,3309.5783226034,3311.0179126816,3310.9223983583,3311.8783765974,3310.7308250287,3311.3054067758,3310.4432005565,3310.5389536441,3309.962988863,3309.0967147586,3310.2511722362,3310.7078766006,3310.8995279942,3310.8036701027,3311.3780587475,3311.7605471486,3310.7079818219,3310.899582027,3311.7602243612,12.7788661609,12.7888759392,12.4615586167,12.6139951499,11.9128388592,12.2597064787,14.0248590073,14.039300805,13.6288308886,14.1494706648,14.3435349075,14.0711355569,13.7779659106,13.3883504211,11.2560774516,11.396944753,11.1977555865,11.4692485207,11.3857141645,11.3157165978,11.233784929,11.2929938828,12.3110610948,12.2324619273,11.9547514295,11.9678046453,11.8743776963,11.5888422229,10.9939142377,11.4086398658,3311.8411026803,3312.3175228303,3311.1723228017,3312.8885717731,3310.8850485599,3310.9808114061,2.4977382893,2.4942693235,2.5294715799,2.4849688303,2.492406957,2.4790191075,2.519008258,2.5372298335,2.4659284871,2.5029710341,2.4272796631,2.4926643952,2.7331056167,2.3454586963,2.5142386376,2.501637779,2.4904204668,2.5319389828,2.5425549428,2.4830363142,2.5128238941,2.5497325312,2.529048948,2.8371263547,2.5011820566,2.7930586106,2.4858978934,3.164059479,2.2721786234,3.8051448793,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9844701188,5.0000817871
4/17/2014 11:24:47.926 AM,4,3307.3573625378,3311.4980663957,3311.8795162648,3309.8680302178,3308.8083727789,3310.4441664004,3310.5402469756,3310.5403312026,3311.3061450449,3307.647992376,3309.2907047302,3308.5189274129,3309.8680302882,3309.0978194067,3309.3868993712,3309.2905068067,3307.938741768,3311.6887203247,3310.8278952348,3309.675690281,3310.8277751727,3309.5794730778,3311.0190564152,3310.9235425416,3311.8795162648,3310.7319701127,3311.306549154,3310.4443469904,3310.540099629,3309.9641375438,3309.097867471,3310.2523195696,3310.708687305,3310.9003380608,3310.8044804884,3311.3788672172,3311.7613543376,3310.7087925259,3310.9003920934,3311.7610315512,12.7670127766,12.7772454022,12.4684072095,12.6135877231,11.9127364888,12.2511298415,14.0102672166,14.0294318916,13.6265157934,14.147690459,14.3423648931,14.0633295377,13.7611590777,13.3820704469,11.2714026565,11.4103645125,11.1845115903,11.4605156824,11.3731561037,11.3165313698,11.2285610709,11.3099309309,12.309007228,12.2243744919,11.9539954604,11.9694170198,11.8825606779,11.5898439082,10.9959094589,11.3940556925,3311.8420443604,3312.318462641,3311.1732670939,3312.8895093336,3310.8859939698,3310.9817564438,2.4977445455,2.4942140776,2.5294950774,2.4849197005,2.4923518715,2.4792705664,2.5191103417,2.5372151844,2.4659350487,2.5029780536,2.4260136414,2.4926584447,2.7313582733,2.3437440179,2.5142287182,2.5015990226,2.4904203142,2.5318999175,2.5426797655,2.4828629662,2.5129544818,2.5498155449,2.5289055053,2.8370883541,2.5011489419,2.7940062065,2.4858838549,3.1660356584,2.2721580221,3.8123826489,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9871073243,5.0000817871
4/17/2014 11:24:48.926 AM,5,3307.357417814,3311.4981207549,3311.8795705381,3309.8680849416,3308.8084277372,3310.4442209959,3310.5403015496,3310.5403857766,3311.3061994473,3307.6480475888,3309.290759582,3308.5189824349,3309.868085012,3309.0978743011,3309.3869542017,3309.2905616586,3307.9387969173,3311.6887746409,3310.8279497445,3309.6757450475,3310.8278296824,3309.5795278657,3311.0191108821,3310.9235970298,3311.8795705381,3310.7320246439,3311.3066035563,3310.4444015859,3310.540154203,3309.9641922462,3309.0979223654,3310.2523742079,3310.7078902263,3310.8995416091,3310.803683723,3311.3780723356,3311.7605607152,3310.7079954475,3310.899595642,3311.7602379278,12.7547635451,12.7710982031,12.4607294206,12.6170600263,11.9128500141,12.2605575021,13.9699600541,14.0135986072,13.6044229551,14.1380403039,14.3319519491,14.0545183809,13.7157335409,13.3782931783,11.2606708554,11.3964212214,11.1713300531,11.4594063639,11.3412512314,11.3145052759,11.2027629282,11.3157748942,12.3037209348,12.2206920294,11.9595564582,11.9558806289,11.8813219572,11.5902858024,11.0013187265,11.4142850919,3311.8409062183,3312.3173267583,3311.1721257947,3312.8883761706,3310.8848513197,3310.9806142436,2.4978293864,2.4939195347,2.529385677,2.4848496676,2.4924243525,2.4791796262,2.5190459481,2.5371721526,2.4659587009,2.502956995,2.4221759033,2.4927066591,2.7303493515,2.3414875889,2.5142929652,2.5016283188,2.4903557605,2.5318982389,2.5427707122,2.4830132724,2.5129643979,2.5497656451,2.5289062683,2.8368946883,2.5011551986,2.7937693457,2.4859117792,3.1669169441,2.2723103191,3.8185218353,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9895652474,5.0000817871
4/17/2014 11:24:49.926 AM,6,3307.3581847204,3311.4988749381,3311.880323528,3309.8688441832,3308.8091902323,3310.4449784571,3310.5410587131,3310.5411429398,3311.3069542295,3307.6488136156,3309.2915205995,3308.519745814,3309.8688442536,3309.0986359102,3309.3877149239,3309.2913226767,3307.9395620622,3311.6895282282,3310.8287060154,3309.6765048817,3310.8285859536,3309.580287996,3311.0198665586,3310.9243530035,3311.880323528,3310.7327812127,3311.3073583372,3310.4451590465,3310.540911367,3309.9649511914,3309.0986839744,3310.2531322629,3310.7081899823,3310.8998411294,3310.8039833613,3311.3783712654,3311.7608591715,3310.7082952035,3310.8998951621,3311.7605363844,12.7534820281,12.7715717849,12.4619669993,12.6111206118,11.921956637,12.2559920957,13.9666962854,14.01315616,13.605125387,14.136148959,14.3421122709,14.0600258613,13.7126215626,13.3744950236,11.2393020711,11.3896373407,11.1697409438,11.457970789,11.3450874894,11.3079485594,11.202396189,11.3142623081,12.2999702253,12.2209127882,11.9634443554,11.958545666,11.8719160279,11.5903538283,11.0055899314,11.4087760206,3311.841454971,3312.3178744216,3311.1726760695,3312.8889225226,3310.8854022459,3310.9811649529,2.497692817,2.4939358642,2.5293423441,2.4847376759,2.4923402746,2.4791999199,2.5190692946,2.5371025693,2.4659481719,2.5029782062,2.4164450073,2.4926517313,2.7303031239,2.3401522884,2.5142296338,2.5016422039,2.4903371421,2.531846508,2.5425998057,2.4829955713,2.5129642453,2.5496435662,2.5288639985,2.8368962144,2.5011158273,2.7943741649,2.4859767831,3.1675097063,2.2722822403,3.8242517426,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9923452685,5.0000817871
4/17/2014 11:24:50.926 AM,7,3307.3592487124,3311.4999212781,3311.8813682125,3309.8698975411,3308.8102481041,3310.446029345,3310.542109188,3310.5421934143,3311.3080014006,3307.6498763873,3309.2925764214,3308.5208049121,3309.8698976116,3309.0996925528,3309.388770336,3309.2923784994,3307.9406236103,3311.6905737414,3310.8297552518,3309.6775590618,3310.8296351906,3309.5813425868,3311.0209149705,3310.9254018275,3311.8813682125,3310.7338308624,3311.3084055066,3310.4462099336,3310.5419618425,3309.9660041381,3309.0997406167,3310.2541839745,3310.7088576128,3310.9005082346,3310.8046507293,3311.3790370556,3311.7615239069,3310.7089628337,3310.9005622672,3311.7612011207,12.7607418519,12.7695970088,12.4659490368,12.621590106,11.9202860341,12.2524903907,13.9701384717,14.0173628159,13.6016252232,14.1394389835,14.3406730426,14.0602648921,13.7193445286,13.3762600222,11.2553509234,11.3940023577,11.1627217601,11.4914358983,11.3460145928,11.3084936995,11.2033998593,11.3005190055,12.3061176533,12.2176660965,11.9638637978,11.9589649419,11.8724118944,11.5919959306,11.0071559777,11.4058339416,3311.8417801512,3312.3181989563,3311.1730021517,3312.8892462802,3310.8857287141,3310.9814912925,2.497782083,2.4940005721,2.5294226015,2.484697243,2.4923524819,2.4791048598,2.519018329,2.5371124879,2.4659974601,2.5029644724,2.4106695557,2.492593752,2.7301424714,2.3390660405,2.5141995705,2.501580865,2.4903443148,2.5319383724,2.5424238636,2.482991909,2.5129434978,2.5496943816,2.5288495016,2.8372434088,2.501054176,2.7938715987,2.4859316161,3.1692942488,2.2722396643,3.8297475581,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9954176342,5.0000817871
4/17/2014 11:24:51.926 AM,8,3307.3599603322,3311.5006210918,3311.8820669189,3309.8706020486,3308.8109556305,3310.4467322005,3310.5428117672,3310.5428959933,3311.3087017701,3307.650587191,3309.2932825768,3308.5215132589,3309.8706021191,3309.1003992571,3309.3894762174,3309.2930846554,3307.9413335956,3311.6912730021,3310.8304570027,3309.6782641191,3310.8303369418,3309.5820479189,3311.0216161698,3310.9261033025,3311.8820669189,3310.7345328897,3311.3091058749,3310.4469127886,3310.5426644221,3309.9667083706,3309.1004473209,3310.2548873809,3310.7095320796,3310.9011821707,3310.8053249309,3311.3797096632,3311.762195449,3310.7096373002,3310.9012362032,3311.7618726637,12.7553399513,12.7778581187,12.4687909067,12.6129027766,11.922669968,12.2573925931,13.9757217997,14.0221091818,13.6012595164,14.1410565713,14.3445026029,14.063636839,13.7106644992,13.3718519208,11.2387175432,11.3762177621,11.1654118785,11.4792310611,11.3480172294,11.3169154102,11.2035683851,11.3215470329,12.3056412969,12.2200920147,11.9656791626,11.9707863135,11.8769777968,11.595951355,11.0114174227,11.4135322982,3311.8424101896,3312.3188277439,3311.1736339378,3312.8898735624,3310.8863612481,3310.9821235774,2.4976404781,2.494407133,2.5293164053,2.4847321831,2.4924625003,2.4789563953,2.5191515414,2.5370862416,2.4659904407,2.5030000278,2.404017334,2.49251075,2.7303247883,2.3386492741,2.5142014018,2.5015872736,2.4903856719,2.5319550056,2.5423898349,2.4828876866,2.5129122238,2.5496325791,2.5288647615,2.8367646621,2.5011089602,2.7915269513,2.485987312,3.1699338523,2.2725314397,3.8343155523,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9979529158,5.0000817871
4/17/2014 11:24:52.926 AM,9,3307.3602297865,3311.5008860757,3311.8823314835,3309.8708688098,3308.8112235348,3310.4469983361,3310.5430777982,3310.5431620242,3311.3089669644,3307.6508563362,3309.293549962,3308.5217814738,3309.8708688803,3309.1006668501,3309.3897434988,3309.2933520408,3307.941602431,3311.6915377766,3310.8307227201,3309.6785310885,3310.8306026594,3309.5823149924,3311.0218816784,3310.9263689155,3311.8823314835,3310.7347987118,3311.3093710688,3310.447178924,3310.5429304533,3309.9669750276,3309.1007149139,3310.2551537252,3310.7099271925,3310.9015769727,3310.8057198885,3311.3801036869,3311.7625888484,3310.7100324129,3310.9016310051,3311.7622660637,12.756959453,12.7726071862,12.4678147698,12.6179583996,11.9252080217,12.2553482223,13.9752049333,14.0170900886,13.6092889286,14.1342085648,14.3481044946,14.0637300701,13.7138852181,13.3687418015,11.2523290794,11.3967088882,11.1653524833,11.4779495904,11.3507851951,11.3199125536,11.20755998,11.3185076787,12.3180414543,12.2126348799,11.963185663,11.9643214766,11.8749427064,11.594909213,11.0091525867,11.4110388114,3311.8428166607,3312.3192334081,3311.1740415365,3312.8902782552,3310.8867693292,3310.9825314978,2.4977675868,2.4944272779,2.5293995618,2.4847958078,2.4924309139,2.4788541638,2.5191654272,2.537141481,2.465944357,2.503001096,2.3970611572,2.4925348572,2.7306392277,2.3383329223,2.5142111685,2.5016173327,2.4904120733,2.5319330314,2.5424743726,2.4829667309,2.5129122238,2.5497938759,2.5287788485,2.8364273875,2.501094463,2.7875987551,2.4859311583,3.1708099504,2.2729590311,3.8364167319,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9995960578,5.0000817871
