TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 4:03:58.269 PM,0,3311.7105405377,3315.7777761498,3316.152335814,3314.1769484728,3313.1360777125,3314.742804143,3314.8371656907,3314.8372484102,3315.5893135616,3311.9960913149,3313.6098778378,3312.8517367676,3314.176948542,3313.4204082883,3313.7043670443,3313.609683422,3312.2817480471,3315.9649888924,3315.119659627,3313.9880302031,3315.1195417187,3313.8935227239,3315.3073888852,3315.2135904285,3316.152335814,3315.0254546831,3315.5897103935,3314.7429815032,3314.8370209813,3314.271344129,3313.420455502,3314.5543858222,3315.1799598443,3315.3680285517,3315.2739632886,3315.8375898241,3316.2128842254,3315.1800631001,3315.3680815737,3316.2125675184,13.8256651943,13.7723975375,13.5193234176,13.5555390377,13.4263436455,13.2872661105,16.0859586046,15.8870598347,15.0519875807,15.2357168312,15.3737421798,14.6645183496,14.4464584168,14.5695079145,13.0091052588,13.1149150892,12.7688430823,12.9312813462,12.6707651305,12.5621793755,12.4402822499,12.4741107536,14.1280735658,13.972571166,13.6160944179,13.5098611022,13.4049638023,13.219315308,13.0125412334,13.0491152913,3316.3662508607,3316.8335204848,3315.7102572818,3317.3935550099,3315.4284544443,3315.5223947909,2.4917960724,2.4961424946,2.5287536876,2.4904271257,2.4983999869,2.4856722413,2.5165033165,2.5362413228,2.4635951563,2.496120119,2.6941259766,2.4856363859,1.9814815775,2.7002454511,2.5140214796,2.5029800632,2.4922919153,2.5328100157,2.5430910091,2.483738404,2.5117814809,2.5480063357,2.5288490438,2.7695607959,2.5027964353,2.6550694808,2.4871056548,3.2840890338,2.8795784016,2.6743351305,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1178340761,5.0000817871
4/17/2014 4:03:59.269 PM,1,3311.7102309858,3315.7774719126,3316.1520320752,3314.1766421227,3313.1357700034,3314.7424985366,3314.8368602086,3314.8369429282,3315.5890090742,3311.9957821305,3313.6095707459,3312.8514286892,3314.1766421919,3313.4201009493,3313.7040600758,3313.6093763298,3312.2814392311,3315.9646849041,3315.1193545178,3313.9877236055,3315.1192366093,3313.8932160027,3315.3070840242,3315.2132854435,3316.1520320752,3315.0251494494,3315.5894059067,3314.742675897,3314.8367154991,3314.2710379027,3313.4201481631,3314.5540799678,3315.1800327689,3315.3681014168,3315.2740361834,3315.8376625402,3316.2129568221,3315.1801360247,3315.3681544388,3316.2126401152,13.8246582446,13.7688720676,13.511216054,13.5481221114,13.4202217098,13.2870976774,16.0771090556,15.8886444597,15.0490749777,15.2265548624,15.3663329918,14.6673998391,14.4476627287,14.5710928842,13.0084793471,13.1043672476,12.761040756,12.9479025886,12.6682295806,12.5614000596,12.4436273976,12.4807381985,14.1255426544,13.9594355693,13.618904941,13.5172499994,13.4021260396,13.2183858451,13.0183293611,13.0357448701,3316.3666004112,3316.8338693153,3315.7106078385,3317.3939029737,3315.4288054316,3315.5227456348,2.491827964,2.4960829755,2.5288777357,2.4903657897,2.4984471377,2.4855372042,2.5165883099,2.5363279968,2.4635490726,2.4961739864,2.6860990906,2.485653322,1.9824546463,2.6901432541,2.513989585,2.5030363668,2.492250253,2.5328217658,2.5429547418,2.4837780787,2.5117096272,2.5477926976,2.5288011279,2.7693567524,2.502817647,2.6526134234,2.4871448708,3.2821549657,2.8822858698,2.6758324633,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1208657028,5.0000817871
4/17/2014 4:04:00.269 PM,2,3311.7101367897,3315.7773793341,3316.1519396484,3314.1765489011,3313.1356763682,3314.7424055413,3314.8367672512,3314.8368499708,3315.5889164196,3311.9956880462,3313.6094772985,3312.8513349416,3314.1765489702,3313.4200074266,3313.7039666659,3313.6092828823,3312.2813452589,3315.9645924014,3315.1192616739,3313.9876303086,3315.1191437654,3313.8931226681,3315.3069912559,3315.2131926373,3316.1519396484,3315.0250565676,3315.5893132522,3314.7425829018,3314.8366225416,3314.2709447188,3313.4200546405,3314.553986897,3315.1795819353,3315.3676509511,3315.2735855337,3315.8372129952,3316.2125080156,3315.1796851913,3315.3677039731,3316.2121913081,13.826266461,13.7690315543,13.5198490956,13.5475950215,13.4231291318,13.2832133712,16.0779537236,15.8830886616,15.0426017655,15.2308300869,15.3696937172,14.6665681698,14.4401975879,14.5678224272,13.0032216081,13.0772806941,12.760666003,12.9327989392,12.6572407895,12.558505236,12.4333989816,12.4820432914,14.1241971593,13.9654900429,13.6082473925,13.5184986062,13.3990239196,13.2120770045,13.0110289543,13.0492823353,3316.3666333802,3316.8339022164,3315.7106409025,3317.393935793,3315.4288385361,3315.5227787259,2.4918061434,2.4961083093,2.5289753874,2.4904362804,2.4984385926,2.4856917721,2.5163467576,2.5360228067,2.4634926124,2.4959949882,2.6795219421,2.4856992477,1.9837671753,2.6800082468,2.5139927897,2.5029764012,2.4923247263,2.5328715129,2.542626815,2.4839009177,2.5117013892,2.5476945767,2.5289277847,2.7692529756,2.5028126111,2.647014229,2.4871238132,3.2742388047,2.8836792805,2.6774915544,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1228117176,5.0000817871
4/17/2014 4:04:01.269 PM,3,3311.7102915621,3315.7775314492,3316.1520915143,3314.1767020726,3313.1358302192,3314.742558341,3314.8369199887,3314.8370027083,3315.5890686597,3311.9958426349,3313.6096308409,3312.8514889772,3314.1767021418,3313.4201610926,3313.7041201467,3313.6094364249,3312.2814996634,3315.964744392,3315.1194142249,3313.9877836039,3315.1192963165,3313.8932760252,3315.3071436828,3315.2133451263,3316.1520915143,3315.0252091809,3315.5894654921,3314.7427357014,3314.8367752792,3314.2710978284,3313.4202083064,3314.5541398207,3315.1803178569,3315.3683862723,3315.2743211553,3315.8379468134,3316.2132406283,3315.1804211126,3315.3684392942,3316.2129239218,13.8239036621,13.7791040489,13.5186285154,13.5565995876,13.4235117305,13.2859613355,16.0764315803,15.8818703779,15.0390196984,15.2330415741,15.3693898675,14.6684754227,14.4424098869,14.5702625445,12.9992555247,13.0830057655,12.7644076468,12.9334105564,12.6590743195,12.5577424203,12.4356148588,12.4889164827,14.1199148107,13.9615127248,13.6081605475,13.5181068482,13.4050440007,13.2138989673,13.0105606175,13.0549965237,3316.3667125319,3316.833981205,3315.7107202819,3317.3940145854,3315.428918013,3315.5228581703,2.4918169774,2.4960860278,2.5288415741,2.4904451298,2.4987143253,2.4856289074,2.5164540294,2.5357809436,2.4634964273,2.496076781,2.6699119568,2.4858062043,1.9876402269,2.6700472101,2.5139982835,2.5030259911,2.4923608947,2.5328818896,2.5425117584,2.4837797573,2.5116772854,2.5476118682,2.5288797162,2.7689192111,2.5028596126,2.645908675,2.4871366309,3.2735709745,2.8857226239,2.6773920578,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.124209052,5.0000817871
4/17/2014 4:04:02.269 PM,4,3311.7103453901,3315.7775843529,3316.1521443313,3314.1767553438,3313.1358837267,3314.7426114828,3314.8369731089,3314.8370558284,3315.5891216069,3311.995896399,3313.6096842411,3312.851542549,3314.1767554129,3313.4202145358,3313.7041735254,3313.6094898252,3312.2815533634,3315.9647972524,3315.1194672803,3313.9878369181,3315.1193493719,3313.8933293609,3315.307196695,3315.2133981601,3316.1521443313,3315.0252622579,3315.5895184392,3314.7427888432,3314.8368283994,3314.271151078,3313.4202617496,3314.5541930057,3315.1798338722,3315.3679026824,3315.2738373678,3315.837464212,3316.2127588197,3315.1799371281,3315.3679557044,3316.2124421125,13.8232727917,13.7652733308,13.5136463083,13.5526876355,13.4215066603,13.2824308337,16.0811324169,15.8800210477,15.0378555946,15.2316489832,15.3622803714,14.6694460306,14.4407118658,14.572604416,13.0236490638,13.1106889288,12.7714863506,12.9164476642,12.6656970197,12.5610819664,12.4408648838,12.4698061537,14.1223032618,13.9578743507,13.6129162374,13.5069125064,13.402548776,13.2139989057,13.012568829,13.0447921608,3316.3662838345,3316.8335533907,3315.7102903506,3317.3935878341,3315.4284875537,3315.5224278868,2.4918174352,2.4960838912,2.5288440154,2.4904167505,2.4986459644,2.4856568303,2.5162962499,2.5357234153,2.463444545,2.4960206247,2.6576527405,2.4857824023,1.992530744,2.6606634811,2.5140129336,2.5030894662,2.4922794014,2.5328756331,2.5425425826,2.4837997472,2.5117067286,2.5476603946,2.5289427394,2.768841989,2.5028881492,2.6458694526,2.4870644551,3.2755477642,2.8887073703,2.6775599202,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1258616539,5.0000817871
4/17/2014 4:04:03.269 PM,5,3311.7101906175,3315.7774322376,3316.1519924652,3314.176602172,3313.1357298755,3314.7424586829,3314.8368203712,3314.8369030908,3315.5889693666,3311.9957418101,3313.6095306985,3312.8513885131,3314.1766022412,3313.4200608696,3313.7040200444,3313.6093362824,3312.2813989587,3315.9646452616,3315.119314729,3313.9876836226,3315.1191968205,3313.8931760036,3315.3070442678,3315.2132456709,3316.1519924652,3315.0251096444,3315.5893661991,3314.7426360434,3314.8366756616,3314.2709979682,3313.4201080834,3314.5540400818,3315.1799200611,3315.3679888009,3315.2739235216,3315.8375501545,3316.212844621,3315.1800233169,3315.3680418229,3316.2125279139,13.8212093209,13.7628271441,13.5101301572,13.5505465168,13.4209675171,13.2831891461,16.0765586803,15.8771968208,15.0415102321,15.2299673578,15.3605987782,14.6640277764,14.4362850453,14.5694750449,13.0108269465,13.0832856327,12.7640769249,12.9132376229,12.6669904981,12.5519134702,12.4327634886,12.4739251026,14.1190669807,13.9570790359,13.6173109027,13.5097037842,13.3973258356,13.2119054468,13.0069643767,13.0522398854,3316.3663366025,3316.83360605,3315.7103432705,3317.3936403626,3315.4285405385,3315.52248085,2.4917916472,2.496097779,2.5289256461,2.4904350597,2.4985156512,2.4856844481,2.5163385177,2.5357379118,2.4635860006,2.4960128422,2.6446299744,2.4856797178,1.9974914416,2.6520745229,2.5140217848,2.5031050298,2.4922929836,2.5328649512,2.5424900899,2.4838786388,2.5116693525,2.5476545958,2.5289258009,2.7685975031,2.5029060036,2.6444002135,2.4870807824,3.2766937713,2.8910408105,2.6784112878,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1276260976,5.0000817871
4/17/2014 4:04:04.269 PM,6,3311.7100156647,3315.7772602889,3316.1518207982,3314.176429029,3313.1355559643,3314.7422859603,3314.8366477188,3314.8367304385,3315.5887972764,3311.995567065,3313.6093571362,3312.8512143932,3314.1764290982,3313.4198871676,3313.7038465519,3313.6091627199,3312.2812244219,3315.9644734536,3315.1191422874,3313.9875103397,3315.1190243788,3313.8930026508,3315.3068719666,3315.2130732995,3316.1518207982,3315.0249371325,3315.5891941092,3314.7424633209,3314.8365030092,3314.2708248952,3313.4199343815,3314.553867219,3315.1800394007,3315.3681080432,3315.2740428126,3315.8376691531,3316.2129634241,3315.1801426565,3315.3681610652,3316.2126467172,13.8220710999,13.7790253025,13.5093896367,13.5536213972,13.4206851479,13.2931312336,16.0718598124,15.8727998769,15.0424478236,15.2254933637,15.355285963,14.6731237907,14.437527675,14.5738421086,13.0133676742,13.1025411896,12.7730312924,12.9454659838,12.6652570233,12.557892871,12.436223598,12.5062471726,14.1271180318,13.9546023251,13.6163595653,13.5033345953,13.3948478023,13.2126334537,13.0060127858,13.04472447,3316.3660200287,3316.8332901283,3315.7100257854,3317.3933252259,3315.4282226635,3315.5221631049,2.4918006501,2.4961644708,2.5289093199,2.4903874557,2.4985995766,2.4857109977,2.5164033691,2.5358476276,2.4634714017,2.496121645,2.629430542,2.4858628104,2.0049629251,2.6454727971,2.5139589112,2.5030464374,2.4923076341,2.5329488804,2.542388309,2.4838545288,2.5116899475,2.5477553109,2.5289218334,2.7683121169,2.5029067667,2.6440209614,2.4871174044,3.2771370079,2.8932498799,2.6787253431,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1286357244,5.0000817871
4/17/2014 4:04:05.269 PM,7,3311.7102444559,3315.7774851518,3316.1520452927,3314.1766554537,3313.1357833935,3314.7425118352,3314.8368735019,3314.8369562215,3315.5890223243,3311.9957955846,3313.6095841091,3312.8514420953,3314.1766555228,3313.4201143232,3313.7040734336,3313.6093896931,3312.2814526692,3315.9646981325,3315.1193677949,3313.9877369473,3315.1192498864,3313.8932293498,3315.3070972905,3315.2132987151,3316.1520452927,3315.0251627319,3315.5894191567,3314.7426891957,3314.8367287924,3314.2710512283,3313.4201615371,3314.5540932772,3315.1794493449,3315.3675184688,3315.2734529972,3315.8370807838,3316.2123760214,3315.1795526009,3315.3675714909,3316.2120593136,13.8292828718,13.7631990632,13.5047008164,13.5553439698,13.4214160613,13.2742520369,16.0682482936,15.8711673293,15.0466846415,15.2289670349,15.351061242,14.6620356835,14.438410218,14.5743430392,13.0147082229,13.1155589716,12.7580367354,12.9161282952,12.667897268,12.5599986035,12.4467321739,12.4932339175,14.133978949,13.9716108009,13.6157442578,13.5105795849,13.3956063584,13.2095752474,13.0032603085,13.0582296875,3316.3667455023,3316.8340141074,3315.7107533472,3317.394047406,3315.428951119,3315.5228912627,2.4918360513,2.4962508497,2.5288786512,2.490355567,2.498660308,2.485698791,2.5163476732,2.5357098343,2.4635516667,2.4960358846,2.6182246399,2.4858460269,2.0120024931,2.6379771067,2.51392839,2.5030247704,2.4922337712,2.5328707499,2.5423466505,2.4838392693,2.5116058893,2.5477575999,2.528945181,2.7677837709,2.5028655641,2.6419111909,2.487084292,3.279233113,2.8953026846,2.6792090921,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1302948873,5.0000817871
4/17/2014 4:04:06.269 PM,8,3311.7104395973,3315.7776769425,3316.1522367692,3314.1768485765,3313.1359773731,3314.7427044892,3314.8370660775,3314.8371487969,3315.5892142727,3311.9959904944,3313.6097776996,3312.8516363077,3314.1768486457,3313.4203080695,3313.7042669464,3313.6095832837,3312.2816473467,3315.9648897663,3315.1195601354,3313.9879302261,3315.119442227,3313.8934227066,3315.3072894745,3315.2134909774,3316.1522367692,3315.0253551508,3315.5896111048,3314.7428818495,3314.836921368,3314.2712442731,3313.4203552833,3314.5542860876,3315.1799797351,3315.3680484263,3315.2739831712,3315.837609658,3316.2129040268,3315.1800829909,3315.3681014482,3316.2125873197,13.8272831265,13.7602060628,13.5133094023,13.5622700064,13.4207118153,13.2769819676,16.0732573905,15.8564427133,15.0370618002,15.2299408216,15.3598099089,14.6511152521,14.4371731164,14.5745547671,13.0288819313,13.0976070657,12.7739742115,12.9496901676,12.6710870253,12.563035773,12.4478606262,12.500470801,14.1364892978,13.9710697068,13.6184084942,13.5130906665,13.3996448785,13.2118582643,13.0043217791,13.0347138644,3316.3665542451,3316.8338232442,3315.7105615395,3317.3938570171,3315.4287590756,3315.5226992979,2.4918079745,2.4961890415,2.5288856699,2.4904738143,2.498566922,2.4855535307,2.5163612538,2.5356428451,2.4635524297,2.4959589749,2.6114146423,2.4857616518,2.0177048162,2.6304449435,2.5139361729,2.5030653578,2.4922333133,2.5328313795,2.54226547,2.483782504,2.5115711066,2.5476747388,2.5288632355,2.7669216605,2.5029920713,2.638371251,2.4870591144,3.2804712767,2.8973828052,2.6796032636,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1314152877,5.0000817871
4/17/2014 4:04:07.269 PM,9,3311.7097397704,3315.7769891316,3316.1515500852,3314.1761559885,3313.1352817124,3314.7420135826,3314.836375452,3314.8364581717,3315.5885258961,3311.9952914981,3313.6090834344,3312.8509398122,3314.1761560576,3313.4196132456,3313.70357296,3313.6088890179,3312.2809491834,3315.9642025181,3315.1188703529,3313.9872370785,3315.1187524442,3313.8927292793,3315.3066002533,3315.2128014756,3316.1515500852,3315.024665087,3315.5889227294,3314.7421909434,3314.8362307421,3314.270551965,3313.4196604595,3314.5535946202,3315.1795819388,3315.3676509545,3315.2735855371,3315.8372129987,3316.2125080191,3315.1796851948,3315.3677039766,3316.2121913115,13.8305368632,13.7697183447,13.5146582597,13.5562934211,13.4245030745,13.2807717532,16.0765067505,15.876459111,15.0365028885,15.2334976694,15.3530006245,14.6706092467,14.4374527188,14.5794071818,13.0265680756,13.0981159026,12.7583759932,12.9258538571,12.667549262,12.5612543094,12.446766114,12.4922751709,14.134945631,13.9627357391,13.6147267344,13.51055425,13.3998559329,13.2101607442,13.0009448952,13.0552278192,3316.3663497911,3316.8336192115,3315.710356497,3317.3936534913,3315.4285537814,3315.5224940875,2.4918166722,2.4961997244,2.5288673602,2.4904201072,2.4986540517,2.4856096818,2.5163920773,2.5357501194,2.4635113816,2.4959955986,2.6107688904,2.4857740105,2.0204296527,2.6234055444,2.5140400975,2.5030468951,2.4922136267,2.5329150035,2.542300872,2.4838717721,2.5116867438,2.547529465,2.5288836837,2.7660601605,2.5029205008,2.63276992,2.4870641499,3.278817798,2.8988462602,2.6802945515,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1321884143,5.0000817871
