TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 11:32:17.191 AM,0,3307.6211220436,3311.7574455881,3312.138484638,3310.1291509046,3309.0706135609,3310.7046741381,3310.8006522201,3310.8007363572,3311.5657304606,3307.9114490667,3309.5524368315,3308.7814725268,3310.1291509749,3309.3597551622,3309.6485297915,3309.5522391172,3308.2018948316,3311.9478943412,3311.0879931639,3309.9370149749,3311.0878732302,3309.8408997089,3311.2789497227,3311.1835381275,3312.138484638,3310.9921706039,3311.5661341358,3310.7048545355,3310.8005050308,3310.225156177,3309.3598031758,3310.5130317239,3310.9549061087,3311.1463629557,3311.0506024074,3311.624406647,3312.0065043962,3310.9550112233,3311.1464169336,3312.0061819389,12.5261939794,12.5804939394,12.3485745453,12.5232239025,11.8002501845,12.2631024308,13.7870201701,13.766064418,13.4747301469,14.0591502665,14.2387633064,14.1168236674,13.9240662594,13.625259341,11.332917372,11.4629609174,11.2630102221,11.5391781787,11.4558991555,11.409134368,11.3328423762,11.4591631512,12.3091428009,12.2716384276,12.0678565512,12.0797059574,11.9817607324,11.7292513771,11.1491297768,11.6140898604,3312.0852382292,3312.5611732512,3311.4171362286,3313.1316382448,3311.1301520566,3311.2258182821,2.4979348271,2.4938505536,2.5294827183,2.4846089008,2.4922896142,2.4791538394,2.5189228068,2.5374588787,2.4656655659,2.5024627281,2.2353189087,2.4922550307,2.7021764334,2.5508010582,2.514285335,2.5017619826,2.4906113811,2.5320088729,2.5420036169,2.4829342281,2.5128992566,2.549114812,2.5287072797,2.9268258245,2.5012875047,2.3886074708,2.4860144732,3.0421375096,2.2848496417,3.8247902757,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0155585969,5.0000817871
4/17/2014 11:32:18.191 AM,1,3307.6220115723,3311.7583203287,3312.1393579917,3310.1300315245,3309.0714979623,3310.7055526887,3310.8015304247,3310.8016145615,3311.5666058975,3307.912337573,3309.5533195156,3308.7823579556,3310.1300315948,3309.3606385338,3309.6494121323,3309.553121802,3308.2027823129,3311.9487683892,3311.088870331,3309.9378962835,3311.0887503977,3309.8417813617,3311.2798261989,3311.184414949,3312.1393579917,3310.9930481172,3311.5670095712,3310.7057330854,3310.8013832359,3310.2260364524,3309.3606865472,3310.5139109646,3310.9555181033,3311.1469744678,3311.0512141609,3311.6250169512,3312.0071137316,3310.9556232176,3311.1470284456,3312.0067912751,12.5281439904,12.5720600812,12.3473175947,12.5246401008,11.8003681299,12.2575707541,13.7728750779,13.76854799,13.4716427322,14.0631585214,14.2348384318,14.1298319926,13.9058033974,13.6231657511,11.3292936404,11.4614747236,11.2562521813,11.5812274281,11.4408876359,11.4051261715,11.3195848514,11.438575907,12.3147442603,12.2673878517,12.0723900325,12.0897375971,11.9778908688,11.7216366453,11.1525947249,11.6186994548,3312.0855493161,3312.5614837193,3311.4174481801,3313.1319479682,3311.1304643781,3311.2261304803,2.4977778105,2.4939027472,2.5295205584,2.4847797872,2.4923366124,2.4790867023,2.5190000181,2.5375183908,2.4657064613,2.502489738,2.2333587646,2.4922751708,2.7029648968,2.5555654105,2.5142821302,2.5017262779,2.4904966189,2.5319820156,2.5421923769,2.4830648495,2.5128467774,2.5494831851,2.5286936984,2.9267742413,2.5013338958,2.3915262615,2.4859838024,3.0421989982,2.2842456422,3.8276062441,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0178434934,5.0000817871
4/17/2014 11:32:19.191 AM,2,3307.6223839507,3311.7586865169,3312.1397235993,3310.1304001737,3309.0718681945,3310.7059204716,3310.8018980629,3310.8019821995,3311.566972377,3307.9127095235,3309.5536890289,3308.7827286179,3310.1304002441,3309.3610083349,3309.6497815019,3309.5534913155,3308.2031538343,3311.9491342874,3311.0892375348,3309.9382652211,3311.0891176017,3309.8421504433,3311.2801931136,3311.1847820082,3312.1397235993,3310.993415466,3311.5673760502,3310.7061008681,3310.8017508742,3310.2264049574,3309.3610563482,3310.5142790365,3310.9557833093,3311.1472394648,3311.0514792625,3311.6252814248,3312.0073777854,3310.9558884235,3311.1472934425,3312.0070553293,12.5247735081,12.5729638743,12.3489855575,12.5258491579,11.8015017963,12.2592379445,13.7716422786,13.7676195821,13.4763619126,14.066578544,14.2379534834,14.1219632709,13.9083079953,13.6227721091,11.3261500943,11.4511492811,11.2498218423,11.5838119102,11.4386592842,11.4042731652,11.3140690927,11.4416196652,12.3160353325,12.2679152528,12.0730703779,12.0860644203,11.9775780114,11.72323413,11.168099904,11.6176229168,3312.0858198096,3312.5617536748,3311.4177194254,3313.132217276,3311.1307359451,3311.2264019402,2.4977697231,2.4938830602,2.5295509219,2.4846679482,2.4922403272,2.4791288156,2.5189958981,2.5374955015,2.4656205503,2.5025295663,2.2382997131,2.4922229894,2.6997634427,2.5595269038,2.5143888017,2.5017073574,2.4905544579,2.5319418821,2.5422268634,2.4830517263,2.5127691266,2.5494218405,2.5287332215,2.9268664195,2.5012801798,2.3898668622,2.4859662543,3.0396643864,2.2844408204,3.8270052966,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0186265378,5.0000817871
4/17/2014 11:32:20.191 AM,3,3307.6226735551,3311.7589713066,3312.1400079374,3310.1306868776,3309.0721561296,3310.7062065018,3310.8021839804,3310.802268117,3311.5672573934,3307.9129987951,3309.5539764049,3308.7830168875,3310.130686948,3309.3612959347,3309.6500687661,3309.5537786918,3308.2034427721,3311.9494188516,3311.0895231146,3309.9385521492,3311.0894031816,3309.8424374835,3311.2804784684,3311.1850674755,3312.1400079374,3310.9937011585,3311.5676610661,3310.7063868981,3310.802036792,3310.2266915492,3309.361343948,3310.5145652914,3310.9567421094,3311.148197509,3311.0524376849,3311.6262375767,3312.0083324195,3310.9568472232,3311.1482514866,3312.0080099647,12.53242537,12.5751976349,12.3458726214,12.5320528695,11.8019794651,12.2606319399,13.783026923,13.7669522183,13.4798154774,14.0646147947,14.238049132,14.1270168636,13.9122936221,13.6244699257,11.3269337437,11.451092425,11.2616075574,11.5541973878,11.4408181862,11.4115517854,11.3111839329,11.4714360987,12.3173999675,12.2624827574,12.0644275773,12.0826936388,11.977109452,11.716805744,11.1631227939,11.6120361933,3312.0862729059,3312.5622058699,3311.418173781,3313.1326683862,3311.1311908396,3311.2268566552,2.4977616358,2.493805075,2.529529408,2.4847077708,2.4921376331,2.4791126416,2.5189528673,2.5375194589,2.4655982715,2.5025408586,2.2427159119,2.4922084946,2.6969113657,2.5634777147,2.514322876,2.5017596939,2.4904638079,2.5320142139,2.542165215,2.483017545,2.5128589819,2.5494798279,2.5287052959,2.9268148363,2.5013038332,2.3873700562,2.4859471804,3.0380517984,2.2847683047,3.8249344848,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0187875104,5.0000817871
4/17/2014 11:32:21.191 AM,4,3307.623149345,3311.7594391866,3312.1404750756,3310.1311579024,3309.072629177,3310.7066764197,3310.8026537132,3310.8027378496,3311.5677256458,3307.9134740381,3309.5544485337,3308.7834904844,3310.1311579727,3309.3617684313,3309.6505407113,3309.5542508209,3308.2039174669,3311.949886361,3311.0899922924,3309.9390235424,3311.0898723597,3309.8429090607,3311.2809472768,3311.1855364685,3312.1404750756,3310.9941705215,3311.5681293177,3310.7068568157,3310.802506525,3310.2271623896,3309.3618164444,3310.5150355784,3310.9572861224,3311.1487410932,3311.0529814836,3311.6267800872,3312.0088740688,3310.9573912359,3311.1487950706,3312.0085516147,12.5301985115,12.5790779976,12.3560185325,12.5296723554,11.7939432214,12.2606182649,13.7801147277,13.7740353488,13.4839226605,14.0674997089,14.2378826237,14.1336389728,13.9180764792,13.62720166,11.3402845442,11.467885044,11.2512028475,11.563501749,11.4440900205,11.4089397639,11.331577334,11.4494948282,12.3190976193,12.2650206006,12.0709385203,12.0785103446,11.9839262732,11.7172814649,11.1564159252,11.6128177899,3312.0871317337,3312.5630629894,3311.4190349959,3313.1335234494,3311.1320530759,3311.2277185512,2.4977512596,2.4938684093,2.5293818625,2.4845817421,2.492114134,2.4788216634,2.5189701101,2.5375121344,2.4657127177,2.5025484885,2.2427954102,2.4922657111,2.6967208103,2.5670766166,2.5142012492,2.5017505388,2.4904955506,2.5319252489,2.542079304,2.4831130695,2.5128562359,2.5494616687,2.5287248286,2.9266005678,2.5012525588,2.3882028845,2.485968238,3.0378539058,2.2844505869,3.8256988692,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0179078825,5.0000817871
4/17/2014 11:32:22.191 AM,5,3307.6233976116,3311.7596833263,3312.1407188283,3310.1314036828,3309.0728760127,3310.7069216227,3310.8028988196,3310.8029829559,3311.5679699798,3307.9137220194,3309.5546948902,3308.7837376069,3310.1314037532,3309.3620149796,3309.650786972,3309.5544971776,3308.2041651621,3311.9501303075,3311.0902371093,3309.939269515,3311.0901171767,3309.8431551294,3311.2811919009,3311.185781189,3312.1407188283,3310.994415435,3311.5683736513,3310.7071020185,3310.8027516316,3310.2274080739,3309.3620629928,3310.515280974,3310.957687322,3311.1491419765,3311.0533825252,3311.6271801787,3312.0092735252,3310.9577924354,3311.1491959538,3312.0089510717,12.5360975397,12.5871176229,12.3539018141,12.5270986997,11.7951877607,12.2647634052,13.7853237573,13.7687918578,13.4908895764,14.0720221677,14.2430156599,14.1438817838,13.9193954887,13.6242499167,11.3572611152,11.4808175611,11.2655125717,11.5661972911,11.4472451999,11.406058265,11.3281600811,11.4364520124,12.3233836749,12.2732017045,12.0707948574,12.0793598481,11.9858453961,11.7214931844,11.1576477722,11.6242094109,3312.0877944531,3312.5637243905,3311.4196995572,3313.1341832638,3311.1327184254,3311.2283836382,2.4978689076,2.4938259829,2.5295541261,2.4846513172,2.4920701877,2.4789585315,2.5189829278,2.537485125,2.4657067665,2.502540706,2.2413923645,2.4922670842,2.6961750801,2.5706549168,2.5142566451,2.5017552689,2.4905474378,2.5319405088,2.5420570251,2.4831194785,2.5128974259,2.5497155928,2.5287451242,2.9263418889,2.5013699099,2.3882773613,2.4860532315,3.0364135774,2.2843639089,3.8255181882,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.016642683,5.0000817871
4/17/2014 11:32:23.191 AM,6,3307.6242388478,3311.7605105769,3312.1415447672,3310.1322364937,3309.0737123999,3310.7077524766,3310.8037293462,3310.8038134823,3311.5687978889,3307.9145622888,3309.5555296532,3308.7845749657,3310.1322365641,3309.3628503929,3309.6516214104,3309.5553319413,3308.205004462,3311.950956903,3311.0910666547,3309.9401029773,3311.0909467225,3309.8439889171,3311.282020793,3311.1866104076,3312.1415447672,3310.9952453079,3311.5692015589,3310.7079328717,3310.8035821587,3310.228240559,3309.3628984059,3310.5161124805,3310.9581837076,3311.1496379707,3311.0538787152,3311.6276751932,3312.009767754,3310.9582888207,3311.1496919479,3312.0094453011,12.5403951979,12.5876756235,12.3497237851,12.5242210335,11.8010180504,12.2599008056,13.7861103113,13.7694258441,13.4896156915,14.0773855401,14.2494470065,14.142379951,13.9196480004,13.6219093807,11.3352906113,11.4615137977,11.2530825142,11.5379613093,11.4468865949,11.4024139495,11.3258143176,11.4538956115,12.3305816717,12.2745191016,12.056833362,12.0809828232,11.9896075899,11.7265549553,11.1582018224,11.6218603427,3312.0883760149,3312.5643047955,3311.4202827355,3313.1347622764,3311.1333022954,3311.2289672778,2.4978483077,2.4939019842,2.5295678584,2.4847404223,2.4921330554,2.4791324776,2.5190053588,2.5374182884,2.465709971,2.5025303293,2.2431289673,2.4922200905,2.6932734191,2.5714918069,2.5142409267,2.501746419,2.4905582731,2.5318585633,2.542117758,2.4830392135,2.5129013924,2.5495274387,2.528765725,2.9259895056,2.5013189408,2.3859389712,2.4860347679,3.034875447,2.2845035399,3.8252891323,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0161861614,5.0000817871
4/17/2014 11:32:24.191 AM,7,3307.6245767374,3311.7608428494,3312.1418765128,3310.1325709994,3309.0740483419,3310.7080861962,3310.8040629345,3310.8041470704,3311.5691304258,3307.9148997901,3309.5558649429,3308.7849112981,3310.1325710698,3309.3631859438,3309.6519565697,3309.5556672313,3308.205341574,3311.9512889124,3311.0913998489,3309.9404377446,3311.0912799168,3309.8443238151,3311.2823537247,3311.1869434706,3312.1418765128,3310.9955786336,3311.5695340953,3310.7082665911,3310.8039157472,3310.2285749338,3309.3632339567,3310.5164464623,3310.9583877195,3311.1498418218,3311.0540826468,3311.6278786417,3312.0099708795,3310.9584928326,3311.149895799,3312.0096484269,12.5382721729,12.5737927343,12.3527169341,12.5306482827,11.7935445065,12.2573952155,13.7854377901,13.7618846792,13.4881033389,14.0800690489,14.2412986559,14.1381988017,13.919051605,13.6302360411,11.3265982576,11.4581667298,11.2636401778,11.5598955607,11.4455250259,11.4094580898,11.3152805108,11.4649115657,12.3281776376,12.2638667951,12.0511436083,12.0792660293,11.9917102635,11.7288105679,11.1576303282,11.617775092,3312.0888899677,3312.5648177261,3311.4207981168,3313.1352739764,3311.1338182879,3311.2294830667,2.4977878815,2.493928081,2.5295835742,2.4848133542,2.4920874305,2.4790246005,2.519033283,2.5373813604,2.4657211105,2.5025370436,2.2452618408,2.4922094101,2.6891968439,2.5714896704,2.514280299,2.5017979925,2.4905352291,2.5319102942,2.5420786936,2.4830520315,2.5128865945,2.5494937144,2.5286911043,2.9257161758,2.5013725042,2.384973214,2.4860076066,3.0343658393,2.2844952994,3.8258546761,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0166797601,5.0000817871
4/17/2014 11:32:25.191 AM,8,3307.6249352873,3311.7611954382,3312.1422285426,3310.1329259582,3309.074404825,3310.7084403209,3310.8044169196,3310.8045010554,3311.5694832953,3307.9152579279,3309.5562207338,3308.7852681953,3310.1329260285,3309.3635420118,3309.6523122222,3309.5560230225,3308.2056992986,3311.951641222,3311.0917534158,3309.940792981,3311.0916334839,3309.8446791903,3311.2827070132,3311.1872968982,3312.1422285426,3310.9959323401,3311.5698869642,3310.7086207155,3310.8042697325,3310.2289297537,3309.3635900246,3310.5168008651,3310.9591969058,3311.1506503702,3311.0548915144,3311.628685593,3312.0107765499,3310.9593020185,3311.1507043472,3312.0104540983,12.5351169672,12.5779658922,12.3503221346,12.5348975876,11.7964212126,12.2602703912,13.7921999771,13.7789525672,13.4827348532,14.0847721949,14.2467645774,14.1467914207,13.92222885,13.6224312436,11.3409299707,11.4705923262,11.2537575816,11.5542939959,11.449089994,11.4123352645,11.3274830947,11.4620582664,12.3185016844,12.2691597553,12.0580424478,12.0760814565,11.9850105493,11.7289102258,11.1523046191,11.6255140241,3312.0893836179,3312.5653103943,3311.421293139,3313.1357654627,3311.1343138973,3311.2299784805,2.4978231301,2.494003777,2.5295016384,2.4848412758,2.4920967386,2.4787912991,2.5189659902,2.5373363449,2.4656965427,2.5025507775,2.2481617737,2.4922280245,2.6846381588,2.5733212449,2.5142513039,2.501705679,2.4905678875,2.5319304372,2.5421020407,2.4829168323,2.5128846113,2.5495376628,2.5287187246,2.925800113,2.5013102425,2.3842598844,2.4859516056,3.0345054474,2.2844435672,3.8265128493,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0170958478,5.0000817871
4/17/2014 11:32:26.191 AM,9,3307.6257765401,3311.7620227054,3312.1430544982,3310.1337587857,3309.0752412288,3310.7092711913,3310.8052474629,3310.8053315984,3311.5703112209,3307.9160982138,3309.5570555134,3308.7861055708,3310.133758856,3309.3643774417,3309.6531466772,3309.5568578028,3308.2065386151,3311.9524678341,3311.0925829778,3309.9416264598,3311.0924630464,3309.8455129946,3311.2835359219,3311.1881261335,3312.1430544982,3310.9967622296,3311.5707148885,3310.7094515853,3310.8051002763,3310.2297622554,3309.3644254544,3310.5176323882,3310.9598972927,3311.151350205,3311.0555916254,3311.6293840454,3312.0114738936,3310.9600024051,3311.1514041818,3312.011151443,12.5412603917,12.5922056479,12.341727408,12.5265366953,11.7969170149,12.2764174617,13.7910935781,13.7718162727,13.4861302979,14.0937341935,14.2439795831,14.1512526221,13.9275290856,13.6240706785,11.3408148831,11.4837694441,11.2682355663,11.5482976008,11.4479049122,11.4117614716,11.3256095893,11.4413143359,12.3268090236,12.2733430665,12.0681093595,12.0786610733,11.9895770407,11.7198768495,11.1382270493,11.6202258356,3312.0901071928,3312.5660325299,3311.422018725,3313.1364858658,3311.1350403439,3311.2307046405,2.4978432722,2.4940987022,2.5294856174,2.4850980632,2.4920828528,2.4788512647,2.5189763664,2.5373892953,2.4656556472,2.5025893849,2.2512197876,2.492249843,2.6808403225,2.5768409445,2.5143129566,2.5017026273,2.4904885306,2.5319389828,2.5420124674,2.482963679,2.5128519643,2.549496156,2.5287435982,2.925467722,2.5012731601,2.3847485625,2.4860071488,3.0362570332,2.2842337392,3.8277626613,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.017497898,5.0000817871
4/17/2014 11:32:27.191 AM,10,3307.6264178108,3311.762653315,3312.1436841078,3310.1343936338,3309.0758788031,3310.7099045476,3310.8058805697,3310.805964705,3311.5709423324,3307.9167387475,3309.5576918497,3308.7867438858,3310.1343937042,3309.3650142736,3309.6537827659,3309.5574941395,3308.2071784098,3311.9530979443,3311.0932153367,3309.9422618045,3311.0930954056,3309.8461485874,3311.2841677828,3311.1887582433,3312.1436841078,3310.9973948381,3311.5713459989,3310.7100849412,3310.8057333835,3310.2303968551,3309.3650622861,3310.5182662421,3310.9606180789,3311.1520704229,3311.0563121276,3311.6301028407,3312.0121915478,3310.9607231909,3311.1521243995,3312.0118690982,12.5339881135,12.573552637,12.3478924834,12.5285760407,11.7927690256,12.2666228166,13.7903849731,13.7734729423,13.4887791314,14.0900507008,14.2451015249,14.1491713003,13.9246088497,13.6194730456,11.3397238643,11.4697675455,11.2595798018,11.573098321,11.4499457219,11.4105930149,11.3278039337,11.4564197986,12.3233708654,12.2689886292,12.0672676618,12.0723203831,11.9842280548,11.7173540751,11.1382257206,11.6010502732,3312.0900125031,3312.5659380285,3311.4219237722,3313.1363915911,3311.1349452785,3311.2306096125,2.4978595995,2.4940399463,2.5295617552,2.4850919601,2.4920871253,2.4787739045,2.5189783501,2.5373726625,2.4656898285,2.5025513879,2.253757782,2.4922632698,2.6773970506,2.580009956,2.5143295906,2.5016615822,2.4904799845,2.5319125832,2.5420237594,2.4830698851,2.5129361751,2.5494506816,2.5287373416,2.9254518503,2.5012641566,2.3838803272,2.485979835,3.0352773352,2.2842576977,3.8277577781,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.01853621,5.0000817871
