TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 2:23:38.773 PM,0,3311.0638439619,3315.1421546707,3315.5177529825,3313.5369239742,3312.4932211805,3314.1043293845,3314.1989500667,3314.1990330134,3314.9531706978,3311.3501604087,3312.9683074565,3312.2081107536,3313.5369240436,3312.7783229888,3313.063053752,3312.968112512,3311.6365848579,3315.3298861474,3314.4822209886,3313.3474899016,3314.4821027556,3313.2527246877,3314.6704675885,3314.5764105431,3315.5177529825,3314.3877567376,3314.9535686267,3314.1045072316,3314.1988049598,3313.6315776575,3312.7783703308,3313.9153942328,3314.4102491096,3314.5989437749,3314.5045653084,3315.070072166,3315.4466234731,3314.4103527088,3314.5989969735,3315.4463057037,13.504293585,13.4653679261,13.2776258114,13.4176830758,13.2405257244,13.1293158207,15.6758695119,15.6968409702,15.1289551966,15.4818701289,15.7351580972,15.4870287317,15.4862020929,14.8294308834,12.2799361985,12.4273703589,12.197306846,12.3479553675,12.2247822475,12.1923971123,12.0252945604,12.2044764703,13.3514864543,13.3114676249,13.0722748978,13.0388762939,12.9555190107,12.8499963945,12.6214234076,12.727612989,3315.5479411034,3316.0168907476,3314.8895999664,3316.5789474871,3314.6067925759,3314.7010675349,2.4944552839,2.4978233734,2.5313959282,2.494320132,2.5004811819,2.4903541384,2.5260297544,2.5428106921,2.4668312394,2.5042308883,2.2732939148,2.4931242627,2.7062308865,2.3179490639,2.5158580901,2.5021872351,2.4907914602,2.5325818808,2.5421401894,2.4839293004,2.5155662355,2.5533858948,2.530200152,3.5864521718,2.5021719871,2.6211057457,2.4872941053,3.2442979778,2.5985429908,2.6640422649,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1117299311,5.0000817871
4/17/2014 2:23:39.773 PM,1,3311.0646405089,3315.1429376116,3315.5185346474,3313.5377123244,3312.4940130099,3314.1051158308,3314.1997361946,3314.199819141,3314.9539542792,3311.3509560151,3312.9690977059,3312.2089035284,3313.5377123937,3312.7791138707,3313.0638436855,3312.9689027619,3311.6373795211,3315.330668451,3314.4830061619,3313.3482788854,3314.4828879293,3313.2535139882,3314.6712521263,3314.5771953986,3315.5185346474,3314.3885422295,3314.9543522067,3314.1052936772,3314.1995910881,3313.6323656907,3312.7791612125,3313.916181314,3314.4114270078,3314.6001207182,3314.5057427295,3315.0712467187,3315.4477961084,3314.4115306064,3314.6001739165,3315.4474783406,13.505497724,13.4552777563,13.2783724648,13.4222451028,13.2376845265,13.1221264764,15.6880413988,15.6992630312,15.1262704403,15.4858925059,15.7299595605,15.4714666868,15.4815382348,14.8280432094,12.2993075495,12.4235362183,12.1928613948,12.336182082,12.2298064981,12.1916930422,12.0288686041,12.1886507949,13.361358529,13.3205002379,13.0817684999,13.0482917557,12.9603555659,12.8503280413,12.6262599645,12.7266470143,3315.5490732283,3316.018020556,3314.8907353282,3316.5800745072,3314.6079293228,3314.7022038205,2.4944613875,2.4978825872,2.5314377353,2.4941475673,2.5005951678,2.4903512393,2.5259464394,2.5427717803,2.4668367328,2.5041063678,2.2749082947,2.4931759864,2.7083306583,2.3152676278,2.5158725876,2.5021052973,2.4908659335,2.5326018712,2.5421929873,2.4839497481,2.5156280206,2.5537119981,2.5303603806,3.5858000568,2.5021754969,2.6150033747,2.487274421,3.2354402632,2.5987682317,2.6646281048,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1144013147,5.0000817871
4/17/2014 2:23:40.773 PM,2,3311.0648295208,3315.143123395,3315.518720128,3313.5378993913,3312.4942009024,3314.1053024459,3314.1999227342,3314.2000056805,3314.9541402146,3311.3511448038,3312.9692852234,3312.2090916452,3313.5378994607,3312.7793015384,3313.0640311281,3312.9690902797,3311.637568086,3315.3308540832,3314.483192475,3313.3484661027,3314.4830742425,3313.2537012806,3314.6714382886,3314.5773816363,3315.518720128,3314.3887286182,3314.9545381418,3314.1054802922,3314.1997776279,3313.6325526824,3312.7793488802,3313.9163680798,3314.4125183707,3314.6012111964,3314.5068336504,3315.0723349818,3315.448882595,3314.4126219689,3314.6012643945,3315.4485648287,13.5014437796,13.4544265227,13.277825771,13.4134580528,13.2453824149,13.1263118438,15.6950376052,15.7109875336,15.1213035951,15.4880141815,15.731471573,15.4799132809,15.4787077227,14.8233834836,12.2738787274,12.4162709631,12.1840675249,12.3464005071,12.2187194686,12.2016104853,12.0278632012,12.2182710056,13.3575078191,13.3209237701,13.0868492781,13.0448222815,12.9617716615,12.8476209159,12.6246222744,12.7189786138,3315.549490333,3316.0184368073,3314.8911536254,3316.5804897312,3314.6083481303,3314.702622458,2.4944911429,2.497882282,2.5314384982,2.4940557158,2.5006221764,2.4902308503,2.5259916065,2.5426805285,2.4668568754,2.5040276269,2.2756874084,2.4930983246,2.7106276986,2.3119611185,2.5158257376,2.5023123543,2.4908341908,2.5325873743,2.5422174025,2.4840164322,2.5155270287,2.5540649587,2.5302346393,3.5842328746,2.5022318071,2.6085412865,2.4872902905,3.211511892,2.5992847901,2.665448952,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1165603321,5.0000817871
4/17/2014 2:23:41.773 PM,3,3311.0651940429,3315.1434816905,3315.5190778396,3313.5382601623,3312.4945632656,3314.1056623456,3314.2002824882,3314.2003654344,3314.9544988032,3311.3515088955,3312.9696468635,3312.209454441,3313.5382602316,3312.779663468,3313.0643926237,3312.9694519201,3311.637931746,3315.3312120871,3314.4835517922,3313.3488271637,3314.4834335599,3313.2540624865,3314.6717973149,3314.577740808,3315.5190778396,3314.3890880812,3314.9548967298,3314.1058401917,3314.2001373821,3313.6329133083,3312.7797108097,3313.9167282701,3314.4121190939,3314.6008122433,3314.5064345354,3315.0719368391,3315.4484851022,3314.4122226923,3314.6008654415,3315.4481673354,13.497909801,13.4536378894,13.2819996167,13.4106856598,13.2332194767,13.116594987,15.6611142034,15.6889367144,15.1224216074,15.4869983624,15.7344181114,15.4810309194,15.4751775828,14.8245009229,12.2788143518,12.4310576971,12.1828967428,12.3356868308,12.2202216164,12.1970022581,12.0218784278,12.2119831629,13.3590411292,13.3105506456,13.0838024138,13.0421575165,12.9625420053,12.8487732535,12.6205061432,12.7341772188,3315.5490401206,3316.017987516,3314.8907021258,3316.5800415487,3314.60789608,3314.7021705911,2.4945904799,2.4978722095,2.5314778641,2.4940624292,2.5004593614,2.4900486646,2.5260560001,2.5427250862,2.4668393269,2.5039436977,2.2697834778,2.4931112937,2.7151644141,2.3109569725,2.5158162761,2.5023605709,2.490729043,2.5325742508,2.5424528567,2.4838885575,2.5154776007,2.5540904426,2.5301658173,3.5824737054,2.5020241155,2.6094533228,2.4872915112,3.2081265099,2.5993108851,2.6643579989,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1188462968,5.0000817871
4/17/2014 2:23:42.773 PM,4,3311.0655720582,3315.1438532486,3315.5194487921,3313.5386342875,3312.494939042,3314.1060355672,3314.2006555587,3314.2007385048,3314.9548706653,3311.3518864643,3312.97002189,3312.209830666,3313.5386343568,3312.7800387947,3313.0647675003,3312.9698269469,3311.6383088673,3315.3315833427,3314.4839244097,3313.3492015896,3314.4838061776,3313.2544370627,3314.6721696308,3314.5781132746,3315.5194487921,3314.3894608499,3314.9552685912,3314.106213413,3314.2005104529,3313.6332872831,3312.7800861363,3313.917101793,3314.4121323982,3314.6008255368,3314.5064478342,3315.0719501056,3315.448498347,3314.4122359966,3314.6008787349,3315.4481805802,13.5034123633,13.4527329222,13.2749865773,13.4235923384,13.2368947643,13.1172928994,15.6595253689,15.6891001249,15.1226613686,15.4873141199,15.7291711152,15.4742598556,15.4654362495,14.8268742204,12.2613458988,12.4060256283,12.1788605776,12.3515008555,12.2171775532,12.1928887173,12.0276960076,12.2091685902,13.3609289862,13.3139646515,13.0846981927,13.039618105,12.961834464,12.8519598514,12.6227762249,12.7259884071,3315.5491990286,3316.0181460989,3314.8908614881,3316.5801997403,3314.6080556366,3314.702330083,2.494543024,2.4978088751,2.5314558924,2.4940161983,2.500372079,2.4900541577,2.5260634771,2.5426855641,2.4668133858,2.5039035643,2.2653059387,2.4930893226,2.7181521227,2.3092618276,2.5157004483,2.5022319423,2.4907374365,2.5325844749,2.542800163,2.484003309,2.5155293171,2.5543429934,2.5300998947,3.5812755413,2.5023110077,2.6077634002,2.487242682,3.2117790546,2.5993058492,2.664447729,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1213428228,5.0000817871
4/17/2014 2:23:43.773 PM,5,3311.0657813105,3315.1440589263,3315.5196541346,3313.5388413863,3312.4951470549,3314.1062421659,3314.2008620737,3314.2009450198,3314.9550765113,3311.3520954695,3312.9702294878,3312.2100389273,3313.5388414557,3312.7802465587,3313.0649750151,3312.9700345448,3311.6385176247,3315.331788853,3314.484130674,3313.3494088549,3314.4840124419,3313.2546444112,3314.672375728,3314.5783194553,3315.5196541346,3314.3896671978,3314.9554744369,3314.1064200115,3314.200716968,3313.6334942986,3312.7802939003,3313.9173085585,3314.4126448058,3314.601337529,3314.5069600343,3315.0724610578,3315.4490084651,3314.412748404,3314.601390727,3315.448690699,13.500556939,13.4601783356,13.2817479313,13.4237876717,13.247090333,13.115733159,15.6584255618,15.6867041123,15.1182824976,15.4915482063,15.724870211,15.4685874928,15.4652506413,14.8238690174,12.2529165265,12.4026325866,12.1781397046,12.3318473152,12.2218029616,12.1961394331,12.02200848,12.206080223,13.3443871374,13.3105508934,13.0851768788,13.0443714464,12.9623896953,12.8466353692,12.6221098243,12.7299026341,3315.5496823393,3316.0186284208,3314.8913461806,3316.5806808718,3314.6085409205,3314.7028151699,2.494517999,2.4978387873,2.5314952583,2.4940573942,2.5003942048,2.4900964235,2.5260950635,2.5426687787,2.4669040272,2.5038472554,2.2595175171,2.4931292978,2.7224479358,2.3081355969,2.515708689,2.5021663311,2.4908047372,2.5325620429,2.5426385648,2.4839866761,2.5153930848,2.5540467994,2.5300736478,3.5813220882,2.5021922832,2.6062450186,2.4872950208,3.2067516371,2.5991579777,2.6627700204,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1236054426,5.0000817871
4/17/2014 2:23:44.773 PM,6,3311.0662268381,3315.1444968438,3315.5200913383,3313.5392823293,3312.4955899439,3314.106682044,3314.2013017737,3314.2013847196,3314.955514787,3311.352540471,3312.970671493,3312.210482345,3313.5392823987,3312.7806889177,3313.0654168436,3312.9704765504,3311.6389620987,3315.332226414,3314.4845698401,3313.3498501523,3314.4844516083,3313.2550858857,3314.6728145387,3314.5787584437,3315.5200913383,3314.3901065421,3314.9559127119,3314.1068598892,3314.2011566683,3313.6339350643,3312.7807362592,3313.9177487917,3314.4139158576,3314.6026075503,3314.5082305712,3315.0737284994,3315.4502738377,3314.4140194552,3314.6026607481,3315.4499560734,13.5030587671,13.4625284525,13.2846329079,13.4168282987,13.2438682884,13.116023014,15.6670942511,15.6997203889,15.1180381324,15.4925994401,15.7211965331,15.4609513806,15.4707207286,14.823015665,12.2567177468,12.4268204166,12.1888913964,12.3572539797,12.2372156454,12.1933739424,12.0367380356,12.1805566385,13.3681563891,13.3216501586,13.0872703177,13.0516557267,12.966468363,12.8478893512,12.6247382481,12.7387908631,3315.5521054696,3316.021046593,3314.8937762391,3316.583093076,3314.6109739436,3314.7052472055,2.4944351418,2.4979283711,2.5314446015,2.4942308744,2.5005567147,2.4899278179,2.5261014723,2.5425920234,2.4669369878,2.5037343324,2.2542411804,2.4931617967,2.7249097478,2.3084499648,2.5157514186,2.5022240079,2.4907935967,2.53255365,2.5421517867,2.4839567675,2.5153723372,2.5539526461,2.5301020311,3.5804013744,2.5020622661,2.6034240551,2.4872591618,3.2207151939,2.5988362923,2.6623157237,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1258660788,5.0000817871
4/17/2014 2:23:45.773 PM,7,3311.0666521071,3315.1449148484,3315.5205086617,3313.5397032219,3312.4960126941,3314.1071019201,3314.2017214799,3314.2018044256,3314.9559331336,3311.3529652378,3312.9710933997,3312.2109055999,3313.5397032913,3312.7811111621,3313.0658385816,3312.9708984574,3311.6393863619,3315.3326440784,3314.4849890366,3313.3502713833,3314.484870805,3313.2555072857,3314.6732333958,3314.5791774704,3315.5205086617,3314.3905259087,3314.9563310577,3314.107279765,3314.2015763747,3313.6343557877,3312.7811585035,3313.9181690068,3314.4143949917,3314.603086296,3314.5087095112,3315.0742062726,3315.4507508309,3314.414498589,3314.6031394936,3315.4504330673,13.5094049098,13.4679618554,13.2915955859,13.4304262127,13.2467078908,13.1275610751,15.661929567,15.7011836816,15.1217123976,15.4890327277,15.7230406033,15.4672915643,15.4746978125,14.8221927971,12.2745942582,12.4314930913,12.1824920977,12.348337379,12.2303569529,12.1954514329,12.0355307559,12.2051632962,13.3579078299,13.3275058472,13.0819046064,13.0501841154,12.9604915375,12.8470279837,12.6272366293,12.731975268,3315.5521716785,3316.0211126664,3314.8938426373,3316.5831589864,3314.6110404228,3314.7053136577,2.4945077753,2.4978270361,2.5313710576,2.4942072249,2.5007108321,2.4898222295,2.526128481,2.5426170489,2.4669778832,2.5037051861,2.2547457886,2.4931717142,2.7245272637,2.3060839649,2.5158651099,2.5021359668,2.4908230503,2.5326294915,2.5418980211,2.4838768077,2.5154210025,2.5539405908,2.5301287359,3.5793387306,2.5021448239,2.5972020328,2.4872440553,3.2112775335,2.5988175222,2.662014487,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1276134334,5.0000817871
4/17/2014 2:23:46.773 PM,8,3311.0667398587,3315.145001101,3315.5205947737,3313.5397900705,3312.4960999259,3314.1071885589,3314.2018080836,3314.2018910293,3314.9560194567,3311.3530528857,3312.9711804574,3312.2109929359,3313.5397901398,3312.7811982895,3313.0659256046,3312.9709855152,3311.6394739059,3315.3327302607,3314.4850755351,3313.3503583016,3314.4849573036,3313.2555942389,3314.6733198243,3314.579263934,3315.5205947737,3314.3906124423,3314.9564173807,3314.1073664038,3314.2016629785,3313.6344426013,3312.7812456309,3313.9182557155,3314.415153614,3314.6038443033,3314.5094678263,3315.0749627402,3315.4515060636,3314.4152572111,3314.6038975008,3315.4511883009,13.5159825138,13.4683611239,13.2913077667,13.4321226778,13.2507713053,13.1262054377,15.6700223074,15.6974668576,15.1237122059,15.4924036555,15.7179524992,15.4663949347,15.4749443173,14.8273165604,12.2735438834,12.4304421918,12.1909862627,12.3624022062,12.2302980963,12.2002810604,12.0382225667,12.2053338623,13.3784296932,13.3193301235,13.0873161901,13.0560526098,12.9568940079,12.8506840564,12.6206612666,12.7337221391,3315.552986001,3316.0219253227,3314.8946592881,3316.583969637,3314.6118580699,3314.706130973,2.4944923636,2.4977893407,2.5313962334,2.494000788,2.5005716687,2.4897296108,2.5261234455,2.5425569265,2.4669501109,2.5035457205,2.2536312866,2.4931289926,2.7249901503,2.3036122092,2.5157819398,2.5021623639,2.4908225925,2.5326113323,2.5418707066,2.4838913042,2.5155460982,2.5539450162,2.530133619,3.5772833397,2.5020473111,2.5906085418,2.4872182673,3.2159486833,2.5985901449,2.6606573956,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1295123007,5.0000817871
4/17/2014 2:23:47.773 PM,9,3311.0679684114,3315.1462086677,3315.5218003723,3313.5410059804,3312.4973212023,3314.1084015323,3314.203020566,3314.2031035113,3314.9572280115,3311.3542799876,3312.9723992967,3312.2122156704,3313.5410060498,3312.7824181045,3313.0671439567,3312.9722043554,3311.6406995531,3315.3339368446,3314.4862865452,3313.351575189,3314.4861683143,3313.2568116147,3314.6745298541,3314.5804744538,3315.5218003723,3314.3918239438,3314.9576259334,3314.1085793763,3314.2028754616,3313.6356580224,3312.7824654456,3313.9194696683,3314.4157591852,3314.6044493836,3314.5100731522,3315.0755665914,3315.452108929,3314.415862782,3314.6045025809,3315.4517911672,13.5136617995,13.4789361887,13.2904351185,13.4376603854,13.252494264,13.129530422,15.6680091828,15.6975101524,15.1224599059,15.4936665167,15.713042593,15.4704011059,15.4784165108,14.8279699507,12.2753432504,12.4149100375,12.189426371,12.3460324679,12.2353065197,12.1968112022,12.0392590935,12.2089669973,13.3809342856,13.3283986078,13.0902033634,13.0507716121,12.9630644335,12.8499063363,12.6220979621,12.736074647,3315.5532442093,3316.0221830026,3314.8949182346,3316.584226681,3314.6121173323,3314.7063901301,2.4945195249,2.4977635491,2.5313098727,2.493919617,2.5007315845,2.4897035189,2.5261655608,2.5424920736,2.4669081473,2.5033998362,2.2531726074,2.4930995452,2.7251747557,2.3012022588,2.5157099099,2.5021255911,2.4906733405,2.5325324388,2.5419103813,2.4837420663,2.5155049081,2.5538472004,2.5301475055,3.5750036078,2.5021730553,2.582272323,2.4872663336,3.2223628746,2.598384895,2.6599879298,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1316130323,5.0000817871
