TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 4:48:47.180 PM,0,3311.3088263718,3315.3829483364,3315.7581538172,3313.7793829213,3312.736751239,3314.3462021994,3314.4407248734,3314.4408077342,3315.1941615584,3311.5948532333,3313.2113510765,3312.4519318398,3313.7793829906,3313.0215613574,3313.3060001376,3313.2111563319,3311.8809873226,3315.5704836206,3314.7237019289,3313.5901439321,3314.7235838187,3313.4954761968,3314.9117528631,3314.8177936195,3315.7581538172,3314.6293357514,3315.1945590724,3314.3463798623,3314.4405799169,3313.8739390154,3313.0216086509,3314.15746252,3314.7884716602,3314.9768592357,3314.8826344242,3315.4472188107,3315.8231534894,3314.788575091,3314.9769123476,3315.8228362412,13.8608947607,13.761571739,13.4288976043,13.4435709491,13.3533557862,13.216069091,15.0946823338,15.0681712599,14.4331454773,14.7051245826,14.8042799973,14.2102259542,14.1342784165,14.1692234607,12.0879535191,12.2107028473,11.967839399,12.1470890597,12.0553929503,12.0284284031,11.9431293394,12.0184189886,13.3814198354,13.2656239595,12.9389881288,12.8861646442,12.8639314393,12.7310651046,12.5413828179,12.6447839247,3316.053239573,3316.5211531686,3315.3963461465,3317.0819628316,3315.1141582513,3315.2082268591,2.4912629178,2.4963643938,2.5289505167,2.4911846713,2.4992029232,2.4863080602,2.5150242474,2.5343254921,2.4617753078,2.4924003751,2.4858088684,2.4819519526,2.6044921112,2.5469679064,2.5138661269,2.5035334865,2.4926943462,2.5333051982,2.5423706079,2.4841633812,2.5120109247,2.5476297223,2.529055815,2.4322296041,2.5035344195,2.5457789693,2.48745219,2.3418768407,2.5186551303,2.7020234258,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1649806088,5.0000817871
4/17/2014 4:48:48.180 PM,1,3311.3090084054,3315.3831272544,3315.758332443,3313.779563078,3312.7369321923,3314.3463819201,3314.4409045212,3314.4409873819,3315.1943406231,3311.5950350515,3313.211531668,3312.4521130096,3313.7795631472,3313.0217420937,3313.3061806568,3313.2113369236,3311.8811689248,3315.5706623927,3314.7238813581,3313.5903242338,3314.723763248,3313.4956565711,3314.9119321468,3314.8179729759,3315.758332443,3314.6295152535,3315.1947381368,3314.3465595828,3314.4407595648,3313.8741190994,3313.0217893872,3314.1576423861,3314.7877742422,3314.9761623848,3314.8819372896,3315.4465233797,3315.8224591972,3314.7878776732,3314.9762154969,3315.822141948,13.8620702112,13.7653423833,13.4315253528,13.4506229657,13.3553724861,13.2201450745,15.1071354797,15.0791065872,14.4255505426,14.7124761807,14.8092685345,14.211859498,14.1434611851,14.1779460621,12.055770464,12.1552961214,11.9524437112,12.13734778,12.0483976553,12.0204398582,11.9414805902,12.0248668577,13.3822750445,13.252282594,12.9401491204,12.8806073761,12.8642525651,12.7253533361,12.5430019855,12.6484642416,3316.0531669213,3316.5210806662,3315.3962732863,3317.0818905089,3315.1140853018,3315.2081539394,2.4912371298,2.4962589382,2.5289520425,2.4910255334,2.4991096898,2.4863021094,2.5149564968,2.5342968042,2.461788431,2.4924377617,2.4845648193,2.481901297,2.6062661537,2.545044921,2.5139293057,2.503513498,2.4926934305,2.5333271724,2.5422637914,2.4841795563,2.5119354096,2.547456828,2.5290175127,2.4325064439,2.5035834048,2.548958429,2.4874407457,2.3444183185,2.5196279693,2.7013304592,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1671173495,5.0000817871
4/17/2014 4:48:49.180 PM,2,3311.3086712977,3315.3827959162,3315.7580016458,3313.779229446,3312.736597085,3314.3460490954,3314.4405718316,3314.4406546924,3315.1940090132,3311.5946983426,3313.2111972307,3312.4517775015,3313.7792295153,3313.0214073882,3313.3058463535,3313.211002486,3311.8808326159,3315.5703313247,3314.7235490732,3313.5899903332,3314.7234309629,3313.4953225361,3314.9116001314,3314.8176408258,3315.7580016458,3314.6291828335,3315.1944065275,3314.3462267585,3314.4404268749,3313.8737856019,3313.0214546818,3314.1573092922,3314.786724768,3314.975113764,3314.8808882418,3315.4454768955,3315.8214144266,3314.7868281995,3314.9751668764,3315.821097176,13.8513629296,13.7569947316,13.4179823081,13.4440295663,13.3509906867,13.2143145336,15.1154108447,15.0542194328,14.4251381649,14.7151137454,14.801536068,14.2218959627,14.1171966068,14.1789817582,12.0635253739,12.1626721176,11.9632578573,12.1359421265,12.037748645,12.0304919015,11.9300650721,12.0314041217,13.3875538686,13.2508451003,12.944514175,12.8743598336,12.8655631725,12.726129623,12.5380513605,12.6489348547,3316.0527244123,3316.5206390664,3315.3958295068,3317.0814500035,3315.1136409787,3315.2077097973,2.4911956249,2.4962665689,2.528951127,2.4909712159,2.4990550621,2.486305924,2.514953445,2.5343320537,2.4618738842,2.492408768,2.4831893921,2.4819061794,2.6093724064,2.5445776422,2.5138581914,2.5035273831,2.4926848844,2.5333059612,2.5424952781,2.4841697902,2.5120661499,2.5475895888,2.5289624246,2.4322065595,2.5036812228,2.5523913847,2.487466381,2.3478789211,2.5209664431,2.7008258037,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1686135562,5.0000817871
4/17/2014 4:48:50.180 PM,3,3311.3082128378,3315.3823453029,3315.7575517684,3313.7787757132,3312.7361413458,3314.3455964606,3314.4401193804,3314.4402022413,3315.1935580305,3311.5942404252,3313.2107424027,3312.4513212171,3313.7787757825,3313.0209521954,3313.3053917076,3313.2105476576,3311.8803752424,3315.5698810789,3314.7230971725,3313.589536235,3314.722979062,3313.4948682553,3314.9111485972,3314.8171891085,3315.7575517684,3314.6287307491,3315.1939555456,3314.345774124,3314.4399744234,3313.8733320519,3313.020999489,3314.1568562912,3314.7868111144,3314.9752000401,3314.880974553,3315.4455629958,3315.821500386,3314.7869145458,3314.9752531525,3315.8211831355,13.8502907512,13.7584396829,13.4246190948,13.4433381094,13.3521309797,13.2150729879,15.1298853722,15.04948729,14.4315400792,14.7080181875,14.8006162416,14.2180778171,14.1145229411,14.1819504639,12.0534442008,12.1698455593,11.9479782888,12.1532694267,12.0405703898,12.0223137686,11.9300604414,12.0222341545,13.3825454168,13.241409207,12.9438559564,12.8691974186,12.8730753237,12.7227224179,12.5384619289,12.6401838146,3316.0516610693,3316.5195779082,3315.3947631109,3317.0803914751,3315.1125732764,3315.2066425301,2.4912078323,2.4962731312,2.5289526529,2.4910214138,2.4991154883,2.4862775433,2.5150132608,2.534328544,2.4619005884,2.4923713813,2.4865345764,2.4819582083,2.6093858322,2.5440511522,2.5139170972,2.5035601888,2.492717085,2.5332859708,2.5423194886,2.4841523944,2.5119578353,2.5475709718,2.5289663922,2.4315504765,2.5035580728,2.5528185583,2.4874436449,2.3483696093,2.5217289963,2.7012193648,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1708114817,5.0000817871
4/17/2014 4:48:51.180 PM,4,3311.3087926619,3315.3829152035,3315.7581207383,3313.779349559,3312.7367177291,3314.3461689178,3314.4406916053,3314.4407744661,3315.1941283983,3311.5948195633,3313.2113176336,3312.4518982899,3313.7793496283,3313.0215278877,3313.3059667081,3313.211122889,3311.8809536926,3315.5704505147,3314.7236687013,3313.5901105429,3314.7235505911,3313.4954427942,3314.9117196625,3314.8177604054,3315.7581207383,3314.6293025102,3315.1945259123,3314.3463465807,3314.4405466488,3313.8739056665,3313.0215751812,3314.1574292115,3314.7862465191,3314.974635904,3314.8804101872,3315.4450000091,3315.8209383211,3314.7863499509,3314.9746890165,3315.8206210699,13.8496700064,13.7521727871,13.4234637022,13.4360022218,13.3552501423,13.2064398976,15.13513302,15.0503155884,14.4331312906,14.7080076483,14.8076212605,14.2138725692,14.1164949076,14.1832357522,12.0872511028,12.1851837927,11.9530848564,12.1544041486,12.0465180737,12.0266574469,11.9387604996,12.0078644305,13.385611586,13.238140606,12.9409679193,12.870050599,12.8741575544,12.7232703082,12.5407660026,12.6480606978,3316.0513110306,3316.5192285887,3315.3944120672,3317.0800430214,3315.1122218026,3315.2062911996,2.491202339,2.4963428753,2.5289328174,2.4909709107,2.4991392926,2.4862529772,2.5151264837,2.534322135,2.4618747998,2.4923892354,2.4961412048,2.4819875031,2.6048849698,2.5412329814,2.5138378948,2.5035200591,2.4926922096,2.5333540298,2.5424231006,2.4842053448,2.5119923129,2.5475731082,2.5289662396,2.4310525006,2.5036767973,2.5508601833,2.4874735528,2.3460467745,2.5218782413,2.7019391894,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1721775371,5.0000817871
4/17/2014 4:48:52.180 PM,5,3311.3079768663,3315.3821133701,3315.7573202144,3313.7785421748,3312.7359067747,3314.3453634874,3314.4398865016,3314.4399693626,3315.1933259076,3311.594004733,3313.2105083006,3312.4510863653,3313.7785422441,3313.0207179055,3313.3051576992,3313.2103135553,3311.8801398302,3315.5696493353,3314.7228645771,3313.5893025085,3314.7227464665,3313.4946344348,3314.9109161905,3314.8169566074,3315.7573202144,3314.6284980591,3315.1937234231,3314.3455411509,3314.4397415445,3313.8730986076,3313.0207651992,3314.1566231295,3314.7854228819,3314.9738129365,3314.8795868846,3315.4441787184,3315.8201183753,3314.785526314,3314.9738660492,3315.8198011229,13.8511222356,13.759119651,13.4297275704,13.4501986347,13.3608260868,13.2194915324,15.1326216399,15.0558853942,14.4334400589,14.7125097792,14.8057947453,14.2166218548,14.1192438938,14.1857547068,12.0675592155,12.1576965754,11.9585108572,12.158606733,12.0433899446,12.0326193995,11.9341033138,12.0187139441,13.3796184167,13.2426800301,12.9353536621,12.8754306523,12.8712923737,12.7258265764,12.5414129318,12.6451957544,3316.0510798532,3316.5189978863,3315.3941802261,3317.0798128906,3315.1119896776,3315.2060591692,2.4912247699,2.4962664163,2.5289230522,2.4909750303,2.4991862907,2.4862566392,2.515087878,2.5342867329,2.4617743923,2.4924345572,2.5064712524,2.4819968103,2.6006820696,2.5387433708,2.5139128243,2.5035557638,2.492688547,2.533290091,2.5424658273,2.4842988856,2.512029689,2.5475943194,2.5290008795,2.4306705104,2.5036558908,2.5505377046,2.4874758417,2.3472751733,2.5219649193,2.7020859927,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1734686753,5.0000817871
4/17/2014 4:48:53.180 PM,6,3311.3079094438,3315.3820471015,3315.7572540539,3313.7784754474,3312.7358397522,3314.3452969214,3314.4398199627,3314.4399028237,3315.1932595847,3311.5939373902,3313.2104414122,3312.4510192627,3313.7784755167,3313.0206509634,3313.3050908376,3313.2102466668,3311.8800725674,3315.5695831207,3314.7227981191,3313.5892357273,3314.7226800084,3313.4945676269,3314.9108497864,3314.8168901764,3315.7572540539,3314.6284315741,3315.1936571002,3314.3454745851,3314.4396750056,3313.8730319071,3313.0206982571,3314.1565565097,3314.7851173356,3314.9735076387,3314.8792814624,3315.4438740426,3315.8198141984,3314.7852207678,3314.9735607514,3315.8194969456,13.8485810443,13.756119394,13.4242067069,13.4431541514,13.3590459227,13.2152701719,15.1323683649,15.0558610981,14.4371527188,14.7172126623,14.8070667747,14.2205631893,14.1236423155,14.188322284,12.0772296207,12.1805808322,11.9605482603,12.1263616164,12.0506985287,12.0341990377,11.9357599837,12.0215152901,13.3841384886,13.2410179691,12.931476772,12.8738446475,12.8668807876,12.7232475068,12.5500582435,12.6403267668,3316.0505514876,3316.5184706063,3315.3936503435,3317.0792869173,3315.1114591458,3315.2055288537,2.4912938939,2.4962204798,2.5289927816,2.4910214138,2.4991635546,2.4862830363,2.5151534924,2.5342229482,2.4617843109,2.4923962549,2.5135348511,2.4819945216,2.5990576948,2.5369214105,2.5139662363,2.5035041903,2.4926580252,2.5333161853,2.5425378521,2.4842039715,2.5120403679,2.5477350153,2.5289961489,2.4301946633,2.5035562416,2.5505074865,2.4874561574,2.3451757115,2.5219691922,2.7022804079,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.174952523,5.0000817871
4/17/2014 4:48:54.180 PM,7,3311.3074442332,3315.3815898528,3315.7567975519,3313.7780150334,3312.7353773022,3314.3448376215,3314.439360849,3314.4394437103,3315.1928019611,3311.5934727301,3313.2099798868,3312.4505562595,3313.7780151027,3313.0201890679,3313.304629497,3313.2097851411,3311.8796084591,3315.5691262449,3314.722339564,3313.5887749425,3314.7222214531,3313.4941066567,3314.9103916032,3314.8164318073,3315.7567975519,3314.6279728326,3315.1931994775,3314.3450152855,3314.4392158916,3313.8725716786,3313.0202363616,3314.1560968382,3314.784632451,3314.9730231484,3314.8787967749,3315.4433905395,3315.819331487,3314.7847358835,3314.9730762613,3315.8190142335,13.8529832173,13.7611347244,13.4324306442,13.4504586572,13.362231227,13.2147153131,15.1240413363,15.0511894869,14.4385048438,14.7102536648,14.8073509653,14.2203138006,14.1228590306,14.1925705803,12.0731628222,12.1715493938,11.9644228165,12.1388625828,12.0452544849,12.0390671885,11.9365797733,12.0289034342,13.3775111021,13.2443889285,12.9439353726,12.8745442101,12.8722383571,12.7269253931,12.5458712066,12.6435457505,3316.0501089722,3316.5180290001,3315.3932065577,3317.0788464056,3315.1110148164,3315.2050847053,2.4913289899,2.4962229216,2.5289480754,2.4909843375,2.4991472273,2.4862697615,2.5150541553,2.5342009745,2.4618599981,2.49249697,2.5177494812,2.4820154247,2.5944880249,2.5372159396,2.5140550528,2.5034993076,2.492681527,2.5332601816,2.5426390226,2.4841778777,2.5119840749,2.5476776382,2.528935262,2.4297650579,2.5035901193,2.5487530072,2.4874608878,2.341903084,2.5216702445,2.7026466532,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1758724322,5.0000817871
4/17/2014 4:48:55.180 PM,8,3311.3073093895,3315.3814573168,3315.7566652324,3313.77788158,3312.7352432587,3314.344704491,3314.4392277725,3314.4393106338,3315.1926693166,3311.5933380459,3313.2098461112,3312.4504220557,3313.7778816493,3313.020055185,3313.304495775,3313.2096513654,3311.879473935,3315.5689938171,3314.7222066494,3313.5886413816,3314.7220885385,3313.4939730421,3314.9102587965,3314.8162989467,3315.7566652324,3314.627839864,3315.1930668331,3314.3448821551,3314.4390828151,3313.8724382789,3313.0201024788,3314.1559636001,3314.7847586532,3314.973149248,3314.8789229258,3315.4435163821,3315.8194571236,3314.7848620856,3314.9732023608,3315.8191398703,13.8546129343,13.7607050811,13.4326880784,13.4536154607,13.3606566757,13.2131412686,15.1323760669,15.0615872977,14.4439482507,14.7161529147,14.7971614173,14.2211049401,14.1292933242,14.1867287804,12.0847946133,12.1919666114,11.9649858232,12.1318667013,12.0515466358,12.0309221338,11.9522711586,12.0292372952,13.3835050363,13.2434374727,12.9419910578,12.8714550579,12.8730427653,12.7283409081,12.5487371009,12.6514501636,3316.0497919456,3316.5177126248,3315.3928886209,3317.0785308143,3315.1106964901,3315.2047665087,2.4913364669,2.4962691633,2.528951127,2.491045521,2.4991472273,2.4862636581,2.5150414902,2.5341362742,2.4619033351,2.4925235222,2.5190194702,2.4819487485,2.589469352,2.537759674,2.5140022512,2.5035110566,2.4928088032,2.5331960902,2.5424881061,2.4841910009,2.5119492922,2.5475346533,2.528968376,2.4291706305,2.5035394554,2.5467740289,2.4874265547,2.3393864762,2.5212287663,2.7027405035,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1781620588,5.0000817871
4/17/2014 4:48:56.180 PM,9,3311.3073768185,3315.3815235921,3315.7567313994,3313.7779483139,3312.7353102877,3314.3447710635,3314.439294318,3314.4393771793,3315.1927356461,3311.5934053952,3313.2099130062,3312.4504891648,3313.7779483832,3313.0201221337,3313.3045626432,3313.2097182605,3311.8795412042,3315.5690600383,3314.722273114,3313.5887081693,3314.7221550031,3313.4940398566,3314.9103252071,3314.8163653842,3315.7567313994,3314.6279063556,3315.1931331626,3314.3449487275,3314.4391493606,3313.872504986,3313.0201694274,3314.1560302264,3314.7841276314,3314.9725187393,3314.8782921604,3315.4428871581,3315.8188289299,3314.7842310641,3314.9725718523,3315.8185116757,13.8547759809,13.7514834954,13.429798155,13.4508791985,13.3614307947,13.2136096664,15.1353586484,15.0635044265,14.4420523639,14.7212721766,14.8087628956,14.2192852052,14.1251097538,14.1862054314,12.0844234152,12.1885409802,11.964538315,12.1814292842,12.0538492004,12.0365855879,11.9441833433,12.0377260311,13.3774487373,13.2371517765,12.942880491,12.8765431866,12.8708017651,12.7258705098,12.5424490809,12.6547061032,3316.0492107285,3316.5171326019,3315.3923057351,3317.0779522288,3315.1101128903,3315.2041831468,2.4912615445,2.4963158629,2.52896135,2.490948787,2.4991606554,2.4862790691,2.5150160075,2.5341265081,2.461894332,2.4925447334,2.51876297,2.4819533258,2.5867582464,2.5402985762,2.5140246843,2.5034785562,2.4928277268,2.533262318,2.5424166917,2.4842714185,2.5119442579,2.5475309909,2.5290260582,2.4284458717,2.5035815736,2.5466249226,2.4874631766,2.3402357207,2.5210836416,2.70214917,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1804887625,5.0000817871
