TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 2:30:56.378 PM,0,3311.2306230369,3315.3060830239,3315.6814139877,3313.7019856637,3312.6590118332,3314.2689921715,3314.3635461525,3314.3636290408,3315.1172332554,3311.5167424016,3313.1337670552,3312.3740994702,3313.701985733,3312.9439151269,3313.2284471761,3313.1335722467,3311.8029692415,3315.4936809784,3314.6466170785,3313.5126843584,3314.6464989291,3313.4179854853,3314.8347305148,3314.7407400301,3315.6814139877,3314.5522195731,3315.117630902,3314.2691698933,3314.363401148,3313.7965729309,3312.9439624359,3314.0801900519,3314.5796732394,3314.7682304622,3314.6739207663,3315.2390147585,3315.6152900846,3314.5797767632,3314.768283622,3315.6149725485,13.7683432143,13.7777840409,13.5600583511,13.6982735103,13.4869176414,13.3405815178,15.3494793955,15.2440548141,14.6291837049,14.9308999066,15.1759452818,14.8927816317,14.8277610903,14.8248028448,12.7836466114,12.95750529,12.739894212,13.0067223063,12.8733484618,12.7910418546,12.6828922397,12.6481521724,13.5233293144,13.3892139707,13.1476555888,13.1607562611,13.104811231,13.0155607313,12.8100599321,12.8873797392,3315.7096137348,3316.1782323621,3315.0517351401,3316.7398906611,3314.7691256778,3314.8633347078,2.4927761674,2.4960490955,2.529411158,2.4904318556,2.4981215075,2.4836382924,2.5175293415,2.5351241745,2.464428783,2.4963970855,2.1985649109,2.4890599123,2.6961306833,2.4791474587,2.514037198,2.4999299028,2.489146484,2.5313217214,2.5405719702,2.4819110784,2.5127021546,2.5500839659,2.5283593549,3.3805710739,2.5000006104,2.5985847383,2.4853355938,3.3648159321,2.686817563,2.6817656367,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1047286114,5.0000817871
4/17/2014 2:30:57.378 PM,1,3311.2313986686,3315.3068453888,3315.6821751083,3313.7027533029,3312.6597828649,3314.2697579543,3314.3643116249,3314.3643945128,3315.1179962448,3311.5175171161,3313.1345365462,3312.3748714236,3313.7027533722,3312.9446852348,3313.2292163592,3313.1343417383,3311.8037430363,3315.4944427218,3314.6473816201,3313.5134526155,3314.6472634711,3313.4187540511,3314.8354944366,3314.7415042617,3315.6821751083,3314.5529844254,3315.11839389,3314.2699356755,3314.3641666208,3313.7973402611,3312.9447325436,3314.0809564538,3314.5798128722,3314.7683699817,3314.6740603425,3315.2391539942,3315.6154290927,3314.579916396,3314.7684231415,3315.6151115567,13.7702893096,13.7830118085,13.5624640716,13.6988469495,13.4922235026,13.3388661765,15.3629287136,15.2415783913,14.6257151756,14.9317778535,15.1708006855,14.9010542623,14.8245229031,14.8261377898,12.7609469749,12.9496070608,12.7477201042,13.0365232115,12.8678907688,12.7866528416,12.6745306407,12.6349065481,13.5198110508,13.3892824595,13.1485639727,13.1634199703,13.1048032969,13.0107430091,12.8086779006,12.8738607765,3315.7099709594,3316.1785888548,3315.0520933875,3316.7402462728,3314.7694843628,3314.8636932471,2.4927783036,2.4960057534,2.5293496679,2.4903952371,2.4981132675,2.483632189,2.5175420066,2.5350918244,2.4644313772,2.4963549683,2.2009275818,2.4890522834,2.6965339164,2.4766631893,2.5139555539,2.4999791875,2.4892070699,2.5312735002,2.5405896712,2.4819733371,2.5127697368,2.5500972419,2.5284969988,3.3817843467,2.4999760415,2.5997142531,2.4853049229,3.3677129147,2.6867730031,2.6814419675,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1086246079,5.0000817871
4/17/2014 2:30:58.378 PM,2,3311.2313514746,3315.3067990025,3315.6821287978,3313.7027065955,3312.6597359509,3314.2697113599,3314.3642650494,3314.3643479374,3315.1179498205,3311.5174699779,3313.134489726,3312.3748244536,3313.7027066648,3312.9446383771,3313.2291695578,3313.1342949182,3311.8036959541,3315.4943963734,3314.6473351013,3313.5134058705,3314.6472169523,3313.4187072873,3314.8354479556,3314.7414577618,3315.6821287978,3314.5529378877,3315.1183474658,3314.2698890811,3314.3641200453,3313.7972935725,3312.9446856859,3314.0809098217,3314.580072188,3314.768629087,3314.6743195531,3315.2394125725,3315.6156872482,3314.5801757117,3314.7686822467,3315.6153697127,13.769207658,13.7714765833,13.5611523244,13.7021135726,13.4908355742,13.333282245,15.3808199751,15.236761351,14.6286752024,14.9303155206,15.1661364361,14.8893002478,14.8206215313,14.8229995841,12.7856563037,12.9628737037,12.7409119749,12.9982005414,12.8655100326,12.7757965281,12.6795572542,12.6289373207,13.5229472229,13.3849393959,13.1456698916,13.1640376704,13.1038942849,13.010750006,12.807998044,12.8844785279,3315.7101628104,3316.1787803127,3315.0522857878,3316.7404372577,3314.7696769981,3314.8638858041,2.4928152308,2.4959724838,2.5293730128,2.490349464,2.498113115,2.4836140315,2.5175069106,2.5350820583,2.4644124554,2.49634978,2.1991065979,2.489000102,2.6982155036,2.4758548365,2.5139785973,2.4999778142,2.4890736893,2.5312547306,2.5407166303,2.4819802039,2.5127436498,2.5499982054,2.5284870799,3.3827830457,2.4998559435,2.6030710531,2.4851945993,3.373818595,2.6867839905,2.6803459785,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1104127016,5.0000817871
4/17/2014 2:30:59.378 PM,3,3311.2318775518,3315.3073160813,3315.6826450327,3313.7032272517,3312.6602589082,3314.270230757,3314.364784236,3314.3648671238,3315.118467323,3311.5179954331,3313.1350116383,3312.375348036,3313.703227321,3312.9451607077,3313.2296912611,3313.1348168308,3311.8042207855,3315.4949130307,3314.6478536566,3313.5139269458,3314.6477355078,3313.419228572,3314.8359660905,3314.7419761068,3315.6826450327,3314.5534566536,3315.1188649674,3314.2704084778,3314.3646392322,3313.7978140191,3312.9452080164,3314.0814296387,3314.5803248524,3314.7688815463,3314.674572115,3315.2396645183,3315.6159387822,3314.580428376,3314.768934706,3315.6156212469,13.773230122,13.7747380153,13.5605220419,13.700186769,13.4947084444,13.3400534068,15.3784385732,15.239791227,14.6297233335,14.9248832778,15.1696998053,14.8981237138,14.8220502537,14.8237420757,12.7686206853,12.9631596434,12.7412741902,13.0190903932,12.867246343,12.7698213081,12.6799194858,12.6339568163,13.5282255989,13.3835020958,13.1453007576,13.162218375,13.0991735956,13.0054945966,12.809537497,12.8846438579,3315.7103612685,3316.1789783642,3315.0524848141,3316.7406348197,3314.7698762676,3314.8640849925,2.4927558727,2.4960754975,2.5293099969,2.4903134557,2.4980355985,2.4835821414,2.5175256793,2.5351182233,2.4643576737,2.4962925555,2.1965197754,2.4889557021,2.7000327224,2.475937091,2.5139254905,2.5002144725,2.4891095525,2.5312677014,2.5407671392,2.4818967344,2.5126577609,2.5498956592,2.528318611,3.3833634327,2.5000251794,2.6068834134,2.4852596033,3.3788881238,2.6869001208,2.6791784191,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1118973122,5.0000817871
4/17/2014 2:31:00.378 PM,4,3311.2320933801,3315.3075282179,3315.6828568231,3313.703440856,3312.6604734565,3314.2704438447,3314.3649972373,3314.365080125,3315.1186796334,3311.5182110061,3313.1352257579,3312.3755628408,3313.7034409253,3312.9453749989,3313.229905295,3313.1350309506,3311.8044361027,3315.4951249945,3314.6480663989,3313.514140722,3314.6479482503,3313.4194424341,3314.8361786604,3314.7421887629,3315.6828568231,3314.5536694824,3315.1190772774,3314.2706215654,3314.3648522336,3313.7980275373,3312.9454223076,3314.0816428987,3314.5807636901,3314.7693200277,3314.6750107747,3315.2401021078,3315.6163756564,3314.5808672134,3314.7693731873,3315.6160581218,13.7789319599,13.7767801039,13.56195439,13.693912787,13.4950721469,13.3405697923,15.3698873349,15.2419080824,14.6184192606,14.9235694619,15.1625158391,14.8945228577,14.8269869804,14.8137419571,12.7474658662,12.9410069756,12.7330880589,13.0065577748,12.860204328,12.7778968884,12.6598153843,12.6259221232,13.5249472463,13.3822841708,13.1443878514,13.1619164599,13.1065059179,13.0033598482,12.8009902592,12.874265646,3315.7107317339,3316.1793480706,3315.05285634,3316.7410036125,3314.7702482474,3314.8644568212,2.4926585193,2.4960335289,2.5293183889,2.4903413774,2.498137377,2.4835975524,2.5175061476,2.5351006749,2.4643401253,2.4963395559,2.1966152954,2.488980267,2.7022527167,2.4762560371,2.513973714,2.5002022658,2.4890250069,2.5312559513,2.5408750239,2.4819327468,2.5126185541,2.5499960691,2.5283639328,3.3833587017,2.5000998018,2.6116328391,2.4852235917,3.3824947428,2.6870183875,2.6778503221,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1136968494,5.0000817871
4/17/2014 2:31:01.378 PM,5,3311.232444116,3315.3078729551,3315.6832009977,3313.703787978,3312.6608221124,3314.2707901273,3314.3653433796,3314.3654262672,3315.119024653,3311.5185613273,3313.1355737172,3312.3759119136,3313.7037880473,3312.9457232371,3313.2302531151,3313.1353789102,3311.804786008,3315.4954694506,3314.6484121203,3313.5144881234,3314.6482939718,3313.4197899751,3314.8365241016,3314.7425343442,3315.6832009977,3314.5540153442,3315.1194222964,3314.2709678477,3314.3651983761,3313.7983745196,3312.9457705458,3314.0819894613,3314.5809964058,3314.7695525545,3314.675243396,3315.2403341616,3315.6166073308,3314.581099929,3314.769605714,3315.6162897965,13.7807261234,13.7720897187,13.5669562498,13.6996749952,13.4885485358,13.3312253689,15.3722895257,15.2417956722,14.6260090365,14.9237620105,15.1546275199,14.8946394693,14.8228350494,14.8089814071,12.7640648892,12.9405130892,12.7339680029,13.0098031793,12.8602445259,12.771370622,12.6672637989,12.6126007663,13.5227788199,13.3758417136,13.1419895044,13.1648616323,13.1076196459,13.0050844361,12.8050813846,12.8699590945,3315.7102355784,3316.1788529316,3315.052358764,3316.740509697,3314.7697500635,3314.8639588398,2.4926881221,2.4961020521,2.5293484473,2.4903232207,2.498187427,2.4836183039,2.517537734,2.5351693427,2.4644191696,2.4963276532,2.1991937256,2.4890359577,2.7035136783,2.4769630596,2.5139407511,2.5002225595,2.4891196247,2.5312350453,2.5410643944,2.4819339676,2.5127178679,2.550006751,2.5283981149,3.3830554598,2.5000528004,2.6158177363,2.4852585351,3.3826833282,2.6871201731,2.6769798792,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.115492267,5.0000817871
4/17/2014 2:31:02.378 PM,6,3311.2330241379,3315.3084430555,3315.6837701676,3313.7043620228,3312.6613986942,3314.2713627838,3314.3659158039,3314.3659986912,3315.1195952204,3311.5191406632,3313.1361491468,3312.3764891847,3313.7043620921,3312.946299128,3313.2308283144,3313.1359543403,3311.8053646562,3315.4960390863,3314.6489838486,3313.5150626303,3314.6488657004,3313.4203647129,3314.8370953664,3314.7431058406,3315.6837701676,3314.5545873048,3315.1199928629,3314.2715405037,3314.3657708008,3313.7989483332,3312.9463464366,3314.0825625807,3314.5813554527,3314.7699113099,3314.6756022972,3315.2406921873,3315.6169647712,3314.5814589757,3314.7699644693,3315.6166472374,13.7758380161,13.7677329641,13.5719102091,13.7004304228,13.485869454,13.3351852461,15.362148379,15.2330207647,14.6224170703,14.9200950422,15.1491309071,14.8916587031,14.8258002788,14.8118696116,12.7549005508,12.9441691377,12.7416706507,13.0171214216,12.856648301,12.760749779,12.6635899733,12.6180905537,13.5253077755,13.3919556503,13.1443666377,13.1578498152,13.1080117057,13.0012007912,12.8074583068,12.8668399319,3315.7107978922,3316.1794140933,3315.0529226877,3316.7410694721,3314.7703146761,3314.8645232229,2.4926914791,2.4960141471,2.5293206776,2.4903688413,2.4981125046,2.4836022825,2.517484327,2.5351665959,2.4643837675,2.4962925555,2.2029922485,2.4889319001,2.7037832631,2.4767330827,2.513990348,2.5002362921,2.488963658,2.5312133763,2.5412029507,2.4819626555,2.5127499046,2.5499267893,2.5283936895,3.3831175732,2.4999278192,2.6170711757,2.4852626551,3.3813726903,2.6871220044,2.676909377,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.117319879,5.0000817871
4/17/2014 2:31:03.378 PM,7,3311.2331320597,3315.3085491316,3315.6838760706,3313.7044688327,3312.6615059761,3314.2714693354,3314.3660223123,3314.3661051997,3315.1197013834,3311.5192484575,3313.1362562144,3312.3765965948,3313.704468902,3312.9464062814,3313.2309353391,3313.1360614079,3311.8054723225,3315.496145076,3314.6490902275,3313.5151695261,3314.6489720794,3313.4204716517,3314.8372016591,3314.7432121765,3315.6838760706,3314.554693727,3315.1200990257,3314.2716470553,3314.3658773093,3313.7990551001,3312.9464535899,3314.0826692185,3314.5821533333,3314.7707085427,3314.6763998542,3315.2414877985,3315.6177590818,3314.582256856,3314.770761702,3315.6174415491,13.7792443703,13.7694625241,13.5647089185,13.6978108792,13.4888966721,13.3312686983,15.3532845977,15.2325374821,14.6195700446,14.9279218883,15.1532221919,14.8866017857,14.8299670046,14.815959299,12.7790646875,12.9576534635,12.7389733705,13.0121355736,12.8574625433,12.7636255713,12.6685285805,12.6362365072,13.5225879323,13.3844274939,13.1497383424,13.1614647863,13.1019315824,13.0074128779,12.8015310659,12.8694628376,3315.7108309717,3316.1794471051,3315.0529558619,3316.7411024023,3314.7703478908,3314.8645564241,2.4927342047,2.4961312012,2.5293386821,2.4904011876,2.4981077743,2.4836006041,2.5174632694,2.5351215804,2.4644245104,2.4962908769,2.2056001282,2.4890033062,2.7055457106,2.4755438259,2.51395357,2.5001061376,2.4890634645,2.5312336719,2.5411791458,2.4818698777,2.5127328183,2.5498465224,2.5284065078,3.3835964726,2.5000083931,2.6173341339,2.4852269487,3.378600821,2.687238745,2.6765470994,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1188972587,5.0000817871
4/17/2014 2:31:04.378 PM,8,3311.2333141587,3315.3087281156,3315.6840547625,3313.7046490551,3312.661686995,3314.2716491219,3314.366202026,3314.3662849132,3315.1198805141,3311.5194303411,3313.1364368715,3312.3767778301,3313.7046491244,3312.9465870834,3313.231115924,3313.1362420653,3311.8056539902,3315.4963239141,3314.6492697227,3313.5153498936,3314.6491515746,3313.4206520916,3314.8373810087,3314.7433915988,3315.6840547625,3314.554873295,3315.1202781561,3314.2718268417,3314.366057023,3313.79923525,3312.9466343918,3314.0828491504,3314.581814232,3314.7703697168,3314.6760608905,3315.2411496617,3315.6174214978,3314.5819177549,3314.7704228761,3315.6171039646,13.7785822251,13.7744459939,13.5646569929,13.7015734449,13.4849520228,13.3393804509,15.3538421137,15.2314945367,14.6268387864,14.9305380295,15.1489009272,14.8936394979,14.8283142878,14.8109540883,12.7768757181,12.9729428842,12.7346461274,13.0160519151,12.8574868062,12.7647187848,12.6756554982,12.6223647799,13.5241568292,13.3890492493,13.1513079083,13.1615836993,13.0936525707,13.0043250636,12.7995125678,12.8723299156,3315.7113403526,3316.1799554424,3315.0534667012,3316.7416094833,3314.7708593541,3314.8650676795,2.4926457017,2.4961211288,2.5293322737,2.4904440618,2.4981395133,2.4835993834,2.5174838693,2.5351202071,2.4644448055,2.4963172765,2.2082394409,2.4889798093,2.7069999739,2.4757382457,2.5139302213,2.5001151401,2.4890672797,2.5313118024,2.5411603767,2.4818796438,2.5127267161,2.5496460078,2.5283682056,3.3838562198,2.500013429,2.6155727868,2.4852765409,3.3759465887,2.687293224,2.6764208974,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1199810397,5.0000817871
4/17/2014 2:31:05.378 PM,9,3311.2341977068,3315.3095965511,3315.6849217807,3313.7055234987,3312.6625653032,3314.2725214509,3314.3670740013,3314.3671568883,3315.120749661,3311.5203128444,3313.1373134246,3312.3776571883,3313.705523568,3312.9474643391,3313.2319921263,3313.1371186191,3311.8065354459,3315.4971916417,3314.6501406377,3313.5162250411,3314.6500224901,3313.4215275908,3314.8382512179,3314.7442621608,3315.6849217807,3314.5557445639,3315.1211473015,3314.2726991699,3314.3669289989,3313.8001093415,3312.9475116474,3314.0837221845,3314.5825522688,3314.7711071544,3314.6767986279,3315.2418855994,3315.6181562324,3314.5826557913,3314.7711603135,3315.6178387002,13.7774398868,13.7648333212,13.5616808802,13.692419539,13.4832739871,13.330531021,15.3493481152,15.221127063,14.6211968111,14.9291671147,15.1463862624,14.8862459542,14.8253428951,14.8108794161,12.7643630552,12.9475273466,12.7404491106,13.0036906058,12.8509217161,12.7594513796,12.6680956528,12.6227478954,13.5175252754,13.3904311955,13.1496360538,13.1634999891,13.0943475196,13.0006681247,12.7949399801,12.8763075122,3315.7116248083,3316.1802393152,3315.0537519712,3316.7418926546,3314.7711449727,3314.865353182,2.4926858332,2.4960132314,2.5293424966,2.4904359752,2.4980810707,2.4836134212,2.5174531984,2.5351041846,2.4643845305,2.4963207862,2.2084564209,2.4890162752,2.7094006068,2.4762477964,2.513960132,2.5000687545,2.489186315,2.5312467954,2.5412090545,2.4817384934,2.5128594396,2.5497706809,2.528388196,3.3832390531,2.5000329621,2.6139548993,2.4852747098,3.3752470224,2.6873757818,2.675976062,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1209200216,5.0000817871
