TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 2:23:38.773 PM,0,3311.05903762668276,3315.13743043310569,3315.51303644425024,3313.5321670977737,3312.48844331072359,3314.09958399600054,3314.19420659907882,3314.19428954747172,3314.94844259519322,3311.34535974929031,3312.96353912075392,3312.20332717987639,3313.53216716712904,3312.77355083600241,3313.05828732195641,3312.96334417225307,3311.63178988935214,3315.32516575508998,3314.47748328064381,3313.34272920156809,3314.47736504525482,3313.24796207715189,3314.66573371554795,3314.57167475329743,3315.51303644425024,3314.38301710748101,3314.94884053222176,3314.09976184667721,3314.1940614892228,3313.62682269380002,3312.77359817894057,3313.91064501309165,3314.40593010872589,3314.59462827526067,3314.50024805693283,3315.06576543183837,3315.44232376933268,3314.40603370985945,3314.59468147484176,3315.44200599400437,13.5071237582428214,13.4575176082102725,13.2771025915562291,13.4270784590935825,13.2597731487295789,13.1372610125682119,15.7019303707500413,15.7451695767510795,15.1362074511427043,15.5112187705103608,15.7808896705979613,15.5267391747740433,15.5080009726324892,14.8483369313385509,12.2664340079241789,12.4108879554740366,12.1506576816383553,12.3181904938969851,12.2218137174280006,12.2013439907416163,12.0246943718150909,12.2030355284733307,13.3635807801705333,13.3167691207278569,13.0622325627157334,13.0318885008505667,12.9602123352831171,12.8329278224942662,12.6200840399521859,12.721540273577931,3315.54330654807336,3316.01226567478806,3314.88495216082128,3316.57433382819908,3314.60213910040784,3314.69641594807808,2.49445528386407478,2.49782337336594295,2.5313959282182088,2.49432013203173231,2.50048118193199853,2.49035413842839626,2.52602975435947696,2.54281069205392462,2.46683123940380033,2.50423088830464646,2.27329391479492182,2.4931242627471506,2.7062308864769018,2.31794906385513943,2.51585809005938232,2.50218723511363006,2.49079146017604058,2.53258188075724089,2.54214018943270803,2.48392930039689386,2.51556623554015957,2.55338589480901046,2.53020015201264181,3.58645217184069276,2.50217198707105348,2.62110574565738918,2.48729410528176453,3.24429797782773077,2.59854299084679807,2.66404226494866725,-5.00253208083902478,5.00029275891706071,-5.00091408392384196,-5.00065637306995114,4.99991771110885352,0.049990657825835505,-0.0500093732425170232,-0.0500609584544687222,-0.0499906267574829685,0.0499875338941330877,-0.0499890655753069471,-0.0500078137208938914,-0.0500547097258261242,-0.0500296884277633622,-0.0499953138179886902,-5.00063279766880519,-5.00154709255989171,5.00055064035444196,4.99935526994195722,4.99961300082820248,5.00076156385513926,5.00005834824183814,4.99954267101613503,-4.11172993111651053,5.00008178710937478
4/17/2014 2:23:39.773 PM,1,3311.05978020071143,3315.1381603237387,3315.51376514540015,3313.53290203083543,3312.48918148707935,3314.10031715427021,3314.19493946058264,3314.19502240871497,3314.94917308292815,3311.34610144646376,3312.964275824188,3312.20406623745475,3313.53290210019076,3312.77428812912967,3313.05902373096796,3312.96408087629333,3311.63253070732571,3315.32589505165697,3314.47821525232757,3313.34346472533707,3314.47809701731012,3313.24869789608328,3314.66646509476095,3314.57240642865144,3315.51376514540015,3314.38374937612843,3314.94957101870022,3314.10049500438935,3314.19479435118182,3313.62755733136464,3312.7743354719214,3313.91137876324592,3314.40636268701609,3314.59506050289564,3314.50068046002115,3315.06619678158813,3315.44275441497529,3314.40646628795775,3314.59511370237805,3315.44243664024179,13.5116771410921324,13.469551853078169,13.284561137290412,13.4265972505456421,13.2579941060937614,13.1330407890015177,15.7081534428574745,15.7345529909767823,15.1345069308863262,15.5078423682782898,15.7953445278664812,15.521458253925422,15.5047779409179487,14.8464850616882487,12.2684719501319641,12.4044510213509653,12.1634638999853895,12.3471012432390008,12.2193461722975591,12.1994875770824862,12.0267337301550103,12.1839953796550517,13.3428253141862569,13.3073859057862211,13.0537625577277954,13.0357862712305064,12.964416368732941,12.8354524420772176,12.6242879526029803,12.7208580454074376,3315.54322047355481,3316.01217977636724,3314.88486584023485,3316.5742481417451,3314.60205267452556,3314.69632955726956,2.49446138752275459,2.49788258718227229,2.53143773534053107,2.49414756726089592,2.50059516775783797,2.49035123932642222,2.52594643941850183,2.54277178031782736,2.46683673282536686,2.50410636783055063,2.27490829467773414,2.49317598640525295,2.70833065833515629,2.31526762779817963,2.51587258760792309,2.50210529733678122,2.49086593353948249,2.53260187117648927,2.54219298731776488,2.48394974813272506,2.51562802060307611,2.5537119980604106,2.53036038056386792,3.58580005679642744,2.50217549692158636,2.61500337465618582,2.48727442098252283,3.23544026323344447,2.59876823168968984,2.66462810478326117,-5.00253208083902478,5.00029275891706071,-5.00091408392384196,-5.00065637306995114,4.99991771110885352,0.049990657825835505,-0.0500093732425170232,-0.0500609584544687222,-0.0499906267574829685,0.0499875338941330877,-0.0499890655753069471,-0.0500078137208938914,-0.0500547097258261242,-0.0500296884277633622,-0.0499953138179886902,-5.00063279766880519,-5.00154709255989171,5.00055064035444196,4.99935526994195722,4.99961300082820248,5.00076156385513926,5.00005834824183814,4.99954267101613503,-4.11440131468446779,5.00008178710937478
4/17/2014 2:23:40.773 PM,2,3311.0601042172193,3315.13847880552157,3315.51408310812121,3313.53322271301158,3312.48950358454976,3314.10063706196979,3314.19525923878063,3314.19534218679973,3314.94949182527125,3311.34642508033357,3312.96459727891169,3312.20438871946908,3313.53322278236646,3312.77460984118079,3313.05934505721234,3312.96440233128078,3311.63285395753428,3315.32621327420383,3314.47853464222998,3313.34378566528312,3314.47841640737488,3313.24901896483106,3314.66678422612358,3314.57272568924281,3315.51408310812121,3314.38406889561883,3314.94988976049535,3314.10081491184564,3314.19511412957854,3313.62787788459263,3312.7746571839084,3313.91169892923017,3314.40660891379866,3314.59530653006959,3314.50092658707126,3315.06644230903066,3315.44299954160851,3314.40671251463072,3314.59535972949561,3315.44268176721379,13.5121098278470093,13.4648716782339974,13.2872081207750448,13.4261144395727356,13.2575873032742013,13.1309554341381904,15.7009680125748883,15.7301838738483521,15.1398944983302055,15.5062933665546385,15.7821368132066979,15.5164800723469387,15.5096288908541879,14.8530897072565917,12.2654701170572267,12.4066402570053231,12.1543514345930212,12.3189054890122804,12.2204667744689868,12.2019830054368352,12.0263266636265698,12.2033688337054649,13.3572981665850765,13.3097233635626821,13.0453348406718579,13.0379712242613905,12.9674416151247005,12.8337437271544878,12.6163188652371083,12.7332730412786361,3315.54428642477069,3316.01324354661483,3314.88593483899876,3316.57530928679079,3314.60312297737618,3314.69739942573414,2.49449114285881679,2.49788228195641482,2.53143849824422284,2.49405571580904484,2.50062217644749474,2.49023085030233693,2.52599160649273013,2.54268052848180392,2.46685687537111109,2.50402762694251946,2.27568740844726536,2.49309832462951819,2.71062769859511965,2.31196111849044827,2.51582573763526973,2.5023123542514627,2.49083419079440871,2.53258737430756886,2.54221740252472772,2.48401643216674239,2.51552702872245737,2.55406495866896899,2.5302346393008106,3.58423287463177553,2.50223180713230953,2.60854128654982231,2.48729029049508954,3.21151189198611053,2.5992847901268088,2.66544895200135956,-5.00253208083902478,5.00029275891706071,-5.00091408392384196,-5.00065637306995114,4.99991771110885352,0.049990657825835505,-0.0500093732425170232,-0.0500609584544687222,-0.0499906267574829685,0.0499875338941330877,-0.0499890655753069471,-0.0500078137208938914,-0.0500547097258261242,-0.0500296884277633622,-0.0499953138179886902,-5.00063279766880519,-5.00154709255989171,5.00055064035444196,4.99935526994195722,4.99961300082820248,5.00076156385513926,5.00005834824183814,4.99954267101613503,-4.11656033213286854,5.00008178710937478
4/17/2014 2:23:41.773 PM,3,3311.0601919632395,3315.13856505247213,3315.51416921448481,3313.53330955593401,3312.48959081080238,3314.10072369512727,3314.19534583686299,3314.19542878485117,3314.94957814279405,3311.3465127227173,3312.96468433107747,3312.20447604987475,3313.53330962528934,3312.77469696304342,3313.05943207457994,3312.96448938351841,3311.63294149600369,3315.32629945094049,3314.47862113514293,3313.34387257802245,3314.47850290033193,3313.24910591245588,3314.66687064901134,3314.57281214713248,3315.51416921448481,3314.38415542363054,3314.94997607786945,3314.10090154493718,3314.19520072771456,3313.62796469259001,3312.77474430575375,3313.91178563234325,3314.40690172385711,3314.59559910275538,3314.50121927852842,3315.06673428744125,3315.44329104338066,3314.40700532455866,3314.59565230211455,3315.4429732693884,13.5089963128204555,13.4616799106231895,13.2872217628324858,13.4266621657839469,13.2562266537217361,13.1256275003407108,15.6964111910554731,15.7341604597098694,15.1383070031367843,15.508059637511975,15.7734633191675577,15.5129122353136193,15.5054524421629409,14.8485311163441285,12.2474698735319052,12.406424549945692,12.1706307058525951,12.3428145988424038,12.2209386383405985,12.1978720396380993,12.0215267614873404,12.2003276175767468,13.3598954994677115,13.320105830934466,13.0624399979096353,13.0391187070991012,12.9585108867449321,12.8292410023582182,12.6121220481904856,12.7331992014404314,3315.54456449949884,3316.01352105239539,3314.88621370873852,3316.57558610773685,3314.60340218731198,3314.69767852235236,2.49459047990382565,2.49787220950312161,2.53147786407473108,2.49406242920419663,2.50045936135221902,2.49004866463090701,2.52605600009179909,2.54272508623451099,2.46683932694110686,2.50394369770140113,2.26978347778320311,2.49311129368833439,2.71516441413512188,2.31095697249677689,2.51581627607727487,2.50236057089482289,2.49072904295135267,2.53257425082623033,2.54245285667687559,2.48388855752027426,2.51547760067212422,2.55409044263854534,2.53016581732309342,3.58247370540283949,2.50202411554208215,2.6094533227909924,2.48729151122682568,3.20812650990360071,2.59931088510250952,2.66435799889442792,-5.00253208083902478,5.00029275891706071,-5.00091408392384196,-5.00065637306995114,4.99991771110885352,0.049990657825835505,-0.0500093732425170232,-0.0500609584544687222,-0.0499906267574829685,0.0499875338941330877,-0.0499890655753069471,-0.0500078137208938914,-0.0500547097258261242,-0.0500296884277633622,-0.0499953138179886902,-5.00063279766880519,-5.00154709255989171,5.00055064035444196,4.99935526994195722,4.99961300082820248,5.00076156385513926,5.00005834824183814,4.99954267101613503,-4.11884629675562053,5.00008178710937478
4/17/2014 2:23:42.773 PM,4,3311.0606375024995,3315.1390029816448,3315.51460642996335,3313.53375051058401,3312.49003371144135,3314.10116358489494,3314.1957855485698,3314.195868496402,3314.95001643023033,3311.34695773586099,3312.96512634795772,3312.20491947925074,3313.53375057993889,3312.77513933374211,3313.05987391480584,3312.96493140076199,3311.63338598162408,3315.32673702367174,3314.47906031295451,3313.3443138870989,3314.47894207836634,3313.24954739863096,3314.66730947133828,3314.57325114714512,3315.51460642996335,3314.38459477962123,3314.95041436455221,3314.10134143437062,3314.19564043969467,3313.62840546994039,3312.77518667636422,3313.91222587724405,3314.40682186727053,3314.59551931090709,3314.50113945428756,3315.066654657669,3315.44321154360113,3314.40692546800755,3314.59557251028445,3315.44289376949927,13.5037435904841896,13.4706189810040513,13.2846360977964455,13.4251462311117926,13.2547863920062774,13.1354815653307497,15.6951263941929966,15.7293694304495606,15.1385459207701558,15.5066980463003272,15.7712635947207964,15.5129224432151815,15.5055384542117736,14.84602665013076,12.2644253286821492,12.4038390114484596,12.157582421939539,12.3316025610438729,12.2194212889467142,12.2054438438751145,12.0227594398509581,12.2072874592261513,13.3539542281002248,13.3143934978433886,13.0650477253177843,13.0363826131211429,12.9591335393496223,12.8323071041251246,12.6203034354365311,12.7216071849155163,3315.54467044159582,3316.01362677776251,3314.88631995368041,3316.5756915722286,3314.60350856184504,3314.69778485371898,2.49454302395759253,2.49780887513771788,2.53145589244840075,2.49401619832394594,2.50037207903310232,2.49005415766622651,2.52606347707368117,2.54268556411823976,2.46681338578370868,2.5039035642642844,2.26530593872070307,2.49308932257692817,2.71815212265072104,2.30926182755791709,2.51570044829472206,2.50223194231775814,2.49073743646567491,2.53258447493378469,2.54280016299592182,2.48400330899299959,2.51552931705812055,2.55434299335500192,2.53009989471916041,3.58127554129974435,2.50231100767259429,2.60776340021761932,2.4872426819573894,3.21177905459772361,2.59930584923000607,2.66444772898631132,-5.00253208083902478,5.00029275891706071,-5.00091408392384196,-5.00065637306995114,4.99991771110885352,0.049990657825835505,-0.0500093732425170232,-0.0500609584544687222,-0.0499906267574829685,0.0499875338941330877,-0.0499890655753069471,-0.0500078137208938914,-0.0500547097258261242,-0.0500296884277633622,-0.0499953138179886902,-5.00063279766880519,-5.00154709255989171,5.00055064035444196,4.99935526994195722,4.99961300082820248,5.00076156385513926,5.00005834824183814,4.99954267101613503,-4.12134282279736919,5.00008178710937478
4/17/2014 2:23:43.773 PM,5,3311.06122480349358,3315.1395802511538,3315.51518275869193,3313.534331768225,3312.49061753425121,3314.1017434388259,3314.19636516778428,3314.19644811541047,3314.95059417199581,3311.34754434333808,3312.96570900581218,3312.20550399903277,3313.53433183757943,3312.77572245799365,3313.06045633979692,3312.96551405909531,3311.63397189372881,3315.32731382332485,3314.47963922839699,3313.34489561193822,3314.47952099410304,3313.25012935691893,3314.6678879181868,3314.57382982821627,3315.51518275869193,3314.38517392993708,3314.95099210532362,3314.10192128786047,3314.1962200592693,3313.62898649386761,3312.77576980049934,3313.91280619930603,3314.40740749761016,3314.5961044665064,3314.50172484742734,3315.06723862473018,3315.44379455739545,3314.40751109808707,3314.59615766575007,3315.4434767840994,13.5043811196163901,13.463243581783205,13.2803111500564999,13.420213489180032,13.2506151164016153,13.1300145644378823,15.6946965488104109,15.7242139442946591,15.13224575800389,15.5080968954711586,15.7677855362271995,15.5098253862264563,15.5049561265540596,14.8449110654777581,12.2668951603175227,12.4087528266874258,12.1593659936281888,12.3353703519912496,12.2187609235365091,12.1985967533434891,12.0267593923623881,12.1962409087304646,13.3655154025569622,13.3112241452273015,13.0617247057150312,13.0380983344846939,12.9595514734219392,12.8364667811576965,12.6185838391344429,12.7263765957314909,3315.54508092386549,3316.01403642014474,3314.88673160955568,3316.57610020365064,3314.60392071992191,3314.69819684451476,2.49451799895700699,2.49783878727174002,2.53149525827890898,2.49405739415783278,2.50039420479581542,2.49009642352132365,2.52609506350734758,2.5426687786634532,2.46690402723955815,2.50384725537342501,2.25951751708984361,2.49312929779351444,2.72244793578832667,2.3081355969449544,2.51570868900652433,2.50216633106255326,2.49080473718960515,2.53256204293661291,2.54263856484483641,2.4839866761332563,2.51539308480828261,2.5540467994331637,2.53007364775648291,3.58132208824299303,2.50219228316326525,2.60624501859723745,2.48729502083056619,3.20675163709192334,2.59915797770103474,2.66277002043160316,-5.00253208083902478,5.00029275891706071,-5.00091408392384196,-5.00065637306995114,4.99991771110885352,0.049990657825835505,-0.0500093732425170232,-0.0500609584544687222,-0.0499906267574829685,0.0499875338941330877,-0.0499890655753069471,-0.0500078137208938914,-0.0500547097258261242,-0.0500296884277633622,-0.0499953138179886902,-5.00063279766880519,-5.00154709255989171,5.00055064035444196,4.99935526994195722,4.99961300082820248,5.00076156385513926,5.00005834824183814,4.99954267101613503,-4.12360544256714512,5.00008178710937478
4/17/2014 2:23:44.773 PM,6,3311.06151507343929,3315.13986556295776,3315.51546760550809,3313.53461905119456,3312.49090608507594,3314.10203002800108,3314.19665164094885,3314.19673458847319,3314.95087971721614,3311.34783427050706,3312.96599698084901,3312.20579289434181,3313.53461912054899,3312.77601066355055,3313.06074419973902,3312.9658020343686,3311.63426147720474,3315.32759890289889,3314.47992535371668,3313.34518312582486,3314.47980711956825,3313.25041698618906,3314.66817381190048,3314.5741158376959,3315.51546760550809,3314.38546017134467,3314.95127765005281,3314.10220787681737,3314.19650653261169,3313.62927366132271,3312.77605800599894,3313.91309301985848,3314.40784005999239,3314.59653667822522,3314.5021572346036,3315.06766995854468,3315.44422518708688,3314.40794366027648,3314.59658987736975,3315.4439074143861,13.5094683508938988,13.4603966642124142,13.2829598864594605,13.4190457070534013,13.2508969535688994,13.1221313459139033,15.6918549640560769,15.7193129496751229,15.13641521028919,15.5026630715245943,15.7551886724593579,15.5053060865631327,15.4989903306559338,14.8383345892145773,12.256033125343853,12.4114780437445109,12.1743102599973927,12.3246591636516847,12.219806902246658,12.2015521276615431,12.0212348912079836,12.1892675939685535,13.3692514723486973,13.3157998051947448,13.0713408144236123,13.0418348629750902,12.9637470266757955,12.8350119429555907,12.6179691137614043,12.7360682744075362,3315.54525969397264,3316.01421482451041,3314.88691089072699,3316.57627816777812,3314.60410021978441,3314.69837627153219,2.49443514179043246,2.49792837106087706,2.53144460147375927,2.49423087439164437,2.5005567147081571,2.48992781785387862,2.52610147234896143,2.54259202335656376,2.46693698776895776,2.50373433239446541,2.25424118041992161,2.49316179672913618,2.72490974779913797,2.30844996483962994,2.51575141862327634,2.50222400793340771,2.49079359670695899,2.53255365001250121,2.54215178665601504,2.48395676750472694,2.5153723372315997,2.55395264608449057,2.530102031099843,3.58040137444424466,2.50206226609135251,2.6034240550962684,2.48725916183582418,3.22071519385355698,2.59883629226958801,2.66231572369089298,-5.00253208083902478,5.00029275891706071,-5.00091408392384196,-5.00065637306995114,4.99991771110885352,0.049990657825835505,-0.0500093732425170232,-0.0500609584544687222,-0.0499906267574829685,0.0499875338941330877,-0.0499890655753069471,-0.0500078137208938914,-0.0500547097258261242,-0.0500296884277633622,-0.0499953138179886902,-5.00063279766880519,-5.00154709255989171,5.00055064035444196,4.99935526994195722,4.99961300082820248,5.00076156385513926,5.00005834824183814,4.99954267101613503,-4.1258660787873227,5.00008178710937478
4/17/2014 2:23:45.773 PM,7,3311.06183908669618,3315.14018404145781,3315.51578556494359,3313.53493973010017,3312.49122817928446,3314.10234993242602,3314.19697141587175,3314.1970543632824,3314.95119845627823,3311.34815790112361,3312.9663184323067,3312.2061153730965,3313.5349397994546,3312.77633237233749,3313.06106552271694,3312.96612348609051,3311.63458472415732,3315.32791712216112,3314.48024474034173,3313.34550406250218,3314.48012650635519,3313.25073805166903,3314.66849293998393,3314.57443509500944,3315.51578556494359,3314.38577968755817,3314.95159638856694,3314.10252778099948,3314.19682630773331,3313.62959421127971,3312.77637971472177,3313.913413182569,3314.40818611398526,3314.5968824516899,3314.50250314843288,3315.06801502969074,3315.44456969493876,3314.40828971411565,3314.59693565075531,3315.44425192271364,13.5059412429445231,13.4625911333616806,13.2848499765816648,13.4223844245416544,13.2534736736013965,13.1299726482910834,15.6853614343598355,15.7077101034095747,15.1372349117692195,15.5047019043192602,15.7551699273938333,15.4998008969794547,15.4976766690552168,14.8431930634903146,12.261357689666049,12.4133682924568678,12.1784152046810092,12.339527516958638,12.2152816996878286,12.1940482670038612,12.0254947185696999,12.187721768345046,13.3713045242180577,13.3157157348379211,13.0710276660608766,13.0400713236324002,12.9610670436078585,12.8311863690513395,12.6224660777336126,12.727052183864215,3315.54561721405889,3316.01457161308644,3314.88726943297933,3316.5766340758455,3314.60445919943595,3314.69873510548814,2.49450777532871859,2.49782703607623135,2.53137105755784875,2.49420722493145019,2.50071083208981459,2.48982222950829302,2.5261284810386182,2.54261704894370055,2.46697788324062062,2.50370518605800418,2.25474578857421859,2.49317171424470141,2.72452726374416132,2.30608396491776402,2.51586510992499157,2.50213596678398176,2.49082305031176299,2.53262949152674821,2.54189802109864526,2.48387680770192354,2.5154210025033783,2.55394059079349356,2.53012873585838083,3.57933873062182073,2.50214482387997306,2.59720203275418848,2.48724405528059256,3.21127753346444411,2.59881752219934681,2.66201448695385512,-5.00253208083902478,5.00029275891706071,-5.00091408392384196,-5.00065637306995114,4.99991771110885352,0.049990657825835505,-0.0500093732425170232,-0.0500609584544687222,-0.0499906267574829685,0.0499875338941330877,-0.0499890655753069471,-0.0500078137208938914,-0.0500547097258261242,-0.0500296884277633622,-0.0499953138179886902,-5.00063279766880519,-5.00154709255989171,5.00055064035444196,4.99935526994195722,4.99961300082820248,5.00076156385513926,5.00005834824183814,4.99954267101613503,-4.12761343340351239,5.00008178710937478
4/17/2014 2:23:46.773 PM,8,3311.06235212650744,3315.14068831808663,3315.51628901973754,3313.53544749063212,3312.49173818066538,3314.10285646672264,3314.19747774512734,3314.19756069235836,3314.95170314545475,3311.34867033510045,3312.96682741602035,3312.20662598333001,3313.53544755998655,3312.77684176348066,3313.06157430300891,3312.96663247022297,3311.63509655067991,3315.32842098833907,3314.48075045480482,3313.34601223116442,3314.48063222107566,3313.25124642426408,3314.66899824509892,3314.57494060473345,3315.51628901973754,3314.38628560719917,3314.95210107687535,3314.10303431491047,3314.19733263730358,3313.63010176764737,3312.77688910576353,3313.91392012580945,3314.40856544492271,3314.59726147512628,3314.50288232572984,3315.06839328328078,3315.44494733107421,3314.40866904488439,3314.59731467410483,3315.44462955937115,13.4991618332196417,13.4640500551001256,13.2766131114357577,13.4123971340513552,13.251192215381737,13.1276160013565271,15.6788954790254937,15.709624228991677,15.1296970654115288,15.4984620331713589,15.7522069477715689,15.5044581240034898,15.4915143227614109,14.8311621186415223,12.2615956131480868,12.3993282400367821,12.1816315792945371,12.3344980133970168,12.21391580400641,12.1917655850349007,12.0175575682290816,12.1975061140818415,13.3817916121885165,13.3261265803241393,13.0711347282185937,13.0325451357145887,12.9591889957967652,12.8362568508237693,12.6223442629958296,12.734564630562744,3315.54602107788878,3316.014974650579,3314.88767445148141,3316.57703611868646,3314.60486471203739,3314.69914045350697,2.49449236359055293,2.49778934068284641,2.53139623337968533,2.49400078803052905,2.50057166867192215,2.48972961082943378,2.52612344552020751,2.5425569264965544,2.46695011094270056,2.50354572049987922,2.25363128662109346,2.49312899263918952,2.72499015031089398,2.3036122091944371,2.51578193977809894,2.50216236387037805,2.49082259248370885,2.53261133229094248,2.54187070658585545,2.48389130423105753,2.51554609818632047,2.55394501615347957,2.53013361901422762,3.57728333969830991,2.50204731107603839,2.59060854183596945,2.48721826732267148,3.21594868329570582,2.59859014492569651,2.66065739561521397,-5.00253208083902478,5.00029275891706071,-5.00091408392384196,-5.00065637306995114,4.99991771110885352,0.049990657825835505,-0.0500093732425170232,-0.0500609584544687222,-0.0499906267574829685,0.0499875338941330877,-0.0499890655753069471,-0.0500078137208938914,-0.0500547097258261242,-0.0500296884277633622,-0.0499953138179886902,-5.00063279766880519,-5.00154709255989171,5.00055064035444196,4.99935526994195722,4.99961300082820248,5.00076156385513926,5.00005834824183814,4.99954267101613503,-4.1295123006929364,5.00008178710937478
4/17/2014 2:23:47.773 PM,9,3311.06337819197096,3315.14169685704746,3315.51729591501543,3313.53646299745423,3312.49275816922136,3314.103869521055,3314.19849038937445,3314.19857333624577,3314.95271250951827,3311.34969518888556,3312.96784536922541,3312.20764718959981,3313.53646306680866,3312.77786053155068,3313.06259184936698,3312.96765042426477,3311.63612018954563,3315.32942870639226,3314.48176186945784,3313.34702855425302,3314.48164363624209,3313.2522631552215,3314.670008841048,3314.57595160990467,3315.51729591501543,3314.38729743221028,3314.9531104392031,3314.10404736847249,3314.19834528218007,3313.63111686613729,3312.77790787363073,3313.91493399803584,3314.40926419903053,3314.59795966277806,3314.50358079681291,3315.0690900527793,3315.44564296314274,3314.40936779868161,3314.59801286159699,3315.44532519240101,13.5049269855009122,13.4618049890922577,13.2774210709622569,13.4188514467638598,13.2477254365225203,13.1333838361774582,15.6754360305374476,15.7007516348779301,15.1291315646339175,15.4956868933199878,15.7432594218981965,15.5012258489493924,15.483940088099283,14.830292472638865,12.2502674677809296,12.3842553695280753,12.1777050103440043,12.3046912903304548,12.2137310713649132,12.196851112908373,12.0227209974339519,12.1926628777088073,13.3697884986593909,13.3116046372494843,13.0791311105209633,13.0271050460953059,12.9584050389009349,12.8464685119045665,12.622400237424225,12.7262229823230708,3315.54617997298692,3316.0151332205578,3314.88783380088079,3316.57719429732378,3314.60502425583854,3314.69929993255391,2.49451952487167672,2.4977635490978991,2.53130987268174934,2.49391961698005593,2.50073158452932498,2.48970351891166608,2.52616556076509591,2.5424920736030594,2.46690814730573304,2.50339983621895312,2.25317260742187475,2.49309954524681876,2.7251747556984176,2.30120225880962614,2.51570990985271736,2.50212559105060039,2.49067334053812273,2.53253243880429135,2.54191038129717039,2.48374206627849769,2.5155049081443761,2.55384720043792157,2.53014750548866729,3.57500360776963433,2.50217305528643319,2.58227232303322518,2.48726633363477267,3.22236287463186199,2.5983848949706223,2.6599879297766198,-5.00253208083902478,5.00029275891706071,-5.00091408392384196,-5.00065637306995114,4.99991771110885352,0.049990657825835505,-0.0500093732425170232,-0.0500609584544687222,-0.0499906267574829685,0.0499875338941330877,-0.0499890655753069471,-0.0500078137208938914,-0.0500547097258261242,-0.0500296884277633622,-0.0499953138179886902,-5.00063279766880519,-5.00154709255989171,5.00055064035444196,4.99935526994195722,4.99961300082820248,5.00076156385513926,5.00005834824183814,4.99954267101613503,-4.13161303229926702,5.00008178710937478
