Day of the Week ,Date Time ,Outside Temperature TX1 (°F),Outside Humidity TX1 (%),Wind Speed TX1 (mph),High Wind Speed TX1 (mph),Dominant Wind Dir TX1,Rain Amount TX1 (in),Outside Temperature TX2 (°F),Outside Humidity TX2 (%),Wind Speed TX2 (mph),High Wind Speed TX2 (mph),Dominant Wind Dir TX2,Rain Amount TX2 (in),Inside Temperature (°F),Inside Humidity (%),Barometric Pressure (in)
Tue, 07-01-2014 00:00:00,73.5,79,0.1,1.0,SSW,0.00,73.3,79,0.8,1.0,SW,0.00,81.2,57,29.94
Tue, 07-01-2014 00:01:00,73.5,79,0.1,1.0,SSW,0.00,73.3,79,0.5,1.0,SW,0.00,81.2,57,29.94
Tue, 07-01-2014 00:02:00,73.5,79,0.0,0.0,,0.00,73.3,79,0.0,0.0,,0.00,81.2,57,29.94
Tue, 07-01-2014 00:03:00,73.5,80,0.0,0.0,,0.00,73.3,79,0.1,1.0,WSW,0.00,81.2,58,29.94
Tue, 07-01-2014 00:04:00,73.4,79,0.1,1.0,SSW,0.00,73.3,80,0.1,1.0,WSW,0.00,81.2,57,29.94
Tue, 07-01-2014 00:05:00,73.4,80,0.1,1.0,SSW,0.00,73.3,80,0.1,1.0,WSW,0.00,81.1,57,29.94
Tue, 07-01-2014 00:06:00,73.4,80,0.0,0.0,,0.00,73.3,80,0.1,1.0,WSW,0.00,81.1,57,29.94
Tue, 07-01-2014 00:07:00,73.4,80,0.6,2.0,SSW,0.00,73.3,80,0.8,2.0,WSW,0.00,81.1,57,29.94
Tue, 07-01-2014 00:08:00,73.4,80,0.4,1.0,SW,0.00,73.3,80,0.4,1.0,WSW,0.00,81.1,57,29.94
Tue, 07-01-2014 00:09:00,73.4,80,0.3,1.0,SW,0.00,73.3,80,0.6,1.0,WSW,0.00,81.1,57,29.94
Tue, 07-01-2014 00:10:00,73.4,80,0.6,2.0,WSW,0.00,73.2,80,1.3,2.0,W,0.00,81.0,57,29.94
Tue, 07-01-2014 00:11:00,73.4,80,0.5,2.0,WSW,0.00,73.3,80,0.9,1.0,W,0.00,81.0,57,29.94
Tue, 07-01-2014 00:12:00,73.4,80,0.1,1.0,WSW,0.00,73.2,80,0.1,1.0,W,0.00,81.0,57,29.94
Tue, 07-01-2014 00:13:00,73.4,80,0.1,1.0,WSW,0.00,73.2,80,0.4,2.0,W,0.00,81.0,58,29.93
Tue, 07-01-2014 00:14:00,73.4,80,0.1,1.0,WSW,0.00,73.2,80,0.6,1.0,W,0.00,80.9,58,29.93
Tue, 07-01-2014 00:15:00,73.4,80,0.2,1.0,WSW,0.00,73.2,80,0.6,1.0,W,0.00,80.9,57,29.94
Tue, 07-01-2014 00:16:00,73.4,80,0.3,1.0,WSW,0.00,73.1,81,0.3,1.0,W,0.00,80.9,57,29.94
Tue, 07-01-2014 00:17:00,73.4,80,0.3,1.0,WSW,0.00,73.1,80,0.3,1.0,W,0.00,80.9,58,29.94
Tue, 07-01-2014 00:18:00,73.4,80,0.0,0.0,,0.00,73.1,81,0.6,2.0,W,0.00,80.8,57,29.94
Tue, 07-01-2014 00:19:00,73.4,80,0.2,1.0,WSW,0.00,73.1,81,0.4,1.0,W,0.00,80.8,57,29.94
Tue, 07-01-2014 00:20:00,73.4,80,0.0,0.0,,0.00,73.0,81,0.1,1.0,W,0.00,80.8,57,29.94
Tue, 07-01-2014 00:21:00,73.4,80,0.0,0.0,,0.00,73.0,81,0.9,2.0,W,0.00,80.8,57,29.94
Tue, 07-01-2014 00:22:00,73.4,81,0.1,1.0,WSW,0.00,73.0,81,0.3,1.0,W,0.00,80.8,57,29.94
Tue, 07-01-2014 00:23:00,73.4,81,0.0,0.0,,0.00,73.0,81,0.0,0.0,,0.00,80.8,57,29.94
Tue, 07-01-2014 00:24:00,73.4,81,0.0,0.0,,0.00,72.9,81,0.0,0.0,,0.00,80.7,57,29.94
Tue, 07-01-2014 00:25:00,73.4,81,0.0,0.0,,0.00,72.9,81,0.1,1.0,W,0.00,80.7,58,29.94
Tue, 07-01-2014 00:26:00,73.3,81,0.1,1.0,WSW,0.00,72.9,82,0.8,1.0,W,0.00,80.7,58,29.94
Tue, 07-01-2014 00:27:00,73.3,81,0.1,1.0,WSW,0.00,72.8,82,0.6,2.0,W,0.00,80.7,58,29.94
Tue, 07-01-2014 00:28:00,73.3,81,0.0,0.0,,0.00,72.8,82,0.0,0.0,,0.00,80.6,58,29.94
Tue, 07-01-2014 00:29:00,73.3,81,0.0,0.0,,0.00,72.8,82,0.1,1.0,W,0.00,80.6,58,29.94
Tue, 07-01-2014 00:30:00,73.2,81,0.1,1.0,WSW,0.00,72.8,82,0.1,1.0,W,0.00,80.6,58,29.94
Tue, 07-01-2014 00:31:00,73.2,82,0.0,0.0,,0.00,72.8,82,0.0,0.0,,0.00,80.6,58,29.94
