Day of the Week ,Date Time ,Outside Temperature TX1 (°F),Outside Humidity TX1 (%),Wind Speed TX1 (mph),High Wind Speed TX1 (mph),Dominant Wind Dir TX1,Rain Amount TX1 (in),Outside Temperature TX2 (°F),Outside Humidity TX2 (%),Wind Speed TX2 (mph),High Wind Speed TX2 (mph),Dominant Wind Dir TX2,Rain Amount TX2 (in),Inside Temperature (°F),Inside Humidity (%),Barometric Pressure (in)
Tue, 07-08-2014 00:00:00,79.9,69,0.4,2.0,SSW,0.00,79.7,68,1.1,2.0,W,0.00,78.1,54,29.79
Tue, 07-08-2014 00:01:00,79.8,69,0.6,2.0,WSW,0.00,79.7,68,0.0,0.0,W,0.00,78.1,55,29.79
Tue, 07-08-2014 00:02:00,79.8,69,0.3,1.0,SW,0.00,79.7,68,0.6,1.0,W,0.00,78.1,54,29.78
Tue, 07-08-2014 00:03:00,79.8,69,0.6,2.0,WSW,0.00,79.6,68,0.7,1.0,W,0.00,78.1,54,29.79
Tue, 07-08-2014 00:04:00,79.8,69,0.4,2.0,W,0.00,79.6,68,2.1,5.0,W,0.00,78.1,54,29.79
Tue, 07-08-2014 00:05:00,79.8,69,0.9,3.0,S,0.00,79.6,68,2.6,4.0,W,0.00,78.1,54,29.79
Tue, 07-08-2014 00:06:00,79.8,69,0.8,3.0,SW,0.00,79.6,68,1.8,2.0,SW,0.00,78.1,55,29.79
Tue, 07-08-2014 00:07:00,79.7,69,0.0,0.0,,0.00,79.6,68,1.3,2.0,SW,0.00,78.1,55,29.79
Tue, 07-08-2014 00:08:00,79.7,69,0.1,1.0,SW,0.00,79.6,68,1.8,4.0,SW,0.00,78.1,55,29.78
Tue, 07-08-2014 00:09:00,79.7,69,0.1,1.0,SSW,0.00,79.6,68,2.8,5.0,SSW,0.00,78.1,55,29.79
Tue, 07-08-2014 00:10:00,79.7,69,0.6,1.0,WSW,0.00,79.6,68,1.4,2.0,SW,0.00,78.2,55,29.79
Tue, 07-08-2014 00:11:00,79.7,69,0.6,2.0,WNW,0.00,79.6,68,2.2,3.0,SW,0.00,78.1,55,29.79
Tue, 07-08-2014 00:12:00,79.7,69,0.4,2.0,W,0.00,79.6,68,1.7,3.0,WSW,0.00,78.2,55,29.79
Tue, 07-08-2014 00:13:00,79.7,69,1.2,3.0,WNW,0.00,79.6,68,1.5,3.0,W,0.00,78.2,55,29.79
Tue, 07-08-2014 00:14:00,79.7,69,0.3,1.0,SW,0.00,79.6,68,2.2,4.0,SSW,0.00,78.2,55,29.79
Tue, 07-08-2014 00:15:00,79.7,69,0.0,0.0,,0.00,79.6,68,2.1,3.0,WSW,0.00,78.2,55,29.79
Tue, 07-08-2014 00:16:00,79.7,69,0.1,1.0,SW,0.00,79.6,68,0.9,2.0,SW,0.00,78.2,55,29.79
Tue, 07-08-2014 00:17:00,79.7,69,0.8,2.0,WSW,0.00,79.5,68,2.2,4.0,W,0.00,78.2,55,29.79
Tue, 07-08-2014 00:18:00,79.7,69,0.8,2.0,S,0.00,79.5,68,0.8,2.0,W,0.00,78.2,55,29.79
Tue, 07-08-2014 00:19:00,79.7,69,0.0,0.0,,0.00,79.4,68,1.9,4.0,WSW,0.00,78.2,55,29.79
Tue, 07-08-2014 00:20:00,79.7,69,0.8,2.0,SSW,0.00,79.4,69,2.6,4.0,W,0.00,78.2,55,29.79
Tue, 07-08-2014 00:21:00,79.7,69,0.8,3.0,W,0.00,79.4,69,1.2,3.0,WSW,0.00,78.2,56,29.79
Tue, 07-08-2014 00:22:00,79.6,69,0.4,2.0,WNW,0.00,79.4,69,0.5,1.0,W,0.00,78.2,56,29.79
Tue, 07-08-2014 00:23:00,79.6,69,0.1,1.0,WNW,0.00,79.3,69,0.7,1.0,W,0.00,78.3,56,29.78
Tue, 07-08-2014 00:24:00,79.6,69,0.1,1.0,WNW,0.00,79.3,70,0.6,2.0,WSW,0.00,78.2,56,29.79
Tue, 07-08-2014 00:25:00,79.6,69,0.0,0.0,,0.00,79.3,69,0.6,2.0,WSW,0.00,78.3,56,29.79
Tue, 07-08-2014 00:26:00,79.5,70,0.2,1.0,WNW,0.00,79.2,69,1.9,3.0,SSW,0.00,78.3,56,29.78
Tue, 07-08-2014 00:27:00,79.5,70,0.7,2.0,W,0.00,79.2,69,1.5,2.0,SSW,0.00,78.3,56,29.78
Tue, 07-08-2014 00:28:00,79.5,70,0.4,2.0,WNW,0.00,79.2,69,1.2,2.0,SSW,0.00,78.3,56,29.78
Tue, 07-08-2014 00:29:00,79.4,70,0.2,1.0,WNW,0.00,79.1,69,1.6,4.0,W,0.00,78.3,56,29.79
Tue, 07-08-2014 00:30:00,79.4,70,0.5,2.0,WSW,0.00,79.1,70,2.8,4.0,WSW,0.00,78.3,56,29.79
Tue, 07-08-2014 00:31:00,79.4,70,0.6,2.0,NW,0.00,79.1,69,1.0,2.0,WNW,0.00,78.3,56,29.79
Tue, 07-08-2014 00:32:00,79.4,70,1.4,3.0,W,0.00,79.0,69,2.6,3.0,WNW,0.00,78.3,56,29.79
