Panel,Channel,Device Name,Calibration Slope,Calibration Intercept,Channel Name,Group Name,Measurement Type
SC1Mod2,0,TC_A1_0p03_BC,1,0,TC 1 0.03 m BC,TC A1,Temperature
SC1Mod2,1,TC_A1_0p30_BC,1,0,TC 1 0.30 m BC,TC A1,Temperature
SC1Mod2,2,TC_A1_0p61_BC,1,0,TC 1 0.61 m BC,TC A1,Temperature
SC1Mod2,3,TC_A1_0p91_BC,1,0,TC 1 0.91 m BC,TC A1,Temperature
SC1Mod2,4,TC_A1_1p22_BC,1,0,TC 1 1.22 m BC,TC A1,Temperature
SC1Mod2,5,TC_A1_1p52_BC,1,0,TC 1 1.52 m BC,TC A1,Temperature
SC1Mod2,6,TC_A1_1p83_BC,1,0,TC 1 1.83 m BC,TC A1,Temperature
SC1Mod2,7,TC_A1_2p13_BC,1,0,TC 1 2.13 m BC,TC A1,Temperature
SC1Mod2,8,TC_A2_0p03_BC,1,0,TC 2 0.03 m BC,TC A2,Temperature
SC1Mod2,9,TC_A2_0p30_BC,1,0,TC 2 0.30 m BC,TC A2,Temperature
SC1Mod2,10,TC_A2_0p61_BC,1,0,TC 2 0.61 m BC,TC A2,Temperature
SC1Mod2,11,TC_A2_0p91_BC,1,0,TC 2 0.91 m BC,TC A2,Temperature
SC1Mod2,12,TC_A2_1p22_BC,1,0,TC 2 1.22 m BC,TC A2,Temperature
SC1Mod2,13,TC_A2_1p52_BC,1,0,TC 2 1.52 m BC,TC A2,Temperature
SC1Mod2,14,TC_A2_1p83_BC,1,0,TC 2 1.83 m BC,TC A2,Temperature
SC1Mod2,15,TC_A2_2p13_BC,1,0,TC 2 2.13 m BC,TC A2,Temperature
SC1Mod2,16,TC_A3_0p03_BC,1,0,TC 3 0.03 m BC,TC A3,Temperature
SC1Mod2,17,TC_A3_0p30_BC,1,0,TC 3 0.30 m BC,TC A3,Temperature
SC1Mod2,18,TC_A3_0p61_BC,1,0,TC 3 0.61 m BC,TC A3,Temperature
SC1Mod2,19,TC_A3_0p91_BC,1,0,TC 3 0.91 m BC,TC A3,Temperature
SC1Mod2,20,TC_A3_1p22_BC,1,0,TC 3 1.22 m BC,TC A3,Temperature
SC1Mod2,21,TC_A3_1p52_BC,1,0,TC 3 1.52 m BC,TC A3,Temperature
SC1Mod2,22,TC_A3_1p83_BC,1,0,TC 3 1.83 m BC,TC A3,Temperature
SC1Mod2,23,TC_A3_2p13_BC,1,0,TC 3 2.13 m BC,TC A3,Temperature
SC1Mod2,24,TC_A4_0p03_BC,1,0,TC 4 0.03 m BC,TC A4,Temperature
SC1Mod2,25,TC_A4_0p30_BC,1,0,TC 4 0.30 m BC,TC A4,Temperature
SC1Mod2,26,TC_A4_0p61_BC,1,0,TC 4 0.61 m BC,TC A4,Temperature
SC1Mod2,27,TC_A4_0p91_BC,1,0,TC 4 0.91 m BC,TC A4,Temperature
