Panel,Channel,Device Name,Calibration Slope,Calibration Intercept,Channel Name,Group Name,Measurement Type
SC1Mod6,0,TC_A1_1,1,0,TC 1 0.03 m BC West,TC A1,Temperature
SC1Mod6,1,TC_A1_2,1,0,TC 1 0.30 m BC West,TC A1,Temperature
SC1Mod6,2,TC_A1_3,1,0,TC 1 0.61 m BC West,TC A1,Temperature
SC1Mod6,3,TC_A1_4,1,0,TC 1 0.91 m BC West,TC A1,Temperature
SC1Mod6,4,TC_A1_5,1,0,TC 1 1.22 m BC West,TC A1,Temperature
SC1Mod6,5,TC_A1_6,1,0,TC 1 1.52 m BC West,TC A1,Temperature
SC1Mod6,6,TC_A1_7,1,0,TC 1 1.83 m BC West,TC A1,Temperature
SC1Mod6,7,TC_A1_8,1,0,TC 1 2.13 m BC West,TC A1,Temperature
SC1Mod6,8,TC_A2_1,1,0,TC 2 0.03 m BC West,TC A2,Temperature
SC1Mod6,9,TC_A2_2,1,0,TC 2 0.30 m BC West,TC A2,Temperature
SC1Mod6,10,TC_A2_3,1,0,TC 2 0.61 m BC West,TC A2,Temperature
SC1Mod6,11,TC_A2_4,1,0,TC 2 0.91 m BC West,TC A2,Temperature
SC1Mod6,12,TC_A2_5,1,0,TC 2 1.22 m BC West,TC A2,Temperature
SC1Mod6,13,TC_A2_6,1,0,TC 2 1.52 m BC West,TC A2,Temperature
SC1Mod6,14,TC_A2_7,1,0,TC 2 1.83 m BC West,TC A2,Temperature
SC1Mod6,15,TC_A2_8,1,0,TC 2 2.13 m BC West,TC A2,Temperature
SC1Mod6,16,TC_A5_1,1,0,TC 5 0.08 m BS West,TC A5,Temperature
SC1Mod6,17,TC_A5_2,1,0,TC 5 0.34 m BS West,TC A5,Temperature
SC1Mod6,18,TC_A5_3,1,0,TC 5 0.61 m BS West,TC A5,Temperature
SC1Mod6,19,TC_A5_4,1,0,TC 5 0.88 m BS West,TC A5,Temperature
SC1Mod6,20,TC_A5_5,1,0,TC 5 1.15 m BS West,TC A5,Temperature
SC1Mod6,21,TC_A5_6,1,0,TC 5 1.42 m BS West,TC A5,Temperature
SC1Mod6,22,TC_A5_7,1,0,TC 5 1.68 m BS West,TC A5,Temperature
SC1Mod6,23,TC_A5_8,1,0,TC 5 1.95 m BS West,TC A5,Temperature
SC1Mod6,24,TC_A6_1,1,0,TC 6 0.08 m BS West,TC A6,Temperature
SC1Mod6,25,TC_A6_2,1,0,TC 6 0.34 m BS West,TC A6,Temperature
SC1Mod6,26,TC_A6_3,1,0,TC 6 0.61 m BS West,TC A6,Temperature
SC1Mod6,27,TC_A6_4,1,0,TC 6 0.88 m BS West,TC A6,Temperature
SC1Mod6,28,TC_A6_5,1,0,TC 6 1.15 m BS West,TC A6,Temperature
SC1Mod6,29,TC_A6_6,1,0,TC 6 1.42 m BS West,TC A6,Temperature
SC1Mod6,30,TC_A6_7,1,0,TC 6 1.68 m BS West,TC A6,Temperature
SC1Mod6,31,TC_A6_8,1,0,TC 6 1.95 m BS West,TC A6,Temperature
