Time,PPV_NOOYC,HOSE_DSXOXF,HOSE_DNXOXF,HOSE_DSXAXF,HOSE_DNXAXX,HOSE_IXXAXX,HOSE_IXAOXX,FIRE_FA2S1C1NCX1_1,FIRE_FA2S1C1NCX1_2,FIRE_FA2S1C1NCX1_3,Test_1_East_062514,Test_2_East_062514,Test_3_East_062514,Test_4_East_062514,Test_5_East_062614,Test_6_East_062614,Test_7_East_062714,Test_8_East_062714,Test_9_East_062714,Test_10_East_062714,Test_11_East_062714,Test_12_East_062914,Test_13_East_062914,Test_14_West_063014,Test_15_West_063014,Test_16_West_063014,Test_17_West_063014,Test_17_West_063014_original,Test_17b_West_063014,Test_18_West_063014,Test_19_West_063014,Test_20_West_063014,Test_21_East_070114,Test_22_West_070214,Test_23_West_070214,Test_24_West_070214,Test_25_West_070214,Test_26_East_070714,Test_27_West_070814,Test_28_East_070814,Test_29_West_071014,Test_30_West_051415,Test_31_West_051615,Test_32_West_051815,Test_33_West_052015,Test_34_West_052115,Test_35_West_052115,Test_36_West_060915,Test_37_West_061015,Test_38_West_061315,Test_39_West_061315,Test_40_West_061415,Test_41_West_061415,Test_42_West_061615,Test_43_West_061715,Test_44_West_061815,Test_45_West_070915,Test_46_West_071015,Test_47_West_071515,Test_48_West_071515,Test_49_East_071515,Test_50_West_071615,Test_51_East_071615,Test_52_East_080215,Test_53_East_080215,Test_54_East_080315,Test_55_East_080315,Test_56_West_080615,Test_57_West_080615,Test_58_East_080615,Test_59_East_080815,Test_60_West_080915,Test_61_East_080915,Test_62_West_081015,Test_63_East_081015,Test_64_West_081215,Test_65_East_081315,Test_66_East_081315,Test_67_West_101015,Test_68_East_101115,Test_69_East_101115,Test_70_West_101215,Test_71_East_101315,Test_72_East_101315,Test_74_West_101515,Test_75_West_101515,Test_76_East_101715,Test_77_West_101715
0,No PPV fan,,,,,Rear door is closed,Rear door is closed,Rear door is closed,,,All vents closed,All vents closed,All vents closed,All vents closed,All vents closed,All vents closed,C doors opened,C doors opened,C doors opened,C doors opened,C doors opened,All vents closed,All vents closed,"All vents closed, fan on","All vents closed, fan on",Basement C doors opened,Basement A and C doors opened,Basement A and C doors opened,Basement A and C doors opened,Basement A and C doors opened,Basement C doors opened,Note: Data lost,All vents closed,All exterior vents closed,All exterior vents closed,All vents closed,All vents closed,All vents closed,All exterior vents closed,All vents closed,All exterior vents closed,All exterior vents closed,All exterior vents closed,All exterior vents closed,All exterior vents closed,All exterior vents closed,All exterior vents closed,All exterior vents closed,All exterior vents closed,"A side door, C side basement doors open","A side door, C side basement doors open","A side door, C side basement doors open","A side door, C side basement doors open",All Closed,"A side door, C side basement doors open","A side door, C side basement doors open","A side door, C side basement doors open",All exterior vents closed,All exterior vents closed,All exterior vents closed,C side door open,All exterior vents closed,All exterior vents closed,All exterior vents open,All exterior vents open,All exterior vents open,All exterior vents open,All exterior vents closed,All exterior vents closed,C side A8 door open,C side window open,"Basement only, C doors open",C window open,"Basement only, C doors open",C window open,All Vents closed,BC door open,BC door open,All Vents Closed,,,Only basement C doors open,,,A window open,A window open,,A window open
60,,,,,,Fixed straight stream at Door AB,,,,,,,,,,,Fan at 1200 rpm,Fan at 1200 rpm,,,,,,,,"Monitor on, straight stream, near target",,,,"Hose on, wide fog, fixed","Hose on, straight stream, fixed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monitor on, straight stream, near target",,,,,,
90,,,,,,Fixed narrow fog at Door AB,,Ignition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Electric PPV fan 1600 rpm,,,,,Fixed wide fog at Door AB,,,,,A door open,,,,,,Fan at 1400 rpm,,,Pilot lit,,,,Basement BC door opened,Basement BC door opened,Stairwell door opened,"Monitor on, straight stream, near target","Monitor on, straight stream, near target","Monitor on, wide fog, near target",Stairwell door opened,Stairwell door opened,,,,,,Gas on,,,,,,,,,,,,,,,,,,,,,,,,,,Ignition,,Fan on 50%,Fan on 100%,Fan on 100%,,,,,,,Ignition,Ignition,,,,Ignition,Ignition,Ignition,1st floor BC door opened,Ignition,Ignition,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All burners ignited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,Fan at 1200 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,Fixed straight stream at Room C ceiling,Narrow fog at Room C ceiling,,,Water flow stopped,Fixed straight stream at Room B ceiling,,,,,,,,,,,,,,,,Ignition,,,,,,,,,,,,,Gas on,,,,,,Ignition,,,,,,,,,Ignition,,,,,Ignition,Ignition,Ignition,,,,,,,,,,,,,,Ignition,,,,,Start PPV fan,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,Pilot lit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Left burner ignited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water off,,,,,,
170,,,,,,,,Smoke out of C Doors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Center burner ignited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,Rear door opened,Rear door opened,,,,Straight stream rotated right at Room B ceiling,,,,BC door open,,,,,,Fan at 1600 rpm,,,Main gas value on,,Gas on,,,Basement CD door opened,1st floor A door opened,Stairwell door opened,Stairwell door opened,Stairwell door opened,1st floor BC door opened,1st floor BC door opened,,,,,Right burner ignited,,Ignition,,,,,,,,,,Ignition,,,,,,,,,,,,,,,,,Fan on 100%,A door closed,A door closed,,,,Ignition,,,,,,,,,,,,,,Ignition,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sprinkler on,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,Flames at ceiling,,,,,,,,,,,,All burners ignited (50%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,All burners ignited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monitor on, straight stream, near target",,,,,,
197,,,,,,,,,,,,,,,,,,Left burner ignited (50%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,Left burner ignited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,Fan at 1200 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,Rear door closed,Fixed straight stream at Room C ceiling,Fixed narrow fog stream at Room C ceiling,,Fixed straight stream at Room A,,,,,,,,,Center burner ignited,,,,,All burners ignited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ignition,Ignition,,,,,,,Ignition,,,,,,,,Ignition,Open A door full,,,,,,,,,,,
215,,Rear door closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sprinkler (17 gpm),,,,,,,,,
225,,,,,,,,,,,,,,,,Right burner ignited,,,,,,,,,,,,,,,,,,,Gas on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,Water flow stopped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Left burner ignited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
