TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/18/2014 11:57:05.655 AM,0,3306.1484344579,3310.3091010651,3310.6924232138,3308.6711281894,3307.6063660545,3309.2500578237,3309.3466055009,3309.3466901376,3310.1162398676,3306.4404443268,3308.091016252,3307.3155337378,3308.6711282602,3307.8972028006,3308.1876742919,3308.0908173755,3306.7325774518,3310.5006900681,3309.6356543217,3308.4778585136,3309.6355336743,3308.3811767436,3309.8277480474,3309.7317680486,3310.6924232138,3309.5392617823,3310.1166459541,3309.2502392913,3309.3464574377,3308.7677006135,3307.897251096,3309.0572793846,3309.590094933,3309.7826218662,3309.6863258904,3310.2633446019,3310.6475911033,3309.5902006346,3309.7826761461,3310.6472668299,13.1426849774,13.2208028307,13.0742027723,13.2562136586,13.0569724743,12.8673234327,14.0832370752,14.1074705696,13.6574157381,13.9968725143,14.1280622961,13.4422645228,13.0282769131,12.7493847477,11.0642113703,11.7740218462,10.972706218,11.2939852721,11.3278170029,11.2452079826,10.880510405,10.3232544251,12.9439599037,12.6801961744,12.0718185948,11.7943163053,11.6016016149,11.3839638551,11.1496036363,10.7432886764,3310.7669398502,3311.2454832469,3310.0951931281,3311.8190879505,3309.8066493514,3309.9028350732,2.4933448758,2.4956576433,2.5300991445,2.4908230635,2.4981865115,2.4840189903,2.5177223697,2.5368216418,2.4657819959,2.5018193723,2.3680561829,2.4919863423,2.6918946762,2.2894870187,2.5142821302,2.5019913169,2.4911137711,2.5342375758,2.5430150168,2.4835769584,2.5125146637,2.550218863,2.5285073755,3.2909173881,2.5009618516,2.5384489511,2.4847488796,3.4374617336,2.914527662,2.895946788,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0343292319,0.03025177
4/18/2014 11:57:06.655 AM,1,3306.1490063892,3310.3096635963,3310.6929848633,3308.6716944579,3307.6069347266,3309.2506227767,3309.3471702341,3309.3472548705,3310.1168028413,3306.4410156082,3308.0915838326,3307.316103063,3308.6716945286,3307.8977708182,3308.1882416542,3308.0913849565,3306.7331480817,3310.501252159,3309.6362183953,3308.4784252198,3309.6360977482,3308.3817436686,3309.8283116819,3309.7323319025,3310.6929848633,3309.539826076,3310.1172089269,3309.2508042439,3309.3470221712,3308.7682666629,3307.8978191134,3309.0578447764,3309.5907272552,3309.7832536953,3309.6869579662,3310.2639751965,3310.6482207077,3309.5908329565,3309.783307975,3310.6478964351,13.1355690893,13.2183394174,13.0654005789,13.2501638658,13.0517599249,12.7796075006,14.0888595364,14.1080597418,13.6554109212,13.9934190191,14.1243792183,13.4371309412,13.0262719665,12.7453200117,11.0523518311,11.7531493239,10.9746720243,11.2885409468,11.3146522023,11.2582548649,10.881865305,10.3612278176,12.9133746589,12.6751858731,12.0689446865,11.7817408466,11.605909784,11.3723003779,10.8881232104,10.7445405044,3310.7673497277,3311.2458923176,3310.0956041328,3311.8194960502,3309.8070608384,3309.9032463995,2.4933189352,2.4956541332,2.5300985342,2.4907589811,2.4982383926,2.4840020534,2.5176857478,2.5367305425,2.4657290454,2.5018112846,2.3737294006,2.4919929031,2.6864062512,2.2892321671,2.513979513,2.5017590835,2.4910209846,2.5336084117,2.5431418233,2.4835287384,2.5123679051,2.5499902703,2.5295471825,3.2904097975,2.5006490171,2.5417491305,2.4846145991,3.4370403155,2.9138215717,2.898297167,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0344924933,0.0303915405
4/18/2014 11:57:07.655 AM,2,3306.1489366375,3310.3095949909,3310.6929163655,3308.6716253967,3307.6068653724,3309.250553876,3309.3471013602,3309.3471859966,3310.116734182,3306.4409459358,3308.0915146114,3307.3160336291,3308.6716254675,3307.8977015437,3308.1881724597,3308.0913157353,3306.7330784886,3310.5011836073,3309.6361496018,3308.4783561053,3309.6360289547,3308.3816745274,3309.8282429419,3309.7322631358,3310.6929163655,3309.5397572557,3310.1171402677,3309.2507353432,3309.3469532972,3308.7681976285,3307.897749839,3309.0577758221,3309.5908578488,3309.7833841871,3309.687088509,3310.2641054334,3310.6483507401,3309.5909635501,3309.7834384668,3310.6480264677,13.1377349339,13.221727555,13.0690190704,13.254848818,13.0485068953,12.7755916983,14.0817972175,14.1068688356,13.658721982,13.9958897448,14.1179243964,13.444180779,13.0169149783,12.7482493019,11.0615471555,11.7511166386,10.9711101668,11.2587021164,11.3140706788,11.2686777284,10.8886991864,10.3640860571,12.8839843631,12.666866233,12.0641345032,11.7877021913,11.6090454672,11.3741371756,10.9155611648,10.7371301715,3310.7678210832,3311.2463627454,3310.0960767847,3311.8199653613,3309.8075340451,3309.9037194213,2.4933526579,2.4955436414,2.5300487929,2.4907780532,2.498295004,2.4840307393,2.5176433273,2.5367079585,2.4657056984,2.5016827965,2.376537323,2.4919587258,2.6814002413,2.2890581965,2.5140820641,2.5019653775,2.491685751,2.5334306343,2.5430339386,2.4832354507,2.5122643197,2.5499252633,2.5289966067,3.2893599731,2.5008373283,2.5450804435,2.4844508685,3.4368457796,2.9135290332,2.8998379914,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0346583485,0.0305595398
4/18/2014 11:57:08.655 AM,3,3306.1494876451,3310.3101369423,3310.6934574675,3308.6721709487,3307.6074132401,3309.2510981607,3309.3476454329,3309.3477300692,3310.1172765598,3306.4414963173,3308.0920614275,3307.316582126,3308.6721710194,3307.8982487808,3308.1887190655,3308.0918625517,3306.7336282425,3310.5017251345,3309.6366930392,3308.478902079,3309.6365723923,3308.3822207119,3309.8287859563,3309.7328063616,3310.6934574675,3309.5403009052,3310.1176826446,3309.2512796275,3309.3474973703,3308.7687429694,3307.898297076,3309.0583205294,3309.5910434039,3309.7835695975,3309.6872739918,3310.2642904815,3310.6485354977,3309.5911491052,3309.7836238772,3310.6482112255,13.1454384184,13.2261522448,13.0624502309,13.2589677834,13.0446111003,12.7188793735,14.0860658433,14.106637803,13.6598643304,13.9937518526,14.1160915208,13.4390662808,13.0190500387,12.7497734608,11.0478731294,11.7664671797,10.9736299538,11.2893327409,11.3176601869,11.2791452179,10.9094148015,10.3603380574,12.8600829282,12.6674721529,12.0646643244,11.7941141527,11.6067481018,11.3749727311,10.8038195715,10.7320045906,3310.7684700639,3311.2470104488,3310.0967275502,3311.8206115272,3309.8081855743,3309.9043706962,2.4934008768,2.4956286468,2.5300263635,2.4908068903,2.4983035491,2.4840032741,2.5176900203,2.5367474806,2.4657005101,2.5017149949,2.3782679749,2.4919274475,2.6770368413,2.2898737218,2.5143855969,2.5020975155,2.4913274242,2.5344547236,2.543077886,2.4830573723,2.5123955176,2.5498585777,2.529010951,3.2881560097,2.5008554879,2.5480181587,2.4847615447,3.4370926495,2.9132909738,2.9009925796,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0347721738,0.0306512451
4/18/2014 11:57:09.655 AM,4,3306.1507779516,3310.3114060412,3310.6947245773,3308.6734484792,3307.6086961936,3309.2523727235,3309.3489194996,3309.3490041354,3310.1185466571,3306.4427851577,3308.0933419182,3307.317866553,3308.6734485499,3307.8995302575,3308.1899990639,3308.0931430435,3306.7349156128,3310.50299324,3309.637965618,3308.4801805973,3309.6378449717,3308.3834997236,3309.8300575443,3309.7340784449,3310.6947245773,3309.5415739805,3310.1189527398,3309.2525541894,3309.3487714377,3308.7700200058,3307.8995785525,3309.059596082,3309.5921980528,3309.784723346,3309.6884281908,3310.2654419756,3310.6496851837,3309.5923037535,3309.7847776254,3310.6493609131,13.1384414389,13.2154881245,13.0575080816,13.2575394073,13.0460829716,12.7370670016,14.0868500221,14.1047516367,13.6572912636,13.9924764367,14.107034525,13.4309228303,13.0219714872,12.7419360686,11.0540055176,11.7724463354,10.9793827064,11.2685766634,11.3075943891,11.275651242,10.918380474,10.3711385005,12.8489240037,12.6689869376,12.0610614342,11.8001368531,11.6025330106,11.3808451408,10.9096597705,10.7397879875,3310.7690165572,3311.2475558665,3310.0972755464,3311.8211556501,3309.8087342137,3309.9049191213,2.4933879066,2.4955984295,2.5300577951,2.4907550141,2.4982544147,2.4839666539,2.5176308148,2.5367680809,2.4657998495,2.5016551762,2.3793429565,2.4919457567,2.6734736521,2.2910791548,2.5149699245,2.5022403345,2.4913367334,2.5338045009,2.5426681683,2.4837478649,2.5123560057,2.5496624885,2.5291884232,3.2870195012,2.5008242045,2.5502591795,2.4845280798,3.4368367776,2.9130442161,2.9016235897,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0347773615,0.0306968689
4/18/2014 11:57:10.655 AM,5,3306.1504292284,3310.3110630498,3310.6943821236,3308.673103209,3307.6083494577,3309.2520282554,3309.3485751656,3309.3486598015,3310.1182033959,3306.4424368308,3308.0929958479,3307.3175194189,3308.6731032798,3307.8991839208,3308.1896531267,3308.092796973,3306.7345676832,3310.5026505171,3309.6376216861,3308.4798350601,3309.6375010397,3308.3831540531,3309.8297138802,3309.7337346469,3310.6943821236,3309.5412299144,3310.1186094791,3309.2522097216,3309.3484271035,3308.7696748692,3307.8992322158,3309.0592513464,3309.5924798653,3309.7850049387,3309.6887098935,3310.2657230182,3310.6499657851,3309.5925855659,3309.7850592181,3310.6496415148,13.1398909762,13.2265552976,13.0668997805,13.259752323,13.0458537633,12.733097378,14.0822742817,14.108795029,13.6565280431,13.9975872005,14.1074155998,13.4382482108,13.0109057653,12.7398755799,11.037125172,11.7621348977,11.0013898136,11.2812569106,11.2964371099,11.2989588883,10.9179978991,10.3770247225,12.8451824486,12.6703609635,12.0563243161,11.7986849104,11.6023032614,11.3803860232,10.9698708188,10.7449081654,3310.7692966459,3311.2478354039,3310.0975564054,3311.821434524,3309.8090154022,3309.9052002001,2.4933233604,2.4956063654,2.5300519971,2.4907661522,2.4982324415,2.4840218894,2.5175827485,2.5368245411,2.4657238572,2.501739258,2.3803067017,2.491968033,2.6721466293,2.2933381781,2.5149853376,2.5022209562,2.4913458899,2.53399647,2.5427868872,2.4837715171,2.5114872009,2.5496171667,2.5296665146,3.2860975665,2.500872732,2.5531010514,2.4839459433,3.4373143441,2.9128389661,2.9021474731,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0347827018,0.0306794739
4/18/2014 11:57:11.655 AM,6,3306.1507361054,3310.3113648828,3310.6946834835,3308.6734070474,3307.6086545859,3309.252331388,3309.3488781801,3309.3489628159,3310.1185054663,3306.442743359,3308.0933003904,3307.3178248975,3308.6734071181,3307.8994886977,3308.189957552,3308.0931015156,3306.7348738619,3310.5029521138,3309.6379243467,3308.4801391334,3309.6378037005,3308.3834582438,3309.8300163052,3309.7340371897,3310.6946834835,3309.5415326931,3310.1189115491,3309.2525128539,3309.3487301182,3308.76997859,3307.8995369927,3309.0595547143,3309.5930984109,3309.7856230019,3309.689328198,3310.2663398737,3310.650581672,3309.5932041112,3309.7856772811,3310.6502574025,13.1399355242,13.2192721606,13.069463619,13.2607124008,13.0507841017,12.8138943761,14.0817848417,14.0954872197,13.6551985826,13.9928254623,14.1115031744,13.4330271709,13.013392192,12.7441169252,11.0599312615,11.7906687532,11.0099161272,11.265336049,11.3027475489,11.3060336166,10.9331023995,10.3873125787,12.8572498951,12.6769318524,12.0511338347,11.7930365847,11.5935202072,11.3870391598,11.3040510136,10.7498040147,3310.7698636478,3311.2484012898,3310.0981249666,3311.8219990666,3309.8095846307,3309.9057692063,2.4934693904,2.4956684788,2.5300848019,2.4908378635,2.498204975,2.4839751986,2.5176044165,2.5367221498,2.465705851,2.5017542127,2.3826132202,2.4919320248,2.6716419395,2.296216323,2.5150556889,2.5022813796,2.4918314929,2.5339764795,2.5428325131,2.4832867227,2.5099559993,2.549867581,2.5302251782,3.2852768142,2.5011310875,2.5557268184,2.4849167302,3.4375296305,2.9122891404,2.9011396881,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0348071148,0.0306956482
4/18/2014 11:57:12.655 AM,7,3306.1516567486,3310.3122703942,3310.6955875756,3308.6743185748,3307.6095699827,3309.253240798,3309.349787236,3309.3498718715,3310.1194116901,3306.4436629562,3308.09421403,3307.3187413456,3308.6743186456,3307.9004030409,3308.1908708404,3308.0940151559,3306.7357924102,3310.5038569164,3309.638832341,3308.4810513656,3309.6387116952,3308.3843708281,3309.8309235926,3309.7349448305,3310.6955875756,3309.5424410417,3310.1198177714,3309.2534222632,3309.3496391747,3308.770889765,3307.9004513356,3309.0604648305,3309.5934076834,3309.7859320333,3309.6896373501,3310.2666483013,3310.6508896152,3309.5935133836,3309.7859863124,3310.6505653462,13.1452980871,13.2299034771,13.0658205975,13.2602765771,13.0492026978,12.7952172492,14.0829508437,14.1034441243,13.6561364297,13.9957463364,14.1089312511,13.4348044218,13.01249859,12.734829927,11.0628560462,11.8120768701,11.0261378196,11.2896499884,11.3029225131,11.3115577269,10.94321551,10.3764795743,12.8761661472,12.6965368407,12.0580679937,11.7883589408,11.5853260776,11.3935936662,11.1291268773,10.7466527793,3310.7704033007,3311.2489398806,3310.0986661037,3311.8225363788,3309.8101264029,3309.906310767,2.4934117108,2.4956719889,2.5301369845,2.4909259005,2.4982211497,2.4840153283,2.5176126564,2.5368727611,2.4656970004,2.5018599635,2.3827590942,2.4919224124,2.6708723944,2.2988843297,2.5155045025,2.5024878262,2.4919735722,2.5335438625,2.5431145088,2.4833920132,2.5099245728,2.5493789602,2.5300824985,3.2845224485,2.5010111422,2.559160995,2.4844418656,3.4383643801,2.9113167592,2.9021644119,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0346017411,0.0305136108
4/18/2014 11:57:13.655 AM,8,3306.1518032228,3310.312414461,3310.6957314167,3308.6744635987,3307.6097156223,3309.253385485,3309.3499318667,3309.3500165022,3310.1195558703,3306.443809264,3308.0943593899,3307.3188871524,3308.6744636695,3307.9005485127,3308.1910161445,3308.094160516,3306.7359385511,3310.5040008705,3309.6389768029,3308.4811965017,3309.6388561571,3308.3845160202,3309.831067942,3309.735089236,3310.6957314167,3309.5425855599,3310.1199619513,3309.2535669502,3309.3497838055,3308.7710347328,3307.9005968075,3309.0606096299,3309.5933733222,3309.7858976988,3309.6896030023,3310.2666140339,3310.6508554017,3309.5934790224,3309.785951978,3310.6505311326,13.140845028,13.2281199857,13.0697632885,13.2608592788,13.0470373616,12.8257188531,14.0802540153,14.1037978202,13.6541246127,13.9981596812,14.1044023265,13.4256195195,13.0070523857,12.7365568682,11.0634391408,11.8155621125,11.0240468064,11.2609761842,11.3036587654,11.3212349523,10.9394416929,10.3883771043,12.8989826238,12.6931661567,12.052938398,11.7890352472,11.5784377317,11.3942702261,11.3152538282,10.7464124109,3310.7703896339,3311.2489262407,3310.0986523994,3311.8225227713,3309.8101126825,3309.906297052,2.4933476224,2.4956251367,2.5300785461,2.4908335913,2.4982597554,2.4840266195,2.517627763,2.5367622823,2.4656997472,2.5018508076,2.3830537415,2.4920585113,2.6693725138,2.2990900423,2.515915012,2.5027763632,2.4919360303,2.5339303948,2.5431337358,2.4836051885,2.5098298357,2.5482016619,2.5305662361,3.2838463732,2.5011802254,2.5619088552,2.4841961933,3.4392078267,2.9116036513,2.9030276825,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0342167799,0.0301342773
4/18/2014 11:57:14.655 AM,9,3306.1526820131,3310.3132788072,3310.6965944082,3308.6753336876,3307.6105894046,3309.2542535527,3309.3507995964,3309.3508842316,3310.1204208966,3306.4446870558,3308.0952314949,3307.3197619383,3308.6753337584,3307.9014212893,3308.1918879142,3308.0950326217,3306.7368153416,3310.5048645401,3309.6398435192,3308.4820672632,3309.6397228738,3308.3853871179,3309.8319339836,3309.7359556149,3310.6965944082,3309.5434526144,3310.1208269762,3309.2544350172,3309.3506515357,3308.7719044851,3307.9014695839,3309.0614783716,3309.5944317305,3309.7869552817,3309.6906609981,3310.2676695504,3310.6519092607,3309.5945374302,3309.7870095606,3310.651584993,13.1427725534,13.233864159,13.0712335011,13.2591999991,13.0515611597,12.8350500634,14.0836291608,14.1043513085,13.6593329509,13.9973401673,14.107702415,13.431591181,13.0051643331,12.7280308623,11.0805683764,11.8339891156,11.0244486016,11.2784891083,11.3068879291,11.3337105748,10.9456533127,10.3918367585,12.9133524038,12.6968480421,12.0579969995,11.7947814479,11.567603614,11.3950511615,11.3145071763,10.7611796676,3310.7713459891,3311.2498807136,3310.0996113848,3311.8234749784,3309.8110727934,3309.907256788,2.4934054546,2.4957090739,2.5301229471,2.4907666099,2.4982260326,2.4840604932,2.5176501939,2.5368489563,2.4657574281,2.5018686617,2.3863522339,2.4919573526,2.6666045009,2.2993883866,2.516681093,2.5031038091,2.4922887105,2.5343189109,2.5432819055,2.4823996877,2.5100891804,2.54910001,2.5305650153,3.2829606078,2.5010230451,2.5646232924,2.4836425915,3.4390120702,2.9112007815,2.9031398451,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0339596813,0.0298756409
