TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/18/2014 11:16:16.059 AM,0,3305.2442275623,3309.419703994,3309.804415158,3307.7758430458,3306.7072938773,3308.3568450766,3308.4537392869,3308.4538242274,3309.2261455402,3305.5372612249,3307.1936639145,3306.4154326248,3307.7758431168,3306.9991619112,3307.2906657372,3307.1934643309,3305.8304208923,3309.6119867136,3308.7438271554,3307.5818836201,3308.7437060738,3307.4848572,3308.9366127183,3308.8402869101,3309.804415158,3308.6470878485,3309.2265530937,3308.3570271953,3308.453590692,3307.8727605146,3306.999210378,3308.1633754982,3308.7258996128,3308.9190981684,3308.8224661401,3309.4015023675,3309.7870975064,3308.7260056828,3308.9191526378,3309.7867720931,12.6818069814,12.7146393275,12.5629373312,12.640106132,12.3976621528,12.1901298472,13.205433673,13.0998853969,12.2919835967,12.5089420186,12.4882439346,11.8023127366,11.6980491979,11.6392611576,10.1261516245,9.5057236806,9.7792976073,9.5576495272,10.1630351093,10.3176377264,9.8452623012,9.4417159291,11.696941112,10.2168039325,10.5080407447,10.2659664285,10.2997543704,10.1311417327,10.1448281376,10.1819566054,3309.885435318,3310.3657076013,3309.2112728065,3310.9413933801,3308.9216952983,3309.0182253504,2.4926080116,2.4958197182,2.5297411901,2.4914774669,2.4991797293,2.4847646698,2.517859702,2.5361325226,2.4662965464,2.5023563669,2.2520988464,2.4933754048,2.7447746606,2.5345706711,2.5147181249,2.5003275375,2.4892130217,2.5312142919,2.5419000048,2.4819472434,2.5127303774,2.5505451189,2.5299769002,3.2983882488,2.5010009178,2.8626213668,2.4847073747,3.2652111192,2.8518995677,2.8886597279,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0349102593,0.0301806641
4/18/2014 11:16:17.059 AM,1,3305.2439534383,3309.4194343441,3309.8041459277,3307.775571617,3306.7070213044,3308.3565742739,3308.4534685889,3308.4535535295,3309.2258756796,3305.5369874101,3307.1933918613,3306.4151597412,3307.7755716881,3306.9988896499,3307.2903937878,3307.1931922774,3305.8301473876,3309.6117172732,3308.7435567713,3307.5816119829,3308.7434356896,3307.4845854588,3308.9363425432,3308.8400166306,3309.8041459277,3308.6468173597,3309.2262832336,3308.3567563928,3308.4533199939,3307.8724891901,3306.9989381168,3308.1631044867,3308.7258511466,3308.9190497398,3308.8224176926,3309.4014540328,3309.7870492471,3308.7259572167,3308.9191042091,3309.7867238337,12.6852018917,12.7139129308,12.564502141,12.6387692264,12.3980047245,12.1913886924,13.1956277721,13.0956473099,12.2934718299,12.5124150669,12.49553576,11.803877495,11.695107726,11.6441085021,10.122291571,9.5185308394,9.802808055,9.5898737044,10.1738535527,10.3288377385,9.8463702904,9.4337988867,11.6885778241,10.2485738368,10.5021178142,10.2605791089,10.2974247708,10.1362298082,10.1260649187,10.1740467977,3309.8852976864,3310.3655702387,3309.211134799,3310.9412563413,3308.92155713,3309.0180872356,2.4927303899,2.4958365056,2.5298537947,2.49145397,2.4991339519,2.4847571932,2.5178673316,2.5361447302,2.4662612969,2.5023585032,2.2523490906,2.4932087905,2.7445448955,2.5336608355,2.5144068091,2.5001950943,2.4898300213,2.5329337732,2.542253415,2.4819470908,2.5126583711,2.5502931786,2.5296871155,3.2996628719,2.5000473067,2.8665478842,2.4852643336,3.2675809477,2.8520976454,2.8894926307,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0350571946,0.0303416443
4/18/2014 11:16:18.059 AM,2,3305.2444454467,3309.4199183221,3309.8046291525,3307.7760587877,3306.7075105286,3308.3570603209,3308.453954448,3308.4540393884,3309.2263600356,3305.5374788634,3307.1938801529,3306.4156495233,3307.7760588587,3306.9993783149,3307.290881893,3307.1936805694,3305.8306382843,3309.612200875,3308.744042067,3307.5820995276,3308.7439209855,3307.4850731904,3308.9368274638,3308.8405017386,3309.8046291525,3308.6473028434,3309.2267675888,3308.3572424394,3308.4538058532,3307.8729761737,3306.9994267817,3308.1635909085,3308.7269658946,3308.9201636244,3308.8235320093,3309.4025657559,3309.7881592365,3308.7270719643,3308.9202180936,3309.7878338246,12.6815252468,12.7293214602,12.5602104411,12.642648732,12.3980667773,12.1761807533,13.2002683012,13.1027330433,12.2946032524,12.511179239,12.4934597168,11.8108143082,11.6993708711,11.6419569511,10.1551367555,9.548109279,9.8002707273,9.5815263726,10.190813991,10.3372337638,9.8657841025,9.4491573462,11.6796668563,10.2820886653,10.5178195542,10.2706986415,10.3012756905,10.1383221072,9.9701966817,10.1825604845,3309.886646555,3310.366916471,3309.2124873513,3310.9425994002,3308.9229112586,3309.0194408392,2.4927834918,2.4956834349,2.5298978905,2.4914899782,2.4991591295,2.4847507846,2.5178302519,2.5361172631,2.4662707578,2.5023211166,2.2527348328,2.4932891987,2.7439100666,2.5330867326,2.5136826947,2.4997240665,2.4892746758,2.5322063356,2.5414046813,2.4812897113,2.5123502086,2.5496852257,2.5289013852,3.3006902622,2.4998867692,2.8697535939,2.4848839231,3.2704396334,2.8521663164,2.8905300204,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0351699518,0.0304112244
4/18/2014 11:16:19.059 AM,3,3305.2444313999,3309.4199045047,3309.8046153566,3307.7760448791,3306.7074965613,3308.3570464444,3308.4539405768,3308.4540255173,3309.2263462074,3305.5374648324,3307.1938662123,3306.41563554,3307.7760449501,3306.9993643636,3307.2908679577,3307.1936666288,3305.8306242692,3309.6121870684,3308.7440282119,3307.5820856084,3308.7439071304,3307.4850592658,3308.9368136194,3308.8404878889,3309.8046153566,3308.647288983,3309.2267537606,3308.357228563,3308.4537919821,3307.8729622705,3306.9994128304,3308.1635770213,3308.7272636098,3308.920461109,3308.8238296093,3309.4028626632,3309.7884556807,3308.7273696793,3308.9205155781,3309.7881302692,12.6830634522,12.7251340641,12.566332625,12.6431185959,12.3996825652,12.1567989758,13.1915054621,13.1025921588,12.2880472399,12.5127183197,12.4866750282,11.8129650158,11.6928146916,11.6429616444,10.1052486846,9.534816073,9.8157275196,9.5941530308,10.1901377232,10.3432855667,9.8624304643,9.4520755156,11.6731130567,10.3085583713,10.5164602956,10.2761434827,10.3084037514,10.145909501,9.8701260232,10.1912923663,3309.8866672135,3310.3669370892,3309.2125080662,3310.9426199698,3308.9229319977,3309.0194615702,2.4927917317,2.4956138434,2.5298794283,2.4914588525,2.499121592,2.4847076033,2.5177963766,2.5360820136,2.4662089568,2.5023044833,2.2540803528,2.4932109266,2.7428611724,2.531945394,2.5136799478,2.4997493955,2.4890782676,2.5319975806,2.5414858619,2.4815782686,2.5117407485,2.5483885952,2.5291896439,3.3014012858,2.4995504339,2.8727355679,2.4846829601,3.2733544675,2.8523973561,2.8916376071,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0349142264,0.0302128601
4/18/2014 11:16:20.059 AM,4,3305.2456051532,3309.4210590998,3309.8057681548,3307.7772070912,3306.7086636723,3308.3582059755,3308.4550996597,3308.4551845997,3309.2275017045,3305.5386372613,3307.1950310984,3306.4168039821,3307.7772071622,3307.0005301405,3307.2920323992,3307.1948315159,3305.8317953702,3309.613340766,3308.7451859506,3307.5832487126,3308.7450648697,3307.4862228159,3308.9379704632,3308.84164518,3309.8057681548,3308.6484471703,3309.2279092558,3308.3583880932,3308.4549510656,3307.8741240361,3307.0005786071,3308.1647374465,3308.727630581,3308.920827796,3308.8241964384,3309.4032286385,3309.7888210853,3308.7277366503,3308.9208822649,3309.7884956743,12.6991571179,12.7371123893,12.5703723861,12.6563175457,12.4007433316,12.1539657571,13.1594492777,13.1154097329,12.3086589184,12.5185127629,12.5091945569,11.8020338469,11.7525292048,11.6394410275,10.1597254236,9.6176957816,9.8496666261,9.5862701022,10.2513743611,10.3470998273,9.9166514816,9.4402128405,11.6766697737,10.326031994,10.5317940233,10.2822254471,10.325115176,10.1534458025,9.8331664012,10.1926342525,3309.8876582016,3310.3679261404,3309.2135017608,3310.9436066896,3308.9239268503,3309.0204560371,2.4927235233,2.4957670668,2.5297172349,2.4914574793,2.499178356,2.48476055,2.5180129039,2.5360960524,2.4662808291,2.5023636916,2.2547982788,2.4932788234,2.742610048,2.5313487054,2.513699634,2.4998261454,2.4884385292,2.5317619684,2.5411524417,2.4811491713,2.5106194641,2.5470791464,2.5292598393,3.3024782752,2.499915611,2.8751070757,2.4851680484,3.2761046709,2.8528139601,2.8924233559,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0348530416,0.0301455688
4/18/2014 11:16:21.059 AM,5,3305.245534858,3309.4209899518,3309.8056991145,3307.7771374871,3306.7085937749,3308.358136532,3308.455030243,3308.4551151831,3309.2274325026,3305.5385670455,3307.1949613343,3306.416734005,3307.7771375581,3307.000460323,3307.2919626616,3307.1947617516,3305.8317252339,3309.6132716718,3308.7451166145,3307.5831790552,3308.7449955335,3307.4861531317,3308.9379011806,3308.8415758707,3309.8056991145,3308.6483778073,3309.227840054,3308.3583186498,3308.4548816489,3307.8740544588,3307.0005087896,3308.1646679494,3308.7287799268,3308.9219762516,3308.8253453395,3309.4043748655,3309.7899655247,3308.7288859957,3308.9220307203,3309.7896401151,12.6996292965,12.7445321491,12.574892247,12.6543467525,12.4044995916,12.1579502776,13.1706803027,13.1312269241,12.3101237672,12.5229553038,12.518677981,11.8067071731,11.7879793837,11.6333471134,10.1768569894,9.659076261,9.8499100449,9.6190823651,10.2742497286,10.3562885485,9.9289029847,9.4383149628,11.6637367156,10.3477228529,10.5299376415,10.289390652,10.335875023,10.1570948262,9.8780354497,10.1900138128,3309.8884771673,3310.3687435054,3309.214322963,3310.9444221279,3308.9247490095,3309.0212778776,2.4927340521,2.4958294855,2.5297414953,2.4915400236,2.4991563828,2.4847932031,2.5180975921,2.5360972731,2.4662715208,2.5023679643,2.2557629395,2.4932449513,2.7420278545,2.5303729441,2.5135706821,2.4997869313,2.4883130843,2.5309531957,2.5404070149,2.4810187025,2.51011542,2.5475499132,2.5288917714,3.303328024,2.500026858,2.8762605513,2.4858150362,3.2781369987,2.8529625946,2.8918697151,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.034947489,0.0302088928
4/18/2014 11:16:22.059 AM,6,3305.2461674212,3309.4216121902,3309.8063203845,3307.7777638304,3306.7092227583,3308.3587614305,3308.4556548999,3308.4557398398,3309.228055227,3305.5391988949,3307.1955891187,3306.4173637057,3307.7777639014,3307.0010885874,3307.2925902064,3307.1953895366,3305.8323563676,3309.6138934265,3308.745740547,3307.5838058793,3308.7456194663,3307.4867801961,3308.9385246308,3308.8421995619,3309.8063203845,3308.6490019815,3309.2284627774,3308.3589435478,3308.4555063062,3307.8746805615,3307.0011370539,3308.1652933297,3308.7294307468,3308.9226265675,3308.8259959076,3309.4050239193,3309.7906135663,3308.7295368154,3308.9226810361,3309.7902881577,12.6995454792,12.7567399371,12.5775576972,12.652888409,12.4039569745,12.1438935499,13.1853232496,13.1337382456,12.3137054432,12.5235583224,12.5169135322,11.8181568376,11.7847642699,11.6353248185,10.1676031353,9.6677852775,9.8463852649,9.6166282679,10.2698071915,10.3453475431,9.9155864338,9.4106214562,11.6700608691,10.3652896163,10.5475822416,10.3103210547,10.3445747732,10.1729834845,9.7409917431,10.2077327934,3309.8897709746,3310.370034784,3309.2156203037,3310.9457103627,3308.9260478622,3309.0225762266,2.4927711318,2.4958780164,2.5297741475,2.491578473,2.4992432074,2.4848405042,2.5181033906,2.5360907115,2.4662583976,2.5023462953,2.2568104553,2.4932376276,2.7415718334,2.5294771482,2.5135876214,2.4996242764,2.4881700893,2.5306042026,2.5403442984,2.4801850758,2.5100560758,2.5489739635,2.5289273269,3.3039229092,2.4997013575,2.8769970786,2.4855824868,3.278434219,2.8527900016,2.891766556,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0348452599,0.0301539612
4/18/2014 11:16:23.059 AM,7,3305.246244736,3309.4216882431,3309.8063963191,3307.777840385,3306.7092996357,3308.3588378086,3308.4557312485,3308.4558161883,3309.2281313394,3305.5392761225,3307.1956658495,3306.4174406707,3307.777840456,3307.0011653769,3307.2926669079,3307.1954662674,3305.8324335077,3309.6139694204,3308.745816807,3307.5838824927,3308.7456957264,3307.4868568389,3308.9386008318,3308.8422757924,3309.8063963191,3308.6490782711,3309.2285388896,3308.3590199258,3308.4555826548,3307.8747570868,3307.0012138433,3308.1653697667,3308.7298600133,3308.9230555015,3308.826425008,3309.4054520209,3309.7910410003,3308.7299660817,3308.92310997,3309.7907155922,12.7037847739,12.751055939,12.5807312508,12.6557551806,12.4012494937,12.1755455632,13.1719355932,13.1238554113,12.3106926707,12.5226077012,12.5190173704,11.8152200011,11.7717470009,11.6368177563,10.1720009145,9.6767732762,9.8289948631,9.6071904689,10.2624327373,10.3350678255,9.8994131609,9.3924611383,11.6698333151,10.3772175142,10.5488837121,10.3104756556,10.3539049213,10.181167418,10.017018567,10.21736676,3309.8895851503,3310.3698493229,3309.2154339719,3310.9455253387,3308.9258613133,3309.02238975,2.4927323736,2.4958769481,2.5298519637,2.4915333102,2.499228406,2.4848354689,2.5179921514,2.5361399997,2.466221317,2.5023600292,2.2589463806,2.493177207,2.7406968649,2.5282082312,2.5137225249,2.4995553083,2.4883324657,2.5312870815,2.5407897233,2.4810391503,2.5107073361,2.5490185223,2.5294402109,3.3044662113,2.5004037854,2.8778920217,2.4854654491,3.2777007806,2.8527538348,2.892116778,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0346368347,0.0299249268
4/18/2014 11:16:24.059 AM,8,3305.246371247,3309.4218126891,3309.8065205714,3307.777965652,3306.7094254307,3308.3589627866,3308.4558561782,3308.455941118,3309.2282558826,3305.5394024907,3307.1957914047,3306.4175666092,3307.7779657231,3307.0012910281,3307.2927924152,3307.1955918228,3305.8325597328,3309.6140937697,3308.7459415918,3307.5840078559,3308.7458205113,3307.4869822502,3308.9387255202,3308.8424005291,3309.8065205714,3308.6492031043,3309.2286634327,3308.3591449038,3308.4557075846,3307.8748823057,3307.0013394946,3308.1654948411,3308.7299430883,3308.9231385122,3308.8265080508,3309.4055348704,3309.7911237206,3308.7300491567,3308.9231929806,3309.7907983126,12.6889711922,12.7427249575,12.5721674858,12.6462032628,12.4069685212,12.2602859679,13.1984802959,13.1107914424,12.2969366891,12.5107638577,12.4963275048,11.8158983383,11.7084258433,11.6342126993,10.1476918674,9.6451090107,9.7980964273,9.5780527952,10.2110422444,10.333453158,9.849380761,9.3666013791,11.6616041749,10.3858020668,10.5501292725,10.3283106218,10.3673080528,10.1922776275,10.5451655551,10.2169300793,3309.8893305233,3310.3695951936,3309.2151786496,3310.9452718085,3308.9256056934,3309.0221342292,2.4926948361,2.4958120876,2.5298302973,2.4915383452,2.4991751516,2.4848244829,2.5179977973,2.5360888804,2.4661682139,2.5023461427,2.2605134583,2.4931683575,2.7403366555,2.5268399678,2.5136750645,2.4993906698,2.4886683589,2.5315028559,2.5410703456,2.4811568011,2.5112434169,2.5506461392,2.5296460664,3.3054365243,2.4998765448,2.8789374448,2.4850529944,3.2753257644,2.8526537278,2.8927784612,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.034572293,0.0298539734
4/18/2014 11:16:25.059 AM,9,3305.2466172319,3309.4220546589,3309.8067621645,3307.7782092181,3306.7096700235,3308.3592057909,3308.4560990885,3308.4561840282,3309.2284980414,3305.5396481981,3307.1960355313,3306.417811481,3307.7782092891,3307.0015353413,3307.2930364485,3307.1958359495,3305.8328051619,3309.6143355513,3308.7461842204,3307.584251609,3308.74606314,3307.4872260967,3308.9389679612,3308.8426430638,3309.8067621645,3308.6494458268,3309.228905591,3308.3593879078,3308.455950495,3307.8751257782,3307.0015838077,3308.1657380327,3308.7301923339,3308.9233875647,3308.8267572,3309.4057834397,3309.7913719021,3308.7302984022,3308.9234420331,3309.7910464944,12.6910043024,12.7319322334,12.5780976959,12.6480080376,12.4052608605,12.2652212158,13.201581599,13.1095424884,12.2971384723,12.5105072973,12.493474504,11.8106005599,11.6917493974,11.6315893514,10.1495748907,9.6384293564,9.7804831683,9.6081477778,10.1941931923,10.329985254,9.8280893954,9.3719275444,11.657342752,10.4012620679,10.5397479959,10.327792546,10.3777240667,10.2031533613,10.5207275394,10.2279555041,3309.8896333265,3310.3698974049,3309.2154822797,3310.9455733074,3308.9259096774,3309.0224380954,2.4927541942,2.4957928583,2.5298170227,2.4916350791,2.4991563828,2.4847727568,2.5178952558,2.5360646178,2.4661259451,2.5023095191,2.2606860352,2.4932509018,2.7404977657,2.525421955,2.5140130863,2.4994396494,2.4884202161,2.5316047918,2.5409937429,2.4813042079,2.5104397534,2.5484557386,2.5295979979,3.3065870731,2.5001521444,2.8787362963,2.4848672906,3.2706086889,2.8524234511,2.8933394268,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0343594429,0.0296789551
