TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/18/2014 10:27:41.693 AM,0,3303.7711471905,3307.9705327302,3308.3574863717,3306.3171659347,3305.2425029514,3306.9015136791,3306.9989673398,3306.999052771,3307.7758486025,3304.0658336494,3305.7316495043,3304.9489805863,3306.3171660062,3305.5360358989,3305.8292063325,3305.7314487791,3304.3606505544,3308.1639354104,3307.2907326722,3306.1220929679,3307.2906108897,3306.0245101412,3307.4846351561,3307.3877510636,3308.3574863717,3307.1934335351,3307.7762585244,3306.9016968489,3306.9988178867,3306.4146404489,3305.5360846425,3306.7069283115,3307.3051117102,3307.4994046012,3307.4022250117,3307.9845485681,3308.3723411773,3307.3052183806,3307.4994593793,3308.3720139066,11.9420222929,11.9544488127,11.7731517182,11.8652461768,11.6785761135,11.475354947,12.6852591628,12.7664757331,12.1923169479,12.5463244508,12.71640918,12.1570864569,12.0763858078,12.2474016332,10.4471957602,10.4324001278,10.2726126189,10.6673788036,10.2371224441,9.5416003854,9.3240622773,9.3181273817,11.7975927199,11.6477738748,11.2762205053,10.9833810269,10.2460264594,10.1832460058,9.6944321654,10.0185123836,3308.460661411,3308.9437027192,3307.7826297322,3309.5227216096,3307.4913965891,3307.5884781238,2.4904700525,2.4957887378,2.5293228137,2.493057556,2.5011498377,2.4863227083,2.5189536303,2.5362393391,2.4674353632,2.5033210953,2.5054893494,2.4967557518,2.6774577721,2.427089051,2.5164709548,2.4974851969,2.4861942561,2.5282940121,2.5400319363,2.4780958971,2.5128017735,2.5522182102,2.5284722778,3.1711887302,2.4968676873,2.6051467902,2.4826814178,2.8592725597,2.9999331602,2.7093974691,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0350526172,0.0282870483
4/18/2014 10:27:42.693 AM,1,3303.7715889344,3307.9709673445,3308.3579203173,3306.3176033837,3305.2429422235,3306.9019501304,3306.9994036243,3306.9994890553,3307.7762835525,3304.0662749005,3305.7320879484,3304.9494203537,3306.3176034551,3305.5364746745,3305.8296446111,3305.7318872236,3304.3610913113,3308.1643696908,3307.2911684564,3306.122530749,3307.2910466741,3306.0249480881,3307.4850706072,3307.3881866813,3308.3579203173,3307.1938694863,3307.7766934737,3306.9021332999,3306.9992541714,3306.4150777318,3305.536523418,3306.7073650955,3307.3048661626,3307.4991592417,3307.4019795581,3307.9843036795,3308.3720966663,3307.3049728331,3307.4992140199,3308.3717693954,11.9442676524,11.9505847696,11.7705850773,11.8639028756,11.6778436511,11.4832537501,12.6976554066,12.7643691643,12.201589817,12.5430726945,12.7222438423,12.1600199378,12.083136731,12.2514782323,10.4748090221,10.5020618241,10.302303391,10.6576295701,10.235013087,9.4929867007,9.2958626849,9.2808346603,11.8339404737,11.6683856552,11.2823952826,10.9730478146,10.2275053183,10.1634243048,9.660004222,9.9849328733,3308.461302839,3308.9443429076,3307.7832728923,3309.5233603057,3307.4920404904,3307.5891217783,2.4904335832,2.4958738958,2.5292538472,2.4929321376,2.5011167254,2.4863156894,2.5189872004,2.5362219433,2.4674819047,2.5033413909,2.4954232788,2.4967652116,2.6777056925,2.4337469357,2.5169081704,2.4973425305,2.4860987226,2.5294478103,2.5407198348,2.4799233753,2.5123215281,2.5514637626,2.5287323059,3.1700198678,2.496941089,2.6092382861,2.4828413337,2.8628680405,2.9999200364,2.7085093244,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0346638414,0.0279310608
4/18/2014 10:27:43.693 AM,2,3303.7721161926,3307.9714860931,3308.3584382677,3306.3181255155,3305.2434665313,3306.9024710714,3306.9999243662,3307.000009797,3307.7768027016,3304.0668015705,3305.732611268,3304.9499452528,3306.318125587,3305.5369983898,3305.8301677332,3305.7324105437,3304.3616173914,3308.1648880407,3307.2916886013,3306.1230532771,3307.2915668192,3306.0254708143,3307.4855903546,3307.3887066273,3308.3584382677,3307.1943898304,3307.777212622,3306.9026542406,3306.9997749136,3306.4155996654,3305.5370471332,3306.7078864337,3307.3051748312,3307.4994676739,3307.4022881086,3307.9846115198,3308.3724040318,3307.3052815016,3307.499522452,3308.3720767612,11.9444398166,11.9440349567,11.7754184469,11.8644569458,11.6804607952,11.4993134675,12.7052310784,12.7656102847,12.2019910257,12.5454590469,12.7210414318,12.1585119712,12.0830798388,12.2545509489,10.4972909785,10.5237111619,10.2980420854,10.6615460805,10.207200573,9.4542268384,9.2501298225,9.2394756161,11.856201555,11.6830847475,11.292514653,10.967041013,10.2063542672,10.1548903553,9.6354874685,9.9483413875,3308.4614353183,3308.9444751308,3307.7834057294,3309.5234922208,3307.4921734806,3307.5892547174,2.49036568,2.4958224653,2.5292187537,2.4929837087,2.5011412926,2.486268846,2.5189734672,2.5362152291,2.4674545902,2.5032989685,2.4869386292,2.4967874878,2.6780006034,2.4397164157,2.5152818507,2.4972073408,2.4858968205,2.5297133319,2.5410408947,2.4793435141,2.5115361713,2.5513937198,2.52969032,3.1698529092,2.4972874959,2.6100888179,2.4833792186,2.8635171038,2.9993038288,2.7070983644,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0340048452,0.0273348999
4/18/2014 10:27:44.693 AM,3,3303.7723512936,3307.9717173993,3308.358669218,3306.3183583305,3305.2437003167,3306.9027033554,3307.0001565613,3307.0002419921,3307.7770341865,3304.0670364091,3305.7328446127,3304.9501793018,3306.3183584019,3305.5372319109,3305.8304009898,3305.7326438885,3304.3618519671,3308.1651191692,3307.2919205302,3306.1232862688,3307.2917987482,3306.0257038943,3307.4858221062,3307.3889384676,3308.358669218,3307.1946218482,3307.7774441065,3306.9028865243,3307.0000071089,3306.4158323919,3305.5372806543,3306.7081188947,3307.3062622481,3307.5005542579,3307.4033751094,3307.9856960184,3308.3734868579,3307.3063689181,3307.5006090358,3308.3731595887,11.9458495263,11.949951821,11.7735430834,11.8722827218,11.6876016917,11.522339653,12.6851924754,12.7659505736,12.1992002408,12.551526157,12.7265741159,12.1566379876,12.1035020431,12.2555026139,10.5183373993,10.5450702645,10.2853116672,10.6472156937,10.1936255913,9.4204539646,9.2204789097,9.211287131,11.8903466749,11.7082938403,11.2928945036,10.9652047708,10.184864315,10.1557293412,9.5942662866,9.9169918606,3308.4621883368,3308.9452266941,3307.7841607814,3309.5242420323,3307.4929294027,3307.5900103497,2.4904027597,2.4958925146,2.529219364,2.4929676881,2.5011988196,2.4862274956,2.5189409652,2.5362144661,2.4674544376,2.5033485631,2.4786456299,2.4967708569,2.6786332964,2.4461594315,2.5143997893,2.497429351,2.4860770521,2.528988641,2.5404561505,2.4790558725,2.5127445651,2.5480458587,2.5302035092,3.1702605384,2.4973944701,2.6092393544,2.4835060221,2.8652201701,2.9992566747,2.7088551209,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0336812215,0.0269863892
4/18/2014 10:27:45.693 AM,4,3303.7729426361,3307.9722991974,3308.3592501208,3306.3189439233,3305.2442883501,3306.9032876126,3307.0007405952,3307.0008260257,3307.777616434,3304.0676270919,3305.7334315377,3304.9507679983,3306.3189439947,3305.5378192797,3305.8309876933,3305.733230814,3304.3624419883,3308.1657005201,3307.2925038944,3306.1238723062,3307.2923821127,3306.0262901537,3307.4864050245,3307.3895216088,3308.3592501208,3307.1952054359,3307.778026353,3306.9034707811,3307.0005911431,3306.4164177623,3305.5378680229,3306.7087035973,3307.3081354008,3307.5024259757,3307.4052475451,3307.9875641441,3308.3753521024,3307.3082420699,3307.5024807532,3308.3750248357,11.9571298182,11.9560427445,11.7951481251,11.8781442299,11.6933887663,11.5249171592,12.596478864,12.7832645923,12.2289665607,12.5756337084,12.7526678415,12.1644842404,12.1711329159,12.2590710386,10.5207632041,10.575546195,10.2952295377,10.6193816686,10.2102743714,9.3934330889,9.2340011166,9.176924762,11.9151893657,11.7279433843,11.3007821599,10.9825688957,10.1740977136,10.165456678,9.563692386,9.9056919534,3308.4636246019,3308.9466601834,3307.7856009251,3309.5256721804,3307.4943712061,3307.5914516003,2.4904587608,2.4959422664,2.5292347746,2.4929730283,2.5011760835,2.4862026244,2.5189569873,2.5362164498,2.467434295,2.5033593976,2.4717459106,2.4968228857,2.6787327698,2.4529967806,2.5170621496,2.4995084649,2.4866632246,2.5290167192,2.5392039556,2.47947734,2.5137497547,2.5481703792,2.5305995026,3.1707232607,2.4977289741,2.6066554044,2.4843142991,2.8663927256,2.999110787,2.7091812318,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.033745458,0.0270678711
4/18/2014 10:27:46.693 AM,5,3303.7735767429,3307.9729230697,3308.3598730332,3306.3195718647,3305.2449189085,3306.9039141218,3307.0013668649,3307.0014522953,3307.7782407881,3304.0682604912,3305.7340609077,3304.9513992678,3306.3195719361,3305.5384491254,3305.8316168256,3305.7338601844,3304.3630746782,3308.166323913,3307.2931294461,3306.1245007242,3307.2930076647,3306.02691881,3307.4870300981,3307.3901469213,3308.3598730332,3307.1958312272,3307.7786507062,3306.9040972899,3307.0012174132,3306.4170454653,3305.5384978686,3306.7093305841,3307.30953848,3307.5038279802,3307.4066500873,3307.9889634578,3308.376749258,3307.3096451486,3307.5038827574,3308.3764219931,11.957877707,11.9626720142,11.7906231422,11.8739274459,11.6957410212,11.5113055782,12.635467845,12.793556942,12.229637783,12.566226381,12.7424963568,12.1744723231,12.1539374986,12.2566131277,10.5255609019,10.5913508158,10.2832121428,10.6307515127,10.1844904391,9.3725348446,9.2023856988,9.1416472569,11.9422563865,11.7517273141,11.3175450423,10.9816770872,10.1575287324,10.1503406153,9.5553053118,9.8899666918,3308.4637501077,3308.9467854467,3307.7857267698,3309.5257971517,3307.4944971958,3307.5915775417,2.4903878057,2.4958615342,2.5291386488,2.49295182,2.5012223187,2.4862271905,2.5189579028,2.536223927,2.467427886,2.5033552774,2.4694715881,2.4967823002,2.6777461226,2.4592900901,2.5151089483,2.4982914524,2.4855136184,2.52853054,2.5401636258,2.4804249552,2.5131553976,2.5523166363,2.5298987697,3.1713033425,2.4978634166,2.5987046949,2.4835296738,2.8662396907,2.9982353082,2.7120081875,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0339079565,0.0271968079
4/18/2014 10:27:47.693 AM,6,3303.7742322185,3307.9735679658,3308.3605169371,3306.3202209671,3305.2455707162,3306.9045617437,3307.0020142393,3307.0020996694,3307.7788861824,3304.0689152354,3305.7347114868,3304.9520518105,3306.3202210385,3305.5391001964,3305.8322671591,3305.734510764,3304.3637286891,3308.1669683136,3307.2937760783,3306.1251503193,3307.2936542972,3306.0275686513,3307.487676236,3307.3907933063,3308.3605169371,3307.1964781071,3307.7792960994,3306.9047449114,3307.001864788,3306.4176943212,3305.5391489394,3306.7099786998,3307.3109836433,3307.5052720365,3307.4080946975,3307.9904047427,3308.37818832,3307.3110903112,3307.5053268134,3308.377861057,11.9637744625,11.9484059421,11.7878896354,11.8800555036,11.689798712,11.500935647,12.6559421676,12.7766987377,12.22262885,12.5650223733,12.7444992281,12.1615075473,12.1356305371,12.2605241013,10.539178768,10.5841080388,10.2755092303,10.628935844,10.1676862085,9.3546534903,9.169579516,9.1095394196,11.9536423742,11.7819835859,11.3094474684,10.9881771653,10.1439209451,10.1324503903,9.5486560021,9.8661920351,3308.4643218026,3308.9473560366,3307.7863000086,3309.5263664116,3307.4950710952,3307.592151221,2.4904409076,2.4960278823,2.5291455149,2.49296662,2.501205381,2.486238024,2.5189705679,2.5361737232,2.4673785978,2.5034065506,2.4717054749,2.4968285311,2.6760582801,2.4638578862,2.5146723432,2.4970839001,2.4848306915,2.5298187775,2.5411072736,2.4798765286,2.512673169,2.5513546546,2.529207498,3.1719243245,2.4979206425,2.5867854984,2.4826405233,2.8649209663,2.9974292634,2.7124391361,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.033941982,0.0272209167
4/18/2014 10:27:48.693 AM,7,3303.7747807953,3307.9741076882,3308.361055829,3306.3207642098,3305.2461162231,3306.9051037474,3307.0025560359,3307.0026414658,3307.7794263216,3304.0694632002,3305.7352559655,3304.9525979326,3306.3207642812,3305.5396450867,3305.8328114323,3305.7350552431,3304.3642760401,3308.1675076212,3307.2943172535,3306.1256939745,3307.2941954727,3306.0281125125,3307.4882169977,3307.3913342747,3308.361055829,3307.1970194897,3307.7798362377,3306.9052869147,3307.0024065848,3306.4182373576,3305.5396938297,3306.7105211167,3307.3119727822,3307.5062604178,3307.4090834579,3307.991391227,3308.3791732828,3307.3120794498,3307.5063151944,3308.3788460211,11.9672428566,11.9671524272,11.7895265646,11.8764983084,11.6946446852,11.5172375264,12.6662790639,12.7819235173,12.221897644,12.5649785699,12.7449132586,12.1739879213,12.1321509518,12.2566642115,10.5440249834,10.5936176197,10.2728664038,10.6178118424,10.1479146261,9.3449714021,9.1504071654,9.0869309084,11.9645428827,11.796627931,11.3300599102,10.9896060605,10.1307448471,10.1299800904,9.5618631529,9.8669334687,3308.4644821801,3308.9475161042,3307.7864608191,3309.5265261061,3307.4952320911,3307.5923121552,2.4904778347,2.495936925,2.529160773,2.4929406819,2.5012752679,2.4862685408,2.5189366926,2.536205463,2.4674240711,2.5033363552,2.4711148071,2.4968419579,2.6771910859,2.4685462408,2.5136515632,2.4967935322,2.4845015132,2.5293014682,2.5398517216,2.4798098446,2.5126737793,2.5516116307,2.5305178623,3.172903489,2.4986168137,2.5781069607,2.4818270582,2.8646315274,2.9970692748,2.711460193,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0343434219,0.0276057434
4/18/2014 10:27:49.693 AM,8,3303.7753864107,3307.974703529,3308.361650753,3306.3213639368,3305.2467184496,3306.9057021066,3307.0031541664,3307.0032395961,3307.7800226226,3304.0700681398,3305.7358570568,3304.9532008381,3306.3213640082,3305.5402466326,3305.8334122968,3305.7356563349,3304.3648803023,3308.1681030041,3307.2949146982,3306.1262941567,3307.2947929177,3306.0287129222,3307.4888139857,3307.391931491,3308.361650753,3307.1976171633,3307.7804325378,3306.9058852734,3307.0030047157,3306.4188368569,3305.5402953754,3306.7111199321,3307.3126041571,3307.506891309,3307.4097145911,3307.9920209074,3308.379801992,3307.3127108244,3307.5069460855,3308.3794747312,11.9652317387,11.9639943386,11.7928622706,11.8764719224,11.6972925383,11.5531098868,12.6659475208,12.7828896471,12.2240861965,12.5634251692,12.7475592978,12.1746490211,12.1283833614,12.2633549053,10.5307049015,10.5864836752,10.2569399549,10.6267262076,10.1286192246,9.325592277,9.1288039059,9.056537274,11.9720296867,11.8119840318,11.3493966069,10.9937340792,10.1301339725,10.1224104717,9.5761649205,9.8578357368,3308.4651445183,3308.9481771623,3307.7871249461,3309.5271856234,3307.4958969834,3307.5929767925,2.4904836332,2.4959556963,2.5292889408,2.4929591437,2.5012401719,2.4862932595,2.5190161928,2.5362089727,2.4674082013,2.5033023257,2.4687721252,2.4968222754,2.679415352,2.4744705495,2.5139605899,2.4966977092,2.4854905744,2.5276347861,2.5394636724,2.4799528262,2.5119796508,2.5500645858,2.5312713943,3.1739282849,2.4989926729,2.5691633282,2.4827902155,2.8634670585,2.9967894024,2.7128023294,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0345158381,0.0277822876
4/18/2014 10:27:50.693 AM,9,3303.7759278526,3307.9752362314,3308.3621826357,3306.321900114,3305.2472568615,3306.9062370608,3307.003688916,3307.0037743456,3307.7805557366,3304.0706089776,3305.7363944538,3304.9537398572,3306.3219001854,3305.5407844359,3305.8339494909,3305.7361937324,3304.3654205343,3308.1686352972,3307.2954488348,3306.1268307409,3307.2953270545,3306.0292497097,3307.489347714,3307.3924654233,3308.3621826357,3307.1981515044,3307.7809656508,3306.9064202272,3307.0035394657,3306.4193728304,3305.5408331786,3306.7116552941,3307.3134810355,3307.5077675157,3307.4105911339,3307.9928954324,3308.3806751682,3307.3135877024,3307.507822292,3308.3803479085,11.9602882,11.9629433718,11.7927277348,11.8777125948,11.6974637282,11.565578428,12.6870325465,12.7829845428,12.2244101419,12.5610004033,12.7583437893,12.1697801086,12.1364955454,12.2704723599,10.5423368898,10.5701465816,10.2535186833,10.5889190317,10.1148741217,9.3041162333,9.1142080487,9.0440875844,11.9836595924,11.8171211909,11.3608793466,11.0057514948,10.1312999349,10.1133291002,9.5772545047,9.8525025818,3308.4654512769,3308.948483328,3307.7874325331,3309.5274910754,3307.4962049249,3307.593284616,2.4904944672,2.4959630218,2.5292836005,2.492970587,2.5011890537,2.4862541979,2.5189783501,2.5362072941,2.4674365839,2.5033342188,2.4670993042,2.4968808651,2.680086034,2.4808400093,2.5137802098,2.4966093629,2.4857002596,2.5276814813,2.5396530428,2.4794301881,2.5126891874,2.5510523567,2.5300316831,3.1749932179,2.4989063001,2.557897483,2.4823708942,2.8607525582,2.9958565451,2.7142253449,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0347692747,0.0279971313
