TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/18/2014 2:19:21.389 PM,0,3309.9122741578,3314.010165479,3314.3876001292,3312.3971502501,3311.3484404647,3312.9672955902,3313.0623744212,3313.0624577697,3313.8202596946,3310.1999442822,3311.8258006317,3311.0619696111,3312.3971503198,3311.6349057972,3311.9210014564,3311.8256047522,3310.4877260308,3314.1988140817,3313.3470190526,3312.2068042434,3313.3469002456,3312.1115833577,3313.5361803133,3313.4416660827,3314.3876001292,3313.2520963469,3313.820659563,3312.9674742981,3313.0622286115,3312.492260123,3311.6349533658,3312.7774466839,3313.1607340016,3313.3504364572,3313.2555537342,3313.8240879101,3314.202662842,3313.1608381537,3313.3504899401,3314.2023433622,14.1358520362,14.1189044427,13.8433171106,13.7517105788,13.5436071565,13.4822457274,14.4621248144,14.3191695928,13.6297053317,13.7791030522,13.9574311913,13.4310200362,13.5556547212,13.4554789696,13.1322652412,13.7215748695,13.3577727218,13.7615410864,13.4010498099,13.5085869896,13.2725097706,13.5009043278,14.4061057222,14.0545215077,13.7071931675,13.9195617693,13.6794183912,12.7582224141,13.5426443234,13.1043947995,3314.2039977718,3314.675682063,3313.5418354209,3315.2410304672,3313.2573928852,3313.3522125038,2.4956793726,2.4950816821,2.5304476389,2.4881918703,2.4947539664,2.4804231883,2.5152206326,2.5345989424,2.4627348255,2.495258242,2.2685430908,2.4857727899,2.7566707233,2.4304569078,2.5135105554,2.5050780975,2.4944108962,2.5357157986,2.5420397819,2.484724931,2.5092669051,2.5426673677,2.529623024,2.0151602936,2.5039394257,2.526908854,2.4875966942,2.5406047805,2.6070212637,2.7694578789,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0342456176,0.0319374084
4/18/2014 2:19:22.389 PM,1,3309.9123760451,3314.0102656417,3314.3877001301,3312.3972510985,3311.3485417541,3312.9673961973,3313.0624749879,3313.0625583363,3313.8203599385,3310.2000460503,3311.8259017207,3311.0620710203,3312.3972511682,3311.6350069664,3311.9211025055,3311.8257058414,3310.4878276794,3314.1989141636,3313.3471194983,3312.206905172,3313.3470006913,3312.1116843265,3313.5362806784,3313.4417664881,3314.3877001301,3313.252196833,3313.8207598067,3312.967574905,3313.0623291782,3312.4923609311,3311.6350545351,3312.7775473714,3313.1606401751,3313.3503427059,3313.2554599453,3313.8239943473,3314.2025694303,3313.1607443272,3313.3503961889,3314.2022499505,14.130590134,14.1112752075,13.8379737529,13.7496496702,13.5478801241,13.1651618498,14.4509926854,14.3130656819,13.6290176897,13.775592545,13.9532338821,13.4307900308,13.546346638,13.4512830148,13.1203630515,13.7137160484,13.368760497,13.73408058,13.3975379536,13.5085861505,13.2642635525,13.4814443046,14.4018007247,14.0502155022,13.7048694772,13.9267754159,13.6736604729,12.7501702806,13.5296381351,13.1000105726,3314.2044179224,3314.6761013633,3313.5422567595,3315.2414487441,3313.2578147322,3313.3526341815,2.4956673179,2.495037577,2.530439247,2.4882939444,2.4952659108,2.480182868,2.5151545605,2.5346393801,2.462710868,2.4952689239,2.273014679,2.4857732476,2.754068245,2.4273529063,2.5135494699,2.50503278,2.4937062988,2.5344361066,2.5402138296,2.48484777,2.5085482152,2.5399938399,2.5306237658,2.0141083327,2.5039958885,2.5213990929,2.487692369,2.5403426529,2.6066672266,2.768650308,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0341989279,0.0318751526
4/18/2014 2:19:23.389 PM,2,3309.9128991066,3314.01077985,3314.3882135081,3312.3977688265,3311.3490617459,3312.9679126864,3313.0629912699,3313.0630746182,3313.8208745635,3310.2005684997,3311.8264206845,3311.0625916272,3312.3977688962,3311.6355263418,3311.9216212637,3311.8262248056,3310.4883495151,3314.1994279572,3313.3476351592,3312.2074233124,3313.3475163525,3312.1122026729,3313.5367959258,3313.4422819421,3314.3882135081,3313.2527127012,3313.8212744309,3312.9680913938,3313.0628454605,3312.4928784529,3311.6355739104,3312.7780642737,3313.1616118277,3313.3513135789,3313.2564312083,3313.8249632683,3314.2035367857,3313.1617159794,3313.3513670616,3314.2032173071,14.1352023653,14.1162709176,13.8437348137,13.7530439386,13.5556259034,13.2061756106,14.4368493083,14.3137128214,13.6275287329,13.778758002,13.9513636478,13.4242648975,13.5433325302,13.4362950766,13.1030828745,13.7242051063,13.3725369197,13.7594418428,13.4002464564,13.5025177301,13.2671253168,13.478886834,14.4117068698,14.0699648695,13.7068446599,13.9258507588,13.6721249795,12.7561938306,13.5339023565,13.0977881626,3314.2051448687,3314.6768268386,3313.5429857614,3315.2421724488,3313.2585446137,3313.35336377,2.4956950895,2.494934258,2.5305074506,2.4882490867,2.4953686048,2.4795562042,2.5152133082,2.5345713227,2.4626853847,2.4952271119,2.2771580505,2.4857819445,2.7520822877,2.4232381969,2.5138371318,2.5051084618,2.4941853395,2.5314080922,2.5392007511,2.4852112514,2.5105224386,2.5435327545,2.5297092423,2.0117005585,2.5045527339,2.5151673031,2.487904166,2.5406073743,2.6069796033,2.7675782776,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0345964008,0.0322975159
4/18/2014 2:19:24.389 PM,3,3309.9137482161,3314.0116145873,3314.3890468976,3312.3986092777,3311.3499058722,3312.9687511265,3313.0638293737,3313.0639127217,3313.8217099775,3310.2014166156,3311.8272631418,3311.0634367521,3312.3986093474,3311.6363694673,3311.9224633874,3311.8270672635,3310.4891966347,3314.2002620214,3313.3484722547,3312.2082644329,3313.3483534484,3312.1130441279,3313.5376323499,3313.4431187019,3314.3890468976,3313.2535501332,3313.8221098434,3312.9689298333,3313.0636835648,3312.4937185692,3311.6364170357,3312.7789033845,3313.1623288236,3313.3520299994,3313.2571479167,3313.8256782483,3314.2042506104,3313.162432975,3313.352083482,3314.2039311328,14.1295408238,14.1234215233,13.8443252051,13.75538904,13.5575902667,13.2143966989,14.4361435286,14.313311742,13.631324419,13.7721004787,13.9498940961,13.4264580296,13.5440757663,13.432385766,13.1179400296,13.7352471311,13.3710672966,13.7558371705,13.4109881352,13.4978422813,13.2730600905,13.4647493908,14.4155140681,14.0820880414,13.7153096872,13.9238611206,13.6714316999,12.7580201648,13.5427478297,13.097094945,3314.2055983644,3314.6772794166,3313.5434405394,3315.2426239221,3313.2589999404,3313.3538189139,2.4957207249,2.4950713044,2.5305875555,2.4882960805,2.4952733878,2.4796739993,2.5152090357,2.5346677627,2.4625794837,2.4952078845,2.2796717834,2.4856809384,2.7508432957,2.4211484134,2.5136251624,2.5053799093,2.4937678004,2.5311746163,2.5393759302,2.4851883621,2.509778577,2.541969992,2.5298664188,2.0115644278,2.5044530847,2.5096087047,2.4879705433,2.5410301656,2.6066295339,2.769926978,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0347939928,0.0324822998
4/18/2014 2:19:25.389 PM,4,3309.9142712797,3314.0121287978,3314.3895602778,3312.3991270078,3311.3504258662,3312.9692676178,3313.0643456579,3313.0644290057,3313.8222246047,3310.2019390671,3311.8277821077,3311.0639573612,3312.3991270775,3311.6368888448,3311.9229821478,3311.8275862299,3310.4897184726,3314.2007758172,3313.3489879177,3312.2087825754,3313.3488691117,3312.1135624764,3313.5381475994,3313.4436341581,3314.3895602778,3313.2540660035,3313.8226244698,3312.9694463242,3313.0641998493,3312.4942360931,3311.6369364131,3312.779420289,3313.1636153941,3313.3533155375,3313.2584339715,3313.8269612017,3314.2055314907,3313.163719545,3313.3533690198,3314.2052120149,14.1327351379,14.1096059223,13.8458427119,13.7545414074,13.5580394227,13.1865357423,14.4352965561,14.308878327,13.6284922426,13.7711764877,13.9456125164,13.4256864479,13.5425414214,13.4230723475,13.101224395,13.7345523056,13.3703720179,13.7448451408,13.4118953668,13.4959256488,13.2739674633,13.4631382548,14.4166409326,14.0807738835,13.7124683209,13.9237673639,13.6807252138,12.7648752229,13.5405938272,13.0940248134,3314.2065920601,3314.6782711014,3313.5444370449,3315.2436131864,3313.2599976483,3313.3548162213,2.4957848133,2.4950456655,2.5304728148,2.4884916844,2.4954687048,2.4803706993,2.5152632056,2.5346131337,2.4625199716,2.4951782804,2.2750143433,2.4857296106,2.754083044,2.4219425738,2.5141260145,2.5056081754,2.4924153763,2.5325008509,2.5412595634,2.4876161492,2.5105660696,2.5432780674,2.5310298307,2.0152837575,2.5044541529,2.5056780666,2.488512243,2.5436605959,2.6054274864,2.7739704784,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0346964937,0.0324032593
4/18/2014 2:19:26.389 PM,5,3309.914855454,3314.012703084,3314.3901336367,3312.3997052252,3311.3510066121,3312.9698444516,3313.0649222603,3313.0650056079,3313.8227993565,3310.2025225579,3311.8283617053,3311.0645387941,3312.3997052949,3311.6374689021,3311.9235615158,3311.8281658279,3310.4903012779,3314.2013496403,3313.3495638264,3312.2093612533,3313.3494450207,3312.1141413844,3313.5387230462,3313.4442098357,3314.3901336367,3313.2546421437,3313.8231992205,3312.9700231575,3313.0647764521,3312.4948140802,3311.6375164703,3312.7799975841,3313.1638298188,3313.3535297901,3313.2586483101,3313.8271750235,3314.205744967,3313.1639339695,3313.3535832723,3314.2054254914,14.1276506456,14.1175633084,13.8344187778,13.7515899297,13.5579107581,12.8091746107,14.4495014802,14.3101229022,13.6286689821,13.7654021551,13.9339631616,13.4296021614,13.537988533,13.4239354371,13.0891943974,13.7186318041,13.3753561297,13.7672942087,13.4130642729,13.4908361597,13.2667385903,13.4605678688,14.4161962786,14.0736921403,13.7193500846,13.9205760767,13.6764642878,12.7671026083,13.5188587395,13.0977012538,3314.206792134,3314.6784707705,3313.5446376846,3315.2438123682,3313.2601985301,3313.3550170225,2.4956476336,2.4949522663,2.5304091886,2.488300963,2.4951012646,2.4803522366,2.515277244,2.5345675078,2.4626603591,2.4951465398,2.2780577087,2.4857613466,2.7520508591,2.424044108,2.5149670249,2.5052311396,2.4913651187,2.5317721925,2.5407344839,2.4836441003,2.5111968874,2.5392438177,2.5303722833,2.0138788029,2.5045695202,2.5006498106,2.4882595515,2.5397312762,2.6028810135,2.7764385138,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0345765653,0.0322843933
4/18/2014 2:19:27.389 PM,6,3309.9156434321,3314.0134777248,3314.3909070266,3312.4004851684,3311.3517899658,3312.9706225285,3313.0657000251,3313.0657833724,3313.8235746251,3310.2033096139,3311.8291435101,3311.0653230745,3312.4004852381,3311.6382513271,3311.9243430111,3311.8289476334,3310.4910874094,3314.2021236563,3313.3503406555,3312.2101418177,3313.3502218502,3312.1149222592,3313.5394992523,3313.4449863532,3314.3909070266,3313.2554192851,3313.8239744879,3312.9708012338,3313.0655542174,3312.4955937126,3311.6382988951,3312.7807762835,3313.1647210198,3313.3544202759,3313.2595391538,3313.8280637188,3314.2066322263,3313.1648251701,3313.3544737579,3314.2063127519,14.1239626103,14.1121945302,13.8372897418,13.7517136886,13.5593317689,13.0621388793,14.4473381218,14.314670895,13.6291740432,13.7691879106,13.9361465297,13.4303365068,13.5381120501,13.4197118734,13.1038899989,13.726079121,13.3846370565,13.7632230229,13.4144091716,13.4969890228,13.2522036109,13.4394764586,14.4202616489,14.0710452758,13.7207467527,13.9234221088,13.6720608515,12.7753726388,13.5465819021,13.1184083262,3314.2074657123,3314.6791429857,3313.5453131675,3315.2444829427,3313.260874828,3313.355693049,2.4967142479,2.4956745833,2.530442146,2.4872356692,2.495239665,2.4791849666,2.5151878254,2.5345543846,2.4626838587,2.4952670928,2.2791038513,2.4857598208,2.7527073524,2.4255556681,2.514302732,2.5038040185,2.4910936267,2.5310516218,2.5347843454,2.4846988372,2.5112711821,2.5419373359,2.5302158697,2.0149948612,2.5049472106,2.4940753967,2.4882871705,2.541159551,2.6003871884,2.7770647932,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0339107029,0.0316119385
4/18/2014 2:19:28.389 PM,7,3309.9164246075,3314.0142456778,3314.3916737396,3312.4012583782,3311.3525665567,3312.9713938881,3313.0664710753,3313.0665544224,3313.8243432007,3310.2040898752,3311.8299185655,3311.066100584,3312.4012584479,3311.6390269972,3311.9251177596,3311.8297226894,3310.4918667542,3314.2028909901,3313.3511107781,3312.2109156433,3313.3509919731,3312.1156963925,3313.5402687572,3313.4457561669,3314.3916737396,3313.2561897172,3313.8247430621,3312.9715725928,3313.066325268,3312.4963666144,3311.6390745651,3312.7815482601,3313.1651632778,3313.354862179,3313.2599812345,3313.8285047335,3314.2070725283,3313.1652674279,3313.354915661,3314.2067530545,14.1138051129,14.1067611818,13.837348722,13.7555110171,13.5628251768,13.0677682217,14.4448048089,14.3093135119,13.6306066398,13.7665766683,13.9321618555,13.421620004,13.539468194,13.4158049514,13.1196650747,13.7433796824,13.3669924329,13.7522983404,13.4155366505,13.483463183,13.2332525894,13.4133598417,14.4130480652,14.0703147126,13.7055914163,13.9216233295,13.6746114519,12.773648629,13.547148428,13.1190511255,3314.2079658943,3314.6796421555,3313.5458147638,3315.2449808941,3313.2613770296,3313.3561950489,2.4965615039,2.4953429554,2.5284999458,2.4853902484,2.4906939652,2.4782848717,2.5151806536,2.5346099292,2.4626904203,2.4952170404,2.278216095,2.4858734908,2.753913085,2.42716337,2.5134124299,2.5049691523,2.4928406985,2.52735843,2.5410296027,2.4843762513,2.5106125991,2.5403974632,2.530759426,2.0127413787,2.5043216942,2.4877059468,2.4880413457,2.5385495661,2.5981001393,2.7782285375,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.033476153,0.0311863708
4/18/2014 2:19:29.389 PM,8,3309.916791416,3314.0146062775,3314.392033757,3312.4016214464,3311.3529312126,3312.9717560874,3313.0668331294,3313.0669164763,3313.8247040927,3310.2044562545,3311.8302825003,3311.0664656712,3312.401621516,3311.6393912207,3311.9254815502,3311.8300866245,3310.4922327031,3314.203251299,3313.3514723965,3312.2112790006,3313.3513535918,3312.1160598943,3313.5406300856,3313.4461176403,3314.392033757,3313.2565514811,3313.8251039535,3312.9719347919,3313.0666873223,3312.4967295379,3311.6394387885,3312.7819107491,3313.1654313171,3313.3551300033,3313.2602491664,3313.8287720192,3314.2073393821,3313.1655354672,3313.3551834852,3314.2070199088,14.1190579878,14.1079734263,13.824976601,13.751307019,13.560222187,12.7969119534,14.4415185038,14.3025919867,13.6262490243,13.759549563,13.9226928181,13.4089444708,13.5280928315,13.4126696982,13.1073743363,13.7339116815,13.3785832901,13.7647233181,13.4047668169,13.4869657019,13.2117906985,13.4044994332,14.4132550105,14.0716658415,13.7228173937,13.921067257,13.6832134393,12.7725572973,13.5244629014,13.1281881461,3314.2084927447,3314.6801679398,3313.5463431041,3315.2455053951,3313.2619060073,3313.3567238143,2.4958745371,2.4952831312,2.5304226157,2.4865824864,2.4927071045,2.4785673053,2.5151876729,2.5345469075,2.4626911833,2.4952074267,2.277686615,2.4859592392,2.755086626,2.4295345585,2.5138133253,2.5044946151,2.4927985784,2.5339259694,2.5425093168,2.484734697,2.5101105382,2.5451048255,2.5297708921,2.0175033599,2.5052858349,2.4850998674,2.4882014141,2.5425774506,2.5948201076,2.7814623307,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.0336256821,0.0313136292
4/18/2014 2:19:30.389 PM,9,3309.9165876225,3314.0144059333,3314.3918337362,3312.4014197308,3311.352728615,3312.9715548545,3313.0666319772,3313.0667153242,3313.824503586,3310.2042526994,3311.8300803033,3311.066262834,3312.4014198005,3311.6391888633,3311.9252794333,3311.8298844273,3310.4920293871,3314.2030511163,3313.3512714863,3312.2110771244,3313.3511526815,3312.1158579378,3313.5404293365,3313.4459168106,3314.3918337362,3313.2563504901,3313.8249034472,3312.9717335591,3313.06648617,3312.4965279026,3311.6392364311,3312.7817093553,3313.1660209828,3313.3557191957,3313.2608385956,3313.829360027,3314.2079264397,3313.1661251325,3313.3557726775,3314.2076069672,14.1244228155,14.1147142076,13.8132508878,13.7495803726,13.5611657068,12.8048805552,14.4384204971,14.3069682017,13.6219271018,13.7576699768,13.9155485327,13.4176717151,13.5233147594,13.4117824619,13.1003834647,13.7414158988,13.359839105,13.7539200029,13.3967042384,13.4734085046,13.1957089758,13.3930037714,14.4092447972,14.0739104403,13.7259024367,13.9271265686,13.6864510136,12.7825931478,13.5011445002,13.1343263449,3314.2089929222,3314.6806671051,3313.5468446959,3315.246003342,3313.2624082044,3313.3572258098,2.4956877651,2.4951051845,2.5310636074,2.4866177317,2.492773024,2.4773710443,2.5151998802,2.5345705597,2.4627093421,2.4952495439,2.2763739014,2.4858739486,2.7561361305,2.4330191587,2.5136106648,2.5055419539,2.494647288,2.5347585475,2.5385757218,2.4822803584,2.5094899416,2.5435695308,2.5304180628,2.0187773727,2.5032423389,2.4816489029,2.4884286228,2.5413424911,2.5909633923,2.785567635,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,0.034098835,0.0318003845
