TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 11:55:32.091 AM,0,3308.3663092376,3312.4902085347,3312.8700823524,3310.8668533761,3309.8114930528,3311.4406380549,3311.5363254284,3311.5364093106,3312.2990783318,3308.6557773553,3310.2918735082,3309.5232152227,3310.8668534462,3310.0997694804,3310.3876780617,3310.291676387,3308.9453619127,3312.6800753346,3311.8227947113,3310.675296088,3311.8226751419,3310.5794699548,3312.0131708875,3311.9180493917,3312.8700823524,3311.7272630554,3312.2994807763,3311.4408179062,3311.536178685,3310.9625691859,3310.0998173502,3311.249575443,3311.6713929657,3311.8622833694,3311.766806246,3312.3389089289,3312.7198692559,3311.6714977695,3311.8623371875,3312.71954776,12.8663395265,12.9153142316,12.6880982509,12.86472841,12.2434994507,12.6032476814,14.3552235678,14.3632548631,13.8447582016,14.3473789812,14.5425460592,14.3175016008,14.8630077998,16.8241194193,11.56984061,11.7063813187,11.5839843267,11.8911565481,11.7741836238,11.733309858,11.6447554347,11.7400492668,12.5106006756,12.4395127807,12.2609557681,12.289004783,12.2313320726,12.1242359756,11.961985271,12.0429124206,3312.804307616,3313.2788081964,3312.1382099902,3313.8475465536,3311.8520835086,3311.9474640416,2.4983904652,2.493765243,2.529620041,2.4841488806,2.4916406427,2.4783198135,2.5188657376,2.5373677794,2.4657392693,2.5013772941,2.3118951416,2.4909280671,2.7270040273,2.5257396802,2.5140484908,2.5019612577,2.4909372021,2.5322168649,2.5423501602,2.4832694794,2.5129424299,2.549732989,2.5287538223,2.8596509547,2.5015191549,2.448804152,2.4861936156,3.1060667304,2.3310270665,3.0190161871,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9484484004,5.0000817871
4/17/2014 11:55:33.091 AM,1,3308.3667276731,3312.4906199735,3312.8704931349,3310.8672675965,3309.8119090623,3311.4410512963,3311.5367385061,3311.5368223881,3312.2994900999,3308.6561953071,3310.2922887053,3309.5236317184,3310.8672676667,3310.1001850028,3310.3880930963,3310.2920915844,3308.9457793795,3312.6804864456,3311.8232072981,3310.6757106343,3311.8230877288,3310.5798846639,3312.0135831474,3311.918461815,3312.8704931349,3311.727675806,3312.2998925437,3311.4412311472,3311.5365917629,3310.9629832433,3310.1002328725,3311.2499890109,3311.672962545,3311.8638517043,3311.7683752036,3312.3404741483,3312.7214319764,3311.6730673482,3311.8639055221,3312.7211104826,12.8829619626,12.9133932275,12.6951882069,12.8743340368,12.2415771144,12.6026249707,14.3647422751,14.3713281348,13.8627518962,14.3652889928,14.5615238174,14.3204636535,14.9100239348,16.8225097562,11.5654000446,11.7010222501,11.5812219819,11.8996207664,11.7859363973,11.7398677597,11.670266238,11.7654745878,12.504722302,12.4436382931,12.2650822235,12.2945814218,12.2294239941,12.1201124793,11.9684794139,12.0325275451,3312.8053303395,3313.2798288738,3312.1392355728,3313.848564768,3311.8531103147,3311.9484904402,2.4983446878,2.4940019456,2.5296099707,2.4843461629,2.4920837683,2.4781356443,2.5196431911,2.5376671709,2.465617651,2.5012237799,2.3061286926,2.4909160135,2.7306886593,2.5307475913,2.5140346037,2.5019463045,2.4908576926,2.5321663547,2.5421969548,2.4832322462,2.5128325898,2.5496434136,2.5288357677,2.8589761003,2.5015356359,2.454472329,2.4862239813,3.1064696867,2.3306910365,3.0214668257,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9503387231,5.0000817871
4/17/2014 11:55:34.091 AM,2,3308.3673724748,3312.4912539933,3312.8711261436,3310.8679059029,3309.8125501258,3311.441688094,3311.5373750514,3311.5374589332,3312.3001246273,3308.6568393634,3310.2929285166,3309.524273531,3310.8679059731,3310.1008253154,3310.3887326574,3310.2927313963,3308.9464226884,3312.6811199604,3311.8238430871,3310.6763494428,3311.8237235181,3310.5805237233,3312.0142184327,3311.919097352,3312.8711261436,3311.7283118473,3312.3005270701,3311.4418679444,3311.5372283087,3310.9636212985,3310.100873185,3311.2506263117,3311.6734361037,3311.8643248874,3311.7688485746,3312.3409463914,3312.7219034655,3311.6735409066,3311.8643787051,3312.7215819724,12.8878518147,12.9166821426,12.6969508857,12.8780041689,12.2467008764,12.608356141,14.3742791649,14.390862437,13.8660387781,14.3695658068,14.563970491,14.3334347551,14.902789378,16.8131566494,11.5688425005,11.7028614418,11.5863463068,11.8777108641,11.7851021442,11.7379637659,11.66629841,11.7732726483,12.5172547231,12.4461673732,12.2731877937,12.3031437929,12.2301202398,12.1267672998,11.9627599149,12.0422360996,3312.8073825048,3313.2818769333,3312.1412934752,3313.8506078854,3311.855170672,3311.9505499798,2.4984913282,2.4939209082,2.5295768607,2.4839441221,2.4918234473,2.478175011,2.5183940774,2.537479479,2.4655067144,2.5009419302,2.3105136108,2.491023733,2.7299912781,2.5306685415,2.5140721447,2.5020573859,2.4909112585,2.5322316669,2.5421560593,2.4830587457,2.5128818653,2.5494522076,2.5287861732,2.8579702285,2.5016598541,2.4562451224,2.4862802876,3.1001279695,2.3312864902,3.021497804,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9518883331,5.0000817871
4/17/2014 11:55:35.091 AM,3,3308.3679486755,3312.4918205591,3312.8716918058,3310.8684762993,3309.8131229859,3311.4422571421,3311.5379438742,3311.5380277558,3312.3006916468,3308.6574148981,3310.2935002578,3309.5248470605,3310.8684763695,3310.1013975046,3310.389304175,3310.293303138,3308.9469975552,3312.6816860749,3311.8244112338,3310.676920288,3311.8242916651,3310.5810947927,3312.0147861294,3311.9196652737,3312.8716918058,3311.7288802197,3312.3010940886,3311.4424369921,3311.5377971318,3310.9641914704,3310.1014453741,3311.2511958095,3311.6736052483,3311.864493898,3311.7690176523,3312.3411150662,3312.7220718711,3311.6737100511,3311.8645477156,3312.7217503781,12.8667015123,12.9207903396,12.69067398,12.8735627075,12.235076514,12.6107084233,14.3648106198,14.3772700952,13.8619807907,14.3675687535,14.5528976521,14.3385301871,14.8651984863,16.8053051277,11.56783573,11.7054443354,11.5778527948,11.8851804219,11.7664465619,11.7393247222,11.6344177696,11.7762376141,12.5131925013,12.439737549,12.2622493235,12.2995392122,12.2382019984,12.1292729395,11.9628974519,12.0502401951,3312.8079207686,3313.2824141202,3312.1418332438,3313.851143776,3311.8557110845,3311.9510901778,2.4984463137,2.493947005,2.5297199814,2.4838571531,2.4913661307,2.4777883624,2.5185665057,2.5372016034,2.4657467464,2.5009993073,2.3145753479,2.4909382897,2.7290717602,2.528043417,2.5141559253,2.5020302259,2.4908639496,2.532180699,2.5423819,2.4830692747,2.5127721777,2.5494671622,2.5288385145,2.8577478715,2.5016110214,2.4578512585,2.4861911742,3.097512797,2.3315707881,3.022166812,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9541155542,5.0000817871
4/17/2014 11:55:36.091 AM,4,3308.3682436241,3312.4921105756,3312.8719813597,3310.8687682767,3309.8134162245,3311.4425484293,3311.5382350459,3311.5383189274,3312.3009818954,3308.6577095057,3310.2937929236,3309.5251406417,3310.8687683468,3310.1016903997,3310.3895967263,3310.293595804,3308.947291821,3312.6819758604,3311.8247020595,3310.677212495,3311.824582491,3310.5813871145,3312.0150767247,3311.9199559842,3312.8719813597,3311.7291711609,3312.3013843368,3311.4427282791,3311.5380883037,3310.9644833329,3310.1017382691,3311.2514873268,3311.6742005922,3311.8650887698,3311.7696127603,3312.3417087563,3312.7226646133,3311.6743053948,3311.8651425873,3312.7223431212,12.86367915,12.9165448816,12.6882593121,12.8696993422,12.23586984,12.6034863884,14.3708635669,14.3718834209,13.863841546,14.3771314101,14.5554437448,14.3385597629,14.8734598406,16.8016062338,11.570156354,11.7148689986,11.5689447616,11.8762757705,11.7741159293,11.7414170919,11.646215691,11.7660311429,12.5210291863,12.4358908207,12.2662691503,12.3021836491,12.2368746742,12.1235912724,11.9637091411,12.0541829382,3312.8082571954,3313.2827498739,3312.1421706111,3313.8514787196,3311.8560488542,3311.9514278135,2.498383446,2.4939441053,2.5297192185,2.4838882789,2.4911895823,2.4783257643,2.5186789656,2.537227392,2.4655618012,2.5009428458,2.3209474182,2.4909509536,2.7260947313,2.5227147285,2.5141927032,2.5020718814,2.4908622709,2.5321887867,2.5424284415,2.4830900277,2.5129186312,2.549424282,2.5287739653,2.8575216991,2.5016401684,2.454305214,2.4863135525,3.0971423396,2.3320029576,3.0208884634,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9572120277,5.0000817871
4/17/2014 11:55:37.091 AM,5,3308.3683053548,3312.4921712739,3312.8720419612,3310.8688293854,3309.8134775972,3311.4426093936,3311.5382959861,3311.5383798675,3312.3010426423,3308.657771165,3310.2938541764,3309.5252020862,3310.8688294555,3310.1017517005,3310.3896579551,3310.2936570569,3308.9473534087,3312.6820365103,3311.8247629272,3310.6772736518,3311.8246433587,3310.5814482953,3312.0151375442,3311.9200168278,3312.8720419612,3311.7292320528,3312.3014450836,3311.4427892433,3311.5381492439,3310.9645444176,3310.1017995699,3311.2515483393,3311.674721513,3311.8656092776,3311.7701334747,3312.34222823,3312.7231832577,3311.6748263153,3311.8656630949,3312.7228617662,12.8629611343,12.9098717214,12.6921991973,12.8748586247,12.2384352274,12.6087220756,14.3722046839,14.3625454009,13.86091077,14.3780912983,14.5701317805,14.3392146726,14.8680931156,16.7941939181,11.5763865513,11.7070465648,11.5682256917,11.8848733768,11.7670557346,11.7413855448,11.6441208021,11.7704301667,12.5186765463,12.4328507485,12.2623116087,12.2952485696,12.2341394583,12.1229183526,11.9611268799,12.0375482588,3312.8085532395,3313.2830453257,3312.1424674828,3313.8517734584,3311.8563460801,3311.9517249214,2.498505214,2.4938590999,2.5296118016,2.4838620356,2.4912925816,2.4779491862,2.5187436644,2.5372817158,2.4655714147,2.5009721448,2.3260293579,2.4909047228,2.7251041174,2.5190555473,2.514212542,2.5020671513,2.4908129781,2.5321675755,2.542234951,2.4832052369,2.5129474642,2.5492895374,2.5288537744,2.8573985405,2.501596219,2.450212955,2.4863326264,3.0911303417,2.3320691869,3.0202002275,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9611730236,5.0000817871
4/17/2014 11:55:38.091 AM,6,3308.3691284943,3312.4929806493,3312.8728500457,3310.869644233,3309.8142959644,3311.4434223152,3311.5391085856,3311.5391924668,3312.3018526658,3308.658593353,3310.2946709453,3309.5260214097,3310.8696443032,3310.1025691093,3310.3904744045,3310.2944738264,3308.9481746426,3312.6828452411,3311.8255745611,3310.6780891405,3311.825454993,3310.5822641043,3312.0159485351,3311.9208281401,3312.8728500457,3311.7300440089,3312.3022551057,3311.4436021643,3311.5389618439,3310.9653589445,3310.1026169785,3311.2523619032,3311.6753168544,3311.8662041469,3311.7707285803,3312.3428219176,3312.7237759974,3311.6754216565,3311.8662579642,3312.7234545068,12.8652798615,12.901580039,12.6927631984,12.871071521,12.2399922893,12.604400725,14.3849670951,14.3685248036,13.8658231065,14.3798749723,14.5754234885,14.3470230019,14.8768880483,16.7805266813,11.5607625883,11.7031807486,11.5791792896,11.8790993749,11.7696064181,11.7381297705,11.6436916212,11.7606818636,12.52784802,12.4281239309,12.2632360503,12.289223299,12.2354458073,12.1280445238,11.9614402479,12.0432078184,3312.8087483515,3313.2832400473,3312.1426631403,3313.8519677102,3311.8565419711,3311.9519207346,2.4985267294,2.4938404812,2.5297500398,2.4837474501,2.4910855149,2.4778995963,2.5186792708,2.537296365,2.4655474573,2.5009680246,2.3296769714,2.4908996877,2.7247011895,2.5165428932,2.5141927032,2.5019881126,2.4907449143,2.5321539942,2.5423191834,2.4831342802,2.5128670673,2.5493170052,2.528761147,2.857347873,2.5016073589,2.4447410428,2.4862215399,3.0924383857,2.3322367441,3.019899296,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9644162798,5.0000817871
4/17/2014 11:55:39.091 AM,7,3308.3698487385,3312.4936888499,3312.8735571168,3310.8703572218,3309.8150120329,3311.4441336186,3311.5398196073,3311.5399034882,3312.3025614334,3308.6593127646,3310.2953856152,3309.5267383149,3310.8703572919,3310.1032843391,3310.3911887947,3310.2951884968,3308.9488932194,3312.6835528775,3311.8262847378,3310.6788026902,3311.8261651701,3310.5829779343,3312.0166581492,3311.9215380354,3312.8735571168,3311.7307544676,3312.302963872,3311.4443134673,3311.539672866,3310.9660716527,3310.1033322082,3311.2530737687,3311.6758039403,3311.8666908467,3311.7712154733,3312.3433076505,3312.7242609547,3311.6759087422,3311.8667446638,3312.7239394648,12.8713253206,12.9012155608,12.6987375164,12.8777296294,12.2461965488,12.6092269219,14.3847557866,14.3728139041,13.8740804924,14.3920942308,14.5849738183,14.3535226304,14.8725608922,16.7649443643,11.5667359815,11.7106071162,11.5723213933,11.8617055118,11.7696236102,11.7406681646,11.6437851273,11.7597059854,12.5103378371,12.4282536199,12.2590879747,12.2899640571,12.2346587794,12.1279449335,11.9619518289,12.0474615925,3312.8090914928,3313.2835825021,3312.143007241,3313.8523093386,3311.8568864822,3311.952265109,2.4984968215,2.4938887068,2.5297712485,2.4836202008,2.4911193902,2.478536941,2.5189234172,2.5373094881,2.4654986269,2.5009347581,2.3321057129,2.4908340795,2.7250668912,2.516469795,2.5141638608,2.5020012348,2.4908228977,2.5321600982,2.5424891743,2.4832127141,2.5130428115,2.5495535331,2.5288925344,2.8575197151,2.501677556,2.4387377199,2.4862230658,3.089710306,2.3324560335,3.0191944264,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9665159433,5.0000817871
4/17/2014 11:55:40.091 AM,8,3308.3702534503,3312.4940867943,3312.8739544265,3310.8707578567,3309.8154143983,3311.4445333066,3311.5402191369,3311.5403030177,3312.3029596964,3308.6597170085,3310.2957871947,3309.5271411505,3310.8707579268,3310.1036862333,3310.3915902172,3310.2955900767,3308.9492969943,3312.6839505049,3311.8266837927,3310.6792036403,3311.8265642251,3310.5833790419,3312.0170568879,3311.9219369321,3312.8739544265,3311.7311536809,3312.3033621344,3311.4447131549,3311.5400723959,3310.9664721299,3310.1037341023,3311.2534737725,3311.6759189443,3311.8668057595,3311.7713304317,3312.3434223349,3312.7243754561,3311.6760237461,3311.8668595766,3312.7240539663,12.8729456461,12.9072642747,12.7002826842,12.8723278085,12.2399509116,12.6116874216,14.3953715768,14.3739758704,13.872267167,14.3990519493,14.5961261925,14.3651323362,14.8802769339,16.7557547425,11.5630886932,11.7068059245,11.5589707568,11.8847092588,11.7694122381,11.7367895996,11.6419689204,11.7779045521,12.5146998449,12.4346011595,12.2638332752,12.2889041842,12.2266476153,12.1231415742,11.9697521273,12.0512896554,3312.8098450601,3313.2843345616,3312.1437629149,3313.8530595833,3311.8576430577,3311.9530213842,2.498268392,2.493829493,2.5295432929,2.4837268522,2.4912396323,2.4778260507,2.5189850641,2.5373053681,2.4655111397,2.5009674142,2.3305819702,2.4908540671,2.7310894513,2.5188771511,2.5140590206,2.5019646146,2.4908563192,2.5321793256,2.542424474,2.4831504553,2.5127315979,2.5495816112,2.5287564165,2.8580080765,2.5016774034,2.4362227525,2.4862146732,3.0918678997,2.332393314,3.0202579111,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9677161434,5.0000817871
4/17/2014 11:55:41.091 AM,9,3308.3704386582,3312.4942689053,3312.874136247,3310.8709411989,3309.8155985324,3311.4447162154,3311.5404019732,3311.540485854,3312.3031419531,3308.6599020023,3310.2959709691,3309.5273254998,3310.870941269,3310.1038701517,3310.3917739197,3310.2957738513,3308.9494817734,3312.6841324708,3311.8268664118,3310.6793871267,3311.8267468443,3310.5835626004,3312.0172393623,3311.9221194788,3312.874136247,3311.7313363725,3312.3035443908,3311.4448960636,3311.5402552323,3310.9666554,3310.1039180207,3311.2536568258,3311.6764060533,3311.8672924823,3311.7718173477,3312.3439080909,3312.7248604365,3311.6765108549,3311.8673462993,3312.7245389473,12.8658667752,12.9021666132,12.6983141427,12.878299053,12.2430996988,12.6075827385,14.4115524178,14.375594882,13.8777776726,14.406466769,14.6107098359,14.370792988,14.8821236223,16.7385740999,11.5431759948,11.6802417736,11.5731203778,11.8705230031,11.7621715601,11.7481904877,11.6351083011,11.7737204126,12.4979576291,12.4209896177,12.2630507443,12.2936202331,12.225559455,12.1176227017,11.9730179302,12.0464595445,3312.8101007297,3313.2845897197,3312.1440192993,3313.8533141256,3311.8578997479,3311.9532779726,2.4983720016,2.4938369711,2.5296774114,2.4837863573,2.4912048415,2.4778745725,2.5191582554,2.5372939234,2.4656129206,2.5010318108,2.3273374939,2.4908888547,2.7371056036,2.5225517456,2.5141377652,2.5019250953,2.4907557496,2.5321602508,2.5425213719,2.4831084917,2.5128103166,2.549559637,2.5287553483,2.8582777436,2.5016714519,2.4391250606,2.4862253546,3.0987500452,2.3316918017,3.0254953711,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9693135112,5.0000817871
