TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 12:08:03.119 PM,0,3308.7436221688,3312.861203004,3313.2404842373,3311.2403598734,3310.1866152527,3311.8132603971,3311.9087999287,3311.9088836812,3312.6703702675,3309.0326534794,3310.6662619505,3309.8987764141,3311.2403599434,3310.4744516878,3310.7619198323,3310.6660651311,3309.3218000594,3313.0507738486,3312.1948259227,3311.0490968583,3312.1947065385,3310.953417766,3312.3849069417,3312.2899329777,3313.2404842373,3312.0994422079,3312.6707720861,3311.8134399705,3311.9086534121,3311.3359284747,3310.4744994844,3311.6224926477,3312.0544157958,3312.2450020495,3312.1496771103,3312.7208661487,3313.1012157421,3312.0545204327,3312.2450557818,3313.1008947624,13.1602418139,13.2508712243,13.0661639408,13.2644747105,12.7265031319,12.9731293405,15.0069267562,14.9380332127,14.4036794512,14.897550179,15.0064526204,14.7482102447,16.8213929323,18.2546523687,12.0939864191,12.0863923129,11.9455412359,12.2085123811,12.1785621299,12.1606888771,12.0483402426,12.1839850508,12.8057375744,12.7125973555,12.5259661924,12.5597478775,12.5352226108,12.4473160268,12.3199163766,12.3632558346,3313.1838033604,3313.6575435299,3312.5187682746,3314.2253665828,3312.2330964645,3312.3283255487,2.4983317175,2.4942047682,2.5299003318,2.4838042088,2.4912948704,2.4780501971,2.5186402074,2.5382728206,2.4650208518,2.5001613883,2.3236387634,2.4899752227,2.7078238326,2.5130877459,2.5140016408,2.5021062128,2.4908563192,2.532228615,2.5440830295,2.4831867729,2.5128045195,2.5504848424,2.5288432451,3.0565484926,2.5017305089,2.7907893558,2.4863665018,3.2563491324,2.3814204322,3.5194940151,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9814735857,5.0000817871
4/17/2014 12:08:04.119 PM,1,3308.7445116724,3312.8620775901,3313.2413574243,3311.2412403903,3310.1874995841,3311.8141388265,3311.909678009,3311.9097617612,3312.6712455559,3309.0335419518,3310.6671445496,3309.8996617819,3311.2412404603,3310.4753349805,3310.7628020851,3310.6669477308,3309.3226874977,3313.051647736,3312.1957029565,3311.0499780699,3312.1955835727,3310.9542993247,3312.3857832786,3312.290809663,3313.2413574243,3312.1003195909,3312.6716473731,3311.8143183993,3311.909531493,3311.336808644,3310.4753827769,3311.6233717733,3312.0546182228,3312.2452043156,3312.1498794569,3312.7210680117,3313.1014172818,3312.0547228597,3312.2452580478,3313.1010963023,13.1516344042,13.2593567595,13.060755682,13.2664722965,12.7251419529,12.982605767,15.0139515304,14.9334711457,14.4157434563,14.8968013119,15.008829335,14.7441826631,16.808695389,18.2380959393,12.0863661281,12.0534153006,11.951740843,12.2315066052,12.173992562,12.1581052628,12.0386505244,12.1765140059,12.7909146621,12.7096849217,12.5274061419,12.5697395807,12.540633615,12.4522694052,12.3141778134,12.350951184,3313.1842530272,3313.6579922942,3312.5192192024,3314.2258142609,3312.2335479318,3312.3287768362,2.4984318175,2.4942462789,2.5298209898,2.4839946251,2.4914300665,2.4780434834,2.5187761664,2.5374143209,2.4650242089,2.50016795,2.323609314,2.4900095526,2.7119336673,2.5117303175,2.5140318568,2.5021321522,2.4909111059,2.5322412806,2.5435284991,2.4832435383,2.5127526506,2.5501743042,2.5288818525,3.0569762666,2.5017413437,2.7960361586,2.4864214347,3.2561578007,2.3803764806,3.5281787587,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9843236413,5.0000817871
4/17/2014 12:08:05.119 PM,2,3308.7447032495,3312.8622659541,3313.241545487,3311.2414300317,3310.1876900472,3311.8143280183,3311.9098671257,3311.9099508778,3312.6714340712,3309.0337333068,3310.6673346395,3309.8998524682,3311.2414301017,3310.4755252198,3310.7629921004,3310.6671378209,3309.3228786299,3313.0518359495,3312.1958918477,3311.050167861,3312.195772464,3310.9544891906,3312.3859720197,3312.2909984791,3313.241545487,3312.1005085574,3312.671835888,3311.814507591,3311.9097206098,3311.3369982106,3310.4755730162,3311.6235611151,3312.0561499774,3312.246734852,3312.1514106029,3312.7225954982,3313.1029423222,3312.0562546136,3312.2467885839,3313.1026213448,13.1596041613,13.2598495393,13.0656009331,13.2648283956,12.7259402981,12.9795882775,14.9711550922,14.9410549528,14.4146341827,14.8999620243,15.0060432079,14.7487923612,16.8148193616,18.2237656396,12.0867067022,12.0769713262,11.9436039732,12.2269607576,12.1850263034,12.1707431757,12.048617196,12.1723487283,12.7955860542,12.715730993,12.5272674444,12.5737241804,12.5401895734,12.4546509044,12.3180104624,12.3544016134,3313.1854745338,3313.6592113496,3312.5204441343,3314.2270303655,3312.2347743294,3312.3300027457,2.4983337012,2.4942758858,2.5296627636,2.4841217219,2.4913707084,2.4777177158,2.5193505207,2.537110199,2.4650852469,2.5003011686,2.3311340332,2.4901424473,2.7123164565,2.5081417927,2.5140397923,2.5021562605,2.4908961502,2.5321935173,2.5431946212,2.4832734469,2.5128748477,2.5500093451,2.5288675083,3.0583511565,2.5017723219,2.7974443511,2.4863481908,3.2550072163,2.3800526587,3.5344938954,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9862017576,5.0000817871
4/17/2014 12:08:06.119 PM,3,3308.7452711573,3312.8628243376,3313.2421029773,3311.2419922018,3310.1882546527,3311.8148888556,3311.9104277401,3311.9105114921,3312.671992903,3309.0343005561,3310.667898139,3309.9004177355,3311.2419922718,3310.4760891621,3310.7635553788,3310.6677013209,3309.3234452191,3313.0523938869,3312.196451794,3311.0507304746,3312.1963324105,3310.9550520259,3312.3865315211,3312.2915582029,3313.2421029773,3312.1010687266,3312.672394719,3311.8150684278,3311.9102812246,3311.3375601587,3310.4761369584,3311.6241223968,3312.0570609164,3312.2476450664,3312.1523211798,3312.7235038989,3313.103849268,3312.0571655521,3312.2476987981,3313.1035282918,13.1739308639,13.2591463898,13.0790997031,13.2726726368,12.7386761153,12.9830826899,14.9804374224,14.9507991779,14.4148470039,14.9007843929,15.0107538751,14.7551806313,16.8202838379,18.2106762019,12.0885231275,12.068478518,11.969096719,12.2080104481,12.1876069353,12.1648454158,12.0578454161,12.1906614638,12.7936604238,12.7114383734,12.5250353478,12.5671408846,12.5336808424,12.4507387303,12.3209719525,12.3538503479,3313.1873067334,3313.6610398721,3312.5222814719,3314.2288544621,3312.2366138656,3312.3318415495,2.4987318123,2.4942413953,2.5298339592,2.4841917548,2.4910295139,2.4783898497,2.5185616228,2.5369266272,2.4650338224,2.5004539199,2.3291149902,2.4900991153,2.7158294512,2.5081047095,2.5140742812,2.5021210135,2.490866544,2.5322220532,2.5429442127,2.4832613919,2.5128512016,2.5498393503,2.5289100833,3.0603465705,2.5018596104,2.8064079764,2.486397783,3.2584250973,2.3787285295,3.5465026201,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9876888095,5.0000817871
4/17/2014 12:08:07.119 PM,4,3308.7459622143,3312.8635038047,3313.2427813575,3311.2426762767,3310.1889416913,3311.8155713087,3311.9111099221,3311.9111936738,3312.6726729158,3309.0349908119,3310.6685838317,3309.9011055793,3311.2426763467,3310.4767753936,3310.7642408024,3310.6683870141,3309.3241346715,3313.0530728112,3312.1971331628,3311.0514150893,3312.1970137797,3310.9557369103,3312.3872123485,3312.2922393009,3313.2427813575,3312.1017503668,3312.6730747306,3311.8157508805,3311.9109634069,3311.3382439636,3310.4768231897,3311.6248053908,3312.0575737312,3312.2481574734,3312.1528337909,3312.7240152848,3313.1043598349,3312.0576783668,3312.248211205,3313.1040388594,13.1770977342,13.2613986093,13.0860105514,13.2821743475,12.7413877149,12.9881587322,14.995414147,14.9497703219,14.4077926448,14.8962489355,15.0137660675,14.7531608804,16.810580005,18.1935365536,12.0987154408,12.0692048991,11.9343090379,12.2417956756,12.1848962106,12.1675575769,12.0545226216,12.1962756299,12.8070237161,12.7144946505,12.530154432,12.5783673633,12.5353631313,12.4554761378,12.3236467739,12.352707275,3313.1879577409,3313.6616895731,3312.5229343049,3314.2295025905,3312.2372674798,3312.3324949035,2.498715485,2.4939674551,2.5299142167,2.4840304808,2.4911160332,2.4781319823,2.5184264267,2.5371683377,2.4652558482,2.5002735483,2.3298690796,2.4900377793,2.7154327785,2.509215527,2.5141054127,2.5021031612,2.4909185838,2.5323163592,2.543101233,2.4832948102,2.5128756105,2.5498912338,2.5288339366,3.0620836109,2.5019006604,2.8077242938,2.486354447,3.2596855372,2.3799144012,3.5541533313,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9898453857,5.0000817871
4/17/2014 12:08:08.119 PM,5,3308.7461469685,3312.8636854608,3313.2429627229,3311.2428591644,3310.1891253713,3311.815753763,3311.9112923038,3311.9113760554,3312.6728547177,3309.0351753519,3310.6687671519,3309.9012894745,3311.2428592345,3310.4769588578,3310.7644240507,3310.6685703344,3309.3243189968,3313.0532543221,3312.1973153272,3311.0515981214,3312.1971959442,3310.9559200145,3312.3873943681,3312.2924213929,3313.2429627229,3312.1019326037,3312.6732565322,3311.8159333345,3311.9111457888,3311.3384267792,3310.477006654,3311.6249879896,3312.0582215256,3312.2488047526,3312.1534813278,3312.7246612741,3313.1050047897,3312.0583261609,3312.248858484,3313.1046838151,13.1699238152,13.2647538752,13.0857781821,13.2845370759,12.7420716388,12.9888427295,14.9947252021,14.9490809253,14.4141962139,14.8998292925,15.0012591736,14.7561314307,16.7902544413,18.177723453,12.0997811553,12.0760750048,11.9514139744,12.217590451,12.1787825365,12.1686238046,12.0516926337,12.203527863,12.8126173012,12.7041305194,12.5320073808,12.5737294277,12.5334738015,12.4554960438,12.3179393865,12.3646390013,3313.1877966766,3313.6615288321,3312.522772789,3314.2293422386,3312.2371057706,3312.3323332587,2.4985685394,2.4940397936,2.5298412831,2.4839758581,2.4910807846,2.478210258,2.518586953,2.5376622879,2.4650184103,2.500332604,2.3326882935,2.4900623442,2.7144026499,2.5083169842,2.514042234,2.5020645573,2.4909217886,2.5322916382,2.5430849053,2.4832589504,2.5128508964,2.5498808571,2.5288923818,3.063421721,2.5018515225,2.8015831582,2.4863292694,3.2541199801,2.3815806645,3.5550288101,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9919969267,5.0000817871
4/17/2014 12:08:09.119 PM,6,3308.7464548572,3312.8639881856,3313.2432649635,3311.2431639423,3310.1894314696,3311.8160578182,3311.9115962383,3311.9116799898,3312.6731576857,3309.0354828836,3310.6690726505,3309.9015959316,3311.2431640123,3310.4772645966,3310.7647294295,3310.6688758333,3309.3246261705,3313.0535568051,3312.1976188993,3311.0519031397,3312.1974995165,3310.956225153,3312.3876976991,3312.2927248444,3313.2432649635,3312.1022362968,3312.6735594996,3311.8162373896,3311.9114497234,3311.3387314367,3310.4773123926,3311.6252922859,3312.058592644,3312.2491755758,3312.1538522988,3312.7250313584,3313.1053742814,3312.0586972791,3312.2492293072,3313.1050533073,13.168168311,13.2629975605,13.0798213672,13.2862913401,12.7364200841,12.9887654771,14.9969347239,14.9400057234,14.407712445,14.8935767182,14.9934052697,14.7555967099,16.7822615937,18.1573511527,12.0804669733,12.0678264207,11.9406443011,12.2202616118,12.1766430151,12.1693103118,12.0452737987,12.1955079371,12.7943762409,12.7002432873,12.527355244,12.5648025392,12.5300435571,12.4515311023,12.3194733377,12.3456322889,3313.1878973373,3313.6616292908,3312.522873732,3314.229442454,3312.2372068344,3312.3324342822,2.498495143,2.4943082398,2.5296067665,2.4841336229,2.4911459412,2.477776766,2.5186423437,2.5371927529,2.4650518286,2.5004179066,2.3244265747,2.4899865134,2.7160151246,2.50571765,2.5141461585,2.5020778322,2.4908912667,2.5322878232,2.5426916679,2.4833572216,2.5127981122,2.5496913296,2.5288792584,3.0649802043,2.5017889556,2.8038487502,2.4863513952,3.2515571415,2.3814686545,3.5599505361,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9940105347,5.0000817871
4/17/2014 12:08:10.119 PM,7,3308.7474401324,3312.8649569366,3313.2442321647,3311.2441392628,3310.1904110154,3311.8170308264,3311.9125688598,3311.912652611,3312.6741272146,3309.0364670164,3310.6700502775,3309.9025766255,3311.2441393328,3310.4782429918,3310.7657066728,3310.669853461,3309.3256091579,3313.0545247821,3312.1985903616,3311.0528792298,3312.1984709792,3310.9572016276,3312.3886683895,3312.2936959206,3313.2442321647,3312.103208146,3312.6745290269,3311.8172103971,3311.9124223456,3311.3397063722,3310.4782907876,3311.6262660652,3312.0588490561,3312.2494317841,3312.1541086091,3312.7252870561,3313.1056295695,3312.0589536912,3312.2494855154,3313.1053085958,13.1694466422,13.2622919496,13.0848420186,13.2820756634,12.7345686238,12.9856941399,14.998059141,14.9408258024,14.4045666318,14.895235402,15.0055854445,14.7626685373,16.7756206753,18.135288536,12.0915173642,12.0679603556,11.9359667138,12.2195561379,12.183727658,12.1611186646,12.0419696441,12.1893032769,12.8036334079,12.7016363744,12.5308105832,12.5648211693,12.5339571092,12.4533827012,12.3106336542,12.3549670117,3313.1885684653,3313.6622990719,3312.523546742,3314.2301106139,3312.2378806498,3312.3331078294,2.4985422937,2.4945360909,2.529843114,2.4841754291,2.4910586588,2.4776760603,2.5186040432,2.5369249486,2.4650826528,2.5001642877,2.3216516113,2.4900002453,2.7118994924,2.5020668621,2.5140861844,2.502108349,2.4910214425,2.5322533359,2.542355501,2.4832690216,2.5128576089,2.5495710819,2.5288548426,3.0662177425,2.5018959297,2.8018883912,2.4863129421,3.2483716355,2.381761956,3.5629026256,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9957723844,5.0000817871
4/17/2014 12:08:11.119 PM,8,3308.7476111807,3312.8651251161,3313.2444000752,3311.2443085828,3310.1905810691,3311.8171997451,3311.9127377113,3311.9128214625,3312.6742955292,3309.0366378664,3310.670219998,3309.9027468785,3311.2443086528,3310.4784128456,3310.7658763267,3310.6700231817,3309.325779809,3313.0546928272,3312.1987590118,3311.0530486835,3312.1986396296,3310.957371148,3312.3888369057,3312.2938645038,3313.2444000752,3312.1033768634,3312.6746973412,3311.8173793156,3311.9125911972,3311.3398756254,3310.4784606415,3311.6264351177,3312.0593213902,3312.2499037425,3312.1545807554,3312.725758074,3313.1060998331,3312.059426025,3312.2499574737,3313.10577886,13.1726567801,13.2777913156,13.0875200283,13.2791814861,12.7370943094,12.9972238111,15.0033237104,14.9378575645,14.403580771,14.8953935745,15.001168986,14.7679347806,16.7709834216,18.1096771025,12.1006073994,12.0610932819,11.9487270915,12.2109342345,12.1789213611,12.16578377,12.0428158211,12.1964878835,12.8129436102,12.7037697234,12.5377562101,12.5742084637,12.528071994,12.4543711727,12.320862314,12.339385302,3313.188655706,3313.6623861374,3312.5236342274,3314.2301974687,3312.2379682398,3312.3331953846,2.4984489077,2.494447728,2.529792915,2.4840954786,2.491066441,2.477755099,2.5185333934,2.5368712352,2.4651699372,2.5001854989,2.31777771,2.489970798,2.711121251,2.4989851411,2.5140414709,2.5021870825,2.4909698605,2.5322112187,2.5422520416,2.4833054919,2.5128008582,2.5494596849,2.5289242749,3.0671753886,2.5017849879,2.7994657568,2.4863851179,3.2458382443,2.3820497637,3.5629294836,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9977324366,5.0000817871
4/17/2014 12:08:12.119 PM,9,3308.7486853882,3312.8661813077,3313.2454545771,3311.2453719369,3310.1916490301,3311.8182605782,3311.9137981229,3311.9138818737,3312.6753525689,3309.0377108284,3310.6712858668,3309.9038160912,3311.245372007,3310.4794795521,3310.7669417773,3310.6710890513,3309.3268515222,3313.0557481749,3312.1998181594,3311.0541128766,3312.1996987777,3310.9584357604,3312.3898952117,3312.2949232305,3313.2454545771,3312.1044364328,3312.6757543791,3311.8184401479,3311.9136516094,3311.3409385598,3310.4795273477,3311.6274967916,3312.0598342118,3312.2504161562,3312.1550933732,3312.7262694666,3313.1066104067,3312.0599388464,3312.2504698873,3313.1062894343,13.1773495134,13.2730218617,13.0868718132,13.2886832102,12.7407985182,12.9919969315,15.0009238601,14.9278307972,14.4050689386,14.8935265985,15.0046388373,14.7645429597,16.7696523425,18.1021905412,12.1017154403,12.064415892,11.9453290897,12.211431609,12.1816335386,12.1600176405,12.0541620656,12.1937774914,12.8103906978,12.7088519991,12.5419997223,12.5752442677,12.5366687511,12.4483803551,12.3275490085,12.3531730114,3313.1895416068,3313.6632702604,3312.5245226125,3314.2310794515,3312.238857688,3312.3340844786,2.4985900548,2.4944562743,2.5297363075,2.4841118044,2.4911402953,2.4779084462,2.5186438696,2.5368764234,2.4651227853,2.5002752269,2.3166390991,2.4899163279,2.7091342258,2.4952943704,2.514191635,2.5021469529,2.4910212899,2.5322101505,2.5423252872,2.4833567638,2.5127910946,2.5494952404,2.5289029111,3.0686142233,2.5018142875,2.7957232948,2.4863770306,3.2470687791,2.3828877024,3.5606142031,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9993516234,5.0000817871
