TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 4:39:27.096 PM,0,3311.4571122146,3315.5286947793,3315.9036621093,3313.926138929,3312.8841566013,3314.4926028684,3314.5870661257,3314.5871489343,3315.3400275491,3311.7429635163,3313.3584615383,3312.599513636,3313.9261389982,3313.1687898844,3313.4530516517,3313.358266915,3312.0289215764,3315.7161111234,3314.8698650268,3313.7370182078,3314.869746991,3313.6424095683,3315.0577973401,3314.9638973881,3315.9036621093,3314.7755583055,3315.3404248116,3314.4927804197,3314.5869212603,3314.0206358602,3313.1688371485,3314.3039816928,3314.9840978326,3315.1723261986,3315.0781810489,3315.6422871843,3316.0179021751,3314.984201176,3315.1723792656,3316.017585197,13.7244142761,13.6040248657,13.3131313347,13.3074760403,13.217398077,13.1159434654,15.5871185912,15.6416494108,15.0173334772,15.2229303458,15.3725663181,14.8542968006,14.7833991206,14.6995396339,12.4644373454,12.5156278182,12.3509271041,12.6342880769,12.5239644192,12.4844831051,12.4961156567,12.7083847563,13.6244669505,13.5044121072,13.2389190959,13.2388869556,13.2360134798,13.173185105,13.0777573233,13.2340651309,3316.214107357,3316.6816902018,3315.557676102,3317.2421017454,3315.2756859766,3315.3696887081,2.4912681059,2.4962159014,2.5289346483,2.4908908077,2.4988362459,2.4859198857,2.5147710982,2.5341884617,2.4619864994,2.492434252,2.3709869385,2.4816991322,2.5588215012,2.5149477051,2.5138456777,2.5034401049,2.4927547795,2.5331796096,2.5423896823,2.4842160265,2.5118634033,2.5473667948,2.528852401,2.5208577311,2.5035609723,2.5602221376,2.4874140422,2.3744862422,2.525875961,2.695702948,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.155367412,5.0000817871
4/17/2014 4:39:28.096 PM,1,3311.4567349402,3315.5283239699,3315.9032919062,3313.9257655494,3312.8837815685,3314.4922303934,3314.586693802,3314.5867766108,3315.3396564354,3311.7425866889,3313.3580872563,3312.599138154,3313.9257656186,3313.1684153018,3313.4526775198,3313.3578926327,3312.0285451972,3315.7157406168,3314.8694931566,3313.7366445271,3314.8693751207,3313.6420357371,3315.057425772,3314.963525669,3315.9032919062,3314.775186284,3315.3400536985,3314.492407945,3314.5865489364,3314.0202626312,3313.168462566,3314.3036089161,3314.9836864059,3315.171915107,3315.0777697897,3315.6418769317,3316.0174925953,3314.9837897495,3315.1719681741,3316.0171756168,13.7402403351,13.596663199,13.3190501233,13.3054554932,13.2218658023,13.121706599,15.6284472309,15.6449665255,15.0188981515,15.2272386549,15.3779419693,14.8367259637,14.8042484847,14.7036183199,12.4840913554,12.5330750326,12.3441712571,12.6398236835,12.5370629315,12.4807047161,12.5069254497,12.7137692188,13.6355760879,13.5074323794,13.2372074185,13.2446553754,13.2374316567,13.175824769,13.0726108333,13.2475410231,3316.2141601513,3316.6817428875,3315.5577290481,3317.2421543003,3315.2757389877,3315.3697416975,2.4912616971,2.4962749626,2.5290065139,2.4909435994,2.4987999291,2.4860547702,2.5147709456,2.5341548908,2.4619861942,2.4924757588,2.3682861328,2.4817134745,2.5561311446,2.5129207952,2.5138922225,2.5034135552,2.4926944988,2.5332949741,2.5422154188,2.484212822,2.5119531061,2.5474661365,2.5288803265,2.5205335812,2.5035484589,2.5617292256,2.487363687,2.3753885835,2.5263525377,2.6956533523,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1588348093,5.0000817871
4/17/2014 4:39:29.096 PM,2,3311.4563441701,3315.5279398954,3315.9029084597,3313.925378813,3312.88339312,3314.4918445939,3314.5863081592,3314.5863909681,3315.3392720457,3311.7421963817,3313.3576995854,3312.5987492403,3313.9253788822,3313.1680273195,3313.4522900043,3313.3575049614,3312.0281553541,3315.7153568559,3314.8691079835,3313.7362574789,3314.8689899474,3313.6416485331,3315.0570409117,3314.9631406524,3315.9029084597,3314.7748009542,3315.3396693095,3314.4920221458,3314.5861632933,3314.0198760508,3313.1680745838,3314.3032228042,3314.9845689898,3315.172796972,3315.0786520144,3315.642756997,3316.0183712172,3314.984672333,3315.1728500389,3316.0180542399,13.7527936194,13.6047213668,13.3253560006,13.3096986337,13.2260338658,13.123049986,15.6292555758,15.6537769524,15.0220697928,15.2278178914,15.3910980703,14.8506470525,14.8121457717,14.7019119236,12.4897090029,12.5712173676,12.3525401624,12.6618526604,12.5488690145,12.4899146707,12.523163728,12.6941934764,13.638874938,13.5083658999,13.2429502375,13.2438332148,13.2332503894,13.1759948924,13.0687355917,13.2442007568,3316.2155526802,3316.6831325513,3315.5591255805,3317.2435405155,3315.2771372331,3315.3711393723,2.4912565089,2.4962429139,2.5292982482,2.4908265727,2.498766359,2.4862368033,2.5147395117,2.5341724392,2.4619452987,2.4924789634,2.3664801025,2.4816681591,2.5525645991,2.5095268427,2.5139573851,2.5034193535,2.4927186111,2.533243701,2.5422261004,2.4841818452,2.5119508177,2.5472489887,2.5288958916,2.5202686451,2.5035650925,2.5626652226,2.4874528004,2.3744336031,2.5266931458,2.6960609527,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1611488487,5.0000817871
4/17/2014 4:39:30.096 PM,3,3311.4559736278,3315.5275757025,3315.9025448623,3313.9250120958,3312.8830247792,3314.4914787653,3314.5859424791,3314.5860252881,3315.3389075539,3311.7418262784,3313.357331982,3312.5983804584,3313.9250121651,3313.1676594209,3313.4519225482,3313.3571373577,3312.0277856909,3315.7149929604,3314.8687427489,3313.735890466,3314.8686247126,3313.6412813725,3315.0566759736,3314.9627755661,3315.9025448623,3314.7744355709,3315.3393048183,3314.4916563174,3314.585797613,3314.0195094816,3313.1677066853,3314.3028566792,3314.9841044784,3315.172332839,3315.0781876921,3315.6422938112,3316.0179087911,3314.9842078218,3315.172385906,3316.0175918131,13.7491287992,13.6059381414,13.3223745536,13.3048105292,13.2207623748,13.1250297986,15.6322220952,15.6452368617,15.0169578536,15.2260608442,15.394524108,14.8441628596,14.8151905935,14.7017550728,12.4962679948,12.5436525974,12.3546740828,12.6616956483,12.5532178054,12.4925834822,12.5251456636,12.7165594423,13.64082382,13.5209223909,13.2344409023,13.2474616793,13.2460399959,13.1816088087,13.0803789726,13.2445472872,3316.2165162349,3316.6840941236,3315.5600919054,3317.2444997016,3315.2781047434,3315.3721064878,2.4912528467,2.4962476449,2.5293574496,2.4909464984,2.4988093898,2.4860103682,2.5147067046,2.534184952,2.4619605582,2.4924626353,2.367769928,2.4817430745,2.5473552181,2.5059302299,2.5139879063,2.5034028743,2.4926977036,2.5332699479,2.5424368342,2.484292324,2.5119120686,2.5473310868,2.5288885669,2.5199992833,2.5035496797,2.559756352,2.4874817928,2.3696850966,2.5265004092,2.6979672594,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1629505221,5.0000817871
4/17/2014 4:39:31.096 PM,4,3311.4557445519,3315.5273505516,3315.9023200794,3313.9247853844,3312.8827970642,3314.4912526031,3314.5857164088,3314.5857992179,3315.3386822182,3311.7415974738,3313.3571047227,3312.5981524707,3313.9247854537,3313.1674319792,3313.4516953801,3313.3569100983,3312.0275571584,3315.7147679933,3314.8685169539,3313.7356635718,3314.8683989175,3313.641054387,3315.056450362,3314.9625498628,3315.9023200794,3314.774209684,3315.339079483,3314.4914301554,3314.5855715425,3314.0192828617,3313.1674792436,3314.3026303339,3314.9837660388,3315.171994675,3315.0778493901,3315.6419563373,3316.0175718707,3314.9838693823,3315.1720477421,3316.0172548922,13.7549488649,13.6127536594,13.3275904176,13.305979555,13.2317793104,13.1345163063,15.6362076297,15.6448800866,15.0142375914,15.2289052823,15.4020942895,14.8552413048,14.815291004,14.7001787838,12.4746939319,12.5403178165,12.3698168629,12.6153874754,12.552631215,12.4931423596,12.515698936,12.7179580399,13.6395367679,13.5210851834,13.2514753351,13.254265006,13.2378056785,13.1808555634,13.0840532227,13.2465418957,3316.2170771978,3316.6846539323,3315.560654481,3317.245058121,3315.2786680092,3315.3726695237,2.4912545253,2.4961899572,2.5291384962,2.4911076199,2.4988222075,2.486091543,2.514755076,2.5341805268,2.4619330911,2.4923762645,2.3687797546,2.4816837219,2.544672795,2.5035190586,2.5139988939,2.5034695537,2.4926760331,2.5332000578,2.5423643516,2.4841844393,2.5119195438,2.5474423312,2.5288517906,2.5198910808,2.5035534948,2.5565833022,2.4874468493,2.3671190539,2.5259902601,2.6986084938,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1646745319,5.0000817871
4/17/2014 4:39:32.096 PM,5,3311.455737817,3315.5273439321,3315.9023134708,3313.9247787191,3312.8827903693,3314.4912459539,3314.5857097623,3314.5857925714,3315.3386755933,3311.7415907469,3313.3570980413,3312.5981457678,3313.9247787884,3313.1674252924,3313.4516887013,3313.3569034168,3312.0275504395,3315.7147613793,3314.8685103155,3313.7356569011,3314.8683922791,3313.6410477136,3315.056443729,3314.9625432271,3315.9023134708,3314.7742030429,3315.3390728581,3314.4914235063,3314.585564896,3314.019276199,3313.1674725568,3314.3026236793,3314.9830095367,3315.171238789,3315.0770931959,3315.641201994,3316.0168187646,3314.9831128805,3315.1712918563,3316.0165017851,13.7486775667,13.6052581472,13.3219235554,13.3063433639,13.2332887277,13.1270204106,15.6322287082,15.6481401293,15.0188702971,15.2230949502,15.4023055758,14.8590356427,14.8133675824,14.6960457054,12.5001667239,12.5569432506,12.369188331,12.6299487914,12.5592572529,12.4983179381,12.5218684123,12.7056485876,13.6431767035,13.5256412504,13.2492385874,13.2547000165,13.2471725164,13.1793823557,13.0870071128,13.2403372693,3316.2169584116,3316.6845353905,3315.5605353533,3317.2449398734,3315.2785487353,3315.3725502985,2.4913126626,2.4962128491,2.5292678847,2.4909875416,2.4988327363,2.4862229181,2.5147430213,2.5342140977,2.4619135589,2.4923504753,2.3668408203,2.4816890621,2.5467661591,2.5031926349,2.5139882115,2.5034927465,2.4927027397,2.5331970058,2.5421461406,2.4842564642,2.5120133656,2.5473841911,2.5288603361,2.5197537291,2.5035444912,2.5585062702,2.4875385568,2.3670824354,2.5261182933,2.6978163358,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1659719259,5.0000817871
4/17/2014 4:39:33.096 PM,6,3311.4553201022,3315.5269333748,3315.9019035847,3313.9243653163,3312.8823751362,3314.4908335526,3314.5852975284,3314.5853803377,3315.338264699,3311.741173527,3313.3566836394,3312.5977300374,3313.9243653855,3313.1670105577,3313.4512744656,3313.3564890146,3312.0271337157,3315.7143511572,3314.8680985838,3313.7352431649,3314.8679805472,3313.6406338108,3315.0560323316,3314.9621316627,3315.9019035847,3314.7737911436,3315.3386619645,3314.4910111053,3314.5851526619,3314.0188629629,3313.1670578222,3314.302210944,3314.9833347029,3315.1715636904,3315.0774182298,3315.6415262323,3316.0171424712,3314.9834380466,3315.1716167576,3316.0168254921,13.7458969391,13.5998049699,13.3225752216,13.2959296679,13.2297417723,13.129503421,15.6155866895,15.6345383744,15.0104491351,15.2258036495,15.3928950254,14.8505380097,14.808454041,14.7002782232,12.4812804979,12.5504951859,12.3678548954,12.6531180399,12.5596038522,12.5013371398,12.5251937686,12.7056132042,13.6344562278,13.515165079,13.245247619,13.2543735879,13.2455483431,13.1781396199,13.0900393053,13.2339818449,3316.217664564,3316.68524009,3315.5612435359,3317.2456428241,3315.2792577867,3315.3732590605,2.491395062,2.4961634025,2.5291664185,2.4911323374,2.4988959092,2.4858492391,2.5147204378,2.5341304756,2.4619532336,2.4923637514,2.3636503601,2.481711491,2.5489324499,2.5039562742,2.5139140451,2.5034581099,2.4927166271,2.5332031097,2.5421513289,2.4840854051,2.5119808712,2.5475407573,2.5288847519,2.5194114183,2.503585236,2.5598050367,2.4874843868,2.3672014456,2.5263349884,2.6978686784,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1674772874,5.0000817871
4/17/2014 4:39:34.096 PM,7,3311.4549360871,3315.52655594,3315.901526767,3313.9239852654,3312.8819934026,3314.4904544225,3314.5849185523,3314.5850013617,3315.3378869544,3311.7407899667,3313.35630267,3312.5973478466,3313.9239853346,3313.1666292824,3313.4508936489,3313.3561080448,3312.0267506116,3315.7139740306,3314.8677200693,3313.7348628075,3314.8676020325,3313.6402533003,3315.0556541245,3314.9617533019,3315.901526767,3314.7734124751,3315.3382842206,3314.4906319754,3314.5847736856,3314.0184830653,3313.1666765469,3314.3018315068,3314.9829630902,3315.1711923804,3315.0770467684,3315.6411556801,3316.0167725267,3314.9830664341,3315.1712454477,3316.0164555471,13.74726634,13.598046642,13.3211979413,13.2990551736,13.2301966549,13.1351466408,15.6142881548,15.6340015086,15.0160874689,15.2257240025,15.3946447076,14.8528220045,14.8119571601,14.6946353457,12.5066152223,12.5711812788,12.371898515,12.6343376041,12.564182331,12.5031667763,12.5340504656,12.7018688648,13.6417201142,13.5261685814,13.2473993896,13.2653021733,13.2432723049,13.1763977529,13.0896718893,13.2322407903,3316.218047343,3316.6856220815,3315.5616274154,3317.2460238676,3315.2796421371,3315.373643254,2.491337535,2.4962148331,2.5290780742,2.4910467416,2.4989067432,2.4860010605,2.5146514664,2.5341698451,2.4619665094,2.492387862,2.361270752,2.481747194,2.55131508,2.505839582,2.5139930949,2.5034385791,2.4926867157,2.5332392756,2.5422102306,2.4841435438,2.5119264088,2.5473858697,2.5288017383,2.5188559073,2.5035187015,2.5600145791,2.4874404405,2.3671373631,2.526418004,2.6981274917,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1698639554,5.0000817871
4/17/2014 4:39:35.096 PM,8,3311.4549293352,3315.5265493034,3315.9015201412,3313.923978583,3312.8819866908,3314.4904477563,3314.5849118887,3314.5849946982,3315.3378803124,3311.7407832228,3313.3562959715,3312.5973411267,3313.9239786522,3313.1666225785,3313.4508869531,3313.3561013464,3312.0267438758,3315.7139673994,3314.8677134139,3313.7348561198,3314.867595377,3313.6402466099,3315.0556474744,3314.9617466491,3315.9015201412,3314.7734058169,3315.3382775786,3314.4906253092,3314.584767022,3314.0184763856,3313.1666698431,3314.3018248352,3314.9827175593,3315.1709470495,3315.0768013374,3315.6409108499,3316.016528098,3314.9828209033,3315.1710001169,3316.0162111181,13.7409614465,13.5914329645,13.312596109,13.2922884852,13.225488888,13.1215887681,15.6171312064,15.6390569612,15.0077264297,15.2184321086,15.3811784841,14.8416402341,14.8049694746,14.6913832593,12.5005347318,12.5541814275,12.3780319679,12.6753510357,12.5629093061,12.509071965,12.5312496689,12.7114375067,13.6358031356,13.5147567813,13.2506411197,13.2574761639,13.2430785541,13.1742193753,13.079708076,13.2386868288,3316.2177239639,3316.6852993677,3315.5613031065,3317.2457019547,3315.2793174303,3315.3733186798,2.4912285847,2.4961792743,2.5290585439,2.4909966963,2.4988708842,2.4859632196,2.5147149445,2.5341240666,2.4619654413,2.4923668034,2.3593966675,2.4817206456,2.5552372579,2.5093817147,2.5139088565,2.503470164,2.4926906836,2.5332829188,2.5422409022,2.4841043269,2.5118579113,2.5473323075,2.5288313424,2.5179267998,2.5034576606,2.5613722556,2.4874593618,2.3675569503,2.5264933895,2.6977444602,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.171962856,5.0000817871
4/17/2014 4:39:36.096 PM,9,3311.4548552337,3315.5264764719,3315.9014474288,3313.9239052465,3312.8819130296,3314.4903745975,3314.5848387597,3314.5849215692,3315.3378074211,3311.7407092091,3313.3562224578,3312.5972673773,3313.9239053158,3313.1665490058,3313.4508134689,3313.3560278326,3312.0266699501,3315.7138946273,3314.867640374,3313.7347827242,3314.8675223371,3313.6401731847,3315.0555744938,3314.9616736389,3315.9014474288,3314.7733327472,3315.3382046874,3314.4905521505,3314.5846938929,3314.0184030788,3313.1665962703,3314.3017516172,3314.9820075066,3315.1702375751,3315.0760915736,3315.6402028233,3316.0158212327,3314.9821108509,3315.1702906426,3316.0155042518,13.7190186639,13.5819155071,13.2945233802,13.2880358929,13.2181816372,13.1123000515,15.5837856391,15.6115632043,15.0117880297,15.2198247613,15.3751017684,14.8338848908,14.7788448579,14.689041678,12.4944499744,12.5524464264,12.3716392667,12.6677393415,12.5496431385,12.5063440457,12.5142380614,12.7185588074,13.6369104579,13.5094539568,13.2518256292,13.2520961908,13.2388428611,13.1739533074,13.071885021,13.2288043172,3316.2159420637,3316.6835211337,3315.5595160835,3317.2439281337,3315.2775282151,3315.3715301948,2.4912478112,2.4964229971,2.5296459797,2.4910604735,2.4989067432,2.4859735953,2.5146905299,2.5341962441,2.4620179339,2.4924058686,2.356081543,2.4817598579,2.5616055335,2.5128942418,2.5138662795,2.503454753,2.4927224263,2.5332256943,2.5426350552,2.4841192812,2.5118472324,2.5477589733,2.5287849524,2.5172554555,2.5034361437,2.5675987038,2.4874338791,2.3779517273,2.5275478707,2.6959405496,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.17212154,5.0000817871
