TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 3:57:20.001 PM,0,3311.7255391648,3315.792517235,3316.1670527465,3314.1917919462,3313.1509870425,3314.7576115785,3314.8519671003,3314.8520498145,3315.6040667711,3312.011072137,3313.6247572594,3312.8666639912,3314.1917920153,3313.4352996838,3313.7192404875,3313.6245628559,3312.2967110165,3315.979717915,3315.1344429685,3314.0028856711,3315.1343250678,3313.9083841853,3315.3221601964,3315.228367753,3316.1670527465,3315.0402440545,3315.6044635775,3314.7577889274,3314.8518224002,3314.2861816022,3313.4353468946,3314.5692052762,3315.2005842779,3315.3886361581,3315.2945793146,3315.8581553028,3316.2334159157,3315.2006875245,3315.3886891754,3316.2330992372,13.8270897888,13.7629033133,13.5021096059,13.5358989498,13.4366121895,13.3101281754,16.0463305953,15.9425742716,15.1555547507,15.3481033373,15.5425321128,14.9552622012,14.6111833816,14.5069864017,13.0802632684,13.1171741544,12.8059880852,12.9182802745,12.7723609297,12.7376957102,12.5971289634,12.633353899,14.0577530593,13.8232783499,13.5197113271,13.4898081372,13.3686461867,13.193146915,12.9428647687,12.9835665287,3316.3694692852,3316.8367322792,3315.7134849709,3317.3967588238,3315.4316860978,3315.525625124,2.4917985138,2.4961192974,2.5291743527,2.4902138229,2.4984076165,2.4854950909,2.515692598,2.5358529684,2.4631947469,2.4959696568,2.4835743713,2.4854226253,2.5655911791,2.6548032667,2.513942735,2.5029147571,2.4920643748,2.5327788856,2.5428032149,2.4836137338,2.5118400623,2.5480635601,2.5286650099,2.677952291,2.5026690124,2.2667752401,2.4868412138,3.024661474,2.8823952856,2.689552469,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1393861054,5.0000817871
4/17/2014 3:57:21.001 PM,1,3311.7251354439,3315.7921204468,3316.1666566083,3314.1913924018,3313.1505857253,3314.7572130042,3314.8515686882,3314.8516514025,3315.6036696565,3312.0106688954,3313.6243567473,3312.8662621924,3314.191392471,3313.4348988495,3313.7188401364,3313.6241623435,3312.2963082555,3315.9793214514,3315.1340450428,3314.0024858038,3315.1339271418,3313.9079841567,3315.3217625945,3315.2279699892,3316.1666566083,3315.0398459665,3315.6040664636,3314.7573903534,3314.8514239879,3314.2857822193,3313.4349460603,3314.5688063784,3315.200716868,3315.38876864,3315.2947118506,3315.8582875138,3316.2335479095,3315.2008201145,3315.3888216572,3316.2332312312,13.8196503891,13.7550021533,13.5023724021,13.5300576179,13.4386304533,13.311382881,16.0360070382,15.9315590437,15.1468982365,15.3431832667,15.5423372956,14.9394397955,14.6120558319,14.5127368263,13.0931904238,13.1104919314,12.8148768517,12.9058742955,12.7772051433,12.7342937133,12.5945660601,12.6350673628,14.0581862779,13.8266112979,13.5151073472,13.4845181203,13.3632784325,13.1941913161,12.9484892441,12.9762143859,3316.3691659163,3316.8364295353,3315.7131807287,3317.3964568321,3315.4313814819,3315.5253206325,2.491735341,2.4961315064,2.5289985797,2.4902997238,2.4983622968,2.4852547706,2.5164213749,2.5356091216,2.4633619911,2.4960300859,2.4868609619,2.485493116,2.563310616,2.6536349169,2.5140346037,2.5028793576,2.4920594913,2.532774918,2.5432350589,2.4836430321,2.5117688188,2.5482324868,2.5286779808,2.6775371838,2.5025888963,2.2770527408,2.4868770728,3.0337004503,2.8832690858,2.6856757628,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1420191912,5.0000817871
4/17/2014 3:57:22.001 PM,2,3311.7246173368,3315.7916112365,3316.1661482324,3314.1908796545,3313.150070703,3314.7567015018,3314.851057394,3314.8511401085,3315.6031600274,3312.0101514033,3313.6238427582,3312.8657465519,3314.1908797236,3313.4343844466,3313.7183263537,3313.6236483539,3312.2957913801,3315.9788126578,3315.1335343727,3314.0019726421,3315.1334164715,3313.907470788,3315.3212523401,3315.227459527,3316.1661482324,3315.0393350881,3315.6035568353,3314.7568788514,3314.8509126933,3314.2852696793,3313.4344316576,3314.5682944608,3315.2010019111,3315.3890534506,3315.2949967776,3315.8585717421,3316.2338316707,3315.2011051575,3315.3891064677,3316.2335149928,13.8259878835,13.7577567404,13.4997084274,13.5334991412,13.4369592204,13.3145191814,16.0329689649,15.9349195691,15.1331845964,15.3419717743,15.5493567206,14.9396764577,14.6081757829,14.5157933955,13.0787031542,13.1018759471,12.8128237002,12.9235115692,12.7699593009,12.7341489345,12.59403929,12.618736287,14.0449700983,13.8174372622,13.508906711,13.4812947583,13.3599780961,13.19005077,12.9506847172,12.9701661335,3316.3689614632,3316.8362255033,3315.712975687,3317.3962533071,3315.4311761884,3315.5251154229,2.4918264381,2.4960071269,2.5291024871,2.4902373197,2.4984295897,2.485558566,2.515810246,2.5356605461,2.463451717,2.4959464618,2.50284729,2.4855431613,2.5446419766,2.6547655731,2.5139934001,2.5028908014,2.4920781096,2.5327521808,2.5432797692,2.483585809,2.5117071863,2.5481674798,2.5286755392,2.6772861356,2.5026935814,2.2750720838,2.4869167466,3.0295675927,2.8830964927,2.6883694968,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1441800397,5.0000817871
4/17/2014 3:57:23.001 PM,3,3311.7247922766,3315.7917831721,3316.1663198863,3314.1910527845,3313.1502446012,3314.7568742115,3314.8512300333,3314.8513127478,3315.6033321044,3312.0103261355,3313.6240163075,3312.8659206588,3314.1910528536,3313.4345581357,3313.7184998333,3313.6238219034,3312.295965904,3315.9789844528,3315.1337068013,3314.0021459121,3315.1335889002,3313.9076441278,3315.3214246283,3315.2276318854,3316.1663198863,3315.039507587,3315.6037289121,3314.7570515609,3314.8510853328,3314.2854427393,3313.4346053466,3314.5684673106,3315.2005710252,3315.3886229163,3315.2945660674,3315.858142088,3316.2334027226,3315.2006742718,3315.3886759335,3316.2330860441,13.8231895875,13.7554912094,13.504464765,13.5329123058,13.4472106363,13.3188153362,16.0391608641,15.9305236556,15.1381631582,15.3387941341,15.558754537,14.9395474146,14.6081991806,14.5237435066,13.0706395553,13.0977782417,12.8029999244,12.9161322686,12.7688376264,12.7385246259,12.5861198275,12.625478736,14.0469693919,13.8096704419,13.5104488913,13.4807764057,13.3637340787,13.1942652803,12.9604714289,12.9759064679,3316.3688889235,3316.836153113,3315.7129029385,3317.3961810968,3315.4311033505,3315.5250426147,2.4919073115,2.4959013661,2.5291066068,2.4901814765,2.4983673323,2.4857500593,2.5158647212,2.5356111053,2.4632238926,2.4960134526,2.5200646973,2.4855228685,2.5221134064,2.6593996001,2.513922591,2.5028920221,2.4920918445,2.5328408406,2.5429603878,2.4836309771,2.5117062709,2.548164733,2.5286045808,2.6769255112,2.5026157543,2.2717642737,2.4869219347,3.0226096163,2.8822744247,2.689023092,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1460761605,5.0000817871
4/17/2014 3:57:24.001 PM,4,3311.7246711697,3315.7916641451,3316.1662010543,3314.1909329305,3313.1501242154,3314.7567546486,3314.8511105191,3314.8511932336,3315.6032129795,3312.0102051723,3313.6238961633,3312.8658001285,3314.1909329997,3313.4344378947,3313.7183797374,3313.623701759,3312.2958450851,3315.9788655231,3315.133587433,3314.0020259613,3315.1334695318,3313.9075241286,3315.3213053571,3315.2275125657,3316.1662010543,3315.03938817,3315.6036097874,3314.7569319981,3314.8509658185,3314.2853229338,3313.4344851057,3314.5683476507,3315.2001997906,3315.3882519845,3315.2941949841,3315.8577719146,3316.2330331575,3315.2003030373,3315.3883050019,3316.2327164785,13.8247113049,13.7537332088,13.4876678361,13.5330614956,13.4407960487,13.307443241,16.0326081561,15.9347877724,15.1420476196,15.3394005863,15.5416794424,14.9415260121,14.6078146728,14.5219108196,13.0835295466,13.1092229507,12.7933783322,12.9241420753,12.7708959234,12.7319549313,12.5919212627,12.6211996978,14.0579394487,13.8251433722,13.5163104476,13.4879339977,13.3640999856,13.1932570767,12.9516771664,12.9566554891,3316.3689614746,3316.8362255147,3315.7129756984,3317.3962533186,3315.4311761998,3315.5251154343,2.4919436283,2.4958943459,2.5290994355,2.4900969487,2.4984279112,2.4860022812,2.5157160971,2.5356816042,2.4634417983,2.4959409683,2.5288316345,2.4855423984,2.5108384417,2.6685081809,2.5139706618,2.50283404,2.4920152346,2.5328269541,2.5431471641,2.483529654,2.511788651,2.5482767404,2.5286920198,2.676769083,2.5026191115,2.2736487823,2.4869005719,3.0274643165,2.8820516254,2.6878897155,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1477060279,5.0000817871
4/17/2014 3:57:25.001 PM,5,3311.7247855572,3315.7917765684,3316.1663132934,3314.1910461348,3313.1502379219,3314.7568675779,3314.8512234025,3314.8513061169,3315.6033254953,3312.0103194241,3313.6240096416,3312.8659139715,3314.1910462039,3313.4345514644,3313.7184931702,3313.6238152375,3312.2959592007,3315.9789778544,3315.1337001786,3314.002139257,3315.1335822775,3313.90763747,3315.321418011,3315.2276252654,3316.1663132934,3315.0395009616,3315.603722303,3314.7570449274,3314.8510787019,3314.2854360923,3313.4345986754,3314.5684606717,3315.1999478822,3315.3880002817,3315.2939431783,3315.8575207264,3316.232782382,3315.200051129,3315.3880532991,3316.2324657026,13.8262559114,13.7675630703,13.4868478012,13.532776001,13.4361595839,13.3050211626,16.0417664112,15.9317592946,15.1429057564,15.3378959367,15.5388793498,14.9484828325,14.6067668858,14.5281038992,13.0868294417,13.1141267202,12.8125582385,12.9338540141,12.7686249242,12.7294547839,12.5873582531,12.6182415857,14.0630602516,13.8181333226,13.5097556762,13.4729097971,13.3632698758,13.1823497276,12.9446635766,12.97574764,3316.3687899957,3316.8360543891,3315.7128037259,3317.3960826181,3315.4310040161,3315.5249433209,2.491602739,2.4963952216,2.5288487454,2.4902196208,2.4984396607,2.4848110555,2.5161741767,2.5357398955,2.4632541064,2.4961198138,2.5352793884,2.4853773099,2.5012661183,2.6739108831,2.513995384,2.5029396284,2.4919915801,2.5328078793,2.543217663,2.4836056463,2.5116820146,2.5482404219,2.5287045329,2.676463094,2.5025985102,2.2840969083,2.4869385672,3.0361985961,2.8830055418,2.6848135604,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1492211547,5.0000817871
4/17/2014 3:57:26.001 PM,6,3311.7246240733,3315.7916178575,3316.1661548427,3314.1908863214,3313.1500773995,3314.7567081527,3314.8510640421,3314.8511467566,3315.6031666539,3312.0101581319,3313.6238494412,3312.8657532564,3314.1908863906,3313.4343911351,3313.7183330341,3313.623655037,3312.2957981006,3315.9788192735,3315.1335410128,3314.0019793145,3315.1334231115,3313.907477463,3315.3212589747,3315.2274661643,3316.1661548427,3315.0393417308,3315.6035634618,3314.7568855022,3314.8509193414,3314.2852763435,3313.4344383461,3314.568301117,3315.2003257411,3315.3883778323,3315.2943208833,3315.8578975051,3316.2331585416,3315.2004289878,3315.3884308496,3316.2328418627,13.8213842857,13.7681058303,13.4854824423,13.5360655958,13.4356340407,13.2989260385,16.034540462,15.9255196419,15.1433719215,15.3382857728,15.5375923076,14.9349985891,14.6088341341,14.5281127705,13.0913397201,13.1176462409,12.8157731058,12.9189048183,12.7634414946,12.7336629817,12.5944699538,12.6340550788,14.0512455516,13.8195169163,13.5127428404,13.4747514202,13.3601503903,13.1866350874,12.9387195618,12.9687354255,3316.3687108547,3316.8359754111,3315.7127243571,3317.3960038364,3315.4309245498,3315.5248638871,2.4917980561,2.496251155,2.5291153039,2.490476103,2.4984553776,2.4854177307,2.5163850581,2.535793609,2.4634710965,2.4960219981,2.5440122986,2.4854790789,2.4871241251,2.6792989352,2.5140544424,2.5029295578,2.4920072989,2.5328304639,2.5429457387,2.4836843854,2.5117437996,2.5481683954,2.5286351006,2.6763616064,2.5026799998,2.2958992006,2.4869919742,3.0439276975,2.8846003873,2.683560086,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1499216528,5.0000817871
4/17/2014 3:57:27.001 PM,7,3311.7249604958,3315.7919485028,3316.1664849461,3314.1912192635,3313.1504118188,3314.7570402863,3314.8513960406,3314.8514787549,3315.6034975711,3312.010494155,3313.6241831897,3312.8660880772,3314.1912193326,3313.4347251522,3313.7186666485,3313.6239887857,3312.2961337233,3315.9791496481,3315.1338726059,3314.0023125256,3315.1337547049,3313.9078108086,3315.3215902979,3315.2277976225,3316.1664849461,3315.0396734592,3315.6038943785,3314.7572176356,3314.8512513401,3314.285609151,3313.4347723631,3314.5686335202,3315.200372149,3315.3884242024,3315.2943672722,3315.8579437804,3316.2332047408,3315.2004753957,3315.3884772196,3316.232888062,13.8263033784,13.7650923275,13.4883454257,13.5425897484,13.434909385,13.3049159531,16.0458499383,15.9215194196,15.1364732424,15.3320748527,15.53625897,14.9322164227,14.6051369112,14.5336391217,13.0969475378,13.1261563402,12.8067277766,12.9282538114,12.7639382063,12.7346942374,12.591758972,12.6352391115,14.0622493375,13.8209847778,13.5152034345,13.4770590805,13.3630691858,13.1844392687,12.9400356257,12.9686008227,3316.3689153084,3316.8361794437,3315.7129293994,3317.396207362,3315.4311298439,3315.5250690973,2.4917187085,2.4960939637,2.5291847282,2.4904432989,2.498459345,2.4859182072,2.5159382703,2.5356741271,2.4634280647,2.4960609108,2.5595767212,2.4854964727,2.461268081,2.6888003233,2.5139886693,2.5029233018,2.4920591861,2.5327878889,2.5429043854,2.4835757377,2.511740596,2.5482913899,2.5286183147,2.6762472994,2.5027619472,2.3017756992,2.4869988408,3.0516333019,2.8856318256,2.6838736835,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1507439104,5.0000817871
4/17/2014 3:57:28.001 PM,8,3311.7252094653,3315.7921931972,3316.1667292396,3314.1914656575,3313.150659306,3314.7572860821,3314.8516417363,3314.8517244506,3315.6037424667,3312.0107428289,3313.6244301804,3312.8663358614,3314.1914657266,3313.4349723416,3313.7189135399,3313.6242357766,3312.2963821008,3315.9793941423,3315.1341180017,3314.0025591187,3315.1340001008,3313.9080575011,3315.3218354941,3315.2280429185,3316.1667292396,3315.0399189552,3315.6041392737,3314.7574634312,3314.851497036,3314.2858554454,3313.4350195525,3314.5688795155,3315.2002594496,3315.3883115948,3315.2942546187,3315.857831403,3316.2330925481,3315.2003626963,3315.3883646121,3316.2327758692,13.8262860495,13.7598105034,13.4926791813,13.5392915486,13.4327547313,13.3061958233,16.039054763,15.9156348177,15.1355413301,15.3364016711,15.5427197106,14.9288448083,14.613734176,14.5349174696,13.0790777035,13.1047693532,12.8192293784,12.9223601436,12.7671277089,12.7355168228,12.5957131647,12.6184241626,14.0621415242,13.8135523169,13.5120424391,13.4731354656,13.3614345523,13.1936452388,12.9429811316,12.9736072927,3316.3690603993,3316.8363242356,3315.7130749079,3317.3963517941,3315.4312755311,3315.525214725,2.4917638756,2.4959914078,2.5292291292,2.4904530638,2.4984610235,2.4856354685,2.5154476887,2.5358010861,2.4634384412,2.4960850214,2.5815908813,2.4856656807,2.4234383178,2.7079172486,2.5140196483,2.5029094167,2.492114278,2.5328622044,2.5429403978,2.4836279252,2.511783159,2.5483075653,2.5285171418,2.6763161278,2.502749739,2.2959874129,2.4870459916,3.0466212947,2.884981435,2.6879626593,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1516159094,5.0000817871
4/17/2014 3:57:29.001 PM,9,3311.7247653701,3315.7917567279,3316.1662934854,3314.1910261564,3313.1502178549,3314.7568476481,3314.8512034808,3314.8512861952,3315.6033056384,3312.0102992609,3313.6239896149,3312.8658938805,3314.1910262256,3313.4345314216,3313.7184731515,3313.6237952108,3312.2959390615,3315.9789580302,3315.1336802812,3314.0021192625,3315.1335623801,3313.9076174675,3315.3213981298,3315.2276053761,3316.1662934854,3315.0394810561,3315.6037024461,3314.7570249976,3314.8510587802,3314.285416122,3313.4345786326,3314.5684407257,3315.2009356256,3315.3889872192,3315.2949305191,3315.8585056461,3316.2337656833,3315.201038872,3315.3890402363,3316.2334490053,13.8331772674,13.7599142947,13.4973633037,13.5412267419,13.430569041,13.3008825387,16.0414435117,15.9159669035,15.1479945963,15.3511385287,15.5646206137,14.9256709196,14.6472288452,14.5382989803,13.0962714381,13.1252508004,12.8379590362,12.9175801169,12.7928103303,12.7292832419,12.6301098767,12.6312028356,14.0612348288,13.8227931221,13.5192258674,13.481615098,13.3693056566,13.1880809001,12.9410814611,12.9815543276,3316.3694363137,3316.8366993756,3315.7134519045,3317.396726002,3315.4316529907,3315.5255920304,2.4917327469,2.4961704227,2.5291413952,2.4903627382,2.498363365,2.4856794128,2.5156117245,2.5367598408,2.4633752669,2.496173376,2.5961401367,2.4856798704,2.3950821674,2.7351035094,2.5140133915,2.502876611,2.4920678848,2.5328997437,2.5430235621,2.4836538663,2.5117079491,2.5482640747,2.5286437987,2.6760408141,2.5026149912,2.2878970593,2.4870188303,3.038957649,2.8836795857,2.6910444607,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.153635468,5.0000817871
