TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 11:11:03.043 AM,0,3306.8273435856,3310.9768225135,3311.3590953806,3309.3432975933,3308.2813962714,3309.9206616978,3310.0169475976,3310.0170320046,3310.784488034,3307.1185800495,3308.7647472602,3307.9913412394,3309.3432976639,3308.5714539572,3308.8611455985,3308.7645489178,3307.4099376943,3311.167887473,3310.305211503,3309.1505489694,3310.3050911836,3309.0541275557,3310.4967826031,3310.4010638344,3311.3590953806,3310.2090809179,3310.7848930123,3309.9208426735,3310.0167999359,3309.4396093633,3308.5715021231,3309.7284053587,3310.2436938047,3310.4357097287,3310.3396694411,3310.9151531117,3311.2983734955,3310.243799226,3310.4357638643,3311.2980500893,12.6664331754,12.6809286307,12.372542968,12.5508194587,10.6431982277,12.1805106905,13.2645305765,13.2105409517,12.8930678294,13.2742523139,13.3777538057,13.0285107098,12.7932797525,12.8524557469,11.1772968167,11.2707622382,11.0721785222,11.3588431543,11.2223003939,11.2037297985,11.0666524865,11.2031324583,12.0906843413,12.0225343714,11.8503420604,11.8641745698,11.7545971154,11.3606012518,10.8574332468,11.3057915505,3311.3690216052,3311.8463771451,3310.6989346911,3312.4185520195,3310.4111011584,3310.5070503016,2.497203151,2.4943149547,2.5296430807,2.4857303429,2.4929083726,2.4799329349,2.5194448222,2.5374407199,2.4664967511,2.5036458252,2.35019104,2.493465883,2.9177168018,2.4147333245,2.5143457668,2.5013800641,2.4900288712,2.5317387734,2.542953521,2.4828235967,2.5128109268,2.5501875803,2.5287915141,2.6429442587,2.5007712515,2.5976803329,2.4857257702,3.0705156412,2.2736468092,3.4052715758,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9534780718,5.0000817871
4/17/2014 11:11:04.043 AM,1,3306.8276557488,3310.977129519,3311.3594019024,3309.3436066495,3308.2817066464,3309.9209700322,3310.0172558113,3310.0173402182,3310.7847952824,3307.1188918562,3308.7650570363,3307.9916519727,3309.34360672,3308.5717639731,3308.8614552548,3308.7648586941,3307.4102491435,3311.168194237,3310.3055193549,3309.1508582658,3310.3053990356,3309.054436972,3310.497090214,3310.4013715658,3311.3594019024,3310.2093888905,3310.7852002602,3309.9211510077,3310.0171081498,3309.4399182993,3308.5718121389,3309.7287139338,3310.2436254391,3310.4356414166,3310.3396011022,3310.9150849338,3311.2983054252,3310.2437308604,3310.4356955523,3311.297982019,12.6712615912,12.6835452295,12.3678275235,12.5534359015,10.64375419,12.1870213883,13.264932698,13.2216310597,12.8962949102,13.2790811607,13.3767059462,13.0356297143,12.7936057521,12.8608693884,11.2001538023,11.2856809571,11.0453023231,11.3771962209,11.2184237074,11.1990886236,11.0717184588,11.1970400083,12.0903887668,12.019336353,11.852033103,11.8720526997,11.7576634649,11.359999808,10.8571377485,11.3132127851,3311.3693139511,3311.8466689128,3310.6992278449,3312.4188430912,3310.4113946578,3310.5073436859,2.497246487,2.4944951906,2.5294381648,2.4857254605,2.4929535397,2.4796694218,2.5193814967,2.5373760196,2.4665043808,2.5036922152,2.3557772827,2.4934802253,2.9047933567,2.4097687534,2.5142719056,2.5013942544,2.4900123894,2.5317856212,2.542880428,2.4829409423,2.5129483795,2.5500407805,2.5287980759,2.6430451358,2.5006879307,2.5901349728,2.4857398086,3.0611846323,2.2752176962,3.3978816618,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9558410897,5.0000817871
4/17/2014 11:11:05.043 AM,2,3306.8283078112,3310.9777708077,3311.3600421806,3309.3442522215,3308.2823549734,3309.9216140966,3310.0178996236,3310.0179840303,3310.7854370782,3307.1195431738,3308.7657041121,3307.9923010482,3309.3442522921,3308.5724115499,3308.8621020806,3308.7655057705,3307.4108997143,3311.1688350211,3310.3061624114,3309.1515043396,3310.3060420924,3309.0550832966,3310.4977327672,3310.4020143706,3311.3600421806,3310.2100321993,3310.785842055,3309.9217950717,3310.0177519626,3309.4405636203,3308.5724597155,3309.729358501,3310.2443433189,3310.4363587337,3310.3403187009,3310.9158008421,3311.2990202035,3310.2444487399,3310.4364128692,3311.2986967983,12.6649016291,12.6799305633,12.3679537672,12.5507375352,10.6436513175,12.1892093964,13.2617782925,13.2093900791,12.8934438192,13.2753151643,13.3723289952,13.0323215369,12.7932741675,12.8538237652,11.1759167491,11.2686174772,11.0474919738,11.3524977173,11.219543529,11.1981452448,11.0641240787,11.193116638,12.0889932042,12.0203085586,11.8487267257,11.8563722508,11.7500017055,11.3561576752,10.8555883647,11.3122752509,3311.370408574,3311.8477613709,3310.7003254927,3312.4199329435,3310.4124936,3310.5084421969,2.4970913015,2.4942909945,2.5293582125,2.4854509742,2.4929988593,2.4799291203,2.5194750353,2.5374172202,2.4665519905,2.5036607799,2.352401886,2.4934936521,2.9018387551,2.4078419529,2.5142572555,2.5014554407,2.4899963655,2.5318091213,2.5426869375,2.4828611351,2.5129685169,2.5498640713,2.5288108942,2.6428215579,2.5006891515,2.5905598572,2.4857039496,3.0616316834,2.2754534666,3.3947418716,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9580944021,5.0000817871
4/17/2014 11:11:06.043 AM,3,3306.8295564566,3310.9789988225,3311.3612682605,3309.3454884385,3308.2835964659,3309.9228474267,3310.019132471,3310.0192168773,3310.7866660643,3307.120790393,3308.7669432088,3307.9935439741,3309.3454885091,3308.5736516057,3308.8633406984,3308.7667448682,3307.4121455035,3311.1700620695,3310.3073938113,3309.1527415174,3310.307273493,3309.0563209545,3310.4989632034,3310.4032452885,3311.3612682605,3310.2112640823,3310.787071039,3309.9230284009,3310.0189848107,3309.4417993567,3308.5736997712,3309.7305927939,3310.2446167921,3310.4366319926,3310.340592067,3310.9160735643,3311.2992924952,3310.244722213,3310.436686128,3311.2989690903,12.6666506612,12.6843524264,12.3688640289,12.5484408005,10.6485376684,12.1955402606,13.2571940325,13.2163306704,12.8962622139,13.2711877239,13.3722461744,13.0376582373,12.7974657806,12.8551910356,11.1862210796,11.275869215,11.0564258892,11.3512690975,11.2122006242,11.2024949096,11.0678633597,11.1904358406,12.0901352272,12.0148817844,11.8442150472,11.8538479924,11.7569511527,11.3476710437,10.8517633614,11.307992948,3311.3708708887,3311.8482227713,3310.700789085,3312.4203932433,3310.412957739,3310.5089061538,2.4971619513,2.4944803872,2.5295016384,2.4855179555,2.4929823795,2.4800170089,2.5194884634,2.5374100483,2.466529559,2.5036363641,2.3451197815,2.4934638995,2.9019827778,2.4086480166,2.5141731697,2.5014372832,2.4900378752,2.5317699035,2.5427098267,2.4828747161,2.5129993331,2.5497725121,2.5288305794,2.6429743234,2.5008499942,2.5909455191,2.4856874697,3.0581849653,2.2754948218,3.3922355331,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9598789864,5.0000817871
4/17/2014 11:11:07.043 AM,4,3306.8300143039,3310.9794491053,3311.3617178338,3309.3459417288,3308.2840516905,3309.9232996584,3310.0195845257,3310.0196689319,3310.7871167032,3307.1212477174,3308.7673975549,3307.9939997242,3309.3459417993,3308.5741063035,3308.8637948689,3308.7671992146,3307.4126023035,3311.1705119979,3310.3078453353,3309.15319516,3310.3077250172,3309.0567747731,3310.499414374,3310.4036966358,3311.3617178338,3310.2117157834,3310.7875216772,3309.9234806322,3310.0194368657,3309.4422524707,3308.5741544689,3309.7310453786,3310.2457312047,3310.4377455316,3310.3417060431,3310.9171849162,3311.3004020931,3310.2458366251,3310.4377996668,3311.3000786897,12.6641238087,12.693582122,12.3690076222,12.5413317253,10.6430242797,12.2038539321,13.2564987439,13.2135733018,12.8938866696,13.2662946296,13.3755193361,13.0459689145,12.8008917618,12.8493076053,11.1927048586,11.2619555276,11.0572577763,11.3568366605,11.2115039213,11.1995821104,11.0669371024,11.1982213342,12.078850748,12.0142908707,11.8423251177,11.8589097926,11.7529216161,11.3467740734,10.8469687441,11.3129031997,3311.3714555943,3311.8488063206,3310.7013754064,3312.4209754007,3310.4135447519,3310.5094929363,2.4972193257,2.4943694376,2.5295025538,2.4853353207,2.4930135081,2.480033488,2.5195021966,2.5374044023,2.4665243708,2.5036339225,2.3355915833,2.4934848026,2.9033985943,2.4089448348,2.5141083123,2.5014844318,2.4901334087,2.5317729555,2.5428560128,2.4828541157,2.513000401,2.5498788733,2.528830732,2.6434990067,2.5008272565,2.5918194012,2.4857140206,3.0603015157,2.2755180173,3.3899719847,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9612062862,5.0000817871
4/17/2014 11:11:08.043 AM,5,3306.8304235749,3310.979851614,3311.3621197083,3309.346346926,3308.2844586169,3309.9237039094,3310.0199886184,3310.0200730244,3310.7875195303,3307.1216565209,3308.767803696,3307.9944071204,3309.3463469965,3308.574512759,3308.8642008531,3308.7676053561,3307.4130106383,3311.1709141899,3310.3082489536,3309.1536006721,3310.3081286357,3309.0571804427,3310.4998176765,3310.4041000961,3311.3621197083,3310.21211956,3310.7879245036,3309.9238848829,3310.0198409587,3309.4426575104,3308.5745609243,3309.7314499452,3310.2453551799,3310.4373698015,3310.3413301655,3310.9168099241,3311.3000276929,3310.2454606004,3310.4374239368,3311.2997042889,12.6552705836,12.6811360916,12.3630487819,12.5433159658,10.6405772502,12.1959889091,13.2565741829,13.2059385069,12.8953364021,13.265454272,13.3726181663,13.0326873266,12.8031806315,12.8466360672,11.1743737115,11.2809020271,11.0579445303,11.3692102273,11.2082934559,11.1968301264,11.0643373386,11.1934063386,12.0811260548,12.0203089303,11.8441424903,11.8625600673,11.7483209417,11.3413317741,10.8477168443,11.2937095744,3311.3718091306,3311.8491591577,3310.7017299197,3312.4213273962,3310.4138996832,3310.5098477285,2.4971729379,2.4943883616,2.5295347484,2.4853553083,2.4929919927,2.4799959522,2.5194706102,2.5373720521,2.4665428348,2.5036189678,2.3239527893,2.4934329263,2.9063312264,2.4089901588,2.5142204775,2.5014610864,2.4900755697,2.5317196986,2.5427321056,2.4828692226,2.5129616519,2.5498866558,2.5288691868,2.6430117136,2.5008046714,2.5968482677,2.4856850283,3.0659177284,2.2746669549,3.3918564692,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9618254589,5.0000817871
4/17/2014 11:11:09.043 AM,6,3306.831450219,3310.9808612952,3311.3631277986,3309.3473633512,3308.2854793798,3309.924717961,3310.0210022731,3310.0210866788,3310.7885300102,3307.1226819924,3308.768822489,3307.9954290618,3309.3473634218,3308.5755323407,3308.8652192523,3308.7686241499,3307.414034934,3311.1719230766,3310.3092614182,3309.1546178874,3310.3091411008,3309.0581980527,3310.5008293486,3310.4051121643,3311.3631277986,3310.2131324218,3310.7889349817,3309.9248989337,3310.0208546139,3309.4436735404,3308.5755805058,3309.7324647883,3310.2461482618,3310.4381622618,3310.3421229369,3310.917600828,3311.3008173484,3310.246253682,3310.4382163969,3311.3004939455,12.6634714361,12.6738413004,12.375076668,12.5473973983,10.638930184,12.199383579,13.2645443752,13.2084163837,12.8946079217,13.2647259749,13.3582275151,13.0380651384,12.8031394258,12.8449165582,11.1855598879,11.2839933002,11.047816717,11.3722245634,11.2131429035,11.1977820291,11.0723984586,11.1867933371,12.0832347804,12.0191332284,11.8453350272,11.8545858662,11.7484438316,11.340155442,10.8411140737,11.3048346433,3311.3723326269,3311.8496816186,3310.7022548627,3312.4218486109,3310.4144252452,3310.5103730843,2.4972667816,2.4944677203,2.5295568726,2.4855373328,2.4930437212,2.4800774323,2.5194852589,2.5373546563,2.4665207085,2.5036449096,2.3171739197,2.4933223079,2.9057731383,2.4097397583,2.5142305495,2.5014525416,2.4900435217,2.5317042861,2.5424946677,2.4829114915,2.5130479984,2.5497381774,2.5288389723,2.6425575375,2.5008068078,2.5984049561,2.4856738891,3.073627605,2.2744404932,3.3922205781,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9629695092,5.0000817871
4/17/2014 11:11:10.043 AM,7,3306.8317138127,3310.9811205335,3311.3633866284,3309.3476243211,3308.2857414633,3309.9249783214,3310.0212625316,3310.0213469372,3310.7887894535,3307.1229452849,3308.7690840668,3307.995691448,3309.3476243917,3308.575794121,3308.865480729,3308.7688857279,3307.4142979246,3311.1721821108,3310.3095213711,3309.1548790601,3310.3094010538,3309.0584593268,3310.5010890981,3310.4053720155,3311.3633866284,3310.2133924767,3310.7891944246,3309.925159294,3310.0211148726,3309.4439344088,3308.575842286,3309.732725352,3310.2467635736,3310.4387770912,3310.3427380077,3310.9182144499,3311.3014300017,3310.2468689936,3310.4388312262,3311.3011065996,12.6672538778,12.6793052205,12.3725984798,12.5417906743,10.6368325208,12.2078252763,13.2594754794,13.2080774734,12.8878561658,13.2676689327,13.3575833615,13.0363525756,12.7999768899,12.8479352844,11.1781945014,11.2781532499,11.053667201,11.3608863736,11.2105874938,11.1994297964,11.0650263061,11.1885174769,12.0823333359,12.0134959697,11.8441273587,11.8600245427,11.7496047612,11.3357377446,10.8355500115,11.3081352328,3311.3732844389,3311.8506315482,3310.703209305,3312.4227962745,3310.4153808131,3310.5113282772,2.49713479,2.4946825993,2.5295091148,2.4856302523,2.4928928083,2.4795513216,2.5194928885,2.5373497732,2.4665387147,2.5036307179,2.3132983398,2.4933282584,2.9039334923,2.4102329802,2.5142171202,2.5014462857,2.4901501957,2.5317233609,2.542000565,2.4829395689,2.513041286,2.549825769,2.52887407,2.6421903508,2.5007608746,2.6004985493,2.4857677328,3.0741993117,2.274108736,3.392845484,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9640372692,5.0000817871
4/17/2014 11:11:11.043 AM,8,3306.8323520075,3310.9817481838,3311.3640132898,3309.3482561636,3308.2863760022,3309.9256086884,3310.0218926519,3310.0219770572,3310.7894176002,3307.1235827508,3308.7697173812,3307.9963267195,3309.3482562342,3308.5764279256,3308.8661137986,3308.7695190427,3307.4149346596,3311.1728092672,3310.3101507516,3309.1555113938,3310.3100304346,3309.0590919058,3310.501717986,3310.4060011496,3311.3640132898,3310.2140221041,3310.7898225703,3309.9257896605,3310.0217449932,3309.4445660057,3308.5764760905,3309.7333562111,3310.2470780593,3310.4390913304,3310.3430523702,3310.9185280719,3311.3017431287,3310.2471834792,3310.4391454654,3311.3014197271,12.6704862799,12.688646997,12.3689587548,12.5478491787,10.6325782472,12.2095319958,13.2575949466,13.1975693663,12.8822338964,13.2718172687,13.3595185214,13.0378298922,12.7990881189,12.8558977283,11.1872339353,11.2665674105,11.0374184659,11.3635105231,11.2045772287,11.1935722656,11.064594701,11.1925944736,12.0798890904,12.0149472343,11.8365633056,11.8594897674,11.7460136401,11.3388711546,10.8364671353,11.2935419747,3311.3732844389,3311.8506315481,3310.703209305,3312.4227962745,3310.4153808131,3310.5113282772,2.4971218197,2.4944816081,2.5295535158,2.4857416336,2.492905626,2.4797628034,2.5194683213,2.537326121,2.4664927836,2.5036642896,2.3136154175,2.4933569429,2.8966087777,2.4100800692,2.514148295,2.5013992897,2.4901224208,2.5317415202,2.5424423276,2.482779039,2.5129320561,2.5496225076,2.5288560634,2.6420484208,2.5007308119,2.601019582,2.4857420975,3.0721471488,2.2743068137,3.3925491306,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.9655580415,5.0000817871
4/17/2014 11:11:12.043 AM,9,3306.8331219626,3310.9825054167,3311.3647693295,3309.3490184546,3308.2871415464,3309.9263691991,3310.0226528649,3310.02273727,3310.7901754321,3307.1243518264,3308.770481448,3307.9970931476,3309.3490185252,3308.5771925838,3308.86687757,3308.7702831101,3307.4157028534,3311.1735659042,3310.3109100721,3309.1562742773,3310.3107897555,3309.0598550853,3310.5024767121,3310.4067601728,3311.3647693295,3310.2147817224,3310.790580401,3309.9265501707,3310.0225052067,3309.4453280002,3308.5772407486,3309.7341173155,3310.2476318339,3310.4396446708,3310.3436059278,3310.9190803255,3311.3022945106,3310.2477372534,3310.4396988057,3311.3019711097,12.6720055524,12.6850514425,12.3635278521,12.5560112244,10.6370815008,12.204027604,13.2597243325,13.199852419,12.8760426894,13.2771524305,13.3650831995,13.0330141523,12.7972490636,12.8533730043,11.15835696,11.2433342405,11.0526174069,11.3383724659,11.2070153679,11.1963161099,11.0675687049,11.1894541001,12.081342307,12.0147200785,11.8383989073,11.8592626703,11.7492246645,11.3450633068,10.8472453776,11.2915575692,3311.3737535504,3311.8510997319,3310.7036797129,3312.4232633415,3310.4158517758,3310.5117990551,2.497252438,2.4944394869,2.5296249236,2.4857613161,2.49301656,2.4796916991,2.5194735094,2.5373003324,2.4665104846,2.5036923678,2.313467865,2.4933458048,2.8919342946,2.4101739217,2.5142896079,2.5014011207,2.4900984611,2.5317436565,2.5425888189,2.482905998,2.5129334291,2.5499853872,2.5289251905,2.6421222854,2.5007112788,2.6040803061,2.4858019133,3.0716404401,2.2739988624,3.394591711,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-3.966545544,5.0000817871
