TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 2:44:54.497 PM,0,3311.4652101944,3315.5366539942,3315.9116083106,3313.9341533113,3312.8922064674,3314.5005978333,3314.5950578438,3314.5951406496,3315.3479932967,3311.7510519027,3313.3664952897,3312.6075731433,3313.9341533805,3313.1768300874,3313.4610821819,3313.366300673,3312.0370003437,3315.7240638388,3314.8778470097,3313.7450390528,3314.877728978,3313.6504336426,3315.065772841,3314.971876129,3315.9116083106,3314.7835435374,3315.3483905454,3314.5007753785,3314.5949129834,3314.0286470096,3313.1768773499,3314.3119831333,3314.8269263597,3315.0152826592,3314.9210734969,3315.4855639332,3315.8614358107,3314.8270297732,3315.0153357623,3315.8611186156,13.8684615622,13.8211619179,13.626977789,13.7033752734,13.5498169554,13.4051510818,15.666361389,15.4454620287,14.8075743971,15.1188604955,15.3709595473,15.0515532551,14.8604826786,14.9192943147,12.5782921329,12.7027047566,12.5524617401,12.8486242867,12.7194425125,12.7189081251,12.62154698,12.7155390265,13.6060268941,13.5982206317,13.3615794008,13.4221467929,13.3622513033,13.232784737,13.0409732593,13.1059927797,3315.9616339962,3316.4297357393,3315.3044776638,3316.9907718725,3315.0221772675,3315.1162833489,2.4921899109,2.4959683632,2.5290240606,2.4900157777,2.4979187134,2.4838758662,2.5168457317,2.5346654738,2.464072321,2.4962191555,2.3348219299,2.4877450023,2.6334214537,2.4640390292,2.5135059773,2.5005315427,2.4897016768,2.5314122123,2.541160987,2.4818489722,2.5122592854,2.5488395241,2.5282749678,3.1834496529,2.5005827878,2.5032169728,2.4856349783,3.2911855502,2.9329693323,2.6750084114,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1602368737,5.0000817871
4/17/2014 2:44:55.497 PM,1,3311.4650013473,3315.536448726,3315.911403378,3313.9339466202,3312.8919988612,3314.5003916431,3314.5948517373,3314.5949345432,3315.34778786,3311.750843303,3313.3662880991,3312.6073652885,3313.9339466895,3313.1766227304,3313.4608750744,3313.3660934822,3312.0367919922,3315.7238587382,3314.8776411542,3313.7448321951,3314.8775231225,3313.6502267016,3315.0655671528,3314.9716703572,3315.911403378,3314.7833375982,3315.3481851091,3314.5005691884,3314.5947068767,3314.0284404019,3313.176669993,3314.311776776,3314.8271920032,3315.0155480866,3314.9213390325,3315.4858288197,3315.8617002634,3314.8272954167,3315.0156011897,3315.8613830686,13.8670042533,13.8101666566,13.620557609,13.702527459,13.5511820837,13.3985048476,15.6658957316,15.4393554024,14.8058883708,15.1238828908,15.3768202029,15.0447605727,14.8581877682,14.9176856806,12.6022466717,12.6998717033,12.5472615845,12.8441131813,12.7245498421,12.7198921088,12.6260446293,12.7091936846,13.6146399351,13.5989736721,13.3588974644,13.4170234881,13.3632334155,13.228041579,13.0334061246,13.1003345506,3315.9617132846,3316.4298148649,3315.3045571797,3316.9908508022,3315.0222568807,3315.1163629297,2.4921531364,2.4960085004,2.5290495416,2.4900136416,2.4979011654,2.4839217941,2.5167500569,2.5347286482,2.4640331041,2.4962180874,2.327191925,2.4876877859,2.6375988753,2.4622848259,2.5135290207,2.500592729,2.4896406331,2.5313589554,2.5412391157,2.4818895625,2.5122466233,2.5489112455,2.5283013674,3.1847058099,2.500540517,2.5037988995,2.4855882853,3.2918738258,2.9326989212,2.6754778158,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1634325246,5.0000817871
4/17/2014 2:44:56.497 PM,2,3311.4654662031,3315.536905616,3315.911859521,3313.9344066771,3312.8924609551,3314.5008505853,3314.5953104932,3314.5953932989,3315.3482451251,3311.7513076081,3313.3667492679,3312.6078279358,3313.9344067464,3313.1770842696,3313.4613360583,3313.3665546514,3312.0372557451,3315.7243152552,3314.8780993513,3313.745292623,3314.8779813197,3313.6506873149,3315.0660249777,3314.9721283681,3315.911859521,3314.7837959817,3315.3486423733,3314.5010281303,3314.5951656329,3314.0289002732,3313.177131532,3314.31223609,3314.8276967107,3315.0160523835,3314.9218435348,3315.4863320887,3315.862202708,3314.8278001239,3315.0161054865,3315.8618855139,13.8645250797,13.82058002,13.6248689211,13.7010388532,13.5516771024,13.4060191378,15.6681421688,15.4430511619,14.806611667,15.1222430673,15.37670503,15.0521915249,14.8549472206,14.9198565629,12.6157151821,12.7286119062,12.5589037137,12.8441501426,12.7282521775,12.7141262364,12.6352464969,12.723431391,13.6128643381,13.606278848,13.358800644,13.4131107598,13.3611518999,13.2332886059,13.0419349656,13.0981770318,3315.9618718712,3316.429973126,3315.3047162212,3316.9910086714,3315.0224161169,3315.1165221011,2.4922192085,2.4960222356,2.5290532036,2.4900557529,2.4978324992,2.4839352215,2.5167418169,2.5347486381,2.464116421,2.49630339,2.3205638123,2.4876446065,2.6417166434,2.4597607264,2.5135503855,2.5006305699,2.4896536049,2.5314650115,2.5413213644,2.4819867655,2.5122258757,2.5489379502,2.5282740522,3.1859605934,2.5005582188,2.5054804282,2.4855660069,3.2949627504,2.9326896125,2.675922346,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1661458679,5.0000817871
4/17/2014 2:44:57.497 PM,3,3311.4659377797,3315.5373691113,3315.9123222584,3313.9348733852,3312.8929297297,3314.5013161626,3314.5957758813,3314.5958586869,3315.3487090008,3311.751778626,3313.367217104,3312.6082972718,3313.9348734545,3313.1775524814,3313.4618037068,3313.3670224879,3312.0377262028,3315.7247783719,3314.8785641725,3313.7457597075,3314.8784461412,3313.6511545874,3315.0664894214,3314.9725930005,3315.9123222584,3314.7842609921,3315.3491062483,3314.5014937072,3314.5956310214,3314.0293667931,3313.1775997438,3314.3127020444,3314.8277631173,3315.0161187361,3314.9219099144,3315.4863983061,3315.8622688169,3314.8278665305,3315.016171839,3315.8619516229,13.8609199286,13.8064438733,13.6227868325,13.6950668672,13.5489845547,13.4017253423,15.6656070811,15.4383039761,14.7987368321,15.1155139837,15.3814095493,15.0454625865,14.8515723217,14.9158732204,12.5888315157,12.6994296558,12.5556757754,12.8714513492,12.7254057059,12.7150976212,12.6233108178,12.6927183069,13.6096515153,13.5990217368,13.3635256583,13.4144769462,13.3632052192,13.2338149235,13.0431488507,13.1006118379,3315.9628695883,3316.4309687946,3315.3057168007,3316.9920018744,3315.0234179212,3315.1175234974,2.4922248544,2.4959622587,2.5290324526,2.489928351,2.4978080846,2.4839169114,2.5166607909,2.5345966535,2.4639702349,2.4961829897,2.3145365906,2.487692058,2.6458560759,2.4571421639,2.513434863,2.5006426241,2.4896003442,2.5313903907,2.5413204489,2.4819382403,2.5122139763,2.548915976,2.5282044673,3.1872091198,2.500503282,2.507204079,2.4855161095,3.2979521948,2.9325757713,2.6763192643,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1697753059,5.0000817871
4/17/2014 2:44:58.497 PM,4,3311.466315049,3315.5377399156,3315.9126924563,3313.9352467598,3312.8933047574,3314.5016886325,3314.5961482,3314.5962310054,3315.3490801094,3311.7521554484,3313.3675913809,3312.6086727487,3313.935246829,3313.1779270589,3313.4621778336,3313.3673967651,3312.038102577,3315.7251488734,3314.8789360375,3313.7461333831,3314.8788180064,3313.6515284135,3315.0668609845,3314.9729647145,3315.9126924563,3314.7846330086,3315.3494773563,3314.5018661768,3314.5960033402,3314.029740017,3313.1779743212,3314.313074816,3314.8284537776,3315.0168088346,3314.922600294,3315.4870869981,3315.8629563807,3314.8285571905,3315.0168619374,3315.8626391877,13.8577561907,13.8070169053,13.6193142387,13.6951056574,13.5514654908,13.4077154158,15.6627514331,15.4432973934,14.8076968128,15.1195165838,15.3796951655,15.0468733341,14.854812559,14.9133978034,12.6000888161,12.7153469409,12.5482324945,12.8348568294,12.7286514173,12.7175033606,12.6225858225,12.7035223053,13.6147786579,13.595754751,13.3638451971,13.4133463812,13.3617691063,13.2309283003,13.031636905,13.0951308699,3315.9632528157,3316.4313512352,3315.3061011275,3316.9923833678,3315.0238027185,3315.117908138,2.4922411817,2.4960036168,2.5290222297,2.4898917325,2.4977928255,2.4838148325,2.516701075,2.5345821569,2.4639888515,2.4962719547,2.3112863159,2.4876922106,2.6485325489,2.4555301891,2.5134052575,2.5005669423,2.4896525366,2.5312760944,2.5413054945,2.4818672836,2.5121219853,2.5489060571,2.5282623021,3.1883454756,2.50055242,2.5100415251,2.4855229761,3.3010063318,2.9329009665,2.6763207903,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.172176469,5.0000817871
4/17/2014 2:44:59.497 PM,5,3311.4668001045,3315.5382166588,3315.9131684201,3313.9357268076,3312.8937869307,3314.5021675172,3314.5966268902,3314.5967096954,3315.349557244,3311.7526399292,3313.368072589,3312.6091554996,3313.9357268768,3313.1784086534,3313.4626588488,3313.3678779736,3312.0385864816,3315.7256252273,3314.8794141446,3313.7466138181,3314.8792961137,3313.6520090419,3315.0673387033,3314.9734426274,3315.9131684201,3314.7851113103,3315.34995449,3314.5023450612,3314.5964820307,3314.0302198711,3313.1784559156,3314.3135540886,3314.828553385,3315.016908361,3314.922699861,3315.4871863216,3315.8630555416,3314.8286567979,3315.0169614638,3315.8627383487,13.8605841379,13.8033608929,13.6231371842,13.69679046,13.5521588484,13.3991764586,15.667175954,15.4418555225,14.8027469412,15.1175409452,15.3783293346,15.042839617,14.8584012735,14.9147755913,12.594677011,12.7126053685,12.5527434285,12.8481429113,12.7204113638,12.7144554339,12.6198426821,12.7136064419,13.6173395192,13.5890818436,13.3469409946,13.4130073113,13.3618878146,13.2260851593,13.0325952777,13.0799845653,3315.9631206705,3316.4312193613,3315.3059686032,3316.9922518205,3315.0236700319,3315.1177755055,2.4922564408,2.4960109422,2.5290944004,2.4899503221,2.4978447066,2.4838702206,2.5167438006,2.5346387697,2.4640952103,2.496283247,2.3102351379,2.4875962396,2.6486301914,2.4550329995,2.5135529798,2.5005638906,2.4895597501,2.5312844873,2.5413604288,2.4818225732,2.5120804901,2.5490147073,2.5282336136,3.1895367721,2.5004266757,2.5105251668,2.4855121421,3.3031146431,2.9329043238,2.6771388907,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1746691805,5.0000817871
4/17/2014 2:45:00.497 PM,6,3311.4667866314,3315.5382034166,3315.9131551995,3313.9357134736,3312.8937735377,3314.5021542155,3314.5966135939,3314.5966963991,3315.3495439909,3311.752626472,3313.3680592228,3312.6091420905,3313.9357135428,3313.1783952765,3313.4626454879,3313.3678646073,3312.0385730405,3315.7256119959,3314.8794008645,3313.7466004733,3314.8792828336,3313.6519956918,3315.067325434,3314.9734293527,3315.9131551995,3314.7850980248,3315.349941237,3314.5023317595,3314.5964687344,3314.0302065425,3313.1784425387,3314.3135407761,3314.8287061287,3315.0170609805,3314.9228525426,3315.48733863,3315.8632076005,3314.8288095415,3315.0171140832,3315.8628904078,13.8610920439,13.8150084911,13.6302861266,13.698519242,13.5546514666,13.4080771613,15.6606751079,15.443430225,14.807448602,15.1197256383,15.3901942426,15.0456343277,14.8538783144,14.9146737143,12.6147977875,12.7221977591,12.5501981343,12.8426985779,12.722446977,12.7157276789,12.619129291,12.7182377696,13.6196178748,13.5953285104,13.3492965221,13.4120042516,13.3630981319,13.2334027567,13.0423549654,13.0840953576,3315.9637483716,3316.4318457737,3315.3065981052,3316.9928766817,3315.0243003046,3315.1184055214,2.4922370617,2.4960355129,2.5290609852,2.4899434561,2.4978668323,2.4839088244,2.5166900884,2.5345479756,2.4640366138,2.4962576104,2.3076417542,2.4876919055,2.6498203622,2.4540694466,2.5135906735,2.5005861679,2.489584015,2.5313893225,2.5414558007,2.4818120442,2.5121474621,2.5490687272,2.5282149966,3.190496097,2.5004294226,2.5120910122,2.4855667699,3.3056124838,2.9330544844,2.6772586834,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.177314778,5.0000817871
4/17/2014 2:45:01.497 PM,7,3311.4667327385,3315.5381504474,3315.9131023169,3313.9356601372,3312.8937199651,3314.5021010083,3314.5965604083,3314.5966432136,3315.3494909782,3311.752572643,3313.3680057574,3312.6090884537,3313.9356602064,3313.1783417682,3313.462592044,3313.3678111419,3312.0385192755,3315.72555907,3314.8793477437,3313.7465470939,3314.8792297128,3313.6519422908,3315.0672723563,3314.9733762535,3315.9131023169,3314.7850448823,3315.3498882243,3314.5022785523,3314.5964155488,3314.0301532276,3313.1783890304,3314.3134875258,3314.8290248955,3315.0173794879,3314.9231711798,3315.4876564883,3315.8635249381,3314.8291283081,3315.0174325906,3315.8632077459,13.8628815262,13.8074143553,13.6289476944,13.6964187109,13.5587321598,13.4004832355,15.6617770822,15.440187867,14.8024515301,15.1226576463,15.3882479451,15.0464319311,14.8532279354,14.912270928,12.5981971715,12.7046756698,12.5565705748,12.8510531079,12.7194282493,12.7130905891,12.6194703265,12.7115548172,13.6145828319,13.6005190457,13.3642600547,13.4122346643,13.3689011722,13.2322592989,13.0446463874,13.0893632723,3315.9632924578,3316.4313907959,3315.3061408834,3316.9924228306,3315.0238425231,3315.1179479263,2.4921984561,2.495956612,2.5290063613,2.4899082108,2.4978610339,2.4838757136,2.516636834,2.5345939067,2.4640210491,2.4962031327,2.3044421387,2.4876397241,2.6521289975,2.4518491852,2.5135841114,2.500595323,2.4895403687,2.5313736049,2.5415673476,2.4819144354,2.5120807952,2.5490597239,2.5282000419,3.1915810223,2.5004451406,2.5140928829,2.4854950519,3.3080230504,2.9331303276,2.6768097278,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.179972887,5.0000817871
4/17/2014 2:45:02.497 PM,8,3311.4672110547,3315.5386205667,3315.9135716675,3313.9361335152,3312.8941954392,3314.5025732394,3314.5970324476,3314.5971152527,3315.3499614834,3311.7530503925,3313.3684802796,3312.6095644973,3313.9361335845,3313.1788166715,3313.4630663759,3313.3682856645,3312.0389964568,3315.7260288054,3314.879819208,3313.7470208537,3314.8797011773,3313.6524162414,3315.0677434377,3314.9738475262,3315.9135716675,3314.7855165385,3315.3503587288,3314.5027507831,3314.5968875884,3314.0306264147,3313.1788639336,3314.3139601394,3314.8294233473,3315.0177776156,3314.9235694697,3315.4880538045,3315.8639216035,3314.8295267598,3315.0178307182,3315.8636044118,13.8581028593,13.8062950603,13.628591255,13.6988853681,13.5513541811,13.396541303,15.6639354132,15.437545341,14.8081191415,15.1225303475,15.382327823,15.0401305003,14.8582077449,14.9117630595,12.6152406346,12.7209608476,12.5595733108,12.8520704931,12.719758973,12.7105961248,12.6243834215,12.6992118075,13.6151408292,13.5911566262,13.3557339493,13.4119532715,13.3676271776,13.2328171664,13.0384873571,13.100835954,3315.9641448086,3316.4322413967,3315.3069956795,3316.9932713249,3315.0246983656,3315.1188034203,2.4921691585,2.4959366197,2.5290565603,2.4900250849,2.4978215127,2.4838711361,2.5166261526,2.5345859718,2.4641640306,2.4962333472,2.2972645569,2.4876731385,2.6561387486,2.4527603943,2.5135244426,2.5006226356,2.4895640232,2.5312921172,2.5411886067,2.4819444967,2.5121216801,2.5487565105,2.5282235421,3.1928773165,2.5005536408,2.5222705331,2.4855473908,3.3082802955,2.9346035493,2.6748056031,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1815009831,5.0000817871
4/17/2014 2:45:03.497 PM,9,3311.4672380009,3315.5386470511,3315.9135981086,3313.9361601832,3312.8942222253,3314.5025998428,3314.5970590402,3314.5971418453,3315.3499879896,3311.7530773068,3313.3685070121,3312.6095913155,3313.9361602525,3313.1788434254,3313.4630930976,3313.368312397,3312.039023339,3315.7260552682,3314.8798457682,3313.7470475432,3314.8797277375,3313.6524429416,3315.0677699763,3314.9738740756,3315.9135981086,3314.7855431095,3315.3503852349,3314.5027773864,3314.596914181,3314.030653072,3313.1788906875,3314.3139867644,3314.8295229597,3315.017877147,3314.9236690416,3315.488153133,3315.8640207693,3314.8296263721,3315.0179302495,3315.8637035777,13.8539913821,13.8089718484,13.6266130585,13.6937800374,13.5545659976,13.3979973363,15.6611232418,15.4398382617,14.8049993948,15.1165913771,15.3748641797,15.0392219869,14.8600434539,14.9121503775,12.610439208,12.721043856,12.5432413596,12.8596326783,12.7182380302,12.7177036222,12.621640208,12.7160147873,13.6191285975,13.5982731748,13.3546849114,13.404722759,13.3704710986,13.2322260641,13.0414839232,13.0970391286,3315.9638937281,3316.4319908317,3315.3067438787,3316.9930213804,3315.0244462565,3315.1185514139,2.4922164619,2.4959248685,2.5292028853,2.4899423881,2.497786264,2.4838944815,2.5166110461,2.5346428898,2.4640323411,2.4962367044,2.2952398682,2.4876980085,2.6594848356,2.4519686755,2.5135577106,2.5005318479,2.4895794367,2.5313641438,2.5411773147,2.4819939375,2.512129613,2.5487888614,2.5282066036,3.1941221802,2.5006154447,2.5234353023,2.4855489167,3.3088492557,2.9351785543,2.6757232001,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.1822081948,5.0000817871
