TimeStamp(s),Time,TC_A1_0p03_BC,TC_A1_0p30_BC,TC_A1_0p61_BC,TC_A1_0p91_BC,TC_A1_1p22_BC,TC_A1_1p52_BC,TC_A1_1p83_BC,TC_A1_2p13_BC,TC_A2_0p03_BC,TC_A2_0p30_BC,TC_A2_0p61_BC,TC_A2_0p91_BC,TC_A2_1p22_BC,TC_A2_1p52_BC,TC_A2_1p83_BC,TC_A2_2p13_BC,TC_A3_0p03_BC,TC_A3_0p30_BC,TC_A3_0p61_BC,TC_A3_0p91_BC,TC_A3_1p22_BC,TC_A3_1p52_BC,TC_A3_1p83_BC,TC_A3_2p13_BC,TC_A4_0p03_BC,TC_A4_0p30_BC,TC_A4_0p61_BC,TC_A4_0p91_BC,TC_A4_1p22_BC,TC_A4_1p52_BC,TC_A4_1p83_BC,TC_A4_2p13_BC,TC_A5_0p03_BC,TC_A5_0p30_BC,TC_A5_0p61_BC,TC_A5_0p91_BC,TC_A5_1p22_BC,TC_A5_1p52_BC,TC_A5_1p83_BC,TC_A5_2p13_BC,TC_A6_0p30_BS,TC_A6_0p60_BS,TC_A6_0p90_BS,TC_A6_1p20_BS,TC_A6_1p50_BS,TC_A6_1p80_BS,TC_A7_0p08_BS,TC_A7_0p34_BS,TC_A7_0p61_BS,TC_A7_0p88_BS,TC_A7_1p15_BS,TC_A7_1p42_BS,TC_A7_1p68_BS,TC_A7_1p95_BS,TC_A8_0p08_BS,TC_A8_0p34_BS,TC_A8_0p61_BS,TC_A8_0p88_BS,TC_A8_1p15_BS,TC_A8_1p42_BS,TC_A8_1p68_BS,TC_A8_1p95_BS,TC_A9_0p08_BS,TC_A9_0p34_BS,TC_A9_0p61_BS,TC_A9_0p88_BS,TC_A9_1p15_BS,TC_A9_1p42_BS,TC_A9_1p68_BS,TC_A9_1p95_BS,TC_A10_NXNY,TC_A10_NXPY,TC_A10_CEN,TC_A10_PXNY,TC_A10_PXPY,TC_Ignition,BDP_A6_0p30_BS,BDP_A6_0p60_BS,BDP_A6_0p90_BS,BDP_A6_1p20_BS,BDP_A6_1p50_BS,BDP_A6_1p80_BS,BDP_A7_0p08_BS,BDP_A7_0p34_BS,BDP_A7_0p61_BS,BDP_A7_0p88_BS,BDP_A7_1p15_BS,BDP_A7_1p42_BS,BDP_A7_1p68_BS,BDP_A7_1p95_BS,BDP_A8_0p08_BS,BDP_A8_0p34_BS,BDP_A8_0p61_BS,BDP_A8_0p88_BS,BDP_A8_1p15_BS,BDP_A8_1p42_BS,BDP_A8_1p68_BS,BDP_A8_1p95_BS,BDP_A9_0p08_BS,BDP_A9_0p34_BS,BDP_A9_0p61_BS,BDP_A9_0p88_BS,BDP_A9_1p15_BS,BDP_A9_1p42_BS,BDP_A9_1p68_BS,BDP_A9_1p95_BS,BDP_A10_NXNY,BDP_A10_NXPY,BDP_A10_CEN,BDP_A10_PXNY,BDP_A10_PXPY,HF_A1_0p15_AF,RAD_A1_0p15_AF,HF_A2_0p15_AF,RAD_A2_0p15_AF,HF_A3_0p15_AF,RAD_A3_0p15_AF,HF_A4_0p15_AF,RAD_A4_0p15_AF,HF_A5_0p15_AF,RAD_A5_0p15_AF,CO_1,CO2_1,O2_1,CO_2,CO2_2,O2_2,HOSE_P1_1p5_in,HOSE_P2_1p5_in,HOSE_P1_2p5_in,HOSE_P2_2p5_in
4/17/2014 5:10:18.730 PM,0,3311.2157638795,3315.2914780056,3315.6668328031,3313.6872796096,3312.6442407927,3314.2543216792,3314.3488816065,3314.3489645,3315.1026162729,3311.5019008139,3313.1190255278,3312.3593107725,3313.6872796789,3312.9291617838,3313.2137115482,3313.1188307072,3311.7881452704,3315.4790878634,3314.631970362,3313.4979664682,3314.6318522051,3313.4032616809,3314.8200956696,3314.7260992511,3315.6668328031,3314.5375669063,3315.1030139446,3314.2544994121,3314.3487365928,3313.7818727978,3312.9292090958,3314.0655076999,3314.7445089204,3314.9329322395,3314.8386895434,3315.4033813007,3315.7793877516,3314.7446123708,3314.9329853615,3315.7790704428,13.752755711,13.6913892016,13.3725076372,13.404512146,13.2359740164,13.0974919247,14.8376918577,14.7992453075,14.1441534905,14.3300310148,14.4258790955,13.8212869354,13.6588834063,13.7506992711,11.4211692105,11.5568671989,11.4708170262,11.7749922511,11.7094991783,11.7525126861,11.7255373278,11.8933964785,12.3380403573,12.2955208728,12.0738693597,12.0994912961,12.0725974494,11.9260697301,11.7931504792,11.9936407775,3316.0239395817,3316.4919133718,3315.3669620432,3317.0527954899,3315.0847381552,3315.178818752,2.4910209077,2.4964243706,2.5290489313,2.4915763369,2.4995045965,2.4865772189,2.5147482094,2.5339375955,2.4618320732,2.49252398,2.6970976257,2.481965532,2.4400309856,2.5350193321,2.5141106013,2.5037507666,2.4927538638,2.5331513788,2.5428271723,2.484255396,2.5118820151,2.5484090434,2.5292592289,2.1271314837,2.5038091034,2.3842588161,2.4876365205,1.9815251332,2.5153816605,2.7089236393,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.076204863,5.0000817871
4/17/2014 5:10:19.730 PM,1,3311.2160067086,3315.2917166818,3315.6670710898,3313.6875199368,3312.6444821819,3314.2545614253,3314.3491212555,3314.3492041488,3315.1028551446,3311.5021433558,3313.1192664347,3312.3595524502,3313.6875200061,3312.9294028838,3313.2139523587,3313.1190716143,3311.7883875245,3315.4793263451,3314.6322097195,3313.4982069888,3314.6320915628,3313.4035022981,3314.8203348332,3314.7263385117,3315.6670710898,3314.5378063611,3315.1032528159,3314.254739158,3314.3489762419,3313.7821130282,3312.9294501957,3314.0657476398,3314.7442631119,3314.9326866308,3314.8384438348,3315.4031361922,3315.7791430445,3314.7443665624,3314.9327397529,3315.7788257352,13.7536958512,13.6933982513,13.3655091866,13.4052239235,13.2424877008,13.0993482795,14.8430521605,14.8038461419,14.1401356217,14.331352564,14.4299466872,13.8224562572,13.66737584,13.753850765,11.4048516919,11.5555174182,11.476571854,11.7628745916,11.7099062555,11.7562050163,11.7276256974,11.8912063133,12.3418565892,12.2907069218,12.0771520954,12.0971975084,12.0796995215,11.9291235143,11.8041479109,12.0013521531,3316.0236621503,3316.4916365102,3315.3666838154,3317.0525193144,3315.0844595867,3315.178540297,2.4910512734,2.496428186,2.5290255864,2.4913444196,2.4994913211,2.4865500589,2.5146723715,2.5338532104,2.461836651,2.4925055155,2.6912451172,2.4819113671,2.4502797885,2.5346037866,2.5140753494,2.503735203,2.4928112449,2.5331257422,2.5425604362,2.4842819475,2.5118046694,2.5481435218,2.5291972739,2.127104166,2.5038052884,2.3796545287,2.4875594618,1.9759134978,2.514661836,2.7097533375,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0776934406,5.0000817871
4/17/2014 5:10:20.730 PM,2,3311.2160201986,3315.2917299411,3315.6670843275,3313.6875332878,3312.6444955919,3314.2545747441,3314.3491345689,3314.3492174622,3315.1028684148,3311.5021568299,3313.119279818,3312.3595658763,3313.6875333571,3312.9294162778,3313.2139657366,3313.1190849976,3311.7884009826,3315.4793395936,3314.6322230167,3313.4982203506,3314.63210486,3313.4035156653,3314.8203481196,3314.7263518035,3315.6670843275,3314.5378196637,3315.1032660861,3314.2547524768,3314.3489895553,3313.7821263739,3312.9294635897,3314.0657609693,3314.7456184025,3314.9340408197,3314.8397985749,3315.4044876229,3315.7804922629,3314.7457218524,3314.9340939415,3315.7801749556,13.7729698838,13.6995578722,13.3823599134,13.4144365141,13.2497951425,13.1076457327,14.8378469046,14.7987157266,14.1548374469,14.3381198032,14.4429683636,13.8262500655,13.7169383413,13.7562708849,11.4576765721,11.5991906924,11.4721203102,11.7795027032,11.7433489427,11.750454137,11.7525922311,11.88889416,12.3431165276,12.3038047215,12.0746687969,12.1090742157,12.0772164985,11.9306894101,11.7997556948,12.0022306252,3316.0255380979,3316.4935086043,3315.3685651478,3317.05438677,3315.0863432233,3315.1804231661,2.4909484268,2.4964255916,2.5290269597,2.4912348692,2.4994067854,2.4866355061,2.5146977017,2.5338701485,2.4618363458,2.4925183338,2.6811068726,2.48185293,2.4653020901,2.5326403607,2.5140240739,2.5037094162,2.4928464977,2.5331545834,2.5423101803,2.4842499026,2.5118388419,2.5479755107,2.5291855238,2.1272699037,2.5037395168,2.3812574599,2.487542219,1.9831043069,2.5149743653,2.7080402252,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0788188762,5.0000817871
4/17/2014 5:10:21.730 PM,3,3311.2161213737,3315.2918293858,3315.66718361,3313.6876334205,3312.6445961671,3314.2546746346,3314.3492344189,3314.3493173122,3315.102967941,3311.5022578854,3313.1193801922,3312.3596665717,3313.6876334898,3312.9295167324,3313.2140660706,3313.1191853719,3311.7885019182,3315.4794389573,3314.6323227454,3313.4983205639,3314.6322045887,3313.4036159188,3314.8204477674,3314.7264514917,3315.66718361,3314.5379194328,3315.1033656121,3314.2548523672,3314.3490894054,3313.7822264663,3312.9295640443,3314.0658609406,3314.7450603418,3314.9334832127,3314.8392407409,3315.4039311516,3315.7799367025,3314.7451637919,3314.9335363346,3315.7796193944,13.7559583426,13.6908545959,13.3742626612,13.4094715953,13.2420804309,13.1022990007,14.8378437755,14.7972618103,14.1517812491,14.332623443,14.4325905197,13.8188451787,13.6693335888,13.752071663,11.4330820574,11.5798596778,11.464628672,11.8073715662,11.714388166,11.7600755837,11.7331779785,11.8993537819,12.3417922063,12.291559261,12.0801432304,12.1093536711,12.080169849,11.934254222,11.8095836641,11.9910538656,3316.0250493009,3316.4930208114,3315.3680749477,3317.0539001856,3315.0858524228,3315.1799325656,2.4910033597,2.4964764117,2.5288687334,2.4912768279,2.4993878641,2.4865805757,2.5147152497,2.533888765,2.4618021646,2.4925055155,2.6664588928,2.4819067898,2.4839521164,2.5321805595,2.5140460491,2.5037028551,2.4928144497,2.5332113501,2.5424682688,2.4843692319,2.5118862867,2.5479454488,2.5291695009,2.1273785641,2.5037288347,2.3850516589,2.4875915061,1.991994673,2.5157501948,2.7071061472,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0801377841,5.0000817871
4/17/2014 5:10:22.730 PM,4,3311.2157166662,3315.2914315999,3315.6667864731,3313.6872328828,3312.6441938594,3314.2542750654,3314.3488350116,3314.3489179051,3315.1025698292,3311.5018536564,3313.1189786883,3312.3592637831,3313.6872329521,3312.9291149068,3313.2136647274,3313.1187838677,3311.788098169,3315.4790414955,3314.6319238237,3313.4979197038,3314.6318056668,3313.4032148977,3314.8200491691,3314.7260527317,3315.6667864731,3314.5375203491,3315.1029675009,3314.2544527983,3314.3486899979,3313.7818260898,3312.9291622187,3314.0654610484,3314.7452131418,3314.9336358884,3314.8393934788,3315.4040835163,3315.7800888178,3314.7453165918,3314.9336890103,3315.7797715099,13.7587543444,13.6925836378,13.3733969423,13.4085299943,13.2448024635,13.0979233649,14.8337017513,14.8001338746,14.1458054382,14.3367160225,14.427911767,13.8226337772,13.6718250684,13.7511308044,11.4304596264,11.5762435531,11.4723185931,11.7412108558,11.7165778481,11.7636404194,11.7382718644,11.8902381446,12.3409442665,12.2845250584,12.0700512289,12.1099568283,12.0782520765,11.931801554,11.8007913101,12.0027312918,3316.0254059924,3316.4933767702,3315.3684326631,3317.0542552625,3315.0862105763,3315.1802905732,2.4910381506,2.4964506201,2.5289409041,2.4914452731,2.4994150254,2.4864745296,2.5147340184,2.533883882,2.4617455518,2.4924937654,2.6557237244,2.4819057217,2.4960405653,2.5326901102,2.5140571893,2.503696294,2.4927698878,2.5331829667,2.5423493972,2.4842581427,2.5119831596,2.5480052675,2.5291388286,2.1275604787,2.5037444001,2.3851427709,2.4876278228,1.9932920366,2.5159403372,2.7077168612,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0807682477,5.0000817871
4/17/2014 5:10:23.730 PM,5,3311.2160067058,3315.291716679,3315.6670710871,3313.687519934,3312.6444821791,3314.2545614225,3314.3491212527,3314.3492041461,3315.1028551419,3311.5021433531,3313.119266432,3312.3595524475,3313.6875200033,3312.929402881,3313.2139523559,3313.1190716116,3311.7883875218,3315.4793263423,3314.6322097168,3313.4982069861,3314.63209156,3313.4035022954,3314.8203348304,3314.7263385089,3315.6670710871,3314.5378063583,3315.1032528132,3314.2547391553,3314.3489762392,3313.7821130255,3312.9294501929,3314.065747637,3314.7463691293,3314.9347909362,3314.8405489967,3315.4052362115,3315.7812396261,3314.7464725788,3314.9348440578,3315.7809223198,13.7663475832,13.7010198928,13.3777911334,13.4167380236,13.2530896794,13.116967856,14.7729957371,14.7916352975,14.1558411984,14.3366064673,14.441302547,13.8241263143,13.6971176047,13.7569697258,11.4156117989,11.5995848444,11.4997107648,11.8054033381,11.7422149622,11.764752871,11.7509993135,11.8905104167,12.3468227097,12.3044560049,12.0760841475,12.1275214353,12.0907020072,11.9411200406,11.8045323168,12.0108252253,3316.0270507412,3316.4950181403,3315.370082133,3317.0558925658,3315.0878620665,3315.1819413904,2.4910363195,2.4964638974,2.5289647067,2.4913616609,2.4994046491,2.4865639441,2.5148368651,2.5338985311,2.4618160507,2.492542597,2.6494798279,2.4818895485,2.5014209733,2.5306651842,2.5140027091,2.5036869863,2.4929156297,2.5332079929,2.5423825104,2.4842967493,2.5118814049,2.5479414812,2.5291899491,2.1272343448,2.5037216624,2.3820022284,2.4875936423,1.9874728962,2.5153578546,2.708554342,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0805100811,5.0000817871
4/17/2014 5:10:24.730 PM,6,3311.2160674112,3315.2917763462,3315.6671306569,3313.6875800139,3312.6445425245,3314.2546213572,3314.3491811631,3314.3492640564,3315.1029148579,3311.5022039867,3313.1193266568,3312.359612865,3313.6875800833,3312.9294631542,3313.2140125567,3313.1191318364,3311.7884480834,3315.4793859609,3314.6322695543,3313.4982671144,3314.6321513976,3313.4035624478,3314.8203946194,3314.7263983222,3315.6671306569,3314.5378662201,3315.1033125291,3314.2547990898,3314.3490361495,3313.7821730812,3312.929510466,3314.0658076201,3314.7464289235,3314.9348506818,3314.8406087666,3315.4052958355,3315.7812991525,3314.746532373,3314.9349038034,3315.7809818462,13.7664734621,13.6938206961,13.381581523,13.4137352266,13.2537499463,13.1167883749,14.7942352212,14.7943540075,14.151847838,14.3404693254,14.4334959466,13.823641781,13.6915986988,13.7550366244,11.4189452675,11.5883292969,11.5031218851,11.7961363386,11.7358469835,11.7604476736,11.7398924623,11.8914766095,12.3550041229,12.3088188574,12.0858722592,12.1228722809,12.0881904194,11.941435217,11.8056878784,12.0050305815,3316.0281604516,3316.4961255712,3315.3711950288,3317.0569972527,3315.0889763253,3315.1830551952,2.4909406446,2.4964942674,2.5290098706,2.4913572361,2.4995467118,2.4865827119,2.5147678937,2.5339086024,2.4617652366,2.492497733,2.6415507507,2.4819292186,2.5075913702,2.5282135724,2.5139460923,2.5036703546,2.4927997992,2.533151684,2.5425648614,2.4844261499,2.5117898715,2.5482712469,2.5291771309,2.1272834862,2.5037608811,2.382214518,2.4875887594,1.9805108003,2.5156133107,2.7078770935,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0801980535,5.0000817871
4/17/2014 5:10:25.730 PM,7,3311.2162832581,3315.2919885016,3315.6673424661,3313.687793637,3312.6447570915,3314.2548344636,3314.3493941832,3314.3494770764,3315.1031271871,3311.5024195784,3313.1195407951,3312.3598276884,3313.6877937063,3312.9296774641,3313.2142266092,3313.1193459749,3311.7886634192,3315.4795979434,3314.6324823154,3313.4984809093,3314.6323641588,3313.4037763287,3314.8206072081,3314.726610997,3315.6673424661,3314.5380790677,3315.1035248579,3314.2550121962,3314.3492491698,3313.7823866182,3312.9297247759,3314.0660208988,3314.7451334253,3314.9335562367,3314.8393137946,3315.4040040269,3315.7800094586,3314.7452368753,3314.9336093586,3315.7796921505,13.7506043807,13.6950354895,13.3719567936,13.4143393679,13.2456525306,13.0964836346,14.8504044308,14.8092953454,14.1522232761,14.3361924479,14.4304390432,13.8253904156,13.6587146891,13.7544962579,11.4326081462,11.5622747375,11.4685089785,11.7628336246,11.7149837423,11.7667830049,11.7362954209,11.89467871,12.3580093124,12.3060962131,12.0842946655,12.1165595274,12.0895923401,11.9386350333,11.8115962956,11.996961441,3316.0274602788,3316.4954268366,3315.3704928461,3317.0563002494,3315.0882732826,3315.182352439,2.4909765036,2.4965348624,2.529005751,2.4914030093,2.499464465,2.4865384625,2.5147434791,2.5338783886,2.4618085735,2.4924844569,2.634054718,2.4819099939,2.5120264765,2.5264891271,2.5139496022,2.5037048387,2.4927956788,2.5331602295,2.5430934507,2.4844241661,2.5118576062,2.5483785237,2.5291415754,2.1280673062,2.5038080352,2.3808360857,2.4876069178,1.9783582417,2.5152788067,2.7090080283,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0806998915,5.0000817871
4/17/2014 5:10:26.730 PM,8,3311.2159594948,3315.2916702756,3315.6670247594,3313.6874732095,3312.6444352481,3314.254514811,3314.3490746601,3314.3491575535,3315.1028087004,3311.5020961979,3313.1192195948,3312.3595054603,3313.6874732788,3312.9293560063,3313.2139055374,3313.1190247743,3311.7883404226,3315.4792799767,3314.6321631808,3313.498160224,3314.6320450241,3313.4034555145,3314.8202883322,3314.7262919918,3315.6670247594,3314.5377598035,3315.1032063718,3314.2546925438,3314.3489296465,3313.7820663198,3312.9294033182,3314.0657009878,3314.7451932177,3314.9336159806,3314.8393735628,3315.4040636491,3315.7800689831,3314.7452966678,3314.9336691024,3315.7797516752,13.753552053,13.6935589957,13.3726169796,13.4121762541,13.2489844892,13.1060720143,14.8580760783,14.805684411,14.155018967,14.3394451159,14.4372008518,13.8248295328,13.6565521087,13.7572911377,11.4293741016,11.5581994844,11.4771149832,11.7726584145,11.7114425673,11.7612556069,11.7310724394,11.8906036271,12.3499988647,12.3039662922,12.0843032568,12.1165681659,12.091739896,11.9378033264,11.8161116797,11.9998719731,3316.0265553308,3316.4945237476,3315.3695853006,3317.055399398,3315.0873646256,3315.1814441522,2.491033115,2.496410025,2.5289523477,2.4913773763,2.4994533258,2.4865091663,2.5147492776,2.5338565675,2.4618087261,2.4925221488,2.6328385925,2.4818367568,2.5098525574,2.5233892461,2.5139712723,2.5036329715,2.4927486751,2.5331278786,2.5431964523,2.4844545325,2.5118977284,2.5482251621,2.529139439,2.1286614283,2.5038141393,2.3719921118,2.4875704484,1.966595763,2.5136085756,2.7111166855,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0814449433,5.0000817871
4/17/2014 5:10:27.730 PM,9,3311.2156829385,3315.2913984489,3315.6667533762,3313.6871995025,3312.6441603316,3314.2542417658,3314.3488017255,3314.348884619,3315.102536651,3311.5018199685,3313.1189452275,3312.3592302152,3313.6871995718,3312.9290814192,3313.21363128,3313.1187504068,3311.788064521,3315.4790083715,3314.6318905781,3313.4978862967,3314.6317724212,3313.4031814771,3314.8200159504,3314.7260194996,3315.6667533762,3314.53748709,3315.1029343228,3314.2544194988,3314.3486567118,3313.7817927229,3312.9291287311,3314.0654277219,3314.7456715607,3314.9340939347,3314.8398517115,3315.4045406297,3315.780545183,3314.7457750105,3314.9341470564,3315.7802278757,13.7534910211,13.6987626974,13.3756094768,13.4045607311,13.245182914,13.099906143,14.8535943734,14.8056231909,14.1448884467,14.335494353,14.4334783462,13.824234518,13.6529056494,13.7582977164,11.4343531557,11.5648600744,11.4736922211,11.7845871223,11.7076374506,11.7517207362,11.7274959614,11.8734320907,12.3625008232,12.3037906377,12.0863430064,12.1166215061,12.0864460347,11.9380095662,11.8088320748,12.0148947213,3316.0264364466,3316.4944051076,3315.369466075,3317.055281052,3315.0872452539,3315.1813248292,2.4910001553,2.4964158243,2.5289965961,2.4912554671,2.4994485955,2.486646187,2.5147210481,2.5339150114,2.4618404659,2.4925047525,2.6343287659,2.4818639156,2.5054295038,2.519265075,2.5139271692,2.5037344401,2.4929038788,2.5331960902,2.5428396851,2.4844250817,2.5118122972,2.5480098454,2.529091523,2.1288370858,2.5038474066,2.3615731355,2.4876473545,1.9566253032,2.5116853301,2.7129221221,-5.0025320808,5.0002927589,-5.0009140839,-5.0006563731,4.9999177111,0.0499906578,-0.0500093732,-0.0500609585,-0.0499906268,0.0499875339,-0.0499890656,-0.0500078137,-0.0500547097,-0.0500296884,-0.0499953138,-5.0006327977,-5.0015470926,5.0005506404,4.9993552699,4.9996130008,5.0007615639,5.0000583482,4.999542671,-4.0824063545,5.0000817871
