,Test,1 Burner Start,2 Burners Start,3 Burners,2 Burners End,1 Burner End
0,Compensated, , , , , 
1,Test_22,,,686,,
2,Test_23,,,791.1,,
3,Test_24,,,709,,
4,Test_25,,,708.1,,
5,Test_2,337.5,650.7,894.2,634.2,330.3
6,Test_3,326.1,650.1,898.8,631.2,326.1
7,Test_4,350.7,654.2,901.6,651.7,336.7
8,Test_5 - Seq. 1,N/A,N/A,665.7,N/A,N/A
9,Test_5 - Seq. 2,N/A,N/A,673,N/A,N/A
10,Test_5 - Seq. 3,N/A,N/A,670.7,N/A,N/A
11,Test_6 - Seq. 1,N/A,N/A,679.6,N/A,N/A
12,Test_6 - Seq. 2,N/A,N/A,679.8,N/A,N/A
13,Test_6 - Seq. 3,N/A,N/A,683.8,N/A,N/A
14,Uncompensated, , , , , 
15,Test_22,286.9,315.6,758.9,N/A,N/A
16,Test_23,394.5,526,787.8,N/A,N/A
17,Test_24,286.9,631.2,786.7,N/A,N/A
18,Test_25,315.6,526,784.6,N/A,N/A
19,Test_4,355.1,691,951.6,691.3,350.7
20,Test_5 - Seq. 1,263,526,723,485.6,263
21,Test_5 - Seq. 2,225.4,526,727,526,315.6
22,Test_5 - Seq. 3,263,526,722,526,263
23,Test_6 - Seq. 1,263,526,721.8,526,263
24,Test_6 - Seq. 2,225.4,526,718,526,286.9
25,Test_6 - Seq. 3,263,526,713.5,N/A,N/A
